ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
4835;Levies on real estate developers;2000 3rd quarter;
4836;Levies on real estate developers;2000 4th quarter;
4837;Levies on real estate developers;2000;208.0
4838;Levies on real estate developers;2001 1st quarter;
4839;Levies on real estate developers;2001 2nd quarter;
4840;Levies on real estate developers;2001 3rd quarter;
4841;Levies on real estate developers;2001 4th quarter;
4842;Levies on real estate developers;2001;200.0
4843;Levies on real estate developers;2002 1st quarter;
4844;Levies on real estate developers;2002 2nd quarter;
4845;Levies on real estate developers;2002 3rd quarter;
4846;Levies on real estate developers;2002 4th quarter;
4847;Levies on real estate developers;2002;199.0
4848;Levies on real estate developers;2003 1st quarter;
4849;Levies on real estate developers;2003 2nd quarter;
4850;Levies on real estate developers;2003 3rd quarter;
4851;Levies on real estate developers;2003 4th quarter;
4852;Levies on real estate developers;2003;215.0
4853;Levies on real estate developers;2004 1st quarter;
4854;Levies on real estate developers;2004 2nd quarter;
4855;Levies on real estate developers;2004 3rd quarter;
4856;Levies on real estate developers;2004 4th quarter;
4857;Levies on real estate developers;2004;211.0
4858;Levies on real estate developers;2005 1st quarter;
4859;Levies on real estate developers;2005 2nd quarter;
4860;Levies on real estate developers;2005 3rd quarter;
4861;Levies on real estate developers;2005 4th quarter;
4862;Levies on real estate developers;2005;216.0
4863;Levies on real estate developers;2006 1st quarter;
4864;Levies on real estate developers;2006 2nd quarter;
4865;Levies on real estate developers;2006 3rd quarter;
4866;Levies on real estate developers;2006 4th quarter;
4867;Levies on real estate developers;2006;251.0
4868;Levies on real estate developers;2007 1st quarter;
4869;Levies on real estate developers;2007 2nd quarter;
4870;Levies on real estate developers;2007 3rd quarter;
4871;Levies on real estate developers;2007 4th quarter;
4872;Levies on real estate developers;2007;238.0
4873;Levies on real estate developers;2008 1st quarter;70.0
4874;Levies on real estate developers;2008 2nd quarter;70.0
4875;Levies on real estate developers;2008 3rd quarter;70.0
4876;Levies on real estate developers;2008 4th quarter;71.0
4877;Levies on real estate developers;2008;281.0
4878;Levies on real estate developers;2009 1st quarter;68.0
4879;Levies on real estate developers;2009 2nd quarter;68.0
4880;Levies on real estate developers;2009 3rd quarter;68.0
4881;Levies on real estate developers;2009 4th quarter;67.0
4882;Levies on real estate developers;2009;271.0
4883;Levies on real estate developers;2010 1st quarter;58.0
4884;Levies on real estate developers;2010 2nd quarter;58.0
4885;Levies on real estate developers;2010 3rd quarter;58.0
4886;Levies on real estate developers;2010 4th quarter;54.0
4887;Levies on real estate developers;2010;228.0
4888;Levies on real estate developers;2011 1st quarter;56.0
4889;Levies on real estate developers;2011 2nd quarter;56.0
4890;Levies on real estate developers;2011 3rd quarter;56.0
4891;Levies on real estate developers;2011 4th quarter;55.0
4892;Levies on real estate developers;2011;223.0
4893;Levies on real estate developers;2012 1st quarter;55.0
4894;Levies on real estate developers;2012 2nd quarter;55.0
4895;Levies on real estate developers;2012 3rd quarter;55.0
4896;Levies on real estate developers;2012 4th quarter;54.0
4897;Levies on real estate developers;2012;219.0
4898;Levies on real estate developers;2013 1st quarter;48.0
4899;Levies on real estate developers;2013 2nd quarter;48.0
4900;Levies on real estate developers;2013 3rd quarter;48.0
4901;Levies on real estate developers;2013 4th quarter;46.0
4902;Levies on real estate developers;2013;190.0
4903;Levies on real estate developers;2014 1st quarter;38.0
4904;Levies on real estate developers;2014 2nd quarter;38.0
4905;Levies on real estate developers;2014 3rd quarter;38.0
4906;Levies on real estate developers;2014 4th quarter;36.0
4907;Levies on real estate developers;2014;150.0
4908;Levies on real estate developers;2015 1st quarter;40.0
4909;Levies on real estate developers;2015 2nd quarter;40.0
4910;Levies on real estate developers;2015 3rd quarter;40.0
4911;Levies on real estate developers;2015 4th quarter;39.0
4912;Levies on real estate developers;2015;159.0
4913;Levies on real estate developers;2016 1st quarter;40.0
4914;Levies on real estate developers;2016 2nd quarter;40.0
4915;Levies on real estate developers;2016 3rd quarter;40.0
4916;Levies on real estate developers;2016 4th quarter;38.0
4917;Levies on real estate developers;2016;158.0
4918;Levies on real estate developers;2017 1st quarter;42.0
4919;Levies on real estate developers;2017 2nd quarter;42.0
4920;Levies on real estate developers;2017 3rd quarter;42.0
4921;Levies on real estate developers;2017 4th quarter;39.0
4922;Levies on real estate developers;2017;165.0
4923;Levies on real estate developers;2018 1st quarter;39.0
4924;Levies on real estate developers;2018 2nd quarter;39.0
4925;Levies on real estate developers;2018 3rd quarter;39.0
4926;Levies on real estate developers;2018 4th quarter;40.0
4927;Levies on real estate developers;2018;157.0
4928;Levies on real estate developers;2019 1st quarter;45.0
4929;Levies on real estate developers;2019 2nd quarter;45.0
4930;Levies on real estate developers;2019 3rd quarter;45.0
4931;Levies on real estate developers;2019 4th quarter;45.0
4932;Levies on real estate developers;2019;180.0
4933;Levies on real estate developers;2020 1st quarter;51.0
4934;Levies on real estate developers;2020 2nd quarter;51.0
4935;Levies on real estate developers;2020 3rd quarter;51.0
4936;Levies on real estate developers;2020 4th quarter;50.0
4937;Levies on real estate developers;2020;203.0
4938;Levies on real estate developers;2021 1st quarter;51.0
4939;Levies on real estate developers;2021 2nd quarter;51.0
4940;Levies on real estate developers;2021 3rd quarter;51.0
4941;Levies on real estate developers;2021 4th quarter;50.0
4942;Levies on real estate developers;2021;203.0
4943;Levies on real estate developers;2022 1st quarter;44.0
4944;Levies on real estate developers;2022 2nd quarter;44.0
4945;Levies on real estate developers;2022 3rd quarter;44.0
4946;Levies on real estate developers;2022 4th quarter;43.0
4947;Levies on real estate developers;2022;175.0
4948;Levies on real estate developers;2023 1st quarter;32.0
4949;Levies on real estate developers;2023 2nd quarter;33.0
4950;Levies on real estate developers;2023 3rd quarter;33.0
4951;Levies on real estate developers;2023 4th quarter;33.0
4952;Levies on real estate developers;2023;131.0
4953;Levies on real estate developers;2024 1st quarter;10.0
4954;Levies on real estate developers;2024 2nd quarter;9.0
4955;Levies on real estate developers;2024 3rd quarter;12.0
4956;Levies on real estate developers;2024 4th quarter;34.0
4957;Levies on real estate developers;2024;65.0
4958;Levies on stocks of petroleum products;1995;73.0
4959;Levies on stocks of petroleum products;1996;67.0
4960;Levies on stocks of petroleum products;1997;70.0
4961;Levies on stocks of petroleum products;1998;74.0
4962;Levies on stocks of petroleum products;1999 1st quarter;
4963;Levies on stocks of petroleum products;1999 2nd quarter;
4964;Levies on stocks of petroleum products;1999 3rd quarter;
4965;Levies on stocks of petroleum products;1999 4th quarter;
4966;Levies on stocks of petroleum products;1999;62.0
4967;Levies on stocks of petroleum products;2000 1st quarter;
4968;Levies on stocks of petroleum products;2000 2nd quarter;
4969;Levies on stocks of petroleum products;2000 3rd quarter;
4970;Levies on stocks of petroleum products;2000 4th quarter;
4971;Levies on stocks of petroleum products;2000;68.0
4972;Levies on stocks of petroleum products;2001 1st quarter;
4973;Levies on stocks of petroleum products;2001 2nd quarter;
4974;Levies on stocks of petroleum products;2001 3rd quarter;
4975;Levies on stocks of petroleum products;2001 4th quarter;
4976;Levies on stocks of petroleum products;2001;74.0
4977;Levies on stocks of petroleum products;2002 1st quarter;
4978;Levies on stocks of petroleum products;2002 2nd quarter;
4979;Levies on stocks of petroleum products;2002 3rd quarter;
4980;Levies on stocks of petroleum products;2002 4th quarter;
4981;Levies on stocks of petroleum products;2002;85.0
4982;Levies on stocks of petroleum products;2003 1st quarter;
4983;Levies on stocks of petroleum products;2003 2nd quarter;
4984;Levies on stocks of petroleum products;2003 3rd quarter;
4985;Levies on stocks of petroleum products;2003 4th quarter;
4986;Levies on stocks of petroleum products;2003;89.0
4987;Levies on stocks of petroleum products;2004 1st quarter;
4988;Levies on stocks of petroleum products;2004 2nd quarter;
4989;Levies on stocks of petroleum products;2004 3rd quarter;
4990;Levies on stocks of petroleum products;2004 4th quarter;
4991;Levies on stocks of petroleum products;2004;87.0
4992;Levies on stocks of petroleum products;2005 1st quarter;
4993;Levies on stocks of petroleum products;2005 2nd quarter;
4994;Levies on stocks of petroleum products;2005 3rd quarter;
4995;Levies on stocks of petroleum products;2005 4th quarter;
4996;Levies on stocks of petroleum products;2005;78.0
4997;Levies on stocks of petroleum products;2006 1st quarter;
4998;Levies on stocks of petroleum products;2006 2nd quarter;
4999;Levies on stocks of petroleum products;2006 3rd quarter;
5000;Levies on stocks of petroleum products;2006 4th quarter;
5001;Levies on stocks of petroleum products;2006;81.0
5002;Levies on stocks of petroleum products;2007 1st quarter;
5003;Levies on stocks of petroleum products;2007 2nd quarter;
5004;Levies on stocks of petroleum products;2007 3rd quarter;
5005;Levies on stocks of petroleum products;2007 4th quarter;
5006;Levies on stocks of petroleum products;2007;85.0
5007;Levies on stocks of petroleum products;2008 1st quarter;21.0
5008;Levies on stocks of petroleum products;2008 2nd quarter;21.0
5009;Levies on stocks of petroleum products;2008 3rd quarter;20.0
5010;Levies on stocks of petroleum products;2008 4th quarter;21.0
5011;Levies on stocks of petroleum products;2008;83.0
5012;Levies on stocks of petroleum products;2009 1st quarter;25.0
5013;Levies on stocks of petroleum products;2009 2nd quarter;25.0
5014;Levies on stocks of petroleum products;2009 3rd quarter;20.0
5015;Levies on stocks of petroleum products;2009 4th quarter;24.0
5016;Levies on stocks of petroleum products;2009;94.0
5017;Levies on stocks of petroleum products;2010 1st quarter;25.0
5018;Levies on stocks of petroleum products;2010 2nd quarter;25.0
5019;Levies on stocks of petroleum products;2010 3rd quarter;25.0
5020;Levies on stocks of petroleum products;2010 4th quarter;25.0
5021;Levies on stocks of petroleum products;2010;100.0
5022;Levies on stocks of petroleum products;2011 1st quarter;22.0
5023;Levies on stocks of petroleum products;2011 2nd quarter;22.0
5024;Levies on stocks of petroleum products;2011 3rd quarter;22.0
5025;Levies on stocks of petroleum products;2011 4th quarter;23.0
5026;Levies on stocks of petroleum products;2011;89.0
5027;Levies on stocks of petroleum products;2012 1st quarter;14.0
5028;Levies on stocks of petroleum products;2012 2nd quarter;24.0
5029;Levies on stocks of petroleum products;2012 3rd quarter;22.0
5030;Levies on stocks of petroleum products;2012 4th quarter;26.0
5031;Levies on stocks of petroleum products;2012;86.0
5032;Levies on stocks of petroleum products;2013 1st quarter;15.0
5033;Levies on stocks of petroleum products;2013 2nd quarter;29.0
5034;Levies on stocks of petroleum products;2013 3rd quarter;29.0
5035;Levies on stocks of petroleum products;2013 4th quarter;28.0
5036;Levies on stocks of petroleum products;2013;101.0
5037;Levies on stocks of petroleum products;2014 1st quarter;28.0
5038;Levies on stocks of petroleum products;2014 2nd quarter;26.0
5039;Levies on stocks of petroleum products;2014 3rd quarter;26.0
5040;Levies on stocks of petroleum products;2014 4th quarter;27.0
5041;Levies on stocks of petroleum products;2014;107.0
5042;Levies on stocks of petroleum products;2015 1st quarter;26.0
5043;Levies on stocks of petroleum products;2015 2nd quarter;26.0
5044;Levies on stocks of petroleum products;2015 3rd quarter;27.0
5045;Levies on stocks of petroleum products;2015 4th quarter;27.0
5046;Levies on stocks of petroleum products;2015;106.0
5047;Levies on stocks of petroleum products;2016 1st quarter;27.0
5048;Levies on stocks of petroleum products;2016 2nd quarter;27.0
5049;Levies on stocks of petroleum products;2016 3rd quarter;28.0
5050;Levies on stocks of petroleum products;2016 4th quarter;26.0
5051;Levies on stocks of petroleum products;2016;108.0
5052;Levies on stocks of petroleum products;2017 1st quarter;28.0
5053;Levies on stocks of petroleum products;2017 2nd quarter;27.0
5054;Levies on stocks of petroleum products;2017 3rd quarter;28.0
5055;Levies on stocks of petroleum products;2017 4th quarter;27.0
5056;Levies on stocks of petroleum products;2017;110.0
5057;Levies on stocks of petroleum products;2018 1st quarter;27.0
5058;Levies on stocks of petroleum products;2018 2nd quarter;27.0
5059;Levies on stocks of petroleum products;2018 3rd quarter;29.0
5060;Levies on stocks of petroleum products;2018 4th quarter;28.0
5061;Levies on stocks of petroleum products;2018;111.0
5062;Levies on stocks of petroleum products;2019 1st quarter;27.0
5063;Levies on stocks of petroleum products;2019 2nd quarter;18.0
5064;Levies on stocks of petroleum products;2019 3rd quarter;28.0
5065;Levies on stocks of petroleum products;2019 4th quarter;37.0
5066;Levies on stocks of petroleum products;2019;110.0
5067;Levies on stocks of petroleum products;2020 1st quarter;28.0
5068;Levies on stocks of petroleum products;2020 2nd quarter;17.0
5069;Levies on stocks of petroleum products;2020 3rd quarter;26.0
5070;Levies on stocks of petroleum products;2020 4th quarter;24.0
5071;Levies on stocks of petroleum products;2020;95.0
5072;Levies on stocks of petroleum products;2021 1st quarter;22.0
5073;Levies on stocks of petroleum products;2021 2nd quarter;24.0
5074;Levies on stocks of petroleum products;2021 3rd quarter;18.0
5075;Levies on stocks of petroleum products;2021 4th quarter;25.0
5076;Levies on stocks of petroleum products;2021;89.0
5077;Levies on stocks of petroleum products;2022 1st quarter;23.0
5078;Levies on stocks of petroleum products;2022 2nd quarter;26.0
5079;Levies on stocks of petroleum products;2022 3rd quarter;25.0
5080;Levies on stocks of petroleum products;2022 4th quarter;22.0
5081;Levies on stocks of petroleum products;2022;96.0
5082;Levies on stocks of petroleum products;2023 1st quarter;25.0
5083;Levies on stocks of petroleum products;2023 2nd quarter;25.0
5084;Levies on stocks of petroleum products;2023 3rd quarter;30.0
5085;Levies on stocks of petroleum products;2023 4th quarter;25.0
5086;Levies on stocks of petroleum products;2023;105.0
5087;Levies on stocks of petroleum products;2024 1st quarter;33.0
5088;Levies on stocks of petroleum products;2024 2nd quarter;16.0
5089;Levies on stocks of petroleum products;2024 3rd quarter;22.0
5090;Levies on stocks of petroleum products;2024 4th quarter;27.0
5091;Levies on stocks of petroleum products;2024;98.0
5092;Motor vehicle tax;1995;2224.0
5093;Motor vehicle tax;1996;2738.0
5094;Motor vehicle tax;1997;2265.0
5095;Motor vehicle tax;1998;2500.0
5096;Motor vehicle tax;1999 1st quarter;
5097;Motor vehicle tax;1999 2nd quarter;
5098;Motor vehicle tax;1999 3rd quarter;
5099;Motor vehicle tax;1999 4th quarter;
5100;Motor vehicle tax;1999;2674.0
5101;Motor vehicle tax;2000 1st quarter;
5102;Motor vehicle tax;2000 2nd quarter;
5103;Motor vehicle tax;2000 3rd quarter;
5104;Motor vehicle tax;2000 4th quarter;
5105;Motor vehicle tax;2000;2842.0
5106;Motor vehicle tax;2001 1st quarter;
5107;Motor vehicle tax;2001 2nd quarter;
5108;Motor vehicle tax;2001 3rd quarter;
5109;Motor vehicle tax;2001 4th quarter;
5110;Motor vehicle tax;2001;2781.0
5111;Motor vehicle tax;2002 1st quarter;
5112;Motor vehicle tax;2002 2nd quarter;
5113;Motor vehicle tax;2002 3rd quarter;
5114;Motor vehicle tax;2002 4th quarter;
5115;Motor vehicle tax;2002;2801.0
5116;Motor vehicle tax;2003 1st quarter;
5117;Motor vehicle tax;2003 2nd quarter;
5118;Motor vehicle tax;2003 3rd quarter;
5119;Motor vehicle tax;2003 4th quarter;
5120;Motor vehicle tax;2003;2967.0
5121;Motor vehicle tax;2004 1st quarter;
5122;Motor vehicle tax;2004 2nd quarter;
5123;Motor vehicle tax;2004 3rd quarter;
5124;Motor vehicle tax;2004 4th quarter;
5125;Motor vehicle tax;2004;3223.0
5126;Motor vehicle tax;2005 1st quarter;
5127;Motor vehicle tax;2005 2nd quarter;
5128;Motor vehicle tax;2005 3rd quarter;
5129;Motor vehicle tax;2005 4th quarter;
5130;Motor vehicle tax;2005;3467.0
5131;Motor vehicle tax;2006 1st quarter;
5132;Motor vehicle tax;2006 2nd quarter;
5133;Motor vehicle tax;2006 3rd quarter;
5134;Motor vehicle tax;2006 4th quarter;
5135;Motor vehicle tax;2006;3771.0
5136;Motor vehicle tax;2007 1st quarter;
5137;Motor vehicle tax;2007 2nd quarter;
5138;Motor vehicle tax;2007 3rd quarter;
5139;Motor vehicle tax;2007 4th quarter;
5140;Motor vehicle tax;2007;3971.0
5141;Motor vehicle tax;2008 1st quarter;1192.0
5142;Motor vehicle tax;2008 2nd quarter;1066.0
5143;Motor vehicle tax;2008 3rd quarter;1082.0
5144;Motor vehicle tax;2008 4th quarter;1060.0
5145;Motor vehicle tax;2008;4400.0
5146;Motor vehicle tax;2009 1st quarter;1191.0
5147;Motor vehicle tax;2009 2nd quarter;1211.0
5148;Motor vehicle tax;2009 3rd quarter;1153.0
5149;Motor vehicle tax;2009 4th quarter;1204.0
5150;Motor vehicle tax;2009;4759.0
5151;Motor vehicle tax;2010 1st quarter;1272.0
