ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
8489;SB Maintenance and repair services;Italy;2017;;;16.0
8490;SB Maintenance and repair services;Italy;2018 1st quarter;13.0;20.0;6.0
8491;SB Maintenance and repair services;Italy;2018 2nd quarter;11.0;23.0;11.0
8492;SB Maintenance and repair services;Italy;2018 3rd quarter;16.0;24.0;8.0
8493;SB Maintenance and repair services;Italy;2018 4th quarter;;;6.0
8494;SB Maintenance and repair services;Italy;2018;;;32.0
8495;SB Maintenance and repair services;Italy;2019 1st quarter;21.0;26.0;5.0
8496;SB Maintenance and repair services;Italy;2019 2nd quarter;16.0;23.0;8.0
8497;SB Maintenance and repair services;Italy;2019 3rd quarter;25.0;30.0;4.0
8498;SB Maintenance and repair services;Italy;2019 4th quarter;24.0;29.0;4.0
8499;SB Maintenance and repair services;Italy;2019;86.0;108.0;21.0
8500;SB Maintenance and repair services;Italy;2020 1st quarter;15.0;20.0;5.0
8501;SB Maintenance and repair services;Italy;2020 2nd quarter;15.0;22.0;7.0
8502;SB Maintenance and repair services;Italy;2020 3rd quarter;17.0;24.0;6.0
8503;SB Maintenance and repair services;Italy;2020 4th quarter;22.0;24.0;2.0
8504;SB Maintenance and repair services;Italy;2020;69.0;89.0;20.0
8505;SB Maintenance and repair services;Jamaica;2014 1st quarter;0.0;0.0;0.0
8506;SB Maintenance and repair services;Jamaica;2014 2nd quarter;0.0;0.0;0.0
8507;SB Maintenance and repair services;Jamaica;2014 3rd quarter;0.0;0.0;0.0
8508;SB Maintenance and repair services;Jamaica;2014 4th quarter;0.0;0.0;0.0
8509;SB Maintenance and repair services;Jamaica;2014;0.0;0.0;0.0
8510;SB Maintenance and repair services;Jamaica;2015 1st quarter;0.0;0.0;0.0
8511;SB Maintenance and repair services;Jamaica;2015 2nd quarter;0.0;0.0;0.0
8512;SB Maintenance and repair services;Jamaica;2015 3rd quarter;0.0;0.0;0.0
8513;SB Maintenance and repair services;Jamaica;2015 4th quarter;0.0;0.0;0.0
8514;SB Maintenance and repair services;Jamaica;2015;0.0;0.0;0.0
8515;SB Maintenance and repair services;Jamaica;2016 1st quarter;0.0;0.0;0.0
8516;SB Maintenance and repair services;Jamaica;2016 2nd quarter;0.0;0.0;0.0
8517;SB Maintenance and repair services;Jamaica;2016 3rd quarter;0.0;0.0;0.0
8518;SB Maintenance and repair services;Jamaica;2016 4th quarter;0.0;0.0;0.0
8519;SB Maintenance and repair services;Jamaica;2016;0.0;0.0;0.0
8520;SB Maintenance and repair services;Jamaica;2017 1st quarter;0.0;0.0;0.0
8521;SB Maintenance and repair services;Jamaica;2017 2nd quarter;0.0;0.0;0.0
8522;SB Maintenance and repair services;Jamaica;2017 3rd quarter;0.0;0.0;0.0
8523;SB Maintenance and repair services;Jamaica;2017 4th quarter;0.0;0.0;0.0
8524;SB Maintenance and repair services;Jamaica;2017;0.0;0.0;0.0
8525;SB Maintenance and repair services;Jamaica;2018 1st quarter;0.0;0.0;0.0
8526;SB Maintenance and repair services;Jamaica;2018 2nd quarter;0.0;0.0;0.0
8527;SB Maintenance and repair services;Jamaica;2018 3rd quarter;;;
8528;SB Maintenance and repair services;Jamaica;2018 4th quarter;;;
8529;SB Maintenance and repair services;Jamaica;2018;;;
8530;SB Maintenance and repair services;Jamaica;2019 1st quarter;;;
8531;SB Maintenance and repair services;Jamaica;2019 2nd quarter;;;
8532;SB Maintenance and repair services;Jamaica;2019 3rd quarter;;;
8533;SB Maintenance and repair services;Jamaica;2019 4th quarter;;;
8534;SB Maintenance and repair services;Jamaica;2019;;;
8535;SB Maintenance and repair services;Jamaica;2020 1st quarter;;;
8536;SB Maintenance and repair services;Jamaica;2020 2nd quarter;;;
8537;SB Maintenance and repair services;Jamaica;2020 3rd quarter;;;
8538;SB Maintenance and repair services;Jamaica;2020 4th quarter;;;
8539;SB Maintenance and repair services;Jamaica;2020;;;
8540;SB Maintenance and repair services;Japan;2014 1st quarter;1.0;37.0;36.0
8541;SB Maintenance and repair services;Japan;2014 2nd quarter;1.0;23.0;22.0
8542;SB Maintenance and repair services;Japan;2014 3rd quarter;1.0;33.0;32.0
8543;SB Maintenance and repair services;Japan;2014 4th quarter;1.0;22.0;21.0
8544;SB Maintenance and repair services;Japan;2014;2.0;114.0;111.0
8545;SB Maintenance and repair services;Japan;2015 1st quarter;;;35.0
8546;SB Maintenance and repair services;Japan;2015 2nd quarter;1.0;28.0;27.0
8547;SB Maintenance and repair services;Japan;2015 3rd quarter;1.0;33.0;32.0
8548;SB Maintenance and repair services;Japan;2015 4th quarter;;;26.0
8549;SB Maintenance and repair services;Japan;2015;;;121.0
8550;SB Maintenance and repair services;Japan;2016 1st quarter;1.0;27.0;26.0
8551;SB Maintenance and repair services;Japan;2016 2nd quarter;1.0;23.0;22.0
8552;SB Maintenance and repair services;Japan;2016 3rd quarter;2.0;31.0;29.0
8553;SB Maintenance and repair services;Japan;2016 4th quarter;1.0;29.0;28.0
8554;SB Maintenance and repair services;Japan;2016;4.0;109.0;105.0
8555;SB Maintenance and repair services;Japan;2017 1st quarter;1.0;29.0;28.0
8556;SB Maintenance and repair services;Japan;2017 2nd quarter;1.0;25.0;25.0
8557;SB Maintenance and repair services;Japan;2017 3rd quarter;1.0;26.0;25.0
8558;SB Maintenance and repair services;Japan;2017 4th quarter;;;28.0
8559;SB Maintenance and repair services;Japan;2017;;;106.0
8560;SB Maintenance and repair services;Japan;2018 1st quarter;;;24.0
8561;SB Maintenance and repair services;Japan;2018 2nd quarter;;;24.0
8562;SB Maintenance and repair services;Japan;2018 3rd quarter;;;23.0
8563;SB Maintenance and repair services;Japan;2018 4th quarter;;;27.0
8564;SB Maintenance and repair services;Japan;2018;;;99.0
8565;SB Maintenance and repair services;Japan;2019 1st quarter;;;28.0
8566;SB Maintenance and repair services;Japan;2019 2nd quarter;;;25.0
8567;SB Maintenance and repair services;Japan;2019 3rd quarter;;;26.0
8568;SB Maintenance and repair services;Japan;2019 4th quarter;;;27.0
8569;SB Maintenance and repair services;Japan;2019;;;105.0
8570;SB Maintenance and repair services;Japan;2020 1st quarter;;;25.0
8571;SB Maintenance and repair services;Japan;2020 2nd quarter;;;21.0
8572;SB Maintenance and repair services;Japan;2020 3rd quarter;;;21.0
8573;SB Maintenance and repair services;Japan;2020 4th quarter;;;23.0
8574;SB Maintenance and repair services;Japan;2020;;;90.0
8575;SB Maintenance and repair services;Jordan;2014 1st quarter;0.0;1.0;1.0
8576;SB Maintenance and repair services;Jordan;2014 2nd quarter;0.0;1.0;1.0
8577;SB Maintenance and repair services;Jordan;2014 3rd quarter;0.0;1.0;1.0
8578;SB Maintenance and repair services;Jordan;2014 4th quarter;0.0;1.0;1.0
8579;SB Maintenance and repair services;Jordan;2014;0.0;4.0;4.0
8580;SB Maintenance and repair services;Jordan;2015 1st quarter;0.0;2.0;2.0
8581;SB Maintenance and repair services;Jordan;2015 2nd quarter;0.0;2.0;2.0
8582;SB Maintenance and repair services;Jordan;2015 3rd quarter;0.0;2.0;2.0
8583;SB Maintenance and repair services;Jordan;2015 4th quarter;0.0;2.0;2.0
8584;SB Maintenance and repair services;Jordan;2015;0.0;7.0;7.0
8585;SB Maintenance and repair services;Jordan;2016 1st quarter;0.0;1.0;1.0
8586;SB Maintenance and repair services;Jordan;2016 2nd quarter;;;1.0
8587;SB Maintenance and repair services;Jordan;2016 3rd quarter;;;1.0
8588;SB Maintenance and repair services;Jordan;2016 4th quarter;0.0;1.0;1.0
8589;SB Maintenance and repair services;Jordan;2016;;;5.0
8590;SB Maintenance and repair services;Jordan;2017 1st quarter;0.0;1.0;1.0
8591;SB Maintenance and repair services;Jordan;2017 2nd quarter;0.0;1.0;1.0
8592;SB Maintenance and repair services;Jordan;2017 3rd quarter;0.0;1.0;1.0
8593;SB Maintenance and repair services;Jordan;2017 4th quarter;;;1.0
8594;SB Maintenance and repair services;Jordan;2017;;;4.0
8595;SB Maintenance and repair services;Jordan;2018 1st quarter;0.0;1.0;0.0
8596;SB Maintenance and repair services;Jordan;2018 2nd quarter;0.0;1.0;1.0
8597;SB Maintenance and repair services;Jordan;2018 3rd quarter;0.0;1.0;1.0
8598;SB Maintenance and repair services;Jordan;2018 4th quarter;;1.0;1.0
8599;SB Maintenance and repair services;Jordan;2018;1.0;4.0;3.0
8600;SB Maintenance and repair services;Jordan;2019 1st quarter;0.0;0.0;0.0
8601;SB Maintenance and repair services;Jordan;2019 2nd quarter;;1.0;1.0
8602;SB Maintenance and repair services;Jordan;2019 3rd quarter;0.0;1.0;1.0
8603;SB Maintenance and repair services;Jordan;2019 4th quarter;;1.0;1.0
8604;SB Maintenance and repair services;Jordan;2019;0.0;4.0;4.0
8605;SB Maintenance and repair services;Jordan;2020 1st quarter;0.0;0.0;0.0
8606;SB Maintenance and repair services;Jordan;2020 2nd quarter;;1.0;1.0
8607;SB Maintenance and repair services;Jordan;2020 3rd quarter;0.0;0.0;0.0
8608;SB Maintenance and repair services;Jordan;2020 4th quarter;;0.0;0.0
8609;SB Maintenance and repair services;Jordan;2020;0.0;2.0;2.0
8610;SB Maintenance and repair services;Latvia;2014 1st quarter;0.0;0.0;0.0
8611;SB Maintenance and repair services;Latvia;2014 2nd quarter;0.0;0.0;0.0
8612;SB Maintenance and repair services;Latvia;2014 3rd quarter;0.0;0.0;0.0
8613;SB Maintenance and repair services;Latvia;2014 4th quarter;0.0;0.0;0.0
8614;SB Maintenance and repair services;Latvia;2014;1.0;2.0;1.0
8615;SB Maintenance and repair services;Latvia;2015 1st quarter;0.0;1.0;0.0
8616;SB Maintenance and repair services;Latvia;2015 2nd quarter;0.0;1.0;1.0
8617;SB Maintenance and repair services;Latvia;2015 3rd quarter;0.0;1.0;1.0
8618;SB Maintenance and repair services;Latvia;2015 4th quarter;0.0;1.0;0.0
8619;SB Maintenance and repair services;Latvia;2015;1.0;3.0;2.0
8620;SB Maintenance and repair services;Latvia;2016 1st quarter;0.0;0.0;0.0
8621;SB Maintenance and repair services;Latvia;2016 2nd quarter;0.0;0.0;0.0
8622;SB Maintenance and repair services;Latvia;2016 3rd quarter;0.0;0.0;0.0
8623;SB Maintenance and repair services;Latvia;2016 4th quarter;0.0;0.0;0.0
8624;SB Maintenance and repair services;Latvia;2016;1.0;1.0;1.0
8625;SB Maintenance and repair services;Latvia;2017 1st quarter;0.0;0.0;0.0
8626;SB Maintenance and repair services;Latvia;2017 2nd quarter;0.0;0.0;0.0
8627;SB Maintenance and repair services;Latvia;2017 3rd quarter;0.0;0.0;0.0
8628;SB Maintenance and repair services;Latvia;2017 4th quarter;0.0;0.0;0.0
8629;SB Maintenance and repair services;Latvia;2017;0.0;1.0;1.0
8630;SB Maintenance and repair services;Latvia;2018 1st quarter;0.0;0.0;0.0
8631;SB Maintenance and repair services;Latvia;2018 2nd quarter;0.0;2.0;2.0
8632;SB Maintenance and repair services;Latvia;2018 3rd quarter;0.0;2.0;2.0
8633;SB Maintenance and repair services;Latvia;2018 4th quarter;;;2.0
8634;SB Maintenance and repair services;Latvia;2018;;;7.0
8635;SB Maintenance and repair services;Latvia;2019 1st quarter;0.0;4.0;4.0
8636;SB Maintenance and repair services;Latvia;2019 2nd quarter;0.0;0.0;0.0
8637;SB Maintenance and repair services;Latvia;2019 3rd quarter;0.0;3.0;3.0
8638;SB Maintenance and repair services;Latvia;2019 4th quarter;;;0.0
8639;SB Maintenance and repair services;Latvia;2019;;;8.0
8640;SB Maintenance and repair services;Latvia;2020 1st quarter;0.0;3.0;3.0
8641;SB Maintenance and repair services;Latvia;2020 2nd quarter;0.0;0.0;0.0
8642;SB Maintenance and repair services;Latvia;2020 3rd quarter;0.0;2.0;2.0
8643;SB Maintenance and repair services;Latvia;2020 4th quarter;;;0.0
8644;SB Maintenance and repair services;Latvia;2020;;;5.0
8645;SB Maintenance and repair services;Liechtenstein;2014 1st quarter;0.0;0.0;0.0
8646;SB Maintenance and repair services;Liechtenstein;2014 2nd quarter;0.0;0.0;0.0
8647;SB Maintenance and repair services;Liechtenstein;2014 3rd quarter;0.0;0.0;0.0
8648;SB Maintenance and repair services;Liechtenstein;2014 4th quarter;0.0;0.0;0.0
8649;SB Maintenance and repair services;Liechtenstein;2014;0.0;0.0;0.0
8650;SB Maintenance and repair services;Liechtenstein;2015 1st quarter;0.0;0.0;0.0
8651;SB Maintenance and repair services;Liechtenstein;2015 2nd quarter;0.0;0.0;0.0
8652;SB Maintenance and repair services;Liechtenstein;2015 3rd quarter;0.0;0.0;0.0
8653;SB Maintenance and repair services;Liechtenstein;2015 4th quarter;0.0;0.0;0.0
8654;SB Maintenance and repair services;Liechtenstein;2015;0.0;0.0;0.0
8655;SB Maintenance and repair services;Liechtenstein;2016 1st quarter;0.0;0.0;0.0
8656;SB Maintenance and repair services;Liechtenstein;2016 2nd quarter;0.0;0.0;0.0
8657;SB Maintenance and repair services;Liechtenstein;2016 3rd quarter;0.0;0.0;0.0
8658;SB Maintenance and repair services;Liechtenstein;2016 4th quarter;0.0;0.0;0.0
8659;SB Maintenance and repair services;Liechtenstein;2016;0.0;0.0;0.0
8660;SB Maintenance and repair services;Liechtenstein;2017 1st quarter;0.0;0.0;0.0
8661;SB Maintenance and repair services;Liechtenstein;2017 2nd quarter;0.0;0.0;0.0
8662;SB Maintenance and repair services;Liechtenstein;2017 3rd quarter;0.0;0.0;0.0
8663;SB Maintenance and repair services;Liechtenstein;2017 4th quarter;0.0;0.0;0.0
8664;SB Maintenance and repair services;Liechtenstein;2017;0.0;0.0;0.0
8665;SB Maintenance and repair services;Liechtenstein;2018 1st quarter;0.0;0.0;0.0
8666;SB Maintenance and repair services;Liechtenstein;2018 2nd quarter;0.0;0.0;0.0
8667;SB Maintenance and repair services;Liechtenstein;2018 3rd quarter;0.0;0.0;0.0
8668;SB Maintenance and repair services;Liechtenstein;2018 4th quarter;0.0;0.0;0.0
8669;SB Maintenance and repair services;Liechtenstein;2018;0.0;0.0;0.0
8670;SB Maintenance and repair services;Liechtenstein;2019 1st quarter;0.0;0.0;0.0
8671;SB Maintenance and repair services;Liechtenstein;2019 2nd quarter;0.0;0.0;0.0
8672;SB Maintenance and repair services;Liechtenstein;2019 3rd quarter;0.0;0.0;0.0
8673;SB Maintenance and repair services;Liechtenstein;2019 4th quarter;0.0;0.0;0.0
8674;SB Maintenance and repair services;Liechtenstein;2019;0.0;0.0;0.0
8675;SB Maintenance and repair services;Liechtenstein;2020 1st quarter;0.0;0.0;0.0
8676;SB Maintenance and repair services;Liechtenstein;2020 2nd quarter;0.0;0.0;0.0
8677;SB Maintenance and repair services;Liechtenstein;2020 3rd quarter;0.0;0.0;0.0
8678;SB Maintenance and repair services;Liechtenstein;2020 4th quarter;0.0;0.0;0.0
8679;SB Maintenance and repair services;Liechtenstein;2020;0.0;0.0;0.0
8680;SB Maintenance and repair services;Lithuania;2014 1st quarter;0.0;1.0;0.0
8681;SB Maintenance and repair services;Lithuania;2014 2nd quarter;0.0;1.0;0.0
8682;SB Maintenance and repair services;Lithuania;2014 3rd quarter;0.0;1.0;0.0
8683;SB Maintenance and repair services;Lithuania;2014 4th quarter;0.0;1.0;0.0
8684;SB Maintenance and repair services;Lithuania;2014;1.0;3.0;2.0
8685;SB Maintenance and repair services;Lithuania;2015 1st quarter;1.0;0.0;0.0
8686;SB Maintenance and repair services;Lithuania;2015 2nd quarter;1.0;0.0;0.0
8687;SB Maintenance and repair services;Lithuania;2015 3rd quarter;1.0;0.0;0.0
8688;SB Maintenance and repair services;Lithuania;2015 4th quarter;1.0;0.0;0.0
8689;SB Maintenance and repair services;Lithuania;2015;3.0;2.0;-1.0
8690;SB Maintenance and repair services;Lithuania;2016 1st quarter;1.0;1.0;0.0
8691;SB Maintenance and repair services;Lithuania;2016 2nd quarter;1.0;1.0;0.0
8692;SB Maintenance and repair services;Lithuania;2016 3rd quarter;1.0;1.0;0.0
8693;SB Maintenance and repair services;Lithuania;2016 4th quarter;1.0;1.0;0.0
8694;SB Maintenance and repair services;Lithuania;2016;4.0;3.0;-1.0
8695;SB Maintenance and repair services;Lithuania;2017 1st quarter;1.0;1.0;0.0
8696;SB Maintenance and repair services;Lithuania;2017 2nd quarter;2.0;1.0;-1.0
8697;SB Maintenance and repair services;Lithuania;2017 3rd quarter;1.0;1.0;-1.0
8698;SB Maintenance and repair services;Lithuania;2017 4th quarter;1.0;1.0;-1.0
8699;SB Maintenance and repair services;Lithuania;2017;6.0;3.0;-3.0
8700;SB Maintenance and repair services;Lithuania;2018 1st quarter;3.0;1.0;-2.0
8701;SB Maintenance and repair services;Lithuania;2018 2nd quarter;4.0;1.0;-3.0
8702;SB Maintenance and repair services;Lithuania;2018 3rd quarter;4.0;1.0;-3.0
8703;SB Maintenance and repair services;Lithuania;2018 4th quarter;;;-2.0
8704;SB Maintenance and repair services;Lithuania;2018;;;-11.0
8705;SB Maintenance and repair services;Lithuania;2019 1st quarter;;;-3.0
8706;SB Maintenance and repair services;Lithuania;2019 2nd quarter;4.0;1.0;-4.0
8707;SB Maintenance and repair services;Lithuania;2019 3rd quarter;9.0;1.0;-8.0
8708;SB Maintenance and repair services;Lithuania;2019 4th quarter;;;-2.0
8709;SB Maintenance and repair services;Lithuania;2019;19.0;3.0;-16.0
8710;SB Maintenance and repair services;Lithuania;2020 1st quarter;;;-2.0
8711;SB Maintenance and repair services;Lithuania;2020 2nd quarter;4.0;1.0;-3.0
8712;SB Maintenance and repair services;Lithuania;2020 3rd quarter;8.0;1.0;-7.0
8713;SB Maintenance and repair services;Lithuania;2020 4th quarter;;;-1.0
8714;SB Maintenance and repair services;Lithuania;2020;17.0;3.0;-14.0
8715;SB Maintenance and repair services;Luxembourg;2014 1st quarter;3.0;4.0;0.0
8716;SB Maintenance and repair services;Luxembourg;2014 2nd quarter;1.0;4.0;3.0
8717;SB Maintenance and repair services;Luxembourg;2014 3rd quarter;;;-5.0
8718;SB Maintenance and repair services;Luxembourg;2014 4th quarter;;;-6.0
8719;SB Maintenance and repair services;Luxembourg;2014;23.0;15.0;-7.0
8720;SB Maintenance and repair services;Luxembourg;2015 1st quarter;4.0;5.0;1.0
8721;SB Maintenance and repair services;Luxembourg;2015 2nd quarter;3.0;6.0;3.0
8722;SB Maintenance and repair services;Luxembourg;2015 3rd quarter;5.0;4.0;-1.0
8723;SB Maintenance and repair services;Luxembourg;2015 4th quarter;7.0;5.0;-2.0
8724;SB Maintenance and repair services;Luxembourg;2015;20.0;19.0;0.0
8725;SB Maintenance and repair services;Luxembourg;2016 1st quarter;;;-3.0
8726;SB Maintenance and repair services;Luxembourg;2016 2nd quarter;7.0;6.0;-1.0
8727;SB Maintenance and repair services;Luxembourg;2016 3rd quarter;5.0;6.0;1.0
8728;SB Maintenance and repair services;Luxembourg;2016 4th quarter;7.0;8.0;1.0
8729;SB Maintenance and repair services;Luxembourg;2016;;;-2.0
8730;SB Maintenance and repair services;Luxembourg;2017 1st quarter;4.0;5.0;1.0
8731;SB Maintenance and repair services;Luxembourg;2017 2nd quarter;2.0;4.0;2.0
8732;SB Maintenance and repair services;Luxembourg;2017 3rd quarter;3.0;3.0;0.0
8733;SB Maintenance and repair services;Luxembourg;2017 4th quarter;8.0;8.0;0.0
8734;SB Maintenance and repair services;Luxembourg;2017;17.0;20.0;3.0
8735;SB Maintenance and repair services;Luxembourg;2018 1st quarter;3.0;4.0;1.0
8736;SB Maintenance and repair services;Luxembourg;2018 2nd quarter;7.0;7.0;0.0
8737;SB Maintenance and repair services;Luxembourg;2018 3rd quarter;3.0;4.0;0.0
8738;SB Maintenance and repair services;Luxembourg;2018 4th quarter;;;-4.0
8739;SB Maintenance and repair services;Luxembourg;2018;;;-4.0
8740;SB Maintenance and repair services;Luxembourg;2019 1st quarter;7.0;4.0;-4.0
8741;SB Maintenance and repair services;Luxembourg;2019 2nd quarter;;;3.0
8742;SB Maintenance and repair services;Luxembourg;2019 3rd quarter;5.0;7.0;2.0
8743;SB Maintenance and repair services;Luxembourg;2019 4th quarter;;;-7.0
8744;SB Maintenance and repair services;Luxembourg;2019;27.0;20.0;-6.0
8745;SB Maintenance and repair services;Luxembourg;2020 1st quarter;7.0;4.0;-3.0
8746;SB Maintenance and repair services;Luxembourg;2020 2nd quarter;;;2.0
8747;SB Maintenance and repair services;Luxembourg;2020 3rd quarter;7.0;6.0;-1.0
8748;SB Maintenance and repair services;Luxembourg;2020 4th quarter;;;-3.0
8749;SB Maintenance and repair services;Luxembourg;2020;24.0;18.0;-6.0
8750;SB Maintenance and repair services;Malaysia;2014 1st quarter;0.0;2.0;2.0
8751;SB Maintenance and repair services;Malaysia;2014 2nd quarter;0.0;2.0;2.0
8752;SB Maintenance and repair services;Malaysia;2014 3rd quarter;0.0;2.0;2.0
8753;SB Maintenance and repair services;Malaysia;2014 4th quarter;0.0;2.0;2.0
8754;SB Maintenance and repair services;Malaysia;2014;0.0;9.0;8.0
8755;SB Maintenance and repair services;Malaysia;2015 1st quarter;0.0;3.0;3.0
8756;SB Maintenance and repair services;Malaysia;2015 2nd quarter;0.0;3.0;3.0
8757;SB Maintenance and repair services;Malaysia;2015 3rd quarter;0.0;3.0;3.0
8758;SB Maintenance and repair services;Malaysia;2015 4th quarter;0.0;3.0;3.0
8759;SB Maintenance and repair services;Malaysia;2015;0.0;12.0;12.0
8760;SB Maintenance and repair services;Malaysia;2016 1st quarter;0.0;2.0;2.0
8761;SB Maintenance and repair services;Malaysia;2016 2nd quarter;0.0;2.0;2.0
8762;SB Maintenance and repair services;Malaysia;2016 3rd quarter;0.0;2.0;2.0
8763;SB Maintenance and repair services;Malaysia;2016 4th quarter;;;2.0
8764;SB Maintenance and repair services;Malaysia;2016;;;9.0
8765;SB Maintenance and repair services;Malaysia;2017 1st quarter;0.0;;
8766;SB Maintenance and repair services;Malaysia;2017 2nd quarter;0.0;4.0;4.0
8767;SB Maintenance and repair services;Malaysia;2017 3rd quarter;0.0;4.0;4.0
8768;SB Maintenance and repair services;Malaysia;2017 4th quarter;0.0;;
8769;SB Maintenance and repair services;Malaysia;2017;0.0;27.0;27.0
8770;SB Maintenance and repair services;Malaysia;2018 1st quarter;0.0;6.0;6.0
8771;SB Maintenance and repair services;Malaysia;2018 2nd quarter;0.0;4.0;4.0
8772;SB Maintenance and repair services;Malaysia;2018 3rd quarter;0.0;5.0;5.0
8773;SB Maintenance and repair services;Malaysia;2018 4th quarter;0.0;5.0;5.0
8774;SB Maintenance and repair services;Malaysia;2018;0.0;19.0;19.0
8775;SB Maintenance and repair services;Malaysia;2019 1st quarter;0.0;6.0;6.0
8776;SB Maintenance and repair services;Malaysia;2019 2nd quarter;0.0;4.0;4.0
8777;SB Maintenance and repair services;Malaysia;2019 3rd quarter;0.0;4.0;4.0
8778;SB Maintenance and repair services;Malaysia;2019 4th quarter;0.0;4.0;4.0
8779;SB Maintenance and repair services;Malaysia;2019;0.0;19.0;19.0
8780;SB Maintenance and repair services;Malaysia;2020 1st quarter;0.0;6.0;6.0
8781;SB Maintenance and repair services;Malaysia;2020 2nd quarter;0.0;4.0;4.0
8782;SB Maintenance and repair services;Malaysia;2020 3rd quarter;0.0;3.0;3.0
8783;SB Maintenance and repair services;Malaysia;2020 4th quarter;0.0;3.0;3.0
8784;SB Maintenance and repair services;Malaysia;2020;0.0;16.0;16.0
8785;SB Maintenance and repair services;Malta;2014 1st quarter;0.0;0.0;0.0
8786;SB Maintenance and repair services;Malta;2014 2nd quarter;0.0;1.0;1.0
8787;SB Maintenance and repair services;Malta;2014 3rd quarter;0.0;1.0;0.0
8788;SB Maintenance and repair services;Malta;2014 4th quarter;0.0;1.0;1.0
8789;SB Maintenance and repair services;Malta;2014;1.0;3.0;2.0
8790;SB Maintenance and repair services;Malta;2015 1st quarter;0.0;1.0;1.0
8791;SB Maintenance and repair services;Malta;2015 2nd quarter;0.0;1.0;1.0
8792;SB Maintenance and repair services;Malta;2015 3rd quarter;0.0;0.0;0.0
8793;SB Maintenance and repair services;Malta;2015 4th quarter;0.0;1.0;1.0
8794;SB Maintenance and repair services;Malta;2015;0.0;3.0;3.0
8795;SB Maintenance and repair services;Malta;2016 1st quarter;0.0;1.0;0.0
8796;SB Maintenance and repair services;Malta;2016 2nd quarter;0.0;1.0;0.0
8797;SB Maintenance and repair services;Malta;2016 3rd quarter;0.0;1.0;1.0
8798;SB Maintenance and repair services;Malta;2016 4th quarter;0.0;1.0;0.0
8799;SB Maintenance and repair services;Malta;2016;1.0;3.0;2.0
8800;SB Maintenance and repair services;Malta;2017 1st quarter;;;-1.0
8801;SB Maintenance and repair services;Malta;2017 2nd quarter;1.0;1.0;0.0
8802;SB Maintenance and repair services;Malta;2017 3rd quarter;1.0;1.0;-1.0
8803;SB Maintenance and repair services;Malta;2017 4th quarter;;;-1.0
8804;SB Maintenance and repair services;Malta;2017;5.0;3.0;-3.0
8805;SB Maintenance and repair services;Malta;2018 1st quarter;1.0;6.0;5.0
8806;SB Maintenance and repair services;Malta;2018 2nd quarter;2.0;3.0;2.0
8807;SB Maintenance and repair services;Malta;2018 3rd quarter;2.0;1.0;-1.0
8808;SB Maintenance and repair services;Malta;2018 4th quarter;1.0;0.0;0.0
8809;SB Maintenance and repair services;Malta;2018;6.0;11.0;5.0
8810;SB Maintenance and repair services;Malta;2019 1st quarter;1.0;0.0;-1.0
8811;SB Maintenance and repair services;Malta;2019 2nd quarter;1.0;0.0;-1.0
8812;SB Maintenance and repair services;Malta;2019 3rd quarter;2.0;0.0;-2.0
8813;SB Maintenance and repair services;Malta;2019 4th quarter;3.0;3.0;0.0
8814;SB Maintenance and repair services;Malta;2019;7.0;4.0;-3.0
8815;SB Maintenance and repair services;Malta;2020 1st quarter;1.0;0.0;-1.0
8816;SB Maintenance and repair services;Malta;2020 2nd quarter;1.0;0.0;-1.0
8817;SB Maintenance and repair services;Malta;2020 3rd quarter;2.0;0.0;-2.0
8818;SB Maintenance and repair services;Malta;2020 4th quarter;3.0;3.0;0.0
8819;SB Maintenance and repair services;Malta;2020;7.0;4.0;-3.0
8820;SB Maintenance and repair services;Morocco;2014 1st quarter;0.0;0.0;0.0
8821;SB Maintenance and repair services;Morocco;2014 2nd quarter;0.0;0.0;0.0
8822;SB Maintenance and repair services;Morocco;2014 3rd quarter;0.0;0.0;0.0
8823;SB Maintenance and repair services;Morocco;2014 4th quarter;0.0;0.0;0.0
8824;SB Maintenance and repair services;Morocco;2014;0.0;1.0;1.0
8825;SB Maintenance and repair services;Morocco;2015 1st quarter;0.0;0.0;0.0
8826;SB Maintenance and repair services;Morocco;2015 2nd quarter;0.0;0.0;0.0
8827;SB Maintenance and repair services;Morocco;2015 3rd quarter;0.0;0.0;0.0
8828;SB Maintenance and repair services;Morocco;2015 4th quarter;0.0;0.0;0.0
8829;SB Maintenance and repair services;Morocco;2015;0.0;0.0;0.0
8830;SB Maintenance and repair services;Morocco;2016 1st quarter;0.0;0.0;0.0
8831;SB Maintenance and repair services;Morocco;2016 2nd quarter;0.0;0.0;0.0
8832;SB Maintenance and repair services;Morocco;2016 3rd quarter;;;0.0
8833;SB Maintenance and repair services;Morocco;2016 4th quarter;0.0;0.0;0.0
8834;SB Maintenance and repair services;Morocco;2016;;;1.0
8835;SB Maintenance and repair services;Morocco;2017 1st quarter;0.0;0.0;0.0
8836;SB Maintenance and repair services;Morocco;2017 2nd quarter;0.0;0.0;0.0
8837;SB Maintenance and repair services;Morocco;2017 3rd quarter;0.0;0.0;0.0
8838;SB Maintenance and repair services;Morocco;2017 4th quarter;0.0;0.0;0.0
8839;SB Maintenance and repair services;Morocco;2017;0.0;1.0;1.0
8840;SB Maintenance and repair services;Morocco;2018 1st quarter;0.0;0.0;0.0
8841;SB Maintenance and repair services;Morocco;2018 2nd quarter;0.0;0.0;0.0
