ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
456;1500d Manufacturing industry total;Other countries;2005 September;8;98
457;1500d Manufacturing industry total;Other countries;2005 3rd quarter;7;97
458;1500d Manufacturing industry total;Other countries;2005 October;5;97
459;1500d Manufacturing industry total;Other countries;2005 November;6;98
460;1500d Manufacturing industry total;Other countries;2005 December;0;98
461;1500d Manufacturing industry total;Other countries;2005 4th quarter;4;97
462;1500d Manufacturing industry total;Other countries;2005;7;94
463;1500d Manufacturing industry total;Other countries;2006 January;8;98
464;1500d Manufacturing industry total;Other countries;2006 February;8;97
465;1500b Food, beverages and tobacco;Destination total;1997 January;9;95
466;1500b Food, beverages and tobacco;Destination total;1997 February;4;95
467;1500b Food, beverages and tobacco;Destination total;1997 March;4;95
468;1500b Food, beverages and tobacco;Destination total;1997 1st quarter;5;95
469;1500b Food, beverages and tobacco;Destination total;1997 April;12;95
470;1500b Food, beverages and tobacco;Destination total;1997 May;7;95
471;1500b Food, beverages and tobacco;Destination total;1997 June;8;95
472;1500b Food, beverages and tobacco;Destination total;1997 2nd quarter;9;95
473;1500b Food, beverages and tobacco;Destination total;1997 July;9;95
474;1500b Food, beverages and tobacco;Destination total;1997 August;5;95
475;1500b Food, beverages and tobacco;Destination total;1997 September;10;95
476;1500b Food, beverages and tobacco;Destination total;1997 3rd quarter;8;95
477;1500b Food, beverages and tobacco;Destination total;1997 October;10;94
478;1500b Food, beverages and tobacco;Destination total;1997 November;7;96
479;1500b Food, beverages and tobacco;Destination total;1997 December;10;96
480;1500b Food, beverages and tobacco;Destination total;1997 4th quarter;9;94
481;1500b Food, beverages and tobacco;Destination total;1997;8;94
482;1500b Food, beverages and tobacco;Destination total;1998 January;4;90
483;1500b Food, beverages and tobacco;Destination total;1998 February;10;90
484;1500b Food, beverages and tobacco;Destination total;1998 March;10;90
485;1500b Food, beverages and tobacco;Destination total;1998 1st quarter;7;90
486;1500b Food, beverages and tobacco;Destination total;1998 April;2;90
487;1500b Food, beverages and tobacco;Destination total;1998 May;0;90
488;1500b Food, beverages and tobacco;Destination total;1998 June;4;90
489;1500b Food, beverages and tobacco;Destination total;1998 2nd quarter;2;90
490;1500b Food, beverages and tobacco;Destination total;1998 July;3;90
491;1500b Food, beverages and tobacco;Destination total;1998 August;-1;90
492;1500b Food, beverages and tobacco;Destination total;1998 September;1;90
493;1500b Food, beverages and tobacco;Destination total;1998 3rd quarter;1;90
494;1500b Food, beverages and tobacco;Destination total;1998 October;-5;90
495;1500b Food, beverages and tobacco;Destination total;1998 November;-2;90
496;1500b Food, beverages and tobacco;Destination total;1998 December;-2;90
497;1500b Food, beverages and tobacco;Destination total;1998 4th quarter;-3;90
498;1500b Food, beverages and tobacco;Destination total;1998;2;89
499;1500b Food, beverages and tobacco;Destination total;1999 January;-10;97
500;1500b Food, beverages and tobacco;Destination total;1999 February;0;97
501;1500b Food, beverages and tobacco;Destination total;1999 March;0;97
502;1500b Food, beverages and tobacco;Destination total;1999 1st quarter;-5;96
503;1500b Food, beverages and tobacco;Destination total;1999 April;-6;96
504;1500b Food, beverages and tobacco;Destination total;1999 May;-7;96
505;1500b Food, beverages and tobacco;Destination total;1999 June;0;96
506;1500b Food, beverages and tobacco;Destination total;1999 2nd quarter;-4;95
507;1500b Food, beverages and tobacco;Destination total;1999 July;-8;96
508;1500b Food, beverages and tobacco;Destination total;1999 August;0;96
509;1500b Food, beverages and tobacco;Destination total;1999 September;0;95
510;1500b Food, beverages and tobacco;Destination total;1999 3rd quarter;-3;95
511;1500b Food, beverages and tobacco;Destination total;1999 October;-3;95
512;1500b Food, beverages and tobacco;Destination total;1999 November;8;95
513;1500b Food, beverages and tobacco;Destination total;1999 December;11;95
514;1500b Food, beverages and tobacco;Destination total;1999 4th quarter;5;95
515;1500b Food, beverages and tobacco;Destination total;1999;-2;94
516;1500b Food, beverages and tobacco;Destination total;2000 January;0;95
517;1500b Food, beverages and tobacco;Destination total;2000 February;3;96
518;1500b Food, beverages and tobacco;Destination total;2000 March;3;96
519;1500b Food, beverages and tobacco;Destination total;2000 1st quarter;4;95
520;1500b Food, beverages and tobacco;Destination total;2000 April;-3;96
521;1500b Food, beverages and tobacco;Destination total;2000 May;18;97
522;1500b Food, beverages and tobacco;Destination total;2000 June;0;97
523;1500b Food, beverages and tobacco;Destination total;2000 2nd quarter;5;96
524;1500b Food, beverages and tobacco;Destination total;2000 July;2;98
525;1500b Food, beverages and tobacco;Destination total;2000 August;13;97
526;1500b Food, beverages and tobacco;Destination total;2000 September;2;97
527;1500b Food, beverages and tobacco;Destination total;2000 3rd quarter;6;97
528;1500b Food, beverages and tobacco;Destination total;2000 October;7;97
529;1500b Food, beverages and tobacco;Destination total;2000 November;5;97
530;1500b Food, beverages and tobacco;Destination total;2000 December;-4;96
531;1500b Food, beverages and tobacco;Destination total;2000 4th quarter;3;96
532;1500b Food, beverages and tobacco;Destination total;2000;5;93
533;1500b Food, beverages and tobacco;Destination total;2001 January;18;97
534;1500b Food, beverages and tobacco;Destination total;2001 February;7;97
535;1500b Food, beverages and tobacco;Destination total;2001 March;1;98
536;1500b Food, beverages and tobacco;Destination total;2001 1st quarter;8;97
537;1500b Food, beverages and tobacco;Destination total;2001 April;6;98
538;1500b Food, beverages and tobacco;Destination total;2001 May;5;98
539;1500b Food, beverages and tobacco;Destination total;2001 June;8;97
540;1500b Food, beverages and tobacco;Destination total;2001 2nd quarter;7;97
541;1500b Food, beverages and tobacco;Destination total;2001 July;11;97
542;1500b Food, beverages and tobacco;Destination total;2001 August;5;97
543;1500b Food, beverages and tobacco;Destination total;2001 September;0;97
544;1500b Food, beverages and tobacco;Destination total;2001 3rd quarter;5;97
545;1500b Food, beverages and tobacco;Destination total;2001 October;10;97
546;1500b Food, beverages and tobacco;Destination total;2001 November;5;96
547;1500b Food, beverages and tobacco;Destination total;2001 December;0;96
548;1500b Food, beverages and tobacco;Destination total;2001 4th quarter;5;96
549;1500b Food, beverages and tobacco;Destination total;2001;7;95
550;1500b Food, beverages and tobacco;Destination total;2002 January;2;97
551;1500b Food, beverages and tobacco;Destination total;2002 February;3;96
552;1500b Food, beverages and tobacco;Destination total;2002 March;3;95
553;1500b Food, beverages and tobacco;Destination total;2002 1st quarter;3;95
554;1500b Food, beverages and tobacco;Destination total;2002 April;6;95
555;1500b Food, beverages and tobacco;Destination total;2002 May;0;95
556;1500b Food, beverages and tobacco;Destination total;2002 June;-6;94
557;1500b Food, beverages and tobacco;Destination total;2002 2nd quarter;0;95
558;1500b Food, beverages and tobacco;Destination total;2002 July;1;95
559;1500b Food, beverages and tobacco;Destination total;2002 August;-5;94
560;1500b Food, beverages and tobacco;Destination total;2002 September;4;93
561;1500b Food, beverages and tobacco;Destination total;2002 3rd quarter;0;93
562;1500b Food, beverages and tobacco;Destination total;2002 October;1;91
563;1500b Food, beverages and tobacco;Destination total;2002 November;-2;92
564;1500b Food, beverages and tobacco;Destination total;2002 December;5;91
565;1500b Food, beverages and tobacco;Destination total;2002 4th quarter;1;91
566;1500b Food, beverages and tobacco;Destination total;2002;1;92
567;1500b Food, beverages and tobacco;Destination total;2003 January;4;92
568;1500b Food, beverages and tobacco;Destination total;2003 February;0;93
569;1500b Food, beverages and tobacco;Destination total;2003 March;-3;92
570;1500b Food, beverages and tobacco;Destination total;2003 1st quarter;0;91
571;1500b Food, beverages and tobacco;Destination total;2003 April;4;93
572;1500b Food, beverages and tobacco;Destination total;2003 May;-6;93
573;1500b Food, beverages and tobacco;Destination total;2003 June;2;93
574;1500b Food, beverages and tobacco;Destination total;2003 2nd quarter;-1;93
575;1500b Food, beverages and tobacco;Destination total;2003 July;-1;93
576;1500b Food, beverages and tobacco;Destination total;2003 August;-3;93
577;1500b Food, beverages and tobacco;Destination total;2003 September;6;93
578;1500b Food, beverages and tobacco;Destination total;2003 3rd quarter;0;93
579;1500b Food, beverages and tobacco;Destination total;2003 October;2;94
580;1500b Food, beverages and tobacco;Destination total;2003 November;-4;94
581;1500b Food, beverages and tobacco;Destination total;2003 December;2;95
582;1500b Food, beverages and tobacco;Destination total;2003 4th quarter;0;94
583;1500b Food, beverages and tobacco;Destination total;2003;0;90
584;1500b Food, beverages and tobacco;Destination total;2004 January;-5;95
585;1500b Food, beverages and tobacco;Destination total;2004 February;-4;95
586;1500b Food, beverages and tobacco;Destination total;2004 March;7;96
587;1500b Food, beverages and tobacco;Destination total;2004 1st quarter;-1;95
588;1500b Food, beverages and tobacco;Destination total;2004 April;-1;97
589;1500b Food, beverages and tobacco;Destination total;2004 May;-5;96
590;1500b Food, beverages and tobacco;Destination total;2004 June;9;96
591;1500b Food, beverages and tobacco;Destination total;2004 2nd quarter;1;95
592;1500b Food, beverages and tobacco;Destination total;2004 July;-1;96
593;1500b Food, beverages and tobacco;Destination total;2004 August;3;97
594;1500b Food, beverages and tobacco;Destination total;2004 September;0;97
595;1500b Food, beverages and tobacco;Destination total;2004 3rd quarter;0;97
596;1500b Food, beverages and tobacco;Destination total;2004 October;-6;97
597;1500b Food, beverages and tobacco;Destination total;2004 November;6;98
598;1500b Food, beverages and tobacco;Destination total;2004 December;7;97
599;1500b Food, beverages and tobacco;Destination total;2004 4th quarter;2;97
600;1500b Food, beverages and tobacco;Destination total;2004;1;94
601;1500b Food, beverages and tobacco;Destination total;2005 January;-3;98
602;1500b Food, beverages and tobacco;Destination total;2005 February;-1;98
603;1500b Food, beverages and tobacco;Destination total;2005 March;-1;97
604;1500b Food, beverages and tobacco;Destination total;2005 1st quarter;-2;97
605;1500b Food, beverages and tobacco;Destination total;2005 April;-3;98
606;1500b Food, beverages and tobacco;Destination total;2005 May;1;98
607;1500b Food, beverages and tobacco;Destination total;2005 June;0;98
608;1500b Food, beverages and tobacco;Destination total;2005 2nd quarter;0;98
609;1500b Food, beverages and tobacco;Destination total;2005 July;-2;98
610;1500b Food, beverages and tobacco;Destination total;2005 August;3;98
611;1500b Food, beverages and tobacco;Destination total;2005 September;-1;98
612;1500b Food, beverages and tobacco;Destination total;2005 3rd quarter;2;96
613;1500b Food, beverages and tobacco;Destination total;2005 October;-1;98
614;1500b Food, beverages and tobacco;Destination total;2005 November;1;98
615;1500b Food, beverages and tobacco;Destination total;2005 December;-3;97
616;1500b Food, beverages and tobacco;Destination total;2005 4th quarter;0;97
