ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
961;201 Manufacture of basic chemicals;2007;310;50;30;25;30;35;35;35;65;45;265
962;201 Manufacture of basic chemicals;2008;310;65;30;25;35;30;35;30;65;45;265
963;201 Manufacture of basic chemicals;2009;315;60;35;25;30;35;30;35;65;50;265
964;201 Manufacture of basic chemicals;2010;310;65;35;25;30;35;30;35;65;45;265
965;2011 Manufacture of industrial gases;2006;10;0;0;0;0;5;0;0;0;0;10
966;2011 Manufacture of industrial gases;2007;10;0;0;0;0;5;0;0;0;0;10
967;2011 Manufacture of industrial gases;2008;15;0;5;0;0;0;0;0;5;0;15
968;2011 Manufacture of industrial gases;2009;10;0;0;0;0;0;0;0;5;0;10
969;2011 Manufacture of industrial gases;2010;10;0;0;0;0;0;0;0;5;0;10
970;2012 Manufacture of dyes and pigments;2006;35;5;5;0;5;5;5;5;5;5;30
971;2012 Manufacture of dyes and pigments;2007;30;5;5;5;5;5;5;5;5;5;25
972;2012 Manufacture of dyes and pigments;2008;30;5;0;5;0;5;5;5;5;5;25
973;2012 Manufacture of dyes and pigments;2009;30;5;5;5;5;5;5;5;5;5;25
974;2012 Manufacture of dyes and pigments;2010;30;5;5;5;5;5;5;5;5;5;25
975;2013 Manufacture other inorganic chemic;2006;35;5;5;0;5;0;5;5;10;5;30
976;2013 Manufacture other inorganic chemic;2007;30;5;0;0;5;0;5;5;10;0;30
977;2013 Manufacture other inorganic chemic;2008;30;5;0;0;5;0;5;5;10;0;25
978;2013 Manufacture other inorganic chemic;2009;30;5;0;0;0;0;5;5;10;0;30
979;2013 Manufacture other inorganic chemic;2010;30;5;0;0;0;0;5;5;10;0;30
980;20141 Manufacture of petrochemicals;2006;15;0;0;0;0;0;0;5;5;5;10
981;20141 Manufacture of petrochemicals;2007;20;5;0;0;0;0;0;5;5;5;15
982;20141 Manufacture of petrochemicals;2008;20;5;0;0;5;0;5;0;5;5;20
983;20141 Manufacture of petrochemicals;2009;25;5;0;5;0;0;0;5;10;5;20
984;20141 Manufacture of petrochemicals;2010;25;5;0;5;5;0;0;5;5;5;25
985;20149 Manufacture other organic chemical;2006;40;5;5;0;5;5;5;5;15;10;35
986;20149 Manufacture other organic chemical;2007;45;10;5;5;5;5;5;5;15;10;40
987;20149 Manufacture other organic chemical;2008;45;10;5;0;5;5;5;5;10;5;40
988;20149 Manufacture other organic chemical;2009;50;5;5;5;5;5;5;10;10;10;40
989;20149 Manufacture other organic chemical;2010;45;5;5;5;5;5;5;10;10;5;40
990;2015 Manufacture of fertilisers;2006;30;10;5;0;5;5;0;0;5;5;25
991;2015 Manufacture of fertilisers;2007;30;5;5;5;5;5;0;0;5;5;25
992;2015 Manufacture of fertilisers;2008;30;10;5;0;5;5;0;0;5;5;25
993;2015 Manufacture of fertilisers;2009;30;10;5;0;5;0;0;0;5;5;25
994;2015 Manufacture of fertilisers;2010;30;10;5;0;5;5;0;0;5;5;25
995;2016 Manufacture plastics (primary form);2006;125;25;10;10;10;20;15;10;25;20;105
996;2016 Manufacture plastics (primary form);2007;130;20;10;15;15;20;15;10;25;20;110
997;2016 Manufacture plastics (primary form);2008;135;30;10;15;20;15;15;10;20;20;115
998;2016 Manufacture plastics (primary form);2009;130;25;15;10;15;20;10;10;25;20;110
999;2016 Manufacture plastics (primary form);2010;130;30;15;10;15;15;10;10;20;20;105
1000;2017 Manufacture of synthetic rubber;2006;10;0;0;0;0;0;5;0;0;0;5
1001;2017 Manufacture of synthetic rubber;2007;10;0;5;0;0;0;5;0;0;0;5
1002;2017 Manufacture of synthetic rubber;2008;10;0;0;0;0;0;0;0;0;0;5
1003;2017 Manufacture of synthetic rubber;2009;10;0;0;5;0;5;0;0;0;0;10
1004;2017 Manufacture of synthetic rubber;2010;10;0;0;0;0;5;0;0;0;0;5
1005;202 Manufacture agrochemical products;2006;20;5;5;0;0;0;5;0;5;5;15
1006;202 Manufacture agrochemical products;2007;20;5;0;0;0;0;5;0;0;0;20
1007;202 Manufacture agrochemical products;2008;20;10;0;0;5;0;0;0;0;0;20
1008;202 Manufacture agrochemical products;2009;20;10;5;0;5;0;0;0;0;5;20
1009;202 Manufacture agrochemical products;2010;20;5;5;0;5;0;0;0;0;0;15
1010;2020 Manufacture agrochemical products;2006;20;5;5;0;0;0;5;0;5;5;15
1011;2020 Manufacture agrochemical products;2007;20;5;0;0;0;0;5;0;0;0;20
1012;2020 Manufacture agrochemical products;2008;20;10;0;0;5;0;0;0;0;0;20
1013;2020 Manufacture agrochemical products;2009;20;10;5;0;5;0;0;0;0;5;20
1014;2020 Manufacture agrochemical products;2010;20;5;5;0;5;0;0;0;0;0;15
1015;203 Manufacture of paints and ink;2006;115;25;10;5;15;15;20;15;15;20;100
1016;203 Manufacture of paints and ink;2007;115;25;10;10;10;15;20;10;15;15;100
1017;203 Manufacture of paints and ink;2008;115;25;5;15;15;10;25;10;15;15;100
1018;203 Manufacture of paints and ink;2009;115;30;10;10;5;15;20;10;15;15;100
1019;203 Manufacture of paints and ink;2010;110;30;10;5;5;15;20;10;15;15;95
1020;2030 Manufacture of paints and ink;2006;115;25;10;5;15;15;20;15;15;20;100
1021;2030 Manufacture of paints and ink;2007;115;25;10;10;10;15;20;10;15;15;100
1022;2030 Manufacture of paints and ink;2008;115;25;5;15;15;10;25;10;15;15;100
1023;2030 Manufacture of paints and ink;2009;115;30;10;10;5;15;20;10;15;15;100
1024;2030 Manufacture of paints and ink;2010;110;30;10;5;5;15;20;10;15;15;95
1025;204 Manufacture detergents and cosmetics;2006;160;50;25;10;15;20;20;10;10;40;115
1026;204 Manufacture detergents and cosmetics;2007;160;40;25;20;15;20;20;10;10;45;115
1027;204 Manufacture detergents and cosmetics;2008;165;55;20;15;20;15;20;10;10;45;120
1028;204 Manufacture detergents and cosmetics;2009;175;65;20;15;10;20;20;10;10;50;125
1029;204 Manufacture detergents and cosmetics;2010;175;70;20;15;10;20;20;10;5;50;125
1030;2041 Manufacture of soap and cleaners;2006;75;20;10;5;5;15;10;5;10;15;60
1031;2041 Manufacture of soap and cleaners;2007;80;15;10;10;5;10;10;10;5;20;60
1032;2041 Manufacture of soap and cleaners;2008;85;20;10;10;5;10;10;5;5;20;65
1033;2041 Manufacture of soap and cleaners;2009;85;25;10;10;5;10;10;10;5;20;65
1034;2041 Manufacture of soap and cleaners;2010;80;25;10;10;10;10;10;10;5;20;65
1035;2042 Manufacture of perfumes, cosmetics;2006;80;30;15;5;10;5;10;0;5;25;55
1036;2042 Manufacture of perfumes, cosmetics;2007;85;25;15;5;10;10;10;5;5;30;55
1037;2042 Manufacture of perfumes, cosmetics;2008;85;35;15;5;10;10;5;0;5;25;55
1038;2042 Manufacture of perfumes, cosmetics;2009;90;45;10;5;5;10;10;5;5;30;60
1039;2042 Manufacture of perfumes, cosmetics;2010;95;45;10;5;5;10;10;5;5;30;65
1040;205 Manufacture of other chemicals;2006;110;30;5;5;10;10;15;15;20;15;95
1041;205 Manufacture of other chemicals;2007;110;25;10;5;10;10;20;15;20;15;95
1042;205 Manufacture of other chemicals;2008;110;30;5;10;5;5;25;10;20;15;100
1043;205 Manufacture of other chemicals;2009;110;25;5;10;10;5;20;15;15;15;90
1044;205 Manufacture of other chemicals;2010;105;30;5;10;10;5;15;15;15;15;90
1045;2051 Manufacture of explosives;2006;0;0;0;0;0;0;0;0;0;0;0
1046;2051 Manufacture of explosives;2007;0;0;0;0;0;0;0;0;0;0;0
1047;2051 Manufacture of explosives;2008;0;0;0;0;0;0;0;0;0;0;0
1048;2051 Manufacture of explosives;2009;0;0;0;0;0;0;0;0;0;0;0
1049;2051 Manufacture of explosives;2010;0;0;0;0;0;0;0;0;0;0;0
1050;2052 Manufacture of glues;2006;25;5;0;0;0;5;5;5;5;0;25
1051;2052 Manufacture of glues;2007;25;5;0;0;5;5;5;5;5;0;20
1052;2052 Manufacture of glues;2008;25;5;0;0;0;5;5;0;5;0;20
1053;2052 Manufacture of glues;2009;25;5;0;5;0;0;5;0;5;0;20
1054;2052 Manufacture of glues;2010;20;5;0;5;0;0;5;0;5;0;20
1055;2053 Manufacture of essential oils;2006;10;5;0;0;0;0;0;0;5;5;10
1056;2053 Manufacture of essential oils;2007;10;5;0;0;0;0;0;0;5;5;10
1057;2053 Manufacture of essential oils;2008;10;5;0;0;0;0;0;0;5;5;10
1058;2053 Manufacture of essential oils;2009;10;5;0;0;0;0;0;0;0;5;5
1059;2053 Manufacture of essential oils;2010;10;5;0;0;0;0;0;0;0;5;5
1060;2059 Manufacture of other chemicals;2006;75;20;5;0;5;5;10;10;15;10;65
1061;2059 Manufacture of other chemicals;2007;75;15;5;5;5;5;10;10;15;10;65
1062;2059 Manufacture of other chemicals;2008;75;20;5;5;5;5;15;10;10;10;70
1063;2059 Manufacture of other chemicals;2009;75;20;5;5;5;5;15;10;10;10;65
1064;2059 Manufacture of other chemicals;2010;70;20;5;5;5;5;10;10;10;10;60
1065;206 Manufacture of man-made fibres;2006;25;5;0;0;5;5;0;0;5;5;15
1066;206 Manufacture of man-made fibres;2007;25;5;0;0;5;5;0;0;5;10;15
1067;206 Manufacture of man-made fibres;2008;25;10;0;0;5;5;0;0;5;10;15
1068;206 Manufacture of man-made fibres;2009;30;10;0;0;5;5;0;0;5;10;20
1069;206 Manufacture of man-made fibres;2010;30;10;5;0;5;5;0;0;5;10;20
1070;2060 Manufacture of man-made fibres;2006;25;5;0;0;5;5;0;0;5;5;15
1071;2060 Manufacture of man-made fibres;2007;25;5;0;0;5;5;0;0;5;10;15
1072;2060 Manufacture of man-made fibres;2008;25;10;0;0;5;5;0;0;5;10;15
1073;2060 Manufacture of man-made fibres;2009;30;10;0;0;5;5;0;0;5;10;20
1074;2060 Manufacture of man-made fibres;2010;30;10;5;0;5;5;0;0;5;10;20
1075;21 Manufacture of pharmaceuticals;2006;155;45;20;10;15;15;15;10;25;25;130
1076;21 Manufacture of pharmaceuticals;2007;150;35;15;15;20;20;20;5;25;25;130
1077;21 Manufacture of pharmaceuticals;2008;160;45;15;15;20;10;20;10;25;20;140
1078;21 Manufacture of pharmaceuticals;2009;175;60;15;15;15;15;15;10;30;20;155
1079;21 Manufacture of pharmaceuticals;2010;180;65;15;15;20;15;15;10;30;20;155
1080;211 Manufacture of basic pharmaceuticals;2006;15;5;0;0;5;0;0;0;0;5;15
1081;211 Manufacture of basic pharmaceuticals;2007;15;5;0;0;5;0;0;0;0;5;15
1082;211 Manufacture of basic pharmaceuticals;2008;20;5;0;0;5;0;5;0;0;5;15
1083;211 Manufacture of basic pharmaceuticals;2009;20;5;0;5;5;0;0;0;0;5;15
1084;211 Manufacture of basic pharmaceuticals;2010;20;10;0;5;5;0;0;0;0;5;15
1085;2110 Manufacture basic pharmaceuticals;2006;15;5;0;0;5;0;0;0;0;5;15
1086;2110 Manufacture basic pharmaceuticals;2007;15;5;0;0;5;0;0;0;0;5;15
1087;2110 Manufacture basic pharmaceuticals;2008;20;5;0;0;5;0;5;0;0;5;15
1088;2110 Manufacture basic pharmaceuticals;2009;20;5;0;5;5;0;0;0;0;5;15
1089;2110 Manufacture basic pharmaceuticals;2010;20;10;0;5;5;0;0;0;0;5;15
1090;212 Manufacture of pharmaceuticals;2006;135;35;20;10;10;15;15;10;20;20;115
1091;212 Manufacture of pharmaceuticals;2007;135;30;15;15;15;15;15;5;25;20;115
1092;212 Manufacture of pharmaceuticals;2008;140;40;15;15;15;10;15;10;25;15;125
1093;212 Manufacture of pharmaceuticals;2009;155;55;15;15;15;15;10;5;25;20;140
1094;212 Manufacture of pharmaceuticals;2010;160;55;15;15;15;15;10;5;25;20;140
1095;2120 Manufacture of pharmaceuticals;2006;135;35;20;10;10;15;15;10;20;20;115
1096;2120 Manufacture of pharmaceuticals;2007;135;30;15;15;15;15;15;5;25;20;115
1097;2120 Manufacture of pharmaceuticals;2008;140;40;15;15;15;10;15;10;25;15;125
1098;2120 Manufacture of pharmaceuticals;2009;155;55;15;15;15;15;10;5;25;20;140
1099;2120 Manufacture of pharmaceuticals;2010;160;55;15;15;15;15;10;5;25;20;140
1100;22 Manufacture rubber, plastic products;2006;1215;260;155;135;165;155;180;85;75;340;875
1101;22 Manufacture rubber, plastic products;2007;1250;270;130;140;180;165;200;80;75;355;895
1102;22 Manufacture rubber, plastic products;2008;1265;300;140;145;195;165;170;85;70;350;920
1103;22 Manufacture rubber, plastic products;2009;1295;315;145;140;185;165;180;80;80;355;935
1104;22 Manufacture rubber, plastic products;2010;1255;325;145;135;180;155;160;75;75;360;900
1105;221 Manufacture of rubber products;2006;100;25;5;5;20;15;15;5;5;25;75
1106;221 Manufacture of rubber products;2007;100;25;5;5;25;15;15;5;5;30;70
1107;221 Manufacture of rubber products;2008;100;25;5;10;20;10;15;5;5;25;70
1108;221 Manufacture of rubber products;2009;100;25;5;10;15;15;15;5;10;25;75
1109;221 Manufacture of rubber products;2010;100;30;5;10;15;10;15;5;10;25;75
1110;2211 Manufacture of rubber tyres, tubes;2006;15;0;5;0;5;0;0;0;0;5;10
1111;2211 Manufacture of rubber tyres, tubes;2007;15;5;0;0;5;0;0;0;0;5;10
1112;2211 Manufacture of rubber tyres, tubes;2008;15;5;0;5;5;0;0;0;0;5;10
1113;2211 Manufacture of rubber tyres, tubes;2009;15;0;5;0;5;0;0;0;0;5;10
1114;2211 Manufacture of rubber tyres, tubes;2010;15;5;5;0;5;0;0;0;0;5;10
1115;2219 Manufacture other rubber products;2006;80;25;5;5;15;10;10;5;5;20;60
1116;2219 Manufacture other rubber products;2007;80;20;5;5;20;15;10;5;5;20;60
1117;2219 Manufacture other rubber products;2008;80;20;5;5;20;10;15;5;5;20;65
1118;2219 Manufacture other rubber products;2009;85;25;5;10;10;15;15;0;5;20;65
1119;2219 Manufacture other rubber products;2010;85;25;5;10;10;10;15;0;5;20;65
1120;222 Manufacture of plastic products;2006;1115;235;150;130;145;145;165;80;65;315;800
1121;222 Manufacture of plastic products;2007;1150;245;125;135;160;150;190;75;70;325;825
1122;222 Manufacture of plastic products;2008;1170;275;135;135;175;150;155;80;60;320;845
1123;222 Manufacture of plastic products;2009;1195;290;140;130;170;150;170;75;75;330;865
1124;222 Manufacture of plastic products;2010;1155;300;140;125;160;145;150;75;70;335;825
1125;2221 Manufacture plastic plates, tubes;2006;205;45;25;10;15;25;35;25;25;35;170
1126;2221 Manufacture plastic plates, tubes;2007;205;45;15;20;15;25;40;20;25;35;170
1127;2221 Manufacture plastic plates, tubes;2008;205;50;15;15;15;25;30;20;25;35;170
1128;2221 Manufacture plastic plates, tubes;2009;200;50;15;10;15;25;35;20;25;35;165
1129;2221 Manufacture plastic plates, tubes;2010;195;55;15;10;15;25;30;20;25;40;155
1130;2222 Manufacture plastic packing goods;2006;150;20;15;15;10;25;20;30;15;20;130
1131;2222 Manufacture plastic packing goods;2007;155;15;15;10;15;20;30;30;15;20;130
1132;2222 Manufacture plastic packing goods;2008;150;20;15;10;15;20;25;30;15;25;130
1133;2222 Manufacture plastic packing goods;2009;150;20;15;10;15;20;25;25;15;20;130
1134;2222 Manufacture plastic packing goods;2010;140;25;15;10;15;20;25;25;15;20;125
1135;2223 Manufacture plastic buildersÆ ware;2006;265;65;45;35;45;30;30;10;15;95;170
1136;2223 Manufacture plastic buildersÆ ware;2007;285;70;35;35;50;30;35;10;10;105;180
1137;2223 Manufacture plastic buildersÆ ware;2008;290;70;40;40;60;30;25;10;10;105;185
1138;2223 Manufacture plastic buildersÆ ware;2009;305;85;40;40;60;30;30;10;10;105;200
1139;2223 Manufacture plastic buildersÆ ware;2010;295;85;35;40;55;30;25;10;10;100;195
1140;2229 Manufacture other plastic products;2006;495;105;70;70;70;65;80;15;15;160;330
1141;2229 Manufacture other plastic products;2007;510;115;60;70;75;75;85;20;15;160;350
1142;2229 Manufacture other plastic products;2008;520;130;65;70;80;75;75;20;15;160;360
1143;2229 Manufacture other plastic products;2009;535;135;70;65;80;75;75;20;20;165;370
1144;2229 Manufacture other plastic products;2010;520;135;70;65;75;70;70;20;15;170;350
1145;23 Manufacture of building materials;2006;1680;680;295;150;180;150;125;40;60;960;715
1146;23 Manufacture of building materials;2007;1730;745;220;180;200;150;130;35;60;995;735
1147;23 Manufacture of building materials;2008;1700;780;210;170;185;145;115;35;65;995;705
1148;23 Manufacture of building materials;2009;1725;795;235;165;175;135;115;40;60;1025;700
1149;23 Manufacture of building materials;2010;1720;810;230;160;175;135;115;40;60;1015;710
1150;231 Manufacture of glass;2006;480;280;90;30;30;20;10;5;15;380;100
1151;231 Manufacture of glass;2007;510;325;70;35;35;20;15;5;15;405;105
1152;231 Manufacture of glass;2008;530;350;70;35;30;15;10;5;15;425;105
1153;231 Manufacture of glass;2009;545;355;75;40;30;20;10;5;10;440;105
1154;231 Manufacture of glass;2010;550;360;75;40;30;20;10;5;15;440;110
1155;2311 Manufacture of flat glass;2006;10;0;0;0;5;0;0;0;5;5;10
1156;2311 Manufacture of flat glass;2007;10;0;0;0;5;0;0;0;5;5;5
1157;2311 Manufacture of flat glass;2008;10;0;0;0;0;0;0;0;5;0;5
1158;2311 Manufacture of flat glass;2009;10;5;0;0;5;0;0;0;5;5;5
1159;2311 Manufacture of flat glass;2010;10;0;0;0;5;0;0;0;5;5;5
1160;2312 Shaping, processing of flat glass;2006;270;180;45;15;10;10;5;0;5;235;35
1161;2312 Shaping, processing of flat glass;2007;300;210;40;15;10;10;5;0;5;260;35
1162;2312 Shaping, processing of flat glass;2008;315;235;40;10;15;5;5;5;5;280;35
1163;2312 Shaping, processing of flat glass;2009;330;245;40;15;10;10;5;5;5;295;35
1164;2312 Shaping, processing of flat glass;2010;330;250;40;15;10;10;5;0;5;295;35
1165;2313 Manufacture of hollow glass;2006;40;25;10;0;0;0;0;0;5;30;5
1166;2313 Manufacture of hollow glass;2007;35;25;5;0;0;0;0;0;5;30;5
1167;2313 Manufacture of hollow glass;2008;40;25;5;5;0;0;0;0;5;35;5
1168;2313 Manufacture of hollow glass;2009;35;25;5;5;0;0;0;0;5;30;5
1169;2313 Manufacture of hollow glass;2010;40;25;5;5;0;0;0;0;5;35;5
1170;2314 Manufacture of glass fibres;2006;15;5;0;5;0;0;0;0;5;5;10
1171;2314 Manufacture of glass fibres;2007;15;5;0;5;5;0;0;0;5;5;10
1172;2314 Manufacture of glass fibres;2008;20;5;0;5;0;0;0;0;5;5;15
1173;2314 Manufacture of glass fibres;2009;20;0;5;5;0;5;0;0;5;5;15
1174;2314 Manufacture of glass fibres;2010;20;5;5;5;0;0;0;0;5;5;15
1175;2319 Manufacture of other glass;2006;145;75;35;10;15;10;5;0;0;105;45
1176;2319 Manufacture of other glass;2007;150;85;20;10;20;10;5;0;0;105;50
1177;2319 Manufacture of other glass;2008;150;85;20;20;15;10;5;0;0;105;45
1178;2319 Manufacture of other glass;2009;150;80;25;15;15;10;5;0;0;105;45
1179;2319 Manufacture of other glass;2010;150;80;25;15;15;10;5;0;0;105;50
1180;232 Manufacture of refractory products;2006;10;0;0;0;0;0;0;0;0;0;5
1181;232 Manufacture of refractory products;2007;10;0;0;0;0;0;0;0;0;0;5
1182;232 Manufacture of refractory products;2008;10;0;0;0;0;0;5;0;0;0;5
1183;232 Manufacture of refractory products;2009;10;0;0;0;0;5;0;0;0;0;5
1184;232 Manufacture of refractory products;2010;10;0;0;0;0;5;0;0;0;0;10
1185;2320 Manufacture of refractory products;2006;10;0;0;0;0;0;0;0;0;0;5
1186;2320 Manufacture of refractory products;2007;10;0;0;0;0;0;0;0;0;0;5
1187;2320 Manufacture of refractory products;2008;10;0;0;0;0;0;5;0;0;0;5
1188;2320 Manufacture of refractory products;2009;10;0;0;0;0;5;0;0;0;0;5
1189;2320 Manufacture of refractory products;2010;10;0;0;0;0;5;0;0;0;0;10
1190;233 Manufacture clay building materials;2006;60;15;5;5;5;5;20;0;5;15;45
1191;233 Manufacture clay building materials;2007;55;15;5;5;5;5;20;0;5;10;45
1192;233 Manufacture clay building materials;2008;50;10;5;5;10;5;10;0;10;15;40
1193;233 Manufacture clay building materials;2009;50;10;5;5;5;5;10;0;10;15;35
1194;233 Manufacture clay building materials;2010;50;10;10;5;5;5;10;0;5;15;40
1195;2331 Manufacture of ceramic tiles, flags;2006;15;5;5;0;0;0;0;0;0;10;5
1196;2331 Manufacture of ceramic tiles, flags;2007;10;5;5;0;0;0;0;0;0;5;5
1197;2331 Manufacture of ceramic tiles, flags;2008;10;5;5;0;0;0;0;0;0;5;5
1198;2331 Manufacture of ceramic tiles, flags;2009;10;5;5;0;0;0;0;0;0;10;5
1199;2331 Manufacture of ceramic tiles, flags;2010;10;5;5;0;0;0;0;0;0;10;0
1200;2332 Manufacture ceramic building goods;2006;45;5;5;5;5;5;20;0;5;5;40
1201;2332 Manufacture ceramic building goods;2007;45;10;5;5;5;5;20;0;5;5;40
1202;2332 Manufacture ceramic building goods;2008;40;5;5;0;10;5;10;0;5;5;35
1203;2332 Manufacture ceramic building goods;2009;40;5;0;5;5;5;10;0;5;5;35
1204;2332 Manufacture ceramic building goods;2010;40;10;0;5;5;5;10;0;5;5;35
1205;234 Manufacture other ceramic products;2006;245;150;60;10;10;10;5;0;0;200;45
1206;234 Manufacture other ceramic products;2007;245;155;45;15;10;15;5;0;0;200;45
1207;234 Manufacture other ceramic products;2008;245;160;35;15;15;10;5;0;0;200;45
1208;234 Manufacture other ceramic products;2009;240;160;40;20;10;10;5;0;0;195;45
1209;234 Manufacture other ceramic products;2010;235;155;35;15;10;10;5;0;0;190;45
1210;2341 Manufacture ceramic household goods;2006;235;145;55;10;10;10;5;0;0;200;35
1211;2341 Manufacture ceramic household goods;2007;235;150;40;15;10;15;5;0;0;200;35
1212;2341 Manufacture ceramic household goods;2008;235;155;35;15;10;5;5;0;0;195;35
1213;2341 Manufacture ceramic household goods;2009;230;155;35;15;10;10;5;0;0;195;40
1214;2341 Manufacture ceramic household goods;2010;225;155;35;15;10;10;5;0;0;190;35
1215;2342 Manufacture of ceramic fixtures;2006;5;0;0;0;0;0;0;0;0;0;5
1216;2342 Manufacture of ceramic fixtures;2007;5;0;0;0;0;0;0;0;0;0;5
1217;2342 Manufacture of ceramic fixtures;2008;5;0;0;0;0;0;0;0;0;0;5
1218;2342 Manufacture of ceramic fixtures;2009;5;0;0;0;0;0;0;0;0;0;5
1219;2342 Manufacture of ceramic fixtures;2010;5;0;0;0;0;0;0;0;0;0;5
1220;2343 Manufacture of ceramic insulators;2006;0;0;0;0;0;0;0;0;0;0;0
1221;2343 Manufacture of ceramic insulators;2007;0;0;0;0;0;0;0;0;0;0;0
1222;2343 Manufacture of ceramic insulators;2008;5;0;0;0;0;0;0;0;0;0;5
1223;2343 Manufacture of ceramic insulators;2009;5;0;0;0;0;0;0;0;0;0;5
1224;2343 Manufacture of ceramic insulators;2010;5;0;0;0;0;0;0;0;0;0;5
1225;2344 Manufacture other technical ceramic;2006;0;0;0;0;0;0;0;0;0;0;0
1226;2344 Manufacture other technical ceramic;2007;0;0;0;0;0;0;0;0;0;0;0
1227;2344 Manufacture other technical ceramic;2008;0;0;0;0;0;0;0;0;0;0;0
1228;2344 Manufacture other technical ceramic;2009;0;0;0;0;0;0;0;0;0;0;0
1229;2344 Manufacture other technical ceramic;2010;0;0;0;0;0;0;0;0;0;0;0
