ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
516;2007 vrijdag 1 juni;1.458;1.035;0.537
517;2007 zaterdag 2 juni;1.455;1.035;0.534
518;2007 zondag 3 juni;1.455;1.036;0.532
519;2007 maandag 4 juni;1.456;1.037;0.539
520;2007 dinsdag 5 juni;1.454;1.042;0.536
521;2007 woensdag 6 juni;1.452;1.045;0.533
522;2007 donderdag 7 juni;1.453;1.046;0.536
523;2007 vrijdag 8 juni;1.451;1.048;0.531
524;2007 zaterdag 9 juni;1.452;1.052;0.53
525;2007 zondag 10 juni;1.451;1.052;0.535
526;2007 maandag 11 juni;1.451;1.053;0.532
527;2007 dinsdag 12 juni;1.448;1.052;0.534
528;2007 woensdag 13 juni;1.446;1.05;0.524
529;2007 donderdag 14 juni;1.445;1.05;0.525
530;2007 vrijdag 15 juni;1.448;1.055;0.524
531;2007 zaterdag 16 juni;1.455;1.059;0.521
532;2007 zondag 17 juni;1.455;1.059;0.521
533;2007 maandag 18 juni;1.457;1.06;0.526
534;2007 dinsdag 19 juni;1.46;1.061;0.522
535;2007 woensdag 20 juni;1.461;1.061;0.521
536;2007 donderdag 21 juni;1.46;1.061;0.523
537;2007 vrijdag 22 juni;1.46;1.064;0.522
538;2007 zaterdag 23 juni;1.46;1.065;0.522
539;2007 zondag 24 juni;1.461;1.066;0.524
540;2007 maandag 25 juni;1.461;1.066;0.523
541;2007 dinsdag 26 juni;1.46;1.061;0.521
542;2007 woensdag 27 juni;1.459;1.06;0.523
543;2007 donderdag 28 juni;1.454;1.059;0.521
544;2007 vrijdag 29 juni;1.45;1.056;0.522
545;2007 zaterdag 30 juni;1.45;1.057;0.522
546;2007 zondag 1 juli;1.451;1.057;0.526
547;2007 maandag 2 juli;1.451;1.058;0.523
548;2007 dinsdag 3 juli;1.453;1.058;0.522
549;2007 woensdag 4 juli;1.453;1.06;0.52
550;2007 donderdag 5 juli;1.453;1.059;0.52
551;2007 vrijdag 6 juli;1.452;1.059;0.518
552;2007 zaterdag 7 juli;1.458;1.061;0.518
553;2007 zondag 8 juli;1.459;1.061;0.517
554;2007 maandag 9 juli;1.459;1.062;0.519
555;2007 dinsdag 10 juli;1.462;1.063;0.516
556;2007 woensdag 11 juli;1.467;1.066;0.52
557;2007 donderdag 12 juli;1.469;1.067;0.515
558;2007 vrijdag 13 juli;1.468;1.067;0.515
559;2007 zaterdag 14 juli;1.465;1.068;0.515
560;2007 zondag 15 juli;1.465;1.069;0.516
561;2007 maandag 16 juli;1.465;1.068;0.514
562;2007 dinsdag 17 juli;1.457;1.068;0.513
563;2007 woensdag 18 juli;1.444;1.067;0.515
564;2007 donderdag 19 juli;1.432;1.063;0.52
565;2007 vrijdag 20 juli;1.435;1.066;0.518
566;2007 zaterdag 21 juli;1.435;1.067;0.514
567;2007 zondag 22 juli;1.435;1.067;0.516
568;2007 maandag 23 juli;1.434;1.066;0.517
569;2007 dinsdag 24 juli;1.431;1.067;0.518
570;2007 woensdag 25 juli;1.421;1.061;0.521
571;2007 donderdag 26 juli;1.414;1.06;0.52
572;2007 vrijdag 27 juli;1.416;1.062;0.521
573;2007 zaterdag 28 juli;1.415;1.063;0.52
574;2007 zondag 29 juli;1.414;1.062;0.521
575;2007 maandag 30 juli;1.414;1.062;0.521
576;2007 dinsdag 31 juli;1.414;1.064;0.522
577;2007 woensdag 1 augustus;1.415;1.066;0.526
578;2007 donderdag 2 augustus;1.419;1.068;0.527
579;2007 vrijdag 3 augustus;1.419;1.066;0.525
580;2007 zaterdag 4 augustus;1.419;1.067;0.523
581;2007 zondag 5 augustus;1.416;1.067;0.524
582;2007 maandag 6 augustus;1.418;1.067;0.526
583;2007 dinsdag 7 augustus;1.413;1.06;0.526
584;2007 woensdag 8 augustus;1.404;1.049;0.532
585;2007 donderdag 9 augustus;1.402;1.045;0.532
586;2007 vrijdag 10 augustus;1.401;1.046;0.537
587;2007 zaterdag 11 augustus;1.401;1.046;0.534
588;2007 zondag 12 augustus;1.401;1.046;0.537
589;2007 maandag 13 augustus;1.402;1.047;0.533
590;2007 dinsdag 14 augustus;1.403;1.047;0.535
591;2007 woensdag 15 augustus;1.402;1.047;0.531
592;2007 donderdag 16 augustus;1.407;1.05;0.531
593;2007 vrijdag 17 augustus;1.411;1.051;0.531
594;2007 zaterdag 18 augustus;1.413;1.051;0.528
595;2007 zondag 19 augustus;1.413;1.051;0.531
596;2007 maandag 20 augustus;1.414;1.051;0.53
597;2007 dinsdag 21 augustus;1.411;1.049;0.53
598;2007 woensdag 22 augustus;1.408;1.049;0.53
599;2007 donderdag 23 augustus;1.403;1.049;0.53
600;2007 vrijdag 24 augustus;1.4;1.048;0.529
601;2007 zaterdag 25 augustus;1.399;1.047;0.526
602;2007 zondag 26 augustus;1.4;1.048;0.53
603;2007 maandag 27 augustus;1.401;1.047;0.53
604;2007 dinsdag 28 augustus;1.401;1.047;0.53
605;2007 woensdag 29 augustus;1.406;1.048;0.531
606;2007 donderdag 30 augustus;1.41;1.049;0.533
607;2007 vrijdag 31 augustus;1.421;1.055;0.531
608;2007 zaterdag 1 september;1.422;1.056;0.529
609;2007 zondag 2 september;1.423;1.057;0.532
610;2007 maandag 3 september;1.424;1.058;0.531
611;2007 dinsdag 4 september;1.428;1.061;0.531
612;2007 woensdag 5 september;1.429;1.063;0.533
613;2007 donderdag 6 september;1.433;1.066;0.534
614;2007 vrijdag 7 september;1.434;1.067;0.532
615;2007 zaterdag 8 september;1.43;1.073;0.532
616;2007 zondag 9 september;1.432;1.075;0.533
617;2007 maandag 10 september;1.431;1.076;0.533
618;2007 dinsdag 11 september;1.425;1.079;0.53
619;2007 woensdag 12 september;1.419;1.081;0.538
620;2007 donderdag 13 september;1.416;1.084;0.543
621;2007 vrijdag 14 september;1.417;1.084;0.542
622;2007 zaterdag 15 september;1.422;1.088;0.547
623;2007 zondag 16 september;1.421;1.087;0.543
624;2007 maandag 17 september;1.422;1.088;0.543
625;2007 dinsdag 18 september;1.423;1.089;0.541
626;2007 woensdag 19 september;1.429;1.092;0.547
627;2007 donderdag 20 september;1.429;1.094;0.545
628;2007 vrijdag 21 september;1.426;1.091;0.547
629;2007 zaterdag 22 september;1.426;1.091;0.544
630;2007 zondag 23 september;1.427;1.093;0.545
631;2007 maandag 24 september;1.428;1.093;0.547
632;2007 dinsdag 25 september;1.425;1.094;0.546
633;2007 woensdag 26 september;1.422;1.094;0.548
634;2007 donderdag 27 september;1.419;1.091;0.55
635;2007 vrijdag 28 september;1.414;1.089;0.555
636;2007 zaterdag 29 september;1.412;1.09;0.557
637;2007 zondag 30 september;1.413;1.09;0.554
638;2007 maandag 1 oktober;1.413;1.09;0.559
639;2007 dinsdag 2 oktober;1.408;1.089;0.562
640;2007 woensdag 3 oktober;1.397;1.081;0.565
641;2007 donderdag 4 oktober;1.395;1.08;0.566
642;2007 vrijdag 5 oktober;1.395;1.079;0.567
643;2007 zaterdag 6 oktober;1.402;1.083;0.568
644;2007 zondag 7 oktober;1.401;1.083;0.564
645;2007 maandag 8 oktober;1.402;1.084;0.567
646;2007 dinsdag 9 oktober;1.406;1.085;0.565
647;2007 woensdag 10 oktober;1.406;1.081;0.572
648;2007 donderdag 11 oktober;1.406;1.08;0.571
649;2007 vrijdag 12 oktober;1.406;1.081;0.569
650;2007 zaterdag 13 oktober;1.408;1.083;0.574
651;2007 zondag 14 oktober;1.407;1.083;0.571
652;2007 maandag 15 oktober;1.408;1.084;0.57
653;2007 dinsdag 16 oktober;1.409;1.085;0.572
654;2007 woensdag 17 oktober;1.42;1.097;0.579
655;2007 donderdag 18 oktober;1.424;1.099;0.584
656;2007 vrijdag 19 oktober;1.426;1.098;0.581
657;2007 zaterdag 20 oktober;1.428;1.103;0.578
658;2007 zondag 21 oktober;1.427;1.102;0.579
659;2007 maandag 22 oktober;1.428;1.103;0.581
660;2007 dinsdag 23 oktober;1.426;1.104;0.58
661;2007 woensdag 24 oktober;1.423;1.105;0.582
662;2007 donderdag 25 oktober;1.423;1.105;0.585
663;2007 vrijdag 26 oktober;1.424;1.106;0.584
664;2007 zaterdag 27 oktober;1.438;1.116;0.584
665;2007 zondag 28 oktober;1.437;1.117;0.586
666;2007 maandag 29 oktober;1.437;1.117;0.583
667;2007 dinsdag 30 oktober;1.445;1.122;0.587
668;2007 woensdag 31 oktober;1.452;1.128;0.586
669;2007 donderdag 1 november;1.456;1.133;0.588
670;2007 vrijdag 2 november;1.474;1.151;0.586
671;2007 zaterdag 3 november;1.477;1.162;0.584
672;2007 zondag 4 november;1.478;1.162;0.588
673;2007 maandag 5 november;1.477;1.163;0.587
674;2007 dinsdag 6 november;1.477;1.182;0.588
675;2007 woensdag 7 november;1.478;1.199;0.593
676;2007 donderdag 8 november;1.479;1.205;0.597
677;2007 vrijdag 9 november;1.479;1.206;0.596
678;2007 zaterdag 10 november;1.478;1.2;0.596
679;2007 zondag 11 november;1.478;1.199;0.597
680;2007 maandag 12 november;1.477;1.199;0.594
681;2007 dinsdag 13 november;1.477;1.197;0.598
682;2007 woensdag 14 november;1.473;1.187;0.6
683;2007 donderdag 15 november;1.469;1.181;0.606
684;2007 vrijdag 16 november;1.466;1.18;0.61
685;2007 zaterdag 17 november;1.462;1.182;0.61
686;2007 zondag 18 november;1.463;1.182;0.606
687;2007 maandag 19 november;1.463;1.182;0.61
688;2007 dinsdag 20 november;1.462;1.183;0.612
689;2007 woensdag 21 november;1.462;1.186;0.616
690;2007 donderdag 22 november;1.464;1.199;0.621
691;2007 vrijdag 23 november;1.464;1.199;0.62
692;2007 zaterdag 24 november;1.463;1.197;0.619
693;2007 zondag 25 november;1.463;1.197;0.618
694;2007 maandag 26 november;1.462;1.197;0.619
695;2007 dinsdag 27 november;1.462;1.196;0.619
696;2007 woensdag 28 november;1.459;1.192;0.628
697;2007 donderdag 29 november;1.458;1.192;0.632
698;2007 vrijdag 30 november;1.451;1.188;0.633
699;2007 zaterdag 1 december;1.441;1.177;0.632
700;2007 zondag 2 december;1.441;1.175;0.632
701;2007 maandag 3 december;1.44;1.175;0.632
702;2007 dinsdag 4 december;1.433;1.162;0.633
703;2007 woensdag 5 december;1.431;1.153;0.632
704;2007 donderdag 6 december;1.431;1.151;0.632
705;2007 vrijdag 7 december;1.43;1.137;0.635
706;2007 zaterdag 8 december;1.437;1.135;0.633
707;2007 zondag 9 december;1.436;1.135;0.631
708;2007 maandag 10 december;1.436;1.135;0.634
709;2007 dinsdag 11 december;1.436;1.133;0.63
710;2007 woensdag 12 december;1.434;1.128;0.626
711;2007 donderdag 13 december;1.434;1.127;0.628
712;2007 vrijdag 14 december;1.452;1.142;0.629
713;2007 zaterdag 15 december;1.457;1.154;0.629
714;2007 zondag 16 december;1.457;1.154;0.63
715;2007 maandag 17 december;1.457;1.155;0.625
716;2007 dinsdag 18 december;1.457;1.156;0.627
717;2007 woensdag 19 december;1.458;1.157;0.622
718;2007 donderdag 20 december;1.455;1.153;0.627
719;2007 vrijdag 21 december;1.456;1.155;0.626
720;2007 zaterdag 22 december;1.454;1.158;0.629
721;2007 zondag 23 december;1.455;1.157;0.625
722;2007 maandag 24 december;1.455;1.157;0.627
723;2007 dinsdag 25 december;1.454;1.156;0.628
724;2007 woensdag 26 december;1.455;1.157;0.624
725;2007 donderdag 27 december;1.455;1.157;0.628
726;2007 vrijdag 28 december;1.459;1.158;0.629
727;2007 zaterdag 29 december;1.47;1.161;0.63
728;2007 zondag 30 december;1.468;1.161;0.628
729;2007 maandag 31 december;1.471;1.161;0.631
730;2008 dinsdag 1 januari;1.48;1.165;0.629
731;2008 woensdag 2 januari;1.483;1.166;0.63
732;2008 donderdag 3 januari;1.489;1.169;0.629
733;2008 vrijdag 4 januari;1.496;1.172;0.632
734;2008 zaterdag 5 januari;1.5;1.173;0.63
735;2008 zondag 6 januari;1.499;1.173;0.63
736;2008 maandag 7 januari;1.499;1.173;0.63
737;2008 dinsdag 8 januari;1.497;1.17;0.628
738;2008 woensdag 9 januari;1.492;1.167;0.63
739;2008 donderdag 10 januari;1.491;1.165;0.63
740;2008 vrijdag 11 januari;1.483;1.158;0.631
741;2008 zaterdag 12 januari;1.469;1.145;0.632
742;2008 zondag 13 januari;1.468;1.143;0.631
743;2008 maandag 14 januari;1.468;1.143;0.631
744;2008 dinsdag 15 januari;1.462;1.14;0.629
745;2008 woensdag 16 januari;1.458;1.138;0.627
746;2008 donderdag 17 januari;1.448;1.133;0.624
747;2008 vrijdag 18 januari;1.447;1.133;0.621
748;2008 zaterdag 19 januari;1.445;1.132;0.621
749;2008 zondag 20 januari;1.444;1.131;0.623
750;2008 maandag 21 januari;1.444;1.132;0.622
751;2008 dinsdag 22 januari;1.444;1.132;0.62
752;2008 woensdag 23 januari;1.439;1.127;0.615
753;2008 donderdag 24 januari;1.437;1.125;0.616
754;2008 vrijdag 25 januari;1.438;1.124;0.617
755;2008 zaterdag 26 januari;1.443;1.13;0.617
756;2008 zondag 27 januari;1.444;1.13;0.614
757;2008 maandag 28 januari;1.444;1.131;0.617
758;2008 dinsdag 29 januari;1.447;1.13;0.617
759;2008 woensdag 30 januari;1.448;1.136;0.609
760;2008 donderdag 31 januari;1.449;1.137;0.608
761;2008 vrijdag 1 februari;1.45;1.138;0.608
762;2008 zaterdag 2 februari;1.447;1.134;0.609
763;2008 zondag 3 februari;1.447;1.133;0.609
764;2008 maandag 4 februari;1.446;1.134;0.607
765;2008 dinsdag 5 februari;1.439;1.128;0.607
766;2008 woensdag 6 februari;1.437;1.126;0.605
767;2008 donderdag 7 februari;1.436;1.127;0.605
768;2008 vrijdag 8 februari;1.436;1.126;0.606
769;2008 zaterdag 9 februari;1.449;1.141;0.603
770;2008 zondag 10 februari;1.448;1.142;0.604
771;2008 maandag 11 februari;1.447;1.142;0.602
772;2008 dinsdag 12 februari;1.463;1.155;0.602
773;2008 woensdag 13 februari;1.473;1.17;0.602
774;2008 donderdag 14 februari;1.474;1.172;0.601
775;2008 vrijdag 15 februari;1.48;1.18;0.6
776;2008 zaterdag 16 februari;1.487;1.182;0.599
777;2008 zondag 17 februari;1.487;1.182;0.601
778;2008 maandag 18 februari;1.487;1.182;0.599
779;2008 dinsdag 19 februari;1.492;1.186;0.602
780;2008 woensdag 20 februari;1.5;1.197;0.6
781;2008 donderdag 21 februari;1.504;1.202;0.6
782;2008 vrijdag 22 februari;1.506;1.202;0.6
783;2008 zaterdag 23 februari;1.505;1.204;0.602
784;2008 zondag 24 februari;1.504;1.203;0.599
785;2008 maandag 25 februari;1.504;1.204;0.599
786;2008 dinsdag 26 februari;1.504;1.205;0.599
787;2008 woensdag 27 februari;1.502;1.205;0.601
788;2008 donderdag 28 februari;1.503;1.205;0.604
789;2008 vrijdag 29 februari;1.498;1.202;0.605
790;2008 zaterdag 1 maart;1.492;1.204;0.604
791;2008 zondag 2 maart;1.492;1.204;0.603
792;2008 maandag 3 maart;1.491;1.204;0.601
793;2008 dinsdag 4 maart;1.489;1.207;0.605
794;2008 woensdag 5 maart;1.49;1.219;0.603
795;2008 donderdag 6 maart;1.486;1.227;0.605
796;2008 vrijdag 7 maart;1.486;1.241;0.606
797;2008 zaterdag 8 maart;1.484;1.243;0.603
798;2008 zondag 9 maart;1.483;1.242;0.603
799;2008 maandag 10 maart;1.484;1.243;0.605
800;2008 dinsdag 11 maart;1.485;1.244;0.605
801;2008 woensdag 12 maart;1.486;1.252;0.6
802;2008 donderdag 13 maart;1.486;1.254;0.601
803;2008 vrijdag 14 maart;1.485;1.255;0.602
804;2008 zaterdag 15 maart;1.483;1.258;0.602
805;2008 zondag 16 maart;1.482;1.257;0.596
806;2008 maandag 17 maart;1.481;1.258;0.6
807;2008 dinsdag 18 maart;1.481;1.258;0.599
808;2008 woensdag 19 maart;1.465;1.25;0.598
809;2008 donderdag 20 maart;1.459;1.243;0.599
810;2008 vrijdag 21 maart;1.454;1.23;0.602
811;2008 zaterdag 22 maart;1.456;1.225;0.598
812;2008 zondag 23 maart;1.455;1.224;0.598
813;2008 maandag 24 maart;1.456;1.224;0.599
814;2008 dinsdag 25 maart;1.456;1.224;0.6
815;2008 woensdag 26 maart;1.462;1.213;0.597
816;2008 donderdag 27 maart;1.472;1.203;0.592
817;2008 vrijdag 28 maart;1.481;1.209;0.592
818;2008 zaterdag 29 maart;1.491;1.225;0.591
819;2008 zondag 30 maart;1.491;1.226;0.588
820;2008 maandag 31 maart;1.491;1.227;0.589
821;2008 dinsdag 1 april;1.493;1.228;0.588
822;2008 woensdag 2 april;1.491;1.218;0.588
823;2008 donderdag 3 april;1.49;1.214;0.59
824;2008 vrijdag 4 april;1.494;1.216;0.588
825;2008 zaterdag 5 april;1.502;1.22;0.586
826;2008 zondag 6 april;1.501;1.219;0.589
827;2008 maandag 7 april;1.503;1.22;0.591
828;2008 dinsdag 8 april;1.507;1.23;0.589
829;2008 woensdag 9 april;1.507;1.241;0.588
830;2008 donderdag 10 april;1.507;1.241;0.587
831;2008 vrijdag 11 april;1.51;1.256;0.584
832;2008 zaterdag 12 april;1.51;1.256;0.583
833;2008 zondag 13 april;1.51;1.256;0.583
834;2008 maandag 14 april;1.51;1.258;0.588
835;2008 dinsdag 15 april;1.511;1.258;0.588
836;2008 woensdag 16 april;1.512;1.264;0.589
837;2008 donderdag 17 april;1.511;1.27;0.59
838;2008 vrijdag 18 april;1.52;1.274;0.59
839;2008 zaterdag 19 april;1.526;1.277;0.586
840;2008 zondag 20 april;1.526;1.277;0.588
841;2008 maandag 21 april;1.526;1.277;0.591
842;2008 dinsdag 22 april;1.53;1.278;0.588
843;2008 woensdag 23 april;1.528;1.278;0.588
844;2008 donderdag 24 april;1.53;1.277;0.587
845;2008 vrijdag 25 april;1.537;1.284;0.587
846;2008 zaterdag 26 april;1.54;1.299;0.59
847;2008 zondag 27 april;1.541;1.301;0.589
848;2008 maandag 28 april;1.541;1.302;0.59
849;2008 dinsdag 29 april;1.547;1.309;0.594
850;2008 woensdag 30 april;1.544;1.314;0.594
851;2008 donderdag 1 mei;1.543;1.314;0.589
852;2008 vrijdag 2 mei;1.544;1.314;0.591
853;2008 zaterdag 3 mei;1.532;1.302;0.593
854;2008 zondag 4 mei;1.531;1.302;0.593
855;2008 maandag 5 mei;1.531;1.302;0.592
856;2008 dinsdag 6 mei;1.53;1.298;0.596
857;2008 woensdag 7 mei;1.546;1.302;0.603
858;2008 donderdag 8 mei;1.553;1.312;0.603
859;2008 vrijdag 9 mei;1.56;1.327;0.603
860;2008 zaterdag 10 mei;1.57;1.352;0.606
861;2008 zondag 11 mei;1.57;1.352;0.607
862;2008 maandag 12 mei;1.571;1.352;0.607
863;2008 dinsdag 13 mei;1.571;1.354;0.606
864;2008 woensdag 14 mei;1.571;1.36;0.61
865;2008 donderdag 15 mei;1.575;1.383;0.617
866;2008 vrijdag 16 mei;1.578;1.395;0.619
867;2008 zaterdag 17 mei;1.579;1.396;0.619
868;2008 zondag 18 mei;1.578;1.396;0.621
869;2008 maandag 19 mei;1.579;1.397;0.619
870;2008 dinsdag 20 mei;1.578;1.398;0.619
871;2008 woensdag 21 mei;1.578;1.395;0.621
872;2008 donderdag 22 mei;1.58;1.398;0.625
873;2008 vrijdag 23 mei;1.603;1.423;0.626
874;2008 zaterdag 24 mei;1.608;1.431;0.622
875;2008 zondag 25 mei;1.608;1.431;0.621
876;2008 maandag 26 mei;1.609;1.432;0.623
877;2008 dinsdag 27 mei;1.608;1.437;0.626
878;2008 woensdag 28 mei;1.609;1.437;0.621
879;2008 donderdag 29 mei;1.605;1.428;0.62
880;2008 vrijdag 30 mei;1.609;1.422;0.624
881;2008 zaterdag 31 mei;1.611;1.405;0.623
882;2008 zondag 1 juni;1.611;1.402;0.624
883;2008 maandag 2 juni;1.611;1.403;0.623
884;2008 dinsdag 3 juni;1.609;1.386;0.625
885;2008 woensdag 4 juni;1.61;1.381;0.623
886;2008 donderdag 5 juni;1.611;1.381;0.624
887;2008 vrijdag 6 juni;1.602;1.372;0.621
888;2008 zaterdag 7 juni;1.615;1.389;0.623
889;2008 zondag 8 juni;1.614;1.389;0.618
890;2008 maandag 9 juni;1.616;1.389;0.623
891;2008 dinsdag 10 juni;1.633;1.409;0.623
892;2008 woensdag 11 juni;1.637;1.42;0.623
893;2008 donderdag 12 juni;1.635;1.419;0.621
894;2008 vrijdag 13 juni;1.634;1.415;0.622
895;2008 zaterdag 14 juni;1.641;1.416;0.628
896;2008 zondag 15 juni;1.642;1.418;0.633
897;2008 maandag 16 juni;1.644;1.42;0.629
898;2008 dinsdag 17 juni;1.643;1.416;0.631
899;2008 woensdag 18 juni;1.634;1.407;0.634
900;2008 donderdag 19 juni;1.632;1.403;0.639
901;2008 vrijdag 20 juni;1.633;1.4;0.639
902;2008 zaterdag 21 juni;1.631;1.394;0.638
903;2008 zondag 22 juni;1.631;1.393;0.639
904;2008 maandag 23 juni;1.631;1.393;0.643
905;2008 dinsdag 24 juni;1.636;1.394;0.64
906;2008 woensdag 25 juni;1.636;1.395;0.643
907;2008 donderdag 26 juni;1.635;1.393;0.641
908;2008 vrijdag 27 juni;1.627;1.388;0.641
909;2008 zaterdag 28 juni;1.631;1.395;0.647
910;2008 zondag 29 juni;1.631;1.394;0.648
911;2008 maandag 30 juni;1.63;1.396;0.647
912;2008 dinsdag 1 juli;1.633;1.428;0.663
913;2008 woensdag 2 juli;1.638;1.435;0.669
914;2008 donderdag 3 juli;1.638;1.436;0.666
915;2008 vrijdag 4 juli;1.64;1.452;0.664
916;2008 zaterdag 5 juli;1.644;1.459;0.667
917;2008 zondag 6 juli;1.643;1.459;0.664
918;2008 maandag 7 juli;1.643;1.461;0.667
919;2008 dinsdag 8 juli;1.643;1.46;0.672
920;2008 woensdag 9 juli;1.635;1.444;0.675
921;2008 donderdag 10 juli;1.631;1.439;0.675
922;2008 vrijdag 11 juli;1.625;1.433;0.677
923;2008 zaterdag 12 juli;1.641;1.452;0.679
924;2008 zondag 13 juli;1.64;1.452;0.676
925;2008 maandag 14 juli;1.642;1.454;0.678
926;2008 dinsdag 15 juli;1.641;1.454;0.677
927;2008 woensdag 16 juli;1.642;1.457;0.676
928;2008 donderdag 17 juli;1.631;1.448;0.68
929;2008 vrijdag 18 juli;1.619;1.436;0.68
930;2008 zaterdag 19 juli;1.608;1.419;0.68
931;2008 zondag 20 juli;1.607;1.418;0.679
932;2008 maandag 21 juli;1.605;1.417;0.675
933;2008 dinsdag 22 juli;1.598;1.41;0.678
934;2008 woensdag 23 juli;1.593;1.404;0.674
935;2008 donderdag 24 juli;1.579;1.393;0.671
936;2008 vrijdag 25 juli;1.57;1.381;0.673
937;2008 zaterdag 26 juli;1.564;1.374;0.668
938;2008 zondag 27 juli;1.564;1.374;0.669
939;2008 maandag 28 juli;1.564;1.374;0.669
940;2008 dinsdag 29 juli;1.563;1.371;0.666
941;2008 woensdag 30 juli;1.563;1.37;0.66
942;2008 donderdag 31 juli;1.555;1.363;0.662
943;2008 vrijdag 1 augustus;1.556;1.363;0.659
944;2008 zaterdag 2 augustus;1.551;1.354;0.654
945;2008 zondag 3 augustus;1.551;1.353;0.655
946;2008 maandag 4 augustus;1.55;1.353;0.657
947;2008 dinsdag 5 augustus;1.559;1.35;0.657
948;2008 woensdag 6 augustus;1.554;1.332;0.649
949;2008 donderdag 7 augustus;1.551;1.323;0.649
950;2008 vrijdag 8 augustus;1.551;1.318;0.648
951;2008 zaterdag 9 augustus;1.551;1.314;0.648
952;2008 zondag 10 augustus;1.55;1.314;0.645
953;2008 maandag 11 augustus;1.55;1.313;0.646
954;2008 dinsdag 12 augustus;1.549;1.312;0.643
955;2008 woensdag 13 augustus;1.547;1.307;0.636
956;2008 donderdag 14 augustus;1.546;1.304;0.638
957;2008 vrijdag 15 augustus;1.552;1.304;0.635
958;2008 zaterdag 16 augustus;1.552;1.304;0.631
959;2008 zondag 17 augustus;1.551;1.304;0.636
960;2008 maandag 18 augustus;1.552;1.304;0.631
961;2008 dinsdag 19 augustus;1.55;1.304;0.635
962;2008 woensdag 20 augustus;1.547;1.302;0.626
963;2008 donderdag 21 augustus;1.549;1.308;0.628
964;2008 vrijdag 22 augustus;1.552;1.312;0.627
965;2008 zaterdag 23 augustus;1.572;1.326;0.626
966;2008 zondag 24 augustus;1.571;1.327;0.627
967;2008 maandag 25 augustus;1.572;1.328;0.625
968;2008 dinsdag 26 augustus;1.57;1.323;0.623
969;2008 woensdag 27 augustus;1.571;1.321;0.626
970;2008 donderdag 28 augustus;1.571;1.322;0.627
971;2008 vrijdag 29 augustus;1.583;1.333;0.627
972;2008 zaterdag 30 augustus;1.58;1.331;0.631
973;2008 zondag 31 augustus;1.58;1.33;0.631
974;2008 maandag 1 september;1.581;1.33;0.631
975;2008 dinsdag 2 september;1.581;1.324;0.635
976;2008 woensdag 3 september;1.563;1.308;0.642
977;2008 donderdag 4 september;1.554;1.304;0.644
978;2008 vrijdag 5 september;1.553;1.303;0.644
979;2008 zaterdag 6 september;1.553;1.299;0.646
980;2008 zondag 7 september;1.552;1.299;0.645
981;2008 maandag 8 september;1.553;1.299;0.648
982;2008 dinsdag 9 september;1.561;1.3;0.648
983;2008 woensdag 10 september;1.561;1.299;0.659
984;2008 donderdag 11 september;1.562;1.296;0.656
985;2008 vrijdag 12 september;1.571;1.295;0.654
986;2008 zaterdag 13 september;1.582;1.302;0.654
987;2008 zondag 14 september;1.581;1.302;0.657
988;2008 maandag 15 september;1.582;1.302;0.655
989;2008 dinsdag 16 september;1.563;1.287;0.654
990;2008 woensdag 17 september;1.541;1.272;0.662
991;2008 donderdag 18 september;1.524;1.269;0.665
992;2008 vrijdag 19 september;1.511;1.267;0.663
993;2008 zaterdag 20 september;1.51;1.269;0.659
994;2008 zondag 21 september;1.51;1.268;0.664
995;2008 maandag 22 september;1.51;1.27;0.665
996;2008 dinsdag 23 september;1.521;1.278;0.66
997;2008 woensdag 24 september;1.53;1.286;0.651
998;2008 donderdag 25 september;1.531;1.289;0.649
999;2008 vrijdag 26 september;1.53;1.288;0.647
1000;2008 zaterdag 27 september;1.522;1.288;0.643
1001;2008 zondag 28 september;1.521;1.288;0.645
