ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
419;Total 1 or more employed persons;41 Construction buildings, development;2009 August;47.0;-19.0
420;Total 1 or more employed persons;41 Construction buildings, development;2009 September;84.7;-11.7
421;Total 1 or more employed persons;41 Construction buildings, development;2009 3rd quarter;70.9;-9.8
422;Total 1 or more employed persons;41 Construction buildings, development;2009 October;85.4;-15.8
423;Total 1 or more employed persons;41 Construction buildings, development;2009 November;79.4;-14.8
424;Total 1 or more employed persons;41 Construction buildings, development;2009 December;90.9;-13.8
425;Total 1 or more employed persons;41 Construction buildings, development;2009 4th quarter;85.2;-14.8
426;Total 1 or more employed persons;41 Construction buildings, development;2009;78.7;-10.4
427;Total 1 or more employed persons;41 Construction buildings, development;2010 January;44.7;-24.1
428;Total 1 or more employed persons;41 Construction buildings, development;2010 February;52.9;-29.7
429;Total 1 or more employed persons;41 Construction buildings, development;2010 March;73.9;-15.0
430;Total 1 or more employed persons;41 Construction buildings, development;2010 1st quarter;57.2;-22.4
431;Total 1 or more employed persons;41 Construction buildings, development;2010 April;72.2;-15.6
432;Total 1 or more employed persons;41 Construction buildings, development;2010 May;67.8;-15.8
433;Total 1 or more employed persons;41 Construction buildings, development;2010 June;80.4;-9.2
434;Total 1 or more employed persons;41 Construction buildings, development;2010 2nd quarter;73.4;-13.4
435;Total 1 or more employed persons;41 Construction buildings, development;2010 July;73.6;-9.0
436;Total 1 or more employed persons;41 Construction buildings, development;2010 August;42.6;-9.5
437;Total 1 or more employed persons;41 Construction buildings, development;2010 September;73.0;-13.8
438;Total 1 or more employed persons;41 Construction buildings, development;2010 3rd quarter;63.1;-11.0
439;Total 1 or more employed persons;41 Construction buildings, development;2010 October;76.6;-10.3
440;Total 1 or more employed persons;41 Construction buildings, development;2010 November;79.0;-0.6
441;Total 1 or more employed persons;41 Construction buildings, development;2010 December;76.9;-15.3
442;Total 1 or more employed persons;41 Construction buildings, development;2010 4th quarter;77.5;-9.0
443;Total 1 or more employed persons;41 Construction buildings, development;2010;67.8;-13.8
444;Total 1 or more employed persons;41 Construction buildings, development;2011 January;49.5;10.7
445;Total 1 or more employed persons;41 Construction buildings, development;2011 February;64.1;21.2
446;Total 1 or more employed persons;41 Construction buildings, development;2011 March;75.3;1.9
447;Total 1 or more employed persons;41 Construction buildings, development;2011 1st quarter;63.0;10.1
448;Total 1 or more employed persons;41 Construction buildings, development;2011 April;71.8;-0.5
449;Total 1 or more employed persons;41 Construction buildings, development;2011 May;76.8;13.4
450;Total 1 or more employed persons;41 Construction buildings, development;2011 June;73.1;-9.0
451;Total 1 or more employed persons;41 Construction buildings, development;2011 2nd quarter;73.9;0.7
452;Total 1 or more employed persons;41 Construction buildings, development;2011 July;68.2;-7.4
453;Total 1 or more employed persons;41 Construction buildings, development;2011 August;43.8;3.0
454;Total 1 or more employed persons;41 Construction buildings, development;2011 September;78.5;7.5
455;Total 1 or more employed persons;41 Construction buildings, development;2011 3rd quarter;63.5;0.7
456;Total 1 or more employed persons;41 Construction buildings, development;2011 October;72.0;-6.1
457;Total 1 or more employed persons;41 Construction buildings, development;2011 November;74.8;-5.3
458;Total 1 or more employed persons;41 Construction buildings, development;2011 December;84.6;9.9
459;Total 1 or more employed persons;41 Construction buildings, development;2011 4th quarter;77.1;-0.5
460;Total 1 or more employed persons;41 Construction buildings, development;2011;69.4;2.3
461;Total 1 or more employed persons;41 Construction buildings, development;2012 January;43.4;-12.3
462;Total 1 or more employed persons;41 Construction buildings, development;2012 February;52.4;-18.2
463;Total 1 or more employed persons;41 Construction buildings, development;2012 March;67.8;-10.0
464;Total 1 or more employed persons;41 Construction buildings, development;2012 1st quarter;54.6;-13.4
465;Total 1 or more employed persons;41 Construction buildings, development;2012 April;64.6;-10.0
466;Total 1 or more employed persons;41 Construction buildings, development;2012 May;66.1;-14.0
467;Total 1 or more employed persons;41 Construction buildings, development;2012 June;69.6;-4.8
468;Total 1 or more employed persons;41 Construction buildings, development;2012 2nd quarter;66.8;-9.7
469;Total 1 or more employed persons;41 Construction buildings, development;2012 July;60.6;-11.2
470;Total 1 or more employed persons;41 Construction buildings, development;2012 August;45.2;3.0
471;Total 1 or more employed persons;41 Construction buildings, development;2012 September;74.5;-5.1
472;Total 1 or more employed persons;41 Construction buildings, development;2012 3rd quarter;60.1;-5.4
473;Total 1 or more employed persons;41 Construction buildings, development;2012 October;62.1;-13.7
474;Total 1 or more employed persons;41 Construction buildings, development;2012 November;66.5;-11.1
475;Total 1 or more employed persons;41 Construction buildings, development;2012 December;69.0;-18.5
476;Total 1 or more employed persons;41 Construction buildings, development;2012 4th quarter;65.8;-14.6
477;Total 1 or more employed persons;41 Construction buildings, development;2012;61.8;-10.9
478;Total 1 or more employed persons;41 Construction buildings, development;2013 January;38.2;-12.2
479;Total 1 or more employed persons;41 Construction buildings, development;2013 February;45.7;-12.8
480;Total 1 or more employed persons;41 Construction buildings, development;2013 March;58.2;-14.1
481;Total 1 or more employed persons;41 Construction buildings, development;2013 1st quarter;47.4;-13.2
482;Total 1 or more employed persons;41 Construction buildings, development;2013 April;57.6;-10.9
483;Total 1 or more employed persons;41 Construction buildings, development;2013 May;59.9;-9.3
484;Total 1 or more employed persons;41 Construction buildings, development;2013 June;61.6;-11.5
485;Total 1 or more employed persons;41 Construction buildings, development;2013 2nd quarter;59.7;-10.6
486;Total 1 or more employed persons;41 Construction buildings, development;2013 July;55.9;-7.6
487;Total 1 or more employed persons;41 Construction buildings, development;2013 August;42.0;-7.0
488;Total 1 or more employed persons;41 Construction buildings, development;2013 September;61.5;-17.4
489;Total 1 or more employed persons;41 Construction buildings, development;2013 3rd quarter;53.2;-11.5
490;Total 1 or more employed persons;41 Construction buildings, development;2013 October;65.7;5.8
491;Total 1 or more employed persons;41 Construction buildings, development;2013 November;63.5;-4.4
492;Total 1 or more employed persons;41 Construction buildings, development;2013 December;72.4;4.9
493;Total 1 or more employed persons;41 Construction buildings, development;2013 4th quarter;67.2;2.0
494;Total 1 or more employed persons;41 Construction buildings, development;2013;56.8;-8.0
495;Total 1 or more employed persons;41 Construction buildings, development;2014 January;41.5;8.7
496;Total 1 or more employed persons;41 Construction buildings, development;2014 February;49.3;7.8
497;Total 1 or more employed persons;41 Construction buildings, development;2014 March;53.2;-8.5
498;Total 1 or more employed persons;41 Construction buildings, development;2014 1st quarter;48.0;1.3
499;Total 1 or more employed persons;41 Construction buildings, development;2014 April;57.6;0.0
500;Total 1 or more employed persons;41 Construction buildings, development;2014 May;56.7;-5.4
501;Total 1 or more employed persons;41 Construction buildings, development;2014 June;58.6;-4.9
502;Total 1 or more employed persons;41 Construction buildings, development;2014 2nd quarter;57.6;-3.5
503;Total 1 or more employed persons;41 Construction buildings, development;2014 July;57.5;2.7
504;Total 1 or more employed persons;41 Construction buildings, development;2014 August;37.4;-11.1
505;Total 1 or more employed persons;41 Construction buildings, development;2014 September;58.9;-4.2
506;Total 1 or more employed persons;41 Construction buildings, development;2014 3rd quarter;51.2;-3.6
507;Total 1 or more employed persons;41 Construction buildings, development;2014 October;70.2;6.9
508;Total 1 or more employed persons;41 Construction buildings, development;2014 November;68.9;8.6
509;Total 1 or more employed persons;41 Construction buildings, development;2014 December;78.7;8.8
510;Total 1 or more employed persons;41 Construction buildings, development;2014 4th quarter;72.6;8.1
511;Total 1 or more employed persons;41 Construction buildings, development;2014;57.4;0.9
512;Total 1 or more employed persons;41 Construction buildings, development;2015 January;44.0;6.0
513;Total 1 or more employed persons;41 Construction buildings, development;2015 February;51.6;4.6
514;Total 1 or more employed persons;41 Construction buildings, development;2015 March;61.9;16.2
515;Total 1 or more employed persons;41 Construction buildings, development;2015 1st quarter;52.5;9.3
516;Total 1 or more employed persons;41 Construction buildings, development;2015 April;60.9;5.8
517;Total 1 or more employed persons;41 Construction buildings, development;2015 May;60.4;6.5
518;Total 1 or more employed persons;41 Construction buildings, development;2015 June;76.9;31.4
519;Total 1 or more employed persons;41 Construction buildings, development;2015 2nd quarter;66.1;14.7
520;Total 1 or more employed persons;41 Construction buildings, development;2015 July;64.6;12.3
521;Total 1 or more employed persons;41 Construction buildings, development;2015 August;40.0;7.1
522;Total 1 or more employed persons;41 Construction buildings, development;2015 September;68.4;16.1
523;Total 1 or more employed persons;41 Construction buildings, development;2015 3rd quarter;57.6;12.5
524;Total 1 or more employed persons;41 Construction buildings, development;2015 October;68.0;-3.1
525;Total 1 or more employed persons;41 Construction buildings, development;2015 November;72.5;5.2
526;Total 1 or more employed persons;41 Construction buildings, development;2015 December;83.7;6.4
527;Total 1 or more employed persons;41 Construction buildings, development;2015 4th quarter;74.7;2.9
528;Total 1 or more employed persons;41 Construction buildings, development;2015;62.7;9.4
529;Total 1 or more employed persons;41 Construction buildings, development;2016 January;47.8;8.7
530;Total 1 or more employed persons;41 Construction buildings, development;2016 February;57.8;12.2
531;Total 1 or more employed persons;41 Construction buildings, development;2016 March;67.5;9.0
532;Total 1 or more employed persons;41 Construction buildings, development;2016 1st quarter;57.7;10.0
533;Total 1 or more employed persons;41 Construction buildings, development;2016 April;67.8;11.2
534;Total 1 or more employed persons;41 Construction buildings, development;2016 May;65.4;8.3
535;Total 1 or more employed persons;41 Construction buildings, development;2016 June;76.1;-1.0
536;Total 1 or more employed persons;41 Construction buildings, development;2016 2nd quarter;69.8;5.6
537;Total 1 or more employed persons;41 Construction buildings, development;2016 July;72.4;12.1
538;Total 1 or more employed persons;41 Construction buildings, development;2016 August;44.9;12.2
539;Total 1 or more employed persons;41 Construction buildings, development;2016 September;71.7;4.8
540;Total 1 or more employed persons;41 Construction buildings, development;2016 3rd quarter;63.0;9.3
541;Total 1 or more employed persons;41 Construction buildings, development;2016 October;77.4;13.8
542;Total 1 or more employed persons;41 Construction buildings, development;2016 November;81.5;12.5
543;Total 1 or more employed persons;41 Construction buildings, development;2016 December;89.6;7.0
544;Total 1 or more employed persons;41 Construction buildings, development;2016 4th quarter;82.8;10.8
545;Total 1 or more employed persons;41 Construction buildings, development;2016;68.3;8.9
