ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
204;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2013;24860;21883;27838;12.0;4;9.0;31644;28196;35092;11.0;6;9.0
205;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2014;25383;21138;29627;17.0;4;9.0;31585;27545;35625;13.0;5;9.0
206;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2015;27569;22717;32421;18.0;5;9.0;30681;26671;34691;13.0;5;9.0
207;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2016;27832;23013;32650;17.0;5;9.0;30972;26657;35287;14.0;5;9.0
208;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2017;31245;25478;37013;18.0;5;9.0;32312;27499;37124;15.0;5;9.0
209;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2007;709;572;846;19.0;0;;420;350;491;17.0;0;
210;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2008;749;607;891;19.0;0;9.0;592;494;690;17.0;0;5.0
211;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2009;682;548;816;20.0;0;9.0;1078;898;1258;17.0;0;5.0
212;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2010;747;606;888;19.0;0;9.0;662;554;771;16.0;0;1.0
213;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2011;1126;912;1340;19.0;0;5.0;1042;888;1196;15.0;0;5.0
214;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2012;1167;946;1388;19.0;0;9.0;1184;999;1368;16.0;0;9.0
215;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2013;987;820;1155;17.0;0;1.0;865;729;1001;16.0;0;1.0
216;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2014;1040;840;1241;19.0;0;9.0;1034;869;1200;16.0;0;5.0
217;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2015;878;717;1038;18.0;0;1.0;877;742;1012;15.0;0;1.0
218;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2016;1013;826;1200;18.0;0;9.0;1057;895;1219;15.0;0;5.0
219;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2017;1460;1186;1735;19.0;0;5.0;1499;1264;1734;16.0;0;5.0
220;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2007;21;18;24;16.0;0;;14;12;16;14.0;0;
221;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2008;15;13;17;10.0;0;1.0;12;11;13;8.0;0;1.0
222;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2009;9;8;10;12.0;0;1.0;9;8;11;13.0;0;1.0
223;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2010;11;9;13;15.0;0;5.0;13;11;15;14.0;0;5.0
224;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2011;18;16;21;14.0;0;5.0;16;14;18;13.0;0;5.0
225;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2012;24;20;27;15.0;0;5.0;15;13;17;11.0;0;9.0
226;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2013;35;31;39;12.0;0;5.0;32;28;35;11.0;0;5.0
227;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2014;49;44;55;12.0;0;5.0;27;24;30;11.0;0;1.0
228;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2015;72;66;79;9.0;0;5.0;14;13;16;13.0;0;1.0
229;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2016;56;50;63;11.0;0;1.0;18;15;21;17.0;0;5.0
230;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2017;46;40;52;13.0;0;1.0;19;15;22;18.0;0;9.0
231;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2007;3452;3074;3831;11.0;1;;53130;48247;58013;9.0;9;
232;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2008;6044;5304;6784;12.0;1;5.0;55763;50035;61492;10.0;9;9.0
233;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2009;3615;3258;3972;10.0;1;1.0;47913;43406;52419;9.0;9;1.0
234;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2010;4163;3716;4609;11.0;1;5.0;47725;43272;52178;9.0;8;9.0
235;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2011;5841;5028;6653;14.0;1;5.0;50060;44674;55446;11.0;9;9.0
236;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2012;5027;4561;5492;9.0;1;1.0;51787;47602;55971;8.0;9;9.0
237;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2013;4499;4045;4952;10.0;1;1.0;59532;54349;64714;9.0;11;5.0
238;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2014;4626;4152;5101;10.0;1;9.0;63518;58189;68847;8.0;11;9.0
239;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2015;4328;3908;4748;10.0;1;9.0;61406;56518;66293;8.0;10;9.0
240;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2016;4291;3896;4685;9.0;1;9.0;58962;54433;63492;8.0;10;9.0
241;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2017;5254;4755;5753;9.0;1;5.0;55266;50693;59839;8.0;9;9.0
242;"Inbound transport; total";2 Solid mineral fuels;Africa;2007;619;484;754;22.0;0;;11106;8989;13223;19.0;2;
243;"Inbound transport; total";2 Solid mineral fuels;Africa;2008;1146;860;1431;25.0;0;5.0;12234;9826;14641;20.0;2;9.0
244;"Inbound transport; total";2 Solid mineral fuels;Africa;2009;705;553;857;22.0;0;1.0;10755;8575;12934;20.0;2;9.0
245;"Inbound transport; total";2 Solid mineral fuels;Africa;2010;244;204;284;16.0;0;1.0;3756;3113;4398;17.0;1;1.0
246;"Inbound transport; total";2 Solid mineral fuels;Africa;2011;303;247;359;19.0;0;5.0;3402;2858;3946;16.0;1;9.0
247;"Inbound transport; total";2 Solid mineral fuels;Africa;2012;338;294;383;13.0;0;9.0;4004;3448;4560;14.0;1;5.0
248;"Inbound transport; total";2 Solid mineral fuels;Africa;2013;436;316;556;27.0;0;5.0;6699;5173;8224;23.0;1;5.0
249;"Inbound transport; total";2 Solid mineral fuels;Africa;2014;727;600;853;17.0;0;5.0;11633;9925;13342;15.0;2;5.0
250;"Inbound transport; total";2 Solid mineral fuels;Africa;2015;398;352;445;12.0;0;1.0;6242;5582;6902;11.0;1;1.0
251;"Inbound transport; total";2 Solid mineral fuels;Africa;2016;307;238;376;22.0;0;1.0;4380;3670;5090;16.0;1;1.0
252;"Inbound transport; total";2 Solid mineral fuels;Africa;2017;434;373;494;14.0;0;5.0;5222;4373;6072;16.0;1;5.0
253;"Inbound transport; total";2 Solid mineral fuels;America;2007;1311;1065;1557;19.0;0;;19265;15845;22686;18.0;3;
254;"Inbound transport; total";2 Solid mineral fuels;America;2008;2494;1890;3098;24.0;0;5.0;23843;18884;28803;21.0;4;5.0
255;"Inbound transport; total";2 Solid mineral fuels;America;2009;1631;1343;1918;18.0;0;1.0;21222;17530;24914;17.0;4;9.0
256;"Inbound transport; total";2 Solid mineral fuels;America;2010;2167;1862;2473;14.0;0;5.0;25656;21853;29459;15.0;4;5.0
257;"Inbound transport; total";2 Solid mineral fuels;America;2011;3332;2588;4076;22.0;1;5.0;30584;25404;35764;17.0;5;5.0
258;"Inbound transport; total";2 Solid mineral fuels;America;2012;2986;2702;3271;10.0;1;9.0;30350;27060;33640;11.0;5;9.0
259;"Inbound transport; total";2 Solid mineral fuels;America;2013;2375;2014;2737;15.0;0;1.0;32054;27775;36333;13.0;6;9.0
260;"Inbound transport; total";2 Solid mineral fuels;America;2014;2071;1703;2439;18.0;0;9.0;29371;25208;33535;14.0;5;9.0
261;"Inbound transport; total";2 Solid mineral fuels;America;2015;2137;1832;2442;14.0;0;9.0;30683;26944;34422;12.0;5;9.0
262;"Inbound transport; total";2 Solid mineral fuels;America;2016;1828;1583;2072;13.0;0;1.0;28132;24779;31485;12.0;5;9.0
263;"Inbound transport; total";2 Solid mineral fuels;America;2017;1858;1610;2107;13.0;0;9.0;21799;18970;24628;13.0;4;1.0
264;"Inbound transport; total";2 Solid mineral fuels;Asia;2007;241;201;281;16.0;0;;3752;3089;4415;18.0;1;
265;"Inbound transport; total";2 Solid mineral fuels;Asia;2008;415;318;513;23.0;0;5.0;3420;2797;4043;18.0;1;9.0
266;"Inbound transport; total";2 Solid mineral fuels;Asia;2009;110;86;134;22.0;0;1.0;1455;1188;1722;18.0;0;1.0
267;"Inbound transport; total";2 Solid mineral fuels;Asia;2010;35;32;37;8.0;0;1.0;222;193;251;13.0;0;1.0
268;"Inbound transport; total";2 Solid mineral fuels;Asia;2011;41;29;52;28.0;0;9.0;163;122;205;26.0;0;1.0
269;"Inbound transport; total";2 Solid mineral fuels;Asia;2012;43;34;53;22.0;0;9.0;484;395;574;18.0;0;5.0
270;"Inbound transport; total";2 Solid mineral fuels;Asia;2013;25;20;30;20.0;0;1.0;280;237;324;15.0;0;1.0
271;"Inbound transport; total";2 Solid mineral fuels;Asia;2014;72;53;90;26.0;0;5.0;338;269;407;20.0;0;5.0
272;"Inbound transport; total";2 Solid mineral fuels;Asia;2015;62;44;79;28.0;0;9.0;358;293;423;18.0;0;9.0
273;"Inbound transport; total";2 Solid mineral fuels;Asia;2016;205;136;274;34.0;0;5.0;507;435;579;14.0;0;5.0
274;"Inbound transport; total";2 Solid mineral fuels;Asia;2017;300;270;330;10.0;0;5.0;965;858;1072;11.0;0;5.0
275;"Inbound transport; total";2 Solid mineral fuels;Europe;2007;689;474;903;31.0;0;;11914;8947;14881;25.0;2;
276;"Inbound transport; total";2 Solid mineral fuels;Europe;2008;1002;681;1323;32.0;0;5.0;10333;7770;12897;25.0;2;9.0
277;"Inbound transport; total";2 Solid mineral fuels;Europe;2009;686;526;846;23.0;0;1.0;10852;8581;13123;21.0;2;9.0
278;"Inbound transport; total";2 Solid mineral fuels;Europe;2010;949;730;1168;23.0;0;5.0;12228;9924;14531;19.0;2;9.0
279;"Inbound transport; total";2 Solid mineral fuels;Europe;2011;972;750;1193;23.0;0;9.0;10027;8257;11798;18.0;2;1.0
280;"Inbound transport; total";2 Solid mineral fuels;Europe;2012;976;736;1217;25.0;0;9.0;11493;9271;13715;19.0;2;9.0
281;"Inbound transport; total";2 Solid mineral fuels;Europe;2013;988;816;1160;17.0;0;9.0;14050;11786;16315;16.0;2;5.0
282;"Inbound transport; total";2 Solid mineral fuels;Europe;2014;1008;814;1203;19.0;0;9.0;14272;11730;16814;18.0;2;9.0
283;"Inbound transport; total";2 Solid mineral fuels;Europe;2015;1106;883;1329;20.0;0;9.0;17364;14547;20181;16.0;3;5.0
284;"Inbound transport; total";2 Solid mineral fuels;Europe;2016;1144;891;1398;22.0;0;9.0;17456;15120;19792;13.0;3;9.0
285;"Inbound transport; total";2 Solid mineral fuels;Europe;2017;1638;1212;2065;26.0;0;5.0;20242;16737;23746;17.0;3;9.0
286;"Inbound transport; total";2 Solid mineral fuels;Oceania;2007;593;423;763;29.0;0;;7093;5361;8825;24.0;1;
287;"Inbound transport; total";2 Solid mineral fuels;Oceania;2008;987;663;1311;33.0;0;5.0;5933;4426;7440;25.0;1;9.0
288;"Inbound transport; total";2 Solid mineral fuels;Oceania;2009;484;389;579;20.0;0;1.0;3629;2740;4517;24.0;1;1.0
289;"Inbound transport; total";2 Solid mineral fuels;Oceania;2010;768;478;1058;38.0;0;5.0;5864;4304;7424;27.0;1;5.0
290;"Inbound transport; total";2 Solid mineral fuels;Oceania;2011;1193;818;1568;31.0;0;5.0;5883;4361;7404;26.0;1;9.0
291;"Inbound transport; total";2 Solid mineral fuels;Oceania;2012;682;332;1032;51.0;0;1.0;5455;3805;7106;30.0;1;9.0
292;"Inbound transport; total";2 Solid mineral fuels;Oceania;2013;674;449;898;33.0;0;9.0;6448;4724;8172;27.0;1;9.0
293;"Inbound transport; total";2 Solid mineral fuels;Oceania;2014;749;504;993;33.0;0;9.0;7903;5851;9955;26.0;1;9.0
294;"Inbound transport; total";2 Solid mineral fuels;Oceania;2015;624;402;847;36.0;0;9.0;6758;4941;8574;27.0;1;9.0
295;"Inbound transport; total";2 Solid mineral fuels;Oceania;2016;807;614;999;24.0;0;9.0;8485;6298;10672;26.0;1;9.0
296;"Inbound transport; total";2 Solid mineral fuels;Oceania;2017;1024;868;1180;15.0;0;5.0;7036;5494;8579;22.0;1;9.0
297;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
298;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
299;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
300;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
301;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2011;0;0;0;;0;;0;0;0;;0;
302;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
303;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2013;0;0;0;;0;;0;0;0;;0;
304;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
305;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2015;0;0;0;;0;;1;1;1;24.0;0;
306;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2016;0;0;0;;0;;1;1;2;25.0;0;5.0
307;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2017;0;0;0;;0;;2;1;2;26.0;0;9.0
308;"Inbound transport; total";3 Petroleum products;Total all continents;2007;76329;66318;86340;13.0;17;;197733;181259;214208;8.0;34;
309;"Inbound transport; total";3 Petroleum products;Total all continents;2008;93712;81333;106090;13.0;18;5.0;199288;183189;215387;8.0;34;9.0
310;"Inbound transport; total";3 Petroleum products;Total all continents;2009;65012;55469;74555;15.0;15;1.0;196132;179062;213203;9.0;37;9.0
311;"Inbound transport; total";3 Petroleum products;Total all continents;2010;89292;74818;103766;16.0;17;5.0;207547;189647;225448;9.0;36;9.0
312;"Inbound transport; total";3 Petroleum products;Total all continents;2011;108077;97114;119040;10.0;21;5.0;193539;176810;210268;9.0;34;9.0
313;"Inbound transport; total";3 Petroleum products;Total all continents;2012;128254;116379;140129;9.0;22;5.0;205375;187828;222922;9.0;36;9.0
314;"Inbound transport; total";3 Petroleum products;Total all continents;2013;117368;106962;127774;9.0;20;2.0;194389;176502;212277;9.0;34;9.0
315;"Inbound transport; total";3 Petroleum products;Total all continents;2014;111338;99973;122704;10.0;20;9.0;198258;177773;218743;10.0;34;9.0
316;"Inbound transport; total";3 Petroleum products;Total all continents;2015;79586;69846;89326;12.0;13;1.0;211747;190582;232913;10.0;36;9.0
317;"Inbound transport; total";3 Petroleum products;Total all continents;2016;66293;59975;72611;10.0;11;1.0;215575;197359;233790;8.0;37;9.0
318;"Inbound transport; total";3 Petroleum products;Total all continents;2017;80419;74274;86563;8.0;12;5.0;211947;194980;228914;8.0;35;9.0
319;"Inbound transport; total";3 Petroleum products;Africa;2007;11565;8649;14482;25.0;3;;27925;22395;33455;20.0;5;
320;"Inbound transport; total";3 Petroleum products;Africa;2008;12984;9279;16690;29.0;3;9.0;26926;20857;32995;23.0;5;9.0
321;"Inbound transport; total";3 Petroleum products;Africa;2009;7466;5415;9517;27.0;2;1.0;21339;16721;25956;22.0;4;1.0
322;"Inbound transport; total";3 Petroleum products;Africa;2010;10214;7578;12849;26.0;2;5.0;22580;17832;27327;21.0;4;9.0
323;"Inbound transport; total";3 Petroleum products;Africa;2011;14023;9922;18125;29.0;3;5.0;23305;17964;28646;23.0;4;9.0
324;"Inbound transport; total";3 Petroleum products;Africa;2012;19904;14925;24883;25.0;3;5.0;31226;24736;37716;21.0;6;5.0
325;"Inbound transport; total";3 Petroleum products;Africa;2013;15785;11940;19629;24.0;3;1.0;26389;20758;32020;21.0;5;9.0
326;"Inbound transport; total";3 Petroleum products;Africa;2014;17936;13094;22778;27.0;3;9.0;30595;23797;37393;22.0;5;9.0
327;"Inbound transport; total";3 Petroleum products;Africa;2015;12276;8782;15770;28.0;2;1.0;33574;25907;41240;23.0;6;9.0
328;"Inbound transport; total";3 Petroleum products;Africa;2016;5976;4389;7562;27.0;1;1.0;19672;15356;23989;22.0;3;1.0
329;"Inbound transport; total";3 Petroleum products;Africa;2017;7704;5673;9734;26.0;1;9.0;21267;16638;25895;22.0;4;9.0
330;"Inbound transport; total";3 Petroleum products;America;2007;3743;2859;4626;24.0;1;;12098;9846;14350;19.0;2;
331;"Inbound transport; total";3 Petroleum products;America;2008;8409;6457;10361;23.0;2;5.0;18209;14860;21559;18.0;3;5.0
332;"Inbound transport; total";3 Petroleum products;America;2009;4460;3386;5535;24.0;1;1.0;14148;11428;16868;19.0;3;1.0
333;"Inbound transport; total";3 Petroleum products;America;2010;5366;4011;6720;25.0;1;9.0;12360;9871;14850;20.0;2;9.0
334;"Inbound transport; total";3 Petroleum products;America;2011;8858;6606;11110;25.0;2;5.0;15490;12398;18583;20.0;3;5.0
335;"Inbound transport; total";3 Petroleum products;America;2012;9856;7382;12330;25.0;2;9.0;15370;12319;18420;20.0;3;9.0
336;"Inbound transport; total";3 Petroleum products;America;2013;9882;7479;12285;24.0;2;9.0;16728;13463;19994;20.0;3;9.0
337;"Inbound transport; total";3 Petroleum products;America;2014;10381;7842;12921;24.0;2;9.0;17561;14139;20983;19.0;3;9.0
338;"Inbound transport; total";3 Petroleum products;America;2015;6035;4607;7464;24.0;1;1.0;15678;12777;18579;19.0;3;9.0
339;"Inbound transport; total";3 Petroleum products;America;2016;5160;3934;6385;24.0;1;9.0;15668;12722;18615;19.0;3;9.0
340;"Inbound transport; total";3 Petroleum products;America;2017;5222;3994;6449;24.0;1;9.0;12826;10420;15232;19.0;2;1.0
341;"Inbound transport; total";3 Petroleum products;Asia;2007;13202;10783;15620;18.0;3;;32289;27584;36994;15.0;6;
342;"Inbound transport; total";3 Petroleum products;Asia;2008;15180;12263;18097;19.0;3;9.0;32300;27312;37288;15.0;5;9.0
343;"Inbound transport; total";3 Petroleum products;Asia;2009;11179;8677;13681;22.0;3;1.0;33692;27678;39705;18.0;6;9.0
344;"Inbound transport; total";3 Petroleum products;Asia;2010;15439;12093;18785;22.0;3;5.0;34786;28811;40761;17.0;6;9.0
345;"Inbound transport; total";3 Petroleum products;Asia;2011;20046;15945;24147;20.0;4;5.0;32122;26889;37355;16.0;6;9.0
346;"Inbound transport; total";3 Petroleum products;Asia;2012;20352;16365;24339;20.0;3;9.0;29960;25312;34609;16.0;5;9.0
347;"Inbound transport; total";3 Petroleum products;Asia;2013;15389;12277;18501;20.0;3;1.0;23810;19993;27628;16.0;4;1.0
348;"Inbound transport; total";3 Petroleum products;Asia;2014;13669;11071;16266;19.0;2;9.0;23038;19404;26673;16.0;4;9.0
349;"Inbound transport; total";3 Petroleum products;Asia;2015;10437;8270;12603;21.0;2;1.0;26383;22155;30611;16.0;4;9.0
350;"Inbound transport; total";3 Petroleum products;Asia;2016;11736;9228;14245;21.0;2;9.0;34824;29020;40628;17.0;6;5.0
351;"Inbound transport; total";3 Petroleum products;Asia;2017;14131;10909;17353;23.0;2;9.0;34822;28618;41026;18.0;6;9.0
352;"Inbound transport; total";3 Petroleum products;Europe;2007;47696;38016;57376;20.0;10;;125201;109442;140960;13.0;21;
353;"Inbound transport; total";3 Petroleum products;Europe;2008;57065;45204;68926;21.0;11;9.0;121690;104901;138480;14.0;20;9.0
354;"Inbound transport; total";3 Petroleum products;Europe;2009;41730;32575;50885;22.0;10;1.0;126567;110289;142844;13.0;24;9.0
355;"Inbound transport; total";3 Petroleum products;Europe;2010;57989;44093;71884;24.0;11;5.0;137155;118654;155656;13.0;24;9.0
356;"Inbound transport; total";3 Petroleum products;Europe;2011;62340;52602;72079;16.0;12;9.0;118470;101985;134956;14.0;21;1.0
357;"Inbound transport; total";3 Petroleum products;Europe;2012;74769;63945;85593;14.0;13;5.0;122962;106357;139566;14.0;22;9.0
