ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
516;Total sales;052 Lignite;2015 October;;;
517;Total sales;052 Lignite;2015 November;;;
518;Total sales;052 Lignite;2015 December;;;
519;Total sales;052 Lignite;2015;;;
520;Total sales;052 Lignite;2016 January;;;
521;Total sales;052 Lignite;2016 February;;;
522;Total sales;052 Lignite;2016 March;;;
523;Total sales;052 Lignite;2016 April;;;
524;Total sales;052 Lignite;2016 May;;;
525;Total sales;052 Lignite;2016 June;;;
526;Total sales;052 Lignite;2016 July;;;
527;Total sales;052 Lignite;2016 August;;;
528;Total sales;052 Lignite;2016 September;;;
529;Total sales;052 Lignite;2016 October;;;
530;Total sales;052 Lignite;2016 November;;;
531;Total sales;052 Lignite;2016 December;;;
532;Total sales;052 Lignite;2016;;;
533;Total sales;052 Lignite;2017 January;;;
534;Total sales;052 Lignite;2017 February;;;
535;Total sales;052 Lignite;2017 March;;;
536;Total sales;052 Lignite;2017 April;;;
537;Total sales;052 Lignite;2017 May;;;
538;Total sales;052 Lignite;2017 June;;;
539;Total sales;052 Lignite;2017 July;;;
540;Total sales;052 Lignite;2017 August;;;
541;Total sales;052 Lignite;2017 September;;;
542;Total sales;052 Lignite;2017 October;;;
543;Total sales;052 Lignite;2017 November;;;
544;Total sales;052 Lignite;2017 December;;;
545;Total sales;052 Lignite;2017;;;
546;Total sales;052 Lignite;2018 January;;;
547;Total sales;052 Lignite;2018 February;;;
548;Total sales;052 Lignite;2018 March;;;
549;Total sales;052 Lignite;2018 April;;;
550;Total sales;052 Lignite;2018 May;;;
551;Total sales;052 Lignite;2018 June;;;
552;Total sales;052 Lignite;2018 July;;;
553;Total sales;052 Lignite;2018 August;;;
554;Total sales;052 Lignite;2018 September;;;
555;Total sales;052 Lignite;2018 October;;;
556;Total sales;052 Lignite;2018 November;;;
557;Total sales;052 Lignite;2018 December;;;
558;Total sales;052 Lignite;2018;;;
559;Total sales;052 Lignite;2019 January;;;
560;Total sales;052 Lignite;2019 February;;;
561;Total sales;052 Lignite;2019 March;;;
562;Total sales;052 Lignite;2019 April;;;
563;Total sales;052 Lignite;2019 May;;;
564;Total sales;052 Lignite;2019 June;;;
565;Total sales;052 Lignite;2019 July;;;
566;Total sales;052 Lignite;2019 August;;;
567;Total sales;052 Lignite;2019 September;;;
568;Total sales;052 Lignite;2019 October;;;
569;Total sales;052 Lignite;2019 November;;;
570;Total sales;052 Lignite;2019 December;;;
571;Total sales;052 Lignite;2019;;;
572;Total sales;052 Lignite;2020 January;;;
573;Total sales;052 Lignite;2020 February;;;
574;Total sales;052 Lignite;2020 March;;;
575;Total sales;052 Lignite;2020 April;;;
576;Total sales;052 Lignite;2020 May;;;
577;Total sales;052 Lignite;2020 June;;;
578;Total sales;052 Lignite;2020 July;;;
579;Total sales;052 Lignite;2020 August;;;
580;Total sales;052 Lignite;2020 September;;;
581;Total sales;052 Lignite;2020 October;;;
582;Total sales;052 Lignite;2020 November;;;
583;Total sales;052 Lignite;2020 December;;;
584;Total sales;052 Lignite;2020;;;
585;Total sales;052 Lignite;2021 January;;;
586;Total sales;052 Lignite;2021 February;;;
587;Total sales;052 Lignite;2021 March;;;
588;Total sales;052 Lignite;2021 April;;;
589;Total sales;052 Lignite;2021 May;;;
590;Total sales;052 Lignite;2021 June;;;
591;Total sales;052 Lignite;2021 July;;;
592;Total sales;052 Lignite;2021 August;;;
593;Total sales;052 Lignite;2021 September;;;
594;Total sales;052 Lignite;2021 October;;;
595;Total sales;052 Lignite;2021 November;;;
596;Total sales;052 Lignite;2021 December;;;
597;Total sales;052 Lignite;2021;;;
598;Total sales;052 Lignite;2022 January;;;
599;Total sales;052 Lignite;2022 February;;;
600;Total sales;052 Lignite;2022 March;;;
601;Total sales;052 Lignite;2022 April;;;
602;Total sales;052 Lignite;2022 May;;;
603;Total sales;052 Lignite;2022 June;;;
604;Total sales;052 Lignite;2022 July;;;
605;Total sales;052 Lignite;2022 August;;;
606;Total sales;052 Lignite;2022 September;;;
607;Total sales;052 Lignite;2022 October;;;
608;Total sales;052 Lignite;2022 November;;;
609;Total sales;052 Lignite;2022 December;;;
610;Total sales;052 Lignite;2022;;;
611;Total sales;052 Lignite;2023 January;;;
612;Total sales;052 Lignite;2023 February;;;
613;Total sales;052 Lignite;2023 March;;;
614;Total sales;052 Lignite;2023 April;;;
615;Total sales;052 Lignite;2023 May;;;
616;Total sales;052 Lignite;2023 June;;;
617;Total sales;052 Lignite;2023 July;;;
618;Total sales;052 Lignite;2023 August;;;
619;Total sales;052 Lignite;2023 September;;;
620;Total sales;052 Lignite;2023 October;;;
621;Total sales;052 Lignite;2023 November;;;
622;Total sales;052 Lignite;2023 December;;;
623;Total sales;052 Lignite;2023;;;
624;Total sales;06 Crude petroleum, natural gas...;2012 January;129.6;;
625;Total sales;06 Crude petroleum, natural gas...;2012 February;130.3;0.5;
626;Total sales;06 Crude petroleum, natural gas...;2012 March;131.3;0.8;
627;Total sales;06 Crude petroleum, natural gas...;2012 April;135.5;3.2;
628;Total sales;06 Crude petroleum, natural gas...;2012 May;137.5;1.5;
629;Total sales;06 Crude petroleum, natural gas...;2012 June;132.9;-3.4;
630;Total sales;06 Crude petroleum, natural gas...;2012 July;132.5;-0.3;
631;Total sales;06 Crude petroleum, natural gas...;2012 August;135.5;2.2;
632;Total sales;06 Crude petroleum, natural gas...;2012 September;134.8;-0.5;
633;Total sales;06 Crude petroleum, natural gas...;2012 October;138.0;2.4;
634;Total sales;06 Crude petroleum, natural gas...;2012 November;143.4;3.9;
635;Total sales;06 Crude petroleum, natural gas...;2012 December;137.2;-4.3;
636;Total sales;06 Crude petroleum, natural gas...;2012;134.9;;
637;Total sales;06 Crude petroleum, natural gas...;2013 January;135.1;-1.6;4.2
638;Total sales;06 Crude petroleum, natural gas...;2013 February;132.5;-1.9;1.7
639;Total sales;06 Crude petroleum, natural gas...;2013 March;132.2;-0.2;0.7
640;Total sales;06 Crude petroleum, natural gas...;2013 April;131.2;-0.8;-3.2
641;Total sales;06 Crude petroleum, natural gas...;2013 May;130.1;-0.9;-5.4
642;Total sales;06 Crude petroleum, natural gas...;2013 June;129.6;-0.4;-2.5
643;Total sales;06 Crude petroleum, natural gas...;2013 July;130.0;0.3;-1.9
644;Total sales;06 Crude petroleum, natural gas...;2013 August;129.5;-0.4;-4.5
645;Total sales;06 Crude petroleum, natural gas...;2013 September;128.0;-1.2;-5.1
646;Total sales;06 Crude petroleum, natural gas...;2013 October;129.4;1.1;-6.2
647;Total sales;06 Crude petroleum, natural gas...;2013 November;131.1;1.4;-8.5
648;Total sales;06 Crude petroleum, natural gas...;2013 December;131.9;0.6;-3.9
649;Total sales;06 Crude petroleum, natural gas...;2013;130.9;;-3.0
650;Total sales;06 Crude petroleum, natural gas...;2014 January;131.8;-0.1;-2.4
651;Total sales;06 Crude petroleum, natural gas...;2014 February;127.5;-3.3;-3.8
652;Total sales;06 Crude petroleum, natural gas...;2014 March;121.8;-4.4;-7.9
653;Total sales;06 Crude petroleum, natural gas...;2014 April;114.9;-5.7;-12.4
654;Total sales;06 Crude petroleum, natural gas...;2014 May;109.2;-5.0;-16.1
655;Total sales;06 Crude petroleum, natural gas...;2014 June;107.3;-1.7;-17.2
656;Total sales;06 Crude petroleum, natural gas...;2014 July;102.0;-4.9;-21.5
657;Total sales;06 Crude petroleum, natural gas...;2014 August;102.0;0.0;-21.2
658;Total sales;06 Crude petroleum, natural gas...;2014 September;106.3;4.3;-16.9
659;Total sales;06 Crude petroleum, natural gas...;2014 October;113.4;6.6;-12.4
660;Total sales;06 Crude petroleum, natural gas...;2014 November;115.1;1.5;-12.2
661;Total sales;06 Crude petroleum, natural gas...;2014 December;114.8;-0.3;-13.0
662;Total sales;06 Crude petroleum, natural gas...;2014;113.8;;-13.0
663;Total sales;06 Crude petroleum, natural gas...;2015 January;107.1;-6.7;-18.8
664;Total sales;06 Crude petroleum, natural gas...;2015 February;;;
665;Total sales;06 Crude petroleum, natural gas...;2015 March;108.7;;-10.8
666;Total sales;06 Crude petroleum, natural gas...;2015 April;106.1;-2.4;-7.7
667;Total sales;06 Crude petroleum, natural gas...;2015 May;103.2;-2.7;-5.4
668;Total sales;06 Crude petroleum, natural gas...;2015 June;101.2;-2.0;-5.7
669;Total sales;06 Crude petroleum, natural gas...;2015 July;100.7;-0.5;-1.3
670;Total sales;06 Crude petroleum, natural gas...;2015 August;;;
671;Total sales;06 Crude petroleum, natural gas...;2015 September;100.4;;-5.6
672;Total sales;06 Crude petroleum, natural gas...;2015 October;93.1;-7.2;-17.8
673;Total sales;06 Crude petroleum, natural gas...;2015 November;;;
674;Total sales;06 Crude petroleum, natural gas...;2015 December;86.8;;-24.4
675;Total sales;06 Crude petroleum, natural gas...;2015;100.0;;-12.1
676;Total sales;06 Crude petroleum, natural gas...;2016 January;;;
677;Total sales;06 Crude petroleum, natural gas...;2016 February;;;
678;Total sales;06 Crude petroleum, natural gas...;2016 March;;;
679;Total sales;06 Crude petroleum, natural gas...;2016 April;;;
680;Total sales;06 Crude petroleum, natural gas...;2016 May;67.6;;-34.5
681;Total sales;06 Crude petroleum, natural gas...;2016 June;;;
682;Total sales;06 Crude petroleum, natural gas...;2016 July;77.9;;-22.6
683;Total sales;06 Crude petroleum, natural gas...;2016 August;;;
684;Total sales;06 Crude petroleum, natural gas...;2016 September;70.5;;-29.8
685;Total sales;06 Crude petroleum, natural gas...;2016 October;;;
686;Total sales;06 Crude petroleum, natural gas...;2016 November;;;
687;Total sales;06 Crude petroleum, natural gas...;2016 December;84.0;;-3.1
688;Total sales;06 Crude petroleum, natural gas...;2016;74.1;;-25.9
689;Total sales;06 Crude petroleum, natural gas...;2017 January;;;
690;Total sales;06 Crude petroleum, natural gas...;2017 February;;;
691;Total sales;06 Crude petroleum, natural gas...;2017 March;94.8;;
692;Total sales;06 Crude petroleum, natural gas...;2017 April;;;
693;Total sales;06 Crude petroleum, natural gas...;2017 May;78.5;;16.0
694;Total sales;06 Crude petroleum, natural gas...;2017 June;80.5;2.6;
695;Total sales;06 Crude petroleum, natural gas...;2017 July;;;
696;Total sales;06 Crude petroleum, natural gas...;2017 August;74.0;;
697;Total sales;06 Crude petroleum, natural gas...;2017 September;77.8;5.1;10.4
698;Total sales;06 Crude petroleum, natural gas...;2017 October;82.8;6.4;
699;Total sales;06 Crude petroleum, natural gas...;2017 November;84.7;2.3;
700;Total sales;06 Crude petroleum, natural gas...;2017 December;;;
701;Total sales;06 Crude petroleum, natural gas...;2017;82.5;;11.2
702;Total sales;06 Crude petroleum, natural gas...;2018 January;93.3;;
703;Total sales;06 Crude petroleum, natural gas...;2018 February;88.0;-5.6;
704;Total sales;06 Crude petroleum, natural gas...;2018 March;;;
705;Total sales;06 Crude petroleum, natural gas...;2018 April;;;
706;Total sales;06 Crude petroleum, natural gas...;2018 May;;;
707;Total sales;06 Crude petroleum, natural gas...;2018 June;;;
708;Total sales;06 Crude petroleum, natural gas...;2018 July;102.7;;
709;Total sales;06 Crude petroleum, natural gas...;2018 August;;;
710;Total sales;06 Crude petroleum, natural gas...;2018 September;;;
711;Total sales;06 Crude petroleum, natural gas...;2018 October;122.2;;47.6
712;Total sales;06 Crude petroleum, natural gas...;2018 November;;;
713;Total sales;06 Crude petroleum, natural gas...;2018 December;;;
714;Total sales;06 Crude petroleum, natural gas...;2018;101.2;;22.7
715;Total sales;06 Crude petroleum, natural gas...;2019 January;106.2;;13.8
716;Total sales;06 Crude petroleum, natural gas...;2019 February;;;
717;Total sales;06 Crude petroleum, natural gas...;2019 March;88.8;;
718;Total sales;06 Crude petroleum, natural gas...;2019 April;80.5;-9.3;
719;Total sales;06 Crude petroleum, natural gas...;2019 May;;;
720;Total sales;06 Crude petroleum, natural gas...;2019 June;70.7;;
721;Total sales;06 Crude petroleum, natural gas...;2019 July;65.0;-8.1;-36.7
722;Total sales;06 Crude petroleum, natural gas...;2019 August;63.8;-1.9;
723;Total sales;06 Crude petroleum, natural gas...;2019 September;;;
724;Total sales;06 Crude petroleum, natural gas...;2019 October;75.8;;-37.9
725;Total sales;06 Crude petroleum, natural gas...;2019 November;77.9;2.8;
726;Total sales;06 Crude petroleum, natural gas...;2019 December;81.4;4.4;
727;Total sales;06 Crude petroleum, natural gas...;2019;80.0;;-20.9
728;Total sales;06 Crude petroleum, natural gas...;2020 January;;;
729;Total sales;06 Crude petroleum, natural gas...;2020 February;70.1;;
730;Total sales;06 Crude petroleum, natural gas...;2020 March;56.7;-19.1;-36.1
731;Total sales;06 Crude petroleum, natural gas...;2020 April;;;
732;Total sales;06 Crude petroleum, natural gas...;2020 May;43.5;;
733;Total sales;06 Crude petroleum, natural gas...;2020 June;39.3;-9.7;-44.4
734;Total sales;06 Crude petroleum, natural gas...;2020 July;38.5;-2.2;-40.8
735;Total sales;06 Crude petroleum, natural gas...;2020 August;;;
736;Total sales;06 Crude petroleum, natural gas...;2020 September;52.9;;
737;Total sales;06 Crude petroleum, natural gas...;2020 October;;;
738;Total sales;06 Crude petroleum, natural gas...;2020 November;;;
739;Total sales;06 Crude petroleum, natural gas...;2020 December;65.3;;-19.8
740;Total sales;06 Crude petroleum, natural gas...;2020;55.0;;-31.2
741;Total sales;06 Crude petroleum, natural gas...;2021 January;71.3;9.2;
742;Total sales;06 Crude petroleum, natural gas...;2021 February;82.0;15.1;17.0
743;Total sales;06 Crude petroleum, natural gas...;2021 March;76.2;-7.2;34.3
744;Total sales;06 Crude petroleum, natural gas...;2021 April;77.6;1.9;
745;Total sales;06 Crude petroleum, natural gas...;2021 May;90.2;16.3;107.3
746;Total sales;06 Crude petroleum, natural gas...;2021 June;104.7;16.0;166.1
747;Total sales;06 Crude petroleum, natural gas...;2021 July;125.4;19.8;225.8
748;Total sales;06 Crude petroleum, natural gas...;2021 August;147.6;17.7;
749;Total sales;06 Crude petroleum, natural gas...;2021 September;166.0;12.5;213.5
750;Total sales;06 Crude petroleum, natural gas...;2021 October;204.4;23.2;
751;Total sales;06 Crude petroleum, natural gas...;2021 November;236.3;15.6;
752;Total sales;06 Crude petroleum, natural gas...;2021 December;234.4;-0.8;259.3
753;Total sales;06 Crude petroleum, natural gas...;2021;134.7;;144.7
754;Total sales;06 Crude petroleum, natural gas...;2022 January;273.7;16.7;284.0
755;Total sales;06 Crude petroleum, natural gas...;2022 February;246.9;-9.8;201.0
756;Total sales;06 Crude petroleum, natural gas...;2022 March;260.9;5.7;242.6
757;Total sales;06 Crude petroleum, natural gas...;2022 April;343.5;31.7;342.7
758;Total sales;06 Crude petroleum, natural gas...;2022 May;294.4;-14.3;226.2
759;Total sales;06 Crude petroleum, natural gas...;2022 June;301.4;2.4;188.0
760;Total sales;06 Crude petroleum, natural gas...;2022 July;353.2;17.2;181.7
761;Total sales;06 Crude petroleum, natural gas...;2022 August;497.3;40.8;236.9
762;Total sales;06 Crude petroleum, natural gas...;2022 September;610.3;22.7;267.6
763;Total sales;06 Crude petroleum, natural gas...;2022 October;582.6;-4.5;185.0
764;Total sales;06 Crude petroleum, natural gas...;2022 November;536.6;-7.9;127.1
765;Total sales;06 Crude petroleum, natural gas...;2022 December;461.3;-14.0;96.8
766;Total sales;06 Crude petroleum, natural gas...;2022;396.8;;194.7
767;Total sales;06 Crude petroleum, natural gas...;2023 January;438.5;-4.9;60.2
768;Total sales;06 Crude petroleum, natural gas...;2023 February;439.3;0.2;77.9
769;Total sales;06 Crude petroleum, natural gas...;2023 March;380.7;-13.3;45.9
770;Total sales;06 Crude petroleum, natural gas...;2023 April;293.8;-22.8;-14.5
771;Total sales;06 Crude petroleum, natural gas...;2023 May;258.1;-12.2;-12.3
772;Total sales;06 Crude petroleum, natural gas...;2023 June;256.8;-0.5;-14.8
773;Total sales;06 Crude petroleum, natural gas...;2023 July;245.0;-4.6;-30.6
774;Total sales;06 Crude petroleum, natural gas...;2023 August;239.0;-2.5;-51.9
775;Total sales;06 Crude petroleum, natural gas...;2023 September;263.1;10.1;-56.9
776;Total sales;06 Crude petroleum, natural gas...;2023 October;251.0;-4.6;-56.9
777;Total sales;06 Crude petroleum, natural gas...;2023 November;282.9;12.7;-47.3
778;Total sales;06 Crude petroleum, natural gas...;2023 December;293.2;3.7;-36.4
779;Total sales;06 Crude petroleum, natural gas...;2023;303.5;;-23.5
780;Total sales;061 Crude petroleum and natural ...;2012 January;185.1;;
781;Total sales;061 Crude petroleum and natural ...;2012 February;195.0;5.4;
782;Total sales;061 Crude petroleum and natural ...;2012 March;204.5;4.9;
783;Total sales;061 Crude petroleum and natural ...;2012 April;197.1;-3.6;
784;Total sales;061 Crude petroleum and natural ...;2012 May;183.9;-6.7;
785;Total sales;061 Crude petroleum and natural ...;2012 June;162.3;-11.8;
786;Total sales;061 Crude petroleum and natural ...;2012 July;176.7;8.9;
787;Total sales;061 Crude petroleum and natural ...;2012 August;193.8;9.6;
788;Total sales;061 Crude petroleum and natural ...;2012 September;189.2;-2.4;
789;Total sales;061 Crude petroleum and natural ...;2012 October;187.1;-1.1;
790;Total sales;061 Crude petroleum and natural ...;2012 November;184.1;-1.6;
791;Total sales;061 Crude petroleum and natural ...;2012 December;182.1;-1.1;
792;Total sales;061 Crude petroleum and natural ...;2012;186.7;;
793;Total sales;061 Crude petroleum and natural ...;2013 January;183.2;0.6;-1.0
794;Total sales;061 Crude petroleum and natural ...;2013 February;187.9;2.6;-3.6
795;Total sales;061 Crude petroleum and natural ...;2013 March;181.4;-3.5;-11.3
796;Total sales;061 Crude petroleum and natural ...;2013 April;168.3;-7.2;-14.6
797;Total sales;061 Crude petroleum and natural ...;2013 May;169.3;0.6;-8.0
798;Total sales;061 Crude petroleum and natural ...;2013 June;167.0;-1.4;2.9
799;Total sales;061 Crude petroleum and natural ...;2013 July;175.8;5.2;-0.5
800;Total sales;061 Crude petroleum and natural ...;2013 August;180.0;2.4;-7.1
801;Total sales;061 Crude petroleum and natural ...;2013 September;180.6;0.4;-4.5
802;Total sales;061 Crude petroleum and natural ...;2013 October;172.3;-4.6;-7.9
