ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
202;Total capital stock;20 Manufacture of chemicals;1999;24977.0;103.7;24405.0;84.0;1817.0;1485.0;0.0;156.0;24977.0
203;Total capital stock;20 Manufacture of chemicals;2000;25773.0;102.4;24977.0;530.0;1701.0;1527.0;0.0;92.0;25773.0
204;Total capital stock;20 Manufacture of chemicals;2001;26053.0;90.4;25773.0;369.0;1385.0;1569.0;0.0;95.0;26053.0
205;Total capital stock;20 Manufacture of chemicals;2002;27198.0;92.2;26053.0;632.0;2047.0;1615.0;0.0;80.0;27198.0
206;Total capital stock;20 Manufacture of chemicals;2003;27895.0;94.2;27198.0;87.0;2134.0;1645.0;0.0;121.0;27895.0
207;Total capital stock;20 Manufacture of chemicals;2004;28381.0;94.7;27895.0;346.0;1766.0;1680.0;0.0;55.0;28381.0
208;Total capital stock;20 Manufacture of chemicals;2005;28838.0;95.0;28381.0;381.0;1728.0;1716.0;0.0;63.0;28838.0
209;Total capital stock;20 Manufacture of chemicals;2006;29802.0;96.6;28838.0;458.0;2185.0;1767.0;0.0;88.0;29802.0
210;Total capital stock;20 Manufacture of chemicals;2007;30723.0;97.8;29802.0;555.0;2152.0;1840.0;0.0;54.0;30723.0
211;Total capital stock;20 Manufacture of chemicals;2008;32250.0;99.9;30723.0;824.0;2504.0;1946.0;0.0;144.0;32250.0
212;Total capital stock;20 Manufacture of chemicals;2009;33159.0;100.8;32250.0;628.0;2203.0;2035.0;0.0;114.0;33159.0
213;Total capital stock;20 Manufacture of chemicals;2010;33477.0;100.0;33159.0;582.0;1832.0;2096.0;0.0;0.0;33477.0
214;Total capital stock;20 Manufacture of chemicals;2011;34128.0;101.0;33477.0;301.0;2493.0;2144.0;0.0;0.0;34128.0
215;Total capital stock;20 Manufacture of chemicals;2012;35018.0;102.3;34128.0;460.0;2628.0;2197.0;0.0;0.0;35018.0
216;Total capital stock;20 Manufacture of chemicals;2013;35156.0;102.4;35018.0;95.0;2280.0;2237.0;0.0;0.0;35156.0
217;Total capital stock;20 Manufacture of chemicals;2014;35126.0;102.0;35156.0;129.0;2136.0;2295.0;0.0;0.0;35126.0
218;Total capital stock;20 Manufacture of chemicals;2015;36073.0;103.1;35126.0;547.0;2755.0;2355.0;0.0;0.0;36073.0
219;Total capital stock;20 Manufacture of chemicals;2016;36769.0;104.4;36073.0;;;;;;36769.0
220;Total capital stock;21 Manufacture of pharmaceuticals;1995;6173.0;103.8;6058.0;74.0;547.0;514.0;0.0;8.0;6173.0
221;Total capital stock;21 Manufacture of pharmaceuticals;1996;6278.0;103.1;6173.0;73.0;554.0;527.0;0.0;6.0;6278.0
222;Total capital stock;21 Manufacture of pharmaceuticals;1997;6372.0;102.9;6278.0;48.0;565.0;530.0;0.0;11.0;6372.0
223;Total capital stock;21 Manufacture of pharmaceuticals;1998;6525.0;103.1;6372.0;73.0;607.0;535.0;0.0;7.0;6525.0
224;Total capital stock;21 Manufacture of pharmaceuticals;1999;6795.0;104.5;6525.0;87.0;720.0;547.0;0.0;10.0;6795.0
225;Total capital stock;21 Manufacture of pharmaceuticals;2000;7134.0;104.9;6795.0;223.0;688.0;574.0;0.0;2.0;7134.0
226;Total capital stock;21 Manufacture of pharmaceuticals;2001;7416.0;99.4;7134.0;231.0;655.0;605.0;0.0;0.0;7416.0
227;Total capital stock;21 Manufacture of pharmaceuticals;2002;7725.0;100.1;7416.0;255.0;688.0;631.0;0.0;-3.0;7725.0
228;Total capital stock;21 Manufacture of pharmaceuticals;2003;7890.0;100.7;7725.0;122.0;688.0;648.0;0.0;3.0;7890.0
229;Total capital stock;21 Manufacture of pharmaceuticals;2004;7980.0;100.5;7890.0;108.0;643.0;662.0;0.0;1.0;7980.0
230;Total capital stock;21 Manufacture of pharmaceuticals;2005;8086.0;100.1;7980.0;134.0;654.0;676.0;0.0;-6.0;8086.0
231;Total capital stock;21 Manufacture of pharmaceuticals;2006;8286.0;100.3;8086.0;188.0;711.0;697.0;0.0;-3.0;8286.0
232;Total capital stock;21 Manufacture of pharmaceuticals;2007;8392.0;99.5;8286.0;171.0;658.0;716.0;0.0;-6.0;8392.0
233;Total capital stock;21 Manufacture of pharmaceuticals;2008;8631.0;99.4;8392.0;250.0;720.0;740.0;0.0;9.0;8631.0
234;Total capital stock;21 Manufacture of pharmaceuticals;2009;8897.0;99.9;8631.0;214.0;807.0;765.0;0.0;9.0;8897.0
235;Total capital stock;21 Manufacture of pharmaceuticals;2010;9045.0;100.0;8897.0;142.0;789.0;783.0;0.0;0.0;9045.0
236;Total capital stock;21 Manufacture of pharmaceuticals;2011;9064.0;99.4;9045.0;72.0;746.0;799.0;0.0;0.0;9064.0
237;Total capital stock;21 Manufacture of pharmaceuticals;2012;9031.0;98.0;9064.0;94.0;688.0;815.0;0.0;0.0;9031.0
238;Total capital stock;21 Manufacture of pharmaceuticals;2013;7868.0;84.9;9031.0;55.0;657.0;652.0;-1222.0;0.0;7868.0
239;Total capital stock;21 Manufacture of pharmaceuticals;2014;7966.0;85.6;7868.0;35.0;731.0;668.0;0.0;0.0;7966.0
240;Total capital stock;21 Manufacture of pharmaceuticals;2015;8652.0;92.0;7966.0;79.0;1321.0;714.0;0.0;0.0;8652.0
241;Total capital stock;21 Manufacture of pharmaceuticals;2016;9300.0;98.3;8652.0;;;;;;9300.0
242;Total capital stock;22-23 Man. plastics and constructionprod;1995;6777.0;102.8;6594.0;45.0;563.0;432.0;0.0;8.0;6777.0
243;Total capital stock;22-23 Man. plastics and constructionprod;1996;6966.0;103.1;6777.0;13.0;611.0;440.0;0.0;5.0;6966.0
244;Total capital stock;22-23 Man. plastics and constructionprod;1997;7140.0;103.9;6966.0;38.0;577.0;449.0;0.0;8.0;7140.0
245;Total capital stock;22-23 Man. plastics and constructionprod;1998;7380.0;105.1;7140.0;37.0;658.0;464.0;0.0;8.0;7380.0
246;Total capital stock;22-23 Man. plastics and constructionprod;1999;7628.0;105.7;7380.0;47.0;680.0;485.0;0.0;7.0;7628.0
247;Total capital stock;22-23 Man. plastics and constructionprod;2000;7952.0;105.4;7628.0;171.0;662.0;515.0;0.0;6.0;7952.0
248;Total capital stock;22-23 Man. plastics and constructionprod;2001;8252.0;97.0;7952.0;135.0;699.0;541.0;0.0;6.0;8252.0
249;Total capital stock;22-23 Man. plastics and constructionprod;2002;8592.0;98.3;8252.0;224.0;676.0;566.0;0.0;6.0;8592.0
250;Total capital stock;22-23 Man. plastics and constructionprod;2003;8624.0;98.6;8592.0;7.0;596.0;576.0;0.0;5.0;8624.0
251;Total capital stock;22-23 Man. plastics and constructionprod;2004;8729.0;98.6;8624.0;106.0;581.0;586.0;0.0;3.0;8729.0
252;Total capital stock;22-23 Man. plastics and constructionprod;2005;8868.0;98.8;8729.0;124.0;610.0;598.0;0.0;4.0;8868.0
253;Total capital stock;22-23 Man. plastics and constructionprod;2006;9055.0;99.2;8868.0;150.0;649.0;614.0;0.0;2.0;9055.0
254;Total capital stock;22-23 Man. plastics and constructionprod;2007;9378.0;100.8;9055.0;174.0;779.0;635.0;0.0;4.0;9378.0
255;Total capital stock;22-23 Man. plastics and constructionprod;2008;9720.0;101.7;9378.0;251.0;746.0;659.0;0.0;4.0;9720.0
256;Total capital stock;22-23 Man. plastics and constructionprod;2009;9877.0;101.3;9720.0;199.0;623.0;674.0;0.0;10.0;9877.0
257;Total capital stock;22-23 Man. plastics and constructionprod;2010;10034.0;100.0;9877.0;287.0;555.0;685.0;0.0;0.0;10034.0
258;Total capital stock;22-23 Man. plastics and constructionprod;2011;10150.0;100.0;10034.0;120.0;683.0;687.0;0.0;0.0;10150.0
259;Total capital stock;22-23 Man. plastics and constructionprod;2012;10058.0;98.9;10150.0;15.0;582.0;688.0;0.0;0.0;10058.0
260;Total capital stock;22-23 Man. plastics and constructionprod;2013;10066.0;98.4;10058.0;59.0;637.0;689.0;0.0;0.0;10066.0
261;Total capital stock;22-23 Man. plastics and constructionprod;2014;10039.0;97.7;10066.0;44.0;619.0;690.0;0.0;0.0;10039.0
262;Total capital stock;22-23 Man. plastics and constructionprod;2015;9906.0;97.4;10039.0;-104.0;660.0;689.0;0.0;0.0;9906.0
263;Total capital stock;22-23 Man. plastics and constructionprod;2016;9939.0;97.2;9906.0;;;;;;9939.0
264;Total capital stock;24-25 Man. of basic metals and -products;1995;10261.0;111.2;10283.0;83.0;636.0;750.0;0.0;9.0;10261.0
265;Total capital stock;24-25 Man. of basic metals and -products;1996;10316.0;109.2;10261.0;54.0;733.0;742.0;0.0;10.0;10316.0
266;Total capital stock;24-25 Man. of basic metals and -products;1997;10472.0;109.0;10316.0;57.0;831.0;745.0;0.0;14.0;10472.0
267;Total capital stock;24-25 Man. of basic metals and -products;1998;10797.0;110.0;10472.0;64.0;1005.0;763.0;0.0;19.0;10797.0
268;Total capital stock;24-25 Man. of basic metals and -products;1999;11117.0;110.1;10797.0;86.0;1010.0;795.0;0.0;19.0;11117.0
269;Total capital stock;24-25 Man. of basic metals and -products;2000;11851.0;112.3;11117.0;273.0;1292.0;850.0;0.0;20.0;11851.0
270;Total capital stock;24-25 Man. of basic metals and -products;2001;12114.0;102.2;11851.0;238.0;915.0;894.0;0.0;4.0;12114.0
271;Total capital stock;24-25 Man. of basic metals and -products;2002;12359.0;101.3;12114.0;348.0;819.0;928.0;0.0;6.0;12359.0
272;Total capital stock;24-25 Man. of basic metals and -products;2003;12333.0;100.4;12359.0;86.0;814.0;935.0;0.0;9.0;12333.0
273;Total capital stock;24-25 Man. of basic metals and -products;2004;12276.0;98.7;12333.0;160.0;716.0;940.0;0.0;7.0;12276.0
274;Total capital stock;24-25 Man. of basic metals and -products;2005;12293.0;97.3;12276.0;186.0;770.0;945.0;0.0;5.0;12293.0
275;Total capital stock;24-25 Man. of basic metals and -products;2006;12544.0;97.4;12293.0;242.0;963.0;959.0;0.0;5.0;12544.0
276;Total capital stock;24-25 Man. of basic metals and -products;2007;13086.0;99.6;12544.0;254.0;1269.0;991.0;0.0;10.0;13086.0
277;Total capital stock;24-25 Man. of basic metals and -products;2008;13612.0;100.8;13086.0;368.0;1171.0;1030.0;0.0;17.0;13612.0
278;Total capital stock;24-25 Man. of basic metals and -products;2009;14048.0;101.9;13612.0;285.0;1171.0;1053.0;0.0;34.0;14048.0
279;Total capital stock;24-25 Man. of basic metals and -products;2010;14035.0;100.0;14048.0;247.0;799.0;1060.0;0.0;0.0;14035.0
280;Total capital stock;24-25 Man. of basic metals and -products;2011;13844.0;98.4;14035.0;31.0;827.0;1048.0;0.0;0.0;13844.0
281;Total capital stock;24-25 Man. of basic metals and -products;2012;13788.0;97.2;13844.0;119.0;873.0;1049.0;0.0;0.0;13788.0
282;Total capital stock;24-25 Man. of basic metals and -products;2013;13707.0;96.0;13788.0;90.0;879.0;1050.0;0.0;0.0;13707.0
283;Total capital stock;24-25 Man. of basic metals and -products;2014;13671.0;95.4;13707.0;52.0;967.0;1054.0;0.0;0.0;13671.0
284;Total capital stock;24-25 Man. of basic metals and -products;2015;13779.0;95.4;13671.0;110.0;1073.0;1075.0;0.0;0.0;13779.0
285;Total capital stock;24-25 Man. of basic metals and -products;2016;13836.0;95.3;13779.0;;;;;;13836.0
286;Total capital stock;26 Manufacture of electronic products;1995;4794.0;107.1;4684.0;69.0;711.0;672.0;0.0;2.0;4794.0
287;Total capital stock;26 Manufacture of electronic products;1996;5135.0;112.0;4794.0;59.0;970.0;701.0;0.0;13.0;5135.0
288;Total capital stock;26 Manufacture of electronic products;1997;5331.0;114.3;5135.0;49.0;879.0;736.0;0.0;4.0;5331.0
289;Total capital stock;26 Manufacture of electronic products;1998;5626.0;118.0;5331.0;84.0;987.0;780.0;0.0;3.0;5626.0
290;Total capital stock;26 Manufacture of electronic products;1999;5934.0;121.1;5626.0;101.0;1040.0;832.0;0.0;-1.0;5934.0
291;Total capital stock;26 Manufacture of electronic products;2000;6484.0;126.5;5934.0;221.0;1245.0;911.0;0.0;-6.0;6484.0
292;Total capital stock;26 Manufacture of electronic products;2001;7037.0;126.4;6484.0;241.0;1318.0;1001.0;0.0;-4.0;7037.0
293;Total capital stock;26 Manufacture of electronic products;2002;7307.0;126.6;7037.0;258.0;1084.0;1075.0;0.0;3.0;7307.0
294;Total capital stock;26 Manufacture of electronic products;2003;7355.0;125.1;7307.0;137.0;1026.0;1110.0;0.0;-4.0;7355.0
295;Total capital stock;26 Manufacture of electronic products;2004;7306.0;122.5;7355.0;104.0;978.0;1127.0;0.0;-5.0;7306.0
296;Total capital stock;26 Manufacture of electronic products;2005;7308.0;120.3;7306.0;140.0;1008.0;1141.0;0.0;-5.0;7308.0
297;Total capital stock;26 Manufacture of electronic products;2006;7378.0;118.4;7308.0;187.0;1009.0;1164.0;0.0;37.0;7378.0
298;Total capital stock;26 Manufacture of electronic products;2007;7354.0;115.5;7378.0;157.0;938.0;1180.0;0.0;61.0;7354.0
299;Total capital stock;26 Manufacture of electronic products;2008;7382.0;112.6;7354.0;221.0;917.0;1203.0;0.0;94.0;7382.0
300;Total capital stock;26 Manufacture of electronic products;2009;7166.0;106.6;7382.0;185.0;798.0;1201.0;0.0;3.0;7166.0
301;Total capital stock;26 Manufacture of electronic products;2010;6813.0;100.0;7166.0;98.0;713.0;1164.0;0.0;0.0;6813.0
302;Total capital stock;26 Manufacture of electronic products;2011;6504.0;94.7;6813.0;56.0;755.0;1121.0;0.0;0.0;6504.0
303;Total capital stock;26 Manufacture of electronic products;2012;6287.0;90.7;6504.0;63.0;807.0;1086.0;0.0;0.0;6287.0
304;Total capital stock;26 Manufacture of electronic products;2013;6115.0;87.6;6287.0;43.0;843.0;1058.0;0.0;0.0;6115.0
305;Total capital stock;26 Manufacture of electronic products;2014;6116.0;87.2;6115.0;31.0;1022.0;1052.0;0.0;0.0;6116.0
306;Total capital stock;26 Manufacture of electronic products;2015;5990.0;84.4;6116.0;67.0;870.0;1063.0;0.0;0.0;5990.0
307;Total capital stock;26 Manufacture of electronic products;2016;5878.0;82.2;5990.0;;;;;;5878.0
308;Total capital stock;27 Manufacture of electric equipment;1995;4311.0;117.5;4205.0;75.0;595.0;571.0;0.0;8.0;4311.0
309;Total capital stock;27 Manufacture of electric equipment;1996;4502.0;119.8;4311.0;68.0;702.0;590.0;0.0;11.0;4502.0
310;Total capital stock;27 Manufacture of electric equipment;1997;4677.0;122.4;4502.0;60.0;715.0;615.0;0.0;15.0;4677.0
311;Total capital stock;27 Manufacture of electric equipment;1998;4840.0;124.0;4677.0;75.0;726.0;644.0;0.0;6.0;4840.0
312;Total capital stock;27 Manufacture of electric equipment;1999;4994.0;124.4;4840.0;93.0;726.0;666.0;0.0;2.0;4994.0
313;Total capital stock;27 Manufacture of electric equipment;2000;5163.0;123.0;4994.0;172.0;743.0;697.0;0.0;-49.0;5163.0
314;Total capital stock;27 Manufacture of electric equipment;2001;5380.0;117.4;5163.0;180.0;758.0;724.0;0.0;3.0;5380.0
315;Total capital stock;27 Manufacture of electric equipment;2002;5469.0;115.3;5380.0;186.0;646.0;744.0;0.0;1.0;5469.0
316;Total capital stock;27 Manufacture of electric equipment;2003;5461.0;113.4;5469.0;86.0;638.0;744.0;0.0;12.0;5461.0
317;Total capital stock;27 Manufacture of electric equipment;2004;5410.0;110.8;5461.0;77.0;614.0;741.0;0.0;-1.0;5410.0
318;Total capital stock;27 Manufacture of electric equipment;2005;5387.0;108.2;5410.0;102.0;619.0;743.0;0.0;-1.0;5387.0
319;Total capital stock;27 Manufacture of electric equipment;2006;5467.0;107.2;5387.0;135.0;722.0;759.0;0.0;-18.0;5467.0
320;Total capital stock;27 Manufacture of electric equipment;2007;5503.0;105.6;5467.0;116.0;703.0;777.0;0.0;-6.0;5503.0
321;Total capital stock;27 Manufacture of electric equipment;2008;5621.0;104.8;5503.0;163.0;768.0;799.0;0.0;-14.0;5621.0
322;Total capital stock;27 Manufacture of electric equipment;2009;5652.0;102.9;5621.0;135.0;728.0;818.0;0.0;-14.0;5652.0
323;Total capital stock;27 Manufacture of electric equipment;2010;5581.0;100.0;5652.0;91.0;660.0;822.0;0.0;0.0;5581.0
324;Total capital stock;27 Manufacture of electric equipment;2011;5497.0;98.0;5581.0;30.0;699.0;813.0;0.0;0.0;5497.0
325;Total capital stock;27 Manufacture of electric equipment;2012;5499.0;97.1;5497.0;53.0;750.0;801.0;0.0;0.0;5499.0
326;Total capital stock;27 Manufacture of electric equipment;2013;5439.0;95.4;5499.0;35.0;697.0;793.0;0.0;0.0;5439.0
327;Total capital stock;27 Manufacture of electric equipment;2014;5417.0;94.5;5439.0;28.0;739.0;789.0;0.0;0.0;5417.0
328;Total capital stock;27 Manufacture of electric equipment;2015;5308.0;91.9;5417.0;45.0;633.0;787.0;0.0;0.0;5308.0
329;Total capital stock;27 Manufacture of electric equipment;2016;5223.0;89.7;5308.0;;;;;;5223.0
330;Total capital stock;28 Manufacture of machinery n.e.c.;1995;5351.0;76.5;5236.0;68.0;617.0;581.0;0.0;11.0;5351.0
331;Total capital stock;28 Manufacture of machinery n.e.c.;1996;5598.0;78.1;5351.0;74.0;769.0;601.0;0.0;5.0;5598.0
332;Total capital stock;28 Manufacture of machinery n.e.c.;1997;5845.0;80.2;5598.0;52.0;807.0;626.0;0.0;15.0;5845.0
333;Total capital stock;28 Manufacture of machinery n.e.c.;1998;6227.0;83.6;5845.0;65.0;967.0;668.0;0.0;18.0;6227.0
334;Total capital stock;28 Manufacture of machinery n.e.c.;1999;6609.0;86.3;6227.0;94.0;996.0;718.0;0.0;11.0;6609.0
335;Total capital stock;28 Manufacture of machinery n.e.c.;2000;7108.0;88.8;6609.0;223.0;1071.0;783.0;0.0;-12.0;7108.0
336;Total capital stock;28 Manufacture of machinery n.e.c.;2001;7736.0;86.5;7108.0;251.0;1222.0;855.0;0.0;10.0;7736.0
337;Total capital stock;28 Manufacture of machinery n.e.c.;2002;8134.0;88.2;7736.0;233.0;1066.0;914.0;0.0;13.0;8134.0
338;Total capital stock;28 Manufacture of machinery n.e.c.;2003;8281.0;88.8;8134.0;95.0;984.0;945.0;0.0;13.0;8281.0
339;Total capital stock;28 Manufacture of machinery n.e.c.;2004;8433.0;89.3;8281.0;109.0;995.0;970.0;0.0;19.0;8433.0
340;Total capital stock;28 Manufacture of machinery n.e.c.;2005;8574.0;89.3;8433.0;134.0;1016.0;996.0;0.0;-14.0;8574.0
341;Total capital stock;28 Manufacture of machinery n.e.c.;2006;8898.0;90.7;8574.0;189.0;1163.0;1032.0;0.0;5.0;8898.0
342;Total capital stock;28 Manufacture of machinery n.e.c.;2007;9426.0;94.2;8898.0;174.0;1408.0;1078.0;0.0;23.0;9426.0
343;Total capital stock;28 Manufacture of machinery n.e.c.;2008;9853.0;95.9;9426.0;255.0;1316.0;1128.0;0.0;-16.0;9853.0
344;Total capital stock;28 Manufacture of machinery n.e.c.;2009;10268.0;97.8;9853.0;220.0;1364.0;1162.0;0.0;-7.0;10268.0
345;Total capital stock;28 Manufacture of machinery n.e.c.;2010;10644.0;100.0;10268.0;139.0;1426.0;1188.0;0.0;0.0;10644.0
346;Total capital stock;28 Manufacture of machinery n.e.c.;2011;11200.0;104.7;10644.0;51.0;1729.0;1225.0;0.0;0.0;11200.0
347;Total capital stock;28 Manufacture of machinery n.e.c.;2012;11690.0;108.4;11200.0;96.0;1654.0;1259.0;0.0;0.0;11690.0
348;Total capital stock;28 Manufacture of machinery n.e.c.;2013;12067.0;111.1;11690.0;76.0;1610.0;1310.0;0.0;0.0;12067.0
349;Total capital stock;28 Manufacture of machinery n.e.c.;2014;12384.0;113.6;12067.0;49.0;1628.0;1360.0;0.0;0.0;12384.0
350;Total capital stock;28 Manufacture of machinery n.e.c.;2015;12894.0;117.4;12384.0;93.0;1837.0;1420.0;0.0;0.0;12894.0
351;Total capital stock;28 Manufacture of machinery n.e.c.;2016;13377.0;121.1;12894.0;;;;;;13377.0
352;Total capital stock;29-30 Transport equipment;1995;5282.0;133.8;4550.0;61.0;1093.0;471.0;0.0;48.0;5282.0
353;Total capital stock;29-30 Transport equipment;1996;5129.0;126.9;5282.0;51.0;503.0;468.0;0.0;-239.0;5129.0
354;Total capital stock;29-30 Transport equipment;1997;5165.0;125.6;5129.0;49.0;450.0;471.0;0.0;9.0;5165.0
355;Total capital stock;29-30 Transport equipment;1998;5423.0;129.1;5165.0;72.0;639.0;492.0;0.0;39.0;5423.0
356;Total capital stock;29-30 Transport equipment;1999;5667.0;131.2;5423.0;81.0;641.0;533.0;0.0;55.0;5667.0
357;Total capital stock;29-30 Transport equipment;2000;5800.0;128.4;5667.0;172.0;478.0;581.0;0.0;64.0;5800.0
358;Total capital stock;29-30 Transport equipment;2001;6009.0;120.2;5800.0;172.0;663.0;628.0;0.0;1.0;6009.0
359;Total capital stock;29-30 Transport equipment;2002;6023.0;116.7;6009.0;198.0;443.0;664.0;0.0;38.0;6023.0
360;Total capital stock;29-30 Transport equipment;2003;5992.0;114.4;6023.0;86.0;518.0;666.0;0.0;30.0;5992.0
361;Total capital stock;29-30 Transport equipment;2004;6000.0;113.0;5992.0;87.0;566.0;669.0;0.0;24.0;6000.0
362;Total capital stock;29-30 Transport equipment;2005;6039.0;111.8;6000.0;101.0;589.0;670.0;0.0;19.0;6039.0
363;Total capital stock;29-30 Transport equipment;2006;6081.0;110.1;6039.0;136.0;558.0;672.0;0.0;19.0;6081.0
364;Total capital stock;29-30 Transport equipment;2007;6210.0;110.1;6081.0;131.0;658.0;675.0;0.0;16.0;6210.0
365;Total capital stock;29-30 Transport equipment;2008;6283.0;108.2;6210.0;181.0;556.0;677.0;0.0;12.0;6283.0
366;Total capital stock;29-30 Transport equipment;2009;6136.0;103.6;6283.0;123.0;393.0;665.0;0.0;2.0;6136.0
367;Total capital stock;29-30 Transport equipment;2010;6005.0;100.0;6136.0;89.0;428.0;648.0;0.0;0.0;6005.0
368;Total capital stock;29-30 Transport equipment;2011;5921.0;97.8;6005.0;52.0;499.0;635.0;0.0;0.0;5921.0
369;Total capital stock;29-30 Transport equipment;2012;5915.0;96.3;5921.0;84.0;542.0;632.0;0.0;0.0;5915.0
370;Total capital stock;29-30 Transport equipment;2013;5994.0;96.9;5915.0;39.0;673.0;633.0;0.0;0.0;5994.0
371;Total capital stock;29-30 Transport equipment;2014;5996.0;96.6;5994.0;23.0;615.0;636.0;0.0;0.0;5996.0
