ID;PersonalCharacteristics;Periods;OnceAWeekOrMore_1;TwiceAMonth_2;OnceAMonth_3;LessThanOnceAMonth_4;HardlyEver_5;EveningsAtHomePerWeek1529Yrs_6;OnceAWeekOrMore_7;OnceInAFortnight_8;LessThanOnceInAFortnight_9;Never_10;OnceAWeekOrMore_11;TwiceAMonth_12;OnceAMonth_13;LessThanOnceAMonth_14;HardlyEver_15;Yes_16;Sometimes_17;No_18;Yes_19;Sometimes_20;No_21;Yes_22;Sometimes_23;No_24;Yes_25;Sometimes_26;No_27;Yes_28;Sometimes_29;No_30;Yes_31;Sometimes_32;No_33;HaveEnoughGirlFriends1217Yrs_34;SometimesBulliedAtSchoolTheStreet_35;OftenBullied_36;NotOften_37;OftenFeelsLonely1217Yrs_38;ExtremelyPleased_39;VeryPleased_40;Pleased_41;RatherPleased_42;NotSoPleased_43;VeryHappy_44;Happy_45;NotHappyNotUnhappy_46;NotVeryHappy_47;Unhappy_48;ExtremelyPleased_49;VeryPleased_50;Pleased_51;RatherPleased_52;NotSoPleased_53;PleasedWithPartner_54;PleasedWithFamily_55;PleasedWithFinancialSituation_56;PleasedWithEducation_57;PleasedWithSociety_58;TotalParticipantsVolunteerWork_59;OrganisedVolunteerWork_60;YouthWork_61;School_62;CareNursing_63;SportsClub_64;HobbyClub_65;CulturalSociety_66;ReligiousPhilosophicalOrganisation_67;LabourOrganisation_68;PoliticalOrganisation_69;OtherOrganisations_70;VolunteerAid_71;Always_72;Usually_73;Sometimes_74;HardlyEver_75;Never_76;More_77;AlrightAsItIs_78;Less_79;Not_80;NotApplicable_81;More_82;AlrightAsItIs_83;Less_84;Not_85;NotApplicable_86;More_87;AlrightAsItIs_88;Less_89;Not_90;NotApplicable_91;NoDenomination_92;RomanCatholic_93;ProtestantChurchOfTheNetherlands_94;DutchReformed_95;Calvinist_96;OtherDenominations_97;OnceAWeekOrMore_98;TwiceOrThreeTimesAMonth_99;OnceAMonth_100;LessThanOnceAMonth_101;HardlyEver_102
634;Other socio-economic group;2001;89.0;5.0;3.0;2.0;2.0;;75.0;8.0;10.0;7.0;73.0;12.0;8.0;4.0;3.0;90.0;6.0;3.0;2.0;13.0;85.0;93.0;4.0;3.0;89.0;8.0;3.0;61.0;7.0;32.0;18.0;24.0;59.0;;;;;;8.0;34.0;48.0;7.0;3.0;15.0;70.0;10.0;5.0;1.0;9.0;28.0;48.0;10.0;6.0;9.0;8.0;8.0;7.0;6.0;63.0;41.0;3.0;2.0;16.0;9.0;5.0;5.0;10.0;1.0;1.0;9.0;44.0;61.0;31.0;7.0;1.0;0.0;15.0;50.0;3.0;32.0;;16.0;32.0;3.0;49.0;;4.0;70.0;20.0;6.0;;32.0;35.0;;16.0;7.0;9.0;15.0;7.0;7.0;11.0;60.0
635;Other socio-economic group;2002;90.0;4.0;3.0;1.0;2.0;;72.0;8.0;14.0;6.0;73.0;12.0;8.0;4.0;4.0;88.0;9.0;3.0;4.0;10.0;87.0;94.0;3.0;3.0;84.0;9.0;6.0;60.0;6.0;34.0;22.0;13.0;65.0;;;;;;10.0;29.0;49.0;8.0;4.0;16.0;68.0;10.0;4.0;1.0;7.0;30.0;47.0;9.0;7.0;9.0;8.0;8.0;7.0;6.0;62.0;39.0;5.0;4.0;12.0;8.0;4.0;5.0;12.0;1.0;1.0;9.0;44.0;67.0;27.0;2.0;1.0;2.0;12.0;48.0;2.0;13.0;25.0;14.0;25.0;1.0;13.0;47.0;5.0;72.0;15.0;6.0;3.0;30.0;36.0;;19.0;7.0;8.0;15.0;6.0;6.0;13.0;60.0
636;Other socio-economic group;2003;88.0;5.0;3.0;3.0;2.0;;73.0;7.0;12.0;7.0;70.0;14.0;9.0;5.0;3.0;88.0;10.0;2.0;4.0;10.0;87.0;93.0;6.0;1.0;87.0;10.0;3.0;62.0;6.0;32.0;22.0;18.0;60.0;;;;;;6.0;34.0;48.0;8.0;4.0;15.0;67.0;11.0;5.0;2.0;7.0;27.0;48.0;10.0;8.0;9.0;9.0;7.0;7.0;6.0;66.0;38.0;3.0;2.0;16.0;8.0;5.0;5.0;11.0;0.0;0.0;7.0;46.0;64.0;27.0;4.0;4.0;1.0;11.0;44.0;3.0;13.0;29.0;16.0;20.0;1.0;12.0;51.0;5.0;70.0;19.0;5.0;1.0;35.0;34.0;;16.0;6.0;9.0;14.0;6.0;5.0;10.0;66.0
637;Other socio-economic group;2004;89.0;4.0;3.0;1.0;2.0;;73.0;11.0;11.0;5.0;75.0;12.0;7.0;3.0;4.0;90.0;6.0;4.0;3.0;9.0;88.0;93.0;5.0;2.0;87.0;9.0;4.0;70.0;4.0;26.0;22.0;17.0;62.0;;;;;;8.0;34.0;49.0;8.0;2.0;16.0;66.0;11.0;4.0;2.0;8.0;25.0;50.0;9.0;8.0;9.0;8.0;7.0;7.0;6.0;63.0;41.0;3.0;3.0;14.0;11.0;4.0;7.0;11.0;0.0;1.0;8.0;45.0;63.0;29.0;7.0;0.0;2.0;10.0;47.0;2.0;10.0;31.0;16.0;21.0;1.0;9.0;53.0;5.0;75.0;16.0;2.0;4.0;33.0;33.0;3.0;15.0;6.0;9.0;13.0;6.0;5.0;9.0;67.0
638;Other socio-economic group;2005;88.0;4.0;4.0;1.0;2.0;;;;;;73.0;11.0;6.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.0;63.0;14.0;5.0;3.0;7.0;25.0;48.0;12.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.0;33.0;5.0;14.0;5.0;11.0;14.0;5.0;6.0;13.0;62.0
639;Other socio-economic group;2006;92.0;3.0;3.0;1.0;1.0;;;;;;77.0;10.0;6.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;64.0;12.0;6.0;2.0;8.0;27.0;45.0;11.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.0;37.0;5.0;12.0;5.0;9.0;12.0;5.0;4.0;13.0;67.0
640;Other socio-economic group;2007;87.0;4.0;4.0;2.0;4.0;;;;;;74.0;11.0;5.0;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;64.0;11.0;7.0;3.0;8.0;25.0;48.0;10.0;9.0;;;;;;52.0;37.0;2.0;2.0;11.0;7.0;6.0;4.0;12.0;1.0;1.0;12.0;30.0;70.0;24.0;4.0;1.0;0.0;;;;;;;;;;;;;;;;32.0;35.0;7.0;8.0;4.0;15.0;15.0;6.0;4.0;11.0;65.0
641;Other socio-economic group;2008;88.0;3.0;4.0;1.0;4.0;;;;;;70.0;13.0;9.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.0;59.0;14.0;5.0;1.0;9.0;27.0;46.0;12.0;6.0;;;;;;52.0;35.0;2.0;2.0;10.0;6.0;5.0;4.0;10.0;1.0;0.0;11.0;31.0;79.0;19.0;1.0;0.0;0.0;;;;;;;;;;;;;;;;34.0;34.0;7.0;13.0;4.0;8.0;16.0;6.0;5.0;9.0;64.0
642;Other socio-economic group;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
643;Other socio-economic group;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
644;Other socio-economic group;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;One-person household;1997;82.0;8.0;4.0;3.0;3.0;4.0;62.0;11.0;14.0;12.0;81.0;8.0;4.0;3.0;4.0;88.0;9.0;3.0;6.0;13.0;81.0;93.0;4.0;3.0;83.0;12.0;5.0;65.0;6.0;29.0;23.0;18.0;59.0;;;;;;14.0;33.0;40.0;8.0;5.0;12.0;61.0;19.0;7.0;1.0;5.0;22.0;49.0;16.0;8.0;;;;;;53.0;37.0;4.0;2.0;7.0;8.0;4.0;4.0;9.0;1.0;2.0;8.0;29.0;;;;;;;;;;;;;;;;;;;;;42.0;29.0;;15.0;6.0;8.0;15.0;4.0;4.0;8.0;69.0
646;One-person household;1998;81.0;9.0;5.0;2.0;3.0;;60.0;8.0;19.0;13.0;81.0;8.0;5.0;2.0;5.0;90.0;8.0;3.0;5.0;13.0;82.0;91.0;6.0;3.0;83.0;13.0;5.0;58.0;7.0;35.0;23.0;20.0;56.0;;;;;;10.0;33.0;43.0;10.0;4.0;13.0;62.0;18.0;6.0;2.0;7.0;23.0;48.0;15.0;7.0;;;7.0;7.0;6.0;51.0;34.0;3.0;1.0;6.0;9.0;5.0;4.0;5.0;2.0;1.0;8.0;31.0;;;;;;;;;;;;;;;;;;;;;44.0;27.0;;15.0;6.0;8.0;14.0;5.0;4.0;7.0;70.0
647;One-person household;1999;84.0;8.0;4.0;2.0;3.0;;60.0;12.0;19.0;10.0;82.0;7.0;4.0;2.0;4.0;89.0;8.0;3.0;5.0;13.0;82.0;92.0;6.0;3.0;84.0;11.0;5.0;66.0;5.0;29.0;20.0;17.0;63.0;;;;;;11.0;34.0;42.0;9.0;3.0;12.0;63.0;18.0;7.0;1.0;6.0;21.0;50.0;16.0;7.0;;;7.0;7.0;6.0;55.0;40.0;4.0;2.0;9.0;9.0;5.0;5.0;7.0;4.0;2.0;10.0;30.0;61.0;32.0;5.0;0.0;2.0;14.0;42.0;3.0;42.0;;16.0;41.0;12.0;30.0;;9.0;58.0;24.0;10.0;;44.0;28.0;;14.0;6.0;7.0;13.0;5.0;4.0;7.0;71.0
648;One-person household;2000;84.0;7.0;3.0;2.0;3.0;;64.0;11.0;14.0;11.0;83.0;7.0;4.0;2.0;4.0;91.0;7.0;2.0;3.0;14.0;83.0;93.0;5.0;2.0;84.0;12.0;3.0;63.0;8.0;29.0;20.0;21.0;59.0;;;;;;15.0;32.0;42.0;9.0;3.0;12.0;63.0;17.0;6.0;1.0;6.0;22.0;50.0;15.0;7.0;;;7.0;7.0;7.0;53.0;34.0;2.0;2.0;7.0;9.0;5.0;6.0;8.0;1.0;2.0;6.0;34.0;58.0;35.0;6.0;1.0;0.0;13.0;45.0;3.0;39.0;;27.0;47.0;6.0;20.0;;8.0;62.0;20.0;9.0;;43.0;28.0;;14.0;6.0;9.0;13.0;4.0;4.0;8.0;71.0
649;One-person household;2001;85.0;7.0;4.0;2.0;3.0;3.0;66.0;9.0;16.0;10.0;84.0;8.0;4.0;2.0;3.0;90.0;9.0;1.0;3.0;11.0;86.0;93.0;5.0;2.0;84.0;12.0;4.0;64.0;6.0;30.0;18.0;19.0;63.0;;;;;;13.0;36.0;39.0;9.0;2.0;12.0;65.0;16.0;6.0;1.0;5.0;23.0;52.0;13.0;6.0;;;7.0;7.0;6.0;53.0;36.0;4.0;2.0;11.0;9.0;5.0;5.0;9.0;3.0;0.0;6.0;33.0;60.0;30.0;9.0;1.0;0.0;15.0;44.0;3.0;39.0;;13.0;42.0;12.0;33.0;;6.0;66.0;20.0;8.0;;44.0;28.0;;15.0;5.0;8.0;13.0;5.0;4.0;8.0;70.0
650;One-person household;2002;85.0;6.0;3.0;2.0;3.0;;66.0;9.0;14.0;11.0;83.0;8.0;4.0;2.0;4.0;92.0;6.0;2.0;5.0;10.0;85.0;92.0;4.0;4.0;83.0;12.0;5.0;62.0;5.0;33.0;21.0;18.0;61.0;;;;;;14.0;34.0;41.0;8.0;4.0;12.0;62.0;18.0;6.0;1.0;5.0;24.0;50.0;14.0;8.0;;;7.0;7.0;6.0;52.0;36.0;4.0;1.0;10.0;8.0;4.0;6.0;7.0;2.0;2.0;7.0;33.0;65.0;31.0;2.0;1.0;2.0;14.0;39.0;2.0;10.0;35.0;13.0;36.0;10.0;4.0;37.0;5.0;66.0;19.0;5.0;5.0;44.0;28.0;;15.0;5.0;8.0;12.0;4.0;4.0;7.0;72.0
651;One-person household;2003;84.0;8.0;4.0;2.0;2.0;4.0;65.0;11.0;14.0;10.0;83.0;9.0;3.0;2.0;3.0;91.0;7.0;2.0;5.0;13.0;82.0;92.0;6.0;2.0;82.0;14.0;4.0;65.0;6.0;29.0;18.0;24.0;58.0;;;;;;13.0;33.0;40.0;10.0;4.0;10.0;62.0;19.0;7.0;2.0;4.0;21.0;51.0;16.0;8.0;;;7.0;7.0;6.0;52.0;35.0;2.0;2.0;6.0;10.0;4.0;5.0;5.0;3.0;1.0;9.0;31.0;66.0;26.0;8.0;0.0;0.0;14.0;39.0;3.0;10.0;34.0;11.0;39.0;8.0;6.0;35.0;8.0;62.0;19.0;5.0;5.0;44.0;28.0;;15.0;5.0;8.0;13.0;5.0;3.0;7.0;73.0
652;One-person household;2004;85.0;6.0;4.0;2.0;3.0;;66.0;11.0;13.0;11.0;84.0;7.0;3.0;2.0;4.0;91.0;6.0;3.0;6.0;11.0;83.0;92.0;5.0;3.0;84.0;12.0;5.0;64.0;6.0;29.0;21.0;20.0;59.0;;;;;;13.0;34.0;41.0;7.0;4.0;11.0;62.0;19.0;6.0;2.0;5.0;22.0;52.0;14.0;7.0;;;7.0;7.0;6.0;56.0;35.0;2.0;1.0;9.0;10.0;5.0;5.0;6.0;2.0;1.0;6.0;35.0;66.0;29.0;4.0;2.0;0.0;13.0;34.0;4.0;9.0;39.0;13.0;32.0;11.0;6.0;38.0;8.0;66.0;16.0;6.0;4.0;43.0;27.0;3.0;13.0;5.0;9.0;12.0;4.0;4.0;7.0;73.0
653;One-person household;2005;87.0;5.0;3.0;2.0;3.0;;;;;;83.0;6.0;4.0;2.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;62.0;17.0;7.0;3.0;5.0;21.0;51.0;14.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0;28.0;5.0;12.0;4.0;9.0;13.0;4.0;4.0;7.0;73.0
654;One-person household;2006;88.0;5.0;2.0;2.0;2.0;;;;;;86.0;5.0;3.0;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;67.0;16.0;5.0;1.0;4.0;24.0;52.0;15.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.0;31.0;6.0;10.0;4.0;6.0;12.0;3.0;3.0;7.0;75.0
655;One-person household;2007;85.0;6.0;4.0;3.0;3.0;;;;;;85.0;6.0;4.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;63.0;17.0;6.0;2.0;5.0;23.0;50.0;16.0;6.0;;;;;;50.0;37.0;4.0;2.0;7.0;8.0;5.0;4.0;7.0;2.0;0.0;12.0;26.0;68.0;24.0;6.0;0.0;1.0;;;;;;;;;;;;;;;;45.0;27.0;6.0;10.0;4.0;9.0;13.0;3.0;3.0;6.0;74.0
656;One-person household;2008;85.0;7.0;3.0;2.0;3.0;;;;;;82.0;7.0;5.0;2.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;63.0;17.0;5.0;2.0;6.0;25.0;49.0;13.0;7.0;;;;;;52.0;36.0;3.0;2.0;6.0;9.0;5.0;4.0;6.0;1.0;2.0;13.0;29.0;68.0;29.0;3.0;0.0;0.0;;;;;;;;;;;;;;;;45.0;28.0;6.0;10.0;4.0;8.0;10.0;5.0;3.0;7.0;74.0
657;One-person household;2009;85.0;7.0;3.0;2.0;4.0;;;;;;82.0;7.0;4.0;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;60.0;15.0;6.0;2.0;7.0;25.0;47.0;14.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0;28.0;7.0;10.0;2.0;10.0;10.0;6.0;3.0;8.0;73.0
658;One-person household;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;One-person household;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;Member of a single-parent family;1997;76.0;10.0;6.0;4.0;4.0;5.0;64.0;7.0;17.0;11.0;84.0;6.0;3.0;2.0;4.0;87.0;8.0;4.0;6.0;17.0;77.0;89.0;4.0;7.0;85.0;7.0;8.0;68.0;6.0;26.0;20.0;12.0;68.0;;;;;;18.0;32.0;35.0;9.0;7.0;11.0;65.0;16.0;7.0;1.0;5.0;20.0;49.0;16.0;9.0;;;;;;55.0;37.0;5.0;11.0;8.0;6.0;2.0;5.0;3.0;3.0;1.0;8.0;32.0;;;;;;;;;;;;;;;;;;;;;44.0;29.0;;11.0;4.0;12.0;11.0;5.0;4.0;9.0;72.0
661;Member of a single-parent family;1998;75.0;10.0;6.0;4.0;4.0;;64.0;11.0;15.0;11.0;85.0;6.0;4.0;1.0;3.0;90.0;8.0;2.0;6.0;12.0;83.0;91.0;6.0;3.0;88.0;9.0;2.0;69.0;5.0;26.0;26.0;13.0;62.0;;;;;;13.0;41.0;30.0;11.0;5.0;12.0;64.0;16.0;6.0;1.0;5.0;22.0;49.0;16.0;8.0;;;6.0;7.0;6.0;48.0;36.0;3.0;14.0;4.0;10.0;3.0;4.0;6.0;1.0;1.0;5.0;24.0;;;;;;;;;;;;;;;;;;;;;48.0;28.0;;9.0;3.0;12.0;9.0;4.0;4.0;8.0;75.0
662;Member of a single-parent family;1999;78.0;10.0;6.0;4.0;3.0;;56.0;12.0;22.0;10.0;85.0;7.0;3.0;2.0;4.0;89.0;9.0;1.0;8.0;11.0;81.0;94.0;5.0;2.0;80.0;16.0;4.0;73.0;4.0;24.0;25.0;15.0;60.0;;;;;;15.0;39.0;32.0;10.0;4.0;12.0;64.0;16.0;6.0;1.0;4.0;20.0;54.0;15.0;8.0;;;7.0;7.0;6.0;51.0;33.0;4.0;18.0;3.0;8.0;3.0;6.0;2.0;2.0;4.0;1.0;32.0;;;;;;16.0;32.0;3.0;49.0;;32.0;42.0;11.0;15.0;;19.0;44.0;29.0;8.0;;49.0;25.0;;10.0;4.0;12.0;8.0;3.0;3.0;8.0;77.0
663;Member of a single-parent family;2000;76.0;11.0;5.0;4.0;4.0;;60.0;10.0;19.0;11.0;84.0;6.0;4.0;3.0;3.0;93.0;5.0;2.0;7.0;16.0;76.0;96.0;3.0;1.0;88.0;8.0;3.0;67.0;8.0;25.0;18.0;21.0;61.0;;;;;;12.0;35.0;40.0;8.0;5.0;12.0;64.0;18.0;5.0;1.0;4.0;24.0;50.0;15.0;7.0;;;7.0;7.0;7.0;53.0;38.0;2.0;10.0;9.0;9.0;5.0;7.0;5.0;3.0;1.0;6.0;33.0;64.0;30.0;5.0;0.0;1.0;17.0;41.0;5.0;37.0;;30.0;45.0;8.0;16.0;;12.0;56.0;25.0;7.0;;47.0;28.0;;7.0;3.0;14.0;8.0;4.0;4.0;7.0;77.0
664;Member of a single-parent family;2001;79.0;8.0;5.0;4.0;4.0;4.0;58.0;9.0;20.0;12.0;85.0;5.0;3.0;2.0;5.0;88.0;9.0;3.0;6.0;13.0;81.0;92.0;6.0;2.0;85.0;12.0;4.0;69.0;6.0;24.0;21.0;20.0;59.0;94.0;27.0;1.0;25.0;6.0;14.0;33.0;43.0;6.0;4.0;14.0;61.0;17.0;6.0;2.0;6.0;22.0;50.0;14.0;8.0;;;7.0;7.0;6.0;52.0;36.0;4.0;8.0;9.0;11.0;0.0;2.0;7.0;1.0;1.0;5.0;31.0;71.0;26.0;1.0;0.0;2.0;18.0;36.0;4.0;43.0;;28.0;46.0;10.0;16.0;;10.0;54.0;24.0;11.0;;47.0;27.0;;8.0;4.0;14.0;9.0;3.0;3.0;9.0;75.0
665;Member of a single-parent family;2002;80.0;8.0;5.0;3.0;4.0;;61.0;8.0;19.0;12.0;85.0;6.0;4.0;2.0;3.0;89.0;10.0;1.0;4.0;13.0;83.0;92.0;6.0;2.0;84.0;11.0;5.0;67.0;6.0;27.0;17.0;25.0;58.0;;;;;;12.0;35.0;37.0;14.0;3.0;13.0;59.0;20.0;7.0;1.0;5.0;22.0;46.0;18.0;9.0;;;7.0;7.0;6.0;57.0;33.0;4.0;8.0;9.0;8.0;3.0;2.0;6.0;2.0;0.0;5.0;39.0;68.0;26.0;2.0;2.0;1.0;19.0;34.0;1.0;19.0;28.0;33.0;39.0;8.0;2.0;17.0;8.0;58.0;28.0;4.0;2.0;46.0;25.0;;9.0;5.0;15.0;9.0;3.0;3.0;10.0;75.0
666;Member of a single-parent family;2003;80.0;9.0;5.0;3.0;3.0;5.0;62.0;9.0;20.0;10.0;83.0;8.0;3.0;2.0;3.0;90.0;7.0;3.0;4.0;13.0;83.0;92.0;5.0;3.0;82.0;14.0;4.0;65.0;8.0;28.0;18.0;19.0;63.0;93.0;18.0;2.0;17.0;9.0;11.0;33.0;44.0;6.0;5.0;13.0;65.0;15.0;6.0;1.0;4.0;21.0;52.0;15.0;8.0;;;6.0;7.0;6.0;57.0;38.0;6.0;11.0;5.0;11.0;2.0;3.0;4.0;1.0;0.0;7.0;35.0;64.0;23.0;8.0;4.0;1.0;11.0;42.0;3.0;12.0;32.0;21.0;42.0;14.0;3.0;21.0;9.0;55.0;28.0;5.0;3.0;48.0;25.0;;8.0;4.0;15.0;8.0;3.0;3.0;8.0;78.0
667;Member of a single-parent family;2004;78.0;8.0;6.0;4.0;4.0;;69.0;9.0;13.0;10.0;87.0;6.0;2.0;2.0;3.0;93.0;4.0;3.0;5.0;9.0;86.0;92.0;5.0;3.0;86.0;10.0;4.0;70.0;8.0;22.0;12.0;20.0;67.0;;;;;;14.0;33.0;41.0;7.0;5.0;12.0;65.0;16.0;6.0;1.0;3.0;23.0;50.0;15.0;9.0;;;6.0;7.0;6.0;54.0;35.0;5.0;10.0;3.0;11.0;2.0;4.0;4.0;2.0;0.0;5.0;30.0;67.0;32.0;1.0;0.0;0.0;8.0;38.0;3.0;15.0;36.0;29.0;44.0;6.0;2.0;19.0;8.0;63.0;22.0;3.0;4.0;48.0;27.0;2.0;5.0;3.0;16.0;8.0;3.0;4.0;5.0;80.0
668;Member of a single-parent family;2005;80.0;8.0;7.0;2.0;3.0;;;;;;87.0;5.0;4.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;64.0;17.0;6.0;2.0;4.0;20.0;49.0;17.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0;25.0;2.0;4.0;3.0;16.0;7.0;2.0;3.0;7.0;80.0
669;Member of a single-parent family;2006;82.0;7.0;5.0;3.0;3.0;;;;;;86.0;6.0;3.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;65.0;18.0;6.0;1.0;3.0;19.0;49.0;19.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0;23.0;1.0;6.0;3.0;16.0;7.0;2.0;4.0;6.0;81.0
670;Member of a single-parent family;2007;81.0;8.0;6.0;3.0;3.0;;;;;;84.0;5.0;4.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;64.0;16.0;4.0;1.0;5.0;26.0;53.0;10.0;6.0;;;;;;54.0;38.0;5.0;12.0;9.0;8.0;3.0;3.0;7.0;2.0;1.0;13.0;32.0;61.0;32.0;6.0;0.0;0.0;;;;;;;;;;;;;;;;48.0;22.0;6.0;5.0;3.0;16.0;10.0;3.0;3.0;5.0;79.0
671;Member of a single-parent family;2008;84.0;5.0;5.0;3.0;3.0;;;;;;88.0;4.0;2.0;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;66.0;13.0;6.0;1.0;5.0;24.0;49.0;14.0;8.0;;;;;;51.0;31.0;4.0;8.0;6.0;9.0;2.0;2.0;6.0;1.0;1.0;5.0;31.0;74.0;20.0;6.0;0.0;0.0;;;;;;;;;;;;;;;;46.0;27.0;4.0;4.0;1.0;19.0;8.0;4.0;6.0;7.0;75.0
672;Member of a single-parent family;2009;82.0;9.0;5.0;3.0;2.0;;;;;;85.0;5.0;4.0;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;64.0;14.0;4.0;1.0;5.0;28.0;47.0;13.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0;22.0;3.0;6.0;2.0;16.0;7.0;3.0;4.0;6.0;80.0
673;Member of a single-parent family;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
674;Member of a single-parent family;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
675;Member of a couple without children;1997;87.0;7.0;3.0;2.0;1.0;4.0;68.0;11.0;14.0;7.0;71.0;14.0;8.0;4.0;3.0;92.0;6.0;2.0;2.0;7.0;90.0;93.0;4.0;3.0;88.0;9.0;3.0;69.0;5.0;26.0;21.0;17.0;62.0;;;;;;11.0;32.0;48.0;7.0;1.0;24.0;68.0;6.0;1.0;0.0;10.0;35.0;46.0;7.0;2.0;;;;;;58.0;42.0;3.0;1.0;8.0;12.0;6.0;5.0;10.0;3.0;1.0;8.0;31.0;;;;;;;;;;;;;;;;;;;;;37.0;33.0;;16.0;7.0;6.0;15.0;5.0;5.0;10.0;65.0
676;Member of a couple without children;1998;87.0;7.0;3.0;1.0;1.0;;68.0;10.0;15.0;6.0;72.0;13.0;9.0;3.0;3.0;92.0;6.0;2.0;2.0;7.0;90.0;93.0;5.0;3.0;88.0;9.0;3.0;68.0;5.0;27.0;20.0;16.0;64.0;;;;;;10.0;37.0;45.0;6.0;1.0;24.0;68.0;6.0;1.0;0.0;11.0;37.0;43.0;7.0;2.0;9.0;;8.0;7.0;7.0;59.0;42.0;3.0;2.0;7.0;12.0;7.0;6.0;10.0;3.0;2.0;10.0;33.0;;;;;;;;;;;;;;;;;;;;;40.0;33.0;;16.0;7.0;5.0;14.0;6.0;5.0;9.0;66.0
677;Member of a couple without children;1999;88.0;7.0;3.0;1.0;1.0;;68.0;11.0;15.0;6.0;72.0;13.0;9.0;3.0;3.0;92.0;6.0;2.0;2.0;6.0;92.0;93.0;5.0;2.0;88.0;10.0;2.0;67.0;6.0;27.0;22.0;16.0;62.0;;;;;;10.0;36.0;45.0;8.0;2.0;23.0;70.0;6.0;1.0;0.0;10.0;36.0;45.0;7.0;2.0;9.0;;8.0;7.0;7.0;57.0;39.0;2.0;1.0;7.0;11.0;6.0;5.0;8.0;4.0;1.0;8.0;35.0;65.0;28.0;5.0;1.0;1.0;14.0;45.0;3.0;39.0;;12.0;45.0;12.0;31.0;;7.0;63.0;21.0;9.0;;40.0;33.0;;15.0;7.0;6.0;13.0;5.0;5.0;10.0;66.0
