ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;AVD_5;CDA_6;CU_7;D66_8;Conserv_9;DN_10;GL_11;LN_12;LPF_13;Veldhoen_14;NCPN_15;PvdA_16;PvdT_17;PvdD_18;Ratelband_19;SGP_20;SP_21;VIP_22;VVD_23;AVD_24;CDA_25;CU_26;D66_27;Conserv_28;DN_29;GL_30;LN_31;LPF_32;Veldhoen_33;NCPN_34;PvdA_35;PvdT_36;PvdD_37;Ratelband_38;SGP_39;SP_40;VIP_41;VVD_42;LandsdeelCode_43;ProvincieCode_44;KamerkieskringCode_45;CoropCode_46;GemeenteCode_47
269;Middelharnis;13216;83.3;11003;10991;2.0;3049;626;250;0.0;0.0;244;30;635;7.0;1;2525;11;46.0;4;1527;397;1.0;1636;0.0;27.7;5.7;2.3;0.0;0.0;2.2;0.3;5.8;0.1;0.0;23.0;0.1;0.4;0.0;13.9;3.6;0.0;14.9;3;28;00;29;0559
270;Midden-Drenthe;24893;86.2;21451;21434;;6098;458;643;0.0;0.0;801;79;815;;6;7759;22;71.0;14;58;910;;3700;;28.5;2.1;3.0;0.0;0.0;3.7;0.4;3.8;;0.0;36.2;0.1;0.3;0.1;0.3;4.2;;17.3;1;22;00;07;1731
271;Mierlo;7728;83.5;6454;6450;3.0;2490;25;261;2.0;1.0;251;23;364;;1;1367;16;30.0;3;0;440;1.0;1172;0.0;38.6;0.4;4.0;0.0;0.0;3.9;0.4;5.6;;0.0;21.2;0.2;0.5;0.0;0.0;6.8;0.0;18.2;4;30;00;36;0814
272;Mill en Sint Hubert;8527;85.0;7248;7242;1.0;3461;17;121;3.0;0.0;175;25;306;;0;1463;16;14.0;2;5;662;0.0;971;0.0;47.8;0.2;1.7;0.0;0.0;2.4;0.3;4.2;;0.0;20.2;0.2;0.2;0.0;0.1;9.1;0.0;13.4;4;30;00;35;0815
273;Millingen aan de Rijn;4434;80.6;3574;3573;;1020;6;109;;0.0;130;9;135;;0;1422;14;18.0;1;2;226;;481;;28.5;0.2;3.1;;0.0;3.6;0.3;3.8;;0.0;39.8;0.4;0.5;0.0;0.1;6.3;;13.5;2;25;00;15;0265
274;Moerdijk;28014;79.5;22275;22256;0.0;7571;350;626;9.0;12.0;745;123;1519;;2;5186;49;125.0;17;115;1427;1.0;4379;0.0;34.0;1.6;2.8;0.0;0.1;3.3;0.6;6.8;;0.0;23.3;0.2;0.6;0.1;0.5;6.4;0.0;19.7;4;30;00;33;1709
275;Monster;15186;82.8;12575;12561;3.0;5283;298;352;6.0;0.0;320;57;1245;1.0;1;1660;15;80.0;29;348;309;3.0;2551;0.0;42.1;2.4;2.8;0.0;0.0;2.5;0.5;9.9;0.0;0.0;13.2;0.1;0.6;0.2;2.8;2.5;0.0;20.3;3;28;00;27;0562
276;Montfoort;9731;89.1;8668;8663;0.0;3298;282;329;3.0;3.0;366;32;647;;4;1350;7;29.0;5;396;301;0.0;1611;0.0;38.1;3.3;3.8;0.0;0.0;4.2;0.4;7.5;;0.0;15.6;0.1;0.3;0.1;4.6;3.5;0.0;18.6;3;26;00;17;0335
277;Mook en Middelaar;6030;85.4;5151;5147;;1672;9;275;2.0;0.0;324;24;218;;0;1230;5;22.0;1;2;325;;1038;;32.5;0.2;5.3;0.0;0.0;6.3;0.5;4.2;;0.0;23.9;0.1;0.4;0.0;0.0;6.3;;20.2;4;31;00;37;0944
278;Moordrecht;5736;83.1;4765;4761;0.0;1286;108;191;7.0;2.0;168;25;382;;0;1157;7;35.0;3;185;188;2.0;1015;0.0;27.0;2.3;4.0;0.1;0.0;3.5;0.5;8.0;;0.0;24.3;0.1;0.7;0.1;3.9;3.9;0.0;21.3;3;28;00;28;0563
279;Muiden;4945;89.0;4401;4399;0.0;998;30;362;0.0;0.0;220;13;212;;0;1123;11;21.0;3;7;223;;1176;0.0;22.7;0.7;8.2;0.0;0.0;5.0;0.3;4.8;;0.0;25.5;0.3;0.5;0.1;0.2;5.1;;26.7;3;27;00;24;0424
280;Naaldwijk;21285;85.5;18193;18179;2.0;8532;256;440;6.0;1.0;405;93;1643;1.0;4;2187;15;78.0;17;147;456;5.0;3891;0.0;46.9;1.4;2.4;0.0;0.0;2.2;0.5;9.0;0.0;0.0;12.0;0.1;0.4;0.1;0.8;2.5;0.0;21.4;3;28;00;27;0565
281;Naarden;12438;88.1;10953;10951;0.0;2611;98;811;0.0;0.0;543;23;457;;2;2111;8;59.0;6;59;425;;3738;0.0;23.8;0.9;7.4;0.0;0.0;5.0;0.2;4.2;;0.0;19.3;0.1;0.5;0.1;0.5;3.9;;34.1;3;27;00;24;0425
282;Nederlek;11272;87.6;9872;9862;1.0;2289;193;341;2.0;0.0;300;32;786;;3;2762;12;60.0;11;551;407;1.0;2111;0.0;23.2;2.0;3.5;0.0;0.0;3.0;0.3;8.0;;0.0;28.0;0.1;0.6;0.1;5.6;4.1;0.0;21.4;3;28;00;29;0643
283;Nederweert;12303;79.9;9830;9816;;4576;7;180;6.0;2.0;243;41;555;;8;2039;15;31.0;4;1;462;;1646;;46.6;0.1;1.8;0.1;0.0;2.5;0.4;5.7;;0.1;20.8;0.2;0.3;0.0;0.0;4.7;;16.8;4;31;00;38;0946
284;Neede;8646;87.3;7549;7546;0.0;2519;124;200;1.0;0.0;227;27;313;;3;2579;13;28.0;1;5;300;;1206;0.0;33.4;1.6;2.7;0.0;0.0;3.0;0.4;4.1;;0.0;34.2;0.2;0.4;0.0;0.1;4.0;;16.0;2;25;00;14;0266
285;Neerijnen;8480;86.3;7319;7304;;2212;134;157;;0.0;171;21;381;;2;1852;13;32.0;3;734;232;;1360;;30.3;1.8;2.1;;0.0;2.3;0.3;5.2;;0.0;25.4;0.2;0.4;0.0;10.0;3.2;;18.6;2;25;00;16;0304
286;Niedorp;8566;83.6;7165;7161;2.0;1848;23;321;;3.0;292;68;460;;2;2020;9;28.0;7;3;413;;1662;0.0;25.8;0.3;4.5;;0.0;4.1;0.9;6.4;;0.0;28.2;0.1;0.4;0.1;0.0;5.8;;23.2;3;27;00;18;0412
287;Nieuwegein;47221;79.4;37503;37459;5.0;9217;504;1747;18.0;9.0;2083;197;2384;;11;10629;45;231.0;27;134;2449;11.0;7758;0.0;24.6;1.3;4.7;0.0;0.0;5.6;0.5;6.4;;0.0;28.4;0.1;0.6;0.1;0.4;6.5;0.0;20.7;3;26;09;17;0356
288;Nieuwerkerk aan den IJssel;16217;85.5;13868;13850;1.0;3761;577;607;9.0;1.0;462;57;1128;;2;2671;19;68.0;15;415;539;5.0;3513;0.0;27.2;4.2;4.4;0.1;0.0;3.3;0.4;8.1;;0.0;19.3;0.1;0.5;0.1;3.0;3.9;0.0;25.4;3;28;00;29;0567
289;Nieuwkoop;8229;84.2;6928;6924;0.0;2574;152;343;2.0;2.0;269;17;385;;1;1186;5;25.0;4;95;297;0.0;1567;0.0;37.2;2.2;5.0;0.0;0.0;3.9;0.2;5.6;;0.0;17.1;0.1;0.4;0.1;1.4;4.3;0.0;22.6;3;28;00;28;0569
290;Nieuw-Lekkerland;6483;89.1;5778;5775;2.0;1415;567;77;5.0;0.0;112;23;272;0.0;3;1288;7;21.0;1;1276;181;0.0;525;0.0;24.5;9.8;1.3;0.1;0.0;1.9;0.4;4.7;0.0;0.1;22.3;0.1;0.4;0.0;22.1;3.1;0.0;9.1;3;28;00;30;0571
291;Nijefurd;8341;87.1;7266;7261;0.0;3128;155;169;;0.0;327;78;280;;5;1729;11;25.0;8;11;386;;949;0.0;43.1;2.1;2.3;;0.0;4.5;1.1;3.9;;0.1;23.8;0.2;0.3;0.1;0.2;5.3;;13.1;1;21;00;05;0104
292;Nijkerk;27701;85.6;23717;23702;4.0;9562;1423;690;9.0;3.0;759;54;1032;;6;3926;31;62.0;14;1338;713;;4076;0.0;40.3;6.0;2.9;0.0;0.0;3.2;0.2;4.4;;0.0;16.6;0.1;0.3;0.1;5.6;3.0;;17.2;2;25;00;13;0267
293;Nijmegen;120126;77.3;92813;92661;;17714;562;5235;;240.0;11462;271;3561;;47;30228;139;414.0;82;50;11412;;11244;;19.1;0.6;5.6;;0.3;12.4;0.3;3.8;;0.1;32.6;0.2;0.4;0.1;0.1;12.3;;12.1;2;25;07;15;0268
294;Noord-Beveland;5588;84.0;4694;4689;;1659;81;103;;0.0;147;15;258;;0;1050;3;26.0;3;194;263;;887;;35.4;1.7;2.2;;0.0;3.1;0.3;5.5;;0.0;22.4;0.1;0.6;0.1;4.1;5.6;;18.9;3;29;00;32;1695
295;Noordenveld;24242;85.7;20780;20765;;4096;485;975;3.0;5.0;1081;69;875;;7;7772;28;94.0;16;45;962;;4252;;19.7;2.3;4.7;0.0;0.0;5.2;0.3;4.2;;0.0;37.4;0.1;0.5;0.1;0.2;4.6;;20.5;1;22;00;07;1699
296;Noorder-Koggenland;7893;85.3;6730;6723;1.0;1704;99;287;;0.0;324;38;458;;2;1601;8;49.0;8;72;402;;1670;0.0;25.3;1.5;4.3;;0.0;4.8;0.6;6.8;;0.0;23.8;0.1;0.7;0.1;1.1;6.0;;24.8;3;27;00;18;0529
297;Noordoostpolder;32124;85.1;27351;27340;9.0;11344;1531;749;;17.0;922;90;1187;;12;5657;27;89.0;23;541;1098;;4044;0.0;41.5;5.6;2.7;;0.1;3.4;0.3;4.3;;0.0;20.7;0.1;0.3;0.1;2.0;4.0;;14.8;2;24;00;40;0171
298;Noordwijk;18533;82.3;15259;15230;7.0;4987;151;613;3.0;0.0;673;61;1001;;8;2869;18;78.0;16;32;700;2.0;4011;0.0;32.7;1.0;4.0;0.0;0.0;4.4;0.4;6.6;;0.1;18.8;0.1;0.5;0.1;0.2;4.6;0.0;26.3;3;28;00;25;0575
299;Noordwijkerhout;11166;84.0;9378;9366;4.0;3714;39;348;2.0;1.0;369;43;638;;6;1474;14;49.0;8;8;438;0.0;2211;0.0;39.7;0.4;3.7;0.0;0.0;3.9;0.5;6.8;;0.1;15.7;0.1;0.5;0.1;0.1;4.7;0.0;23.6;3;28;00;25;0576
300;Nuenen c.a.;17574;87.0;15285;15274;0.0;5464;65;789;2.0;0.0;687;66;741;;2;3004;53;45.0;10;9;874;0.0;3463;0.0;35.8;0.4;5.2;0.0;0.0;4.5;0.4;4.9;;0.0;19.7;0.3;0.3;0.1;0.1;5.7;0.0;22.7;4;30;00;36;0820
301;Nunspeet;19268;88.9;17123;17109;2.0;6919;1446;309;7.0;2.0;311;28;668;;4;1732;13;48.0;13;3116;370;;2121;0.0;40.4;8.5;1.8;0.0;0.0;1.8;0.2;3.9;;0.0;10.1;0.1;0.3;0.1;18.2;2.2;;12.4;2;25;00;13;0302
302;Nuth;12752;82.4;10505;10495;;4693;30;240;5.0;2.0;422;41;503;;2;2587;7;54.0;9;6;575;;1319;;44.7;0.3;2.3;0.0;0.0;4.0;0.4;4.8;;0.0;24.6;0.1;0.5;0.1;0.1;5.5;;12.6;4;31;00;39;0951
303;Obdam;4880;86.3;4213;4211;1.0;1757;16;160;;0.0;160;36;181;;1;746;9;28.0;3;3;177;;933;0.0;41.7;0.4;3.8;;0.0;3.8;0.9;4.3;;0.0;17.7;0.2;0.7;0.1;0.1;4.2;;22.2;3;27;00;18;0429
304;Oegstgeest;15035;88.8;13348;13332;5.0;3381;205;1139;3.0;2.0;834;38;529;;2;2684;5;76.0;5;30;498;1.0;3895;0.0;25.4;1.5;8.5;0.0;0.0;6.3;0.3;4.0;;0.0;20.1;0.0;0.6;0.0;0.2;3.7;0.0;29.2;3;28;12;25;0579
305;Oirschot;13449;83.7;11256;11234;1.0;5428;11;274;0.0;2.0;282;31;539;;1;2075;39;33.0;2;7;628;3.0;1878;0.0;48.3;0.1;2.4;0.0;0.0;2.5;0.3;4.8;;0.0;18.5;0.3;0.3;0.0;0.1;5.6;0.0;16.7;4;30;00;36;0823
306;Oisterwijk;19405;83.0;16111;16104;3.0;6290;52;631;7.0;0.0;657;60;643;;0;3389;19;42.0;22;8;1034;0.0;3247;0.0;39.1;0.3;3.9;0.0;0.0;4.1;0.4;4.0;;0.0;21.0;0.1;0.3;0.1;0.0;6.4;0.0;20.2;4;30;00;34;0824
307;Oldebroek;16717;84.7;14158;14153;0.0;5888;1847;167;3.0;1.0;187;25;450;;1;2389;15;26.0;3;1655;315;;1181;0.0;41.6;13.1;1.2;0.0;0.0;1.3;0.2;3.2;;0.0;16.9;0.1;0.2;0.0;11.7;2.2;;8.3;2;25;00;13;0269
308;Oldenzaal;23820;84.9;20224;20192;;8278;72;650;3.0;;859;56;696;;7;5169;27;;4;5;1171;;3195;;41.0;0.4;3.2;0.0;;4.3;0.3;3.4;;0.0;25.6;0.1;;0.0;0.0;5.8;;15.8;2;23;00;12;0173
309;Olst-Wijhe;12759;86.4;11021;11013;;4151;113;299;3.0;;467;38;356;;6;3436;17;;7;38;463;;1619;;37.7;1.0;2.7;0.0;;4.2;0.3;3.2;;0.1;31.2;0.2;;0.1;0.3;4.2;;14.7;2;23;00;11;1773
310;Ommen;12803;88.5;11336;11326;;5527;1127;288;3.0;;308;23;333;;5;1771;12;;3;107;365;;1454;;48.8;10.0;2.5;0.0;;2.7;0.2;2.9;;0.0;15.6;0.1;;0.0;0.9;3.2;;12.8;2;23;00;10;0175
311;Onderbanken;6365;78.3;4984;4977;;1964;19;111;1.0;1.0;190;18;271;;1;1384;7;30.0;4;1;364;;611;;39.5;0.4;2.2;0.0;0.0;3.8;0.4;5.4;;0.0;27.8;0.1;0.6;0.1;0.0;7.3;;12.3;4;31;00;39;0881
312;Oosterhout;39952;78.8;31469;31435;6.0;8916;110;1367;4.0;82.0;1303;143;1818;;6;8601;55;152.0;34;14;2144;2.0;6678;0.0;28.4;0.3;4.3;0.0;0.3;4.1;0.5;5.8;;0.0;27.4;0.2;0.5;0.1;0.0;6.8;0.0;21.2;4;30;00;33;0826
313;Oostflakkee;7859;82.1;6452;6445;0.0;1980;250;151;4.0;1.0;132;33;415;1.0;1;1836;2;43.0;4;496;236;1.0;859;0.0;30.7;3.9;2.3;0.1;0.0;2.0;0.5;6.4;0.0;0.0;28.5;0.0;0.7;0.1;7.7;3.7;0.0;13.3;3;28;00;29;0580
314;Ooststellingwerf;20224;83.2;16832;16803;4.0;4420;417;409;;3.0;762;88;703;;8;6467;28;90.0;12;60;914;;2418;0.0;26.3;2.5;2.4;;0.0;4.5;0.5;4.2;;0.0;38.5;0.2;0.5;0.1;0.4;5.4;;14.4;1;21;00;06;0085
315;Oostzaan;6900;84.5;5833;5827;1.0;991;53;273;;0.0;305;40;503;;3;1660;3;48.0;9;17;318;;1603;0.0;17.0;0.9;4.7;;0.0;5.2;0.7;8.6;;0.1;28.5;0.1;0.8;0.2;0.3;5.5;;27.5;3;27;10;23;0431
316;Opmeer;8272;85.1;7037;7032;4.0;2783;26;240;;0.0;263;41;394;;1;1395;15;28.0;5;7;313;;1517;0.1;39.6;0.4;3.4;;0.0;3.7;0.6;5.6;;0.0;19.8;0.2;0.4;0.1;0.1;4.5;;21.6;3;27;00;18;0432
317;Opsterland;21709;85.1;18474;18465;1.0;4864;964;527;;1.0;873;96;610;;28;6748;28;38.0;13;107;1096;;2471;0.0;26.3;5.2;2.9;;0.0;4.7;0.5;3.3;;0.2;36.5;0.2;0.2;0.1;0.6;5.9;;13.4;1;21;00;06;0086
318;Oss;57061;78.4;44723;44680;4.0;13103;134;1466;16.0;217.0;1465;175;1797;;12;9551;97;149.0;25;22;9167;3.0;7277;0.0;29.3;0.3;3.3;0.0;0.5;3.3;0.4;4.0;;0.0;21.4;0.2;0.3;0.1;0.0;20.5;0.0;16.3;4;30;00;35;0828
319;Oud-Beijerland;17241;84.7;14602;14589;0.0;3996;392;545;7.0;0.0;495;69;1042;5.0;3;3164;9;81.0;24;1130;580;0.0;3047;0.0;27.4;2.7;3.7;0.0;0.0;3.4;0.5;7.1;0.0;0.0;21.7;0.1;0.6;0.2;7.7;4.0;0.0;20.9;3;28;00;29;0584
320;Ouder-Amstel;9838;85.9;8446;8439;1.0;2302;66;595;3.0;0.0;456;25;431;;0;1932;10;54.0;5;47;431;;2081;0.0;27.3;0.8;7.1;0.0;0.0;5.4;0.3;5.1;;0.0;22.9;0.1;0.6;0.1;0.6;5.1;;24.7;3;27;00;23;0437
321;Ouderkerk;6028;87.1;5252;5246;1.0;1520;294;132;5.0;0.0;121;19;293;;1;1129;3;25.0;8;641;146;0.0;908;0.0;29.0;5.6;2.5;0.1;0.0;2.3;0.4;5.6;;0.0;21.5;0.1;0.5;0.2;12.2;2.8;0.0;17.3;3;28;00;29;0644
322;Oudewater;7317;86.7;6341;6329;1.0;2912;191;185;4.0;0.0;173;20;396;;1;930;6;22.0;4;143;214;0.0;1127;0.0;46.0;3.0;2.9;0.1;0.0;2.7;0.3;6.3;;0.0;14.7;0.1;0.3;0.1;2.3;3.4;0.0;17.8;3;26;00;17;0589
323;Overbetuwe;30180;83.0;25039;25023;2.0;8888;398;1091;6.0;2.0;1131;91;962;;5;6254;32;82.0;29;471;1371;;4208;0.0;35.5;1.6;4.4;0.0;0.0;4.5;0.4;3.8;;0.0;25.0;0.1;0.3;0.1;1.9;5.5;;16.8;2;25;00;15;1734
324;Papendrecht;23020;82.9;19094;19081;2.0;5515;736;658;8.0;2.0;602;88;1379;6.0;9;4672;16;80.0;26;638;804;0.0;3840;0.0;28.9;3.9;3.4;0.0;0.0;3.2;0.5;7.2;0.0;0.0;24.5;0.1;0.4;0.1;3.3;4.2;0.0;20.1;3;28;15;30;0590
325;Pekela;10287;77.6;7986;7976;1.0;1308;156;127;;0.0;444;33;301;;26;4312;15;28.0;7;13;542;;663;0.0;16.4;2.0;1.6;;0.0;5.6;0.4;3.8;;0.3;54.1;0.2;0.4;0.1;0.2;6.8;;8.3;1;20;00;01;0765
326;Pijnacker-Nootdorp;25262;86.7;21909;21875;2.0;8095;339;1067;8.0;1.0;912;121;1423;;4;3658;15;112.0;21;196;741;8.0;5152;0.0;37.0;1.5;4.9;0.0;0.0;4.2;0.6;6.5;;0.0;16.7;0.1;0.5;0.1;0.9;3.4;0.0;23.6;3;28;00;26;1926
327;Purmerend;55709;77.2;43032;42994;11.0;7417;330;2059;;12.0;2054;315;3725;;51;13442;58;364.0;54;27;2982;;10093;0.0;17.3;0.8;4.8;;0.0;4.8;0.7;8.7;;0.1;31.3;0.1;0.8;0.1;0.1;6.9;;23.5;3;27;00;23;0439
328;Putten;17251;87.2;15037;15028;4.0;7035;1221;302;1.0;7.0;333;49;792;;2;1839;18;48.0;3;1001;328;;2045;0.0;46.8;8.1;2.0;0.0;0.0;2.2;0.3;5.3;;0.0;12.2;0.1;0.3;0.0;6.7;2.2;;13.6;2;25;00;13;0273
329;Raalte;27409;85.8;23505;23484;;12744;251;629;3.0;;806;58;643;;6;4690;39;;8;31;851;;2725;;54.3;1.1;2.7;0.0;;3.4;0.2;2.7;;0.0;20.0;0.2;;0.0;0.1;3.6;;11.6;2;23;00;11;0177
330;Reeuwijk;9608;89.1;8559;8556;1.0;3069;258;330;1.0;0.0;230;19;556;;2;1152;8;14.0;8;557;208;3.0;2140;0.0;35.9;3.0;3.9;0.0;0.0;2.7;0.2;6.5;;0.0;13.5;0.1;0.2;0.1;6.5;2.4;0.0;25.0;3;28;00;28;0595
331;Reiderland;5531;76.0;4203;4196;3.0;275;22;49;;1.0;163;16;216;;354;2227;5;17.0;4;2;483;;359;0.1;6.6;0.5;1.2;;0.0;3.9;0.4;5.1;;8.4;53.1;0.1;0.4;0.1;0.0;11.5;;8.6;1;20;00;01;1661
332;Reimerswaal;14960;85.5;12788;12779;;4067;304;177;;8.0;215;38;641;;5;1940;13;41.0;8;3371;433;;1518;;31.8;2.4;1.4;;0.1;1.7;0.3;5.0;;0.0;15.2;0.1;0.3;0.1;26.4;3.4;;11.9;3;29;00;32;0703
333;Renkum;24946;84.8;21149;21137;1.0;5877;296;1137;4.0;2.0;1512;48;722;;3;5623;16;126.0;40;84;1130;;4516;0.0;27.8;1.4;5.4;0.0;0.0;7.2;0.2;3.4;;0.0;26.6;0.1;0.6;0.2;0.4;5.3;;21.4;2;25;00;15;0274
334;Renswoude;3007;89.4;2689;2688;0.0;1369;100;36;0.0;0.0;25;8;131;;0;238;2;3.0;1;294;72;0.0;409;0.0;50.9;3.7;1.3;0.0;0.0;0.9;0.3;4.9;;0.0;8.9;0.1;0.1;0.0;10.9;2.7;0.0;15.2;3;26;00;17;0339
335;Reusel-De Mierden;9239;82.2;7591;7585;2.0;3896;6;157;2.0;2.0;183;44;334;;0;1320;23;19.0;4;2;427;0.0;1164;0.0;51.4;0.1;2.1;0.0;0.0;2.4;0.6;4.4;;0.0;17.4;0.3;0.3;0.1;0.0;5.6;0.0;15.3;4;30;00;36;1667
336;Rheden;35110;83.7;29384;29359;5.0;7231;473;1337;2.0;5.0;1648;99;1163;;6;9811;23;139.0;32;62;2016;;5307;0.0;24.6;1.6;4.6;0.0;0.0;5.6;0.3;4.0;;0.0;33.4;0.1;0.5;0.1;0.2;6.9;;18.1;2;25;00;15;0275
337;Rhenen;13259;85.4;11325;11319;0.0;3283;271;366;2.0;1.0;391;46;559;;2;2564;10;45.0;14;1375;426;0.0;1964;0.0;29.0;2.4;3.2;0.0;0.0;3.5;0.4;4.9;;0.0;22.7;0.1;0.4;0.1;12.1;3.8;0.0;17.4;3;26;00;17;0340
338;Ridderkerk;35719;82.1;29322;29274;4.0;7676;1114;817;13.0;10.0;752;144;2658;6.0;6;7747;36;158.0;27;2260;1190;4.0;4652;0.0;26.2;3.8;2.8;0.0;0.0;2.6;0.5;9.1;0.0;0.0;26.5;0.1;0.5;0.1;7.7;4.1;0.0;15.9;3;28;00;29;0597
339;Rijnsburg;10678;85.2;9096;9093;1.0;4957;648;192;2.0;5.0;208;26;386;;0;951;3;33.0;1;163;183;0.0;1334;0.0;54.5;7.1;2.1;0.0;0.1;2.3;0.3;4.2;;0.0;10.5;0.0;0.4;0.0;1.8;2.0;0.0;14.7;3;28;12;25;0602
340;Rijnwaarden;8538;79.2;6758;6744;0.0;2207;24;181;1.0;0.0;211;41;358;;3;2273;13;39.0;6;4;392;;991;0.0;32.7;0.4;2.7;0.0;0.0;3.1;0.6;5.3;;0.0;33.7;0.2;0.6;0.1;0.1;5.8;;14.7;2;25;00;15;0196
341;Rijnwoude;14284;87.3;12477;12462;1.0;4602;325;533;9.0;1.0;395;44;696;;0;2186;20;43.0;10;656;507;1.0;2433;0.0;36.9;2.6;4.3;0.1;0.0;3.2;0.4;5.6;;0.0;17.5;0.2;0.3;0.1;5.3;4.1;0.0;19.5;3;28;00;28;1672
342;Rijssen;25907;91.2;23622;23604;;8656;1940;351;7.0;;381;37;609;;5;3730;34;;9;5079;504;;2262;;36.7;8.2;1.5;0.0;;1.6;0.2;2.6;;0.0;15.8;0.1;;0.0;21.5;2.1;;9.6;2;23;00;12;0178
343;Rijswijk;38200;79.5;30351;30304;1.0;7821;308;1604;13.0;14.0;1508;278;2887;2.0;9;7139;22;254.0;34;108;1420;19.0;6863;0.0;25.8;1.0;5.3;0.0;0.0;5.0;0.9;9.5;0.0;0.0;23.6;0.1;0.8;0.1;0.4;4.7;0.1;22.6;3;28;13;26;0603
344;Roerdalen;7901;78.7;6215;6205;;2531;13;141;1.0;0.0;214;18;351;;3;1472;1;33.0;12;1;342;;1072;;40.8;0.2;2.3;0.0;0.0;3.4;0.3;5.7;;0.0;23.7;0.0;0.5;0.2;0.0;5.5;;17.3;4;31;00;38;1669
345;Roermond;33719;70.0;23606;23581;;7214;73;797;10.0;91.0;1319;85;1454;;6;6324;27;197.0;34;14;1699;;4237;;30.6;0.3;3.4;0.0;0.4;5.6;0.4;6.2;;0.0;26.8;0.1;0.8;0.1;0.1;7.2;;18.0;4;31;00;38;0957
346;Roggel en Neer;6315;80.1;5060;5054;;2458;7;116;0.0;0.0;185;15;202;;0;943;13;27.0;1;0;271;;816;;48.6;0.1;2.3;0.0;0.0;3.7;0.3;4.0;;0.0;18.7;0.3;0.5;0.0;0.0;5.4;;16.1;4;31;00;38;1670
347;De Ronde Venen;25442;85.4;21728;21717;2.0;8084;485;828;5.0;5.0;715;98;1280;;1;3265;40;94.0;16;281;843;0.0;5675;0.0;37.2;2.2;3.8;0.0;0.0;3.3;0.5;5.9;;0.0;15.0;0.2;0.4;0.1;1.3;3.9;0.0;26.1;3;26;00;17;0736
348;Roosendaal;57813;75.5;43652;43626;6.0;13732;175;1414;12.0;35.0;1754;235;3353;;17;10639;79;193.0;49;29;2987;3.0;8914;0.0;31.5;0.4;3.2;0.0;0.1;4.0;0.5;7.7;;0.0;24.4;0.2;0.4;0.1;0.1;6.8;0.0;20.4;4;30;00;33;1674
349;Rotterdam;429369;69.9;299923;299163;;43639;4261;11861;230.0;1140.0;16837;1158;41304;107.0;186;108252;361;2307.0;420;2135;20504;302.0;44159;;14.6;1.4;4.0;0.1;0.4;5.6;0.4;13.8;0.0;0.1;36.2;0.1;0.8;0.1;0.7;6.9;0.1;14.8;3;28;14;29;0599
350;Rozenburg;10114;77.7;7857;7845;0.0;1864;186;315;6.0;1.0;270;70;792;5.0;5;2175;10;53.0;17;41;475;2.0;1558;0.0;23.8;2.4;4.0;0.1;0.0;3.4;0.9;10.1;0.1;0.1;27.7;0.1;0.7;0.2;0.5;6.1;0.0;19.9;3;28;14;29;0600
351;Rozendaal;1190;94.5;1125;1125;0.0;279;6;71;0.0;0.0;41;3;36;;0;165;1;4.0;5;5;29;;480;0.0;24.8;0.5;6.3;0.0;0.0;3.6;0.3;3.2;;0.0;14.7;0.1;0.4;0.4;0.4;2.6;;42.7;2;25;06;15;0277
352;Rucphen;17943;68.3;12260;12249;4.0;3975;26;193;2.0;2.0;257;72;1269;;4;3534;29;58.0;22;3;682;0.0;2117;0.0;32.5;0.2;1.6;0.0;0.0;2.1;0.6;10.4;;0.0;28.9;0.2;0.5;0.2;0.0;5.6;0.0;17.3;4;30;00;33;0840
353;Ruurlo;6529;84.6;5521;5520;1.0;1958;17;160;1.0;3.0;162;22;184;;0;1453;9;17.0;2;5;184;;1342;0.0;35.5;0.3;2.9;0.0;0.1;2.9;0.4;3.3;;0.0;26.3;0.2;0.3;0.0;0.1;3.3;;24.3;2;25;00;14;0278
354;Sassenheim;11123;85.9;9558;9547;0.0;3610;70;420;3.0;1.0;421;44;543;;1;1676;13;48.0;9;22;441;6.0;2219;0.0;37.8;0.7;4.4;0.0;0.0;4.4;0.5;5.7;;0.0;17.6;0.1;0.5;0.1;0.2;4.6;0.1;23.2;3;28;00;25;0604
355;Schagen;13638;82.3;11228;11217;1.0;2494;85;591;;2.0;663;57;563;;5;3332;20;53.0;6;8;642;;2695;0.0;22.2;0.8;5.3;;0.0;5.9;0.5;5.0;;0.0;29.7;0.2;0.5;0.1;0.1;5.7;;24.0;3;27;00;18;0441
356;Scheemda;11108;83.2;9240;9235;0.0;2051;289;218;;0.0;341;30;317;;64;4252;17;43.0;8;14;635;;956;0.0;22.2;3.1;2.4;;0.0;3.7;0.3;3.4;;0.7;46.0;0.2;0.5;0.1;0.2;6.9;;10.4;1;20;00;01;0039
357;Schermer;3607;87.8;3166;3163;1.0;1070;18;143;;0.0;150;12;171;;1;681;4;19.0;3;5;169;;716;0.0;33.8;0.6;4.5;;0.0;4.7;0.4;5.4;;0.0;21.5;0.1;0.6;0.1;0.2;5.3;;22.6;3;27;00;19;0458
358;Scherpenzeel;6614;90.1;5957;5954;0.0;2396;257;137;2.0;0.0;120;18;232;;0;809;7;11.0;5;867;124;;969;0.0;40.2;4.3;2.3;0.0;0.0;2.0;0.3;3.9;;0.0;13.6;0.1;0.2;0.1;14.6;2.1;;16.3;2;25;00;13;0279
