ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
223;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 March;10542;221.0;2.3;11.6;10542;221.0;2.3;11.6
224;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 April;10542;231.0;4.7;17.1;10542;231.0;4.7;17.1
225;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 May;10542;247.0;6.8;26.5;10542;247.0;6.8;26.5
226;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 June;10542;261.0;5.9;36.5;10542;261.0;5.9;36.5
227;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 July;10542;284.0;8.6;41.2;10542;284.0;8.6;41.2
228;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 August;10542;287.0;1.1;44.6;10542;287.0;1.1;44.6
229;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 September;10542;277.0;-3.4;41.9;10542;277.0;-3.4;41.9
230;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 October;10542;280.0;1.1;40.6;10542;280.0;1.1;40.6
231;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 November;10542;267.0;-4.8;33.3;10542;267.0;-4.8;33.3
232;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 December;10542;266.0;-0.4;31.6;10542;266.0;-0.4;31.6
233;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008;10542;254.0;;28.4;10542;254.0;;28.4
234;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 January;900;99.0;;;900;99.0;;
235;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 February;900;100.0;0.6;;900;100.0;0.6;
236;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 March;900;100.0;0.6;;900;100.0;0.6;
237;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 April;900;101.0;0.9;;900;101.0;0.9;
238;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 May;900;101.0;0.0;;900;101.0;0.0;
239;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 June;900;101.0;0.0;;900;101.0;0.0;
240;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 July;900;101.0;0.2;;900;101.0;0.2;
241;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 August;900;99.0;-2.0;;900;99.0;-2.0;
242;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 September;900;99.0;-0.1;;900;99.0;-0.1;
243;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 October;900;99.0;0.2;;900;99.0;0.2;
244;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 November;900;100.0;0.4;;900;100.0;0.4;
245;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000 December;900;100.0;0.0;;900;100.0;0.0;
246;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2000;900;100.0;;;900;100.0;;
247;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 January;900;102.0;2.7;3.6;900;102.0;2.7;3.6
248;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 February;900;103.0;0.4;3.3;900;103.0;0.4;3.3
249;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 March;900;103.0;0.0;2.8;900;103.0;0.0;2.8
250;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 April;900;104.0;0.9;2.7;900;104.0;0.9;2.7
251;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 May;900;109.0;5.3;8.1;900;109.0;5.3;8.1
252;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 June;900;109.0;0.0;8.1;900;109.0;0.0;8.1
253;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 July;900;109.0;-0.1;7.9;900;109.0;-0.1;7.9
254;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 August;900;106.0;-3.1;6.7;900;106.0;-3.1;6.7
255;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 September;900;106.0;0.3;7.0;900;106.0;0.3;7.0
256;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 October;900;106.0;0.1;6.9;900;106.0;0.1;6.9
257;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 November;900;108.0;1.4;8.0;900;108.0;1.4;8.0
258;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001 December;900;108.0;0.0;8.0;900;108.0;0.0;8.0
259;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2001;900;106.0;;6.1;900;106.0;;6.1
260;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 January;900;109.0;1.0;6.2;900;109.0;1.0;6.2
261;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 February;900;115.0;5.3;11.5;900;115.0;5.3;11.5
262;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 March;900;115.0;-0.1;11.3;900;115.0;-0.1;11.3
263;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 April;900;117.0;2.2;12.8;900;117.0;2.2;12.8
264;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 May;900;110.0;-5.6;1.1;900;110.0;-5.6;1.1
265;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 June;900;110.0;-0.1;1.0;900;110.0;-0.1;1.0
266;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 July;900;110.0;-0.1;1.0;900;110.0;-0.1;1.0
267;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 August;900;110.0;-0.6;3.6;900;110.0;-0.6;3.6
268;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 September;900;110.0;0.0;3.3;900;110.0;0.0;3.3
269;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 October;900;110.0;0.1;3.3;900;110.0;0.1;3.3
270;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 November;900;120.0;9.4;11.4;900;120.0;9.4;11.4
271;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002 December;900;120.0;0.0;11.3;900;120.0;0.0;11.3
272;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2002;900;113.0;;6.4;900;113.0;;6.4
273;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 January;900;122.0;1.7;12.1;900;122.0;1.7;12.1
274;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 February;900;113.0;-7.0;-1.0;900;113.0;-7.0;-1.0
275;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 March;900;114.0;0.0;-0.9;900;114.0;0.0;-0.9
276;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 April;900;114.0;0.4;-2.6;900;114.0;0.4;-2.6
277;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 May;900;110.0;-3.3;-0.2;900;110.0;-3.3;-0.2
278;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 June;900;111.0;0.5;0.4;900;111.0;0.5;0.4
279;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 July;900;111.0;0.2;0.6;900;111.0;0.2;0.6
280;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 August;900;108.0;-2.4;-1.2;900;108.0;-2.4;-1.2
281;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 September;900;108.0;0.0;-1.1;900;108.0;0.0;-1.1
282;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 October;900;108.0;-0.5;-1.7;900;108.0;-0.5;-1.7
283;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 November;900;107.0;-1.0;-11.1;900;107.0;-1.0;-11.1
284;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003 December;900;107.0;-0.1;-11.1;900;107.0;-0.1;-11.1
285;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2003;900;111.0;;-1.6;900;111.0;;-1.6
286;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 January;900;108.0;0.9;-11.9;900;108.0;0.9;-11.9
287;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 February;900;108.0;0.0;-5.2;900;108.0;0.0;-5.2
288;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 March;900;108.0;0.2;-5.1;900;108.0;0.2;-5.1
289;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 April;900;107.0;-0.5;-5.9;900;107.0;-0.5;-5.9
290;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 May;900;107.0;0.0;-2.7;900;107.0;0.0;-2.7
291;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 June;900;107.0;0.0;-3.2;900;107.0;0.0;-3.2
292;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 July;900;107.0;0.1;-3.3;900;107.0;0.1;-3.3
293;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 August;900;108.0;0.4;-0.5;900;108.0;0.4;-0.5
294;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 September;900;107.0;-0.2;-0.8;900;107.0;-0.2;-0.8
295;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 October;900;107.0;-0.3;-0.7;900;107.0;-0.3;-0.7
296;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 November;900;108.0;0.8;1.2;900;108.0;0.8;1.2
297;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004 December;900;107.0;-0.6;0.7;900;107.0;-0.6;0.7
298;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2004;900;107.0;;-3.2;900;107.0;;-3.2
299;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 January;900;109.0;1.5;1.2;900;109.0;1.5;1.2
300;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 February;900;109.0;0.2;1.5;900;109.0;0.2;1.5
301;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 March;900;109.0;0.3;1.5;900;109.0;0.3;1.5
302;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 April;900;109.0;-0.2;1.8;900;109.0;-0.2;1.8
303;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 May;900;108.0;-1.2;0.6;900;108.0;-1.2;0.6
304;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 June;900;108.0;0.3;0.8;900;108.0;0.3;0.8
305;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 July;900;108.0;0.3;1.1;900;108.0;0.3;1.1
306;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 August;900;109.0;0.2;1.0;900;109.0;0.2;1.0
307;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 September;900;109.0;0.0;1.3;900;109.0;0.0;1.3
308;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 October;900;110.0;1.0;2.6;900;110.0;1.0;2.6
309;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 November;900;111.0;0.8;2.5;900;111.0;0.8;2.5
310;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005 December;900;111.0;-0.1;3.0;900;111.0;-0.1;3.0
311;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2005;900;109.0;;1.6;900;109.0;;1.6
312;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 January;900;109.0;-1.2;0.3;900;109.0;-1.2;0.3
313;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 February;900;109.0;-0.1;-0.1;900;109.0;-0.1;-0.1
314;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 March;900;109.0;0.0;-0.3;900;109.0;0.0;-0.3
315;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 April;900;110.0;0.9;0.8;900;110.0;0.9;0.8
316;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 May;900;109.0;-1.0;1.0;900;109.0;-1.0;1.0
317;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 June;900;110.0;0.8;1.6;900;110.0;0.8;1.6
318;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 July;900;109.0;-0.6;0.6;900;109.0;-0.6;0.6
319;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 August;900;110.0;0.7;1.0;900;110.0;0.7;1.0
320;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 September;900;110.0;0.6;1.5;900;110.0;0.6;1.5
321;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 October;900;111.0;0.3;0.8;900;111.0;0.3;0.8
322;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 November;900;110.0;-0.8;-0.8;900;110.0;-0.8;-0.8
323;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006 December;900;111.0;1.2;0.5;900;111.0;1.2;0.5
324;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2006;900;110.0;;0.6;900;110.0;;0.6
325;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 January;900;113.0;1.6;3.4;900;113.0;1.6;3.4
326;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 February;900;114.0;0.7;4.3;900;114.0;0.7;4.3
327;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 March;900;113.0;-0.5;3.8;900;113.0;-0.5;3.8
328;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 April;900;113.0;0.1;3.0;900;113.0;0.1;3.0
329;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 May;900;112.0;-0.8;3.2;900;112.0;-0.8;3.2
330;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 June;900;112.0;-0.5;1.9;900;112.0;-0.5;1.9
331;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 July;900;114.0;2.0;4.6;900;114.0;2.0;4.6
332;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 August;900;113.0;-0.7;3.2;900;113.0;-0.7;3.2
333;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 September;900;114.0;0.5;3.1;900;114.0;0.5;3.1
334;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 October;900;114.0;0.0;2.8;900;114.0;0.0;2.8
335;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 November;900;116.0;2.0;5.7;900;116.0;2.0;5.7
336;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007 December;900;115.0;-0.6;3.8;900;115.0;-0.6;3.8
337;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2007;900;114.0;;3.6;900;114.0;;3.6
338;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 January;900;120.0;4.3;6.5;900;120.0;4.3;6.5
339;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 February;900;121.0;0.7;6.5;900;121.0;0.7;6.5
340;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 March;900;124.0;2.7;9.9;900;124.0;2.7;9.9
341;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 April;900;123.0;-1.0;8.7;900;123.0;-1.0;8.7
342;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 May;900;123.0;0.1;9.7;900;123.0;0.1;9.7
343;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 June;900;123.0;-0.5;9.6;900;123.0;-0.5;9.6
344;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 July;900;123.0;0.6;8.1;900;123.0;0.6;8.1
345;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 August;900;124.0;0.3;9.2;900;124.0;0.3;9.2
346;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 September;900;125.0;1.1;9.8;900;125.0;1.1;9.8
347;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 October;900;128.0;1.9;12.0;900;128.0;1.9;12.0
348;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 November;900;128.0;0.6;10.5;900;128.0;0.6;10.5
349;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008 December;900;128.0;-0.3;10.8;900;128.0;-0.3;10.8
350;Total sales;CB MINING AND QUARRYING EXCEPT ENERGY PR;2008;900;124.0;;9.3;900;124.0;;9.3
351;Total sales;D MANUFACTURING;2000 January;171746;95.2;;;176797;95.4;;
352;Total sales;D MANUFACTURING;2000 February;171746;96.3;1.2;;176797;96.5;1.1;
353;Total sales;D MANUFACTURING;2000 March;171746;97.2;0.9;;176797;97.3;0.9;
354;Total sales;D MANUFACTURING;2000 April;171746;97.9;0.7;;176797;98.0;0.7;
355;Total sales;D MANUFACTURING;2000 May;171746;99.3;1.5;;176797;99.4;1.4;
356;Total sales;D MANUFACTURING;2000 June;171746;99.7;0.4;;176797;99.8;0.4;
357;Total sales;D MANUFACTURING;2000 July;171746;100.5;0.8;;176797;100.5;0.7;
358;Total sales;D MANUFACTURING;2000 August;171746;101.2;0.7;;176797;101.2;0.7;
359;Total sales;D MANUFACTURING;2000 September;171746;103.0;1.8;;176797;102.9;1.7;
360;Total sales;D MANUFACTURING;2000 October;171746;103.8;0.7;;176797;103.6;0.7;
361;Total sales;D MANUFACTURING;2000 November;171746;103.7;0.0;;176797;103.6;0.0;
362;Total sales;D MANUFACTURING;2000 December;171746;102.0;-1.6;;176797;102.0;-1.5;
363;Total sales;D MANUFACTURING;2000;171746;100.0;;;176797;100.0;;
364;Total sales;D MANUFACTURING;2001 January;171746;101.3;-0.7;6.4;176797;101.4;-0.5;6.3
365;Total sales;D MANUFACTURING;2001 February;171746;101.9;0.5;5.7;176797;102.0;0.5;5.7
366;Total sales;D MANUFACTURING;2001 March;171746;102.1;0.2;5.0;176797;102.2;0.2;5.0
367;Total sales;D MANUFACTURING;2001 April;171746;102.4;0.3;4.6;176797;102.4;0.2;4.5
368;Total sales;D MANUFACTURING;2001 May;171746;102.9;0.5;3.6;176797;103.0;0.5;3.6
369;Total sales;D MANUFACTURING;2001 June;171746;102.5;-0.4;2.8;176797;102.5;-0.4;2.8
370;Total sales;D MANUFACTURING;2001 July;171746;101.1;-1.4;0.6;176797;101.2;-1.3;0.7
371;Total sales;D MANUFACTURING;2001 August;171746;100.6;-0.5;-0.6;176797;100.7;-0.4;-0.4
372;Total sales;D MANUFACTURING;2001 September;171746;100.7;0.1;-2.3;176797;100.8;0.1;-2.0
373;Total sales;D MANUFACTURING;2001 October;171746;99.3;-1.4;-4.3;176797;99.5;-1.3;-3.9
374;Total sales;D MANUFACTURING;2001 November;171746;98.5;-0.9;-5.1;176797;98.7;-0.8;-4.7
375;Total sales;D MANUFACTURING;2001 December;171746;97.9;-0.6;-4.0;176797;98.2;-0.5;-3.7
376;Total sales;D MANUFACTURING;2001;171746;100.9;;0.9;176797;101.1;;1.1
377;Total sales;D MANUFACTURING;2002 January;171746;97.9;0.0;-3.4;176797;98.2;0.0;-3.2
378;Total sales;D MANUFACTURING;2002 February;171746;97.9;0.0;-3.9;176797;98.2;0.0;-3.7
379;Total sales;D MANUFACTURING;2002 March;171746;98.9;1.0;-3.1;176797;99.2;1.0;-3.0
380;Total sales;D MANUFACTURING;2002 April;171746;100.1;1.2;-2.2;176797;100.3;1.1;-2.1
381;Total sales;D MANUFACTURING;2002 May;171746;99.9;-0.2;-2.9;176797;100.1;-0.2;-2.8
382;Total sales;D MANUFACTURING;2002 June;171746;99.4;-0.5;-3.0;176797;99.7;-0.5;-2.8
383;Total sales;D MANUFACTURING;2002 July;171746;100.0;0.6;-1.1;176797;100.2;0.6;-0.9
384;Total sales;D MANUFACTURING;2002 August;171746;100.5;0.4;-0.2;176797;100.7;0.4;-0.1
385;Total sales;D MANUFACTURING;2002 September;171746;101.3;0.9;0.6;176797;101.5;0.8;0.7
386;Total sales;D MANUFACTURING;2002 October;171746;101.2;-0.1;1.9;176797;101.4;-0.1;1.9
387;Total sales;D MANUFACTURING;2002 November;171746;100.0;-1.2;1.5;176797;100.2;-1.2;1.5
388;Total sales;D MANUFACTURING;2002 December;171746;100.7;0.7;2.8;176797;100.9;0.7;2.7
389;Total sales;D MANUFACTURING;2002;171746;99.8;;-1.1;176797;100.0;;-1.0
390;Total sales;D MANUFACTURING;2003 January;171746;101.9;1.2;4.1;176797;102.1;1.2;3.9
391;Total sales;D MANUFACTURING;2003 February;171746;103.1;1.2;5.3;176797;103.2;1.1;5.1
392;Total sales;D MANUFACTURING;2003 March;171746;102.6;-0.5;3.7;176797;102.7;-0.5;3.6
393;Total sales;D MANUFACTURING;2003 April;171746;100.4;-2.1;0.3;176797;100.7;-2.0;0.4
394;Total sales;D MANUFACTURING;2003 May;171746;99.2;-1.2;-0.7;176797;99.5;-1.1;-0.6
395;Total sales;D MANUFACTURING;2003 June;171746;99.3;0.1;-0.1;176797;99.6;0.1;0.0
396;Total sales;D MANUFACTURING;2003 July;171746;99.3;0.0;-0.7;176797;99.6;0.0;-0.7
397;Total sales;D MANUFACTURING;2003 August;171746;100.0;0.7;-0.5;176797;100.3;0.7;-0.4
398;Total sales;D MANUFACTURING;2003 September;171746;100.0;0.0;-1.3;176797;100.3;0.0;-1.2
399;Total sales;D MANUFACTURING;2003 October;171746;100.2;0.2;-1.0;176797;100.5;0.2;-0.9
400;Total sales;D MANUFACTURING;2003 November;171746;100.4;0.2;0.5;176797;100.7;0.2;0.5
401;Total sales;D MANUFACTURING;2003 December;171746;99.7;-0.7;-1.0;176797;100.0;-0.7;-0.8
402;Total sales;D MANUFACTURING;2003;171746;100.5;;0.7;176797;100.8;;0.7
403;Total sales;D MANUFACTURING;2004 January;171746;100.6;0.9;-1.3;176797;101.1;1.1;-0.9
404;Total sales;D MANUFACTURING;2004 February;171746;100.7;0.1;-2.4;176797;101.3;0.2;-1.8
405;Total sales;D MANUFACTURING;2004 March;171746;102.0;1.3;-0.6;176797;102.6;1.3;-0.1
406;Total sales;D MANUFACTURING;2004 April;171746;103.3;1.2;2.8;176797;103.8;1.2;3.1
407;Total sales;D MANUFACTURING;2004 May;171746;104.3;1.0;5.1;176797;104.8;1.0;5.3
408;Total sales;D MANUFACTURING;2004 June;171746;104.0;-0.3;4.7;176797;104.5;-0.3;4.9
409;Total sales;D MANUFACTURING;2004 July;171746;105.4;1.4;6.2;176797;105.9;1.3;6.4
410;Total sales;D MANUFACTURING;2004 August;171746;106.5;1.0;6.5;176797;106.9;1.0;6.7
411;Total sales;D MANUFACTURING;2004 September;171746;107.1;0.6;7.2;176797;107.5;0.5;7.2
412;Total sales;D MANUFACTURING;2004 October;171746;108.9;1.6;8.6;176797;109.1;1.5;8.6
413;Total sales;D MANUFACTURING;2004 November;171746;107.5;-1.2;7.1;176797;107.9;-1.1;7.1
414;Total sales;D MANUFACTURING;2004 December;171746;105.9;-1.5;6.2;176797;106.4;-1.4;6.3
415;Total sales;D MANUFACTURING;2004;171746;104.7;;4.1;176797;105.2;;4.4
416;Total sales;D MANUFACTURING;2005 January;171746;106.6;0.6;5.9;176797;107.0;0.6;5.9
417;Total sales;D MANUFACTURING;2005 February;171746;107.5;0.8;6.7;176797;107.9;0.8;6.5
418;Total sales;D MANUFACTURING;2005 March;171746;109.2;1.6;7.0;176797;109.5;1.5;6.7
419;Total sales;D MANUFACTURING;2005 April;171746;110.0;0.8;6.6;176797;110.3;0.8;6.3
420;Total sales;D MANUFACTURING;2005 May;171746;109.2;-0.8;4.7;176797;109.6;-0.7;4.5
421;Total sales;D MANUFACTURING;2005 June;171746;110.9;1.5;6.6;176797;111.1;1.5;6.3
422;Total sales;D MANUFACTURING;2005 July;171746;112.0;1.0;6.3;176797;112.2;1.0;6.0
423;Total sales;D MANUFACTURING;2005 August;171746;112.9;0.8;6.0;176797;113.0;0.7;5.7
424;Total sales;D MANUFACTURING;2005 September;171746;114.3;1.3;6.7;176797;114.4;1.2;6.4
425;Total sales;D MANUFACTURING;2005 October;171746;114.8;0.5;5.5;176797;114.9;0.4;5.3
426;Total sales;D MANUFACTURING;2005 November;171746;113.4;-1.3;5.4;176797;113.5;-1.2;5.2
427;Total sales;D MANUFACTURING;2005 December;171746;113.1;-0.3;6.7;176797;113.2;-0.3;6.4
428;Total sales;D MANUFACTURING;2005;171746;111.1;;6.2;176797;111.4;;5.9
429;Total sales;D MANUFACTURING;2006 January;171746;114.5;1.2;7.4;176797;114.6;1.2;7.0
430;Total sales;D MANUFACTURING;2006 February;171746;114.8;0.3;6.8;176797;114.8;0.2;6.4
431;Total sales;D MANUFACTURING;2006 March;171746;115.3;0.4;5.6;176797;115.3;0.4;5.3
432;Total sales;D MANUFACTURING;2006 April;171746;117.4;1.8;6.7;176797;117.5;1.8;6.5
433;Total sales;D MANUFACTURING;2006 May;171746;117.3;-0.1;7.4;176797;117.4;-0.1;7.1
434;Total sales;D MANUFACTURING;2006 June;171746;117.6;0.3;6.1;176797;117.7;0.3;5.9
435;Total sales;D MANUFACTURING;2006 July;171746;118.6;0.8;5.8;176797;118.6;0.8;5.7
436;Total sales;D MANUFACTURING;2006 August;171746;118.7;0.1;5.2;176797;118.7;0.1;5.0
437;Total sales;D MANUFACTURING;2006 September;171746;116.7;-1.7;2.1;176797;116.8;-1.6;2.1
438;Total sales;D MANUFACTURING;2006 October;171746;116.1;-0.5;1.1;176797;116.2;-0.5;1.2
439;Total sales;D MANUFACTURING;2006 November;171746;115.6;-0.4;2.0;176797;115.8;-0.4;2.0
440;Total sales;D MANUFACTURING;2006 December;171746;115.7;0.0;2.3;176797;115.8;0.0;2.3
441;Total sales;D MANUFACTURING;2006;171746;116.5;;4.8;176797;116.6;;4.7
442;Total sales;D MANUFACTURING;2007 January;171746;115.7;0.1;1.1;176797;116.0;0.1;1.2
443;Total sales;D MANUFACTURING;2007 February;171746;116.5;0.7;1.5;176797;116.7;0.6;1.6
444;Total sales;D MANUFACTURING;2007 March;171746;117.3;0.7;1.7;176797;117.5;0.7;1.8
445;Total sales;D MANUFACTURING;2007 April;171746;119.5;1.9;1.8;176797;119.6;1.8;1.8
446;Total sales;D MANUFACTURING;2007 May;171746;120.7;1.0;2.9;176797;120.7;1.0;2.9
447;Total sales;D MANUFACTURING;2007 June;171746;121.3;0.5;3.2;176797;121.4;0.5;3.1
448;Total sales;D MANUFACTURING;2007 July;171746;122.2;0.7;3.1;176797;122.2;0.7;3.0
449;Total sales;D MANUFACTURING;2007 August;171746;121.9;-0.2;2.7;176797;121.9;-0.2;2.7
450;Total sales;D MANUFACTURING;2007 September;171746;123.0;0.9;5.4;176797;123.0;0.9;5.3
451;Total sales;D MANUFACTURING;2007 October;171746;124.3;1.1;7.1;176797;124.2;1.0;6.8
452;Total sales;D MANUFACTURING;2007 November;171746;126.0;1.4;9.0;176797;125.8;1.3;8.6
453;Total sales;D MANUFACTURING;2007 December;171746;125.9;-0.1;8.9;176797;125.7;-0.1;8.5
