ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
3352;Total entities with/without legal pers.;022 Logging;2011 June;0
3353;Total entities with/without legal pers.;022 Logging;2011 2nd quarter;0
3354;Total entities with/without legal pers.;022 Logging;2011 July;0
3355;Total entities with/without legal pers.;022 Logging;2011 August;0
3356;Total entities with/without legal pers.;022 Logging;2011 September;0
3357;Total entities with/without legal pers.;022 Logging;2011 3rd quarter;0
3358;Total entities with/without legal pers.;022 Logging;2011 October;0
3359;Total entities with/without legal pers.;022 Logging;2011 November;0
3360;Total entities with/without legal pers.;022 Logging;2011 December;0
3361;Total entities with/without legal pers.;022 Logging;2011 4th quarter;0
3362;Total entities with/without legal pers.;022 Logging;2011;0
3363;Total entities with/without legal pers.;022 Logging;2012 January;0
3364;Total entities with/without legal pers.;022 Logging;2012 February;0
3365;Total entities with/without legal pers.;022 Logging;2012 March;0
3366;Total entities with/without legal pers.;022 Logging;2012 1st quarter;0
3367;Total entities with/without legal pers.;022 Logging;2012 April;0
3368;Total entities with/without legal pers.;022 Logging;2012 May;0
3369;Total entities with/without legal pers.;022 Logging;2012 June;0
3370;Total entities with/without legal pers.;022 Logging;2012 2nd quarter;0
3371;Total entities with/without legal pers.;022 Logging;2012 July;0
3372;Total entities with/without legal pers.;022 Logging;2012 August;0
3373;Total entities with/without legal pers.;022 Logging;2012 September;0
3374;Total entities with/without legal pers.;022 Logging;2012 3rd quarter;0
3375;Total entities with/without legal pers.;022 Logging;2012 October;0
3376;Total entities with/without legal pers.;022 Logging;2012 November;0
3377;Total entities with/without legal pers.;022 Logging;2012 December;0
3378;Total entities with/without legal pers.;022 Logging;2012 4th quarter;0
3379;Total entities with/without legal pers.;022 Logging;2012;0
3380;Total entities with/without legal pers.;022 Logging;2013 January;0
3381;Total entities with/without legal pers.;022 Logging;2013 February;0
3382;Total entities with/without legal pers.;022 Logging;2013 March;0
3383;Total entities with/without legal pers.;022 Logging;2013 1st quarter;0
3384;Total entities with/without legal pers.;022 Logging;2013 April;0
3385;Total entities with/without legal pers.;022 Logging;2013 May;0
3386;Total entities with/without legal pers.;022 Logging;2013 June;0
3387;Total entities with/without legal pers.;022 Logging;2013 2nd quarter;0
3388;Total entities with/without legal pers.;022 Logging;2013 July;0
3389;Total entities with/without legal pers.;022 Logging;2013 August;0
3390;Total entities with/without legal pers.;022 Logging;2013 September;0
3391;Total entities with/without legal pers.;022 Logging;2013 3rd quarter;0
3392;Total entities with/without legal pers.;022 Logging;2013 October;0
3393;Total entities with/without legal pers.;022 Logging;2013 November;0
3394;Total entities with/without legal pers.;022 Logging;2013 December;0
3395;Total entities with/without legal pers.;022 Logging;2013 4th quarter;0
3396;Total entities with/without legal pers.;022 Logging;2013;0
3397;Total entities with/without legal pers.;022 Logging;2014 January;0
3398;Total entities with/without legal pers.;022 Logging;2014 February;0
3399;Total entities with/without legal pers.;022 Logging;2014 March;0
3400;Total entities with/without legal pers.;022 Logging;2014 1st quarter;0
3401;Total entities with/without legal pers.;022 Logging;2014 April;0
3402;Total entities with/without legal pers.;022 Logging;2014 May;0
3403;Total entities with/without legal pers.;022 Logging;2014 June;0
3404;Total entities with/without legal pers.;022 Logging;2014 2nd quarter;0
3405;Total entities with/without legal pers.;022 Logging;2014 July;0
3406;Total entities with/without legal pers.;022 Logging;2014 August;0
3407;Total entities with/without legal pers.;022 Logging;2014 September;0
3408;Total entities with/without legal pers.;022 Logging;2014 3rd quarter;0
3409;Total entities with/without legal pers.;022 Logging;2014 October;0
3410;Total entities with/without legal pers.;022 Logging;2014 November;0
3411;Total entities with/without legal pers.;022 Logging;2014 December;0
3412;Total entities with/without legal pers.;022 Logging;2014 4th quarter;0
3413;Total entities with/without legal pers.;022 Logging;2014;0
3414;Total entities with/without legal pers.;022 Logging;2015 January;0
3415;Total entities with/without legal pers.;022 Logging;2015 February;0
3416;Total entities with/without legal pers.;022 Logging;2015 March;1
3417;Total entities with/without legal pers.;022 Logging;2015 1st quarter;1
3418;Total entities with/without legal pers.;022 Logging;2015 April;0
3419;Total entities with/without legal pers.;022 Logging;2015 May;0
3420;Total entities with/without legal pers.;022 Logging;2015 June;0
3421;Total entities with/without legal pers.;022 Logging;2015 2nd quarter;0
3422;Total entities with/without legal pers.;022 Logging;2015 July;0
3423;Total entities with/without legal pers.;022 Logging;2015 August;0
3424;Total entities with/without legal pers.;022 Logging;2015 September;0
3425;Total entities with/without legal pers.;022 Logging;2015 3rd quarter;0
3426;Total entities with/without legal pers.;022 Logging;2015 October;0
3427;Total entities with/without legal pers.;022 Logging;2015 November;0
3428;Total entities with/without legal pers.;022 Logging;2015 December;0
3429;Total entities with/without legal pers.;022 Logging;2015 4th quarter;0
3430;Total entities with/without legal pers.;022 Logging;2015;1
3431;Total entities with/without legal pers.;022 Logging;2016 January;0
3432;Total entities with/without legal pers.;022 Logging;2016 February;0
3433;Total entities with/without legal pers.;022 Logging;2016 March;0
3434;Total entities with/without legal pers.;022 Logging;2016 1st quarter;0
3435;Total entities with/without legal pers.;022 Logging;2016 April;0
3436;Total entities with/without legal pers.;022 Logging;2016 May;0
3437;Total entities with/without legal pers.;022 Logging;2016 June;0
3438;Total entities with/without legal pers.;022 Logging;2016 2nd quarter;0
3439;Total entities with/without legal pers.;022 Logging;2016 July;0
3440;Total entities with/without legal pers.;022 Logging;2016 August;0
3441;Total entities with/without legal pers.;022 Logging;2016 September;0
3442;Total entities with/without legal pers.;022 Logging;2016 3rd quarter;0
3443;Total entities with/without legal pers.;022 Logging;2016 October;0
3444;Total entities with/without legal pers.;022 Logging;2016 November;0
3445;Total entities with/without legal pers.;022 Logging;2016 December;0
3446;Total entities with/without legal pers.;022 Logging;2016 4th quarter;0
3447;Total entities with/without legal pers.;022 Logging;2016;0
3448;Total entities with/without legal pers.;022 Logging;2017 January;0
3449;Total entities with/without legal pers.;022 Logging;2017 February;0
3450;Total entities with/without legal pers.;022 Logging;2017 March;0
3451;Total entities with/without legal pers.;022 Logging;2017 1st quarter;0
3452;Total entities with/without legal pers.;022 Logging;2017 April;0
3453;Total entities with/without legal pers.;022 Logging;2017 May;0
3454;Total entities with/without legal pers.;022 Logging;2017 June;0
3455;Total entities with/without legal pers.;022 Logging;2017 2nd quarter;0
3456;Total entities with/without legal pers.;022 Logging;2017 July;0
3457;Total entities with/without legal pers.;022 Logging;2017 August;0
3458;Total entities with/without legal pers.;022 Logging;2017 September;0
3459;Total entities with/without legal pers.;022 Logging;2017 3rd quarter;0
3460;Total entities with/without legal pers.;022 Logging;2017 October;0
3461;Total entities with/without legal pers.;022 Logging;2017 November;0
3462;Total entities with/without legal pers.;022 Logging;2017 December;0
3463;Total entities with/without legal pers.;022 Logging;2017 4th quarter;0
3464;Total entities with/without legal pers.;022 Logging;2017;0
3465;Total entities with/without legal pers.;022 Logging;2018 January;0
3466;Total entities with/without legal pers.;022 Logging;2018 February;0
3467;Total entities with/without legal pers.;022 Logging;2018 March;0
3468;Total entities with/without legal pers.;022 Logging;2018 1st quarter;0
3469;Total entities with/without legal pers.;022 Logging;2018 April;0
3470;Total entities with/without legal pers.;022 Logging;2018 May;0
3471;Total entities with/without legal pers.;022 Logging;2018 June;0
3472;Total entities with/without legal pers.;022 Logging;2018 2nd quarter;0
3473;Total entities with/without legal pers.;022 Logging;2018 July;0
3474;Total entities with/without legal pers.;022 Logging;2018 August;0
3475;Total entities with/without legal pers.;022 Logging;2018 September;0
3476;Total entities with/without legal pers.;022 Logging;2018 3rd quarter;0
3477;Total entities with/without legal pers.;022 Logging;2018 October;0
3478;Total entities with/without legal pers.;022 Logging;2018 November;0
3479;Total entities with/without legal pers.;022 Logging;2018 December;0
3480;Total entities with/without legal pers.;022 Logging;2018 4th quarter;0
3481;Total entities with/without legal pers.;022 Logging;2018;0
3482;Total entities with/without legal pers.;022 Logging;2019 January;0
3483;Total entities with/without legal pers.;022 Logging;2019 February;0
3484;Total entities with/without legal pers.;022 Logging;2019 March;0
3485;Total entities with/without legal pers.;022 Logging;2019 1st quarter;0
3486;Total entities with/without legal pers.;022 Logging;2019 April;0
3487;Total entities with/without legal pers.;022 Logging;2019 May;0
3488;Total entities with/without legal pers.;022 Logging;2019 June;0
3489;Total entities with/without legal pers.;022 Logging;2019 2nd quarter;0
3490;Total entities with/without legal pers.;022 Logging;2019 July;0
3491;Total entities with/without legal pers.;022 Logging;2019 August;0
3492;Total entities with/without legal pers.;022 Logging;2019 September;0
3493;Total entities with/without legal pers.;022 Logging;2019 3rd quarter;0
3494;Total entities with/without legal pers.;022 Logging;2019 October;0
3495;Total entities with/without legal pers.;022 Logging;2019 November;0
3496;Total entities with/without legal pers.;022 Logging;2019 December;0
3497;Total entities with/without legal pers.;022 Logging;2019 4th quarter;0
3498;Total entities with/without legal pers.;022 Logging;2019;0
3499;Total entities with/without legal pers.;022 Logging;2020 January;0
3500;Total entities with/without legal pers.;022 Logging;2020 February;0
3501;Total entities with/without legal pers.;022 Logging;2020 March;0
3502;Total entities with/without legal pers.;022 Logging;2020 1st quarter;0
3503;Total entities with/without legal pers.;022 Logging;2020 April;0
3504;Total entities with/without legal pers.;022 Logging;2020 May;0
3505;Total entities with/without legal pers.;022 Logging;2020 June;0
3506;Total entities with/without legal pers.;022 Logging;2020 2nd quarter;0
3507;Total entities with/without legal pers.;022 Logging;2020 July;0
