ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;DN_7;D66_8;GL_9;LN_10;LPF_11;NMP_12;PvdA_13;PvdT_14;RVP_15;SGP_16;SP_17;VSP_18;VIPOU_19;VVD_20;CDA_21;CU_22;DN_23;D66_24;GL_25;LN_26;LPF_27;NMP_28;PvdA_29;PvdT_30;RVP_31;SGP_32;SP_33;VSP_34;VIPOU_35;VVD_36;LandsdeelCode_37;ProvincieCode_38;KamerkieskringCode_39;CoropCode_40;GemeenteCode_41
407;Tytsjerksteradiel;23852;84.8;20223;20198;8394;776;9;738;1187;254;2187;3.0;3453;9.0;;148;852;;37;2151;41.6;3.8;0.0;3.7;5.9;1.3;10.8;0.0;17.1;0.0;;0.7;4.2;;0.2;10.6;1;21;02;04;0737
408;Ubbergen;7289;83.7;6103;6097;1962;22;1;335;584;61;735;;999;3.0;;5;455;9.0;23;903;32.2;0.4;0.0;5.5;9.6;1.0;12.1;;16.4;0.0;;0.1;7.5;0.1;0.4;14.8;2;25;06;15;0282
409;Uden;30199;78.1;23597;23568;8044;89;10;1110;1260;356;3987;8.0;2277;29.0;;16;2237;35.0;86;4024;34.1;0.4;0.0;4.7;5.3;1.5;16.9;0.0;9.7;0.1;;0.1;9.5;0.1;0.4;17.1;4;30;18;35;0856
410;Uitgeest;8667;85.3;7397;7390;1990;52;1;436;518;183;1239;3.0;1043;;;7;458;5.0;45;1410;26.9;0.7;0.0;5.9;7.0;2.5;16.8;0.0;14.1;;;0.1;6.2;0.1;0.6;19.1;3;27;11;20;0450
411;Uithoorn;19683;84.3;16593;16579;4485;175;9;967;872;289;2985;11.0;1926;14.0;;22;753;;98;3973;27.1;1.1;0.1;5.8;5.3;1.7;18.0;0.1;11.6;0.1;;0.1;4.5;;0.6;24.0;3;27;10;23;0451
412;Urk;9986;88.3;8814;8812;2932;2074;1;23;11;13;484;4.0;38;;;3136;33;3.0;1;59;33.3;23.5;0.0;0.3;0.1;0.1;5.5;0.0;0.4;;;35.6;0.4;0.0;0.0;0.7;2;24;05;40;0184
413;Utrecht;196586;78.0;153390;152842;26533;2182;259;12159;21867;2283;21140;;27969;91.0;;521;14346;154.0;418;22920;17.4;1.4;0.2;8.0;14.3;1.5;13.8;;18.3;0.1;;0.3;9.4;0.1;0.3;15.0;3;26;08;17;0344
414;Vaals;6145;71.6;4397;4393;1759;21;1;129;248;69;817;1.0;782;2.0;;3;136;5.0;26;394;40.0;0.5;0.0;2.9;5.6;1.6;18.6;0.0;17.8;0.0;;0.1;3.1;0.1;0.6;9.0;4;31;19;39;0981
415;Valkenburg;2719;85.6;2328;2326;1022;183;0;60;72;34;380;0.0;173;0.0;;28;50;0.0;3;321;43.9;7.9;0.0;2.6;3.1;1.5;16.3;0.0;7.4;0.0;;1.2;2.1;0.0;0.1;13.8;3;28;15;25;0619
416;Valkenburg aan de Geul;14303;80.1;11454;11448;5924;45;2;356;507;79;1842;1.0;902;6.0;;7;606;9.0;27;1135;51.7;0.4;0.0;3.1;4.4;0.7;16.1;0.0;7.9;0.1;;0.1;5.3;0.1;0.2;9.9;4;31;19;39;0994
417;Valkenswaard;23945;79.7;19076;19051;6422;88;2;862;1077;264;3535;9.0;2085;50.0;;11;1266;18.0;130;3232;33.7;0.5;0.0;4.5;5.7;1.4;18.6;0.0;10.9;0.3;;0.1;6.6;0.1;0.7;17.0;4;30;18;36;0858
418;Veendam;21885;74.5;16315;16299;2949;437;44;776;1074;349;2416;6.0;4889;22.0;;17;888;19.0;71;2342;18.1;2.7;0.3;4.8;6.6;2.1;14.8;0.0;30.0;0.1;;0.1;5.4;0.1;0.4;14.4;1;20;01;01;0047
419;Veenendaal;43279;83.6;36185;36150;11617;3870;16;1017;1585;431;5152;;3310;17.0;;3179;1098;26.0;63;4769;32.1;10.7;0.0;2.8;4.4;1.2;14.3;;9.2;0.0;;8.8;3.0;0.1;0.2;13.2;3;26;08;17;0345
420;Veere;16499;91.3;15062;15057;5240;655;4;520;739;209;1633;3.0;1369;7.0;;1820;485;;48;2325;34.8;4.4;0.0;3.5;4.9;1.4;10.8;0.0;9.1;0.0;;12.1;3.2;;0.3;15.4;3;29;16;32;0717
421;Veghel;26616;80.3;21369;21346;8702;55;20;919;1021;331;3440;3.0;2239;33.0;;19;1211;18.0;76;3259;40.8;0.3;0.1;4.3;4.8;1.6;16.1;0.0;10.5;0.2;;0.1;5.7;0.1;0.4;15.3;4;30;18;35;0860
422;Veldhoven;31941;80.1;25583;25547;8632;215;6;1366;1439;454;4355;10.0;2652;47.0;;16;1809;26.0;110;4410;33.8;0.8;0.0;5.3;5.6;1.8;17.0;0.0;10.4;0.2;;0.1;7.1;0.1;0.4;17.3;4;30;18;36;0861
423;Velsen;50476;80.1;40407;40354;9370;815;11;2178;2505;969;8076;13.0;6299;36.0;;99;2581;;278;7124;23.2;2.0;0.0;5.4;6.2;2.4;20.0;0.0;15.6;0.1;;0.2;6.4;;0.7;17.7;3;27;10;20;0453
424;Venhuizen;5771;85.2;4915;4904;1354;23;1;241;246;133;899;1.0;551;;;6;249;3.0;16;1181;27.6;0.5;0.0;4.9;5.0;2.7;18.3;0.0;11.2;;;0.1;5.1;0.1;0.3;24.1;3;27;11;18;0454
425;Venlo;67093;71.8;48167;48105;15674;185;71;2054;3656;783;10297;19.0;5690;37.0;;44;2082;70.0;285;7158;32.6;0.4;0.1;4.3;7.6;1.6;21.4;0.0;11.8;0.1;;0.1;4.3;0.1;0.6;14.9;4;31;19;37;0983
426;Venray;28380;75.3;21373;21355;8308;58;26;998;1379;293;3508;6.0;2523;11.0;;14;1243;39.0;126;2823;38.9;0.3;0.1;4.7;6.5;1.4;16.4;0.0;11.8;0.1;;0.1;5.8;0.2;0.6;13.2;4;31;19;37;0984
427;Vianen;14563;82.4;12003;11989;3474;233;4;532;623;270;2321;;1758;7.0;;366;640;10.0;26;1725;29.0;1.9;0.0;4.4;5.2;2.3;19.4;;14.7;0.1;;3.1;5.3;0.1;0.2;14.4;3;26;08;17;0620
428;Vlaardingen;56770;76.3;43295;43245;10175;892;43;1775;2249;776;10894;15.0;6715;25.0;;789;2963;49.0;179;5706;23.5;2.1;0.1;4.1;5.2;1.8;25.2;0.0;15.5;0.1;;1.8;6.9;0.1;0.4;13.2;3;28;14;29;0622
429;Vlagtwedde;13052;74.1;9672;9662;2860;235;2;334;508;156;1570;0.0;2325;6.0;;26;479;3.0;28;1130;29.6;2.4;0.0;3.5;5.3;1.6;16.2;0.0;24.1;0.1;;0.3;5.0;0.0;0.3;11.7;1;20;01;01;0048
430;Vlieland;861;113.0;977;974;178;9;0;55;79;21;140;0.0;148;2.0;;8;56;;16;262;18.3;0.9;0.0;5.6;8.1;2.2;14.4;0.0;15.2;0.2;;0.8;5.7;;1.6;26.9;1;21;02;04;0096
431;Vlissingen;34529;73.7;25455;25424;6359;634;32;1147;1655;492;5044;8.0;4018;20.0;;460;1791;;151;3613;25.0;2.5;0.1;4.5;6.5;1.9;19.8;0.0;15.8;0.1;;1.8;7.0;;0.6;14.2;3;29;16;32;0718
432;Vlist;7371;87.1;6417;6411;1904;243;1;286;203;122;1119;2.0;708;10.0;;554;214;7.0;28;1010;29.7;3.8;0.0;4.5;3.2;1.9;17.5;0.0;11.0;0.2;;8.6;3.3;0.1;0.4;15.8;3;28;15;28;0623
433;Voerendaal;10203;80.6;8219;8213;3675;20;1;363;414;85;1319;1.0;989;4.0;;5;381;4.0;6;946;44.7;0.2;0.0;4.4;5.0;1.0;16.1;0.0;12.0;0.0;;0.1;4.6;0.0;0.1;11.5;4;31;19;39;0986
434;Voorhout;10079;88.0;8874;8860;2967;69;4;533;499;100;1461;0.0;748;4.0;;21;392;5.0;14;2043;33.5;0.8;0.0;6.0;5.6;1.1;16.5;0.0;8.4;0.0;;0.2;4.4;0.1;0.2;23.1;3;28;15;25;0625
435;Voorschoten;16388;85.9;14084;14067;3959;169;4;999;991;152;2180;2.0;1457;4.0;;78;552;15.0;49;3456;28.1;1.2;0.0;7.1;7.0;1.1;15.5;0.0;10.4;0.0;;0.6;3.9;0.1;0.3;24.6;3;28;15;25;0626
436;Voorst;17985;82.4;14827;14816;5781;143;4;692;781;215;1637;2.0;2304;15.0;;211;533;9.0;47;2442;39.0;1.0;0.0;4.7;5.3;1.5;11.0;0.0;15.6;0.1;;1.4;3.6;0.1;0.3;16.5;2;25;07;13;0285
437;Vorden;6667;86.1;5739;5734;2309;62;1;275;289;66;597;0.0;794;1.0;;12;255;3.0;10;1060;40.3;1.1;0.0;4.8;5.0;1.2;10.4;0.0;13.8;0.0;;0.2;4.4;0.1;0.2;18.5;2;25;07;14;0286
438;Vriezenveen;24783;80.9;20053;20043;9951;1892;7;390;543;233;1829;7.0;2718;5.0;;621;540;8.0;36;1263;49.6;9.4;0.0;1.9;2.7;1.2;9.1;0.0;13.6;0.0;;3.1;2.7;0.0;0.2;6.3;2;23;04;12;0186
439;Vught;19156;80.5;15425;15399;4765;61;7;986;1122;170;2192;0.0;1993;13.0;;14;954;10.0;56;3056;30.9;0.4;0.0;6.4;7.3;1.1;14.2;0.0;12.9;0.1;;0.1;6.2;0.1;0.4;19.8;4;30;18;35;0865
440;Waalre;12171;85.5;10405;10394;3511;49;3;555;523;127;1609;2.0;985;40.0;;5;500;7.0;42;2436;33.8;0.5;0.0;5.3;5.0;1.2;15.5;0.0;9.5;0.4;;0.0;4.8;0.1;0.4;23.4;4;30;18;36;0866
441;Waalwijk;34806;76.7;26705;26679;8482;499;22;1081;1476;456;5155;6.0;2988;36.0;;575;1546;33.0;171;4153;31.8;1.9;0.1;4.1;5.5;1.7;19.3;0.0;11.2;0.1;;2.2;5.8;0.1;0.6;15.6;4;30;17;34;0867
442;Waddinxveen;19632;84.4;16579;16562;4730;1074;9;841;622;281;3006;4.0;1709;15.0;;1061;522;22.0;54;2612;28.6;6.5;0.1;5.1;3.8;1.7;18.1;0.0;10.3;0.1;;6.4;3.2;0.1;0.3;15.8;3;28;15;28;0627
443;Wageningen;25600;81.6;20899;20899;4386;661;17;1571;3212;215;1725;5.0;4104;8.0;;256;1831;25.0;45;2838;21.0;3.2;0.1;7.5;15.4;1.0;8.3;0.0;19.6;0.0;;1.2;8.8;0.1;0.2;13.6;2;25;07;13;0289
444;Warmond;3857;86.1;3319;3314;1189;13;1;216;163;52;578;0.0;286;1.0;;11;151;2.0;13;638;35.9;0.4;0.0;6.5;4.9;1.6;17.4;0.0;8.6;0.0;;0.3;4.6;0.1;0.4;19.3;3;28;15;25;0628
445;Warnsveld;6867;84.0;5767;5760;1535;134;1;430;441;62;566;1.0;1066;3.0;;9;410;3.0;6;1093;26.6;2.3;0.0;7.5;7.7;1.1;9.8;0.0;18.5;0.1;;0.2;7.1;0.1;0.1;19.0;2;25;07;14;0291
446;Wassenaar;17876;86.2;15412;15390;4126;97;2;629;526;145;2894;2.0;925;5.0;;30;369;15.0;39;5586;26.8;0.6;0.0;4.1;3.4;0.9;18.8;0.0;6.0;0.0;;0.2;2.4;0.1;0.3;36.3;3;28;15;26;0629
447;Wateringen;11928;85.5;10202;10189;3891;100;3;401;328;202;2352;0.0;732;4.0;;26;294;6.0;27;1823;38.2;1.0;0.0;3.9;3.2;2.0;23.1;0.0;7.2;0.0;;0.3;2.9;0.1;0.3;17.9;3;28;14;27;0630
448;Waterland;13059;88.1;11501;11489;2944;112;0;623;768;254;2299;6.0;1555;;;22;702;7.0;74;2123;25.6;1.0;0.0;5.4;6.7;2.2;20.0;0.1;13.5;;;0.2;6.1;0.1;0.6;18.5;3;27;11;23;0852
449;Weert;36660;75.7;27748;27711;8509;99;15;1206;1366;419;5735;1.0;3183;18.0;;16;1439;28.0;119;5558;30.7;0.4;0.1;4.4;4.9;1.5;20.7;0.0;11.5;0.1;;0.1;5.2;0.1;0.4;20.1;4;31;19;38;0988
450;Weesp;13559;80.8;10951;10946;2466;118;8;644;850;213;1994;5.0;1677;7.0;;41;726;;218;1979;22.5;1.1;0.1;5.9;7.8;1.9;18.2;0.0;15.3;0.1;;0.4;6.6;;2.0;18.1;3;27;10;24;0457
451;Wehl;5127;78.2;4008;4005;1952;5;3;110;161;40;604;1.0;574;3.0;;5;155;2.0;12;378;48.7;0.1;0.1;2.7;4.0;1.0;15.1;0.0;14.3;0.1;;0.1;3.9;0.0;0.3;9.4;2;25;07;14;0292
452;Werkendam;19589;83.4;16329;16316;5884;777;2;427;490;224;2611;2.0;1726;10.0;;1728;521;10.0;38;1866;36.1;4.8;0.0;2.6;3.0;1.4;16.0;0.0;10.6;0.1;;10.6;3.2;0.1;0.2;11.4;4;30;17;34;0870
453;Wervershoof;6226;85.9;5350;5342;2137;24;4;231;266;156;1063;3.0;441;;;6;196;4.0;31;780;40.0;0.4;0.1;4.3;5.0;2.9;19.9;0.1;8.3;;;0.1;3.7;0.1;0.6;14.6;3;27;11;18;0459
454;West Maas en Waal;14108;83.6;11801;11796;4519;31;3;434;635;148;2071;;1476;3.0;;8;624;13.0;41;1790;38.3;0.3;0.0;3.7;5.4;1.3;17.6;;12.5;0.0;;0.1;5.3;0.1;0.3;15.2;2;25;06;16;0668
455;Wester-Koggenland;10175;85.1;8655;8641;3149;30;0;391;414;230;1306;5.0;922;;;8;427;7.0;39;1713;36.4;0.3;0.0;4.5;4.8;2.7;15.1;0.1;10.7;;;0.1;4.9;0.1;0.5;19.8;3;27;11;18;0558
456;Westerveld;14847;86.7;12870;12859;2840;156;3;615;764;198;1647;1.0;3185;6.0;;37;620;8.0;28;2751;22.1;1.2;0.0;4.8;5.9;1.5;12.8;0.0;24.8;0.0;;0.3;4.8;0.1;0.2;21.4;1;22;03;09;1701
457;Westervoort;11749;79.3;9322;9315;2428;146;0;546;832;163;1533;1.0;1602;4.0;;10;618;13.0;26;1393;26.1;1.6;0.0;5.9;8.9;1.7;16.5;0.0;17.2;0.0;;0.1;6.6;0.1;0.3;15.0;2;25;07;15;0293
458;Weststellingwerf;19663;78.5;15431;15413;4149;248;1;561;894;269;2437;4.0;3589;18.0;;35;817;;49;2342;26.9;1.6;0.0;3.6;5.8;1.7;15.8;0.0;23.3;0.1;;0.2;5.3;;0.3;15.2;1;21;02;06;0098
459;Westvoorne;11026;83.9;9256;9250;2098;52;4;470;286;186;2261;3.0;1105;5.0;;50;345;1.0;31;2353;22.7;0.6;0.0;5.1;3.1;2.0;24.4;0.0;11.9;0.1;;0.5;3.7;0.0;0.3;25.4;3;28;14;29;0614
460;Wierden;17359;87.6;15206;15201;7993;1048;3;359;453;136;1495;1.0;1280;7.0;;393;353;9.0;29;1642;52.6;6.9;0.0;2.4;3.0;0.9;9.8;0.0;8.4;0.0;;2.6;2.3;0.1;0.2;10.8;2;23;04;12;0189
461;Wieringen;6499;78.6;5106;5100;979;31;1;222;237;126;1044;1.0;857;;;5;338;5.0;235;1019;19.2;0.6;0.0;4.4;4.6;2.5;20.5;0.0;16.8;;;0.1;6.6;0.1;4.6;20.0;3;27;11;18;0462
462;Wieringermeer;9497;83.8;7961;7952;2588;202;2;340;339;171;1485;8.0;914;;;51;364;2.0;62;1424;32.5;2.5;0.0;4.3;4.3;2.2;18.7;0.1;11.5;;;0.6;4.6;0.0;0.8;17.9;3;27;11;18;0463
463;Wijchen;29048;81.6;23716;23678;7871;96;11;1222;1549;347;3865;;3335;20.0;;6;1498;26.0;93;3739;33.2;0.4;0.0;5.2;6.5;1.5;16.3;;14.1;0.1;;0.0;6.3;0.1;0.4;15.8;2;25;06;15;0296
464;Wijdemeren;17890;86.2;15422;15400;4528;200;1;864;804;242;2828;2.0;1521;11.0;;100;734;;80;3485;29.4;1.3;0.0;5.6;5.2;1.6;18.4;0.0;9.9;0.1;;0.6;4.8;;0.5;22.6;3;27;10;24;1696
465;Wijk bij Duurstede;16909;83.3;14081;14064;4042;244;10;707;1018;284;2259;;1651;10.0;;290;811;13.0;34;2691;28.7;1.7;0.1;5.0;7.2;2.0;16.1;;11.7;0.1;;2.1;5.8;0.1;0.2;19.1;3;26;08;17;0352
466;Winschoten;14709;73.5;10806;10790;1911;363;2;484;862;148;1732;4.0;3241;4.0;;21;586;4.0;31;1397;17.7;3.4;0.0;4.5;8.0;1.4;16.1;0.0;30.0;0.0;;0.2;5.4;0.0;0.3;12.9;1;20;01;01;0052
467;Winsum;10287;86.1;8857;8844;2675;650;2;426;761;116;754;0.0;1871;2.0;;38;554;2.0;11;982;30.2;7.3;0.0;4.8;8.6;1.3;8.5;0.0;21.2;0.0;;0.4;6.3;0.0;0.1;11.1;1;20;01;03;0053
468;Winterswijk;22026;79.7;17560;17542;4640;184;13;844;1029;219;1929;3.0;4108;16.0;;22;829;12.0;67;3627;26.5;1.0;0.1;4.8;5.9;1.2;11.0;0.0;23.4;0.1;;0.1;4.7;0.1;0.4;20.7;2;25;07;14;0294
469;Wisch;14991;78.4;11756;11741;4581;168;11;488;583;163;1581;0.0;1835;10.0;;8;565;3.0;30;1715;39.0;1.4;0.1;4.2;5.0;1.4;13.5;0.0;15.6;0.1;;0.1;4.8;0.0;0.3;14.6;2;25;07;14;0295
470;Woensdrecht;15723;74.9;11782;11770;3658;47;11;503;507;242;2659;2.0;1269;12.0;;16;496;18.0;84;2246;31.1;0.4;0.1;4.3;4.3;2.1;22.6;0.0;10.8;0.1;;0.1;4.2;0.2;0.7;19.1;4;30;17;33;0873
471;Woerden;35029;85.1;29816;29791;10011;1121;3;1615;1727;461;4678;;2938;20.0;;911;1337;21.0;78;4870;33.6;3.8;0.0;5.4;5.8;1.5;15.7;;9.9;0.1;;3.1;4.5;0.1;0.3;16.3;3;26;08;17;0632
472;Wognum;5941;85.3;5069;5067;2149;21;2;301;261;106;766;1.0;428;;;1;200;2.0;29;800;42.4;0.4;0.0;5.9;5.2;2.1;15.1;0.0;8.4;;;0.0;3.9;0.0;0.6;15.8;3;27;11;18;0466
473;De Wolden;18090;84.1;15222;15215;4426;420;2;646;745;239;1659;2.0;2865;12.0;;60;620;16.0;62;3441;29.1;2.8;0.0;4.2;4.9;1.6;10.9;0.0;18.8;0.1;;0.4;4.1;0.1;0.4;22.6;1;22;03;09;1690
474;Wormerland;11680;84.7;9898;9891;2241;122;10;595;1005;236;1612;4.0;1454;;;16;698;9.0;63;1826;22.7;1.2;0.1;6.0;10.2;2.4;16.3;0.0;14.7;;;0.2;7.1;0.1;0.6;18.5;3;27;11;22;0880
475;Woudenberg;7965;87.2;6944;6938;2320;518;1;246;256;67;820;;550;6.0;;909;234;9.0;10;992;33.4;7.5;0.0;3.5;3.7;1.0;11.8;;7.9;0.1;;13.1;3.4;0.1;0.1;14.3;3;26;08;17;0351
476;Woudrichem;10792;83.1;8972;8962;3631;807;2;258;278;116;1226;0.0;909;5.0;;356;345;2.0;11;1016;40.5;9.0;0.0;2.9;3.1;1.3;13.7;0.0;10.1;0.1;;4.0;3.8;0.0;0.1;11.3;4;30;17;34;0874
477;Wûnseradiel;8759;85.5;7488;7486;3124;144;1;265;389;110;1004;0.0;1082;11.0;;14;418;;15;909;41.7;1.9;0.0;3.5;5.2;1.5;13.4;0.0;14.5;0.1;;0.2;5.6;;0.2;12.1;1;21;02;05;0710
478;Wymbritseradiel;11787;85.8;10116;10110;4941;254;1;377;606;135;1036;0.0;1075;4.0;;30;407;;18;1226;48.9;2.5;0.0;3.7;6.0;1.3;10.2;0.0;10.6;0.0;;0.3;4.0;;0.2;12.1;1;21;02;05;0683
479;Zaanstad;102645;79.1;81235;81120;15023;1141;218;4577;6930;2072;15847;37.0;14512;;;213;6947;121.0;547;12935;18.5;1.4;0.3;5.6;8.5;2.6;19.5;0.0;17.9;;;0.3;8.6;0.1;0.7;15.9;3;27;11;22;0479
480;Zaltbommel;18754;82.8;15534;15519;4120;818;2;621;743;164;2010;;2126;10.0;;1965;628;13.0;34;2265;26.5;5.3;0.0;4.0;4.8;1.1;13.0;;13.7;0.1;;12.7;4.0;0.1;0.2;14.6;2;25;06;16;0297
481;Zandvoort;13234;79.8;10561;10546;1879;44;11;575;502;199;2775;2.0;1320;4.0;;4;491;;147;2593;17.8;0.4;0.1;5.5;4.8;1.9;26.3;0.0;12.5;0.0;;0.0;4.7;;1.4;24.6;3;27;10;21;0473
482;Zederik;9985;89.8;8966;8946;3405;663;3;214;170;99;1161;0.0;974;1.0;;1045;203;2.0;19;987;38.1;7.4;0.0;2.4;1.9;1.1;13.0;0.0;10.9;0.0;;11.7;2.3;0.0;0.2;11.0;3;28;14;30;0707
483;Zeevang;4753;86.0;4087;4075;661;15;0;250;278;86;714;2.0;593;;;4;249;3.0;39;1181;16.2;0.4;0.0;6.1;6.8;2.1;17.5;0.0;14.6;;;0.1;6.1;0.1;1.0;29.0;3;27;11;23;0478
484;Zeewolde;12215;86.6;10583;10579;2974;866;0;482;555;186;1768;0.0;934;;;96;337;8.0;17;2356;28.1;8.2;0.0;4.6;5.2;1.8;16.7;0.0;8.8;;;0.9;3.2;0.1;0.2;22.3;2;24;05;40;0050
485;Zeist;45387;81.7;37080;37041;8720;1075;9;2211;3341;610;6056;;4669;13.0;;816;2201;62.0;102;7156;23.5;2.9;0.0;6.0;9.0;1.6;16.3;;12.6;0.0;;2.2;5.9;0.2;0.3;19.3;3;26;08;17;0355
486;Zelhem;8693;79.8;6938;6934;2611;101;1;284;292;97;868;1.0;1143;3.0;;113;271;0.0;20;1129;37.7;1.5;0.0;4.1;4.2;1.4;12.5;0.0;16.5;0.0;;1.6;3.9;0.0;0.3;16.3;2;25;07;14;0298
487;Zevenaar;20376;79.4;16187;16176;5550;95;0;893;1046;230;2378;2.0;2490;10.0;;20;966;21.0;57;2418;34.3;0.6;0.0;5.5;6.5;1.4;14.7;0.0;15.4;0.1;;0.1;6.0;0.1;0.4;14.9;2;25;07;15;0299
488;Zevenhuizen-Moerkapelle;7313;87.6;6406;6398;1717;369;0;226;147;106;1161;4.0;720;3.0;;768;132;3.0;22;1020;26.8;5.8;0.0;3.5;2.3;1.7;18.1;0.1;11.3;0.0;;12.0;2.1;0.0;0.3;15.9;3;28;15;28;1666
489;Zijpe;8554;84.2;7201;7191;1984;45;4;350;414;206;1190;6.0;1069;;;8;372;4.0;56;1483;27.6;0.6;0.1;4.9;5.8;2.9;16.5;0.1;14.9;;;0.1;5.2;0.1;0.8;20.6;3;27;11;18;0476
490;Zoetermeer;82029;80.5;65993;65922;15158;1365;37;4669;3991;1089;13119;6.0;9142;32.0;;659;4107;145.0;179;12224;23.0;2.1;0.1;7.1;6.1;1.7;19.9;0.0;13.9;0.0;;1.0;6.2;0.2;0.3;18.5;3;28;15;26;0637
491;Zoeterwoude;6359;83.7;5323;5315;2079;23;1;296;353;66;893;0.0;493;2.0;;42;251;4.0;13;799;39.1;0.4;0.0;5.6;6.6;1.2;16.8;0.0;9.3;0.0;;0.8;4.7;0.1;0.2;15.0;3;28;15;25;0638
492;Zuidhorn;13179;88.5;11666;11644;3931;1693;4;426;751;112;932;0.0;1844;7.0;;139;503;5.0;30;1267;33.8;14.5;0.0;3.7;6.4;1.0;8.0;0.0;15.8;0.1;;1.2;4.3;0.0;0.3;10.9;1;20;01;03;0056
493;Zundert;15141;73.9;11194;11180;4370;42;4;423;500;226;1993;1.0;1186;8.0;;3;507;5.0;43;1869;39.1;0.4;0.0;3.8;4.5;2.0;17.8;0.0;10.6;0.1;;0.0;4.5;0.0;0.4;16.7;4;30;17;33;0879
494;Zutphen;27304;79.5;21695;21663;4326;487;19;1391;2375;277;2732;4.0;4880;9.0;;34;2080;32.0;62;2955;20.0;2.2;0.1;6.4;11.0;1.3;12.6;0.0;22.5;0.0;;0.2;9.6;0.1;0.3;13.6;2;25;07;14;0301
495;Zwartewaterland;15263;86.9;13257;13247;4694;1940;4;237;330;162;1114;1.0;1315;3.0;;2117;294;5.0;22;1009;35.4;14.6;0.0;1.8;2.5;1.2;8.4;0.0;9.9;0.0;;16.0;2.2;0.0;0.2;7.6;2;23;04;10;1896
496;Zwijndrecht;31527;80.9;25493;25465;6800;1253;34;1007;1023;465;5594;12.0;3427;8.0;;996;1108;40.0;125;3573;26.7;4.9;0.1;4.0;4.0;1.8;22.0;0.0;13.5;0.0;;3.9;4.4;0.2;0.5;14.0;3;28;14;30;0642
497;Zwolle;83543;81.0;67651;67596;18387;5184;35;3599;6862;834;7057;17.0;12056;30.0;;415;4273;53.0;194;8600;27.2;7.7;0.1;5.3;10.2;1.2;10.4;0.0;17.8;0.0;;0.6;6.3;0.1;0.3;12.7;2;23;04;10;0193
498;Noord-Nederland (landsdeel);1288289;80.3;1033914;1032800;283412;43708;521;48764;75159;14848;126737;218.0;229920;719.0;;4695;60474;557.0;2984;140084;27.4;4.2;0.1;4.7;7.3;1.4;12.3;0.0;22.3;0.1;;0.5;5.9;0.1;0.3;13.6;1;  ;  ;  ;    
499;Oost-Nederland (landsdeel);2519497;81.0;2041421;2039203;653631;79461;1262;92849;135893;28287;275278;365.0;310339;1046.0;;58928;104877;2181.0;6485;288321;32.1;3.9;0.1;4.6;6.7;1.4;13.5;0.0;15.2;0.1;;2.9;5.1;0.1;0.3;14.1;2;  ;  ;  ;    
500;West-Nederland (landsdeel);5564928;79.3;4415638;4407266;1032536;105708;5373;247087;317618;76324;847817;1204.0;653317;2265.0;63.0;93663;260426;4697.0;19609;739559;23.4;2.4;0.1;5.6;7.2;1.7;19.2;0.0;14.8;0.1;0.0;2.1;5.9;0.1;0.4;16.8;3;  ;  ;  ;    
501;Zuid-Nederland (landsdeel);2663221;76.0;2024253;2021883;684144;12076;1902;95617;132022;33596;364969;518.0;242447;2363.0;;6276;134670;2598.0;9927;298758;33.8;0.6;0.1;4.7;6.5;1.7;18.1;0.0;12.0;0.1;;0.3;6.7;0.1;0.5;14.8;4;  ;  ;  ;    
502;Groningen (provincie);442639;78.7;348224;347798;77221;19192;221;18220;31120;4881;42432;86.0;83174;228.0;;1341;23923;306.0;982;44471;22.2;5.5;0.1;5.2;8.9;1.4;12.2;0.0;23.9;0.1;;0.4;6.9;0.1;0.3;12.8;1;20;  ;  ;    
503;Friesland;480774;81.9;393729;393274;130364;14473;156;16507;26010;5867;48403;76.0;77335;292.0;;2235;21926;;1111;48519;33.1;3.7;0.0;4.2;6.6;1.5;12.3;0.0;19.7;0.1;;0.6;5.6;;0.3;12.3;1;21;  ;  ;    
504;Drenthe;364876;80.0;291961;291728;75827;10043;144;14037;18029;4100;35902;56.0;69411;199.0;;1119;14625;251.0;891;47094;26.0;3.4;0.0;4.8;6.2;1.4;12.3;0.0;23.8;0.1;;0.4;5.0;0.1;0.3;16.1;1;22;  ;  ;    
505;Overijssel;816105;81.5;664913;664305;245316;34606;304;27086;39197;8538;74100;144.0;104501;344.0;;15834;31321;678.0;1912;80424;36.9;5.2;0.0;4.1;5.9;1.3;11.2;0.0;15.7;0.1;;2.4;4.7;0.1;0.3;12.1;2;23;  ;  ;    
506;Flevoland;238296;78.7;187509;187327;44251;8337;127;9316;12643;4140;36082;71.0;25744;;;4219;8946;221.0;947;32283;23.6;4.5;0.1;5.0;6.7;2.2;19.3;0.0;13.7;;;2.3;4.8;0.1;0.5;17.2;2;24;  ;  ;    
507;Gelderland;1465096;81.2;1188999;1187571;364064;36518;831;56447;84053;15609;165096;150.0;180094;702.0;;38875;64610;1282.0;3626;175614;30.7;3.1;0.1;4.8;7.1;1.3;13.9;0.0;15.2;0.1;;3.3;5.4;0.1;0.3;14.8;2;25;  ;  ;    
508;Utrecht (provincie);845981;82.4;697100;696006;180113;25587;479;41278;58769;11014;105525;;91502;399.0;;15887;41450;670.0;2100;121233;25.9;3.7;0.1;5.9;8.4;1.6;15.2;;13.1;0.1;;2.3;6.0;0.1;0.3;17.4;3;26;  ;  ;    
