ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
545;Listed monuments total;Flevoland (PV);2015;105
546;Listed monuments total;Flevoland (PV);2016;106
547;Listed monuments total;Flevoland (PV);2017;109
548;Listed monuments total;Flevoland (PV);2018;109
549;Listed monuments total;Flevoland (PV);2019;109
550;Listed monuments total;Gelderland (PV);1965;311
551;Listed monuments total;Gelderland (PV);1966;1013
552;Listed monuments total;Gelderland (PV);1967;1246
553;Listed monuments total;Gelderland (PV);1968;1353
554;Listed monuments total;Gelderland (PV);1969;1394
555;Listed monuments total;Gelderland (PV);1970;1695
556;Listed monuments total;Gelderland (PV);1971;2638
557;Listed monuments total;Gelderland (PV);1972;2660
558;Listed monuments total;Gelderland (PV);1973;2835
559;Listed monuments total;Gelderland (PV);1974;2922
560;Listed monuments total;Gelderland (PV);1975;2984
561;Listed monuments total;Gelderland (PV);1976;3085
562;Listed monuments total;Gelderland (PV);1977;3141
563;Listed monuments total;Gelderland (PV);1978;3197
564;Listed monuments total;Gelderland (PV);1979;3213
565;Listed monuments total;Gelderland (PV);1980;3259
566;Listed monuments total;Gelderland (PV);1981;3291
567;Listed monuments total;Gelderland (PV);1982;3308
568;Listed monuments total;Gelderland (PV);1983;3325
569;Listed monuments total;Gelderland (PV);1984;3339
570;Listed monuments total;Gelderland (PV);1985;3347
571;Listed monuments total;Gelderland (PV);1986;3363
572;Listed monuments total;Gelderland (PV);1987;3381
573;Listed monuments total;Gelderland (PV);1988;3389
574;Listed monuments total;Gelderland (PV);1989;3392
575;Listed monuments total;Gelderland (PV);1990;3404
576;Listed monuments total;Gelderland (PV);1991;3415
577;Listed monuments total;Gelderland (PV);1992;3435
578;Listed monuments total;Gelderland (PV);1993;3480
579;Listed monuments total;Gelderland (PV);1994;3506
580;Listed monuments total;Gelderland (PV);1995;3509
581;Listed monuments total;Gelderland (PV);1996;3510
582;Listed monuments total;Gelderland (PV);1997;3518
583;Listed monuments total;Gelderland (PV);1998;3531
584;Listed monuments total;Gelderland (PV);1999;3643
585;Listed monuments total;Gelderland (PV);2000;4095
586;Listed monuments total;Gelderland (PV);2001;4470
587;Listed monuments total;Gelderland (PV);2002;5127
588;Listed monuments total;Gelderland (PV);2003;5201
589;Listed monuments total;Gelderland (PV);2004;5417
590;Listed monuments total;Gelderland (PV);2005;5732
591;Listed monuments total;Gelderland (PV);2006;5972
592;Listed monuments total;Gelderland (PV);2007;6062
593;Listed monuments total;Gelderland (PV);2008;6089
594;Listed monuments total;Gelderland (PV);2009;6094
595;Listed monuments total;Gelderland (PV);2010;6235
596;Listed monuments total;Gelderland (PV);2011;6272
597;Listed monuments total;Gelderland (PV);2012;6402
598;Listed monuments total;Gelderland (PV);2013;6408
599;Listed monuments total;Gelderland (PV);2014;6486
600;Listed monuments total;Gelderland (PV);2015;6535
601;Listed monuments total;Gelderland (PV);2016;6547
602;Listed monuments total;Gelderland (PV);2017;6562
603;Listed monuments total;Gelderland (PV);2018;6564
604;Listed monuments total;Gelderland (PV);2019;6563
605;Listed monuments total;Utrecht (PV);1965;107
606;Listed monuments total;Utrecht (PV);1966;701
607;Listed monuments total;Utrecht (PV);1967;1592
608;Listed monuments total;Utrecht (PV);1968;1714
609;Listed monuments total;Utrecht (PV);1969;1750
610;Listed monuments total;Utrecht (PV);1970;1941
611;Listed monuments total;Utrecht (PV);1971;2170
612;Listed monuments total;Utrecht (PV);1972;2474
613;Listed monuments total;Utrecht (PV);1973;2756
614;Listed monuments total;Utrecht (PV);1974;2811
615;Listed monuments total;Utrecht (PV);1975;2939
616;Listed monuments total;Utrecht (PV);1976;2981
617;Listed monuments total;Utrecht (PV);1977;3003
618;Listed monuments total;Utrecht (PV);1978;3033
619;Listed monuments total;Utrecht (PV);1979;3049
620;Listed monuments total;Utrecht (PV);1980;3056
621;Listed monuments total;Utrecht (PV);1981;3061
622;Listed monuments total;Utrecht (PV);1982;3074
623;Listed monuments total;Utrecht (PV);1983;3080
624;Listed monuments total;Utrecht (PV);1984;3083
625;Listed monuments total;Utrecht (PV);1985;3106
626;Listed monuments total;Utrecht (PV);1986;3117
627;Listed monuments total;Utrecht (PV);1987;3120
628;Listed monuments total;Utrecht (PV);1988;3130
629;Listed monuments total;Utrecht (PV);1989;3135
630;Listed monuments total;Utrecht (PV);1990;3180
631;Listed monuments total;Utrecht (PV);1991;3226
632;Listed monuments total;Utrecht (PV);1992;3434
633;Listed monuments total;Utrecht (PV);1993;3488
634;Listed monuments total;Utrecht (PV);1994;3502
635;Listed monuments total;Utrecht (PV);1995;3502
636;Listed monuments total;Utrecht (PV);1996;3509
637;Listed monuments total;Utrecht (PV);1997;3582
638;Listed monuments total;Utrecht (PV);1998;3714
639;Listed monuments total;Utrecht (PV);1999;3994
640;Listed monuments total;Utrecht (PV);2000;4202
641;Listed monuments total;Utrecht (PV);2001;4696
642;Listed monuments total;Utrecht (PV);2002;4857
643;Listed monuments total;Utrecht (PV);2003;4907
644;Listed monuments total;Utrecht (PV);2004;4996
645;Listed monuments total;Utrecht (PV);2005;5091
646;Listed monuments total;Utrecht (PV);2006;5200
647;Listed monuments total;Utrecht (PV);2007;5260
648;Listed monuments total;Utrecht (PV);2008;5262
649;Listed monuments total;Utrecht (PV);2009;5292
650;Listed monuments total;Utrecht (PV);2010;5304
651;Listed monuments total;Utrecht (PV);2011;5449
652;Listed monuments total;Utrecht (PV);2012;5563
653;Listed monuments total;Utrecht (PV);2013;5616
654;Listed monuments total;Utrecht (PV);2014;5686
655;Listed monuments total;Utrecht (PV);2015;5719
656;Listed monuments total;Utrecht (PV);2016;5871
657;Listed monuments total;Utrecht (PV);2017;5874
658;Listed monuments total;Utrecht (PV);2018;5874
659;Listed monuments total;Utrecht (PV);2019;5873
660;Listed monuments total;Noord-Holland (PV);1965;376
661;Listed monuments total;Noord-Holland (PV);1966;722
662;Listed monuments total;Noord-Holland (PV);1967;1224
663;Listed monuments total;Noord-Holland (PV);1968;1421
664;Listed monuments total;Noord-Holland (PV);1969;2795
665;Listed monuments total;Noord-Holland (PV);1970;9214
666;Listed monuments total;Noord-Holland (PV);1971;9336
667;Listed monuments total;Noord-Holland (PV);1972;9453
668;Listed monuments total;Noord-Holland (PV);1973;9769
669;Listed monuments total;Noord-Holland (PV);1974;10088
670;Listed monuments total;Noord-Holland (PV);1975;10221
671;Listed monuments total;Noord-Holland (PV);1976;10554
672;Listed monuments total;Noord-Holland (PV);1977;10654
673;Listed monuments total;Noord-Holland (PV);1978;10722
674;Listed monuments total;Noord-Holland (PV);1979;10772
675;Listed monuments total;Noord-Holland (PV);1980;10832
676;Listed monuments total;Noord-Holland (PV);1981;10866
677;Listed monuments total;Noord-Holland (PV);1982;10898
678;Listed monuments total;Noord-Holland (PV);1983;10905
679;Listed monuments total;Noord-Holland (PV);1984;10958
680;Listed monuments total;Noord-Holland (PV);1985;11007
681;Listed monuments total;Noord-Holland (PV);1986;11018
682;Listed monuments total;Noord-Holland (PV);1987;11036
683;Listed monuments total;Noord-Holland (PV);1988;11057
684;Listed monuments total;Noord-Holland (PV);1989;11067
685;Listed monuments total;Noord-Holland (PV);1990;11144
686;Listed monuments total;Noord-Holland (PV);1991;11226
687;Listed monuments total;Noord-Holland (PV);1992;11253
688;Listed monuments total;Noord-Holland (PV);1993;11294
689;Listed monuments total;Noord-Holland (PV);1994;11328
690;Listed monuments total;Noord-Holland (PV);1995;11359
691;Listed monuments total;Noord-Holland (PV);1996;11588
692;Listed monuments total;Noord-Holland (PV);1997;11660
693;Listed monuments total;Noord-Holland (PV);1998;12044
694;Listed monuments total;Noord-Holland (PV);1999;12347
695;Listed monuments total;Noord-Holland (PV);2000;12466
696;Listed monuments total;Noord-Holland (PV);2001;12922
697;Listed monuments total;Noord-Holland (PV);2002;13362
698;Listed monuments total;Noord-Holland (PV);2003;13442
699;Listed monuments total;Noord-Holland (PV);2004;13664
700;Listed monuments total;Noord-Holland (PV);2005;13751
701;Listed monuments total;Noord-Holland (PV);2006;13845
702;Listed monuments total;Noord-Holland (PV);2007;13863
703;Listed monuments total;Noord-Holland (PV);2008;13906
704;Listed monuments total;Noord-Holland (PV);2009;13927
705;Listed monuments total;Noord-Holland (PV);2010;13968
706;Listed monuments total;Noord-Holland (PV);2011;13980
707;Listed monuments total;Noord-Holland (PV);2012;13984
708;Listed monuments total;Noord-Holland (PV);2013;14032
709;Listed monuments total;Noord-Holland (PV);2014;14067
710;Listed monuments total;Noord-Holland (PV);2015;14077
711;Listed monuments total;Noord-Holland (PV);2016;14092
712;Listed monuments total;Noord-Holland (PV);2017;14092
713;Listed monuments total;Noord-Holland (PV);2018;14092
714;Listed monuments total;Noord-Holland (PV);2019;14087
715;Listed monuments total;Zuid-Holland (PV);1965;0
716;Listed monuments total;Zuid-Holland (PV);1966;1699
717;Listed monuments total;Zuid-Holland (PV);1967;3083
718;Listed monuments total;Zuid-Holland (PV);1968;4385
719;Listed monuments total;Zuid-Holland (PV);1969;4593
720;Listed monuments total;Zuid-Holland (PV);1970;4642
721;Listed monuments total;Zuid-Holland (PV);1971;4895
722;Listed monuments total;Zuid-Holland (PV);1972;5098
723;Listed monuments total;Zuid-Holland (PV);1973;5747
724;Listed monuments total;Zuid-Holland (PV);1974;5886
725;Listed monuments total;Zuid-Holland (PV);1975;5966
726;Listed monuments total;Zuid-Holland (PV);1976;6078
727;Listed monuments total;Zuid-Holland (PV);1977;6150
728;Listed monuments total;Zuid-Holland (PV);1978;6223
729;Listed monuments total;Zuid-Holland (PV);1979;6236
730;Listed monuments total;Zuid-Holland (PV);1980;6267
731;Listed monuments total;Zuid-Holland (PV);1981;6298
732;Listed monuments total;Zuid-Holland (PV);1982;6321
733;Listed monuments total;Zuid-Holland (PV);1983;6355
734;Listed monuments total;Zuid-Holland (PV);1984;6366
735;Listed monuments total;Zuid-Holland (PV);1985;6432
736;Listed monuments total;Zuid-Holland (PV);1986;6451
737;Listed monuments total;Zuid-Holland (PV);1987;6467
738;Listed monuments total;Zuid-Holland (PV);1988;6472
739;Listed monuments total;Zuid-Holland (PV);1989;6507
740;Listed monuments total;Zuid-Holland (PV);1990;6515
741;Listed monuments total;Zuid-Holland (PV);1991;6527
742;Listed monuments total;Zuid-Holland (PV);1992;6547
743;Listed monuments total;Zuid-Holland (PV);1993;6782
744;Listed monuments total;Zuid-Holland (PV);1994;6927
745;Listed monuments total;Zuid-Holland (PV);1995;6947
746;Listed monuments total;Zuid-Holland (PV);1996;6971
747;Listed monuments total;Zuid-Holland (PV);1997;7048
748;Listed monuments total;Zuid-Holland (PV);1998;7154
749;Listed monuments total;Zuid-Holland (PV);1999;7237
750;Listed monuments total;Zuid-Holland (PV);2000;7532
751;Listed monuments total;Zuid-Holland (PV);2001;7917
752;Listed monuments total;Zuid-Holland (PV);2002;8435
753;Listed monuments total;Zuid-Holland (PV);2003;8588
754;Listed monuments total;Zuid-Holland (PV);2004;8674
755;Listed monuments total;Zuid-Holland (PV);2005;8724
756;Listed monuments total;Zuid-Holland (PV);2006;8779
757;Listed monuments total;Zuid-Holland (PV);2007;8805
758;Listed monuments total;Zuid-Holland (PV);2008;8861
759;Listed monuments total;Zuid-Holland (PV);2009;8879
760;Listed monuments total;Zuid-Holland (PV);2010;8955
761;Listed monuments total;Zuid-Holland (PV);2011;8965
762;Listed monuments total;Zuid-Holland (PV);2012;8978
763;Listed monuments total;Zuid-Holland (PV);2013;8978
764;Listed monuments total;Zuid-Holland (PV);2014;9031
765;Listed monuments total;Zuid-Holland (PV);2015;9036
766;Listed monuments total;Zuid-Holland (PV);2016;9041
767;Listed monuments total;Zuid-Holland (PV);2017;9043
768;Listed monuments total;Zuid-Holland (PV);2018;9045
769;Listed monuments total;Zuid-Holland (PV);2019;9049
770;Listed monuments total;Zeeland (PV);1965;76
771;Listed monuments total;Zeeland (PV);1966;1797
772;Listed monuments total;Zeeland (PV);1967;2319
773;Listed monuments total;Zeeland (PV);1968;2320
774;Listed monuments total;Zeeland (PV);1969;2335
775;Listed monuments total;Zeeland (PV);1970;2343
776;Listed monuments total;Zeeland (PV);1971;2346
777;Listed monuments total;Zeeland (PV);1972;2444
778;Listed monuments total;Zeeland (PV);1973;2596
779;Listed monuments total;Zeeland (PV);1974;2849
780;Listed monuments total;Zeeland (PV);1975;2863
781;Listed monuments total;Zeeland (PV);1976;2914
782;Listed monuments total;Zeeland (PV);1977;2919
783;Listed monuments total;Zeeland (PV);1978;2929
784;Listed monuments total;Zeeland (PV);1979;2959
785;Listed monuments total;Zeeland (PV);1980;3036
786;Listed monuments total;Zeeland (PV);1981;3040
787;Listed monuments total;Zeeland (PV);1982;3051
788;Listed monuments total;Zeeland (PV);1983;3057
789;Listed monuments total;Zeeland (PV);1984;3074
790;Listed monuments total;Zeeland (PV);1985;3074
791;Listed monuments total;Zeeland (PV);1986;3083
792;Listed monuments total;Zeeland (PV);1987;3083
793;Listed monuments total;Zeeland (PV);1988;3083
794;Listed monuments total;Zeeland (PV);1989;3084
795;Listed monuments total;Zeeland (PV);1990;3086
796;Listed monuments total;Zeeland (PV);1991;3097
797;Listed monuments total;Zeeland (PV);1992;3098
798;Listed monuments total;Zeeland (PV);1993;3100
799;Listed monuments total;Zeeland (PV);1994;3101
800;Listed monuments total;Zeeland (PV);1995;3127
801;Listed monuments total;Zeeland (PV);1996;3188
802;Listed monuments total;Zeeland (PV);1997;3361
803;Listed monuments total;Zeeland (PV);1998;3531
804;Listed monuments total;Zeeland (PV);1999;3550
805;Listed monuments total;Zeeland (PV);2000;3569
806;Listed monuments total;Zeeland (PV);2001;3571
807;Listed monuments total;Zeeland (PV);2002;3609
808;Listed monuments total;Zeeland (PV);2003;3619
809;Listed monuments total;Zeeland (PV);2004;3635
810;Listed monuments total;Zeeland (PV);2005;3646
811;Listed monuments total;Zeeland (PV);2006;3654
812;Listed monuments total;Zeeland (PV);2007;3664
813;Listed monuments total;Zeeland (PV);2008;3664
814;Listed monuments total;Zeeland (PV);2009;3672
815;Listed monuments total;Zeeland (PV);2010;3673
816;Listed monuments total;Zeeland (PV);2011;3674
817;Listed monuments total;Zeeland (PV);2012;3675
818;Listed monuments total;Zeeland (PV);2013;3738
819;Listed monuments total;Zeeland (PV);2014;3744
820;Listed monuments total;Zeeland (PV);2015;3745
821;Listed monuments total;Zeeland (PV);2016;3746
822;Listed monuments total;Zeeland (PV);2017;3747
823;Listed monuments total;Zeeland (PV);2018;3747
824;Listed monuments total;Zeeland (PV);2019;3746
825;Listed monuments total;Noord-Brabant (PV);1965;388
826;Listed monuments total;Noord-Brabant (PV);1966;851
827;Listed monuments total;Noord-Brabant (PV);1967;1283
828;Listed monuments total;Noord-Brabant (PV);1968;1460
829;Listed monuments total;Noord-Brabant (PV);1969;1469
830;Listed monuments total;Noord-Brabant (PV);1970;1642
831;Listed monuments total;Noord-Brabant (PV);1971;1817
832;Listed monuments total;Noord-Brabant (PV);1972;1871
833;Listed monuments total;Noord-Brabant (PV);1973;2173
834;Listed monuments total;Noord-Brabant (PV);1974;2205
835;Listed monuments total;Noord-Brabant (PV);1975;2261
836;Listed monuments total;Noord-Brabant (PV);1976;2394
837;Listed monuments total;Noord-Brabant (PV);1977;2434
838;Listed monuments total;Noord-Brabant (PV);1978;2477
