ID;BuildingPhases;Aspects;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;Agriculture_5;ManufacturingAndConstructionIndustry_6;TradeHotelsAndRestaurants_7;TransportStorageAndCommunication_8;ProvisionOfBusinessServices_9;GovernmentAndPublicAdministration_10;Education_11;HealthAndSocialWork_12;OtherServiceActivities_13
186;Orders received by contractors;0;2005;19069.0;4119.0;14951.0;10093.0;498.0;560.0;779.0;384.0;861.0;241.0;520.0;625.0;390.0
187;Orders received by contractors;0;2006 January;1463.0;270.0;1193.0;774.0;22.0;66.0;121.0;12.0;60.0;23.0;42.0;52.0;19.0
188;Orders received by contractors;0;2006 February;1675.0;262.0;1413.0;971.0;32.0;53.0;53.0;44.0;79.0;35.0;68.0;62.0;15.0
189;Orders received by contractors;0;2006 March;1951.0;364.0;1587.0;1138.0;70.0;39.0;62.0;26.0;45.0;59.0;55.0;66.0;28.0
190;Orders received by contractors;0;2006 1st quarter;5089.0;896.0;4192.0;2884.0;123.0;157.0;236.0;82.0;185.0;118.0;165.0;180.0;62.0
191;Orders received by contractors;0;2006 April;2019.0;339.0;1680.0;1152.0;40.0;69.0;52.0;23.0;81.0;9.0;34.0;169.0;51.0
192;Orders received by contractors;0;2006 May;1633.0;304.0;1329.0;999.0;36.0;49.0;60.0;10.0;95.0;16.0;25.0;16.0;23.0
193;Orders received by contractors;0;2006 June;1869.0;392.0;1477.0;1034.0;76.0;51.0;50.0;11.0;68.0;19.0;30.0;100.0;38.0
194;Orders received by contractors;0;2006 2nd quarter;5521.0;1035.0;4486.0;3185.0;153.0;169.0;161.0;44.0;244.0;44.0;89.0;285.0;112.0
195;Orders received by contractors;0;2006 July;1667.0;309.0;1358.0;822.0;47.0;60.0;75.0;15.0;214.0;26.0;47.0;39.0;12.0
196;Orders received by contractors;0;2006 August;1578.0;354.0;1224.0;760.0;40.0;56.0;51.0;32.0;74.0;8.0;70.0;41.0;93.0
197;Orders received by contractors;0;2006 September;2180.0;407.0;1772.0;1136.0;54.0;95.0;86.0;62.0;93.0;29.0;57.0;126.0;34.0
198;Orders received by contractors;0;2006 3rd quarter;5425.0;1070.0;4355.0;2717.0;141.0;211.0;211.0;110.0;381.0;63.0;174.0;206.0;139.0
199;Orders received by contractors;0;2006 October;1724.0;260.0;1465.0;876.0;52.0;83.0;51.0;36.0;76.0;8.0;41.0;215.0;28.0
200;Orders received by contractors;0;2006 November;2030.0;358.0;1672.0;1110.0;53.0;177.0;54.0;31.0;51.0;9.0;85.0;36.0;65.0
201;Orders received by contractors;0;2006 December;2470.0;544.0;1926.0;1224.0;74.0;66.0;75.0;23.0;176.0;59.0;55.0;132.0;43.0
202;Orders received by contractors;0;2006 4th quarter;6224.0;1161.0;5063.0;3210.0;179.0;327.0;181.0;90.0;302.0;76.0;180.0;382.0;136.0
203;Orders received by contractors;0;2006;22259.0;4163.0;18096.0;11996.0;596.0;863.0;790.0;326.0;1112.0;300.0;608.0;1054.0;449.0
204;Orders received by contractors;0;2007 January;1525.0;293.0;1232.0;766.0;49.0;73.0;39.0;22.0;76.0;4.0;96.0;91.0;16.0
205;Orders received by contractors;0;2007 February;1290.0;226.0;1064.0;672.0;42.0;47.0;53.0;19.0;97.0;4.0;6.0;48.0;75.0
206;Orders received by contractors;0;2007 March;1835.0;367.0;1468.0;915.0;54.0;78.0;67.0;21.0;189.0;32.0;47.0;38.0;27.0
207;Orders received by contractors;0;2007 1st quarter;4650.0;886.0;3763.0;2353.0;145.0;198.0;159.0;61.0;363.0;40.0;149.0;177.0;118.0
208;Orders received by contractors;0;2007 April;1680.0;351.0;1330.0;808.0;58.0;106.0;49.0;72.0;71.0;17.0;50.0;67.0;32.0
209;Orders received by contractors;0;2007 May;1557.0;381.0;1177.0;665.0;74.0;39.0;68.0;13.0;103.0;5.0;70.0;38.0;103.0
210;Orders received by contractors;0;2007 June;2155.0;484.0;1671.0;1055.0;83.0;81.0;70.0;44.0;100.0;14.0;45.0;146.0;32.0
211;Orders received by contractors;0;2007 2nd quarter;5393.0;1215.0;4178.0;2529.0;214.0;225.0;187.0;128.0;274.0;36.0;165.0;251.0;167.0
212;Orders received by contractors;0;2007 July;1875.0;340.0;1535.0;1015.0;46.0;90.0;82.0;42.0;89.0;14.0;14.0;126.0;16.0
213;Orders received by contractors;0;2007 August;1653.0;386.0;1267.0;803.0;65.0;64.0;103.0;30.0;80.0;0.0;48.0;51.0;22.0
214;Orders received by contractors;0;2007 September;2378.0;485.0;1893.0;1165.0;112.0;108.0;85.0;40.0;145.0;4.0;75.0;118.0;41.0
215;Orders received by contractors;0;2007 3rd quarter;5906.0;1211.0;4695.0;2983.0;223.0;262.0;271.0;113.0;314.0;18.0;137.0;296.0;79.0
216;Orders received by contractors;0;2007 October;2080.0;374.0;1706.0;893.0;70.0;70.0;59.0;27.0;140.0;6.0;44.0;376.0;21.0
217;Orders received by contractors;0;2007 November;2248.0;364.0;1884.0;1395.0;96.0;86.0;49.0;15.0;65.0;10.0;89.0;70.0;10.0
218;Orders received by contractors;0;2007 December;2501.0;453.0;2048.0;1426.0;82.0;59.0;95.0;79.0;144.0;16.0;31.0;84.0;30.0
219;Orders received by contractors;0;2007 4th quarter;6830.0;1191.0;5638.0;3714.0;248.0;215.0;202.0;121.0;348.0;33.0;164.0;530.0;62.0
220;Orders received by contractors;0;2007;22778.0;4504.0;18274.0;11578.0;831.0;900.0;820.0;424.0;1299.0;128.0;615.0;1254.0;425.0
221;Orders received by contractors;0;2008 January;1645.0;377.0;1268.0;865.0;47.0;85.0;41.0;13.0;77.0;2.0;81.0;41.0;16.0
222;Orders received by contractors;0;2008 February;1390.0;270.0;1120.0;672.0;58.0;83.0;51.0;40.0;86.0;15.0;33.0;59.0;22.0
223;Orders received by contractors;0;2008 March;1973.0;325.0;1648.0;851.0;59.0;412.0;58.0;35.0;94.0;3.0;46.0;68.0;23.0
224;Orders received by contractors;0;2008 1st quarter;5007.0;971.0;4036.0;2389.0;164.0;580.0;150.0;88.0;258.0;20.0;159.0;167.0;61.0
225;Orders received by contractors;0;2008 April;1708.0;309.0;1399.0;815.0;58.0;105.0;121.0;39.0;115.0;1.0;23.0;108.0;15.0
226;Orders received by contractors;0;2008 May;1798.0;356.0;1442.0;897.0;55.0;105.0;116.0;48.0;91.0;8.0;52.0;48.0;22.0
227;Orders received by contractors;0;2008 June;1835.0;294.0;1542.0;875.0;63.0;88.0;46.0;73.0;216.0;46.0;55.0;48.0;32.0
228;Orders received by contractors;0;2008 2nd quarter;5341.0;958.0;4383.0;2587.0;177.0;298.0;283.0;160.0;422.0;54.0;130.0;204.0;69.0
229;Orders received by contractors;0;2008 July;2245.0;364.0;1882.0;946.0;101.0;99.0;62.0;328.0;148.0;28.0;29.0;114.0;27.0
230;Orders received by contractors;0;2008 August;2143.0;383.0;1760.0;1056.0;69.0;160.0;72.0;143.0;112.0;11.0;44.0;61.0;33.0
231;Orders received by contractors;0;2008 September;2174.0;450.0;1724.0;1165.0;87.0;107.0;59.0;40.0;94.0;26.0;51.0;51.0;45.0
232;Orders received by contractors;0;2008 3rd quarter;6561.0;1196.0;5365.0;3167.0;256.0;366.0;193.0;511.0;354.0;65.0;123.0;226.0;104.0
233;Orders received by contractors;0;2008 October;2313.0;395.0;1917.0;1052.0;71.0;141.0;89.0;48.0;247.0;2.0;31.0;173.0;63.0
234;Orders received by contractors;0;2008 November;2552.0;364.0;2188.0;1280.0;68.0;153.0;147.0;78.0;134.0;34.0;64.0;178.0;52.0
235;Orders received by contractors;0;2008 December;3004.0;516.0;2488.0;1695.0;63.0;69.0;62.0;70.0;238.0;35.0;93.0;74.0;91.0
236;Orders received by contractors;0;2008 4th quarter;7869.0;1275.0;6594.0;4027.0;202.0;363.0;298.0;196.0;619.0;70.0;188.0;425.0;206.0
237;Orders received by contractors;0;2008;24779.0;4401.0;20378.0;12170.0;799.0;1608.0;924.0;954.0;1653.0;209.0;600.0;1022.0;440.0
238;Orders received by contractors;0;2009 January;1517.0;289.0;1228.0;739.0;42.0;57.0;69.0;47.0;70.0;141.0;18.0;34.0;13.0
239;Orders received by contractors;0;2009 February;1373.0;292.0;1081.0;637.0;40.0;37.0;39.0;16.0;91.0;39.0;55.0;88.0;39.0
240;Orders received by contractors;0;2009 March;1856.0;376.0;1480.0;859.0;62.0;83.0;95.0;61.0;120.0;11.0;20.0;128.0;39.0
241;Orders received by contractors;0;2009 1st quarter;4746.0;958.0;3788.0;2236.0;144.0;176.0;203.0;124.0;281.0;191.0;93.0;250.0;91.0
242;Orders received by contractors;0;2009 April;1566.0;275.0;1292.0;811.0;62.0;75.0;99.0;16.0;58.0;7.0;42.0;103.0;19.0
243;Orders received by contractors;0;2009 May;1369.0;288.0;1081.0;648.0;58.0;146.0;40.0;19.0;55.0;5.0;14.0;83.0;13.0
244;Orders received by contractors;0;2009 June;1610.0;360.0;1250.0;775.0;50.0;78.0;57.0;19.0;109.0;9.0;48.0;76.0;30.0
245;Orders received by contractors;0;2009 2nd quarter;4545.0;923.0;3622.0;2234.0;170.0;298.0;196.0;55.0;221.0;20.0;104.0;261.0;62.0
246;Orders received by contractors;0;2009 July;1789.0;312.0;1477.0;852.0;81.0;52.0;69.0;23.0;181.0;39.0;55.0;94.0;31.0
247;Orders received by contractors;0;2009 August;1011.0;198.0;813.0;455.0;52.0;19.0;61.0;26.0;46.0;5.0;50.0;80.0;19.0
248;Orders received by contractors;0;2009 September;1878.0;442.0;1436.0;779.0;63.0;67.0;52.0;61.0;91.0;28.0;78.0;182.0;35.0
249;Orders received by contractors;0;2009 3rd quarter;4678.0;952.0;3726.0;2085.0;196.0;138.0;182.0;111.0;317.0;73.0;183.0;357.0;84.0
250;Orders received by contractors;0;2009 October;1720.0;302.0;1418.0;962.0;68.0;77.0;29.0;76.0;59.0;4.0;48.0;47.0;47.0
251;Orders received by contractors;0;2009 November;1429.0;318.0;1111.0;772.0;42.0;51.0;26.0;30.0;58.0;4.0;19.0;83.0;28.0
252;Orders received by contractors;0;2009 December;2855.0;507.0;2348.0;1557.0;69.0;88.0;80.0;34.0;261.0;53.0;59.0;82.0;65.0
253;Orders received by contractors;0;2009 4th quarter;6004.0;1127.0;4877.0;3290.0;179.0;217.0;135.0;139.0;378.0;61.0;126.0;212.0;140.0
254;Orders received by contractors;0;2009;19973.0;3959.0;16013.0;9845.0;689.0;829.0;717.0;429.0;1197.0;345.0;506.0;1080.0;376.0
255;Orders received by contractors;0;2010 January;982.0;244.0;739.0;410.0;41.0;31.0;32.0;62.0;24.0;12.0;27.0;53.0;48.0
256;Orders received by contractors;0;2010 February;903.0;210.0;694.0;479.0;27.0;13.0;27.0;24.0;23.0;11.0;13.0;42.0;34.0
257;Orders received by contractors;0;2010 March;1239.0;289.0;950.0;555.0;58.0;42.0;16.0;16.0;27.0;10.0;17.0;178.0;30.0
258;Orders received by contractors;0;2010 1st quarter;3125.0;742.0;2383.0;1444.0;126.0;85.0;76.0;103.0;75.0;32.0;57.0;273.0;112.0
259;Orders received by contractors;0;2010 April;1114.0;222.0;891.0;513.0;48.0;83.0;28.0;35.0;50.0;9.0;26.0;82.0;18.0
260;Orders received by contractors;0;2010 May;1255.0;186.0;1070.0;696.0;70.0;27.0;81.0;39.0;28.0;3.0;43.0;53.0;28.0
261;Orders received by contractors;0;2010 June;1546.0;274.0;1273.0;713.0;52.0;67.0;31.0;22.0;67.0;13.0;26.0;238.0;42.0
262;Orders received by contractors;0;2010 2nd quarter;3915.0;682.0;3233.0;1922.0;170.0;177.0;141.0;96.0;146.0;25.0;95.0;373.0;89.0
263;Orders received by contractors;0;2010 July;1730.0;308.0;1422.0;801.0;72.0;60.0;23.0;121.0;63.0;15.0;51.0;162.0;53.0
264;Orders received by contractors;0;2010 August;1159.0;291.0;868.0;515.0;49.0;49.0;24.0;37.0;48.0;37.0;48.0;29.0;31.0
265;Orders received by contractors;0;2010 September;1378.0;272.0;1106.0;747.0;49.0;37.0;33.0;13.0;74.0;10.0;67.0;38.0;38.0
266;Orders received by contractors;0;2010 3rd quarter;4268.0;872.0;3396.0;2064.0;171.0;147.0;80.0;171.0;184.0;63.0;166.0;230.0;121.0
267;Orders received by contractors;0;2010 October;1240.0;211.0;1029.0;655.0;43.0;27.0;20.0;36.0;43.0;15.0;21.0;108.0;61.0
268;Orders received by contractors;0;2010 November;1989.0;435.0;1554.0;995.0;79.0;44.0;51.0;32.0;46.0;144.0;74.0;56.0;33.0
269;Orders received by contractors;0;2010 December;1723.0;318.0;1404.0;975.0;59.0;31.0;52.0;16.0;27.0;60.0;39.0;124.0;22.0
270;Orders received by contractors;0;2010 4th quarter;4951.0;964.0;3987.0;2625.0;180.0;102.0;122.0;84.0;116.0;220.0;134.0;287.0;116.0
271;Orders received by contractors;0;2010;16259.0;3260.0;12999.0;8055.0;647.0;512.0;418.0;454.0;521.0;340.0;452.0;1162.0;438.0
272;Orders received by contractors;0;2011 January;1049.0;192.0;857.0;543.0;41.0;21.0;44.0;31.0;52.0;10.0;56.0;36.0;23.0
273;Orders received by contractors;0;2011 February;1114.0;242.0;871.0;620.0;37.0;14.0;20.0;7.0;33.0;11.0;20.0;69.0;41.0
274;Orders received by contractors;0;2011 March;1472.0;225.0;1248.0;848.0;54.0;31.0;76.0;39.0;60.0;0.0;35.0;75.0;29.0
275;Orders received by contractors;0;2011 1st quarter;3635.0;659.0;2976.0;2012.0;132.0;66.0;141.0;77.0;145.0;21.0;110.0;179.0;93.0
276;Orders received by contractors;0;2011 April;1162.0;249.0;913.0;569.0;61.0;21.0;45.0;29.0;33.0;18.0;81.0;34.0;21.0
277;Orders received by contractors;0;2011 May;1234.0;225.0;1009.0;597.0;53.0;24.0;39.0;36.0;147.0;11.0;28.0;61.0;12.0
278;Orders received by contractors;0;2011 June;1046.0;205.0;842.0;519.0;56.0;31.0;35.0;21.0;48.0;2.0;21.0;31.0;77.0
279;Orders received by contractors;0;2011 2nd quarter;3442.0;678.0;2764.0;1685.0;171.0;75.0;120.0;86.0;229.0;31.0;131.0;127.0;110.0
280;Orders received by contractors;0;2011 July;1123.0;222.0;901.0;578.0;55.0;74.0;85.0;4.0;13.0;4.0;34.0;36.0;18.0
281;Orders received by contractors;0;2011 August;844.0;149.0;695.0;376.0;42.0;29.0;26.0;13.0;92.0;9.0;56.0;44.0;8.0
282;Orders received by contractors;0;2011 September;1360.0;272.0;1088.0;709.0;60.0;50.0;36.0;23.0;58.0;0.0;24.0;83.0;43.0
283;Orders received by contractors;0;2011 3rd quarter;3327.0;643.0;2684.0;1664.0;156.0;153.0;147.0;40.0;163.0;14.0;114.0;163.0;70.0
284;Orders received by contractors;0;2011 October;1509.0;295.0;1214.0;811.0;79.0;64.0;56.0;13.0;58.0;3.0;55.0;62.0;14.0
285;Orders received by contractors;0;2011 November;1536.0;307.0;1229.0;687.0;63.0;34.0;98.0;21.0;44.0;7.0;111.0;138.0;26.0
286;Orders received by contractors;0;2011 December;1488.0;274.0;1214.0;689.0;46.0;71.0;43.0;36.0;81.0;30.0;44.0;121.0;53.0
287;Orders received by contractors;0;2011 4th quarter;4533.0;876.0;3657.0;2186.0;188.0;169.0;196.0;70.0;183.0;40.0;210.0;321.0;93.0
288;Orders received by contractors;0;2011;14937.0;2856.0;12081.0;7547.0;647.0;463.0;604.0;273.0;720.0;107.0;565.0;790.0;365.0
289;Orders received by contractors;0;2012 January;649.0;145.0;504.0;290.0;57.0;11.0;32.0;26.0;11.0;3.0;34.0;36.0;4.0
290;Orders received by contractors;0;2012 February;751.0;139.0;613.0;374.0;37.0;28.0;23.0;39.0;26.0;0.0;22.0;38.0;24.0
291;Orders received by contractors;0;2012 March;967.0;218.0;749.0;362.0;33.0;32.0;71.0;52.0;41.0;5.0;85.0;46.0;23.0
292;Orders received by contractors;0;2012 1st quarter;2367.0;501.0;1866.0;1026.0;128.0;71.0;127.0;116.0;78.0;8.0;141.0;121.0;51.0
293;Orders received by contractors;0;2012 April;812.0;221.0;592.0;328.0;51.0;44.0;22.0;30.0;23.0;2.0;16.0;50.0;25.0
294;Orders received by contractors;0;2012 May;876.0;214.0;662.0;333.0;45.0;66.0;21.0;6.0;57.0;6.0;52.0;62.0;13.0
295;Orders received by contractors;0;2012 June;1353.0;241.0;1112.0;491.0;63.0;31.0;45.0;25.0;116.0;58.0;34.0;158.0;90.0
296;Orders received by contractors;0;2012 2nd quarter;3041.0;676.0;2365.0;1152.0;159.0;141.0;88.0;61.0;197.0;66.0;102.0;270.0;129.0
297;Orders received by contractors;0;2012 July;1070.0;229.0;841.0;496.0;48.0;31.0;102.0;19.0;15.0;14.0;38.0;58.0;22.0
298;Orders received by contractors;0;2012 August;773.0;281.0;493.0;290.0;45.0;26.0;42.0;8.0;12.0;1.0;42.0;10.0;16.0
299;Orders received by contractors;0;2012 September;989.0;218.0;771.0;466.0;47.0;61.0;47.0;6.0;17.0;38.0;18.0;45.0;26.0
300;Orders received by contractors;0;2012 3rd quarter;2833.0;729.0;2104.0;1251.0;141.0;118.0;190.0;33.0;44.0;53.0;98.0;113.0;64.0
301;Orders received by contractors;0;2012 October;1001.0;273.0;728.0;441.0;48.0;26.0;62.0;32.0;16.0;6.0;22.0;55.0;21.0
302;Orders received by contractors;0;2012 November;887.0;198.0;689.0;403.0;47.0;68.0;25.0;23.0;19.0;1.0;26.0;28.0;48.0
303;Orders received by contractors;0;2012 December;998.0;180.0;819.0;417.0;35.0;39.0;58.0;25.0;32.0;3.0;44.0;72.0;94.0
304;Orders received by contractors;0;2012 4th quarter;2886.0;651.0;2235.0;1261.0;130.0;133.0;145.0;81.0;67.0;11.0;92.0;154.0;162.0
305;Orders received by contractors;0;2012;11127.0;2556.0;8571.0;4691.0;557.0;462.0;550.0;291.0;386.0;137.0;433.0;658.0;406.0
306;Orders received by contractors;0;2013 January;613.0;173.0;440.0;256.0;37.0;15.0;25.0;12.0;12.0;0.0;25.0;34.0;23.0
307;Orders received by contractors;0;2013 February;631.0;172.0;459.0;250.0;31.0;21.0;15.0;28.0;28.0;6.0;32.0;23.0;24.0
308;Orders received by contractors;0;2013 March;655.0;214.0;441.0;221.0;45.0;15.0;32.0;10.0;13.0;2.0;62.0;12.0;30.0
309;Orders received by contractors;0;2013 1st quarter;1899.0;558.0;1341.0;727.0;113.0;51.0;73.0;50.0;53.0;8.0;120.0;69.0;77.0
310;Orders received by contractors;0;2013 April;710.0;212.0;498.0;263.0;50.0;28.0;28.0;40.0;25.0;1.0;13.0;16.0;34.0
311;Orders received by contractors;0;2013 May;870.0;278.0;592.0;312.0;42.0;22.0;22.0;2.0;52.0;59.0;35.0;23.0;23.0
312;Orders received by contractors;0;2013 June;885.0;343.0;542.0;249.0;39.0;15.0;29.0;24.0;43.0;27.0;40.0;29.0;47.0
313;Orders received by contractors;0;2013 2nd quarter;2465.0;833.0;1632.0;824.0;131.0;65.0;79.0;66.0;120.0;86.0;88.0;69.0;104.0
314;Orders received by contractors;0;2013 July;799.0;278.0;520.0;253.0;60.0;16.0;19.0;25.0;72.0;20.0;13.0;29.0;14.0
315;Orders received by contractors;0;2013 August;555.0;206.0;349.0;171.0;40.0;13.0;26.0;26.0;21.0;0.0;15.0;20.0;16.0
316;Orders received by contractors;0;2013 September;934.0;283.0;651.0;305.0;45.0;20.0;68.0;9.0;75.0;16.0;34.0;56.0;24.0
317;Orders received by contractors;0;2013 3rd quarter;2288.0;767.0;1520.0;729.0;145.0;49.0;113.0;60.0;168.0;36.0;62.0;105.0;54.0
318;Orders received by contractors;0;2013 October;844.0;208.0;636.0;321.0;41.0;44.0;62.0;20.0;12.0;13.0;68.0;39.0;16.0
319;Orders received by contractors;0;2013 November;902.0;192.0;710.0;417.0;41.0;47.0;48.0;8.0;64.0;0.0;26.0;33.0;26.0
320;Orders received by contractors;0;2013 December;846.0;193.0;653.0;366.0;36.0;19.0;20.0;7.0;18.0;65.0;67.0;27.0;27.0
321;Orders received by contractors;0;2013 4th quarter;2593.0;594.0;1999.0;1104.0;119.0;110.0;130.0;35.0;95.0;78.0;161.0;98.0;68.0
322;Orders received by contractors;0;2013;9244.0;2752.0;6492.0;3384.0;509.0;276.0;394.0;210.0;437.0;208.0;431.0;340.0;303.0
323;Orders received by contractors;0;2014 January;1165.0;385.0;780.0;308.0;35.0;22.0;88.0;96.0;34.0;1.0;22.0;123.0;51.0
324;Orders received by contractors;0;2014 February;756.0;231.0;525.0;290.0;40.0;24.0;105.0;2.0;10.0;0.0;23.0;22.0;8.0
325;Orders received by contractors;0;2014 March;802.0;197.0;605.0;348.0;54.0;29.0;39.0;36.0;13.0;0.0;26.0;41.0;20.0
326;Orders received by contractors;0;2014 1st quarter;2722.0;812.0;1910.0;946.0;129.0;75.0;232.0;134.0;57.0;1.0;71.0;186.0;79.0
327;Orders received by contractors;0;2014 April;789.0;214.0;575.0;314.0;45.0;30.0;40.0;21.0;18.0;0.0;72.0;19.0;17.0
328;Orders received by contractors;0;2014 May;711.0;179.0;532.0;329.0;30.0;19.0;35.0;14.0;46.0;0.0;17.0;16.0;26.0
329;Orders received by contractors;0;2014 June;752.0;244.0;508.0;285.0;36.0;23.0;26.0;37.0;16.0;0.0;7.0;40.0;37.0
330;Orders received by contractors;0;2014 2nd quarter;2252.0;637.0;1615.0;929.0;111.0;72.0;100.0;72.0;80.0;0.0;96.0;75.0;80.0
331;Orders received by contractors;0;2014 July;989.0;201.0;788.0;488.0;34.0;33.0;53.0;40.0;16.0;0.0;80.0;17.0;28.0
332;Orders received by contractors;0;2014 August;703.0;171.0;532.0;311.0;30.0;10.0;15.0;5.0;44.0;0.0;7.0;94.0;15.0
333;Orders received by contractors;0;2014 September;1040.0;214.0;826.0;497.0;33.0;31.0;55.0;24.0;19.0;0.0;38.0;55.0;75.0
334;Orders received by contractors;0;2014 3rd quarter;2732.0;586.0;2146.0;1295.0;97.0;74.0;123.0;69.0;79.0;0.0;125.0;166.0;117.0
335;Orders received by contractors;0;2014 October;1014.0;368.0;646.0;458.0;36.0;35.0;30.0;4.0;18.0;1.0;15.0;33.0;16.0
336;Orders received by contractors;0;2014 November;857.0;215.0;643.0;450.0;43.0;39.0;26.0;12.0;17.0;3.0;11.0;24.0;16.0
337;Orders received by contractors;0;2014 December;1480.0;365.0;1115.0;675.0;37.0;17.0;84.0;16.0;148.0;0.0;21.0;42.0;75.0
338;Orders received by contractors;0;2014 4th quarter;3351.0;947.0;2403.0;1583.0;116.0;91.0;139.0;33.0;183.0;4.0;47.0;100.0;107.0
339;Orders received by contractors;0;2014;11056.0;2982.0;8074.0;4753.0;453.0;312.0;594.0;309.0;400.0;6.0;339.0;526.0;383.0
340;Orders received by contractors;0;2015 January;791.0;213.0;578.0;409.0;28.0;17.0;26.0;17.0;12.0;0.0;39.0;4.0;25.0
341;Orders received by contractors;0;2015 February;1235.0;279.0;957.0;741.0;30.0;26.0;62.0;40.0;19.0;0.0;9.0;8.0;20.0
342;Orders received by contractors;0;2015 March;1138.0;235.0;903.0;652.0;25.0;54.0;21.0;34.0;21.0;6.0;55.0;22.0;14.0
343;Orders received by contractors;0;2015 1st quarter;3165.0;727.0;2438.0;1802.0;83.0;98.0;109.0;91.0;52.0;6.0;104.0;34.0;58.0
344;Orders received by contractors;0;2015 April;1441.0;218.0;1223.0;862.0;36.0;31.0;42.0;20.0;100.0;1.0;52.0;64.0;17.0
345;Orders received by contractors;0;2015 May;996.0;216.0;780.0;528.0;28.0;9.0;44.0;38.0;101.0;0.0;12.0;7.0;14.0
346;Orders received by contractors;0;2015 June;924.0;195.0;729.0;478.0;42.0;22.0;28.0;36.0;37.0;2.0;29.0;27.0;28.0
347;Orders received by contractors;0;2015 2nd quarter;3361.0;629.0;2732.0;1868.0;107.0;62.0;114.0;94.0;238.0;2.0;93.0;97.0;59.0
348;Orders received by contractors;0;2015 July;811.0;209.0;601.0;367.0;39.0;24.0;19.0;51.0;37.0;1.0;25.0;27.0;12.0
349;Orders received by contractors;0;2015 August;1028.0;291.0;736.0;388.0;32.0;31.0;30.0;20.0;170.0;0.0;30.0;15.0;21.0
350;Orders received by contractors;0;2015 September;896.0;194.0;703.0;456.0;33.0;21.0;51.0;21.0;22.0;0.0;19.0;68.0;11.0
351;Orders received by contractors;0;2015 3rd quarter;2735.0;694.0;2040.0;1210.0;104.0;76.0;100.0;92.0;229.0;2.0;74.0;109.0;44.0
352;Orders received by contractors;0;2015 October;865.0;218.0;648.0;441.0;26.0;22.0;20.0;11.0;9.0;60.0;26.0;23.0;10.0
353;Orders received by contractors;0;2015 November;1046.0;238.0;808.0;537.0;16.0;31.0;75.0;36.0;7.0;0.0;39.0;43.0;21.0
354;Orders received by contractors;0;2015 December;1070.0;350.0;720.0;490.0;21.0;32.0;67.0;14.0;27.0;0.0;31.0;19.0;19.0
355;Orders received by contractors;0;2015 4th quarter;2982.0;806.0;2176.0;1469.0;63.0;85.0;162.0;61.0;43.0;60.0;97.0;85.0;50.0
356;Orders received by contractors;0;2015;12242.0;2856.0;9386.0;6349.0;357.0;320.0;485.0;337.0;564.0;70.0;368.0;325.0;212.0
357;Orders received by contractors;0;2016 January;658.0;141.0;517.0;388.0;29.0;17.0;30.0;12.0;17.0;1.0;9.0;7.0;5.0
358;Orders received by contractors;0;2016 February;955.0;298.0;657.0;424.0;33.0;44.0;42.0;27.0;14.0;0.0;25.0;31.0;16.0
359;Orders received by contractors;0;2016 March;853.0;225.0;627.0;427.0;34.0;21.0;67.0;17.0;10.0;0.0;24.0;18.0;9.0
360;Orders received by contractors;0;2016 1st quarter;2466.0;665.0;1801.0;1239.0;96.0;82.0;139.0;57.0;41.0;1.0;59.0;57.0;30.0
361;Orders received by contractors;0;2016 April;1141.0;317.0;824.0;476.0;44.0;30.0;50.0;24.0;51.0;3.0;15.0;122.0;8.0
362;Orders received by contractors;0;2016 May;864.0;230.0;634.0;407.0;28.0;19.0;55.0;28.0;33.0;1.0;28.0;11.0;24.0
363;Orders received by contractors;0;2016 June;1119.0;287.0;832.0;582.0;36.0;39.0;76.0;30.0;16.0;0.0;13.0;27.0;13.0
364;Orders received by contractors;0;2016 2nd quarter;3124.0;834.0;2290.0;1464.0;109.0;88.0;181.0;82.0;101.0;5.0;57.0;160.0;44.0
