ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;AmsterdamAnders_6;CDA_7;CU_8;CUSGP_9;D66_10;DeGroenen_11;DeGroenenNoordHollandAnders_12;DemocratischPlatformNederland_13;DrenthsBelangDOP_14;FNP_15;GemeentebelangenFrieslandGF_16;GL_17;LeefbaarBrabantBOF_18;LeefbaarFlevoland_19;LeefbaarGelderlandDeGroenen_20;LeefbaarNoordHolland_21;LeefbaarProvincialePartijLPP_22;LeefbaarProvincieUtrecht_23;LeefbaarZuidHolland_24;LijstHolsteijn_25;LijstNieuwePolitiekLNP_26;LijstVeldhoen_27;LPF_28;MOOIZUIDHOLLANDDeGroenen_29;NederlandseVolksUnieNVU_30;NieuweCommunistischePartijNCPN_31;NieuweToekomstPartijNTP_32;NSap_33;OnafhankelijkePartijDrenthe_34;OuderenpartijNHVSP_35;PartijNieuwLimburgPNL_36;PartijVoorHetNoorden_37;PARTIJVOORZEELANDPVZ_38;PolitiekePartijAlianza_39;PvdA_40;SGP_41;SP_42;VERENIGDESENIORENPARTIJ_43;VIPVooruitstrevendeIntegratiePartij_44;VVD_45;AmsterdamAnders_46;CDA_47;CU_48;CUSGP_49;D66_50;DeGroenen_51;DeGroenenNoordHollandAnders_52;DemocratischPlatformNederland_53;DrenthsBelangDOP_54;FNP_55;GemeentebelangenFrieslandGF_56;GL_57;LeefbaarBrabantBOF_58;LeefbaarFlevoland_59;LeefbaarGelderlandDeGroenen_60;LeefbaarNoordHolland_61;LeefbaarProvincialePartijLPP_62;LeefbaarProvincieUtrecht_63;LeefbaarZuidHolland_64;LijstHolsteijn_65;LijstNieuwePolitiekLNP_66;LijstVeldhoen_67;LPF_68;MOOIZUIDHOLLANDDeGroenen_69;NederlandseVolksUnieNVU_70;NieuweCommunistischePartijNCPN_71;NieuweToekomstPartijNTP_72;NSap_73;OnafhankelijkePartijDrenthe_74;OuderenpartijNHVSP_75;PartijNieuwLimburgPNL_76;PartijVoorHetNoorden_77;PARTIJVOORZEELANDPVZ_78;PolitiekePartijAlianza_79;PvdA_80;SGP_81;SP_82;VERENIGDESENIORENPARTIJ_83;VIPVooruitstrevendeIntegratiePartij_84;VVD_85;Gemeente_86;Landsdeel_87;Provincie_88;COROPGebied_89;Kamerkieskring_90;Stadsgewest_91;GrootstedelijkeAgglomeratie_92
268;Midden-Drenthe;24913;62.2;15489;15478;11;;4294;504.0;;472;;;;203.0;;;925;;;;;;;;;;;271;;;;;;835.0;;;;;;5387;43.0;;;;2544;;27.7;3.3;;3.0;;;;1.3;;;6.0;;;;;;;;;;;1.8;;;;;;5.4;;;;;;34.8;0.3;;;;16.4;1731;1;22;07;03;00;00
269;Mierlo;7717;48.5;3743;3740;3;;1529;;17.0;159;;;;;;;246;55.0;;;;;;;;4.0;;80;;;;;;;;;;;;686;;213.0;38.0;;713;;40.9;;0.5;4.3;;;;;;;6.6;1.5;;;;;;;;0.1;;2.1;;;;;;;;;;;;18.3;;5.7;1.0;;19.1;0814;4;30;36;18;00;00
270;Mill en Sint Hubert;8533;49.5;4223;4217;6;;2275;;11.0;61;;;;;;;92;20.0;;;;;;;;1.0;;63;;;;;;;;;;;;745;;313.0;13.0;;623;;53.9;;0.3;1.4;;;;;;;2.2;0.5;;;;;;;;0.0;;1.5;;;;;;;;;;;;17.7;;7.4;0.3;;14.8;0815;4;30;35;18;00;00
271;Millingen aan de Rijn;4421;39.0;1724;1723;1;;507;8.0;;136;;;;;;;68;;;10.0;;;;;;;;24;;1.0;;;;;;;;;;633;2.0;109.0;;;225;;29.4;0.5;;7.9;;;;;;;3.9;;;0.6;;;;;;;;1.4;;0.1;;;;;;;;;;36.7;0.1;6.3;;;13.1;0265;2;25;15;06;00;00
272;Moerdijk;27999;44.4;12433;12425;8;;3594;;410.0;299;;;;;;;1501;893.0;;;;;;;;11.0;;260;;;;;;;;;;;;1957;;1359.0;52.0;;2089;;28.9;;3.3;2.4;;;;;;;12.1;7.2;;;;;;;;0.1;;2.1;;;;;;;;;;;;15.8;;10.9;0.4;;16.8;1709;4;30;33;17;00;00
273;Monster;15214;48.3;7355;7348;7;;3129;304.0;;222;;;1.0;;;;198;;;;;;;86.0;4.0;3.0;3.0;372;28.0;;;0.0;0.0;;;;;;2.0;936;348.0;155.0;30.0;0.0;1527;;42.6;4.1;;3.0;;;0.0;;;;2.7;;;;;;;1.2;0.1;0.0;0.0;5.1;0.4;;;0.0;0.0;;;;;;0.0;12.7;4.7;2.1;0.4;0.0;20.8;0562;3;28;27;14;00;00
274;Montfoort;9751;56.5;5512;5509;3;;1728;325.0;;198;7.0;;;;;;396;;;;;;69.0;;;;;200;;;;;;;;;;;;1018;435.0;117.0;;;1016;;31.4;5.9;;3.6;0.1;;;;;;7.2;;;;;;1.3;;;;;3.6;;;;;;;;;;;;18.5;7.9;2.1;;;18.4;0335;3;26;17;08;00;00
275;Mook en Middelaar;6014;54.2;3259;3257;2;;977;;;222;;;;;;;363;;;;;;;;;;;55;;;;;;;;271.0;;;;586;;154.0;;;629;;30.0;;;6.8;;;;;;;11.1;;;;;;;;;;;1.7;;;;;;;;8.3;;;;18.0;;4.7;;;19.3;0944;4;31;37;19;07;00
276;Moordrecht;5743;48.8;2804;2804;0;;593;91.0;;166;;;;;;;328;;;;;;;30.0;3.0;0.0;0.0;115;53.0;;;3.0;0.0;;;;;;5.0;490;216.0;180.0;1.0;0.0;530;;21.1;3.2;;5.9;;;;;;;11.7;;;;;;;1.1;0.1;0.0;0.0;4.1;1.9;;;0.1;0.0;;;;;;0.2;17.5;7.7;6.4;0.0;0.0;18.9;0563;3;28;28;15;00;00
277;Muiden;4943;58.7;2901;2896;5;2.0;631;;30.0;298;;11.0;;;;;189;;;;8.0;13.0;;;;;;56;;;3.0;0.0;;;5.0;;;;;757;;100.0;;;793;0.1;21.8;;1.0;10.3;;0.4;;;;;6.5;;;;0.3;0.4;;;;;;1.9;;;0.1;0.0;;;0.2;;;;;26.1;;3.5;;;27.4;0424;3;27;24;10;10;00
278;Naaldwijk;21272;50.2;10685;10676;9;;5044;247.0;;227;;;3.0;;;;234;;;;;;;166.0;0.0;1.0;6.0;690;23.0;;;1.0;0.0;;;;;;4.0;1207;155.0;209.0;12.0;2.0;2445;;47.2;2.3;;2.1;;;0.0;;;;2.2;;;;;;;1.6;0.0;0.0;0.1;6.5;0.2;;;0.0;0.0;;;;;;0.0;11.3;1.5;2.0;0.1;0.0;22.9;0565;3;28;27;14;00;00
279;Naarden;12464;59.9;7461;7455;6;6.0;1369;;149.0;672;;26.0;;;;;589;;;;26.0;5.0;;;;;;139;;;3.0;0.0;;;47.0;;;;;1269;;261.0;;;2894;0.1;18.4;;2.0;9.0;;0.3;;;;;7.9;;;;0.3;0.1;;;;;;1.9;;;0.0;0.0;;;0.6;;;;;17.0;;3.5;;;38.8;0425;3;27;24;10;00;00
280;Nederlek;11280;56.2;6340;6324;16;;1311;186.0;;244;;;;;;;209;;;;;;;53.0;4.0;1.0;0.0;263;35.0;;;0.0;0.0;;;;;;4.0;1808;611.0;228.0;10.0;1.0;1356;;20.7;2.9;;3.9;;;;;;;3.3;;;;;;;0.8;0.1;0.0;0.0;4.2;0.6;;;0.0;0.0;;;;;;0.1;28.6;9.7;3.6;0.2;0.0;21.4;0643;3;28;29;15;14;00
281;Nederweert;12289;47.3;5818;5814;4;;3279;;;127;;;;;;;128;;;;;;;;;;;90;;;;;;;;77.0;;;;946;;181.0;;;986;;56.4;;;2.2;;;;;;;2.2;;;;;;;;;;;1.5;;;;;;;;1.3;;;;16.3;;3.1;;;17.0;0946;4;31;38;19;00;00
282;Neede;8647;54.3;4697;4695;2;;1569;126.0;;152;;;;;;;140;;;37.0;;;;;;;;89;;9.0;;;;;;;;;;1514;3.0;166.0;;;890;;33.4;2.7;;3.2;;;;;;;3.0;;;0.8;;;;;;;;1.9;;0.2;;;;;;;;;;32.2;0.1;3.5;;;19.0;0266;2;25;14;07;00;00
283;Neerijnen;8450;56.8;4800;4790;10;;1328;112.0;;109;;;;;;;158;;;37.0;;;;;;;;108;;4.0;;;;;;;;;;1131;741.0;139.0;;;923;;27.7;2.3;;2.3;;;;;;;3.3;;;0.8;;;;;;;;2.3;;0.1;;;;;;;;;;23.6;15.5;2.9;;;19.3;0304;2;25;16;06;00;00
284;Niedorp;8574;47.3;4053;4047;6;2.0;939;;18.0;166;;25.0;;;;;207;;;;26.0;35.0;;;;;;127;;;3.0;3.0;;;31.0;;;;;1243;;187.0;;;1035;0.0;23.2;;0.4;4.1;;0.6;;;;;5.1;;;;0.6;0.9;;;;;;3.1;;;0.1;0.1;;;0.8;;;;;30.7;;4.6;;;25.6;0412;3;27;18;11;00;00
285;Nieuwegein;47229;41.5;19602;19574;28;;4525;514.0;;1083;49.0;;;;;;1575;;;;;;283.0;;;;;553;;;;;;;;;;;;5581;168.0;1199.0;;;4044;;23.1;2.6;;5.5;0.3;;;;;;8.0;;;;;;1.4;;;;;2.8;;;;;;;;;;;;28.5;0.9;6.1;;;20.7;0356;3;26;17;08;09;09
286;Nieuwerkerk aan den IJssel;16221;50.8;8236;8224;12;;1884;601.0;;424;;;;;;;407;;;;;;;44.0;1.0;3.0;1.0;343;26.0;;;0.0;0.0;;;;;;0.0;1538;456.0;306.0;24.0;0.0;2166;;22.9;7.3;;5.2;;;;;;;4.9;;;;;;;0.5;0.0;0.0;0.0;4.2;0.3;;;0.0;0.0;;;;;;0.0;18.7;5.5;3.7;0.3;0.0;26.3;0567;3;28;29;15;14;00
287;Nieuwkoop;8232;48.8;4016;4010;6;;1350;155.0;;207;;;;;;;222;;;;;;;15.0;0.0;2.0;0.0;133;13.0;;;2.0;0.0;;;;;;1.0;650;96.0;167.0;10.0;0.0;987;;33.7;3.9;;5.2;;;;;;;5.5;;;;;;;0.4;0.0;0.0;0.0;3.3;0.3;;;0.0;0.0;;;;;;0.0;16.2;2.4;4.2;0.2;0.0;24.6;0569;3;28;28;15;00;00
288;Nieuw-Lekkerland;6477;63.2;4093;4092;1;;719;622.0;;45;;;2.0;;;;82;;;;;;;17.0;0.0;1.0;1.0;84;9.0;;;1.0;0.0;;;;;;2.0;819;1257.0;116.0;1.0;0.0;314;;17.6;15.2;;1.1;;;0.0;;;;2.0;;;;;;;0.4;0.0;0.0;0.0;2.1;0.2;;;0.0;0.0;;;;;;0.0;20.0;30.7;2.8;0.0;0.0;7.7;0571;3;28;30;14;00;00
289;Nijefurd;8334;64.8;5397;5389;8;;1850;;167.0;119;;;;;1089.0;19.0;306;;;;;;;;;;;103;;;9.0;;;;;;;;;947;;194.0;;;586;;34.3;;3.1;2.2;;;;;20.2;0.4;5.7;;;;;;;;;;;1.9;;;0.2;;;;;;;;;17.6;;3.6;;;10.9;0104;1;21;05;02;00;00
290;Nijkerk;27781;54.5;15142;15128;14;;5396;1617.0;;390;;;;;;;510;;;185.0;;;;;;;;316;;17.0;;;;;;;;;;2307;1520.0;354.0;;;2516;;35.7;10.7;;2.6;;;;;;;3.4;;;1.2;;;;;;;;2.1;;0.1;;;;;;;;;;15.2;10.0;2.3;;;16.6;0267;2;25;13;07;08;00
291;Nijmegen;120142;45.2;54348;54266;82;;10800;504.0;;3323;;;;;;;9515;;;536.0;;;;;;;;953;;66.0;;;;;;;;;;14974;82.0;7599.0;;;5914;;19.9;0.9;;6.1;;;;;;;17.5;;;1.0;;;;;;;;1.8;;0.1;;;;;;;;;;27.6;0.2;14.0;;;10.9;0268;2;25;15;06;07;07
292;Noord-Beveland;5603;58.8;3296;3293;3;;982;80.0;;58;;;;;;;136;;;;;;;;;;;157;;;;;;;;;;280.0;;638;233.0;142.0;;;587;;29.8;2.4;;1.8;;;;;;;4.1;;;;;;;;;;;4.8;;;;;;;;;;8.5;;19.4;7.1;4.3;;;17.8;1695;3;29;32;16;00;00
293;Noordenveld;24296;61.2;14870;14865;5;;2671;565.0;;685;;;;233.0;;;1238;;;;;;;;;;;325;;;;;;385.0;;;;;;5422;41.0;;;;3300;;18.0;3.8;;4.6;;;;1.6;;;8.3;;;;;;;;;;;2.2;;;;;;2.6;;;;;;36.5;0.3;;;;22.2;1699;1;22;07;03;01;00
294;Noorder-Koggenland;7895;52.2;4124;4118;6;8.0;964;;157.0;185;;22.0;;;;;252;;;;36.0;26.0;;;;;;146;;;2.0;2.0;;;65.0;;;;;946;;200.0;;;1107;0.2;23.4;;3.8;4.5;;0.5;;;;;6.1;;;;0.9;0.6;;;;;;3.5;;;0.0;0.0;;;1.6;;;;;23.0;;4.9;;;26.9;0529;3;27;18;11;00;00
295;Noordoostpolder;32166;58.6;18835;18824;11;;6893;1739.0;;633;;;;;;;649;;142.0;;;;;;;18.0;;640;;;;;;;;;;;;3537;600.0;512.0;39.0;;3422;;36.6;9.2;;3.4;;;;;;;3.4;;0.8;;;;;;;0.1;;3.4;;;;;;;;;;;;18.8;3.2;2.7;0.2;;18.2;0171;2;24;40;05;00;00
296;Noordwijk;18529;47.9;8879;8863;16;;2477;171.0;;285;;;;;;;830;;;;;;;65.0;1.0;258.0;0.0;282;31.0;;;0.0;0.0;;;;;;2.0;1426;42.0;355.0;30.0;0.0;2608;;27.9;1.9;;3.2;;;;;;;9.4;;;;;;;0.7;0.0;2.9;0.0;3.2;0.3;;;0.0;0.0;;;;;;0.0;16.1;0.5;4.0;0.3;0.0;29.4;0575;3;28;25;15;12;00
297;Noordwijkerhout;11160;50.0;5584;5580;4;;1953;33.0;;194;;;;;;;340;;;;;;;37.0;0.0;69.0;0.0;163;21.0;;;3.0;2.0;;;;;;2.0;875;11.0;190.0;21.0;1.0;1665;;35.0;0.6;;3.5;;;;;;;6.1;;;;;;;0.7;0.0;1.2;0.0;2.9;0.4;;;0.1;0.0;;;;;;0.0;15.7;0.2;3.4;0.4;0.0;29.8;0576;3;28;25;15;12;00
298;Nuenen c.a.;17554;52.7;9252;9243;9;;3112;;62.0;1055;;;;;;;408;131.0;;;;;;;;10.0;;204;;;;;;;;;;;;1627;;436.0;97.0;;2101;;33.7;;0.7;11.4;;;;;;;4.4;1.4;;;;;;;;0.1;;2.2;;;;;;;;;;;;17.6;;4.7;1.0;;22.7;0820;4;30;36;18;19;00
299;Nunspeet;19281;65.4;12610;12603;7;;3796;1742.0;;200;;;;;;;267;;;94.0;;;;;;;;253;;29.0;;;;;;;;;;1007;3410.0;235.0;;;1570;;30.1;13.8;;1.6;;;;;;;2.1;;;0.7;;;;;;;;2.0;;0.2;;;;;;;;;;8.0;27.1;1.9;;;12.5;0302;2;25;13;07;00;00
300;Nuth;12737;55.0;7007;7005;2;;3479;;;165;;;;;;;260;;;;;;;;;;;172;;;;;;;;192.0;;;;1681;;270.0;;;786;;49.7;;;2.4;;;;;;;3.7;;;;;;;;;;;2.5;;;;;;;;2.7;;;;24.0;;3.9;;;11.2;0951;4;31;39;19;21;00
301;Obdam;4900;49.8;2438;2432;6;5.0;946;;11.0;84;;3.0;;;;;114;;;;26.0;14.0;;;;;;62;;;3.0;2.0;;;37.0;;;;;458;;73.0;;;594;0.2;38.9;;0.5;3.5;;0.1;;;;;4.7;;;;1.1;0.6;;;;;;2.5;;;0.1;0.1;;;1.5;;;;;18.8;;3.0;;;24.4;0429;3;27;18;11;00;00
302;Oegstgeest;15013;61.8;9284;9275;9;;1862;211.0;;816;;;;;;;968;;;;;;;81.0;1.0;8.0;4.0;203;58.0;;;1.0;0.0;;;;;;0.0;1632;35.0;331.0;35.0;0.0;3029;;20.1;2.3;;8.8;;;;;;;10.4;;;;;;;0.9;0.0;0.1;0.0;2.2;0.6;;;0.0;0.0;;;;;;0.0;17.6;0.4;3.6;0.4;0.0;32.7;0579;3;28;25;15;12;12
303;Oirschot;13446;48.1;6474;6456;18;;3526;;13.0;171;;;;;;;160;50.0;;;;;;;;6.0;;124;;;;;;;;;;;;1077;;251.0;22.0;;1056;;54.6;;0.2;2.6;;;;;;;2.5;0.8;;;;;;;;0.1;;1.9;;;;;;;;;;;;16.7;;3.9;0.3;;16.4;0823;4;30;36;18;00;00
304;Oisterwijk;19430;47.2;9172;9166;6;;3667;;47.0;388;;;;;;;470;51.0;;;;;;;;24.0;;178;;;;;;;;;;;;1722;;447.0;58.0;;2114;;40.0;;0.5;4.2;;;;;;;5.1;0.6;;;;;;;;0.3;;1.9;;;;;;;;;;;;18.8;;4.9;0.6;;23.1;0824;4;30;34;17;17;00
305;Oldebroek;16734;55.3;9247;9242;5;;2910;2169.0;;117;;;;;;;139;;;37.0;;;;;;;;132;;12.0;;;;;;;;;;1144;1677.0;144.0;;;761;;31.5;23.5;;1.3;;;;;;;1.5;;;0.4;;;;;;;;1.4;;0.1;;;;;;;;;;12.4;18.1;1.6;;;8.2;0269;2;25;13;07;00;00
306;Oldenzaal;23804;47.5;11298;11286;12;;4868;60.0;;355;;;;;;;614;;;;;;;;;;;260;;;;;;;;;;;;2623;14.0;531.0;;;1961;;43.1;0.5;;3.1;;;;;;;5.4;;;;;;;;;;;2.3;;;;;;;;;;;;23.2;0.1;4.7;;;17.4;0173;2;23;12;04;04;00
307;Olst-Wijhe;12750;56.8;7237;7234;3;;2872;110.0;;216;;;;;;;351;;;;;;;;;;;111;;;;;;;;;;;;2218;31.0;246.0;;;1079;;39.7;1.5;;3.0;;;;;;;4.9;;;;;;;;;;;1.5;;;;;;;;;;;;30.7;0.4;3.4;;;14.9;1773;2;23;11;04;00;00
308;Ommen;12811;63.3;8105;8096;9;;3904;1148.0;;366;;;;;;;205;;;;;;;;;;;134;;;;;;;;;;;;1044;85.0;190.0;;;1020;;48.2;14.2;;4.5;;;;;;;2.5;;;;;;;;;;;1.7;;;;;;;;;;;;12.9;1.0;2.3;;;12.6;0175;2;23;10;04;00;00
309;Onderbanken;6383;50.7;3235;3231;4;;1311;;;61;;;;;;;102;;;;;;;;;;;41;;;;;;;;273.0;;;;958;;138.0;;;347;;40.6;;;1.9;;;;;;;3.2;;;;;;;;;;;1.3;;;;;;;;8.4;;;;29.7;;4.3;;;10.7;0881;4;31;39;19;21;00
310;Oosterhout;39943;39.8;15878;15865;13;;4776;;145.0;823;;;;;;;831;205.0;;;;;;;;10.0;;434;;;;;;;;;;;;3738;;943.0;95.0;;3865;;30.1;;0.9;5.2;;;;;;;5.2;1.3;;;;;;;;0.1;;2.7;;;;;;;;;;;;23.6;;5.9;0.6;;24.4;0826;4;30;33;17;16;00
311;Oostflakkee;7857;51.0;4009;4006;3;;1063;306.0;;87;;;0.0;;;;109;;;;;;;46.0;0.0;1.0;2.0;119;11.0;;;0.0;0.0;;;;;;1.0;1044;508.0;142.0;8.0;0.0;559;;26.5;7.6;;2.2;;;0.0;;;;2.7;;;;;;;1.1;0.0;0.0;0.0;3.0;0.3;;;0.0;0.0;;;;;;0.0;26.1;12.7;3.5;0.2;0.0;14.0;0580;3;28;29;14;00;00
312;Ooststellingwerf;20173;56.8;11450;11422;28;;2892;;503.0;310;;;;;417.0;65.0;697;;;;;;;;;;;238;;;10.0;;;;;;;;;4016;;496.0;;;1778;;25.3;;4.4;2.7;;;;;3.7;0.6;6.1;;;;;;;;;;;2.1;;;0.1;;;;;;;;;35.2;;4.3;;;15.6;0085;1;21;06;02;00;00
313;Oostzaan;6895;47.8;3297;3295;2;4.0;365;;69.0;194;;19.0;;;;;347;;;;15.0;18.0;;;;;;144;;;7.0;3.0;;;30.0;;;;;990;;167.0;;;923;0.1;11.1;;2.1;5.9;;0.6;;;;;10.5;;;;0.5;0.5;;;;;;4.4;;;0.2;0.1;;;0.9;;;;;30.0;;5.1;;;28.0;0431;3;27;23;11;10;10
314;Opmeer;8258;48.3;3989;3984;5;0.0;1503;;24.0;140;;10.0;;;;;173;;;;21.0;17.0;;;;;;112;;;0.0;3.0;;;58.0;;;;;762;;128.0;;;1033;0.0;37.7;;0.6;3.5;;0.3;;;;;4.3;;;;0.5;0.4;;;;;;2.8;;;0.0;0.1;;;1.5;;;;;19.1;;3.2;;;25.9;0432;3;27;18;11;00;00
315;Opsterland;21705;62.1;13471;13460;11;;2812;;1165.0;394;;;;;1600.0;215.0;770;;;;;;;;;;;212;;;52.0;;;;;;;;;3961;;677.0;;;1602;;20.9;;8.7;2.9;;;;;11.9;1.6;5.7;;;;;;;;;;;1.6;;;0.4;;;;;;;;;29.4;;5.0;;;11.9;0086;1;21;06;02;00;00
316;Oss;57081;39.8;22702;22681;21;;7273;;92.0;867;;;;;;;961;162.0;;;;;;;;14.0;;440;;;;;;;;;;;;4447;;4348.0;101.0;;3976;;32.1;;0.4;3.8;;;;;;;4.2;0.7;;;;;;;;0.1;;1.9;;;;;;;;;;;;19.6;;19.2;0.4;;17.5;0828;4;30;35;18;00;00
317;Oud-Beijerland;17279;49.4;8543;8538;5;;1888;460.0;;374;;;6.0;;;;459;;;;;;;303.0;1.0;0.0;5.0;256;28.0;;;5.0;0.0;;;;;;3.0;1698;1119.0;252.0;16.0;0.0;1665;;22.1;5.4;;4.4;;;0.1;;;;5.4;;;;;;;3.5;0.0;0.0;0.1;3.0;0.3;;;0.1;0.0;;;;;;0.0;19.9;13.1;3.0;0.2;0.0;19.5;0584;3;28;29;14;00;00
318;Ouder-Amstel;9819;55.6;5461;5455;6;2.0;1365;;104.0;646;;25.0;;;;;456;;;;16.0;23.0;;;;;;165;;;1.0;3.0;;;18.0;;;;;1098;;210.0;;;1323;0.0;25.0;;1.9;11.8;;0.5;;;;;8.4;;;;0.3;0.4;;;;;;3.0;;;0.0;0.1;;;0.3;;;;;20.1;;3.8;;;24.3;0437;3;27;23;10;10;00
319;Ouderkerk;6032;57.6;3472;3471;1;;680;318.0;;99;;;;;;;129;;;;;;;19.0;0.0;0.0;0.0;101;15.0;;;1.0;0.0;;;;;;0.0;696;706.0;71.0;7.0;0.0;629;;19.6;9.2;;2.9;;;;;;;3.7;;;;;;;0.5;0.0;0.0;0.0;2.9;0.4;;;0.0;0.0;;;;;;0.0;20.1;20.3;2.0;0.2;0.0;18.1;0644;3;28;29;15;00;00
320;Oudewater;7316;50.8;3718;3718;0;;1640;215.0;;102;9.0;;;;;;178;;;;;;18.0;;;;;107;;;;;;;;;;;;515;155.0;82.0;;;697;;44.1;5.8;;2.7;0.2;;;;;;4.8;;;;;;0.5;;;;;2.9;;;;;;;;;;;;13.9;4.2;2.2;;;18.7;0589;3;26;17;08;00;00
321;Overbetuwe;30184;47.2;14238;14225;13;;4928;450.0;;896;;;;;;;957;;;172.0;;;;;;;;271;;18.0;;;;;;;;;;2886;447.0;729.0;;;2471;;34.6;3.2;;6.3;;;;;;;6.7;;;1.2;;;;;;;;1.9;;0.1;;;;;;;;;;20.3;3.1;5.1;;;17.4;1734;2;25;15;07;06;00
322;Papendrecht;23049;47.3;10910;10896;14;;2760;923.0;;358;;;9.0;;;;488;;;;;;;71.0;0.0;2.0;3.0;471;28.0;;;5.0;0.0;;;;;;9.0;2429;643.0;369.0;30.0;0.0;2298;;25.3;8.5;;3.3;;;0.1;;;;4.5;;;;;;;0.7;0.0;0.0;0.0;4.3;0.3;;;0.0;0.0;;;;;;0.1;22.3;5.9;3.4;0.3;0.0;21.1;0590;3;28;30;14;15;15
323;Pekela;10275;51.0;5237;5232;5;;1019;181.0;;72;;;;;;;335;;;;;;;;;;;94;;;71.0;;;;;;182.0;;;2375;;434.0;;;469;;19.5;3.5;;1.4;;;;;;;6.4;;;;;;;;;;;1.8;;;1.4;;;;;;3.5;;;45.4;;8.3;;;9.0;0765;1;20;01;01;00;00
324;Pijnacker-Nootdorp;25406;50.9;12934;12911;23;;4481;352.0;;661;;;;;;;734;;;;;;;341.0;2.0;4.0;2.0;434;64.0;;;3.0;3.0;;;;;;8.0;2092;222.0;393.0;26.0;1.0;3088;;34.7;2.7;;5.1;;;;;;;5.7;;;;;;;2.6;0.0;0.0;0.0;3.4;0.5;;;0.0;0.0;;;;;;0.1;16.2;1.7;3.0;0.2;0.0;23.9;1926;3;28;26;15;13;00
325;Purmerend;55783;40.0;22310;22293;17;33.0;3137;;233.0;1232;;107.0;;;;;1557;;;;232.0;184.0;;;;;;935;;;38.0;35.0;;;443.0;;;;;7092;;1579.0;;;5456;0.1;14.1;;1.0;5.5;;0.5;;;;;7.0;;;;1.0;0.8;;;;;;4.2;;;0.2;0.2;;;2.0;;;;;31.8;;7.1;;;24.5;0439;3;27;23;11;10;00
326;Putten;17277;60.9;10520;10516;4;;4353;1490.0;;213;;;;;;;256;;;97.0;;;;;;;;280;;14.0;;;;;;;;;;1002;1245.0;164.0;;;1402;;41.4;14.2;;2.0;;;;;;;2.4;;;0.9;;;;;;;;2.7;;0.1;;;;;;;;;;9.5;11.8;1.6;;;13.3;0273;2;25;13;07;00;00
327;Raalte;27437;52.7;14451;14435;16;;8311;277.0;;375;;;;;;;529;;;;;;;;;;;245;;;;;;;;;;;;2446;21.0;544.0;;;1687;;57.6;1.9;;2.6;;;;;;;3.7;;;;;;;;;;;1.7;;;;;;;;;;;;16.9;0.1;3.8;;;11.7;0177;2;23;11;04;00;00
328;Reeuwijk;9613;58.6;5631;5627;4;;1658;333.0;;213;;;;;;;231;;;;;;;52.0;0.0;1.0;4.0;155;26.0;;;3.0;2.0;;;;;;3.0;634;675.0;107.0;17.0;0.0;1513;;29.5;5.9;;3.8;;;;;;;4.1;;;;;;;0.9;0.0;0.0;0.1;2.8;0.5;;;0.1;0.0;;;;;;0.1;11.3;12.0;1.9;0.3;0.0;26.9;0595;3;28;28;15;00;00
329;Reiderland;5537;52.1;2886;2883;3;;212;23.0;;30;;;;;;;141;;;;;;;;;;;88;;;651.0;;;;;;116.0;;;1111;;249.0;;;262;;7.4;0.8;;1.0;;;;;;;4.9;;;;;;;;;;;3.1;;;22.6;;;;;;4.0;;;38.5;;8.6;;;9.1;1661;1;20;01;01;00;00
330;Reimerswaal;14974;62.8;9400;9393;7;;2207;369.0;;104;;;;;;;198;;;;;;;;;;;258;;;;;;;;;;332.0;;1283;3364.0;239.0;;;1039;;23.5;3.9;;1.1;;;;;;;2.1;;;;;;;;;;;2.7;;;;;;;;;;3.5;;13.7;35.8;2.5;;;11.1;0703;3;29;32;16;00;00
331;Renkum;24889;57.6;14325;14317;8;;3964;283.0;;847;;;;;;;1435;;;169.0;;;;;;;;253;;21.0;;;;;;;;;;3303;99.0;683.0;;;3260;;27.7;2.0;;5.9;;;;;;;10.0;;;1.2;;;;;;;;1.8;;0.1;;;;;;;;;;23.1;0.7;4.8;;;22.8;0274;2;25;15;07;06;00
332;Renswoude;2993;61.3;1834;1834;0;;815;116.0;;27;3.0;;;;;;24;;;;;;2.0;;;;;36;;;;;;;;;;;;137;306.0;46.0;;;322;;44.4;6.3;;1.5;0.2;;;;;;1.3;;;;;;0.1;;;;;2.0;;;;;;;;;;;;7.5;16.7;2.5;;;17.6;0339;3;26;17;08;00;00
333;Reusel-De Mierden;9241;42.2;3901;3897;4;;2266;;6.0;83;;;;;;;77;37.0;;;;;;;;3.0;;71;;;;;;;;;;;;612;;152.0;33.0;;557;;58.1;;0.2;2.1;;;;;;;2.0;0.9;;;;;;;;0.1;;1.8;;;;;;;;;;;;15.7;;3.9;0.8;;14.3;1667;4;30;36;18;00;00
334;Rheden;35075;54.3;19041;19029;12;;4604;464.0;;894;;;;;;;1391;;;227.0;;;;;;;;547;;31.0;;;;;;;;;;5654;74.0;1486.0;;;3657;;24.2;2.4;;4.7;;;;;;;7.3;;;1.2;;;;;;;;2.9;;0.2;;;;;;;;;;29.7;0.4;7.8;;;19.2;0275;2;25;15;07;06;00
