ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
1708;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2018 2nd quarter;17141
1709;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2018 3rd quarter;18483
1710;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2018 4th quarter;16511
1711;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2018;11070
1712;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2019 1st quarter;10536
1713;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2019 2nd quarter;17179
1714;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2019 3rd quarter;18475
1715;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2019 4th quarter;17520
1716;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2019;10536
1717;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2020 1st quarter;11941
1718;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2020 2nd quarter;34046
1719;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2020 3rd quarter;45042
1720;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2020 4th quarter;40126
1721;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2020;11941
1722;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2021 1st quarter;19564
1723;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2021 2nd quarter;24947
1724;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2021 3rd quarter;25111
1725;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2021 4th quarter;14608
1726;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2021;19564
1727;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2022 1st quarter;14069
1728;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2022 2nd quarter;15753
1729;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2022 3rd quarter;28274
1730;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2022 4th quarter;16003
1731;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2022;14069
1732;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2023 1st quarter;22063
1733;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2023 2nd quarter;19298
1734;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2023 3rd quarter;12123
1735;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2023 4th quarter;11646
1736;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2023;22063
1737;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2024 1st quarter;15261
1738;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2024 2nd quarter;10320
1739;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2024 3rd quarter;10080
1740;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2024 4th quarter;6921
1741;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2024;15261
1742;General government;Assets;AF22 Transferable deposits;Financial transactions;1995;2845
1743;General government;Assets;AF22 Transferable deposits;Financial transactions;1996;32
1744;General government;Assets;AF22 Transferable deposits;Financial transactions;1997;-6423
1745;General government;Assets;AF22 Transferable deposits;Financial transactions;1998;2573
1746;General government;Assets;AF22 Transferable deposits;Financial transactions;1999 1st quarter;-3185
1747;General government;Assets;AF22 Transferable deposits;Financial transactions;1999 2nd quarter;386
1748;General government;Assets;AF22 Transferable deposits;Financial transactions;1999 3rd quarter;94
1749;General government;Assets;AF22 Transferable deposits;Financial transactions;1999 4th quarter;289
1750;General government;Assets;AF22 Transferable deposits;Financial transactions;1999;-2416
1751;General government;Assets;AF22 Transferable deposits;Financial transactions;2000 1st quarter;35
1752;General government;Assets;AF22 Transferable deposits;Financial transactions;2000 2nd quarter;265
1753;General government;Assets;AF22 Transferable deposits;Financial transactions;2000 3rd quarter;-120
1754;General government;Assets;AF22 Transferable deposits;Financial transactions;2000 4th quarter;21
1755;General government;Assets;AF22 Transferable deposits;Financial transactions;2000;201
1756;General government;Assets;AF22 Transferable deposits;Financial transactions;2001 1st quarter;-222
1757;General government;Assets;AF22 Transferable deposits;Financial transactions;2001 2nd quarter;2675
1758;General government;Assets;AF22 Transferable deposits;Financial transactions;2001 3rd quarter;716
1759;General government;Assets;AF22 Transferable deposits;Financial transactions;2001 4th quarter;-4399
1760;General government;Assets;AF22 Transferable deposits;Financial transactions;2001;-1230
1761;General government;Assets;AF22 Transferable deposits;Financial transactions;2002 1st quarter;315
1762;General government;Assets;AF22 Transferable deposits;Financial transactions;2002 2nd quarter;3089
1763;General government;Assets;AF22 Transferable deposits;Financial transactions;2002 3rd quarter;-2577
1764;General government;Assets;AF22 Transferable deposits;Financial transactions;2002 4th quarter;-1223
1765;General government;Assets;AF22 Transferable deposits;Financial transactions;2002;-396
1766;General government;Assets;AF22 Transferable deposits;Financial transactions;2003 1st quarter;518
1767;General government;Assets;AF22 Transferable deposits;Financial transactions;2003 2nd quarter;455
1768;General government;Assets;AF22 Transferable deposits;Financial transactions;2003 3rd quarter;979
1769;General government;Assets;AF22 Transferable deposits;Financial transactions;2003 4th quarter;-1008
1770;General government;Assets;AF22 Transferable deposits;Financial transactions;2003;944
1771;General government;Assets;AF22 Transferable deposits;Financial transactions;2004 1st quarter;832
1772;General government;Assets;AF22 Transferable deposits;Financial transactions;2004 2nd quarter;-634
1773;General government;Assets;AF22 Transferable deposits;Financial transactions;2004 3rd quarter;2314
1774;General government;Assets;AF22 Transferable deposits;Financial transactions;2004 4th quarter;-3135
1775;General government;Assets;AF22 Transferable deposits;Financial transactions;2004;-623
1776;General government;Assets;AF22 Transferable deposits;Financial transactions;2005 1st quarter;-42
1777;General government;Assets;AF22 Transferable deposits;Financial transactions;2005 2nd quarter;1201
1778;General government;Assets;AF22 Transferable deposits;Financial transactions;2005 3rd quarter;-732
1779;General government;Assets;AF22 Transferable deposits;Financial transactions;2005 4th quarter;-330
1780;General government;Assets;AF22 Transferable deposits;Financial transactions;2005;97
1781;General government;Assets;AF22 Transferable deposits;Financial transactions;2006 1st quarter;-541
1782;General government;Assets;AF22 Transferable deposits;Financial transactions;2006 2nd quarter;1476
1783;General government;Assets;AF22 Transferable deposits;Financial transactions;2006 3rd quarter;-237
1784;General government;Assets;AF22 Transferable deposits;Financial transactions;2006 4th quarter;47
1785;General government;Assets;AF22 Transferable deposits;Financial transactions;2006;745
1786;General government;Assets;AF22 Transferable deposits;Financial transactions;2007 1st quarter;746
1787;General government;Assets;AF22 Transferable deposits;Financial transactions;2007 2nd quarter;1823
1788;General government;Assets;AF22 Transferable deposits;Financial transactions;2007 3rd quarter;-810
1789;General government;Assets;AF22 Transferable deposits;Financial transactions;2007 4th quarter;-879
1790;General government;Assets;AF22 Transferable deposits;Financial transactions;2007;880
1791;General government;Assets;AF22 Transferable deposits;Financial transactions;2008 1st quarter;-812
1792;General government;Assets;AF22 Transferable deposits;Financial transactions;2008 2nd quarter;2485
1793;General government;Assets;AF22 Transferable deposits;Financial transactions;2008 3rd quarter;5816
1794;General government;Assets;AF22 Transferable deposits;Financial transactions;2008 4th quarter;-8010
1795;General government;Assets;AF22 Transferable deposits;Financial transactions;2008;-521
1796;General government;Assets;AF22 Transferable deposits;Financial transactions;2009 1st quarter;100
1797;General government;Assets;AF22 Transferable deposits;Financial transactions;2009 2nd quarter;724
1798;General government;Assets;AF22 Transferable deposits;Financial transactions;2009 3rd quarter;12163
1799;General government;Assets;AF22 Transferable deposits;Financial transactions;2009 4th quarter;-9228
1800;General government;Assets;AF22 Transferable deposits;Financial transactions;2009;3759
1801;General government;Assets;AF22 Transferable deposits;Financial transactions;2010 1st quarter;-1654
1802;General government;Assets;AF22 Transferable deposits;Financial transactions;2010 2nd quarter;2712
1803;General government;Assets;AF22 Transferable deposits;Financial transactions;2010 3rd quarter;-1113
1804;General government;Assets;AF22 Transferable deposits;Financial transactions;2010 4th quarter;-443
1805;General government;Assets;AF22 Transferable deposits;Financial transactions;2010;-498
1806;General government;Assets;AF22 Transferable deposits;Financial transactions;2011 1st quarter;9
1807;General government;Assets;AF22 Transferable deposits;Financial transactions;2011 2nd quarter;480
1808;General government;Assets;AF22 Transferable deposits;Financial transactions;2011 3rd quarter;152
1809;General government;Assets;AF22 Transferable deposits;Financial transactions;2011 4th quarter;-490
1810;General government;Assets;AF22 Transferable deposits;Financial transactions;2011;151
1811;General government;Assets;AF22 Transferable deposits;Financial transactions;2012 1st quarter;237
1812;General government;Assets;AF22 Transferable deposits;Financial transactions;2012 2nd quarter;1400
1813;General government;Assets;AF22 Transferable deposits;Financial transactions;2012 3rd quarter;10
1814;General government;Assets;AF22 Transferable deposits;Financial transactions;2012 4th quarter;-969
1815;General government;Assets;AF22 Transferable deposits;Financial transactions;2012;678
1816;General government;Assets;AF22 Transferable deposits;Financial transactions;2013 1st quarter;-92
1817;General government;Assets;AF22 Transferable deposits;Financial transactions;2013 2nd quarter;1971
1818;General government;Assets;AF22 Transferable deposits;Financial transactions;2013 3rd quarter;-1047
1819;General government;Assets;AF22 Transferable deposits;Financial transactions;2013 4th quarter;-3287
1820;General government;Assets;AF22 Transferable deposits;Financial transactions;2013;-2455
1821;General government;Assets;AF22 Transferable deposits;Financial transactions;2014 1st quarter;-1123
1822;General government;Assets;AF22 Transferable deposits;Financial transactions;2014 2nd quarter;-117
1823;General government;Assets;AF22 Transferable deposits;Financial transactions;2014 3rd quarter;-358
1824;General government;Assets;AF22 Transferable deposits;Financial transactions;2014 4th quarter;367
1825;General government;Assets;AF22 Transferable deposits;Financial transactions;2014;-1231
1826;General government;Assets;AF22 Transferable deposits;Financial transactions;2015 1st quarter;-160
1827;General government;Assets;AF22 Transferable deposits;Financial transactions;2015 2nd quarter;-590
1828;General government;Assets;AF22 Transferable deposits;Financial transactions;2015 3rd quarter;420
1829;General government;Assets;AF22 Transferable deposits;Financial transactions;2015 4th quarter;240
1830;General government;Assets;AF22 Transferable deposits;Financial transactions;2015;-90
1831;General government;Assets;AF22 Transferable deposits;Financial transactions;2016 1st quarter;-311
1832;General government;Assets;AF22 Transferable deposits;Financial transactions;2016 2nd quarter;1828
1833;General government;Assets;AF22 Transferable deposits;Financial transactions;2016 3rd quarter;-1794
1834;General government;Assets;AF22 Transferable deposits;Financial transactions;2016 4th quarter;1009
1835;General government;Assets;AF22 Transferable deposits;Financial transactions;2016;732
1836;General government;Assets;AF22 Transferable deposits;Financial transactions;2017 1st quarter;2995
