ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;StatisticalDifferences_8;TotalEnergyConsumption_9;TotalEnergyTransformationInput_10;ElectricityAndCHPTransformationInput_11;OtherTransformationInput_12;TotalEnergyTransformationOutput_13;ElectricityCHPTransformationOutput_14;OtherTransformationOutput_15;TotalNetEnergyTransformation_16;NetElectricityCHPTransformation_17;NetOtherTransformation_18;Total_19;ProductionOfHeatAndPower_20;ExtractionOfCrudePetroleumAndGas_21;CokeOvenPlants_22;BlastFurnaces_23;OilRefineryInstallations_24;OtherInstallations_25;DistributionLosses_26;TotalFinalConsumption_27;Total_28;Total_29;IronAndSteel_30;ChemicalAndPetrochemical_31;NonFerrousMetals_32;NonMetallicMinerals_33;TransportEquipment_34;Machinery_35;MiningAndQuarrying_36;FoodAndTobacco_37;PaperPulpAndPrinting_38;WoodAndWoodProducts_39;Construction_40;TextileAndLeather_41;OtherIndustryAndNonSpecified_42;Total_43;DomesticAviation_44;RoadTransport_45;RailTransport_46;PipelineTransport_47;DomesticNavigation_48;NonSpecified_49;Total_50;ServicesWasteWaterAndRepair_51;Dwellings_52;Agriculture_53;Fishing_54;NonSpecified_55;Total_56;IndustryExcludingTheEnergySector_57;OfWhichChemicalAndPetrochemical_58;Transport_59;OtherSectors_60
60;Total energy commodities;2006;3323.7;2583.6;8599.1;6963.8;1635.3;852.1;-43.1;3.1;3320.6;4158.7;949.9;3208.8;3649.0;563.6;3085.3;509.7;386.2;123.5;190.6;15.1;29.2;7.8;12.4;123.9;2.2;24.7;2595.6;2037.1;636.5;34.9;322.0;25.8;32.0;4.6;26.9;6.1;87.6;37.9;3.0;35.7;4.7;15.2;491.0;0.5;471.4;7.2;;11.9;;909.6;298.5;454.1;142.1;11.6;3.2;558.4;552.3;513.2;3.7;2.4
61;Total energy commodities;2007;3316.2;2532.0;8434.9;6832.6;1602.3;870.5;52.5;-2.2;3318.4;4157.0;994.5;3162.5;3623.9;593.6;3030.2;533.1;400.9;132.3;204.7;15.3;25.2;8.2;12.6;140.9;2.5;23.6;2556.9;1998.1;641.2;34.4;329.1;27.3;33.6;4.6;24.8;5.7;86.8;36.8;3.2;35.5;4.8;14.7;496.6;0.6;476.0;7.1;;12.9;;860.2;286.8;417.6;142.6;10.1;3.1;558.8;550.2;514.2;3.0;5.7
62;Total energy commodities;2008;3283.7;2845.5;8666.1;7287.5;1378.5;844.4;-96.0;-4.0;3287.6;4135.5;1025.4;3110.1;3614.9;614.8;3000.1;520.6;410.6;110.0;196.6;15.6;27.3;8.3;13.4;129.1;2.8;23.4;2547.0;2035.2;618.6;33.6;305.9;28.6;33.3;5.4;25.6;9.2;83.1;34.5;3.1;36.3;4.6;15.4;500.6;0.6;479.5;7.3;;13.3;;916.1;298.9;461.2;143.7;9.3;3.1;511.8;505.3;470.4;3.4;3.1
63;Total energy commodities;2009;3241.5;2646.1;8656.9;7306.4;1350.4;759.2;4.1;-12.1;3253.6;4126.0;1043.9;3082.1;3594.2;625.1;2969.2;531.8;418.9;112.9;191.3;16.5;30.0;6.4;10.9;124.8;2.8;22.8;2507.7;1969.4;558.5;29.1;289.4;18.1;30.2;5.5;27.1;3.3;72.0;28.3;3.3;35.6;4.3;12.3;485.2;0.5;463.9;7.3;;13.5;;925.6;308.1;461.8;143.8;8.8;3.2;538.3;511.4;483.6;2.8;24.1
64;Total energy commodities;2010;3472.9;2990.2;9149.7;7956.5;1193.2;723.0;12.5;-12.4;3485.3;4404.5;1092.2;3312.2;3862.4;664.3;3198.1;542.1;427.9;114.2;197.5;14.8;33.0;7.8;12.1;127.2;2.5;24.4;2721.3;2118.4;601.5;34.7;312.8;22.1;31.1;5.6;27.5;9.8;75.4;29.5;3.1;32.8;4.8;12.5;488.1;0.6;464.6;7.7;;15.1;;1028.8;328.6;522.6;163.6;9.2;4.8;602.9;561.0;531.5;2.9;39.0
65;Total energy commodities;2011;3237.5;2794.1;8808.6;7691.1;1117.5;773.2;99.2;-13.1;3250.6;4240.3;1029.0;3211.3;3730.8;637.3;3093.5;509.5;391.7;117.8;209.8;15.2;32.1;7.7;12.1;140.1;2.6;22.6;2508.8;1953.5;578.2;34.3;297.9;26.5;27.6;4.0;21.6;5.8;79.4;27.4;2.7;32.9;4.2;13.9;493.2;0.6;469.7;7.6;;15.3;;882.1;295.0;430.5;144.1;8.5;4.0;555.2;514.5;489.6;2.7;38.0
66;Total energy commodities;2012;3251.5;2787.4;9460.2;8186.5;1273.7;716.9;-92.8;-8.6;3260.1;4306.6;969.6;3337.0;3805.7;596.8;3208.9;500.8;372.8;128.0;201.3;14.6;34.2;7.5;11.5;130.1;3.4;21.7;2536.2;1963.9;569.4;33.0;308.0;14.0;25.5;3.9;22.5;6.2;77.4;27.5;2.7;30.6;4.2;13.9;472.0;0.6;449.9;7.4;;14.1;;922.4;307.8;455.1;148.6;7.5;3.3;572.3;536.4;514.9;2.3;33.7
67;Total energy commodities;2013;3166.0;2942.2;9112.6;8207.6;905.0;695.8;14.6;-19.5;3185.5;4241.2;949.7;3291.5;3759.6;587.2;3172.3;481.6;362.5;119.1;201.7;15.0;40.0;7.7;11.1;124.1;3.7;22.6;2479.5;1957.2;559.4;33.0;301.5;14.3;23.7;4.2;21.5;5.9;76.5;27.5;2.4;31.1;4.3;13.4;450.6;0.6;427.7;7.3;;14.9;;947.2;308.2;478.0;149.0;8.3;3.7;522.4;507.8;486.0;2.2;12.4
68;Total energy commodities;2014;3010.5;2553.7;9335.0;8102.2;1232.9;689.8;-86.3;-19.7;3030.1;4380.7;955.1;3425.7;3858.9;570.9;3288.0;521.8;384.2;137.6;198.2;16.7;36.1;8.0;10.9;122.4;4.1;21.8;2288.3;1764.6;541.0;32.7;297.2;9.4;23.8;4.3;20.7;3.8;75.7;24.3;2.8;30.0;3.7;12.7;418.6;0.5;398.3;7.1;;12.8;;805.0;271.9;381.8;139.2;8.3;3.8;523.6;504.7;473.4;2.3;16.6
69;Total energy commodities;2015;3070.1;2035.2;10276.6;8444.4;1832.2;659.5;-137.8;-18.9;3089.0;4651.0;997.1;3653.9;4108.9;584.0;3525.0;542.1;413.1;128.9;210.3;16.1;34.8;9.3;10.9;134.3;5.0;27.2;2309.5;1800.7;542.1;32.9;285.8;9.5;27.2;4.3;21.1;4.8;81.0;25.5;2.9;29.6;4.2;13.2;417.4;0.4;394.3;7.2;;15.5;;841.2;283.1;399.3;147.5;7.8;3.4;508.8;505.0;476.2;2.3;1.4
70;Total energy commodities;2016;3125.2;1958.5;10292.5;8590.2;1702.2;660.4;124.9;-9.0;3134.2;4824.3;1000.6;3823.7;4300.4;593.4;3707.0;523.8;407.2;116.7;205.4;14.8;34.1;9.2;10.9;130.5;6.0;28.3;2376.7;1843.6;571.8;34.1;307.1;10.1;28.4;4.2;22.0;4.9;82.2;25.8;2.9;31.5;4.1;14.3;417.0;0.4;394.7;7.4;;14.5;;854.8;283.9;411.0;149.7;6.8;3.4;533.0;528.9;503.8;2.6;1.5
71;Total energy commodities;2017;3148.5;1755.4;10473.6;8500.6;1973.0;656.0;76.2;-2.8;3151.3;4860.2;991.4;3868.8;4355.4;602.8;3752.6;504.9;388.6;116.2;198.0;13.4;35.5;9.1;10.7;125.4;3.9;28.0;2420.4;1850.3;570.9;35.2;304.4;10.4;28.0;4.3;22.5;4.9;83.3;26.4;2.5;31.0;3.9;14.1;431.9;0.4;409.9;7.4;;14.1;;847.5;287.3;401.5;149.9;5.7;3.2;570.1;560.3;536.4;2.8;7.0
72;Total energy commodities;2018;3096.6;1563.2;10391.0;8154.2;2236.8;639.5;-63.9;4.2;3092.4;5130.5;942.0;4188.5;4663.3;582.6;4080.7;467.1;359.4;107.8;203.7;12.7;34.3;9.3;12.5;130.6;4.3;27.4;2394.1;1862.6;565.4;32.8;297.7;11.1;28.8;4.8;22.0;5.1;85.3;25.4;2.9;31.3;3.9;14.4;442.2;0.4;420.2;7.4;;14.2;;854.9;284.3;400.1;161.8;5.5;3.1;531.6;527.3;504.7;2.7;1.6
73;Total energy commodities;2019;3043.0;1409.2;10310.2;7946.5;2363.7;645.0;-85.0;4.2;3038.9;5444.8;967.2;4477.6;4974.5;611.9;4362.6;470.3;355.3;115.1;215.4;12.8;29.6;9.0;12.2;146.6;5.3;26.6;2326.5;1829.7;550.4;31.8;292.9;12.6;26.1;4.5;21.9;4.7;82.4;23.9;2.8;29.1;4.3;13.5;441.8;0.4;420.8;7.4;;13.2;;837.5;275.4;390.8;161.9;6.1;3.2;496.9;492.5;469.8;2.8;1.6
74;Total energy commodities;2020;2947.7;1173.1;9334.7;6917.7;2417.0;590.5;-52.0;20.0;2927.7;4749.4;946.8;3802.5;4311.9;615.4;3696.5;437.5;331.5;106.0;193.4;12.4;29.1;8.6;10.2;128.4;4.7;25.6;2271.2;1734.1;546.9;29.6;297.0;12.3;24.8;4.1;20.8;4.1;81.3;23.5;3.0;29.4;4.1;12.9;376.5;0.3;359.2;6.7;;10.2;;810.8;262.0;381.5;157.3;6.8;3.1;537.1;532.8;512.6;2.7;1.6
75;Total energy commodities;2021;3032.3;1128.6;9905.7;7886.4;2019.4;580.5;464.7;10.2;3022.1;5064.4;943.9;4120.5;4604.5;613.3;3991.2;459.9;330.6;129.3;208.0;15.3;28.5;8.6;12.2;137.6;5.9;25.9;2328.3;1792.6;548.0;31.5;296.3;10.7;24.8;4.3;22.0;5.0;80.8;21.4;3.9;29.7;4.1;13.5;382.6;0.4;364.2;6.7;;11.3;;862.0;274.6;422.4;155.9;5.8;3.4;535.6;517.5;501.5;2.7;15.4
76;Total energy commodities;2022;2703.1;1035.4;10370.1;7722.6;2647.6;617.7;-362.2;-16.7;2719.8;5079.1;902.8;4176.3;4639.1;592.6;4046.4;440.0;310.2;129.9;191.0;15.5;24.3;8.5;9.4;129.1;4.3;25.5;2063.3;1632.2;505.2;31.4;268.4;6.6;24.1;3.8;19.2;4.9;78.2;20.7;2.9;28.4;3.7;12.9;381.1;0.4;361.8;7.0;;11.9;;745.9;259.9;359.1;118.7;4.5;3.9;431.1;426.8;414.3;2.7;1.5
77;Total energy commodities;2023;2612.3;883.0;9916.7;7657.1;2259.6;590.6;60.3;-3.1;2615.5;4922.6;845.1;4077.5;4547.5;580.7;3966.7;375.2;264.4;110.7;182.4;13.7;19.5;8.1;6.8;130.4;4.0;25.8;2032.1;1584.0;479.7;28.1;258.2;5.7;21.3;3.4;19.0;4.4;75.3;17.6;2.6;28.8;4.0;11.4;397.8;0.4;377.5;7.0;;12.8;;706.5;254.8;322.7;120.3;4.6;4.0;448.2;443.9;432.1;2.7;1.5
78;Total energy commodities;2024;2613.5;880.2;9556.3;7323.5;2232.9;629.2;129.6;0.1;2613.4;4595.8;840.8;3755.1;4227.9;587.2;3640.6;368.0;253.5;114.4;174.3;10.8;;8.1;9.9;122.8;3.0;;2045.4;;;;;;;;;;;;;;;;;1.8;349.1;;;10.8;;;;;;4.4;;;;;;
79;Total coal and coal products;1946;305.0;241.0;94.0;13.0;81.0;5.0;-12.0;;305.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Total coal and coal products;1947;367.0;290.0;115.0;16.0;99.0;7.0;-15.0;;367.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Total coal and coal products;1948;392.0;310.0;112.0;28.0;85.0;8.0;5.0;;392.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Total coal and coal products;1949;417.0;327.0;131.0;29.0;102.0;10.0;-2.0;;417.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Total coal and coal products;1950;456.0;341.0;153.0;33.0;120.0;11.0;7.0;;456.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Total coal and coal products;1951;474.0;348.0;175.0;36.0;139.0;10.0;-3.0;;474.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Total coal and coal products;1952;462.0;350.0;180.0;42.0;138.0;8.0;-18.0;;462.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Total coal and coal products;1953;473.0;344.0;178.0;48.0;129.0;6.0;6.0;;473.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Total coal and coal products;1954;485.0;336.0;236.0;80.0;156.0;5.0;-2.0;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Total coal and coal products;1955;493.0;333.0;263.0;90.0;174.0;7.0;-7.0;;493.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Total coal and coal products;1956;513.0;332.0;288.0;95.0;193.0;6.0;-6.0;;513.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Total coal and coal products;1957;474.0;320.0;289.0;99.0;190.0;5.0;-31.0;;474.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Total coal and coal products;1958;450.0;333.0;230.0;98.0;132.0;2.0;-13.0;;450.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Total coal and coal products;1959;426.0;334.0;214.0;126.0;88.0;1.0;5.0;;426.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Total coal and coal products;1960;439.6;351.0;210.9;139.6;71.3;1.1;18.3;2.2;437.4;387.5;155.7;231.8;248.7;;248.7;138.8;155.7;-16.9;54.7;;;33.3;;;21.4;0.6;243.3;243.4;73.0;12.3;6.7;;;;;;;;;;;53.7;1.9;;;0.3;;1.6;;168.5;3.0;137.5;;;28.0;;;;;
94;Total coal and coal products;1961;431.2;353.8;216.5;149.4;67.1;0.8;11.1;0.5;430.7;402.3;163.7;238.6;251.0;;251.0;151.3;163.7;-12.4;52.1;;;31.9;;;20.2;0.7;226.6;226.5;59.3;13.1;6.7;;0.3;;;;;;;;;39.2;1.6;;;0.3;;1.3;;165.6;3.0;137.2;;;25.5;;;;;
95;Total coal and coal products;1962;457.6;324.2;262.8;144.4;118.4;0.1;15.1;0.9;456.7;400.1;170.0;230.1;245.8;;245.8;154.3;170.0;-15.7;50.6;;;32.2;;;18.4;0.7;251.1;251.0;59.2;12.7;5.7;;0.3;;;;;;;;;40.6;1.3;;;0.3;;1.0;;190.5;3.4;157.7;;;29.4;;;;;
96;Total coal and coal products;1963;469.8;322.9;293.7;146.7;147.0;;0.1;2.9;466.9;391.4;165.2;226.2;252.1;;252.1;139.3;165.2;-25.9;45.5;;;26.4;;;19.1;0.4;281.7;281.7;62.9;13.1;5.7;;0.2;;;;;;;;;44.0;1.1;;;0.3;;0.8;;217.7;3.6;188.2;;;25.9;;;;;
97;Total coal and coal products;1964;415.4;324.7;255.0;143.7;111.3;;-20.9;4.6;410.8;387.0;153.8;233.2;254.9;;254.9;132.1;153.8;-21.7;44.5;;;25.9;;;18.6;0.8;233.4;233.4;57.0;15.2;6.6;;0.4;;;;;;;;;34.8;1.0;;;0.3;;0.7;;175.4;3.5;155.7;;;16.2;;;;;
98;Total coal and coal products;1965;378.8;321.6;213.2;146.9;66.3;;-9.4;2.6;376.2;382.9;146.7;236.2;243.7;;243.7;139.2;146.7;-7.5;41.8;;;23.4;;;18.4;0.9;194.3;194.2;47.1;13.2;6.5;;0.4;;;;;;;;;27.0;1.0;;;0.2;;0.8;;146.1;3.4;128.6;;;14.1;;;;;
99;Total coal and coal products;1966;351.5;282.8;198.8;124.6;74.2;;-5.4;-0.9;352.4;367.3;147.7;219.6;207.9;;207.9;159.4;147.7;11.7;35.0;;;19.0;;;16.0;0.8;157.2;157.3;37.5;12.0;8.7;;0.4;;;;;;;;;16.4;0.4;;;0.1;;0.3;;119.4;2.2;104.5;;;12.7;;;;;
100;Total coal and coal products;1967;323.9;226.5;203.5;130.7;72.8;;24.4;2.4;321.5;362.1;157.2;204.9;172.3;;172.3;189.8;157.2;32.6;24.4;;;14.7;;;9.7;0.6;106.7;106.7;25.3;6.7;6.5;;0.3;;;;;;;;;12.0;0.1;;;0.1;;0.1;;81.3;1.1;73.1;;;7.1;;;;;
101;Total coal and coal products;1968;297.2;188.1;212.5;118.2;94.3;;14.6;-0.8;298.0;341.1;158.8;182.3;152.0;;152.0;189.1;158.8;30.3;17.0;;;10.1;;;6.9;0.6;91.3;91.4;24.9;8.0;5.8;;0.3;;;;;;;;;10.9;0.1;;;0.1;;;;66.4;0.2;60.8;;;5.4;;;;;
102;Total coal and coal products;1969;270.8;158.3;192.6;91.2;101.4;;11.2;0.6;270.2;284.1;124.6;159.5;124.6;;124.6;159.5;124.6;34.9;18.9;;;12.8;;;6.1;0.4;91.4;91.4;28.1;13.0;9.8;;0.4;;;;;;;;;5.0;0.1;;;0.1;;;;63.2;0.0;60.2;;;3.0;;;;;
103;Total coal and coal products;1970;208.7;124.5;169.8;85.2;84.6;;-0.5;0.2;208.5;239.6;83.8;155.8;120.4;;120.4;119.2;83.8;35.4;17.6;;;13.7;;;3.9;0.4;71.3;71.3;29.6;11.4;9.6;;0.3;;;;;;;;;8.3;0.3;;;0.3;;;;41.4;;40.4;;;1.0;;;;;
104;Total coal and coal products;1971;149.0;104.0;123.6;68.1;55.5;;-10.4;0.0;149.0;190.2;45.8;144.4;112.0;;112.0;78.2;45.8;32.4;17.5;;;15.0;;;2.5;0.8;52.5;52.5;28.4;12.9;8.0;1.0;0.4;;0.6;;0.5;;;;0.0;5.1;0.3;;;0.3;;;;23.8;;21.5;;;2.4;;;;;
105;Total coal and coal products;1972;125.0;80.6;111.2;70.7;40.5;;3.9;-0.4;125.4;175.8;38.2;137.6;113.9;;113.9;61.9;38.2;23.7;17.1;;;15.6;;;1.5;1.5;44.9;45.0;26.8;14.4;7.8;0.3;0.6;;0.6;;0.5;;;;;2.7;0.3;;;0.3;;;;17.9;;16.4;;;1.5;;;;;
106;Total coal and coal products;1973;126.3;50.1;128.8;60.6;68.2;;8.1;-1.8;128.1;201.0;33.0;168.0;143.3;;143.3;57.7;33.0;24.7;24.9;;;24.1;;;0.8;1.4;44.1;44.0;30.2;18.4;7.2;0.5;0.5;;0.2;;0.5;;;;;2.8;;;;;;;;13.8;;10.2;;;3.6;;;;;
107;Total coal and coal products;1974;127.1;21.9;138.4;44.2;94.2;;10.9;9.5;117.6;191.7;25.4;166.3;138.9;;138.9;52.8;25.4;27.4;24.7;;;24.2;;;0.5;1.4;38.7;38.7;29.5;18.0;8.4;0.1;0.5;;0.1;;0.4;;;;;1.9;;;;;;;;9.2;;6.6;;;2.6;;;;;
108;Total coal and coal products;1975;98.4;;123.3;20.3;103.0;;-4.4;-0.4;98.8;178.6;18.5;160.1;131.7;;131.7;46.9;18.5;28.4;24.0;;;24.0;;;;;27.9;27.8;23.1;14.4;6.2;0.2;0.5;;0.1;;0.5;;;;;1.4;;;;;;;;4.7;;3.2;;;1.5;;;;;
109;Total coal and coal products;1976;103.3;;136.6;31.5;105.1;;-1.7;-11.8;115.1;200.0;42.6;157.4;122.8;;122.8;77.2;42.6;34.6;8.4;;;8.3;;;0.1;0.0;29.5;29.6;26.4;17.1;6.6;;0.4;;1.0;;0.6;;;0.4;;0.3;;;;;;;;3.2;;2.1;;;1.0;;;;;
110;Total coal and coal products;1977;105.9;;139.2;33.7;105.5;;0.5;-16.6;122.5;196.7;54.1;142.6;109.4;;109.4;87.3;54.1;33.2;7.9;;;7.9;;;;;27.3;27.3;24.1;15.0;5.8;;1.3;;0.7;;0.6;;;0.4;;0.3;;;;;;;;3.2;;2.0;;;1.2;;;;;
111;Total coal and coal products;1978;125.9;;150.9;32.9;118.0;;7.7;-10.7;136.6;203.9;55.6;148.3;105.3;;105.3;98.6;55.6;43.0;7.7;;;7.7;;;;;30.3;30.4;27.6;17.9;5.8;;2.4;;0.8;;0.5;;;0.1;;0.1;;;;;;;;2.8;;1.8;;;1.0;;;;;
112;Total coal and coal products;1979;142.9;;196.1;45.7;150.4;;-7.4;8.7;134.2;209.7;44.1;165.6;119.1;;119.1;90.6;44.1;46.5;8.4;;;8.4;;;;;35.2;35.3;32.2;19.4;6.2;;4.8;;0.9;;0.5;;;0.1;;;;;;;;;;3.1;;1.7;;;1.4;;;;;
113;Total coal and coal products;1980;162.4;;217.3;58.0;159.3;;3.3;-3.7;166.1;239.5;73.0;166.5;112.7;;112.7;126.8;73.0;53.8;8.2;;;8.2;;;;;31.1;31.2;27.8;16.7;5.0;;4.5;;0.9;;0.5;;;0.2;;0.0;;;;;;;;3.4;;1.9;;;1.6;;;;;
114;Total coal and coal products;1981;185.9;;254.1;47.9;206.2;;-20.1;-6.7;192.6;260.7;92.9;167.8;106.4;;106.4;154.3;92.9;61.4;7.4;;;7.4;;;;;30.9;30.9;28.0;18.2;4.4;;4.2;;0.5;;0.6;;;0.1;;;;;;;;;;2.9;;1.9;;;0.9;;;;;
115;Total coal and coal products;1982;149.2;;240.2;35.8;204.4;;-55.3;-52.4;201.6;267.3;120.4;146.9;108.8;;108.8;158.5;120.4;38.1;8.4;;;8.4;;;;;34.7;34.7;32.2;19.5;7.5;0.0;3.8;;0.4;;1.1;;;;;;;;;;;;;2.5;;1.6;;;0.9;;;;;
116;Total coal and coal products;1983;206.8;2.7;214.7;39.6;175.1;;29.0;0.0;206.8;263.7;126.1;137.6;98.4;;98.4;165.3;126.1;39.2;7.3;;;7.3;;;;;34.2;34.2;31.9;20.8;5.5;;4.1;;0.4;;1.0;;;;;0.1;;;;;;;;2.3;;1.7;;;0.6;;;;;
117;Total coal and coal products;1984;260.2;2.7;308.5;57.0;251.5;;5.8;10.3;249.9;322.5;144.0;178.5;126.7;;126.7;195.8;144.0;51.8;9.0;;;9.0;;;;;45.1;45.0;43.0;24.3;12.8;0.0;4.3;;0.4;;1.0;;;;0.0;0.0;;;;;;;;2.0;;1.0;;;1.0;;;;;
118;Total coal and coal products;1985;260.1;2.4;316.6;60.9;255.7;;1.8;10.2;249.9;328.9;140.8;188.1;135.2;;135.2;193.7;140.8;52.9;10.0;;;10.0;;;;;46.2;46.2;42.6;23.7;13.1;0.1;4.2;;0.4;;1.2;;;;0.0;;;;;;;;;3.6;;1.4;;;2.2;;;;;
119;Total coal and coal products;1986;259.5;1.9;332.3;82.0;250.3;;7.3;2.1;257.4;336.1;152.3;183.8;132.3;;132.3;203.8;152.3;51.5;10.0;;;10.0;;;;;43.6;43.6;39.8;22.0;11.2;0.0;3.5;;0.7;;2.2;;;;;0.1;;;;;;;;3.8;;2.1;;;1.8;;;;;
120;Total coal and coal products;1987;267.1;;344.8;68.4;276.4;;-9.4;-5.8;272.9;341.4;167.1;174.3;125.8;;125.8;215.6;167.1;48.5;9.2;;;9.2;;;;;48.1;48.2;44.5;21.2;13.3;0.1;3.4;;1.4;;5.0;;;;;0.0;;;;;;;;3.7;;1.8;;;1.8;;;;;
121;Total coal and coal products;1988;318.8;;389.7;70.3;319.4;;-0.5;-7.9;326.7;401.0;211.9;189.1;134.2;;134.2;266.8;211.9;54.9;9.6;;;9.6;;;;;50.3;50.3;47.1;25.4;15.1;0.0;3.1;;0.9;;2.1;;;;0.0;0.3;;;;;;;;3.2;;1.2;;;2.0;;;;;
122;Total coal and coal products;1989;323.1;;376.1;50.7;325.4;;-2.1;-9.3;332.4;402.8;212.2;190.6;134.6;;134.6;268.2;212.2;56.0;9.8;;;9.8;;;;;54.4;48.6;46.6;31.9;10.3;;2.1;;0.2;;1.9;;;;0.0;0.0;;;;;;;;2.0;;0.8;;;1.2;5.8;5.8;;;
123;Total coal and coal products;1990;366.9;;389.5;24.7;364.8;;2.0;;366.9;436.5;256.5;180.1;133.3;;133.3;303.2;256.5;46.7;21.1;;;9.6;11.5;;;;42.6;31.5;30.9;14.5;10.0;;3.3;;0.2;0.1;2.4;;;;;0.4;;;;;;;;0.7;0.0;0.6;;;;11.1;11.1;8.4;;
124;Total coal and coal products;1991;335.6;;367.9;32.1;335.7;;-0.1;0.0;335.6;418.1;234.0;184.1;140.9;;140.9;277.3;234.0;43.3;23.3;;;10.4;12.8;;;;35.0;25.3;24.8;10.2;9.4;;2.7;;0.2;0.1;1.8;;;;;0.3;;;;;;;;0.5;0.0;0.5;;;;9.8;9.8;7.3;;
125;Total coal and coal products;1992;335.3;;370.1;34.6;335.5;;-0.2;0.0;335.3;426.5;239.5;187.0;141.9;;141.9;284.6;239.5;45.1;23.9;;;10.4;13.5;;;;26.7;16.8;16.3;9.8;1.7;;2.3;;0.3;0.1;1.8;;;;;0.3;;;;;;;;0.5;0.0;0.5;;;;9.9;9.9;7.4;;
126;Total coal and coal products;1993;336.6;;361.1;27.3;333.8;;2.8;0.0;336.6;429.5;236.2;193.3;144.6;;144.6;284.9;236.2;48.7;24.5;;;10.3;14.2;;;;27.2;17.5;17.1;11.0;1.1;;2.3;;;0.1;2.3;;;;;0.2;;;;;;;;0.4;0.0;0.4;;;;9.7;9.7;7.3;;
127;Total coal and coal products;1994;367.2;;398.6;29.2;369.4;;-2.3;0.0;367.2;463.7;259.4;204.3;144.3;;144.3;319.4;259.4;60.0;23.7;;;10.3;13.3;;;;24.1;14.5;14.2;10.1;0.3;;2.1;;;0.1;1.5;;;;;0.2;;;;;;;;0.3;0.0;0.3;;;;9.5;9.5;7.4;;
128;Total coal and coal products;1995;373.6;;409.1;32.6;376.4;;-2.9;;373.6;465.1;268.5;196.6;144.8;;144.8;320.3;268.5;51.8;24.3;;;10.3;13.9;;;;29.1;18.8;18.6;14.9;0.1;;2.1;;;0.1;1.2;;;;;0.1;;;;;;;;0.3;0.0;0.2;;;;10.2;10.2;7.9;;
129;Total coal and coal products;1996;361.1;;385.6;27.3;358.3;;2.8;0.0;361.1;454.4;255.6;198.9;145.3;;145.3;309.1;255.6;53.5;23.8;;;10.0;13.7;;;;28.2;17.3;17.0;13.7;0.5;0.0;1.9;;;0.1;0.8;;;;;0.0;;;;;;;;0.2;0.0;0.2;;;;10.9;10.9;8.3;;
130;Total coal and coal products;1997;351.7;;391.9;30.4;361.5;;-9.9;0.0;351.7;444.4;242.6;201.8;144.8;;144.8;299.7;242.6;57.1;22.2;;;10.0;12.2;;;;29.8;19.6;19.3;15.0;0.8;0.0;2.1;;;0.1;1.2;;;;;0.2;;;;;;;;0.2;0.0;0.2;;;;10.2;10.2;7.8;;
131;Total coal and coal products;1998;357.9;;395.6;33.8;361.8;;-3.9;0.0;357.9;451.9;254.3;197.6;141.1;;141.1;310.8;254.3;56.5;21.7;;;9.9;11.7;;;;25.5;16.8;16.6;12.7;0.8;;1.9;;;0.1;1.1;;;;;0.1;;;;;;;;0.2;0.0;0.2;;;;8.7;8.7;6.3;;
132;Total coal and coal products;1999;312.3;;328.6;24.7;303.9;;8.4;0.0;312.3;393.8;215.2;178.5;121.1;;121.1;272.7;215.2;57.5;18.1;;;8.2;9.9;;;;21.5;15.6;15.5;10.9;1.1;;2.3;;;0.1;0.9;;;;;0.1;;;;;;;;0.1;0.0;0.1;;;;5.9;5.9;5.3;;
