ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
2372;Oss;Paar zonder kinderen;9.6;5.0
2373;Oss;Paar met kinderen;9.9;6.6
2374;Oss;Eenoudergezin;1.3;28.9
2375;Rucphen;Totaal particulier huishouden;8.7;6.8
2376;Rucphen;Eenpersoonshuishouden;1.5;14.7
2377;Rucphen;Paar zonder kinderen;3.1;4.4
2378;Rucphen;Paar met kinderen;3.1;4.7
2379;Rucphen;Eenoudergezin;0.4;18.4
2380;Schijndel;Totaal particulier huishouden;8.8;5.6
2381;Schijndel;Eenpersoonshuishouden;2.0;9.5
2382;Schijndel;Paar zonder kinderen;2.9;2.9
2383;Schijndel;Paar met kinderen;3.2;3.8
2384;Schijndel;Eenoudergezin;0.4;22.1
2385;Sint-Michielsgestel;Totaal particulier huishouden;10.4;5.9
2386;Sint-Michielsgestel;Eenpersoonshuishouden;2.3;11.3
2387;Sint-Michielsgestel;Paar zonder kinderen;3.4;2.9
2388;Sint-Michielsgestel;Paar met kinderen;3.8;4.4
2389;Sint-Michielsgestel;Eenoudergezin;0.4;18.4
2390;Sint-Oedenrode;Totaal particulier huishouden;6.3;6.1
2391;Sint-Oedenrode;Eenpersoonshuishouden;1.3;9.6
2392;Sint-Oedenrode;Paar zonder kinderen;2.3;3.4
2393;Sint-Oedenrode;Paar met kinderen;2.3;5.8
2394;Sint-Oedenrode;Eenoudergezin;0.2;22.1
2395;Someren;Totaal particulier huishouden;6.6;6.9
2396;Someren;Eenpersoonshuishouden;1.4;11.3
2397;Someren;Paar zonder kinderen;1.9;5.1
2398;Someren;Paar met kinderen;2.7;4.9
2399;Someren;Eenoudergezin;0.2;22.3
2400;Son en Breugel;Totaal particulier huishouden;6.0;6.5
2401;Son en Breugel;Eenpersoonshuishouden;1.3;10.3
2402;Son en Breugel;Paar zonder kinderen;2.4;3.8
2403;Son en Breugel;Paar met kinderen;1.9;5.6
2404;Son en Breugel;Eenoudergezin;0.2;16.2
2405;Steenbergen;Totaal particulier huishouden;9.1;5.9
2406;Steenbergen;Eenpersoonshuishouden;2.0;9.2
2407;Steenbergen;Paar zonder kinderen;3.3;3.5
2408;Steenbergen;Paar met kinderen;3.2;4.9
2409;Steenbergen;Eenoudergezin;0.3;22.1
2410;Waterland;Totaal particulier huishouden;6.9;4.9
2411;Waterland;Eenpersoonshuishouden;1.8;7.6
2412;Waterland;Paar zonder kinderen;2.4;2.8
2413;Waterland;Paar met kinderen;2.3;3.7
2414;Waterland;Eenoudergezin;0.2;13.5
2415;Tilburg;Totaal particulier huishouden;80.3;10.6
2416;Tilburg;Eenpersoonshuishouden;27.2;14.6
2417;Tilburg;Paar zonder kinderen;24.9;4.9
2418;Tilburg;Paar met kinderen;20.9;6.7
2419;Tilburg;Eenoudergezin;4.3;37.7
2420;Uden;Totaal particulier huishouden;15.8;7.1
2421;Uden;Eenpersoonshuishouden;4.3;11.8
2422;Uden;Paar zonder kinderen;5.2;3.0
2423;Uden;Paar met kinderen;5.1;5.4
2424;Uden;Eenoudergezin;0.6;26.8
2425;Valkenswaard;Totaal particulier huishouden;12.8;6.8
2426;Valkenswaard;Eenpersoonshuishouden;3.5;12.5
2427;Valkenswaard;Paar zonder kinderen;4.6;3.3
2428;Valkenswaard;Paar met kinderen;3.9;4.2
2429;Valkenswaard;Eenoudergezin;0.5;20.7
2430;Veghel;Totaal particulier huishouden;13.3;6.5
2431;Veghel;Eenpersoonshuishouden;3.0;10.3
2432;Veghel;Paar zonder kinderen;4.1;4.0
2433;Veghel;Paar met kinderen;5.1;5.8
2434;Veghel;Eenoudergezin;0.5;15.3
2435;Veldhoven;Totaal particulier huishouden;16.8;6.7
2436;Veldhoven;Eenpersoonshuishouden;4.3;11.9
2437;Veldhoven;Paar zonder kinderen;5.7;3.0
2438;Veldhoven;Paar met kinderen;5.6;3.8
2439;Veldhoven;Eenoudergezin;0.7;30.2
2440;Vught;Totaal particulier huishouden;10.0;6.8
2441;Vught;Eenpersoonshuishouden;3.0;10.8
2442;Vught;Paar zonder kinderen;3.1;2.5
2443;Vught;Paar met kinderen;3.1;4.2
2444;Vught;Eenoudergezin;0.5;23.7
2445;Waalre;Totaal particulier huishouden;6.6;6.4
2446;Waalre;Eenpersoonshuishouden;1.7;9.7
2447;Waalre;Paar zonder kinderen;2.4;2.7
2448;Waalre;Paar met kinderen;2.0;6.0
2449;Waalre;Eenoudergezin;0.2;25.5
2450;Waalwijk;Totaal particulier huishouden;17.9;6.9
2451;Waalwijk;Eenpersoonshuishouden;4.4;11.6
2452;Waalwijk;Paar zonder kinderen;6.1;3.7
2453;Waalwijk;Paar met kinderen;5.9;4.4
2454;Waalwijk;Eenoudergezin;0.8;27.1
2455;Werkendam;Totaal particulier huishouden;9.6;5.7
2456;Werkendam;Eenpersoonshuishouden;2.0;11.5
2457;Werkendam;Paar zonder kinderen;3.0;3.0
2458;Werkendam;Paar met kinderen;4.0;3.5
2459;Werkendam;Eenoudergezin;0.3;19.5
2460;Woensdrecht;Totaal particulier huishouden;8.2;6.4
2461;Woensdrecht;Eenpersoonshuishouden;1.8;10.5
2462;Woensdrecht;Paar zonder kinderen;3.1;3.6
2463;Woensdrecht;Paar met kinderen;2.7;4.4
2464;Woensdrecht;Eenoudergezin;0.3;24.7
2465;Woudrichem;Totaal particulier huishouden;5.2;5.3
2466;Woudrichem;Eenpersoonshuishouden;1.1;6.9
2467;Woudrichem;Paar zonder kinderen;1.7;4.8
2468;Woudrichem;Paar met kinderen;2.1;3.1
2469;Woudrichem;Eenoudergezin;0.2;29.1
2470;Zundert;Totaal particulier huishouden;7.7;6.2
2471;Zundert;Eenpersoonshuishouden;1.8;10.7
2472;Zundert;Paar zonder kinderen;2.7;3.9
2473;Zundert;Paar met kinderen;2.7;5.0
2474;Zundert;Eenoudergezin;0.2;18.9
2475;Wormerland;Totaal particulier huishouden;6.2;6.0
2476;Wormerland;Eenpersoonshuishouden;1.6;12.9
2477;Wormerland;Paar zonder kinderen;2.2;3.1
2478;Wormerland;Paar met kinderen;2.0;2.6
2479;Wormerland;Eenoudergezin;0.2;16.8
2480;Onderbanken;Totaal particulier huishouden;3.3;8.6
2481;Onderbanken;Eenpersoonshuishouden;0.7;13.7
2482;Onderbanken;Paar zonder kinderen;1.1;5.4
2483;Onderbanken;Paar met kinderen;1.1;7.1
2484;Onderbanken;Eenoudergezin;0.1;27.1
2485;Landgraaf;Totaal particulier huishouden;16.3;10.2
2486;Landgraaf;Eenpersoonshuishouden;4.4;17.7
2487;Landgraaf;Paar zonder kinderen;5.7;5.9
2488;Landgraaf;Paar met kinderen;4.8;5.7
2489;Landgraaf;Eenoudergezin;0.9;29.1
2490;Arcen en Velden;Totaal particulier huishouden;3.3;7.4
2491;Arcen en Velden;Eenpersoonshuishouden;0.7;14.3
2492;Arcen en Velden;Paar zonder kinderen;1.1;4.8
2493;Arcen en Velden;Paar met kinderen;1.3;5.4
2494;Arcen en Velden;Eenoudergezin;0.1;17.3
2495;Beek (L.);Totaal particulier huishouden;6.9;7.1
2496;Beek (L.);Eenpersoonshuishouden;1.7;12.1
2497;Beek (L.);Paar zonder kinderen;2.4;4.9
2498;Beek (L.);Paar met kinderen;2.2;3.4
2499;Beek (L.);Eenoudergezin;0.3;26.5
2500;Beesel;Totaal particulier huishouden;5.2;6.9
2501;Beesel;Eenpersoonshuishouden;1.2;13.7
2502;Beesel;Paar zonder kinderen;1.8;3.6
2503;Beesel;Paar met kinderen;1.9;4.1
2504;Beesel;Eenoudergezin;0.2;26.3
2505;Bergen (L.);Totaal particulier huishouden;5.0;6.8
2506;Bergen (L.);Eenpersoonshuishouden;1.1;13.1
2507;Bergen (L.);Paar zonder kinderen;1.6;5.1
2508;Bergen (L.);Paar met kinderen;1.9;5.4
2509;Bergen (L.);Eenoudergezin;0.2;4.5
2510;Brunssum;Totaal particulier huishouden;12.8;12.8
2511;Brunssum;Eenpersoonshuishouden;4.0;18.5
2512;Brunssum;Paar zonder kinderen;4.2;6.7
2513;Brunssum;Paar met kinderen;3.5;7.2
2514;Brunssum;Eenoudergezin;0.7;41.3
2515;Eijsden;Totaal particulier huishouden;4.5;5.4
2516;Eijsden;Eenpersoonshuishouden;0.9;9.9
2517;Eijsden;Paar zonder kinderen;1.4;3.9
2518;Eijsden;Paar met kinderen;1.8;3.5
2519;Eijsden;Eenoudergezin;0.2;13.5
2520;Gennep;Totaal particulier huishouden;6.2;6.7
2521;Gennep;Eenpersoonshuishouden;1.6;8.0
2522;Gennep;Paar zonder kinderen;2.0;4.1
2523;Gennep;Paar met kinderen;2.1;5.6
2524;Gennep;Eenoudergezin;0.3;32.8
2525;Haelen;Totaal particulier huishouden;3.9;4.8
2526;Haelen;Eenpersoonshuishouden;0.9;11.2
2527;Haelen;Paar zonder kinderen;1.4;0.9
2528;Haelen;Paar met kinderen;1.3;2.7
2529;Haelen;Eenoudergezin;0.2;17.0
2530;Heerlen;Totaal particulier huishouden;41.7;14.3
2531;Heerlen;Eenpersoonshuishouden;15.8;19.5
2532;Heerlen;Paar zonder kinderen;12.6;7.2
2533;Heerlen;Paar met kinderen;9.5;9.5
2534;Heerlen;Eenoudergezin;2.4;39.8
2535;Helden;Totaal particulier huishouden;7.0;6.6
2536;Helden;Eenpersoonshuishouden;1.5;9.5
2537;Helden;Paar zonder kinderen;2.3;4.5
2538;Helden;Paar met kinderen;2.8;5.4
2539;Helden;Eenoudergezin;0.2;26.7
2540;Heythuysen;Totaal particulier huishouden;4.5;6.5
2541;Heythuysen;Eenpersoonshuishouden;1.0;8.2
2542;Heythuysen;Paar zonder kinderen;1.6;3.7
2543;Heythuysen;Paar met kinderen;1.7;5.7
2544;Heythuysen;Eenoudergezin;0.1;32.1
2545;Hunsel;Totaal particulier huishouden;2.2;7.6
2546;Hunsel;Eenpersoonshuishouden;0.4;14.5
2547;Hunsel;Paar zonder kinderen;0.7;3.4
2548;Hunsel;Paar met kinderen;1.0;4.3
2549;Hunsel;Eenoudergezin;0.1;38.0
2550;Kerkrade;Totaal particulier huishouden;20.7;13.1
2551;Kerkrade;Eenpersoonshuishouden;6.7;18.1
2552;Kerkrade;Paar zonder kinderen;7.1;7.8
2553;Kerkrade;Paar met kinderen;4.9;8.3
2554;Kerkrade;Eenoudergezin;1.2;38.2
2555;Kessel;Totaal particulier huishouden;1.6;7.1
2556;Kessel;Eenpersoonshuishouden;0.3;11.9
2557;Kessel;Paar zonder kinderen;0.6;2.5
2558;Kessel;Paar met kinderen;0.6;6.3
2559;Kessel;Eenoudergezin;0.1;26.9
2560;Maasbracht;Totaal particulier huishouden;5.5;6.5
2561;Maasbracht;Eenpersoonshuishouden;1.3;10.4
2562;Maasbracht;Paar zonder kinderen;1.9;5.2
2563;Maasbracht;Paar met kinderen;1.8;3.8
2564;Maasbracht;Eenoudergezin;0.2;17.8
2565;Maasbree;Totaal particulier huishouden;4.6;5.7
2566;Maasbree;Eenpersoonshuishouden;0.8;4.5
2567;Maasbree;Paar zonder kinderen;1.5;6.1
2568;Maasbree;Paar met kinderen;2.0;4.0
2569;Maasbree;Eenoudergezin;0.2;32.5
2570;Maastricht;Totaal particulier huishouden;50.6;12.6
2571;Maastricht;Eenpersoonshuishouden;18.9;17.5
2572;Maastricht;Paar zonder kinderen;15.3;6.5
2573;Maastricht;Paar met kinderen;11.6;7.6
2574;Maastricht;Eenoudergezin;2.9;35.0
2575;Margraten;Totaal particulier huishouden;5.1;5.6
2576;Margraten;Eenpersoonshuishouden;1.1;13.1
2577;Margraten;Paar zonder kinderen;1.8;3.1
2578;Margraten;Paar met kinderen;1.9;3.2
2579;Margraten;Eenoudergezin;0.2;8.8
2580;Meerssen;Totaal particulier huishouden;8.0;6.5
2581;Meerssen;Eenpersoonshuishouden;1.8;11.0
2582;Meerssen;Paar zonder kinderen;2.9;3.7
2583;Meerssen;Paar met kinderen;2.6;5.2
2584;Meerssen;Eenoudergezin;0.3;18.1
2585;Meijel;Totaal particulier huishouden;2.1;2.3
2586;Meijel;Eenpersoonshuishouden;0.4;1.5
2587;Meijel;Paar zonder kinderen;0.7;1.0
2588;Meijel;Paar met kinderen;0.9;2.6
2589;Meijel;Eenoudergezin;;
2590;Mook en Middelaar;Totaal particulier huishouden;3.2;8.0
2591;Mook en Middelaar;Eenpersoonshuishouden;0.8;14.6
2592;Mook en Middelaar;Paar zonder kinderen;1.2;3.3
2593;Mook en Middelaar;Paar met kinderen;1.0;5.8
2594;Mook en Middelaar;Eenoudergezin;0.1;32.1
2595;Nederweert;Totaal particulier huishouden;5.9;6.3
2596;Nederweert;Eenpersoonshuishouden;1.1;9.9
2597;Nederweert;Paar zonder kinderen;2.0;5.2
2598;Nederweert;Paar met kinderen;2.5;4.5
2599;Nederweert;Eenoudergezin;0.2;18.3
2600;Nuth;Totaal particulier huishouden;6.5;6.7
2601;Nuth;Eenpersoonshuishouden;1.5;10.4
2602;Nuth;Paar zonder kinderen;2.3;4.2
2603;Nuth;Paar met kinderen;2.1;5.0
2604;Nuth;Eenoudergezin;0.3;20.4
2605;Roermond;Totaal particulier huishouden;19.2;13.3
2606;Roermond;Eenpersoonshuishouden;6.7;18.7
2607;Roermond;Paar zonder kinderen;5.7;6.0
2608;Roermond;Paar met kinderen;4.8;10.0
2609;Roermond;Eenoudergezin;1.0;37.5
2610;Schinnen;Totaal particulier huishouden;5.3;6.4
2611;Schinnen;Eenpersoonshuishouden;1.1;9.7
2612;Schinnen;Paar zonder kinderen;1.9;3.5
2613;Schinnen;Paar met kinderen;1.9;5.1
2614;Schinnen;Eenoudergezin;0.2;25.9
2615;Sevenum;Totaal particulier huishouden;2.7;4.5
2616;Sevenum;Eenpersoonshuishouden;0.5;5.1
2617;Sevenum;Paar zonder kinderen;0.9;3.5
2618;Sevenum;Paar met kinderen;1.0;3.4
2619;Sevenum;Eenoudergezin;0.1;8.3
2620;Simpelveld;Totaal particulier huishouden;4.5;6.9
2621;Simpelveld;Eenpersoonshuishouden;1.1;9.7
2622;Simpelveld;Paar zonder kinderen;1.6;4.9
2623;Simpelveld;Paar met kinderen;1.4;5.0
2624;Simpelveld;Eenoudergezin;0.2;24.0
2625;Stein (L.);Totaal particulier huishouden;10.7;6.7
2626;Stein (L.);Eenpersoonshuishouden;2.4;10.8
2627;Stein (L.);Paar zonder kinderen;4.1;4.9
2628;Stein (L.);Paar met kinderen;3.5;3.7
2629;Stein (L.);Eenoudergezin;0.4;29.6
2630;Swalmen;Totaal particulier huishouden;3.5;8.7
2631;Swalmen;Eenpersoonshuishouden;0.9;14.8
2632;Swalmen;Paar zonder kinderen;1.2;4.8
2633;Swalmen;Paar met kinderen;1.1;5.4
2634;Swalmen;Eenoudergezin;0.1;31.9
2635;Thorn;Totaal particulier huishouden;1.0;5.4
2636;Thorn;Eenpersoonshuishouden;0.3;6.7
2637;Thorn;Paar zonder kinderen;0.3;6.4
2638;Thorn;Paar met kinderen;0.3;3.2
2639;Thorn;Eenoudergezin;;
2640;Vaals;Totaal particulier huishouden;3.6;14.6
2641;Vaals;Eenpersoonshuishouden;1.2;20.0
2642;Vaals;Paar zonder kinderen;1.1;9.2
2643;Vaals;Paar met kinderen;0.9;9.5
2644;Vaals;Eenoudergezin;0.2;39.8
2645;Venlo;Totaal particulier huishouden;38.0;11.1
2646;Venlo;Eenpersoonshuishouden;12.2;15.7
2647;Venlo;Paar zonder kinderen;11.8;6.3
2648;Venlo;Paar met kinderen;10.7;7.8
2649;Venlo;Eenoudergezin;1.8;31.2
2650;Venray;Totaal particulier huishouden;14.9;8.9
2651;Venray;Eenpersoonshuishouden;3.9;13.8
2652;Venray;Paar zonder kinderen;4.6;4.1
2653;Venray;Paar met kinderen;5.2;6.1
2654;Venray;Eenoudergezin;0.6;34.2
2655;Voerendaal;Totaal particulier huishouden;5.2;5.2
2656;Voerendaal;Eenpersoonshuishouden;1.1;7.9
2657;Voerendaal;Paar zonder kinderen;1.9;3.6
2658;Voerendaal;Paar met kinderen;1.8;2.8
2659;Voerendaal;Eenoudergezin;0.2;22.5
2660;Weert;Totaal particulier huishouden;19.4;7.7
2661;Weert;Eenpersoonshuishouden;5.1;12.2
2662;Weert;Paar zonder kinderen;6.6;4.3
2663;Weert;Paar met kinderen;6.1;4.6
2664;Weert;Eenoudergezin;0.9;28.9
2665;Meerlo-Wanssum;Totaal particulier huishouden;2.8;4.0
2666;Meerlo-Wanssum;Eenpersoonshuishouden;0.5;6.5
2667;Meerlo-Wanssum;Paar zonder kinderen;1.0;2.0
2668;Meerlo-Wanssum;Paar met kinderen;1.1;4.7
2669;Meerlo-Wanssum;Eenoudergezin;0.1;8.4
2670;Valkenburg a/d Geul;Totaal particulier huishouden;7.3;8.6
2671;Valkenburg a/d Geul;Eenpersoonshuishouden;2.1;14.2
2672;Valkenburg a/d Geul;Paar zonder kinderen;2.4;4.0
2673;Valkenburg a/d Geul;Paar met kinderen;2.1;4.7
2674;Valkenburg a/d Geul;Eenoudergezin;0.3;33.1
2675;Lelystad;Totaal particulier huishouden;27.5;11.6
2676;Lelystad;Eenpersoonshuishouden;7.9;18.0
2677;Lelystad;Paar zonder kinderen;8.4;4.8
2678;Lelystad;Paar met kinderen;8.1;8.7
2679;Lelystad;Eenoudergezin;1.7;30.0
2680;Horst aan de Maas;Totaal particulier huishouden;10.6;5.0
2681;Horst aan de Maas;Eenpersoonshuishouden;2.3;7.6
2682;Horst aan de Maas;Paar zonder kinderen;3.6;2.8
2683;Horst aan de Maas;Paar met kinderen;4.0;4.6
2684;Horst aan de Maas;Eenoudergezin;0.4;13.7
2685;Eemsmond;Totaal particulier huishouden;6.9;10.6
2686;Eemsmond;Eenpersoonshuishouden;2.1;15.0
2687;Eemsmond;Paar zonder kinderen;2.3;5.2
2688;Eemsmond;Paar met kinderen;2.1;9.0
2689;Eemsmond;Eenoudergezin;0.2;37.9
2690;Gemert-Bakel;Totaal particulier huishouden;10.3;7.6
2691;Gemert-Bakel;Eenpersoonshuishouden;2.3;12.2
2692;Gemert-Bakel;Paar zonder kinderen;3.3;4.8
2693;Gemert-Bakel;Paar met kinderen;3.9;6.1
2694;Gemert-Bakel;Eenoudergezin;0.4;20.8
2695;Halderberge;Totaal particulier huishouden;11.6;6.7
2696;Halderberge;Eenpersoonshuishouden;2.5;10.1
2697;Halderberge;Paar zonder kinderen;4.3;3.9
2698;Halderberge;Paar met kinderen;3.9;5.3
2699;Halderberge;Eenoudergezin;0.4;27.6
2700;Heeze-Leende;Totaal particulier huishouden;5.7;5.8
2701;Heeze-Leende;Eenpersoonshuishouden;1.2;7.2
2702;Heeze-Leende;Paar zonder kinderen;1.9;4.4
2703;Heeze-Leende;Paar met kinderen;2.1;5.6
2704;Heeze-Leende;Eenoudergezin;0.2;14.4
2705;Laarbeek;Totaal particulier huishouden;7.9;6.6
2706;Laarbeek;Eenpersoonshuishouden;1.6;12.8
2707;Laarbeek;Paar zonder kinderen;2.8;4.6
2708;Laarbeek;Paar met kinderen;3.0;4.8
2709;Laarbeek;Eenoudergezin;0.3;11.8
2710;Reiderland;Totaal particulier huishouden;3.0;14.9
2711;Reiderland;Eenpersoonshuishouden;0.9;19.2
2712;Reiderland;Paar zonder kinderen;1.1;11.5
2713;Reiderland;Paar met kinderen;0.8;10.8
2714;Reiderland;Eenoudergezin;0.1;36.7
2715;De Marne;Totaal particulier huishouden;4.7;10.6
2716;De Marne;Eenpersoonshuishouden;1.5;14.2
2717;De Marne;Paar zonder kinderen;1.5;6.0
2718;De Marne;Paar met kinderen;1.3;6.9
2719;De Marne;Eenoudergezin;0.2;41.9
2720;Zevenhuizen-Moerkapelle;Totaal particulier huishouden;3.6;5.4
2721;Zevenhuizen-Moerkapelle;Eenpersoonshuishouden;0.7;9.5
2722;Zevenhuizen-Moerkapelle;Paar zonder kinderen;1.2;3.2
2723;Zevenhuizen-Moerkapelle;Paar met kinderen;1.4;3.6
2724;Zevenhuizen-Moerkapelle;Eenoudergezin;0.1;29.8
2725;Reusel-De Mierden;Totaal particulier huishouden;4.3;7.0
2726;Reusel-De Mierden;Eenpersoonshuishouden;0.8;13.6
2727;Reusel-De Mierden;Paar zonder kinderen;1.3;2.9
2728;Reusel-De Mierden;Paar met kinderen;1.9;6.4
2729;Reusel-De Mierden;Eenoudergezin;0.2;17.8
2730;Roerdalen;Totaal particulier huishouden;4.2;7.9
2731;Roerdalen;Eenpersoonshuishouden;1.0;12.2
2732;Roerdalen;Paar zonder kinderen;1.6;5.8
2733;Roerdalen;Paar met kinderen;1.4;5.5
2734;Roerdalen;Eenoudergezin;0.2;23.8
2735;Roggel en Neer;Totaal particulier huishouden;3.1;4.2
2736;Roggel en Neer;Eenpersoonshuishouden;0.7;6.6
2737;Roggel en Neer;Paar zonder kinderen;1.0;2.7
2738;Roggel en Neer;Paar met kinderen;1.2;3.8
2739;Roggel en Neer;Eenoudergezin;0.1;8.2
2740;Maasdonk;Totaal particulier huishouden;3.9;6.0
2741;Maasdonk;Eenpersoonshuishouden;0.7;5.6
2742;Maasdonk;Paar zonder kinderen;1.1;6.2
2743;Maasdonk;Paar met kinderen;1.7;5.1
2744;Maasdonk;Eenoudergezin;0.2;17.0
2745;Rijnwoude;Totaal particulier huishouden;6.9;4.6
2746;Rijnwoude;Eenpersoonshuishouden;1.4;6.2
2747;Rijnwoude;Paar zonder kinderen;2.3;2.7
2748;Rijnwoude;Paar met kinderen;2.7;4.0
2749;Rijnwoude;Eenoudergezin;0.3;16.4
2750;Liemeer;Totaal particulier huishouden;2.3;4.0
2751;Liemeer;Eenpersoonshuishouden;0.6;5.0
2752;Liemeer;Paar zonder kinderen;0.6;2.5
2753;Liemeer;Paar met kinderen;1.0;3.5
2754;Liemeer;Eenoudergezin;0.1;3.8
2755;Roosendaal;Totaal particulier huishouden;31.1;8.8
2756;Roosendaal;Eenpersoonshuishouden;8.5;13.4
2757;Roosendaal;Paar zonder kinderen;10.5;4.3
2758;Roosendaal;Paar met kinderen;9.4;6.8
2759;Roosendaal;Eenoudergezin;1.4;28.8
2760;Schouwen-Duiveland;Totaal particulier huishouden;14.1;7.3
2761;Schouwen-Duiveland;Eenpersoonshuishouden;3.9;11.1
2762;Schouwen-Duiveland;Paar zonder kinderen;5.2;4.0
2763;Schouwen-Duiveland;Paar met kinderen;4.1;5.4
2764;Schouwen-Duiveland;Eenoudergezin;0.5;26.6
2765;Ambt Montfort;Totaal particulier huishouden;4.2;6.6
2766;Ambt Montfort;Eenpersoonshuishouden;0.8;13.3
2767;Ambt Montfort;Paar zonder kinderen;1.6;3.4
2768;Ambt Montfort;Paar met kinderen;1.4;6.1
2769;Ambt Montfort;Eenoudergezin;0.2;10.1
2770;Aa en Hunze;Totaal particulier huishouden;9.9;7.6
2771;Aa en Hunze;Eenpersoonshuishouden;2.4;10.7
2772;Aa en Hunze;Paar zonder kinderen;3.8;3.8
2773;Aa en Hunze;Paar met kinderen;3.1;7.6
2774;Aa en Hunze;Eenoudergezin;0.3;31.4
2775;Borger-Odoorn;Totaal particulier huishouden;10.4;8.4
2776;Borger-Odoorn;Eenpersoonshuishouden;2.4;11.3
2777;Borger-Odoorn;Paar zonder kinderen;3.9;5.6
2778;Borger-Odoorn;Paar met kinderen;3.4;7.5
2779;Borger-Odoorn;Eenoudergezin;0.3;21.4
2780;Cuijk;Totaal particulier huishouden;9.4;8.7
2781;Cuijk;Eenpersoonshuishouden;2.3;13.8
2782;Cuijk;Paar zonder kinderen;3.1;4.9
2783;Cuijk;Paar met kinderen;3.2;5.7
2784;Cuijk;Eenoudergezin;0.4;33.3
2785;Landerd;Totaal particulier huishouden;5.2;6.2
2786;Landerd;Eenpersoonshuishouden;1.1;9.3
2787;Landerd;Paar zonder kinderen;1.6;5.6
2788;Landerd;Paar met kinderen;2.1;4.6
2789;Landerd;Eenoudergezin;0.2;11.1
2790;De Wolden;Totaal particulier huishouden;9.1;6.6
2791;De Wolden;Eenpersoonshuishouden;2.2;8.4
2792;De Wolden;Paar zonder kinderen;3.1;4.6
2793;De Wolden;Paar met kinderen;3.3;6.2
2794;De Wolden;Eenoudergezin;0.3;17.0
2795;Noord-Beveland;Totaal particulier huishouden;3.0;6.7
2796;Noord-Beveland;Eenpersoonshuishouden;0.9;10.9
2797;Noord-Beveland;Paar zonder kinderen;1.2;5.4
2798;Noord-Beveland;Paar met kinderen;0.8;3.9
2799;Noord-Beveland;Eenoudergezin;0.1;13.9
2800;Wijdemeren;Totaal particulier huishouden;9.5;6.4
2801;Wijdemeren;Eenpersoonshuishouden;2.6;9.4
2802;Wijdemeren;Paar zonder kinderen;3.1;3.1
2803;Wijdemeren;Paar met kinderen;3.0;5.5
2804;Wijdemeren;Eenoudergezin;0.4;17.6
2805;Noordenveld;Totaal particulier huishouden;12.9;6.7
2806;Noordenveld;Eenpersoonshuishouden;3.3;10.1
2807;Noordenveld;Paar zonder kinderen;4.9;3.6
2808;Noordenveld;Paar met kinderen;3.9;6.2
2809;Noordenveld;Eenoudergezin;0.3;27.8
2810;Twenterand;Totaal particulier huishouden;11.6;8.0
2811;Twenterand;Eenpersoonshuishouden;2.3;13.8
2812;Twenterand;Paar zonder kinderen;3.3;5.7
2813;Twenterand;Paar met kinderen;5.0;6.3
2814;Twenterand;Eenoudergezin;0.5;18.1
2815;Westerveld;Totaal particulier huishouden;7.7;7.5
2816;Westerveld;Eenpersoonshuishouden;2.0;11.3
2817;Westerveld;Paar zonder kinderen;2.9;3.4
2818;Westerveld;Paar met kinderen;2.3;7.2
2819;Westerveld;Eenoudergezin;0.2;32.4
2820;Sint Anthonis;Totaal particulier huishouden;4.3;7.3
2821;Sint Anthonis;Eenpersoonshuishouden;0.9;11.3
2822;Sint Anthonis;Paar zonder kinderen;1.3;4.0
2823;Sint Anthonis;Paar met kinderen;1.7;6.6
2824;Sint Anthonis;Eenoudergezin;0.1;18.8
2825;Lingewaard;Totaal particulier huishouden;16.2;6.4
2826;Lingewaard;Eenpersoonshuishouden;3.5;10.6
2827;Lingewaard;Paar zonder kinderen;5.4;3.5
2828;Lingewaard;Paar met kinderen;6.0;4.7
2829;Lingewaard;Eenoudergezin;0.7;22.9
2830;Cranendonck;Totaal particulier huishouden;7.8;7.3
2831;Cranendonck;Eenpersoonshuishouden;1.7;13.0
2832;Cranendonck;Paar zonder kinderen;2.7;4.0
2833;Cranendonck;Paar met kinderen;2.8;5.6
2834;Cranendonck;Eenoudergezin;0.3;21.6
2835;Steenwijkerland;Totaal particulier huishouden;16.9;9.1
2836;Steenwijkerland;Eenpersoonshuishouden;4.6;12.2
2837;Steenwijkerland;Paar zonder kinderen;5.7;6.3
2838;Steenwijkerland;Paar met kinderen;5.4;7.4
2839;Steenwijkerland;Eenoudergezin;0.6;26.7
2840;Moerdijk;Totaal particulier huishouden;14.4;6.8
2841;Moerdijk;Eenpersoonshuishouden;3.3;9.0
2842;Moerdijk;Paar zonder kinderen;5.2;4.5
2843;Moerdijk;Paar met kinderen;4.9;5.3
2844;Moerdijk;Eenoudergezin;0.6;28.4
2845;Echt-Susteren;Totaal particulier huishouden;12.8;7.2
2846;Echt-Susteren;Eenpersoonshuishouden;3.2;11.4
2847;Echt-Susteren;Paar zonder kinderen;4.4;4.3
2848;Echt-Susteren;Paar met kinderen;4.1;4.8
2849;Echt-Susteren;Eenoudergezin;0.6;26.9
2850;Sluis;Totaal particulier huishouden;10.6;8.0
2851;Sluis;Eenpersoonshuishouden;3.2;12.1
2852;Sluis;Paar zonder kinderen;3.8;4.7
2853;Sluis;Paar met kinderen;2.8;6.8
2854;Sluis;Eenoudergezin;0.3;20.1
2855;Drimmelen;Totaal particulier huishouden;10.1;4.8
2856;Drimmelen;Eenpersoonshuishouden;2.0;6.4
