ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
4873;Self-employed;78 Employment activities;1995 2nd quarter;;;;;;
4874;Self-employed;78 Employment activities;1995 3rd quarter;;;;;;
4875;Self-employed;78 Employment activities;1995 4th quarter;;;;;;
4876;Self-employed;78 Employment activities;1995;;;;;;
4877;Self-employed;78 Employment activities;1996 1st quarter;;;;;;
4878;Self-employed;78 Employment activities;1996 2nd quarter;;;;;;
4879;Self-employed;78 Employment activities;1996 3rd quarter;;;;;;
4880;Self-employed;78 Employment activities;1996 4th quarter;;;;;;
4881;Self-employed;78 Employment activities;1996;;;;;;
4882;Self-employed;78 Employment activities;1997 1st quarter;;;;;;
4883;Self-employed;78 Employment activities;1997 2nd quarter;;;;;;
4884;Self-employed;78 Employment activities;1997 3rd quarter;;;;;;
4885;Self-employed;78 Employment activities;1997 4th quarter;;;;;;
4886;Self-employed;78 Employment activities;1997;;;;;;
4887;Self-employed;78 Employment activities;1998 1st quarter;;;;;;
4888;Self-employed;78 Employment activities;1998 2nd quarter;;;;;;
4889;Self-employed;78 Employment activities;1998 3rd quarter;;;;;;
4890;Self-employed;78 Employment activities;1998 4th quarter;;;;;;
4891;Self-employed;78 Employment activities;1998;;;;;;
4892;Self-employed;78 Employment activities;1999 1st quarter;;;;;;
4893;Self-employed;78 Employment activities;1999 2nd quarter;;;;;;
4894;Self-employed;78 Employment activities;1999 3rd quarter;;;;;;
4895;Self-employed;78 Employment activities;1999 4th quarter;;;;;;
4896;Self-employed;78 Employment activities;1999;;;;;;
4897;Self-employed;78 Employment activities;2000 1st quarter;;;;;;
4898;Self-employed;78 Employment activities;2000 2nd quarter;;;;;;
4899;Self-employed;78 Employment activities;2000 3rd quarter;;;;;;
4900;Self-employed;78 Employment activities;2000 4th quarter;;;;;;
4901;Self-employed;78 Employment activities;2000;;;;;;
4902;Self-employed;78 Employment activities;2001 1st quarter;;;;;;
4903;Self-employed;78 Employment activities;2001 2nd quarter;;;;;;
4904;Self-employed;78 Employment activities;2001 3rd quarter;;;;;;
4905;Self-employed;78 Employment activities;2001 4th quarter;;;;;;
4906;Self-employed;78 Employment activities;2001;;;;;;
4907;Self-employed;78 Employment activities;2002 1st quarter;;;;;;
4908;Self-employed;78 Employment activities;2002 2nd quarter;;;;;;
4909;Self-employed;78 Employment activities;2002 3rd quarter;;;;;;
4910;Self-employed;78 Employment activities;2002 4th quarter;;;;;;
4911;Self-employed;78 Employment activities;2002;;;;;;
4912;Self-employed;78 Employment activities;2003 1st quarter;;;;;;
4913;Self-employed;78 Employment activities;2003 2nd quarter;;;;;;
4914;Self-employed;78 Employment activities;2003 3rd quarter;;;;;;
4915;Self-employed;78 Employment activities;2003 4th quarter;;;;;;
4916;Self-employed;78 Employment activities;2003;;;;;;
4917;Self-employed;78 Employment activities;2004 1st quarter;;;;;;
4918;Self-employed;78 Employment activities;2004 2nd quarter;;;;;;
4919;Self-employed;78 Employment activities;2004 3rd quarter;;;;;;
4920;Self-employed;78 Employment activities;2004 4th quarter;;;;;;
4921;Self-employed;78 Employment activities;2004;;;;;;
4922;Self-employed;78 Employment activities;2005 1st quarter;;;;;;
4923;Self-employed;78 Employment activities;2005 2nd quarter;;;;;;
4924;Self-employed;78 Employment activities;2005 3rd quarter;;;;;;
4925;Self-employed;78 Employment activities;2005 4th quarter;;;;;;
4926;Self-employed;78 Employment activities;2005;;;;;;
4927;Self-employed;78 Employment activities;2006 1st quarter;;;;;;
4928;Self-employed;78 Employment activities;2006 2nd quarter;;;;;;
4929;Self-employed;78 Employment activities;2006 3rd quarter;;;;;;
4930;Self-employed;78 Employment activities;2006 4th quarter;;;;;;
4931;Self-employed;78 Employment activities;2006;;;;;;
4932;Self-employed;78 Employment activities;2007 1st quarter;;;;;;
4933;Self-employed;78 Employment activities;2007 2nd quarter;;;;;;
4934;Self-employed;78 Employment activities;2007 3rd quarter;;;;;;
4935;Self-employed;78 Employment activities;2007 4th quarter;;;;;;
4936;Self-employed;78 Employment activities;2007;;;;;;
4937;Self-employed;78 Employment activities;2008 1st quarter;;;;;;
4938;Self-employed;78 Employment activities;2008 2nd quarter;;;;;;
4939;Self-employed;78 Employment activities;2008 3rd quarter;;;;;;
4940;Self-employed;78 Employment activities;2008 4th quarter;;;;;;
4941;Self-employed;78 Employment activities;2008;;;;;;
4942;Self-employed;78 Employment activities;2009 1st quarter;;;;;;
4943;Self-employed;78 Employment activities;2009 2nd quarter;;;;;;
4944;Self-employed;78 Employment activities;2009 3rd quarter;;;;;;
4945;Self-employed;78 Employment activities;2009 4th quarter;;;;;;
4946;Self-employed;78 Employment activities;2009;;;;;;
4947;Self-employed;78 Employment activities;2010 1st quarter;;;;;;
4948;Self-employed;78 Employment activities;2010 2nd quarter;;;;;;
4949;Self-employed;78 Employment activities;2010 3rd quarter;;;;;;
4950;Self-employed;78 Employment activities;2010 4th quarter;;;;;;
4951;Self-employed;78 Employment activities;2010;;;;;;
4952;Self-employed;78 Employment activities;2011 1st quarter;;;;;;
4953;Self-employed;78 Employment activities;2011 2nd quarter;;;;;;
4954;Self-employed;78 Employment activities;2011 3rd quarter;;;;;;
4955;Self-employed;78 Employment activities;2011 4th quarter;;;;;;
4956;Self-employed;78 Employment activities;2011;;;;;;
4957;Self-employed;78 Employment activities;2012 1st quarter;;;;;;
4958;Self-employed;78 Employment activities;2012 2nd quarter;;;;;;
4959;Self-employed;78 Employment activities;2012 3rd quarter;;;;;;
4960;Self-employed;78 Employment activities;2012 4th quarter;;;;;;
4961;Self-employed;78 Employment activities;2012;;;;;;
4962;Self-employed;78 Employment activities;2013 1st quarter;;;;;;
4963;Self-employed;78 Employment activities;2013 2nd quarter;;;;;;
4964;Self-employed;78 Employment activities;2013 3rd quarter;;;;;;
4965;Self-employed;78 Employment activities;2013 4th quarter;;;;;;
4966;Self-employed;78 Employment activities;2013;;;;;;
4967;Self-employed;78 Employment activities;2014 1st quarter;;;;;;
4968;Self-employed;78 Employment activities;2014 2nd quarter;;;;;;
4969;Self-employed;78 Employment activities;2014 3rd quarter;;;;;;
4970;Self-employed;78 Employment activities;2014 4th quarter;;;;;;
4971;Self-employed;78 Employment activities;2014;;;;;;
4972;Self-employed;78 Employment activities;2015 1st quarter;;;;;;
4973;Self-employed;78 Employment activities;2015 2nd quarter;;;;;;
4974;Self-employed;78 Employment activities;2015 3rd quarter;;;;;;
4975;Self-employed;78 Employment activities;2015 4th quarter;;;;;;
4976;Self-employed;78 Employment activities;2015;;;;;;
4977;Self-employed;78 Employment activities;2016 1st quarter;;;;;;
4978;Self-employed;78 Employment activities;2016 2nd quarter;;;;;;
4979;Self-employed;78 Employment activities;2016 3rd quarter;;;;;;
4980;Self-employed;78 Employment activities;2016 4th quarter;;;;;;
4981;Self-employed;78 Employment activities;2016;;;;;;
4982;Self-employed;78 Employment activities;2017 1st quarter;;;;;;
4983;Self-employed;78 Employment activities;2017 2nd quarter;;;;;;
4984;Self-employed;78 Employment activities;2017 3rd quarter;;;;;;
4985;Self-employed;78 Employment activities;2017 4th quarter;;;;;;
4986;Self-employed;78 Employment activities;2017;;;;;;
4987;Self-employed;78 Employment activities;2018 1st quarter;;;;;;
4988;Self-employed;O-Q Government and care;1995 1st quarter;166.0;166.0;224.0;222.0;53.0;53.0
4989;Self-employed;O-Q Government and care;1995 2nd quarter;168.0;167.0;225.0;224.0;54.0;53.0
4990;Self-employed;O-Q Government and care;1995 3rd quarter;167.0;168.0;224.0;226.0;50.0;54.0
4991;Self-employed;O-Q Government and care;1995 4th quarter;169.0;169.0;227.0;228.0;57.0;54.0
4992;Self-employed;O-Q Government and care;1995;167.0;;225.0;;214.0;
4993;Self-employed;O-Q Government and care;1996 1st quarter;171.0;170.0;231.0;230.0;54.0;55.0
4994;Self-employed;O-Q Government and care;1996 2nd quarter;172.0;171.0;233.0;232.0;56.0;55.0
4995;Self-employed;O-Q Government and care;1996 3rd quarter;171.0;172.0;232.0;234.0;52.0;55.0
4996;Self-employed;O-Q Government and care;1996 4th quarter;174.0;174.0;236.0;236.0;58.0;56.0
4997;Self-employed;O-Q Government and care;1996;172.0;;233.0;;220.0;
4998;Self-employed;O-Q Government and care;1997 1st quarter;178.0;177.0;241.0;240.0;57.0;58.0
4999;Self-employed;O-Q Government and care;1997 2nd quarter;180.0;179.0;243.0;243.0;59.0;58.0
5000;Self-employed;O-Q Government and care;1997 3rd quarter;179.0;181.0;243.0;244.0;55.0;59.0
5001;Self-employed;O-Q Government and care;1997 4th quarter;182.0;181.0;246.0;244.0;62.0;59.0
5002;Self-employed;O-Q Government and care;1997;180.0;;243.0;;234.0;
5003;Self-employed;O-Q Government and care;1998 1st quarter;179.0;180.0;240.0;242.0;59.0;59.0
5004;Self-employed;O-Q Government and care;1998 2nd quarter;181.0;180.0;242.0;242.0;61.0;60.0
5005;Self-employed;O-Q Government and care;1998 3rd quarter;179.0;181.0;241.0;242.0;56.0;60.0
5006;Self-employed;O-Q Government and care;1998 4th quarter;181.0;181.0;243.0;244.0;63.0;60.0
5007;Self-employed;O-Q Government and care;1998;180.0;;242.0;;239.0;
5008;Self-employed;O-Q Government and care;1999 1st quarter;182.0;182.0;247.0;247.0;60.0;60.0
5009;Self-employed;O-Q Government and care;1999 2nd quarter;182.0;182.0;247.0;248.0;62.0;60.0
5010;Self-employed;O-Q Government and care;1999 3rd quarter;179.0;181.0;245.0;247.0;57.0;60.0
5011;Self-employed;O-Q Government and care;1999 4th quarter;181.0;178.0;248.0;244.0;64.0;61.0
5012;Self-employed;O-Q Government and care;1999;181.0;;247.0;;242.0;
5013;Self-employed;O-Q Government and care;2000 1st quarter;173.0;175.0;238.0;241.0;57.0;58.0
5014;Self-employed;O-Q Government and care;2000 2nd quarter;173.0;173.0;239.0;239.0;58.0;57.0
5015;Self-employed;O-Q Government and care;2000 3rd quarter;172.0;174.0;237.0;239.0;54.0;58.0
5016;Self-employed;O-Q Government and care;2000 4th quarter;175.0;173.0;240.0;237.0;61.0;58.0
5017;Self-employed;O-Q Government and care;2000;173.0;;239.0;;230.0;
5018;Self-employed;O-Q Government and care;2001 1st quarter;171.0;172.0;232.0;234.0;57.0;57.0
5019;Self-employed;O-Q Government and care;2001 2nd quarter;172.0;172.0;233.0;232.0;59.0;57.0
5020;Self-employed;O-Q Government and care;2001 3rd quarter;171.0;172.0;231.0;233.0;54.0;58.0
5021;Self-employed;O-Q Government and care;2001 4th quarter;173.0;174.0;234.0;235.0;61.0;58.0
5022;Self-employed;O-Q Government and care;2001;172.0;;233.0;;230.0;
5023;Self-employed;O-Q Government and care;2002 1st quarter;178.0;175.0;240.0;237.0;60.0;60.0
5024;Self-employed;O-Q Government and care;2002 2nd quarter;173.0;173.0;235.0;234.0;59.0;57.0
5025;Self-employed;O-Q Government and care;2002 3rd quarter;168.0;170.0;229.0;231.0;51.0;55.0
5026;Self-employed;O-Q Government and care;2002 4th quarter;169.0;169.0;229.0;230.0;57.0;55.0
5027;Self-employed;O-Q Government and care;2002;172.0;;233.0;;227.0;
5028;Self-employed;O-Q Government and care;2003 1st quarter;169.0;168.0;231.0;229.0;57.0;57.0
5029;Self-employed;O-Q Government and care;2003 2nd quarter;171.0;167.0;231.0;228.0;60.0;58.0
5030;Self-employed;O-Q Government and care;2003 3rd quarter;162.0;167.0;225.0;228.0;52.0;57.0
5031;Self-employed;O-Q Government and care;2003 4th quarter;169.0;164.0;231.0;223.0;60.0;58.0
5032;Self-employed;O-Q Government and care;2003;168.0;;229.0;;230.0;
5033;Self-employed;O-Q Government and care;2004 1st quarter;157.0;159.0;212.0;217.0;56.0;56.0
5034;Self-employed;O-Q Government and care;2004 2nd quarter;158.0;157.0;214.0;213.0;58.0;56.0
5035;Self-employed;O-Q Government and care;2004 3rd quarter;156.0;158.0;214.0;216.0;53.0;58.0
5036;Self-employed;O-Q Government and care;2004 4th quarter;160.0;165.0;219.0;225.0;61.0;59.0
5037;Self-employed;O-Q Government and care;2004;158.0;;215.0;;228.0;
5038;Self-employed;O-Q Government and care;2005 1st quarter;180.0;173.0;246.0;236.0;66.0;65.0
5039;Self-employed;O-Q Government and care;2005 2nd quarter;182.0;180.0;247.0;247.0;69.0;67.0
5040;Self-employed;O-Q Government and care;2005 3rd quarter;182.0;185.0;252.0;254.0;60.0;66.0
5041;Self-employed;O-Q Government and care;2005 4th quarter;182.0;188.0;252.0;259.0;70.0;68.0
5042;Self-employed;O-Q Government and care;2005;182.0;;249.0;;266.0;
5043;Self-employed;O-Q Government and care;2006 1st quarter;195.0;191.0;269.0;264.0;70.0;69.0
5044;Self-employed;O-Q Government and care;2006 2nd quarter;198.0;193.0;273.0;268.0;72.0;70.0
5045;Self-employed;O-Q Government and care;2006 3rd quarter;191.0;196.0;268.0;273.0;64.0;70.0
5046;Self-employed;O-Q Government and care;2006 4th quarter;198.0;202.0;275.0;281.0;76.0;73.0
5047;Self-employed;O-Q Government and care;2006;196.0;;271.0;;282.0;
5048;Self-employed;O-Q Government and care;2007 1st quarter;215.0;208.0;299.0;290.0;78.0;76.0
5049;Self-employed;O-Q Government and care;2007 2nd quarter;214.0;214.0;301.0;299.0;78.0;77.0
5050;Self-employed;O-Q Government and care;2007 3rd quarter;218.0;218.0;304.0;306.0;73.0;79.0
5051;Self-employed;O-Q Government and care;2007 4th quarter;215.0;221.0;303.0;313.0;82.0;79.0
5052;Self-employed;O-Q Government and care;2007;215.0;;302.0;;310.0;
5053;Self-employed;O-Q Government and care;2008 1st quarter;234.0;226.0;335.0;322.0;84.0;83.0
5054;Self-employed;O-Q Government and care;2008 2nd quarter;232.0;233.0;330.0;331.0;84.0;83.0
5055;Self-employed;O-Q Government and care;2008 3rd quarter;237.0;237.0;334.0;336.0;79.0;86.0
5056;Self-employed;O-Q Government and care;2008 4th quarter;237.0;241.0;334.0;342.0;89.0;85.0
5057;Self-employed;O-Q Government and care;2008;235.0;;333.0;;336.0;
5058;Self-employed;O-Q Government and care;2009 1st quarter;250.0;244.0;360.0;348.0;91.0;90.0
5059;Self-employed;O-Q Government and care;2009 2nd quarter;244.0;245.0;349.0;351.0;85.0;84.0
5060;Self-employed;O-Q Government and care;2009 3rd quarter;243.0;245.0;348.0;352.0;80.0;86.0
5061;Self-employed;O-Q Government and care;2009 4th quarter;244.0;242.0;352.0;351.0;91.0;87.0
5062;Self-employed;O-Q Government and care;2009;245.0;;352.0;;347.0;
5063;Self-employed;O-Q Government and care;2010 1st quarter;238.0;238.0;349.0;347.0;85.0;85.0
5064;Self-employed;O-Q Government and care;2010 2nd quarter;237.0;236.0;346.0;345.0;85.0;84.0
5065;Self-employed;O-Q Government and care;2010 3rd quarter;232.0;237.0;339.0;344.0;79.0;85.0
5066;Self-employed;O-Q Government and care;2010 4th quarter;248.0;235.0;354.0;343.0;94.0;89.0
5067;Self-employed;O-Q Government and care;2010;239.0;;347.0;;343.0;
5068;Self-employed;O-Q Government and care;2011 1st quarter;232.0;233.0;343.0;344.0;85.0;85.0
5069;Self-employed;O-Q Government and care;2011 2nd quarter;234.0;235.0;351.0;350.0;88.0;87.0
5070;Self-employed;O-Q Government and care;2011 3rd quarter;238.0;239.0;356.0;359.0;82.0;89.0
5071;Self-employed;O-Q Government and care;2011 4th quarter;245.0;246.0;366.0;366.0;95.0;90.0
5072;Self-employed;O-Q Government and care;2011;237.0;;354.0;;351.0;
5073;Self-employed;O-Q Government and care;2012 1st quarter;253.0;251.0;370.0;369.0;92.0;92.0
5074;Self-employed;O-Q Government and care;2012 2nd quarter;252.0;251.0;368.0;367.0;94.0;93.0
5075;Self-employed;O-Q Government and care;2012 3rd quarter;248.0;250.0;362.0;365.0;86.0;93.0
5076;Self-employed;O-Q Government and care;2012 4th quarter;254.0;252.0;369.0;366.0;101.0;95.0
5077;Self-employed;O-Q Government and care;2012;251.0;;367.0;;373.0;
5078;Self-employed;O-Q Government and care;2013 1st quarter;254.0;254.0;367.0;370.0;90.0;90.0
5079;Self-employed;O-Q Government and care;2013 2nd quarter;260.0;258.0;380.0;376.0;99.0;97.0
5080;Self-employed;O-Q Government and care;2013 3rd quarter;260.0;261.0;378.0;379.0;92.0;100.0
5081;Self-employed;O-Q Government and care;2013 4th quarter;259.0;261.0;372.0;377.0;105.0;99.0
5082;Self-employed;O-Q Government and care;2013;258.0;;374.0;;385.0;
5083;Self-employed;O-Q Government and care;2014 1st quarter;260.0;260.0;376.0;375.0;100.0;99.0
5084;Self-employed;O-Q Government and care;2014 2nd quarter;261.0;259.0;379.0;375.0;102.0;100.0
5085;Self-employed;O-Q Government and care;2014 3rd quarter;254.0;258.0;372.0;375.0;86.0;94.0
5086;Self-employed;O-Q Government and care;2014 4th quarter;258.0;257.0;380.0;376.0;104.0;98.0
5087;Self-employed;O-Q Government and care;2014;258.0;;377.0;;392.0;
5088;Self-employed;O-Q Government and care;2015 1st quarter;260.0;258.0;379.0;379.0;99.0;98.0
5089;Self-employed;O-Q Government and care;2015 2nd quarter;262.0;261.0;386.0;383.0;99.0;98.0
5090;Self-employed;O-Q Government and care;2015 3rd quarter;260.0;263.0;383.0;388.0;91.0;100.0
5091;Self-employed;O-Q Government and care;2015 4th quarter;264.0;263.0;390.0;391.0;107.0;100.0
5092;Self-employed;O-Q Government and care;2015;261.0;;384.0;;396.0;
5093;Self-employed;O-Q Government and care;2016 1st quarter;268.0;264.0;399.0;393.0;105.0;103.0
5094;Self-employed;O-Q Government and care;2016 2nd quarter;262.0;263.0;391.0;391.0;102.0;102.0
5095;Self-employed;O-Q Government and care;2016 3rd quarter;255.0;263.0;377.0;389.0;90.0;100.0
5096;Self-employed;O-Q Government and care;2016 4th quarter;269.0;265.0;394.0;391.0;113.0;105.0
5097;Self-employed;O-Q Government and care;2016;264.0;;390.0;;410.0;
5098;Self-employed;O-Q Government and care;2017 1st quarter;268.0;265.0;397.0;393.0;106.0;105.0
5099;Self-employed;O-Q Government and care;2017 2nd quarter;260.0;265.0;389.0;395.0;104.0;103.0
5100;Self-employed;O-Q Government and care;2017 3rd quarter;270.0;268.0;394.0;398.0;98.0;108.0
5101;Self-employed;O-Q Government and care;2017 4th quarter;273.0;269.0;403.0;400.0;117.0;108.0
5102;Self-employed;O-Q Government and care;2017;268.0;;396.0;;424.0;
5103;Self-employed;O-Q Government and care;2018 1st quarter;271.0;271.0;404.0;401.0;108.0;107.0
5104;Self-employed;O Public administration and services;1995 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5105;Self-employed;O Public administration and services;1995 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5106;Self-employed;O Public administration and services;1995 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5107;Self-employed;O Public administration and services;1995 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5108;Self-employed;O Public administration and services;1995;0.0;;0.0;;0.0;
5109;Self-employed;O Public administration and services;1996 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5110;Self-employed;O Public administration and services;1996 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5111;Self-employed;O Public administration and services;1996 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5112;Self-employed;O Public administration and services;1996 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5113;Self-employed;O Public administration and services;1996;0.0;;0.0;;0.0;
5114;Self-employed;O Public administration and services;1997 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5115;Self-employed;O Public administration and services;1997 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5116;Self-employed;O Public administration and services;1997 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5117;Self-employed;O Public administration and services;1997 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5118;Self-employed;O Public administration and services;1997;0.0;;0.0;;0.0;
5119;Self-employed;O Public administration and services;1998 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5120;Self-employed;O Public administration and services;1998 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5121;Self-employed;O Public administration and services;1998 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5122;Self-employed;O Public administration and services;1998 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5123;Self-employed;O Public administration and services;1998;0.0;;0.0;;0.0;
5124;Self-employed;O Public administration and services;1999 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5125;Self-employed;O Public administration and services;1999 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5126;Self-employed;O Public administration and services;1999 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5127;Self-employed;O Public administration and services;1999 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5128;Self-employed;O Public administration and services;1999;0.0;;0.0;;0.0;
5129;Self-employed;O Public administration and services;2000 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5130;Self-employed;O Public administration and services;2000 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5131;Self-employed;O Public administration and services;2000 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5132;Self-employed;O Public administration and services;2000 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5133;Self-employed;O Public administration and services;2000;0.0;;0.0;;0.0;
5134;Self-employed;O Public administration and services;2001 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5135;Self-employed;O Public administration and services;2001 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5136;Self-employed;O Public administration and services;2001 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5137;Self-employed;O Public administration and services;2001 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5138;Self-employed;O Public administration and services;2001;0.0;;0.0;;0.0;
5139;Self-employed;O Public administration and services;2002 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5140;Self-employed;O Public administration and services;2002 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5141;Self-employed;O Public administration and services;2002 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5142;Self-employed;O Public administration and services;2002 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5143;Self-employed;O Public administration and services;2002;0.0;;0.0;;0.0;
5144;Self-employed;O Public administration and services;2003 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5145;Self-employed;O Public administration and services;2003 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5146;Self-employed;O Public administration and services;2003 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5147;Self-employed;O Public administration and services;2003 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5148;Self-employed;O Public administration and services;2003;0.0;;0.0;;0.0;
5149;Self-employed;O Public administration and services;2004 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5150;Self-employed;O Public administration and services;2004 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5151;Self-employed;O Public administration and services;2004 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5152;Self-employed;O Public administration and services;2004 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5153;Self-employed;O Public administration and services;2004;0.0;;0.0;;0.0;
5154;Self-employed;O Public administration and services;2005 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5155;Self-employed;O Public administration and services;2005 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5156;Self-employed;O Public administration and services;2005 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5157;Self-employed;O Public administration and services;2005 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5158;Self-employed;O Public administration and services;2005;0.0;;0.0;;0.0;
5159;Self-employed;O Public administration and services;2006 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5160;Self-employed;O Public administration and services;2006 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5161;Self-employed;O Public administration and services;2006 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5162;Self-employed;O Public administration and services;2006 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5163;Self-employed;O Public administration and services;2006;0.0;;0.0;;0.0;
5164;Self-employed;O Public administration and services;2007 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5165;Self-employed;O Public administration and services;2007 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5166;Self-employed;O Public administration and services;2007 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5167;Self-employed;O Public administration and services;2007 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5168;Self-employed;O Public administration and services;2007;0.0;;0.0;;0.0;
5169;Self-employed;O Public administration and services;2008 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5170;Self-employed;O Public administration and services;2008 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5171;Self-employed;O Public administration and services;2008 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5172;Self-employed;O Public administration and services;2008 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5173;Self-employed;O Public administration and services;2008;0.0;;0.0;;0.0;
5174;Self-employed;O Public administration and services;2009 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5175;Self-employed;O Public administration and services;2009 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5176;Self-employed;O Public administration and services;2009 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5177;Self-employed;O Public administration and services;2009 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5178;Self-employed;O Public administration and services;2009;0.0;;0.0;;0.0;
5179;Self-employed;O Public administration and services;2010 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5180;Self-employed;O Public administration and services;2010 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5181;Self-employed;O Public administration and services;2010 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5182;Self-employed;O Public administration and services;2010 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5183;Self-employed;O Public administration and services;2010;0.0;;0.0;;0.0;
5184;Self-employed;O Public administration and services;2011 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5185;Self-employed;O Public administration and services;2011 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5186;Self-employed;O Public administration and services;2011 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5187;Self-employed;O Public administration and services;2011 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5188;Self-employed;O Public administration and services;2011;0.0;;0.0;;0.0;
5189;Self-employed;O Public administration and services;2012 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5190;Self-employed;O Public administration and services;2012 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5191;Self-employed;O Public administration and services;2012 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5192;Self-employed;O Public administration and services;2012 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5193;Self-employed;O Public administration and services;2012;0.0;;0.0;;0.0;
5194;Self-employed;O Public administration and services;2013 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5195;Self-employed;O Public administration and services;2013 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5196;Self-employed;O Public administration and services;2013 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5197;Self-employed;O Public administration and services;2013 4th quarter;0.0;0.0;0.0;0.0;0.0;0.0
5198;Self-employed;O Public administration and services;2013;0.0;;0.0;;0.0;
5199;Self-employed;O Public administration and services;2014 1st quarter;0.0;0.0;0.0;0.0;0.0;0.0
5200;Self-employed;O Public administration and services;2014 2nd quarter;0.0;0.0;0.0;0.0;0.0;0.0
5201;Self-employed;O Public administration and services;2014 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0
