ID;AgeMotherOn31December;Periods;TotalLiveBornChildren_1;FirstChild_2;SecondChild_3;ThirdChild_4;FourthOrFollowingChildren_5;TotalMaritalLiveBornChildren_6;FirstChild_7;SecondChild_8;ThirdChild_9;FourthOrFollowingChildren_10;TotalNonMaritalLiveBornChildren_11;FirstChild_12;SecondChild_13;ThirdChild_14;FourthOrFollowingChildren_15;TotalLiveBornChildren_16;FirstChild_17;SecondChild_18;ThirdChild_19;FourthOrFollowingChildren_20
1418;35 years;2003;12701.0;3690.0;5489.0;2548.0;974.0;9348.0;2218.0;4139.0;2141.0;850.0;3353.0;1472.0;1350.0;407.0;124.0;98.78;28.7;42.69;19.82;7.58
1419;35 years;2004;12676.0;3724.0;5451.0;2595.0;906.0;9020.0;2094.0;3986.0;2165.0;775.0;3656.0;1630.0;1465.0;430.0;131.0;94.73;27.83;40.74;19.39;6.77
1420;35 years;2005;12648.0;3757.0;5480.0;2520.0;891.0;8704.0;2077.0;3799.0;2052.0;776.0;3944.0;1680.0;1681.0;468.0;115.0;96.75;28.74;41.92;19.28;6.82
1421;35 years;2006;12032.0;3501.0;5334.0;2351.0;846.0;7966.0;1826.0;3612.0;1849.0;679.0;4066.0;1675.0;1722.0;502.0;167.0;96.44;28.06;42.75;18.84;6.78
1422;35 years;2007;11608.0;3329.0;5028.0;2368.0;883.0;7525.0;1675.0;3266.0;1846.0;738.0;4083.0;1654.0;1762.0;522.0;145.0;97.28;27.9;42.14;19.85;7.4
1423;35 years;2008;11017.0;3243.0;4770.0;2209.0;795.0;6856.0;1545.0;3006.0;1652.0;653.0;4161.0;1698.0;1764.0;557.0;142.0;100.42;29.56;43.48;20.14;7.25
1424;35 years;2009;10814.0;3152.0;4649.0;2233.0;780.0;6548.0;1448.0;2810.0;1664.0;626.0;4266.0;1704.0;1839.0;569.0;154.0;102.36;29.84;44.01;21.14;7.38
1425;35 years;2010;10594.0;3208.0;4498.0;2135.0;753.0;6664.0;1614.0;2836.0;1591.0;623.0;3930.0;1594.0;1662.0;544.0;130.0;104.72;31.71;44.46;21.1;7.44
1426;35 years;2011;10180.0;3083.0;4425.0;1994.0;678.0;6244.0;1525.0;2711.0;1462.0;546.0;3936.0;1558.0;1714.0;532.0;132.0;102.07;30.91;44.37;19.99;6.8
1427;35 years;2012;9891.0;2998.0;4305.0;1928.0;660.0;5927.0;1447.0;2575.0;1379.0;526.0;3964.0;1551.0;1730.0;549.0;134.0;99.64;30.2;43.37;19.42;6.65
1428;35 years;2013;9734.0;2918.0;4254.0;1884.0;678.0;5848.0;1417.0;2585.0;1321.0;525.0;3886.0;1501.0;1669.0;563.0;153.0;96.87;29.04;42.33;18.75;6.75
1429;35 years;2014;9961.0;3052.0;4285.0;1927.0;697.0;5907.0;1469.0;2521.0;1366.0;551.0;4054.0;1583.0;1764.0;561.0;146.0;99.53;30.49;42.81;19.25;6.96
1430;36 years;1950;9401.0;775.0;1442.0;1741.0;5443.0;9355.0;764.0;1434.0;1734.0;5423.0;46.0;11.0;8.0;7.0;20.0;130.35;10.75;19.99;24.14;75.47
1431;36 years;1951;8800.0;678.0;1278.0;1718.0;5126.0;8745.0;661.0;1266.0;1709.0;5109.0;55.0;17.0;12.0;9.0;17.0;129.84;10.0;18.86;25.35;75.63
1432;36 years;1952;8510.0;694.0;1219.0;1629.0;4968.0;8457.0;678.0;1209.0;1624.0;4946.0;53.0;16.0;10.0;5.0;22.0;123.34;10.06;17.67;23.61;72.0
1433;36 years;1953;8086.0;647.0;1196.0;1575.0;4668.0;8026.0;625.0;1186.0;1565.0;4650.0;60.0;22.0;10.0;10.0;18.0;118.84;9.51;17.58;23.15;68.61
1434;36 years;1954;7685.0;605.0;1101.0;1465.0;4514.0;7632.0;590.0;1089.0;1459.0;4494.0;53.0;15.0;12.0;6.0;20.0;116.55;9.18;16.7;22.22;68.46
1435;36 years;1955;8034.0;640.0;1174.0;1631.0;4589.0;7970.0;622.0;1166.0;1619.0;4563.0;64.0;18.0;8.0;12.0;26.0;119.72;9.54;17.49;24.3;68.38
1436;36 years;1956;9040.0;690.0;1413.0;1743.0;5194.0;8981.0;673.0;1405.0;1736.0;5167.0;59.0;17.0;8.0;7.0;27.0;113.21;8.64;17.7;21.83;65.05
1437;36 years;1957;8598.0;665.0;1329.0;1776.0;4828.0;8553.0;651.0;1325.0;1768.0;4809.0;45.0;14.0;4.0;8.0;19.0;109.74;8.49;16.96;22.67;61.62
1438;36 years;1958;8597.0;685.0;1361.0;1753.0;4798.0;8549.0;671.0;1352.0;1745.0;4781.0;48.0;14.0;9.0;8.0;17.0;111.45;8.88;17.64;22.73;62.2
1439;36 years;1959;8559.0;703.0;1358.0;1799.0;4699.0;8489.0;681.0;1349.0;1787.0;4672.0;70.0;22.0;9.0;12.0;27.0;107.69;8.85;17.09;22.64;59.13
1440;36 years;1960;8160.0;624.0;1405.0;1696.0;4435.0;8101.0;607.0;1396.0;1686.0;4412.0;59.0;17.0;9.0;10.0;23.0;105.04;8.03;18.09;21.83;57.09
1441;36 years;1961;8077.0;645.0;1319.0;1785.0;4328.0;8021.0;626.0;1311.0;1778.0;4306.0;56.0;19.0;8.0;7.0;22.0;106.55;8.51;17.4;23.55;57.09
1442;36 years;1962;7565.0;582.0;1156.0;1716.0;4111.0;7503.0;566.0;1148.0;1707.0;4082.0;62.0;16.0;8.0;9.0;29.0;100.6;7.74;15.37;22.82;54.67
1443;36 years;1963;7497.0;554.0;1200.0;1739.0;4004.0;7433.0;534.0;1192.0;1730.0;3977.0;64.0;20.0;8.0;9.0;27.0;100.51;7.43;16.09;23.31;53.68
1444;36 years;1964;7300.0;553.0;1199.0;1726.0;3822.0;7235.0;532.0;1189.0;1718.0;3796.0;65.0;21.0;10.0;8.0;26.0;95.49;7.23;15.68;22.58;50.0
1445;36 years;1965;6806.0;506.0;1154.0;1645.0;3501.0;6745.0;486.0;1145.0;1637.0;3477.0;61.0;20.0;9.0;8.0;24.0;89.84;6.68;15.23;21.71;46.21
1446;36 years;1966;6246.0;505.0;1094.0;1568.0;3079.0;6186.0;481.0;1084.0;1561.0;3060.0;60.0;24.0;10.0;7.0;19.0;79.71;6.44;13.96;20.01;39.29
1447;36 years;1967;5690.0;507.0;994.0;1507.0;2682.0;5633.0;486.0;985.0;1502.0;2660.0;57.0;21.0;9.0;5.0;22.0;74.8;6.67;13.07;19.81;35.26
1448;36 years;1968;5223.0;463.0;984.0;1326.0;2450.0;5162.0;446.0;972.0;1318.0;2426.0;61.0;17.0;12.0;8.0;24.0;67.7;6.0;12.75;17.19;31.76
1449;36 years;1969;5002.0;445.0;986.0;1365.0;2206.0;4949.0;430.0;977.0;1355.0;2187.0;53.0;15.0;9.0;10.0;19.0;67.65;6.02;13.34;18.46;29.83
1450;36 years;1970;4613.0;420.0;894.0;1247.0;2052.0;4545.0;401.0;885.0;1236.0;2023.0;68.0;19.0;9.0;11.0;29.0;61.64;5.61;11.95;16.66;27.42
1451;36 years;1971;3966.0;368.0;874.0;1077.0;1647.0;3912.0;351.0;865.0;1069.0;1627.0;54.0;17.0;9.0;8.0;20.0;53.15;4.93;11.71;14.43;22.07
1452;36 years;1972;3232.0;407.0;681.0;863.0;1281.0;3173.0;387.0;668.0;857.0;1261.0;59.0;20.0;13.0;6.0;20.0;42.57;5.36;8.97;11.37;16.87
1453;36 years;1973;2654.0;355.0;668.0;685.0;946.0;2597.0;341.0;656.0;677.0;923.0;57.0;14.0;12.0;8.0;23.0;35.01;4.68;8.81;9.04;12.48
1454;36 years;1974;2302.0;334.0;615.0;606.0;747.0;2255.0;320.0;607.0;600.0;728.0;47.0;14.0;8.0;6.0;19.0;28.84;4.18;7.7;7.59;9.36
1455;36 years;1975;2153.0;370.0;591.0;526.0;666.0;2100.0;359.0;583.0;516.0;642.0;53.0;11.0;8.0;10.0;24.0;26.37;4.53;7.24;6.44;8.16
1456;36 years;1976;2028.0;325.0;624.0;480.0;599.0;1968.0;309.0;611.0;468.0;580.0;60.0;16.0;13.0;12.0;19.0;24.25;3.89;7.46;5.74;7.16
1457;36 years;1977;1826.0;289.0;519.0;490.0;528.0;1780.0;281.0;511.0;481.0;507.0;46.0;8.0;8.0;9.0;21.0;22.43;3.55;6.38;6.02;6.49
1458;36 years;1978;1984.0;302.0;549.0;542.0;591.0;1911.0;278.0;540.0;523.0;570.0;73.0;24.0;9.0;19.0;21.0;23.41;3.56;6.48;6.4;6.97
1459;36 years;1979;2172.0;349.0;614.0;613.0;596.0;2097.0;322.0;604.0;594.0;577.0;75.0;27.0;10.0;19.0;19.0;23.54;3.78;6.65;6.64;6.46
1460;36 years;1980;2335.0;364.0;688.0;647.0;636.0;2255.0;342.0;665.0;629.0;619.0;80.0;22.0;23.0;18.0;17.0;24.02;3.74;7.08;6.66;6.54
1461;36 years;1981;2193.0;352.0;624.0;585.0;632.0;2065.0;311.0;594.0;555.0;605.0;128.0;41.0;30.0;30.0;27.0;23.71;3.81;6.75;6.32;6.83
1462;36 years;1982;3093.0;527.0;886.0;866.0;814.0;2908.0;448.0;844.0;837.0;779.0;185.0;79.0;42.0;29.0;35.0;24.19;4.12;6.93;6.77;6.37
1463;36 years;1983;3031.0;515.0;901.0;849.0;766.0;2820.0;430.0;831.0;812.0;747.0;211.0;85.0;70.0;37.0;19.0;24.46;4.16;7.27;6.85;6.18
1464;36 years;1984;3191.0;584.0;914.0;884.0;809.0;2951.0;471.0;849.0;849.0;782.0;240.0;113.0;65.0;35.0;27.0;27.38;5.01;7.84;7.58;6.94
1465;36 years;1985;3227.0;578.0;1015.0;867.0;767.0;2935.0;474.0;927.0;807.0;727.0;292.0;104.0;88.0;60.0;40.0;28.64;5.13;9.01;7.69;6.81
1466;36 years;1986;3748.0;754.0;1171.0;967.0;856.0;3398.0;597.0;1066.0;908.0;827.0;350.0;157.0;105.0;59.0;29.0;33.83;6.81;10.57;8.73;7.73
1467;36 years;1987;3968.0;862.0;1254.0;1017.0;835.0;3506.0;658.0;1117.0;945.0;786.0;462.0;204.0;137.0;72.0;49.0;36.14;7.85;11.42;9.26;7.6
1468;36 years;1988;4359.0;1034.0;1378.0;1065.0;882.0;3836.0;800.0;1232.0;972.0;832.0;523.0;234.0;146.0;93.0;50.0;38.48;9.13;12.17;9.4;7.79
1469;36 years;1989;4714.0;1078.0;1605.0;1089.0;942.0;4138.0;844.0;1401.0;1007.0;886.0;576.0;234.0;204.0;82.0;56.0;41.73;9.54;14.21;9.64;8.34
1470;36 years;1990;5253.0;1290.0;1790.0;1237.0;936.0;4550.0;982.0;1564.0;1139.0;865.0;703.0;308.0;226.0;98.0;71.0;46.09;11.32;15.7;10.85;8.21
1471;36 years;1991;5610.0;1353.0;1951.0;1371.0;935.0;4832.0;1043.0;1679.0;1242.0;868.0;778.0;310.0;272.0;129.0;67.0;48.38;11.67;16.83;11.82;8.06
1472;36 years;1992;6105.0;1486.0;2192.0;1446.0;981.0;5242.0;1091.0;1920.0;1316.0;915.0;863.0;395.0;272.0;130.0;66.0;51.93;12.64;18.65;12.3;8.35
1473;36 years;1993;6564.0;1656.0;2394.0;1544.0;970.0;5666.0;1249.0;2103.0;1406.0;908.0;898.0;407.0;291.0;138.0;62.0;54.89;13.85;20.02;12.91;8.11
1474;36 years;1994;6858.0;1664.0;2542.0;1629.0;1023.0;5839.0;1243.0;2194.0;1470.0;932.0;1019.0;421.0;348.0;159.0;91.0;56.43;13.69;20.92;13.41;8.42
1475;36 years;1995;7138.0;1866.0;2743.0;1593.0;936.0;6063.0;1416.0;2369.0;1421.0;857.0;1075.0;450.0;374.0;172.0;79.0;57.31;14.98;22.03;12.79;7.52
1476;36 years;1996;7264.0;1924.0;2707.0;1693.0;940.0;5994.0;1338.0;2302.0;1511.0;843.0;1270.0;586.0;405.0;182.0;97.0;58.3;15.44;21.73;13.59;7.54
1477;36 years;1997;7699.0;1984.0;3022.0;1752.0;941.0;6268.0;1349.0;2519.0;1561.0;839.0;1431.0;635.0;503.0;191.0;102.0;60.19;15.51;23.62;13.7;7.36
1478;36 years;1998;8437.0;2273.0;3335.0;1885.0;944.0;6704.0;1476.0;2712.0;1668.0;848.0;1733.0;797.0;623.0;217.0;96.0;65.6;17.67;25.93;14.66;7.34
1479;36 years;1999;8738.0;2291.0;3529.0;1946.0;972.0;6889.0;1459.0;2869.0;1700.0;861.0;1849.0;832.0;660.0;246.0;111.0;67.0;17.57;27.06;14.92;7.45
1480;36 years;2000;9374.0;2513.0;3762.0;2072.0;1027.0;7206.0;1569.0;2948.0;1798.0;891.0;2168.0;944.0;814.0;274.0;136.0;70.74;18.96;28.39;15.64;7.75
1481;36 years;2001;9454.0;2465.0;3946.0;2096.0;947.0;7215.0;1527.0;3067.0;1798.0;823.0;2239.0;938.0;879.0;298.0;124.0;72.75;18.97;30.36;16.13;7.29
1482;36 years;2002;9426.0;2498.0;3919.0;2100.0;909.0;6986.0;1481.0;2954.0;1764.0;787.0;2440.0;1017.0;965.0;336.0;122.0;73.71;19.53;30.64;16.42;7.11
1483;36 years;2003;9804.0;2572.0;4141.0;2173.0;918.0;7044.0;1407.0;3045.0;1816.0;776.0;2760.0;1165.0;1096.0;357.0;142.0;77.02;20.21;32.53;17.07;7.21
1484;36 years;2004;10035.0;2712.0;4213.0;2225.0;885.0;7079.0;1527.0;2996.0;1820.0;736.0;2956.0;1185.0;1217.0;405.0;149.0;78.1;21.11;32.79;17.32;6.89
1485;36 years;2005;10438.0;2889.0;4434.0;2206.0;909.0;7058.0;1509.0;3065.0;1728.0;756.0;3380.0;1380.0;1369.0;478.0;153.0;78.16;21.63;33.2;16.52;6.81
1486;36 years;2006;10110.0;2819.0;4243.0;2160.0;888.0;6695.0;1433.0;2806.0;1693.0;763.0;3415.0;1386.0;1437.0;467.0;125.0;77.53;21.62;32.54;16.57;6.81
1487;36 years;2007;9839.0;2712.0;4180.0;2132.0;815.0;6230.0;1303.0;2647.0;1610.0;670.0;3609.0;1409.0;1533.0;522.0;145.0;79.07;21.79;33.59;17.13;6.55
1488;36 years;2008;9867.0;2612.0;4192.0;2201.0;862.0;6165.0;1255.0;2571.0;1626.0;713.0;3702.0;1357.0;1621.0;575.0;149.0;82.73;21.9;35.15;18.45;7.23
1489;36 years;2009;9209.0;2588.0;3874.0;1971.0;776.0;5513.0;1154.0;2330.0;1420.0;609.0;3696.0;1434.0;1544.0;551.0;167.0;83.84;23.56;35.27;17.94;7.07
1490;36 years;2010;9015.0;2506.0;3756.0;1973.0;780.0;5594.0;1196.0;2320.0;1430.0;648.0;3421.0;1310.0;1436.0;543.0;132.0;85.16;23.67;35.48;18.64;7.37
1491;36 years;2011;8492.0;2440.0;3552.0;1766.0;734.0;5163.0;1114.0;2172.0;1293.0;584.0;3329.0;1326.0;1380.0;473.0;150.0;83.85;24.09;35.07;17.44;7.25
1492;36 years;2012;8140.0;2316.0;3415.0;1723.0;686.0;4937.0;1072.0;2044.0;1259.0;562.0;3203.0;1244.0;1371.0;464.0;124.0;81.56;23.2;34.22;17.26;6.87
1493;36 years;2013;8145.0;2339.0;3421.0;1730.0;655.0;4864.0;1084.0;2035.0;1223.0;522.0;3281.0;1255.0;1386.0;507.0;133.0;82.01;23.55;34.45;17.42;6.6
1494;36 years;2014;8334.0;2414.0;3528.0;1668.0;724.0;4823.0;1079.0;2026.0;1153.0;565.0;3511.0;1335.0;1502.0;515.0;159.0;82.83;23.99;35.06;16.58;7.2
1495;37 years;1950;8754.0;601.0;1182.0;1473.0;5498.0;8702.0;593.0;1171.0;1464.0;5474.0;52.0;8.0;11.0;9.0;24.0;123.26;8.46;16.64;20.74;77.41
1496;37 years;1951;8406.0;575.0;1040.0;1458.0;5333.0;8365.0;559.0;1034.0;1455.0;5317.0;41.0;16.0;6.0;3.0;16.0;116.62;7.98;14.43;20.23;73.98
1497;37 years;1952;8064.0;588.0;967.0;1354.0;5155.0;8012.0;571.0;960.0;1349.0;5132.0;52.0;17.0;7.0;5.0;23.0;119.58;8.72;14.34;20.08;76.44
1498;37 years;1953;7696.0;517.0;971.0;1323.0;4885.0;7644.0;500.0;964.0;1314.0;4866.0;52.0;17.0;7.0;9.0;19.0;112.13;7.53;14.15;19.28;71.17
1499;37 years;1954;7438.0;494.0;958.0;1262.0;4724.0;7392.0;478.0;949.0;1256.0;4709.0;46.0;16.0;9.0;6.0;15.0;109.72;7.29;14.13;18.62;69.68
1500;37 years;1955;6979.0;456.0;875.0;1239.0;4409.0;6935.0;443.0;869.0;1232.0;4391.0;44.0;13.0;6.0;7.0;18.0;106.04;6.93;13.29;18.83;66.99
1501;37 years;1956;7207.0;467.0;890.0;1274.0;4576.0;7163.0;454.0;885.0;1267.0;4557.0;44.0;13.0;5.0;7.0;19.0;107.6;6.97;13.29;19.02;68.32
1502;37 years;1957;7952.0;523.0;1088.0;1438.0;4903.0;7899.0;508.0;1083.0;1433.0;4875.0;53.0;15.0;5.0;5.0;28.0;99.84;6.57;13.66;18.06;61.56
1503;37 years;1958;7739.0;534.0;1055.0;1413.0;4737.0;7698.0;524.0;1050.0;1410.0;4714.0;41.0;10.0;5.0;3.0;23.0;98.81;6.82;13.47;18.04;60.48
1504;37 years;1959;7753.0;559.0;1080.0;1436.0;4678.0;7698.0;538.0;1076.0;1428.0;4656.0;55.0;21.0;4.0;8.0;22.0;100.51;7.25;14.0;18.62;60.65
1505;37 years;1960;7482.0;473.0;1076.0;1398.0;4535.0;7430.0;462.0;1063.0;1393.0;4512.0;52.0;11.0;13.0;5.0;23.0;94.38;5.97;13.57;17.64;57.21
1506;37 years;1961;7389.0;514.0;1054.0;1411.0;4410.0;7343.0;503.0;1046.0;1407.0;4387.0;46.0;11.0;8.0;4.0;23.0;95.28;6.63;13.59;18.19;56.87
1507;37 years;1962;6898.0;470.0;889.0;1428.0;4111.0;6846.0;455.0;884.0;1421.0;4086.0;52.0;15.0;5.0;7.0;25.0;91.0;6.2;11.73;18.84;54.23
1508;37 years;1963;6675.0;432.0;915.0;1373.0;3955.0;6620.0;417.0;908.0;1364.0;3931.0;55.0;15.0;7.0;9.0;24.0;88.78;5.75;12.17;18.26;52.61
1509;37 years;1964;6507.0;436.0;911.0;1369.0;3791.0;6455.0;421.0;902.0;1362.0;3770.0;52.0;15.0;9.0;7.0;21.0;87.33;5.85;12.23;18.37;50.88
1510;37 years;1965;6029.0;400.0;881.0;1299.0;3449.0;5969.0;385.0;872.0;1289.0;3423.0;60.0;15.0;9.0;10.0;26.0;78.9;5.24;11.53;17.0;45.14
1511;37 years;1966;5331.0;388.0;803.0;1198.0;2942.0;5280.0;373.0;794.0;1191.0;2922.0;51.0;15.0;9.0;7.0;20.0;70.41;5.13;10.61;15.82;38.86
1512;37 years;1967;5056.0;410.0;777.0;1204.0;2665.0;5000.0;394.0;768.0;1197.0;2641.0;56.0;16.0;9.0;7.0;24.0;64.56;5.24;9.92;15.37;34.03
1513;37 years;1968;4700.0;383.0;770.0;1077.0;2470.0;4643.0;370.0;760.0;1069.0;2444.0;57.0;13.0;10.0;8.0;26.0;61.84;5.04;10.13;14.17;32.5
1514;37 years;1969;4543.0;394.0;789.0;1048.0;2312.0;4480.0;371.0;781.0;1040.0;2288.0;63.0;23.0;8.0;8.0;24.0;58.89;5.11;10.23;13.58;29.97
1515;37 years;1970;3897.0;327.0;693.0;932.0;1945.0;3854.0;320.0;687.0;926.0;1921.0;43.0;7.0;6.0;6.0;24.0;52.68;4.42;9.37;12.6;26.29
1516;37 years;1971;3354.0;304.0;639.0;855.0;1556.0;3287.0;288.0;627.0;839.0;1533.0;67.0;16.0;12.0;16.0;23.0;44.73;4.05;8.52;11.4;20.75
1517;37 years;1972;2745.0;291.0;551.0;662.0;1241.0;2690.0;273.0;546.0;657.0;1214.0;55.0;18.0;5.0;5.0;27.0;36.72;3.89;7.37;8.86;16.6
1518;37 years;1973;2228.0;299.0;488.0;506.0;935.0;2194.0;292.0;484.0;498.0;920.0;34.0;7.0;4.0;8.0;15.0;29.33;3.94;6.43;6.66;12.31
1519;37 years;1974;1876.0;222.0;436.0;492.0;726.0;1832.0;213.0;429.0;484.0;706.0;44.0;9.0;7.0;8.0;20.0;24.71;2.93;5.74;6.48;9.56
1520;37 years;1975;1706.0;241.0;420.0;421.0;624.0;1669.0;236.0;414.0;415.0;604.0;37.0;5.0;6.0;6.0;20.0;21.31;3.01;5.25;5.26;7.8
1521;37 years;1976;1603.0;248.0;420.0;371.0;564.0;1554.0;239.0;408.0;363.0;544.0;49.0;9.0;12.0;8.0;20.0;19.58;3.03;5.13;4.53;6.89
1522;37 years;1977;1618.0;271.0;378.0;387.0;582.0;1576.0;259.0;373.0;376.0;568.0;42.0;12.0;5.0;11.0;14.0;19.34;3.24;4.52;4.63;6.96
1523;37 years;1978;1373.0;211.0;385.0;333.0;444.0;1323.0;198.0;375.0;321.0;429.0;50.0;13.0;10.0;12.0;15.0;16.86;2.59;4.73;4.09;5.45
1524;37 years;1979;1543.0;252.0;397.0;371.0;523.0;1479.0;236.0;383.0;358.0;502.0;64.0;16.0;14.0;13.0;21.0;18.18;2.97;4.68;4.37;6.16
1525;37 years;1980;1641.0;212.0;405.0;422.0;602.0;1558.0;190.0;384.0;405.0;579.0;83.0;22.0;21.0;17.0;23.0;17.76;2.29;4.38;4.57;6.52
1526;37 years;1981;1740.0;239.0;447.0;424.0;630.0;1646.0;217.0;424.0;405.0;600.0;94.0;22.0;23.0;19.0;30.0;17.88;2.46;4.59;4.36;6.48
1527;37 years;1982;1676.0;256.0;425.0;415.0;580.0;1580.0;214.0;409.0;394.0;563.0;96.0;42.0;16.0;21.0;17.0;18.13;2.77;4.6;4.49;6.27
1528;37 years;1983;2254.0;371.0;604.0;597.0;682.0;2090.0;303.0;568.0;570.0;649.0;164.0;68.0;36.0;27.0;33.0;17.66;2.91;4.73;4.68;5.34
1529;37 years;1984;2243.0;354.0;614.0;593.0;682.0;2053.0;280.0;565.0;560.0;648.0;190.0;74.0;49.0;33.0;34.0;18.11;2.86;4.96;4.79;5.51
1530;37 years;1985;2427.0;429.0;649.0;609.0;740.0;2186.0;329.0;595.0;571.0;691.0;241.0;100.0;54.0;38.0;49.0;20.82;3.68;5.57;5.23;6.35
1531;37 years;1986;2599.0;511.0;731.0;668.0;689.0;2333.0;392.0;662.0;627.0;652.0;266.0;119.0;69.0;41.0;37.0;23.06;4.53;6.49;5.93;6.11
1532;37 years;1987;2882.0;610.0;809.0;671.0;792.0;2566.0;475.0;706.0;629.0;756.0;316.0;135.0;103.0;42.0;36.0;26.03;5.51;7.31;6.06;7.15
1533;37 years;1988;2827.0;622.0;899.0;632.0;674.0;2449.0;470.0;783.0;568.0;628.0;378.0;152.0;116.0;64.0;46.0;25.72;5.66;8.18;5.75;6.13
1534;37 years;1989;3306.0;749.0;1050.0;737.0;770.0;2855.0;561.0;910.0;672.0;712.0;451.0;188.0;140.0;65.0;58.0;29.17;6.61;9.26;6.5;6.79
1535;37 years;1990;3738.0;901.0;1139.0;902.0;796.0;3223.0;679.0;977.0;820.0;747.0;515.0;222.0;162.0;82.0;49.0;33.06;7.97;10.07;7.98;7.04
1536;37 years;1991;4101.0;982.0;1369.0;956.0;794.0;3511.0;729.0;1186.0;857.0;739.0;590.0;253.0;183.0;99.0;55.0;35.91;8.6;11.99;8.37;6.95
1537;37 years;1992;4263.0;984.0;1449.0;1007.0;823.0;3654.0;729.0;1251.0;910.0;764.0;609.0;255.0;198.0;97.0;59.0;36.71;8.47;12.48;8.67;7.09
1538;37 years;1993;4631.0;1107.0;1606.0;1109.0;809.0;3865.0;800.0;1329.0;989.0;747.0;766.0;307.0;277.0;120.0;62.0;39.32;9.4;13.64;9.42;6.87
1539;37 years;1994;4997.0;1231.0;1823.0;1120.0;823.0;4155.0;904.0;1511.0;988.0;752.0;842.0;327.0;312.0;132.0;71.0;41.72;10.28;15.22;9.35;6.87
1540;37 years;1995;5036.0;1212.0;1898.0;1128.0;798.0;4215.0;878.0;1618.0;990.0;729.0;821.0;334.0;280.0;138.0;69.0;41.43;9.97;15.62;9.28;6.57
1541;37 years;1996;5317.0;1343.0;1953.0;1226.0;795.0;4351.0;909.0;1632.0;1088.0;722.0;966.0;434.0;321.0;138.0;73.0;42.7;10.78;15.68;9.85;6.38
1542;37 years;1997;5668.0;1521.0;2039.0;1288.0;820.0;4484.0;996.0;1654.0;1102.0;732.0;1184.0;525.0;385.0;186.0;88.0;45.45;12.2;16.35;10.33;6.58
1543;37 years;1998;6158.0;1600.0;2273.0;1403.0;882.0;4894.0;1019.0;1869.0;1221.0;785.0;1264.0;581.0;404.0;182.0;97.0;48.1;12.5;17.76;10.96;6.89
1544;37 years;1999;6420.0;1686.0;2438.0;1435.0;861.0;4971.0;1063.0;1900.0;1249.0;759.0;1449.0;623.0;538.0;186.0;102.0;49.81;13.08;18.92;11.13;6.68
1545;37 years;2000;7020.0;1779.0;2742.0;1592.0;907.0;5345.0;1069.0;2122.0;1357.0;797.0;1675.0;710.0;620.0;235.0;110.0;53.73;13.62;20.99;12.19;6.94
1546;37 years;2001;7279.0;1883.0;2824.0;1655.0;917.0;5415.0;1123.0;2121.0;1374.0;797.0;1864.0;760.0;703.0;281.0;120.0;54.83;14.19;21.27;12.47;6.91
1547;37 years;2002;7225.0;1855.0;2852.0;1684.0;834.0;5227.0;1066.0;2086.0;1382.0;693.0;1998.0;789.0;766.0;302.0;141.0;55.52;14.25;21.91;12.94;6.41
1548;37 years;2003;7481.0;1916.0;2981.0;1736.0;848.0;5308.0;1074.0;2098.0;1410.0;726.0;2173.0;842.0;883.0;326.0;122.0;58.5;14.98;23.31;13.57;6.63
1549;37 years;2004;7520.0;1981.0;3043.0;1679.0;817.0;5237.0;1091.0;2105.0;1360.0;681.0;2283.0;890.0;938.0;319.0;136.0;59.15;15.58;23.93;13.21;6.43
1550;37 years;2005;7540.0;2015.0;3096.0;1662.0;767.0;5026.0;1019.0;2048.0;1306.0;653.0;2514.0;996.0;1048.0;356.0;114.0;58.82;15.72;24.15;12.97;5.98
1551;37 years;2006;8021.0;2080.0;3363.0;1775.0;803.0;5237.0;1047.0;2137.0;1379.0;674.0;2784.0;1033.0;1226.0;396.0;129.0;60.24;15.62;25.26;13.33;6.03
1552;37 years;2007;8103.0;2126.0;3312.0;1830.0;835.0;5092.0;992.0;2029.0;1379.0;692.0;3011.0;1134.0;1283.0;451.0;143.0;62.28;16.34;25.46;14.07;6.42
1553;37 years;2008;7999.0;2118.0;3286.0;1746.0;849.0;4929.0;1001.0;2000.0;1253.0;675.0;3070.0;1117.0;1286.0;493.0;174.0;64.34;17.04;26.43;14.04;6.83
1554;37 years;2009;7981.0;2191.0;3175.0;1782.0;833.0;4703.0;981.0;1839.0;1224.0;659.0;3278.0;1210.0;1336.0;558.0;174.0;66.86;18.36;26.6;14.93;6.98
1555;37 years;2010;7287.0;1956.0;2944.0;1652.0;735.0;4465.0;949.0;1720.0;1202.0;594.0;2822.0;1007.0;1224.0;450.0;141.0;66.26;17.79;26.77;15.02;6.68
1556;37 years;2011;6879.0;1958.0;2706.0;1484.0;731.0;4159.0;907.0;1635.0;1047.0;570.0;2720.0;1051.0;1071.0;437.0;161.0;64.87;18.47;25.52;14.0;6.89
1557;37 years;2012;6580.0;1807.0;2736.0;1340.0;697.0;3847.0;806.0;1603.0;907.0;531.0;2733.0;1001.0;1133.0;433.0;166.0;64.94;17.84;27.0;13.23;6.88
1558;37 years;2013;6333.0;1840.0;2571.0;1334.0;588.0;3706.0;851.0;1470.0;936.0;449.0;2627.0;989.0;1101.0;398.0;139.0;63.43;18.43;25.75;13.36;5.89
