ID;SITC;GroupsOfCountries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5;ImportValue_6;ExportValue_7;BalanceOfTrade_8;ChangeInImportValue_9;ChangeInExportValue_10
9124;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2015;1131.0;2566.0;1435.0;;;;;;;
9125;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 January;92.0;231.0;139.0;24.3;24.5;;;;;
9126;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 February;97.0;219.0;122.0;19.5;9.3;;;;;
9127;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 March;106.0;242.0;137.0;15.1;15.1;;;;;
9128;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 April;81.0;235.0;154.0;-15.3;1.4;;;;;
9129;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 May;90.0;242.0;152.0;-8.4;16.7;;;;;
9130;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 June;122.0;256.0;133.0;29.8;3.5;;;;;
9131;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 July;98.0;238.0;140.0;-16.8;7.3;;;;;
9132;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 August;113.0;233.0;121.0;-11.3;0.1;;;;;
9133;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 September;83.0;214.0;131.0;6.6;-0.4;;;;;
9134;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 October;104.0;224.0;120.0;7.8;3.4;;;;;
9135;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 November;115.0;237.0;123.0;42.4;20.6;;;;;
9136;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016 December;148.0;221.0;73.0;56.6;10.9;;;;;
9137;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2016;1250.0;2793.0;1543.0;10.5;8.9;;;;;
9138;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 January;122.0;237.0;115.0;32.5;2.6;;;;;
9139;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 February;108.0;249.0;141.0;11.4;13.8;;;;;
9140;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 March;127.0;263.0;136.0;20.0;8.5;;;;;
9141;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 April;100.0;244.0;144.0;23.4;3.9;;;;;
9142;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 May;142.0;287.0;145.0;57.0;18.6;;;;;
9143;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 June;111.0;301.0;190.0;-9.2;17.6;;;;;
9144;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 July;108.0;283.0;175.0;9.9;18.8;;;;;
9145;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 August;126.0;294.0;168.0;12.0;26.2;;;;;
9146;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 September;115.0;244.0;129.0;37.8;13.8;;;;;
9147;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 October;115.0;240.0;125.0;10.2;6.8;;;;;
9148;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 November;114.0;281.0;167.0;-0.6;18.2;;;;;
9149;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017 December;110.0;207.0;97.0;-25.5;-6.1;;;;;
9150;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2017;1398.0;3129.0;1731.0;11.9;12.0;;;;;
9151;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 January;124.0;241.0;117.0;1.7;1.8;;;;;
9152;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 February;117.0;214.0;98.0;7.8;-13.9;;;;;
9153;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 March;125.0;215.0;90.0;-1.3;-18.1;;;;;
9154;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 April;103.0;199.0;97.0;2.8;-18.4;;;;;
9155;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 May;123.0;231.0;108.0;-13.0;-19.5;;;;;
9156;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 June;132.0;222.0;91.0;18.5;-26.1;;;;;
9157;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 July;102.0;215.0;114.0;-6.2;-23.9;;;;;
9158;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 August;108.0;225.0;117.0;-14.6;-23.7;;;;;
9159;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 September;95.0;199.0;104.0;-17.1;-18.2;;;;;
9160;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 October;119.0;200.0;81.0;3.4;-16.7;;;;;
9161;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 November;122.0;196.0;74.0;7.2;-30.0;;;;;
9162;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018 December;127.0;173.0;46.0;15.5;-16.2;;;;;
9163;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2018;1396.0;2533.0;1137.0;-0.1;-19.1;;;;;
9164;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 January;120.0;213.0;92.0;-3.0;-11.9;;;;;
9165;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 February;110.0;205.0;95.0;-5.9;-4.2;;;;;
9166;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 March;137.0;189.0;52.0;9.3;-12.4;;;;;
9167;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 April;108.0;199.0;90.0;5.6;-0.3;;;;;
9168;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 May;149.0;235.0;87.0;20.6;1.8;;;;;
9169;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 June;118.0;203.0;85.0;-10.4;-8.5;;;;;
9170;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 July;116.0;266.0;150.0;14.3;23.7;;;;;
9171;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 August;128.0;228.0;100.0;18.7;1.6;;;;;
9172;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 September;114.0;216.0;102.0;19.5;8.4;;;;;
9173;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 October;124.0;233.0;109.0;4.3;16.5;;;;;
9174;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 November;137.0;202.0;65.0;12.0;3.0;;;;;
9175;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019 December;126.0;232.0;106.0;-0.9;33.9;;;;;
9176;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2019;1486.0;2622.0;1136.0;6.5;3.5;;;;;
9177;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 January;141.0;272.0;131.0;17.5;28.0;;;;;
9178;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 February;147.0;258.0;111.0;33.8;25.6;;;;;
9179;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 March;173.0;290.0;117.0;26.5;53.7;;;;;
9180;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 April;162.0;222.0;60.0;49.6;11.6;;;;;
9181;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 May;146.0;248.0;102.0;-1.8;5.4;;;;;
9182;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 June;164.0;288.0;125.0;38.8;41.8;;;;;
9183;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 July;170.0;270.0;100.0;46.7;1.3;;;;;
9184;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 August;161.0;274.0;113.0;26.2;20.2;;;;;
9185;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 September;154.0;254.0;99.0;35.5;17.4;;;;;
9186;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 October;143.0;257.0;113.0;15.5;10.4;;;;;
9187;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 November;137.0;240.0;103.0;-0.1;18.7;;;;;
9188;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020 December;168.0;227.0;59.0;33.8;-2.2;;;;;
9189;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2020;1867.0;3100.0;1233.0;25.6;18.2;;;;;
9190;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 January;140.0;225.0;85.0;-1.2;-17.3;;;;;
9191;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 February;181.0;253.0;72.0;23.1;-1.8;;;;;
9192;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 March;203.0;280.0;78.0;17.4;-3.3;;;;;
9193;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 April;184.0;280.0;96.0;13.4;26.1;;;;;
9194;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 May;211.0;311.0;100.0;44.6;25.3;;;;;
9195;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 June;181.0;323.0;142.0;10.8;12.0;;;;;
9196;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 July;197.0;371.0;173.0;15.9;37.3;;;;;
9197;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 August;184.0;347.0;163.0;14.1;26.4;;;;;
9198;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 September;244.0;358.0;114.0;58.6;41.3;;;;;
9199;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 October;205.0;338.0;133.0;42.9;31.7;;;;;
9200;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 November;186.0;374.0;188.0;36.1;55.8;;;;;
9201;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021 December;257.0;375.0;117.0;52.8;65.1;;;;;
9202;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2021;2373.0;3835.0;1461.0;27.1;23.7;;;;;
9203;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 January;223.0;379.0;156.0;;;;;;;
9204;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 February;254.0;369.0;115.0;;;;;;;
9205;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 March;283.0;415.0;131.0;;;;;;;
9206;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 April;224.0;420.0;196.0;;;;;;;
9207;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 May;344.0;515.0;171.0;;;;;;;
9208;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 June;318.0;478.0;160.0;;;;;;;
9209;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 July;277.0;507.0;230.0;;;;;;;
9210;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 August;305.0;476.0;170.0;;;;;;;
9211;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 September;280.0;471.0;191.0;;;;;;;
9212;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 October;268.0;453.0;185.0;;;;;;;
9213;4 Animal and vegetable oils, fats and...;Eurozone (excl. the Netherlands);2022 January-October;2776.0;4482.0;1707.0;;;;;;;
9214;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 January;;;;;;63.0;44.0;-19.0;6.7;10.5
9215;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 February;;;;;;72.0;38.0;-35.0;49.2;-15.7
9216;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 March;;;;;;95.0;43.0;-52.0;60.7;-2.4
9217;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 April;;;;;;91.0;37.0;-54.0;47.9;-7.8
9218;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 May;;;;;;77.0;42.0;-35.0;22.2;5.1
9219;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 June;;;;;;95.0;47.0;-48.0;71.6;-2.6
9220;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 July;;;;;;78.0;45.0;-33.0;3.3;1.0
9221;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 August;;;;;;77.0;40.0;-37.0;16.1;-2.9
9222;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 September;;;;;;83.0;42.0;-42.0;67.0;17.2
9223;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 October;;;;;;85.0;66.0;-19.0;28.9;54.9
9224;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 November;;;;;;84.0;46.0;-38.0;19.3;-3.2
9225;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002 December;;;;;;72.0;35.0;-37.0;33.6;3.6
9226;4 Animal and vegetable oils, fats and...;Non-Eurozone;2002;;;;;;973.0;524.0;-449.0;33.5;4.4
9227;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 January;;;;;;82.0;43.0;-39.0;30.0;-1.5
9228;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 February;;;;;;97.0;43.0;-54.0;33.7;13.2
9229;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 March;;;;;;81.0;48.0;-34.0;-14.0;12.1
9230;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 April;;;;;;86.0;37.0;-49.0;-5.6;-0.2
9231;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 May;;;;;;88.0;45.0;-43.0;14.6;7.4
9232;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 June;;;;;;66.0;37.0;-29.0;-30.4;-21.3
9233;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 July;;;;;;85.0;43.0;-41.0;8.8;-2.9
9234;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 August;;;;;;78.0;36.0;-42.0;0.4;-10.5
9235;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 September;;;;;;75.0;41.0;-34.0;-10.2;-1.4
9236;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 October;;;;;;75.0;42.0;-33.0;-12.0;-36.6
9237;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 November;;;;;;70.0;32.0;-38.0;-16.5;-30.0
9238;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003 December;;;;;;70.0;36.0;-34.0;-3.1;1.6
9239;4 Animal and vegetable oils, fats and...;Non-Eurozone;2003;;;;;;953.0;483.0;-469.0;-2.1;-7.8
9240;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 January;;;;;;61.0;32.0;-29.0;;
9241;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 February;;;;;;52.0;34.0;-18.0;;
9242;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 March;;;;;;77.0;44.0;-32.0;;
9243;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 April;;;;;;83.0;42.0;-41.0;;
9244;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 May;;;;;;82.0;41.0;-41.0;;
9245;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 June;;;;;;83.0;44.0;-39.0;;
9246;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 July;;;;;;93.0;42.0;-51.0;;
9247;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 August;;;;;;98.0;41.0;-58.0;;
9248;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 September;;;;;;103.0;52.0;-50.0;;
9249;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 October;;;;;;100.0;49.0;-51.0;;
9250;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 November;;;;;;99.0;44.0;-55.0;;
9251;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004 December;;;;;;88.0;45.0;-42.0;;
9252;4 Animal and vegetable oils, fats and...;Non-Eurozone;2004;;;;;;1018.0;510.0;-508.0;;
9253;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 January;;;;;;110.0;44.0;-66.0;;
9254;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 February;;;;;;84.0;35.0;-49.0;;
9255;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 March;;;;;;100.0;50.0;-51.0;;
9256;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 April;;;;;;127.0;46.0;-82.0;;
9257;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 May;;;;;;102.0;41.0;-61.0;24.2;-0.1
9258;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 June;;;;;;92.0;47.0;-45.0;10.1;6.3
9259;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 July;;;;;;83.0;40.0;-43.0;-10.8;-4.7
9260;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 August;;;;;;118.0;41.0;-76.0;20.0;2.3
9261;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 September;;;;;;98.0;38.0;-60.0;-4.1;-27.2
9262;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 October;;;;;;101.0;43.0;-58.0;1.2;-12.5
9263;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 November;;;;;;111.0;45.0;-66.0;12.4;2.7
9264;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005 December;;;;;;95.0;40.0;-55.0;8.6;-10.9
9265;4 Animal and vegetable oils, fats and...;Non-Eurozone;2005;;;;;;1221.0;509.0;-713.0;;
9266;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 January;;;;;;136.0;53.0;-84.0;23.6;20.2
9267;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 February;;;;;;101.0;55.0;-46.0;21.4;59.5
9268;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 March;;;;;;115.0;64.0;-51.0;14.2;29.3
9269;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 April;;;;;;104.0;43.0;-62.0;-18.2;-6.7
9270;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 May;;;;;;114.0;52.0;-62.0;11.7;28.2
9271;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 June;;;;;;99.0;48.0;-51.0;7.5;1.4
9272;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 July;;;;;;102.0;42.0;-60.0;22.5;5.4
9273;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 August;;;;;;79.0;46.0;-33.0;-33.3;10.3
9274;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 September;;;;;;84.0;61.0;-22.0;-14.9;61.8
9275;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 October;;;;;;91.0;56.0;-35.0;-9.8;31.3
9276;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 November;;;;;;127.0;57.0;-70.0;14.6;26.5
9277;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006 December;;;;;;109.0;47.0;-62.0;14.3;16.3
9278;4 Animal and vegetable oils, fats and...;Non-Eurozone;2006;;;;;;1260.0;623.0;-637.0;3.2;22.6
9279;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 January;101.0;40.0;-61.0;;;101.0;40.0;-61.0;;
9280;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 February;92.0;40.0;-52.0;;;92.0;40.0;-52.0;;
9281;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 March;93.0;44.0;-49.0;;;93.0;44.0;-49.0;;
9282;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 April;102.0;40.0;-62.0;;;102.0;39.0;-63.0;;
9283;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 May;133.0;47.0;-86.0;;;133.0;47.0;-85.0;;
9284;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 June;123.0;46.0;-77.0;;;123.0;45.0;-78.0;;
9285;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 July;134.0;57.0;-77.0;;;134.0;57.0;-77.0;;
9286;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 August;125.0;57.0;-68.0;;;126.0;56.0;-70.0;;
9287;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 September;168.0;64.0;-104.0;;;169.0;64.0;-105.0;;
9288;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 October;169.0;76.0;-93.0;;;169.0;75.0;-94.0;;
9289;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 November;183.0;78.0;-105.0;;;183.0;75.0;-108.0;;
9290;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007 December;156.0;65.0;-91.0;;;155.0;64.0;-91.0;;
9291;4 Animal and vegetable oils, fats and...;Non-Eurozone;2007;1579.0;655.0;-924.0;;;1581.0;648.0;-933.0;;
9292;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 January;197.0;72.0;-125.0;;;;;;;
9293;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 February;146.0;58.0;-88.0;;;;;;;
9294;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 March;195.0;83.0;-111.0;;;;;;;
9295;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 April;170.0;84.0;-86.0;;;;;;;
9296;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 May;157.0;95.0;-62.0;;;;;;;
9297;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 June;211.0;85.0;-127.0;;;;;;;
9298;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 July;170.0;116.0;-54.0;;;;;;;
9299;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 August;243.0;86.0;-156.0;;;;;;;
9300;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 September;212.0;80.0;-132.0;;;;;;;
9301;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 October;165.0;101.0;-64.0;;;;;;;
9302;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 November;232.0;86.0;-146.0;;;;;;;
9303;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008 December;182.0;63.0;-118.0;;;;;;;
9304;4 Animal and vegetable oils, fats and...;Non-Eurozone;2008;2280.0;1009.0;-1270.0;;;;;;;
9305;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 January;152.0;60.0;-91.0;;;;;;;
9306;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 February;131.0;60.0;-72.0;;;;;;;
9307;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 March;103.0;67.0;-36.0;;;;;;;
9308;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 April;124.0;74.0;-50.0;;;;;;;
9309;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 May;122.0;67.0;-55.0;;;;;;;
9310;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 June;121.0;82.0;-39.0;;;;;;;
9311;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 July;127.0;81.0;-46.0;;;;;;;
9312;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 August;125.0;63.0;-62.0;;;;;;;
9313;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 September;133.0;68.0;-65.0;;;;;;;
9314;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 October;107.0;62.0;-45.0;;;;;;;
9315;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 November;153.0;58.0;-95.0;;;;;;;
9316;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009 December;90.0;63.0;-27.0;;;;;;;
9317;4 Animal and vegetable oils, fats and...;Non-Eurozone;2009;1488.0;805.0;-682.0;;;;;;;
9318;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 January;153.0;52.0;-101.0;0.9;-13.7;;;;;
9319;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 February;109.0;49.0;-60.0;-17.0;-17.4;;;;;
9320;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 March;131.0;62.0;-68.0;27.4;-6.2;;;;;
9321;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 April;132.0;62.0;-70.0;6.7;-16.3;;;;;
9322;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 May;169.0;58.0;-111.0;38.1;-14.1;;;;;
9323;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 June;144.0;50.0;-94.0;18.9;-39.6;;;;;
9324;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 July;158.0;62.0;-96.0;24.6;-23.5;;;;;
9325;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 August;146.0;70.0;-76.0;16.4;9.8;;;;;
9326;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 September;179.0;59.0;-120.0;34.7;-12.7;;;;;
9327;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 October;162.0;64.0;-98.0;51.6;3.0;;;;;
9328;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 November;166.0;74.0;-92.0;8.5;27.8;;;;;
9329;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010 December;196.0;61.0;-136.0;117.7;-3.9;;;;;
9330;4 Animal and vegetable oils, fats and...;Non-Eurozone;2010;1845.0;723.0;-1122.0;24.0;-10.3;;;;;
9331;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 January;191.0;74.0;-117.0;;;;;;;
9332;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 February;184.0;72.0;-113.0;;;;;;;
9333;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 March;160.0;73.0;-87.0;;;;;;;
9334;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 April;237.0;72.0;-165.0;;;;;;;
9335;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 May;259.0;90.0;-169.0;;;;;;;
9336;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 June;231.0;84.0;-147.0;;;;;;;
9337;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 July;202.0;94.0;-108.0;;;;;;;
9338;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 August;203.0;106.0;-97.0;;;;;;;
9339;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 September;235.0;83.0;-152.0;;;;;;;
9340;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 October;203.0;102.0;-100.0;;;;;;;
9341;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 November;197.0;88.0;-109.0;;;;;;;
9342;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011 December;164.0;83.0;-81.0;;;;;;;
9343;4 Animal and vegetable oils, fats and...;Non-Eurozone;2011;2466.0;1022.0;-1444.0;;;;;;;
9344;4 Animal and vegetable oils, fats and...;Non-Eurozone;2012 January;227.0;78.0;-149.0;18.9;5.0;;;;;
9345;4 Animal and vegetable oils, fats and...;Non-Eurozone;2012 February;214.0;89.0;-125.0;16.3;24.5;;;;;
