ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
401;Total primary schools;Public schools;101 to 201 pupils/students;2006/07;842;126271
402;Total primary schools;Public schools;101 to 201 pupils/students;2007/08;841;125841
403;Total primary schools;Public schools;101 to 201 pupils/students;2008/09;817;121520
404;Total primary schools;Public schools;101 to 201 pupils/students;2009/10;808;120133
405;Total primary schools;Public schools;101 to 201 pupils/students;2010/11;786;116236
406;Total primary schools;Public schools;101 to 201 pupils/students;2011/12;792;116395
407;Total primary schools;Public schools;101 to 201 pupils/students;2012/13;773;113297
408;Total primary schools;Public schools;101 to 201 pupils/students;2013/14;760;110840
409;Total primary schools;Public schools;101 to 201 pupils/students;2014/15;748;109609
410;Total primary schools;Public schools;101 to 201 pupils/students;2015/16;721;105278
411;Total primary schools;Public schools;101 to 201 pupils/students;2016/17;716;105536
412;Total primary schools;Public schools;101 to 201 pupils/students;2017/18;721;106092
413;Total primary schools;Public schools;101 to 201 pupils/students;2018/19;722;106300
414;Total primary schools;Public schools;101 to 201 pupils/students;2019/20;708;105556
415;Total primary schools;Public schools;101 to 201 pupils/students;2020/21;686;102132
416;Total primary schools;Public schools;101 to 201 pupils/students;2021/22;687;101410
417;Total primary schools;Public schools;101 to 201 pupils/students;2022/23;664;98213
418;Total primary schools;Public schools;101 to 201 pupils/students;2023/24;665;99221
419;Total primary schools;Public schools;101 to 201 pupils/students;2024/25;649;96381
420;Total primary schools;Public schools;201 to 501 pupils/students;1990/91;751;204010
421;Total primary schools;Public schools;201 to 501 pupils/students;1991/92;716;193741
422;Total primary schools;Public schools;201 to 501 pupils/students;1992/93;737;200372
423;Total primary schools;Public schools;201 to 501 pupils/students;1993/94;803;221454
424;Total primary schools;Public schools;201 to 501 pupils/students;1994/95;901;252175
425;Total primary schools;Public schools;201 to 501 pupils/students;1995/96;992;284620
426;Total primary schools;Public schools;201 to 501 pupils/students;1996/97;1031;299345
427;Total primary schools;Public schools;201 to 501 pupils/students;1997/98;1057;310666
428;Total primary schools;Public schools;201 to 501 pupils/students;1998/99;1062;314192
429;Total primary schools;Public schools;201 to 501 pupils/students;1999/00;1059;316264
430;Total primary schools;Public schools;201 to 501 pupils/students;2000/01;1047;313590
431;Total primary schools;Public schools;201 to 501 pupils/students;2001/02;1057;315294
432;Total primary schools;Public schools;201 to 501 pupils/students;2002/03;1038;309830
433;Total primary schools;Public schools;201 to 501 pupils/students;2003/04;1008;303025
434;Total primary schools;Public schools;201 to 501 pupils/students;2004/05;980;296042
435;Total primary schools;Public schools;201 to 501 pupils/students;2005/06;964;290978
436;Total primary schools;Public schools;201 to 501 pupils/students;2006/07;952;286424
437;Total primary schools;Public schools;201 to 501 pupils/students;2007/08;958;289511
438;Total primary schools;Public schools;201 to 501 pupils/students;2008/09;954;288752
439;Total primary schools;Public schools;201 to 501 pupils/students;2009/10;935;285436
440;Total primary schools;Public schools;201 to 501 pupils/students;2010/11;932;286155
441;Total primary schools;Public schools;201 to 501 pupils/students;2011/12;907;276706
442;Total primary schools;Public schools;201 to 501 pupils/students;2012/13;896;272183
443;Total primary schools;Public schools;201 to 501 pupils/students;2013/14;886;268840
444;Total primary schools;Public schools;201 to 501 pupils/students;2014/15;857;259319
445;Total primary schools;Public schools;201 to 501 pupils/students;2015/16;850;256062
446;Total primary schools;Public schools;201 to 501 pupils/students;2016/17;826;248682
447;Total primary schools;Public schools;201 to 501 pupils/students;2017/18;814;245185
448;Total primary schools;Public schools;201 to 501 pupils/students;2018/19;802;240686
449;Total primary schools;Public schools;201 to 501 pupils/students;2019/20;789;238178
450;Total primary schools;Public schools;201 to 501 pupils/students;2020/21;790;237543
451;Total primary schools;Public schools;201 to 501 pupils/students;2021/22;790;236425
452;Total primary schools;Public schools;201 to 501 pupils/students;2022/23;804;240321
453;Total primary schools;Public schools;201 to 501 pupils/students;2023/24;810;243199
454;Total primary schools;Public schools;201 to 501 pupils/students;2024/25;817;244740
455;Total primary schools;Public schools;501 to 1 001 pupils/students;1990/91;10;5570
456;Total primary schools;Public schools;501 to 1 001 pupils/students;1991/92;9;5080
457;Total primary schools;Public schools;501 to 1 001 pupils/students;1992/93;12;6824
458;Total primary schools;Public schools;501 to 1 001 pupils/students;1993/94;14;8022
459;Total primary schools;Public schools;501 to 1 001 pupils/students;1994/95;19;11128
460;Total primary schools;Public schools;501 to 1 001 pupils/students;1995/96;39;22536
461;Total primary schools;Public schools;501 to 1 001 pupils/students;1996/97;44;25821
462;Total primary schools;Public schools;501 to 1 001 pupils/students;1997/98;60;35837
463;Total primary schools;Public schools;501 to 1 001 pupils/students;1998/99;58;34726
464;Total primary schools;Public schools;501 to 1 001 pupils/students;1999/00;59;36147
465;Total primary schools;Public schools;501 to 1 001 pupils/students;2000/01;61;36875
466;Total primary schools;Public schools;501 to 1 001 pupils/students;2001/02;65;38783
467;Total primary schools;Public schools;501 to 1 001 pupils/students;2002/03;64;38302
468;Total primary schools;Public schools;501 to 1 001 pupils/students;2003/04;65;38846
469;Total primary schools;Public schools;501 to 1 001 pupils/students;2004/05;66;39606
470;Total primary schools;Public schools;501 to 1 001 pupils/students;2005/06;70;41743
471;Total primary schools;Public schools;501 to 1 001 pupils/students;2006/07;75;44720
472;Total primary schools;Public schools;501 to 1 001 pupils/students;2007/08;73;44146
473;Total primary schools;Public schools;501 to 1 001 pupils/students;2008/09;80;48655
474;Total primary schools;Public schools;501 to 1 001 pupils/students;2009/10;85;51702
475;Total primary schools;Public schools;501 to 1 001 pupils/students;2010/11;81;50281
476;Total primary schools;Public schools;501 to 1 001 pupils/students;2011/12;91;56027
477;Total primary schools;Public schools;501 to 1 001 pupils/students;2012/13;90;56243
478;Total primary schools;Public schools;501 to 1 001 pupils/students;2013/14;84;52606
479;Total primary schools;Public schools;501 to 1 001 pupils/students;2014/15;90;56354
480;Total primary schools;Public schools;501 to 1 001 pupils/students;2015/16;94;59101
481;Total primary schools;Public schools;501 to 1 001 pupils/students;2016/17;95;59530
482;Total primary schools;Public schools;501 to 1 001 pupils/students;2017/18;94;58950
483;Total primary schools;Public schools;501 to 1 001 pupils/students;2018/19;99;61806
484;Total primary schools;Public schools;501 to 1 001 pupils/students;2019/20;99;61690
485;Total primary schools;Public schools;501 to 1 001 pupils/students;2020/21;100;62404
486;Total primary schools;Public schools;501 to 1 001 pupils/students;2021/22;97;60131
487;Total primary schools;Public schools;501 to 1 001 pupils/students;2022/23;99;61198
488;Total primary schools;Public schools;501 to 1 001 pupils/students;2023/24;87;54136
489;Total primary schools;Public schools;501 to 1 001 pupils/students;2024/25;84;52667
490;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1990/91;0;0
491;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1991/92;0;0
492;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1992/93;0;0
493;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1993/94;0;0
494;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1994/95;0;0
495;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1995/96;0;0
496;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1996/97;0;0
497;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1997/98;0;0
498;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1998/99;1;1035
499;Total primary schools;Public schools;1 001 to 2 001 pupils/students;1999/00;1;1122
500;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2000/01;2;2193
501;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2001/02;2;2235
502;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2002/03;2;2265
503;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2003/04;1;1219
504;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2004/05;1;1210
505;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2005/06;1;1153
506;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2006/07;1;1086
507;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2007/08;1;1030
508;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2008/09;0;0
509;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2009/10;0;0
510;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2010/11;0;0
511;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2011/12;0;0
512;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2012/13;0;0
513;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2013/14;1;1014
514;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2014/15;1;1016
515;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2015/16;1;1047
516;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2016/17;2;2146
517;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2017/18;2;2248
518;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2018/19;2;2302
519;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2019/20;2;2411
520;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2020/21;2;2419
521;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2021/22;2;2457
522;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2022/23;2;2557
523;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2023/24;2;2633
524;Total primary schools;Public schools;1 001 to 2 001 pupils/students;2024/25;1;1142
525;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1990/91;0;0
526;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1991/92;0;0
527;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1992/93;0;0
528;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1993/94;0;0
529;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1994/95;0;0
530;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1995/96;0;0
531;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1996/97;0;0
532;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1997/98;0;0
533;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1998/99;0;0
534;Total primary schools;Public schools;2 001 to 5 001 pupils/students;1999/00;0;0
535;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2000/01;0;0
536;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2001/02;0;0
537;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2002/03;0;0
538;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2003/04;0;0
539;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2004/05;0;0
540;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2005/06;0;0
541;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2006/07;0;0
542;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2007/08;0;0
543;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2008/09;0;0
544;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2009/10;0;0
545;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2010/11;0;0
546;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2011/12;0;0
547;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2012/13;0;0
548;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2013/14;0;0
549;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2014/15;0;0
550;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2015/16;0;0
551;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2016/17;0;0
552;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2017/18;0;0
553;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2018/19;0;0
554;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2019/20;0;0
555;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2020/21;0;0
556;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2021/22;0;0
557;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2022/23;0;0
558;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2023/24;0;0
559;Total primary schools;Public schools;2 001 to 5 001 pupils/students;2024/25;0;0
560;Total primary schools;Public schools;5 001 to 10 001 pupils/students;1990/91;0;0
561;Total primary schools;Public schools;5 001 to 10 001 pupils/students;1991/92;0;0
562;Total primary schools;Public schools;5 001 to 10 001 pupils/students;1992/93;0;0
563;Total primary schools;Public schools;5 001 to 10 001 pupils/students;1993/94;0;0
564;Total primary schools;Public schools;5 001 to 10 001 pupils/students;1994/95;0;0
565;Total primary schools;Public schools;5 001 to 10 001 pupils/students;1995/96;0;0
