ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
441;Total male and female ;Total;Albanian;2014 October;10;10;0;0
442;Total male and female ;Total;Albanian;2014 November;5;5;0;0
443;Total male and female ;Total;Albanian;2014 December;15;15;0;0
444;Total male and female ;Total;Albanian;2014 4th Quarter;30;30;0;0
445;Total male and female ;Total;Albanian;2014;90;85;5;0
446;Total male and female ;Total;Albanian;2015 January;10;10;0;0
447;Total male and female ;Total;Albanian;2015 February;15;15;0;0
448;Total male and female ;Total;Albanian;2015 March;10;10;0;0
449;Total male and female ;Total;Albanian;2015 1st Quarter;35;35;0;0
450;Total male and female ;Total;Albanian;2015 April;15;15;0;0
451;Total male and female ;Total;Albanian;2015 May;25;25;0;0
452;Total male and female ;Total;Albanian;2015 June;40;40;0;0
453;Total male and female ;Total;Albanian;2015 2nd Quarter;80;80;0;0
454;Total male and female ;Total;Albanian;2015 July;70;70;0;0
455;Total male and female ;Total;Albanian;2015 August;75;75;0;5
456;Total male and female ;Total;Albanian;2015 September;175;170;0;0
457;Total male and female ;Total;Albanian;2015 3rd Quarter;320;320;0;5
458;Total male and female ;Total;Albanian;2015 October;285;285;0;0
459;Total male and female ;Total;Albanian;2015 November;145;140;5;0
460;Total male and female ;Total;Albanian;2015 December;150;150;0;0
461;Total male and female ;Total;Albanian;2015 4th Quarter;580;575;5;0
462;Total male and female ;Total;Albanian;2015;1015;1005;10;5
463;Total male and female ;Total;Albanian;2016 January;235;225;5;0
464;Total male and female ;Total;Albanian;2016 February;250;250;0;0
465;Total male and female ;Total;Albanian;2016 March;225;225;0;0
466;Total male and female ;Total;Albanian;2016 1st Quarter;705;700;5;0
467;Total male and female ;Total;Albanian;2016 April;140;130;5;0
468;Total male and female ;Total;Albanian;2016 May;130;130;0;0
469;Total male and female ;Total;Albanian;2016 June;100;100;5;0
470;Total male and female ;Total;Albanian;2016 2nd Quarter;370;360;10;0
471;Total male and female ;Total;Albanian;2016 July;160;155;5;0
472;Total male and female ;Total;Albanian;2016 August;135;135;5;0
473;Total male and female ;Total;Albanian;2016 September;105;95;10;0
474;Total male and female ;Total;Albanian;2016 3rd Quarter;400;385;15;0
475;Total male and female ;Total;Albanian;2016 October;65;65;0;0
476;Total male and female ;Total;Albanian;2016 November;85;85;0;0
477;Total male and female ;Total;Albanian;2016 December;70;70;0;0
478;Total male and female ;Total;Albanian;2016 4th Quarter;220;220;0;0
479;Total male and female ;Total;Albanian;2016;1700;1665;35;0
480;Total male and female ;Total;Albanian;2017 January;60;60;0;0
481;Total male and female ;Total;Albanian;2017 February;45;45;0;0
482;Total male and female ;Total;Albanian;2017 March;40;40;0;0
483;Total male and female ;Total;Albanian;2017 1st Quarter;145;145;5;0
484;Total male and female ;Total;Albanian;2017 April;20;20;0;0
485;Total male and female ;Total;Albanian;2017 May;25;25;0;0
486;Total male and female ;Total;Albanian;2017 June;35;35;0;0
487;Total male and female ;Total;Albanian;2017 2nd Quarter;80;80;0;0
488;Total male and female ;Total;Albanian;2017 July;45;45;0;0
489;Total male and female ;Total;Albanian;2017 August;35;35;0;0
490;Total male and female ;Total;Albanian;2017 September;15;10;5;0
491;Total male and female ;Total;Albanian;2017 3rd Quarter;100;90;5;0
492;Total male and female ;Total;Albanian;2017 October;15;15;0;0
493;Total male and female ;Total;Albanian;2017 November;20;20;0;0
494;Total male and female ;Total;Albanian;2017 December;20;15;0;0
495;Total male and female ;Total;Albanian;2017 4th Quarter;50;50;0;0
496;Total male and female ;Total;Albanian;2017;375;365;10;0
497;Total male and female ;Total;Albanian;2018 January;20;20;0;0
498;Total male and female ;Total;Albanian;2018 February;10;10;0;0
499;Total male and female ;Total;Albanian;2018 March;20;20;0;0
500;Total male and female ;Total;Albanian;2018 1st Quarter;50;45;0;0
501;Total male and female ;Total;Albanian;2018 April;25;25;0;0
502;Total male and female ;Total;Albanian;2018 May;30;25;0;0
503;Total male and female ;Total;Albanian;2018 June;20;20;0;0
504;Total male and female ;Total;Albanian;2018 2nd Quarter;75;70;0;0
505;Total male and female ;Total;Albanian;2018 July;15;15;0;0
506;Total male and female ;Total;Albanian;2018 August;130;130;5;0
507;Total male and female ;Total;Albanian;2018 September;200;200;0;0
508;Total male and female ;Total;Albanian;2018 3rd Quarter;350;345;5;0
509;Total male and female ;Total;Albanian;2018 October;65;65;0;0
510;Total male and female ;Total;Albanian;2018 November;25;15;10;0
511;Total male and female ;Total;Albanian;2018 December;10;10;5;0
512;Total male and female ;Total;Albanian;2018 4th Quarter;105;90;15;0
513;Total male and female ;Total;Albanian;2018;575;550;25;0
514;Total male and female ;Total;Albanian;2019 January;50;25;25;0
515;Total male and female ;Total;Albanian;2019 February;25;20;10;0
516;Total male and female ;Total;Albanian;2019 March;45;20;25;0
517;Total male and female ;Total;Albanian;2019 1st Quarter;125;65;60;0
518;Total male and female ;Total;Albanian;2019 April;10;10;0;0
519;Total male and female ;Total;Albanian;2019 May;15;15;5;0
520;Total male and female ;Total;Albanian;2019 June;25;20;0;0
521;Total male and female ;Total;Albanian;2019 2nd Quarter;50;45;5;0
522;Total male and female ;Total;Albanian;2019 July;25;20;5;0
523;Total male and female ;Total;Albanian;2019 August;15;10;5;5
524;Total male and female ;Total;Albanian;2019 September;20;20;0;0
525;Total male and female ;Total;Albanian;2019 3rd Quarter;60;50;10;5
526;Total male and female ;Total;Albanian;2019 October;20;20;0;0
527;Total male and female ;Total;Albanian;2019 November;5;5;0;0
528;Total male and female ;Total;Albanian;2019 December;10;10;0;0
529;Total male and female ;Total;Albanian;2019 4th Quarter;35;35;0;0
530;Total male and female ;Total;Albanian;2019;270;190;75;5
531;Total male and female ;Total;Albanian;2020 January;5;5;0;0
532;Total male and female ;Total;Albanian;2020 February;25;25;5;0
533;Total male and female ;Total;Albanian;2020 March;0;0;0;0
534;Total male and female ;Total;Albanian;2020 1st Quarter;35;30;5;0
535;Total male and female ;Total;Albanian;2020 April;5;5;0;0
536;Total male and female ;Total;Albanian;2020 May;0;0;0;0
537;Total male and female ;Total;Albanian;2020 June;0;0;0;0
538;Total male and female ;Total;Albanian;2020 2nd Quarter;5;5;0;0
539;Total male and female ;Total;Albanian;2020 July;10;5;0;0
540;Total male and female ;Total;Albanian;2020 August;0;0;0;0
541;Total male and female ;Total;Albanian;2020 September;5;5;0;0
542;Total male and female ;Total;Albanian;2020 3rd Quarter;15;15;0;0
543;Total male and female ;Total;Albanian;2020 October;5;5;0;0
544;Total male and female ;Total;Albanian;2020 November;10;10;0;0
545;Total male and female ;Total;Albanian;2020 December;20;20;0;0
546;Total male and female ;Total;Albanian;2020 4th Quarter;35;35;0;0
547;Total male and female ;Total;Albanian;2020;90;80;5;0
548;Total male and female ;Total;Albanian;2021 January;0;0;0;0
549;Total male and female ;Total;Albanian;2021 February;0;0;0;0
550;Total male and female ;Total;Albanian;2021 March;0;0;0;0
551;Total male and female ;Total;Albanian;2021 1st Quarter;5;0;0;0
552;Total male and female ;Total;Albanian;2021 April;5;5;0;0
553;Total male and female ;Total;Albanian;2021 May;5;5;0;0
554;Total male and female ;Total;Albanian;2021 June;5;5;0;0
555;Total male and female ;Total;Albanian;2021 2nd Quarter;15;15;0;0
556;Total male and female ;Total;Albanian;2021 July;5;5;0;0
557;Total male and female ;Total;Albanian;2021 August;5;5;0;0
558;Total male and female ;Total;Albanian;2021 September;15;15;0;0
559;Total male and female ;Total;Albanian;2021 3rd Quarter;20;20;0;0
560;Total male and female ;Total;Albanian;2021 October;10;10;0;0
561;Total male and female ;Total;Albanian;2021 November;5;5;0;0
562;Total male and female ;Total;Albanian;2021 December;0;0;0;0
563;Total male and female ;Total;Albanian;2021 4th Quarter;15;15;0;0
564;Total male and female ;Total;Albanian;2021;55;55;0;0
565;Total male and female ;Total;Albanian;2022 January;5;5;0;5
566;Total male and female ;Total;Albanian;2022 February;5;5;0;0
567;Total male and female ;Total;Albanian;2022 March;5;5;0;0
568;Total male and female ;Total;Albanian;2022 1st Quarter;10;10;0;5
569;Total male and female ;Total;Albanian;2022 April;5;5;0;0
570;Total male and female ;Total;Albanian;2022 May;5;0;0;0
571;Total male and female ;Total;Albanian;2022 June;10;10;0;0
572;Total male and female ;Total;Albanian;2022 2nd Quarter;20;15;0;0
573;Total male and female ;Total;Albanian;2022 July;5;5;0;0
574;Total male and female ;Total;Albanian;2022 August;5;5;0;0
575;Total male and female ;Total;Albanian;2022 September;0;0;0;0
576;Total male and female ;Total;Albanian;2022 3th Quarter;15;15;0;0
577;Total male and female ;Total;Albanian;2022 October;5;5;0;0
578;Total male and female ;Total;Albanian;2022 November ;0;0;0;0
579;Total male and female ;Total;Albanian;2022 December;0;0;0;0
580;Total male and female ;Total;Albanian;2022 4th Quarter;10;10;0;0
581;Total male and female ;Total;Albanian;2022;55;50;5;5
582;Total male and female ;Total;Albanian;2023 January;5;5;0;0
583;Total male and female ;Total;Albanian;2023 February;10;10;0;0
584;Total male and female ;Total;Albanian;2023 March;0;0;0;0
585;Total male and female ;Total;Albanian;2023 1st Quarter;15;10;0;0
586;Total male and female ;Total;Albanian;2023 April;0;0;0;0
587;Total male and female ;Total;Albanian;2023 May;0;0;0;0
588;Total male and female ;Total;Albanian;2023 June;5;5;0;0
589;Total male and female ;Total;Albanian;2023 2nd Quarter;5;5;0;0
590;Total male and female ;Total;Albanian;2023 July;0;0;0;0
591;Total male and female ;Total;Albanian;2023 August;0;0;0;0
592;Total male and female ;Total;Albanian;2023 September;0;0;0;0
593;Total male and female ;Total;Albanian;2023 3rd Quarter;5;0;0;0
594;Total male and female ;Total;Albanian;2023 October;0;0;0;0
595;Total male and female ;Total;Albanian;2023 November;5;5;0;0
596;Total male and female ;Total;Albanian;2023 December;5;5;0;0
597;Total male and female ;Total;Albanian;2023 4th Quarter;10;10;0;0
598;Total male and female ;Total;Albanian;2023;30;30;5;0
599;Total male and female ;Total;Albanian;2024 January;0;0;0;0
600;Total male and female ;Total;Albanian;2024 February;0;0;0;0
601;Total male and female ;Total;Albanian;2024 March;0;0;0;0
602;Total male and female ;Total;Albanian;2024 1st Quarter;0;0;0;0
603;Total male and female ;Total;Albanian;2024 April;0;0;0;0
604;Total male and female ;Total;Albanian;2024 May;5;5;0;0
605;Total male and female ;Total;Albanian;2024 June;0;0;0;0
606;Total male and female ;Total;Albanian;2024 2nd Quarter;5;5;0;0
607;Total male and female ;Total;Albanian;2024 July;0;0;0;0
608;Total male and female ;Total;Albanian;2024 August;10;10;0;0
609;Total male and female ;Total;Albanian;2024 September;5;0;5;0
610;Total male and female ;Total;Albanian;2024 3rd Quarter;15;10;5;0
611;Total male and female ;Total;Albanian;2024 October;5;5;0;0
612;Total male and female ;Total;Albanian;2024 November;5;5;0;0
613;Total male and female ;Total;Albanian;2024 December;0;0;0;0
614;Total male and female ;Total;Albanian;2024 4th Quarter;5;5;0;0
615;Total male and female ;Total;Albanian;2024;25;20;5;0
616;Total male and female ;Total;Albanian;2025 January;0;0;0;0
617;Total male and female ;Total;Albanian;2025 February;5;5;0;0
618;Total male and female ;Total;Algerian;2013 January;0;0;0;0
619;Total male and female ;Total;Algerian;2013 February;0;0;0;0
620;Total male and female ;Total;Algerian;2013 March;5;5;0;0
621;Total male and female ;Total;Algerian;2013 1st Quarter;10;5;0;0
622;Total male and female ;Total;Algerian;2013 April;5;5;0;0
623;Total male and female ;Total;Algerian;2013 May;5;0;0;0
624;Total male and female ;Total;Algerian;2013 June;10;10;0;0
625;Total male and female ;Total;Algerian;2013 2nd Quarter;15;15;5;0
626;Total male and female ;Total;Algerian;2013 July;0;0;0;0
627;Total male and female ;Total;Algerian;2013 August;5;5;0;0
628;Total male and female ;Total;Algerian;2013 September;5;0;0;0
629;Total male and female ;Total;Algerian;2013 3rd Quarter;10;5;5;0
630;Total male and female ;Total;Algerian;2013 October;0;0;0;0
631;Total male and female ;Total;Algerian;2013 November;0;0;0;0
632;Total male and female ;Total;Algerian;2013 December;0;0;0;0
633;Total male and female ;Total;Algerian;2013 4th Quarter;5;5;0;0
634;Total male and female ;Total;Algerian;2013;40;30;10;0
635;Total male and female ;Total;Algerian;2014 January;0;0;0;0
636;Total male and female ;Total;Algerian;2014 February;0;0;0;0
637;Total male and female ;Total;Algerian;2014 March;0;0;0;0
638;Total male and female ;Total;Algerian;2014 1st Quarter;5;5;0;0
639;Total male and female ;Total;Algerian;2014 April;0;0;0;0
640;Total male and female ;Total;Algerian;2014 May;5;0;0;0
641;Total male and female ;Total;Algerian;2014 June;5;5;0;0
642;Total male and female ;Total;Algerian;2014 2nd Quarter;10;5;0;0
643;Total male and female ;Total;Algerian;2014 July;0;0;0;0
644;Total male and female ;Total;Algerian;2014 August;0;0;0;0
645;Total male and female ;Total;Algerian;2014 September;0;0;0;0
646;Total male and female ;Total;Algerian;2014 3rd Quarter;5;0;0;0
647;Total male and female ;Total;Algerian;2014 October;0;0;0;0
648;Total male and female ;Total;Algerian;2014 November;0;0;0;0
649;Total male and female ;Total;Algerian;2014 December;0;0;0;0
650;Total male and female ;Total;Algerian;2014 4th Quarter;5;5;0;0
651;Total male and female ;Total;Algerian;2014;20;15;5;0
652;Total male and female ;Total;Algerian;2015 January;10;10;0;0
653;Total male and female ;Total;Algerian;2015 February;0;0;0;0
654;Total male and female ;Total;Algerian;2015 March;0;0;0;0
655;Total male and female ;Total;Algerian;2015 1st Quarter;15;15;0;0
656;Total male and female ;Total;Algerian;2015 April;5;5;0;0
657;Total male and female ;Total;Algerian;2015 May;0;0;0;0
658;Total male and female ;Total;Algerian;2015 June;5;5;0;0
659;Total male and female ;Total;Algerian;2015 2nd Quarter;10;5;0;0
660;Total male and female ;Total;Algerian;2015 July;5;0;0;5
661;Total male and female ;Total;Algerian;2015 August;0;0;0;0
662;Total male and female ;Total;Algerian;2015 September;0;0;0;5
663;Total male and female ;Total;Algerian;2015 3rd Quarter;5;5;0;5
664;Total male and female ;Total;Algerian;2015 October;10;10;0;5
665;Total male and female ;Total;Algerian;2015 November;5;5;0;0
666;Total male and female ;Total;Algerian;2015 December;0;0;0;0
667;Total male and female ;Total;Algerian;2015 4th Quarter;15;15;0;5
668;Total male and female ;Total;Algerian;2015;45;40;5;10
669;Total male and female ;Total;Algerian;2016 January;10;10;0;0
670;Total male and female ;Total;Algerian;2016 February;5;5;0;0
671;Total male and female ;Total;Algerian;2016 March;20;20;0;0
672;Total male and female ;Total;Algerian;2016 1st Quarter;35;35;0;0
673;Total male and female ;Total;Algerian;2016 April;5;5;0;0
674;Total male and female ;Total;Algerian;2016 May;25;25;0;0
675;Total male and female ;Total;Algerian;2016 June;10;10;0;0
676;Total male and female ;Total;Algerian;2016 2nd Quarter;45;40;0;0
