ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
997;Men;15 to 65 years;2002 April;13410;12220;1190;15460;10700;4760
998;Men;15 to 65 years;2002 May;14450;13070;1380;15020;9410;5610
999;Men;15 to 65 years;2002 June;12740;11560;1180;12360;7550;4820
1000;Men;15 to 65 years;2002 July;11200;10100;1110;11390;6080;5320
1001;Men;15 to 65 years;2002 August;13450;12220;1230;11980;6450;5520
1002;Men;15 to 65 years;2002 September;13660;12470;1190;12700;7890;4810
1003;Men;15 to 65 years;2002 October;15490;14060;1440;13400;8100;5300
1004;Men;15 to 65 years;2002 November;16880;15450;1430;10710;6060;4650
1005;Men;15 to 65 years;2002 December;14680;13620;1070;9390;5090;4310
1006;Men;15 to 65 years;2002 Annual figure;171580;156590;14990;149460;89610;59850
1007;Men;15 to 65 years;2003 January;24990;23040;1960;12600;6900;5700
1008;Men;15 to 65 years;2003 February;20890;19240;1650;13850;8600;5250
1009;Men;15 to 65 years;2003 March;18810;17250;1560;17090;11690;5400
1010;Men;15 to 65 years;2003 April;17500;15870;1640;16830;11430;5390
1011;Men;15 to 65 years;2003 May;19440;17750;1690;19010;11960;7050
1012;Men;15 to 65 years;2003 June;15560;14160;1410;14180;8290;5890
1013;Men;15 to 65 years;2003 July;19300;17450;1850;16150;8810;7340
1014;Men;15 to 65 years;2003 August;14490;13240;1260;12070;7130;4940
1015;Men;15 to 65 years;2003 September;17060;15690;1380;15500;9730;5770
1016;Men;15 to 65 years;2003 October;20190;18510;1680;17340;10580;6760
1017;Men;15 to 65 years;2003 November;18690;16780;1920;13300;7670;5630
1018;Men;15 to 65 years;2003 December;18180;16260;1930;12090;6510;5580
1019;Men;15 to 65 years;2003 Annual figure;225100;205200;19900;179990;109300;70690
1020;Men;15 to 65 years;2004 January;24240;22220;2030;14400;8330;6070
1021;Men;15 to 65 years;2004 February;21510;19550;1960;16670;10250;6420
1022;Men;15 to 65 years;2004 March;19680;17520;2170;19820;13010;6820
1023;Men;15 to 65 years;2004 April;20210;18110;2100;22680;15200;7480
1024;Men;15 to 65 years;2004 May;13760;12180;1580;17280;11140;6140
1025;Men;15 to 65 years;2004 June;15410;13500;1910;16100;9780;6320
1026;Men;15 to 65 years;2004 July;17460;15370;2090;20260;11320;8930
1027;Men;15 to 65 years;2004 August;13370;11870;1510;14900;8300;6600
1028;Men;15 to 65 years;2004 September;15250;13540;1720;17250;10520;6720
1029;Men;15 to 65 years;2004 October;18990;16860;2130;21080;12730;8350
1030;Men;15 to 65 years;2004 November;17710;15940;1770;16090;9160;6930
1031;Men;15 to 65 years;2004 December;21630;19530;2100;15470;8130;7340
1032;Men;15 to 65 years;2004 Annual figure;219220;196190;23030;211970;127870;84100
1033;Men;15 to 65 years;2005 January;23370;21530;1830;15300;8330;6960
1034;Men;15 to 65 years;2005 February;21400;19690;1710;18220;10730;7490
1035;Men;15 to 65 years;2005 March;20060;18260;1800;22050;13280;8770
1036;Men;15 to 65 years;2005 April;17430;15730;1700;23390;15420;7970
1037;Men;15 to 65 years;2005 May;13160;11670;1490;21460;12150;9310
1038;Men;15 to 65 years;2005 June;16310;14390;1920;20290;12190;8100
1039;Men;15 to 65 years;2005 July;12000;10770;1230;16710;9390;7320
1040;Men;15 to 65 years;2005 August;12930;11710;1220;14510;8040;6470
1041;Men;15 to 65 years;2005 September;16740;15200;1540;20800;13030;7770
1042;Men;15 to 65 years;2005 October;13240;11960;1270;17280;10470;6800
1043;Men;15 to 65 years;2005 November;14310;12920;1400;14940;8560;6380
1044;Men;15 to 65 years;2005 December;16460;15100;1350;14630;7830;6800
1045;Men;15 to 65 years;2005 Annual figure;197400;178940;18460;219560;129410;90160
1046;Men;15 to 65 years;2006 January;17700;16450;1240;16030;8600;7440
1047;Men;15 to 65 years;2006 February;18960;17430;1530;16800;10260;6540
1048;Men;15 to 65 years;2006 March;18280;16500;1780;21180;12960;8220
1049;Men;15 to 65 years;2006 April;12330;10950;1380;20110;13610;6500
1050;Men;15 to 65 years;2006 May;11760;10490;1270;18770;12040;6730
1051;Men;15 to 65 years;2006 June;12090;10690;1400;18400;10530;7870
1052;Men;15 to 65 years;2006 July;9710;8610;1100;14460;7590;6870
1053;Men;15 to 65 years;2006 August;12690;11400;1290;15660;8780;6880
1054;Men;15 to 65 years;2006 September;11150;10000;1150;15800;9930;5870
1055;Men;15 to 65 years;2006 October;11340;10090;1250;15150;9060;6100
1056;Men;15 to 65 years;2006 November;13430;11850;1580;15410;8630;6790
1057;Men;15 to 65 years;2006 December;11490;10260;1230;10880;5670;5210
1058;Men;15 to 65 years;2006 Annual figure;160930;144720;16200;198660;117640;81010
1059;Men;15 to 65 years;2007 January;15680;14200;1480;13030;6850;6180
1060;Men;15 to 65 years;2007 February;13510;12000;1510;15320;8810;6510
1061;Men;15 to 65 years;2007 March;13450;11840;1610;20100;11710;8390
1062;Men;15 to 65 years;2007 April;9030;7940;1090;16410;9870;6530
1063;Men;15 to 65 years;2007 May;9480;8370;1110;15510;8680;6830
1064;Men;15 to 65 years;2007 June;8090;7040;1060;11790;6350;5440
1065;Men;15 to 65 years;2007 July;8720;7710;1010;10950;5780;5170
1066;Men;15 to 65 years;2007 August;11090;10040;1050;12710;7140;5570
1067;Men;15 to 65 years;2007 September;8670;7680;990;12800;7700;5100
1068;Men;15 to 65 years;2007 October;9640;8460;1180;11910;6580;5330
1069;Men;15 to 65 years;2007 November;12510;11220;1300;12860;6600;6260
1070;Men;15 to 65 years;2007 December;10240;9360;880;9220;4230;4990
1071;Men;15 to 65 years;2007 Annual figure;130120;115860;14260;162600;90300;72290
1072;Men;15 to 65 years;2008 January;17380;15970;1410;13550;7140;6410
1073;Men;15 to 65 years;2008 February;10290;9240;1060;12750;7340;5410
1074;Men;15 to 65 years;2008 March;8760;7910;850;12980;7490;5490
1075;Men;15 to 65 years;2008 April;9470;8520;940;13670;7840;5830
1076;Men;15 to 65 years;2008 May;8860;7890;970;12400;6800;5600
1077;Men;15 to 65 years;2008 June;7940;7010;920;10400;5730;4670
1078;Men;15 to 65 years;2008 July;10340;9370;970;11340;5400;5940
1079;Men;15 to 65 years;2008 August;9100;8360;740;10040;5750;4290
1080;Men;15 to 65 years;2008 September;8570;7690;880;11120;6570;4560
1081;Men;15 to 65 years;2008 October;11640;10460;1190;11690;6210;5480
1082;Men;15 to 65 years;2008 November;11480;10530;960;9130;4780;4360
1083;Men;15 to 65 years;2008 December;14610;13600;1010;8540;3780;4760
1084;Men;15 to 65 years;2008 Annual figure;128430;116540;11880;137620;74820;62800
1085;Men;15 to 65 years;2009 January;21320;20030;1290;12040;5960;6080
1086;Men;15 to 65 years;2009 February;18570;17370;1190;12600;6470;6130
1087;Men;15 to 65 years;2009 March;19000;17840;1160;14510;7040;7470
1088;Men;15 to 65 years;2009 April;21840;20550;1290;17750;9030;8720
1089;Men;15 to 65 years;2009 May;17360;16450;910;14150;7080;7070
1090;Men;15 to 65 years;2009 June;19980;19090;900;14450;7450;7000
1091;Men;15 to 65 years;2009 July;22920;21860;1050;17150;7860;9290
1092;Men;15 to 65 years;2009 August;19920;19090;830;14860;7520;7340
1093;Men;15 to 65 years;2009 September;20450;19550;900;17880;9970;7910
1094;Men;15 to 65 years;2009 October;24770;23470;1300;19590;10940;8660
1095;Men;15 to 65 years;2009 November;21680;20620;1070;16120;8040;8070
1096;Men;15 to 65 years;2009 December;25670;24500;1170;16590;7050;9540
1097;Men;15 to 65 years;2009 Annual figure;253470;240400;13070;187680;94400;93270
1098;Men;15 to 65 years;2010 January;29620;28350;1270;19470;9430;10040
1099;Men;15 to 25 years;1998 January;6480;5860;620;3550;2490;1060
1100;Men;15 to 25 years;1998 February;5120;5040;80;4300;3350;950
1101;Men;15 to 25 years;1998 March;3310;3250;60;5060;3940;1120
1102;Men;15 to 25 years;1998 April;2800;2740;60;5650;4240;1420
1103;Men;15 to 25 years;1998 May;1920;1870;50;3680;2520;1160
1104;Men;15 to 25 years;1998 June;1850;1800;50;3090;1890;1200
1105;Men;15 to 25 years;1998 July;2110;2070;40;2640;1520;1120
1106;Men;15 to 25 years;1998 August;2140;2120;20;2690;1910;780
1107;Men;15 to 25 years;1998 September;2390;2340;50;2690;2000;680
1108;Men;15 to 25 years;1998 October;2520;2460;60;2740;1890;850
1109;Men;15 to 25 years;1998 November;3860;3810;50;2370;1490;870
1110;Men;15 to 25 years;1998 December;3790;3750;40;2050;1150;900
1111;Men;15 to 25 years;1998 Annual figure;38280;37100;1180;40500;28380;12120
1112;Men;15 to 25 years;1999 January;3970;3920;50;3000;1980;1020
1113;Men;15 to 25 years;1999 February;2970;2930;40;3090;2310;780
1114;Men;15 to 25 years;1999 March;3000;2950;50;4500;3430;1070
1115;Men;15 to 25 years;1999 April;1630;1600;30;2990;2260;730
1116;Men;15 to 25 years;1999 May;1180;1150;20;2090;1270;820
1117;Men;15 to 25 years;1999 June;1240;1210;30;1940;1190;750
1118;Men;15 to 25 years;1999 July;1210;1180;30;1380;770;610
1119;Men;15 to 25 years;1999 August;1150;1130;30;1200;710;490
1120;Men;15 to 25 years;1999 September;1710;1660;40;1980;1400;590
1121;Men;15 to 25 years;1999 October;1240;1210;30;1600;1020;570
1122;Men;15 to 25 years;1999 November;1570;1530;30;1290;800;500
1123;Men;15 to 25 years;1999 December;1810;1770;40;1180;730;450
1124;Men;15 to 25 years;1999 Annual figure;22650;22240;410;26230;17860;8370
1125;Men;15 to 25 years;2000 January;2760;2730;30;1340;920;420
1126;Men;15 to 25 years;2000 February;2120;2070;50;2050;1530;520
1127;Men;15 to 25 years;2000 March;1740;1700;40;2560;1980;580
1128;Men;15 to 25 years;2000 April;1030;1000;30;1990;1340;650
1129;Men;15 to 25 years;2000 May;930;900;30;1480;900;580
1130;Men;15 to 25 years;2000 June;850;820;30;1330;730;590
1131;Men;15 to 25 years;2000 July;830;800;30;970;510;460
1132;Men;15 to 25 years;2000 August;1120;1090;30;970;620;350
1133;Men;15 to 25 years;2000 September;980;950;30;1140;790;350
1134;Men;15 to 25 years;2000 October;1030;1000;40;1110;690;420
1135;Men;15 to 25 years;2000 November;1400;1370;30;1110;760;360
1136;Men;15 to 25 years;2000 December;1210;1190;20;750;470;280
1137;Men;15 to 25 years;2000 Annual figure;15990;15620;370;16790;11230;5560
1138;Men;15 to 25 years;2001 January;1680;1660;20;880;610;270
1139;Men;15 to 25 years;2001 February;1450;1420;30;1240;940;290
1140;Men;15 to 25 years;2001 March;1700;1660;50;2070;1550;510
1141;Men;15 to 25 years;2001 April;1100;1070;30;1580;1100;480
1142;Men;15 to 25 years;2001 May;970;950;20;1250;790;460
1143;Men;15 to 25 years;2001 June;770;750;20;950;570;390
1144;Men;15 to 25 years;2001 July;750;720;30;960;520;440
1145;Men;15 to 25 years;2001 August;930;900;20;840;540;310
1146;Men;15 to 25 years;2001 September;1010;990;20;960;660;290
1147;Men;15 to 25 years;2001 October;1080;1050;30;950;620;330
1148;Men;15 to 25 years;2001 November;1450;1410;40;1000;630;370
1149;Men;15 to 25 years;2001 December;1200;1170;30;760;460;300
1150;Men;15 to 25 years;2001 Annual figure;14080;13750;330;13440;9010;4440
1151;Men;15 to 25 years;2002 January;2150;2120;30;1030;660;370
1152;Men;15 to 25 years;2002 February;1680;1660;20;1180;840;340
1153;Men;15 to 25 years;2002 March;1710;1670;40;1710;1260;450
1154;Men;15 to 25 years;2002 April;1650;1620;30;1810;1270;540
1155;Men;15 to 25 years;2002 May;1700;1670;40;1840;1210;640
1156;Men;15 to 25 years;2002 June;1430;1400;30;1490;990;500
1157;Men;15 to 25 years;2002 July;1200;1170;30;1270;740;530
1158;Men;15 to 25 years;2002 August;1560;1520;40;1240;760;490
1159;Men;15 to 25 years;2002 September;1770;1740;40;1500;980;510
1160;Men;15 to 25 years;2002 October;1910;1870;40;1540;1020;520
1161;Men;15 to 25 years;2002 November;2200;2130;70;1210;780;430
1162;Men;15 to 25 years;2002 December;2010;1950;60;1070;710;360
1163;Men;15 to 25 years;2002 Annual figure;20960;20510;450;16890;11220;5660
1164;Men;15 to 25 years;2003 January;3400;3310;90;1490;940;550
1165;Men;15 to 25 years;2003 February;3060;2970;90;1860;1300;570
1166;Men;15 to 25 years;2003 March;2840;2710;130;2390;1720;670
1167;Men;15 to 25 years;2003 April;2620;2510;110;2400;1690;710
1168;Men;15 to 25 years;2003 May;2710;2630;80;2840;1830;1000
1169;Men;15 to 25 years;2003 June;2060;1970;90;2190;1260;930
1170;Men;15 to 25 years;2003 July;2560;2460;100;2380;1260;1110
1171;Men;15 to 25 years;2003 August;2080;1990;90;1570;930;640
1172;Men;15 to 25 years;2003 September;2330;2260;70;2180;1370;820
1173;Men;15 to 25 years;2003 October;2940;2840;110;2390;1530;870
1174;Men;15 to 25 years;2003 November;2670;2580;90;1860;1170;690
1175;Men;15 to 25 years;2003 December;2580;2480;100;1740;1060;690
1176;Men;15 to 25 years;2003 Annual figure;31850;30700;1150;25280;16050;9240
1177;Men;15 to 25 years;2004 January;3520;3440;80;1960;1190;770
1178;Men;15 to 25 years;2004 February;3460;3380;80;2380;1510;860
1179;Men;15 to 25 years;2004 March;3130;3020;110;3060;2010;1050
1180;Men;15 to 25 years;2004 April;3070;2970;100;3440;2200;1250
1181;Men;15 to 25 years;2004 May;1880;1800;80;2690;1660;1030
1182;Men;15 to 25 years;2004 June;1890;1820;70;2510;1450;1060
1183;Men;15 to 25 years;2004 July;2220;2160;70;2860;1450;1410
1184;Men;15 to 25 years;2004 August;1870;1800;70;2000;1010;1000
1185;Men;15 to 25 years;2004 September;2110;2040;70;2410;1370;1040
1186;Men;15 to 25 years;2004 October;2700;2610;90;2760;1560;1200
1187;Men;15 to 25 years;2004 November;2500;2420;80;2240;1280;970
1188;Men;15 to 25 years;2004 December;2890;2800;80;2060;1050;1000
1189;Men;15 to 25 years;2004 Annual figure;31230;30260;970;30360;17720;12630
1190;Men;15 to 25 years;2005 January;3430;3330;100;2000;1080;930
1191;Men;15 to 25 years;2005 February;3290;3220;70;2420;1470;950
1192;Men;15 to 25 years;2005 March;2900;2830;70;3100;1830;1270
1193;Men;15 to 25 years;2005 April;2550;2480;70;3300;2050;1250
1194;Men;15 to 25 years;2005 May;1650;1610;50;2810;1630;1180
1195;Men;15 to 25 years;2005 June;1860;1780;70;2740;1530;1210
1196;Men;15 to 25 years;2005 July;1460;1410;40;2090;1070;1020
1197;Men;15 to 25 years;2005 August;1580;1530;50;1690;860;830
1198;Men;15 to 25 years;2005 September;2220;2150;70;2400;1440;960
1199;Men;15 to 25 years;2005 October;1680;1640;50;2010;1190;820
1200;Men;15 to 25 years;2005 November;1760;1700;60;1700;940;760
1201;Men;15 to 25 years;2005 December;2000;1950;50;1570;850;720
1202;Men;15 to 25 years;2005 Annual figure;26370;25620;760;27840;15940;11900
1203;Men;15 to 25 years;2006 January;2230;2180;50;1730;880;850
1204;Men;15 to 25 years;2006 February;2480;2410;60;1810;1110;690
1205;Men;15 to 25 years;2006 March;2280;2180;90;2470;1540;930
1206;Men;15 to 25 years;2006 April;1450;1380;70;2250;1540;710
1207;Men;15 to 25 years;2006 May;1170;1130;50;1970;1220;760
1208;Men;15 to 25 years;2006 June;1110;1060;50;1890;980;910
1209;Men;15 to 25 years;2006 July;810;760;50;1320;590;730
1210;Men;15 to 25 years;2006 August;1200;1140;60;1240;650;590
1211;Men;15 to 25 years;2006 September;1060;990;70;1260;810;460
1212;Men;15 to 25 years;2006 October;1020;960;60;1200;710;490
1213;Men;15 to 25 years;2006 November;1220;1140;80;1150;630;530
1214;Men;15 to 25 years;2006 December;1000;930;70;760;430;330
1215;Men;15 to 25 years;2006 Annual figure;17010;16250;760;19050;11080;7980
1216;Men;15 to 25 years;2007 January;1490;1390;100;910;540;370
1217;Men;15 to 25 years;2007 February;1400;1290;110;1250;720;530
1218;Men;15 to 25 years;2007 March;1250;1190;70;1720;980;740
1219;Men;15 to 25 years;2007 April;740;720;20;1280;670;600
1220;Men;15 to 25 years;2007 May;750;720;30;1160;540;620
1221;Men;15 to 25 years;2007 June;560;530;30;820;370;450
1222;Men;15 to 25 years;2007 July;690;660;30;740;320;420
1223;Men;15 to 25 years;2007 August;980;940;50;850;500;350
1224;Men;15 to 25 years;2007 September;670;640;30;800;490;310
1225;Men;15 to 25 years;2007 October;640;600;40;660;360;300
1226;Men;15 to 25 years;2007 November;970;930;40;760;390;370
1227;Men;15 to 25 years;2007 December;890;830;50;620;290;340
1228;Men;15 to 25 years;2007 Annual figure;11030;10430;600;11560;6160;5400
1229;Men;15 to 25 years;2008 January;1580;1460;110;890;500;390
1230;Men;15 to 25 years;2008 February;980;920;60;910;550;360
1231;Men;15 to 25 years;2008 March;750;720;30;980;560;420
1232;Men;15 to 25 years;2008 April;770;730;40;1020;540;490
1233;Men;15 to 25 years;2008 May;660;630;40;820;410;420
1234;Men;15 to 25 years;2008 June;520;490;30;650;320;340
1235;Men;15 to 25 years;2008 July;810;770;40;720;300;420
1236;Men;15 to 25 years;2008 August;830;800;30;740;450;290
1237;Men;15 to 25 years;2008 September;630;600;30;730;430;300
1238;Men;15 to 25 years;2008 October;960;920;40;780;400;380
