ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
2642;20 000 kg or more;Total goods vehicles;2008;1173.9;1083.4;90.5;1535.7;1083.4;452.3;54985.0;38791.0;16193.0;27929.0
2643;20 000 kg or more;Total goods vehicles;2009;1192.1;1101.2;90.9;1540.0;1101.2;438.8;53580.0;38314.0;15266.0;28742.0
2644;20 000 kg or more;Total goods vehicles;2010;1163.1;1068.1;95.1;1512.8;1068.1;444.8;52987.0;37409.0;15578.0;28551.0
2645;20 000 kg or more;Total goods vehicles;2011;1152.4;1064.2;88.2;1498.9;1064.2;434.7;53273.0;37823.0;15450.0;28136.0
2646;20 000 kg or more;Total goods vehicles;2012;1118.7;1029.2;89.5;1448.6;1029.2;419.4;52530.0;37323.0;15208.0;27575.0
2647;20 000 kg or more;Total goods vehicles;2013;1046.2;955.8;90.3;1394.0;955.8;438.1;51991.0;35650.0;16341.0;26812.0
2648;20 000 kg or more;Total goods vehicles;2014;1024.8;931.5;93.3;1362.7;931.5;431.2;52054.0;35583.0;16472.0;26179.0
2649;20 000 kg or more;Total goods vehicles;2015;1060.7;963.7;97.0;1354.2;963.7;390.5;51830.0;36884.0;14946.0;26128.0
2650;20 000 kg or more;Total goods vehicles;2016;1107.6;1002.6;105.0;1361.6;1002.6;359.0;51192.0;37694.0;13498.0;26598.0
2651;20 000 kg or more;Total goods vehicles;2017;1136.6;1037.1;99.5;1355.3;1037.1;318.2;49603.0;37957.0;11646.0;27322.0
2652;20 000 kg or more;Year of construction 1900 to 1979;2001;1.6;1.5;0.0;1.8;1.5;0.3;5733.0;4759.0;975.0;320.0
2653;20 000 kg or more;Year of construction 1900 to 1979;2002;1.4;1.3;0.0;1.6;1.3;0.3;5958.0;4945.0;1013.0;271.0
2654;20 000 kg or more;Year of construction 1900 to 1979;2003;1.6;1.6;0.0;1.9;1.6;0.3;8647.0;7177.0;1470.0;218.0
2655;20 000 kg or more;Year of construction 1900 to 1979;2004;1.8;1.8;0.1;2.1;1.8;0.4;9715.0;8063.0;1652.0;219.0
2656;20 000 kg or more;Year of construction 1900 to 1979;2005;1.6;1.5;0.1;1.8;1.5;0.3;9924.0;8237.0;1687.0;185.0
2657;20 000 kg or more;Year of construction 1900 to 1979;2006;1.3;1.2;0.0;1.5;1.2;0.3;9315.0;7731.0;1583.0;160.0
2658;20 000 kg or more;Year of construction 1900 to 1979;2007;1.0;1.0;0.0;1.1;1.0;0.2;6672.0;5671.0;1001.0;168.0
2659;20 000 kg or more;Year of construction 1900 to 1979;2008;0.6;0.6;0.0;0.7;0.6;0.1;4834.0;4205.0;628.0;150.0
2660;20 000 kg or more;Year of construction 1900 to 1979;2009;0.4;0.4;0.0;0.5;0.4;0.1;3421.0;3028.0;393.0;141.0
2661;20 000 kg or more;Year of construction 1900 to 1979;2010;0.3;0.3;0.0;0.3;0.3;0.0;2351.0;2101.0;250.0;137.0
2662;20 000 kg or more;Year of construction 1900 to 1979;2011;0.3;0.3;0.0;0.3;0.3;0.0;2062.0;1815.0;247.0;151.0
2663;20 000 kg or more;Year of construction 1900 to 1979;2012;0.5;0.5;0.0;0.5;0.5;0.1;3678.0;3185.0;493.0;149.0
2664;20 000 kg or more;Year of construction 1900 to 1979;2013;0.3;0.3;0.0;0.4;0.3;0.1;2638.0;1997.0;641.0;155.0
2665;20 000 kg or more;Year of construction 1900 to 1979;2014;0.2;0.2;0.0;0.3;0.2;0.1;2061.0;1504.0;556.0;151.0
2666;20 000 kg or more;Year of construction 1900 to 1979;2015;0.2;0.1;0.0;0.2;0.1;0.0;1290.0;1064.0;226.0;141.0
2667;20 000 kg or more;Year of construction 1900 to 1979;2016;0.1;0.1;0.0;0.2;0.1;0.0;1194.0;933.0;262.0;141.0
2668;20 000 kg or more;Year of construction 1900 to 1979;2017;0.1;0.1;0.0;0.1;0.1;0.0;686.0;547.0;139.0;148.0
2669;20 000 kg or more;Year of construction 1980 to 1985;2001;9.9;9.6;0.3;11.6;9.6;2.0;11764.0;9764.0;2000.0;982.0
2670;20 000 kg or more;Year of construction 1980 to 1985;2002;6.3;6.1;0.2;7.3;6.1;1.2;10860.0;9014.0;1846.0;675.0
2671;20 000 kg or more;Year of construction 1980 to 1985;2003;3.8;3.7;0.1;4.5;3.7;0.8;8712.0;7231.0;1481.0;515.0
2672;20 000 kg or more;Year of construction 1980 to 1985;2004;2.8;2.7;0.1;3.3;2.7;0.6;7074.0;5871.0;1203.0;462.0
2673;20 000 kg or more;Year of construction 1980 to 1985;2005;2.3;2.2;0.1;2.6;2.2;0.4;7772.0;6451.0;1321.0;338.0
2674;20 000 kg or more;Year of construction 1980 to 1985;2006;1.8;1.7;0.1;2.1;1.7;0.4;7294.0;6054.0;1240.0;289.0
2675;20 000 kg or more;Year of construction 1980 to 1985;2007;1.7;1.6;0.1;1.9;1.6;0.3;8150.0;6928.0;1223.0;235.0
2676;20 000 kg or more;Year of construction 1980 to 1985;2008;1.5;1.4;0.0;1.6;1.4;0.2;7822.0;6805.0;1017.0;210.0
2677;20 000 kg or more;Year of construction 1980 to 1985;2009;0.9;0.9;0.0;1.0;0.9;0.1;6017.0;5325.0;692.0;173.0
2678;20 000 kg or more;Year of construction 1980 to 1985;2010;0.9;0.9;0.0;1.0;0.9;0.1;6936.0;6199.0;738.0;144.0
2679;20 000 kg or more;Year of construction 1980 to 1985;2011;0.7;0.7;0.0;0.8;0.7;0.1;5964.0;5248.0;716.0;130.0
2680;20 000 kg or more;Year of construction 1980 to 1985;2012;0.4;0.4;0.0;0.5;0.4;0.1;4483.0;3883.0;601.0;108.0
2681;20 000 kg or more;Year of construction 1980 to 1985;2013;0.7;0.6;0.0;0.8;0.6;0.2;8635.0;6537.0;2098.0;97.0
2682;20 000 kg or more;Year of construction 1980 to 1985;2014;0.6;0.6;0.0;0.8;0.6;0.2;9358.0;6831.0;2527.0;87.0
2683;20 000 kg or more;Year of construction 1980 to 1985;2015;0.6;0.6;0.0;0.7;0.6;0.1;9935.0;8196.0;1739.0;70.0
2684;20 000 kg or more;Year of construction 1980 to 1985;2016;0.5;0.5;0.0;0.6;0.5;0.1;9627.0;7519.0;2108.0;66.0
2685;20 000 kg or more;Year of construction 1980 to 1985;2017;0.2;0.2;0.0;0.3;0.2;0.1;3914.0;3119.0;794.0;65.0
2686;20 000 kg or more;Year of construction 1986 to 1990;2001;97.1;94.2;2.9;113.5;94.2;19.3;25984.0;21566.0;4417.0;4368.0
2687;20 000 kg or more;Year of construction 1986 to 1990;2002;61.6;59.8;1.9;72.0;59.8;12.2;21395.0;17758.0;3637.0;3365.0
2688;20 000 kg or more;Year of construction 1986 to 1990;2003;40.6;39.5;1.2;47.5;39.5;8.1;18178.0;15088.0;3090.0;2615.0
2689;20 000 kg or more;Year of construction 1986 to 1990;2004;26.4;25.6;0.8;30.8;25.6;5.2;14621.0;12135.0;2485.0;2108.0
2690;20 000 kg or more;Year of construction 1986 to 1990;2005;19.4;18.8;0.6;22.6;18.8;3.8;13996.0;11617.0;2379.0;1615.0
2691;20 000 kg or more;Year of construction 1986 to 1990;2006;16.0;15.4;0.6;18.5;15.4;3.2;13841.0;11488.0;2353.0;1339.0
2692;20 000 kg or more;Year of construction 1986 to 1990;2007;12.2;11.8;0.4;13.9;11.8;2.1;12606.0;10715.0;1891.0;1099.0
2693;20 000 kg or more;Year of construction 1986 to 1990;2008;9.1;8.9;0.3;10.2;8.9;1.3;11902.0;10355.0;1547.0;856.0
2694;20 000 kg or more;Year of construction 1986 to 1990;2009;6.6;6.4;0.2;7.2;6.4;0.8;10542.0;9330.0;1212.0;686.0
2695;20 000 kg or more;Year of construction 1986 to 1990;2010;4.9;4.8;0.1;5.4;4.8;0.6;9577.0;8558.0;1019.0;562.0
2696;20 000 kg or more;Year of construction 1986 to 1990;2011;3.7;3.6;0.1;4.0;3.6;0.5;9142.0;8045.0;1097.0;442.0
2697;20 000 kg or more;Year of construction 1986 to 1990;2012;2.2;2.1;0.1;2.5;2.1;0.3;7040.0;6097.0;943.0;350.0
2698;20 000 kg or more;Year of construction 1986 to 1990;2013;1.8;1.7;0.1;2.2;1.7;0.5;7395.0;5598.0;1797.0;298.0
2699;20 000 kg or more;Year of construction 1986 to 1990;2014;1.3;1.2;0.1;1.6;1.2;0.4;6194.0;4521.0;1672.0;258.0
2700;20 000 kg or more;Year of construction 1986 to 1990;2015;0.9;0.9;0.0;1.0;0.9;0.2;5171.0;4266.0;905.0;202.0
2701;20 000 kg or more;Year of construction 1986 to 1990;2016;0.7;0.6;0.1;0.8;0.6;0.2;4926.0;3847.0;1079.0;164.0
2702;20 000 kg or more;Year of construction 1986 to 1990;2017;0.6;0.6;0.0;0.7;0.6;0.1;4572.0;3644.0;928.0;159.0
2703;20 000 kg or more;1991;2001;44.6;43.3;1.3;52.1;43.3;8.9;37516.0;31138.0;6378.0;1389.0
2704;20 000 kg or more;1991;2002;30.1;29.2;0.9;35.2;29.2;6.0;31448.0;26102.0;5346.0;1119.0
2705;20 000 kg or more;1991;2003;20.1;19.5;0.6;23.5;19.5;4.0;26491.0;21988.0;4503.0;887.0
2706;20 000 kg or more;1991;2004;13.7;13.3;0.4;16.0;13.3;2.7;23325.0;19360.0;3965.0;687.0
2707;20 000 kg or more;1991;2005;10.7;10.3;0.3;12.4;10.3;2.1;22880.0;18990.0;3890.0;543.0
2708;20 000 kg or more;1991;2006;8.1;7.8;0.3;9.4;7.8;1.6;20791.0;17257.0;3534.0;453.0
2709;20 000 kg or more;1991;2007;7.1;6.9;0.2;8.1;6.9;1.2;21261.0;18072.0;3189.0;381.0
2710;20 000 kg or more;1991;2008;4.8;4.7;0.1;5.4;4.7;0.7;17380.0;15120.0;2259.0;310.0
2711;20 000 kg or more;1991;2009;3.2;3.1;0.1;3.5;3.1;0.4;14203.0;12569.0;1633.0;248.0
2712;20 000 kg or more;1991;2010;2.1;2.1;0.1;2.3;2.1;0.2;12223.0;10923.0;1300.0;192.0
2713;20 000 kg or more;1991;2011;1.5;1.5;0.0;1.7;1.5;0.2;11714.0;10308.0;1406.0;143.0
2714;20 000 kg or more;1991;2012;1.2;1.1;0.0;1.3;1.1;0.2;10430.0;9033.0;1397.0;124.0
2715;20 000 kg or more;1991;2013;0.7;0.7;0.0;0.9;0.7;0.2;9165.0;6938.0;2227.0;96.0
2716;20 000 kg or more;1991;2014;0.4;0.4;0.0;0.5;0.4;0.1;6785.0;4953.0;1832.0;79.0
2717;20 000 kg or more;1991;2015;0.4;0.4;0.0;0.5;0.4;0.1;9264.0;7642.0;1621.0;51.0
2718;20 000 kg or more;1991;2016;0.4;0.3;0.0;0.4;0.3;0.1;9691.0;7569.0;2122.0;45.0
2719;20 000 kg or more;1991;2017;0.3;0.2;0.0;0.3;0.2;0.1;7832.0;6242.0;1590.0;40.0
2720;20 000 kg or more;1992;2001;50.1;48.3;1.8;60.3;48.3;12.1;39523.0;31618.0;7905.0;1526.0
2721;20 000 kg or more;1992;2002;37.2;36.0;1.1;43.4;36.0;7.4;32666.0;27113.0;5553.0;1329.0
2722;20 000 kg or more;1992;2003;25.2;24.5;0.7;29.5;24.5;5.0;27415.0;22754.0;4661.0;1075.0
2723;20 000 kg or more;1992;2004;18.3;17.7;0.6;21.3;17.7;3.6;23536.0;19535.0;4001.0;907.0
2724;20 000 kg or more;1992;2005;13.7;13.2;0.4;15.9;13.2;2.7;22796.0;18921.0;3875.0;698.0
2725;20 000 kg or more;1992;2006;10.2;9.9;0.4;11.9;9.9;2.0;20336.0;16879.0;3457.0;585.0
2726;20 000 kg or more;1992;2007;8.2;8.0;0.3;9.4;8.0;1.4;19592.0;16653.0;2939.0;478.0
2727;20 000 kg or more;1992;2008;6.2;6.0;0.2;6.9;6.0;0.9;17974.0;15637.0;2337.0;384.0
2728;20 000 kg or more;1992;2009;4.0;3.9;0.1;4.4;3.9;0.5;14850.0;13143.0;1708.0;295.0
2729;20 000 kg or more;1992;2010;2.5;2.5;0.1;2.8;2.5;0.3;12089.0;10804.0;1286.0;228.0
2730;20 000 kg or more;1992;2011;1.8;1.7;0.0;2.0;1.7;0.2;11178.0;9837.0;1341.0;177.0
2731;20 000 kg or more;1992;2012;1.4;1.3;0.0;1.5;1.3;0.2;10265.0;8890.0;1375.0;148.0
2732;20 000 kg or more;1992;2013;0.7;0.7;0.0;0.9;0.7;0.2;6998.0;5297.0;1701.0;128.0
2733;20 000 kg or more;1992;2014;0.5;0.5;0.0;0.6;0.5;0.2;6572.0;4798.0;1775.0;96.0
2734;20 000 kg or more;1992;2015;0.4;0.4;0.0;0.5;0.4;0.1;6816.0;5623.0;1193.0;72.0
2735;20 000 kg or more;1992;2016;0.4;0.3;0.0;0.4;0.3;0.1;6605.0;5158.0;1446.0;63.0
2736;20 000 kg or more;1992;2017;0.3;0.2;0.0;0.3;0.2;0.1;6302.0;5023.0;1279.0;49.0
2737;20 000 kg or more;1993;2001;34.1;32.5;1.5;42.8;32.5;10.3;43165.0;32805.0;10360.0;992.0
2738;20 000 kg or more;1993;2002;25.5;24.6;0.9;30.7;24.6;6.1;35478.0;28382.0;7096.0;865.0
2739;20 000 kg or more;1993;2003;19.1;18.6;0.6;22.4;18.6;3.8;30349.0;25190.0;5159.0;737.0
2740;20 000 kg or more;1993;2004;14.2;13.8;0.4;16.6;13.8;2.8;26377.0;21893.0;4484.0;630.0
2741;20 000 kg or more;1993;2005;10.9;10.6;0.4;12.8;10.6;2.2;24888.0;20657.0;4231.0;512.0
2742;20 000 kg or more;1993;2006;8.3;8.0;0.3;9.6;8.0;1.6;21449.0;17803.0;3646.0;447.0
2743;20 000 kg or more;1993;2007;6.6;6.4;0.2;7.5;6.4;1.1;20704.0;17598.0;3106.0;364.0
2744;20 000 kg or more;1993;2008;5.0;4.9;0.1;5.6;4.9;0.7;18562.0;16149.0;2413.0;303.0
2745;20 000 kg or more;1993;2009;3.3;3.3;0.1;3.7;3.3;0.4;14887.0;13175.0;1712.0;247.0
2746;20 000 kg or more;1993;2010;2.2;2.2;0.1;2.4;2.2;0.3;11920.0;10653.0;1268.0;202.0
2747;20 000 kg or more;1993;2011;1.6;1.6;0.0;1.8;1.6;0.2;10954.0;9640.0;1314.0;163.0
2748;20 000 kg or more;1993;2012;1.3;1.2;0.0;1.4;1.2;0.2;10966.0;9497.0;1469.0;131.0
2749;20 000 kg or more;1993;2013;0.6;0.6;0.0;0.8;0.6;0.2;7996.0;6053.0;1943.0;98.0
2750;20 000 kg or more;1993;2014;0.6;0.5;0.0;0.7;0.5;0.2;8778.0;6408.0;2370.0;84.0
2751;20 000 kg or more;1993;2015;0.4;0.4;0.0;0.5;0.4;0.1;8075.0;6662.0;1413.0;63.0
2752;20 000 kg or more;1993;2016;0.4;0.3;0.0;0.4;0.3;0.1;7333.0;5727.0;1606.0;56.0
2753;20 000 kg or more;1993;2017;0.3;0.3;0.0;0.3;0.3;0.1;6625.0;5280.0;1345.0;49.0
2754;20 000 kg or more;1994;2001;58.2;55.2;3.1;75.5;55.2;20.4;49865.0;36401.0;13463.0;1515.0
2755;20 000 kg or more;1994;2002;45.9;43.8;2.1;57.6;43.8;13.8;42796.0;32525.0;10271.0;1346.0
2756;20 000 kg or more;1994;2003;35.5;34.2;1.3;42.8;34.2;8.6;37063.0;29650.0;7413.0;1155.0
2757;20 000 kg or more;1994;2004;29.1;28.2;0.9;34.0;28.2;5.8;34405.0;28556.0;5849.0;987.0
2758;20 000 kg or more;1994;2005;22.1;21.4;0.7;25.8;21.4;4.4;30647.0;25437.0;5210.0;842.0
2759;20 000 kg or more;1994;2006;17.0;16.4;0.6;19.8;16.4;3.4;28280.0;23473.0;4808.0;700.0
2760;20 000 kg or more;1994;2007;13.8;13.3;0.5;15.6;13.3;2.3;25718.0;21860.0;3858.0;608.0
2761;20 000 kg or more;1994;2008;11.3;11.0;0.3;12.6;11.0;1.6;24739.0;21523.0;3216.0;510.0
2762;20 000 kg or more;1994;2009;7.2;7.1;0.2;8.0;7.1;0.9;19300.0;17080.0;2219.0;413.0
2763;20 000 kg or more;1994;2010;4.2;4.1;0.1;4.6;4.1;0.5;14466.0;12927.0;1538.0;318.0
2764;20 000 kg or more;1994;2011;3.0;3.0;0.1;3.4;3.0;0.4;13058.0;11491.0;1567.0;258.0
2765;20 000 kg or more;1994;2012;1.8;1.8;0.1;2.1;1.8;0.3;9714.0;8413.0;1301.0;212.0
2766;20 000 kg or more;1994;2013;1.5;1.4;0.1;1.8;1.4;0.4;10633.0;8050.0;2584.0;170.0
2767;20 000 kg or more;1994;2014;1.1;1.0;0.1;1.4;1.0;0.4;8912.0;6505.0;2406.0;153.0
2768;20 000 kg or more;1994;2015;0.8;0.7;0.0;0.9;0.7;0.2;7950.0;6559.0;1391.0;111.0
2769;20 000 kg or more;1994;2016;0.6;0.5;0.0;0.7;0.5;0.2;7369.0;5755.0;1614.0;95.0
2770;20 000 kg or more;1994;2017;0.5;0.5;0.0;0.6;0.5;0.1;6957.0;5545.0;1412.0;83.0
2771;20 000 kg or more;1995;2001;82.4;77.5;5.0;110.7;77.5;33.2;56211.0;39347.0;16863.0;1969.0
2772;20 000 kg or more;1995;2002;64.6;61.2;3.4;83.8;61.2;22.6;46752.0;34129.0;12623.0;1792.0
2773;20 000 kg or more;1995;2003;49.8;47.6;2.2;62.6;47.6;15.0;40655.0;30898.0;9757.0;1539.0
2774;20 000 kg or more;1995;2004;41.5;39.9;1.6;49.9;39.9;10.0;37195.0;29756.0;7439.0;1343.0
2775;20 000 kg or more;1995;2005;33.1;32.0;1.1;38.6;32.0;6.6;34262.0;28437.0;5825.0;1127.0
2776;20 000 kg or more;1995;2006;25.2;24.3;0.9;29.3;24.3;5.0;31999.0;26559.0;5440.0;915.0
2777;20 000 kg or more;1995;2007;19.7;19.0;0.7;22.4;19.0;3.4;27919.0;23731.0;4188.0;801.0
2778;20 000 kg or more;1995;2008;15.9;15.5;0.5;17.8;15.5;2.3;26150.0;22751.0;3400.0;680.0
2779;20 000 kg or more;1995;2009;10.6;10.3;0.3;11.6;10.3;1.3;20742.0;18356.0;2385.0;561.0
2780;20 000 kg or more;1995;2010;8.2;8.0;0.2;9.0;8.0;1.0;18907.0;16896.0;2011.0;474.0
2781;20 000 kg or more;1995;2011;6.2;6.1;0.2;6.9;6.1;0.8;17833.0;15693.0;2140.0;386.0
2782;20 000 kg or more;1995;2012;4.1;4.0;0.1;4.6;4.0;0.6;14665.0;12700.0;1965.0;315.0
2783;20 000 kg or more;1995;2013;2.6;2.4;0.2;3.2;2.4;0.8;12520.0;9478.0;3042.0;256.0
2784;20 000 kg or more;1995;2014;1.7;1.6;0.1;2.2;1.6;0.6;10109.0;7379.0;2729.0;218.0
2785;20 000 kg or more;1995;2015;1.3;1.2;0.1;1.5;1.2;0.3;9432.0;7781.0;1651.0;154.0
2786;20 000 kg or more;1995;2016;1.0;0.9;0.1;1.2;0.9;0.3;9495.0;7416.0;2080.0;127.0
2787;20 000 kg or more;1995;2017;0.7;0.6;0.1;0.8;0.6;0.2;7751.0;6177.0;1573.0;105.0
2788;20 000 kg or more;1996;2001;113.9;105.7;8.2;160.2;105.7;54.5;66458.0;43862.0;22596.0;2410.0
2789;20 000 kg or more;1996;2002;95.8;89.9;5.8;128.5;89.9;38.5;56398.0;39478.0;16919.0;2278.0
2790;20 000 kg or more;1996;2003;77.9;73.9;4.0;101.2;73.9;27.3;49885.0;36416.0;13469.0;2028.0
2791;20 000 kg or more;1996;2004;64.1;61.1;3.0;80.4;61.1;19.3;44701.0;33972.0;10728.0;1798.0
2792;20 000 kg or more;1996;2005;52.3;50.2;2.1;62.8;50.2;12.6;40906.0;32725.0;8181.0;1534.0
2793;20 000 kg or more;1996;2006;41.1;39.7;1.5;47.8;39.7;8.1;37178.0;30858.0;6320.0;1285.0
2794;20 000 kg or more;1996;2007;31.3;30.3;1.0;35.6;30.3;5.3;32889.0;27956.0;4933.0;1083.0
2795;20 000 kg or more;1996;2008;25.5;24.7;0.7;28.4;24.7;3.7;31515.0;27418.0;4097.0;902.0
2796;20 000 kg or more;1996;2009;17.8;17.4;0.5;19.6;17.4;2.3;25342.0;22428.0;2914.0;774.0
2797;20 000 kg or more;1996;2010;12.1;11.8;0.3;13.2;11.8;1.4;20734.0;18529.0;2205.0;639.0
2798;20 000 kg or more;1996;2011;9.0;8.8;0.2;10.0;8.8;1.2;19101.0;16809.0;2292.0;522.0
2799;20 000 kg or more;1996;2012;6.4;6.2;0.2;7.1;6.2;1.0;16750.0;14506.0;2244.0;424.0
2800;20 000 kg or more;1996;2013;4.0;3.8;0.2;5.0;3.8;1.2;15047.0;11391.0;3656.0;331.0
2801;20 000 kg or more;1996;2014;2.7;2.5;0.2;3.4;2.5;0.9;12970.0;9468.0;3502.0;265.0
2802;20 000 kg or more;1996;2015;2.5;2.3;0.1;2.8;2.3;0.5;13460.0;11105.0;2356.0;211.0
2803;20 000 kg or more;1996;2016;1.9;1.8;0.1;2.3;1.8;0.5;13306.0;10392.0;2914.0;170.0
2804;20 000 kg or more;1996;2017;1.3;1.2;0.1;1.5;1.2;0.3;10408.0;8295.0;2113.0;144.0
2805;20 000 kg or more;1997;2001;117.0;107.5;9.5;170.7;107.5;63.1;74412.0;46879.0;27532.0;2293.0
2806;20 000 kg or more;1997;2002;101.9;94.5;7.4;143.2;94.5;48.7;63894.0;42170.0;21724.0;2241.0
2807;20 000 kg or more;1997;2003;89.5;84.2;5.3;120.3;84.2;36.1;56333.0;39433.0;16900.0;2136.0
2808;20 000 kg or more;1997;2004;77.8;73.6;4.2;100.8;73.6;27.2;50771.0;37063.0;13708.0;1985.0
2809;20 000 kg or more;1997;2005;65.7;62.5;3.3;82.2;62.5;19.7;47244.0;35905.0;11338.0;1740.0
2810;20 000 kg or more;1997;2006;52.9;50.6;2.3;63.3;50.6;12.7;42408.0;33926.0;8482.0;1493.0
2811;20 000 kg or more;1997;2007;41.4;40.1;1.4;47.1;40.1;7.1;37144.0;31572.0;5572.0;1269.0
2812;20 000 kg or more;1997;2008;33.0;32.1;1.0;36.9;32.1;4.8;34647.0;30143.0;4504.0;1064.0
2813;20 000 kg or more;1997;2009;22.7;22.1;0.6;24.9;22.1;2.9;27174.0;24049.0;3125.0;917.0
2814;20 000 kg or more;1997;2010;16.6;16.2;0.4;18.1;16.2;1.9;23659.0;21143.0;2516.0;767.0
2815;20 000 kg or more;1997;2011;13.1;12.8;0.4;14.5;12.8;1.7;22977.0;20220.0;2757.0;632.0
2816;20 000 kg or more;1997;2012;9.4;9.1;0.3;10.5;9.1;1.4;19367.0;16773.0;2595.0;540.0
2817;20 000 kg or more;1997;2013;6.1;5.7;0.4;7.6;5.7;1.8;17548.0;13284.0;4264.0;432.0
2818;20 000 kg or more;1997;2014;4.2;3.9;0.3;5.4;3.9;1.5;15504.0;11318.0;4186.0;347.0
2819;20 000 kg or more;1997;2015;3.6;3.4;0.2;4.1;3.4;0.7;14383.0;11866.0;2517.0;288.0
2820;20 000 kg or more;1997;2016;2.9;2.6;0.2;3.4;2.6;0.7;14185.0;11079.0;3107.0;239.0
2821;20 000 kg or more;1997;2017;2.2;2.1;0.2;2.6;2.1;0.5;12358.0;9849.0;2509.0;209.0
2822;20 000 kg or more;1998;2001;130.2;118.4;11.8;197.3;118.4;78.9;79226.0;47536.0;31691.0;2490.0
2823;20 000 kg or more;1998;2002;119.4;109.7;9.7;174.1;109.7;64.4;71007.0;44734.0;26272.0;2452.0
2824;20 000 kg or more;1998;2003;110.9;103.1;7.8;156.2;103.1;53.1;65572.0;43277.0;22294.0;2383.0
2825;20 000 kg or more;1998;2004;102.1;95.7;6.4;136.7;95.7;41.0;60049.0;42035.0;18015.0;2276.0
2826;20 000 kg or more;1998;2005;87.7;82.6;5.0;113.2;82.6;30.6;54258.0;39608.0;14650.0;2086.0
2827;20 000 kg or more;1998;2006;69.0;65.3;3.7;85.9;65.3;20.6;47842.0;36360.0;11482.0;1796.0
2828;20 000 kg or more;1998;2007;57.6;55.3;2.4;67.4;55.3;12.1;44033.0;36107.0;7926.0;1530.0
2829;20 000 kg or more;1998;2008;47.8;46.4;1.4;53.4;46.4;6.9;40171.0;34949.0;5222.0;1328.0
2830;20 000 kg or more;1998;2009;35.8;34.9;0.9;39.4;34.9;4.5;33078.0;29274.0;3804.0;1192.0
2831;20 000 kg or more;1998;2010;26.3;25.7;0.7;28.7;25.7;3.1;27879.0;24914.0;2965.0;1030.0
2832;20 000 kg or more;1998;2011;20.0;19.5;0.5;22.1;19.5;2.7;26405.0;23236.0;3168.0;838.0
2833;20 000 kg or more;1998;2012;14.6;14.2;0.5;16.4;14.2;2.2;23641.0;20474.0;3167.0;693.0
2834;20 000 kg or more;1998;2013;9.6;9.0;0.6;11.8;9.0;2.9;20861.0;15791.0;5069.0;567.0
2835;20 000 kg or more;1998;2014;7.1;6.6;0.5;9.0;6.6;2.4;19416.0;14174.0;5242.0;466.0
2836;20 000 kg or more;1998;2015;5.8;5.5;0.3;6.6;5.5;1.2;16441.0;13564.0;2877.0;404.0
2837;20 000 kg or more;1998;2016;4.5;4.2;0.3;5.3;4.2;1.2;15349.0;11988.0;3361.0;347.0
2838;20 000 kg or more;1998;2017;3.3;3.1;0.2;3.8;3.1;0.8;12697.0;10119.0;2577.0;302.0
2839;20 000 kg or more;1999;2001;143.2;128.6;14.5;225.7;128.6;97.0;86953.0;49563.0;37390.0;2595.0
2840;20 000 kg or more;1999;2002;135.9;123.5;12.5;205.8;123.5;82.3;79850.0;47910.0;31940.0;2578.0
2841;20 000 kg or more;1999;2003;130.5;120.2;10.3;190.8;120.2;70.6;74477.0;46920.0;27556.0;2562.0
2842;20 000 kg or more;1999;2004;123.4;114.2;9.2;173.1;114.2;58.8;69349.0;45771.0;23579.0;2496.0
2843;20 000 kg or more;1999;2005;113.2;105.7;7.5;151.0;105.7;45.3;64093.0;44865.0;19228.0;2357.0
2844;20 000 kg or more;1999;2006;97.4;91.3;6.1;125.1;91.3;33.8;56676.0;41374.0;15303.0;2207.0
2845;20 000 kg or more;1999;2007;82.0;78.0;4.0;98.7;78.0;20.7;49464.0;39077.0;10387.0;1995.0
2846;20 000 kg or more;1999;2008;70.1;67.7;2.4;79.6;67.7;11.9;45480.0;38658.0;6822.0;1751.0
2847;20 000 kg or more;1999;2009;55.4;53.9;1.5;60.9;53.9;7.0;38424.0;34005.0;4419.0;1586.0
2848;20 000 kg or more;1999;2010;41.7;40.7;1.0;45.5;40.7;4.8;33115.0;29593.0;3522.0;1374.0
2849;20 000 kg or more;1999;2011;31.3;30.5;0.8;34.6;30.5;4.2;30439.0;26787.0;3652.0;1138.0
2850;20 000 kg or more;1999;2012;23.2;22.4;0.7;25.9;22.4;3.5;27008.0;23390.0;3618.0;958.0
2851;20 000 kg or more;1999;2013;15.9;14.9;1.0;19.7;14.9;4.8;24785.0;18762.0;6023.0;795.0
2852;20 000 kg or more;1999;2014;12.1;11.2;0.9;15.3;11.2;4.1;22831.0;16667.0;6164.0;670.0
2853;20 000 kg or more;1999;2015;10.2;9.7;0.5;11.8;9.7;2.1;20288.0;16738.0;3550.0;581.0
2854;20 000 kg or more;1999;2016;8.1;7.5;0.6;9.6;7.5;2.1;19382.0;15137.0;4245.0;494.0
2855;20 000 kg or more;1999;2017;5.2;4.8;0.4;6.1;4.8;1.2;14804.0;11799.0;3005.0;409.0
