ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
249;Beroepsvervoer;Binnenlands vervoer;2003;337728;24770;;1823.0;
250;Beroepsvervoer;Binnenlands vervoer;2004;348839;26135;3040.0;1878.0;22499.0
251;Beroepsvervoer;Binnenlands vervoer;2005;340030;25635;2996.0;1838.0;22766.0
252;Beroepsvervoer;Binnenlands vervoer;2006;353637;25380;3015.0;1871.0;24471.0
253;Beroepsvervoer;Binnenlands vervoer;2007;387781;25442;2899.0;1802.0;27171.0
254;Beroepsvervoer;Binnenlands vervoer;2008;391745;27457;3172.0;2058.0;27039.0
255;Beroepsvervoer;Binnenlands vervoer;2009;360931;25634;3008.0;1908.0;22780.0
256;Beroepsvervoer;Binnenlands vervoer;2010;383125;24020;2957.0;1891.0;25796.0
257;Beroepsvervoer;Binnenlands vervoer;2011;373490;23898;3019.0;1972.0;26324.0
258;Beroepsvervoer;Binnenlands vervoer;2012;359362;22406;2821.0;1872.0;25226.0
259;Beroepsvervoer;Binnenlands vervoer;2013;359687;24691;2913.0;1976.0;26115.0
260;Beroepsvervoer;Binnenlands vervoer;2014;366153;25033;3020.0;2089.0;28137.0
261;Beroepsvervoer;Binnenlands vervoer;2015;375984;25197;3108.0;2164.0;29920.0
262;Beroepsvervoer;Binnenlands vervoer;2016;405529;27529;3314.0;2341.0;32182.0
263;Beroepsvervoer;Binnenlands vervoer;2017;416498;27286;3210.0;2252.0;31512.0
264;Beroepsvervoer;Binnenlands vervoer;2018;430261;28050;3265.0;2301.0;31988.0
265;Beroepsvervoer;Binnenlands vervoer;2019;434701;28980;3354.0;2343.0;32592.0
266;Beroepsvervoer;Binnenlands vervoer;2020;436386;28636;3427.0;2350.0;33887.0
267;Beroepsvervoer;Binnenlands vervoer;2021;448979;29952;3593.0;2477.0;35551.0
268;Beroepsvervoer;Binnenlands vervoer;2022;456653;29373;3497.0;2422.0;37165.0
269;Beroepsvervoer;Binnenlands vervoer;2023;416547;27536;3331.0;2349.0;34751.0
270;Beroepsvervoer;Totaal internationaal vervoer;1997;124740;54775;;2694.0;
271;Beroepsvervoer;Totaal internationaal vervoer;1998;127363;55957;;2752.0;
272;Beroepsvervoer;Totaal internationaal vervoer;1999;136160;57123;;2863.0;
273;Beroepsvervoer;Totaal internationaal vervoer;2000;127477;53541;;2781.0;
274;Beroepsvervoer;Totaal internationaal vervoer;2001;130758;53056;;2812.0;
275;Beroepsvervoer;Totaal internationaal vervoer;2002;131795;52859;;2881.0;
276;Beroepsvervoer;Totaal internationaal vervoer;2003;133848;52195;;2885.0;
277;Beroepsvervoer;Totaal internationaal vervoer;2004;148611;59519;4064.0;3302.0;7387.0
278;Beroepsvervoer;Totaal internationaal vervoer;2005;143528;56497;3899.0;3173.0;7492.0
279;Beroepsvervoer;Totaal internationaal vervoer;2006;142039;56506;3982.0;3160.0;7522.0
280;Beroepsvervoer;Totaal internationaal vervoer;2007;136665;48810;3508.0;2755.0;7415.0
281;Beroepsvervoer;Totaal internationaal vervoer;2008;139244;48744;3766.0;2888.0;7505.0
282;Beroepsvervoer;Totaal internationaal vervoer;2009;124670;44133;3475.0;2670.0;6722.0
283;Beroepsvervoer;Totaal internationaal vervoer;2010;124876;43623;3438.0;2823.0;7546.0
284;Beroepsvervoer;Totaal internationaal vervoer;2011;127494;41863;3385.0;2769.0;7652.0
285;Beroepsvervoer;Totaal internationaal vervoer;2012;121149;38020;3128.0;2545.0;7256.0
286;Beroepsvervoer;Totaal internationaal vervoer;2013;121960;36993;3081.0;2433.0;7637.0
287;Beroepsvervoer;Totaal internationaal vervoer;2014;122127;37016;3124.0;2457.0;7849.0
288;Beroepsvervoer;Totaal internationaal vervoer;2015;118537;33816;2891.0;2312.0;7894.0
289;Beroepsvervoer;Totaal internationaal vervoer;2016;114125;30961;2680.0;2118.0;7468.0
290;Beroepsvervoer;Totaal internationaal vervoer;2017;119022;31940;2703.0;2163.0;7748.0
291;Beroepsvervoer;Totaal internationaal vervoer;2018;118844;32103;2744.0;2176.0;7718.0
292;Beroepsvervoer;Totaal internationaal vervoer;2019;115596;30923;2595.0;2067.0;7338.0
293;Beroepsvervoer;Totaal internationaal vervoer;2020;113280;30118;2556.0;2035.0;7301.0
294;Beroepsvervoer;Totaal internationaal vervoer;2021;115477;30551;2677.0;2113.0;7574.0
295;Beroepsvervoer;Totaal internationaal vervoer;2022;104552;27245;2322.0;1878.0;6976.0
