ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
6247;Total dwellings;Abroad;2017;;;;
6248;Total dwellings;Abroad;2018;;;;
6249;Total dwellings;Abroad;2019;;;;
6250;Total dwellings;Abroad;2020;;;;
6251;Total dwellings;Abroad;2021;;;;
6252;Total dwellings;Abroad;2022;;;;
6253;Total dwellings;"Municipalities; unclassifiable";2010;;;;
6254;Total dwellings;"Municipalities; unclassifiable";2011;;;;
6255;Total dwellings;"Municipalities; unclassifiable";2012;;;;
6256;Total dwellings;"Municipalities; unclassifiable";2013;;;;
6257;Total dwellings;"Municipalities; unclassifiable";2014;;;;
6258;Total dwellings;"Municipalities; unclassifiable";2015;;;;
6259;Total dwellings;"Municipalities; unclassifiable";2016;;;;
6260;Total dwellings;"Municipalities; unclassifiable";2017;;;;
6261;Total dwellings;"Municipalities; unclassifiable";2018;;;;
6262;Total dwellings;"Municipalities; unclassifiable";2019;;;;
6263;Total dwellings;"Municipalities; unclassifiable";2020;;;;
6264;Total dwellings;"Municipalities; unclassifiable";2021;;;;
6265;Total dwellings;"Municipalities; unclassifiable";2022;;;;
6266;Total dwellings;Groningen (ES);2010;;;;
6267;Total dwellings;Groningen (ES);2011;;;;
6268;Total dwellings;Groningen (ES);2012;;;;
6269;Total dwellings;Groningen (ES);2013;;;;
6270;Total dwellings;Groningen (ES);2014;;;;
6271;Total dwellings;Groningen (ES);2015;;;;
6272;Total dwellings;Groningen (ES);2016;;;;
6273;Total dwellings;Groningen (ES);2017;;;;
6274;Total dwellings;Groningen (ES);2018;;;;
6275;Total dwellings;Groningen (ES);2019;;;;
6276;Total dwellings;Groningen (ES);2020;1320.0;2530.0;;
6277;Total dwellings;Groningen (ES);2021;1460.0;2570.0;2170.0;
6278;Total dwellings;Groningen (ES);2022;1140.0;2440.0;1910.0;
6279;Total dwellings;Friesland (ES);2010;;;;
6280;Total dwellings;Friesland (ES);2011;;;;
6281;Total dwellings;Friesland (ES);2012;;;;
6282;Total dwellings;Friesland (ES);2013;;;;
6283;Total dwellings;Friesland (ES);2014;;;;
6284;Total dwellings;Friesland (ES);2015;;;;
6285;Total dwellings;Friesland (ES);2016;;;;
6286;Total dwellings;Friesland (ES);2017;;;;
6287;Total dwellings;Friesland (ES);2018;;;;
6288;Total dwellings;Friesland (ES);2019;;;;
6289;Total dwellings;Friesland (ES);2020;1310.0;2630.0;;
6290;Total dwellings;Friesland (ES);2021;1460.0;2680.0;2240.0;
6291;Total dwellings;Friesland (ES);2022;1140.0;2520.0;1930.0;
6292;Total dwellings;Drenthe (ES);2010;;;;
6293;Total dwellings;Drenthe (ES);2011;;;;
6294;Total dwellings;Drenthe (ES);2012;;;;
6295;Total dwellings;Drenthe (ES);2013;;;;
6296;Total dwellings;Drenthe (ES);2014;;;;
6297;Total dwellings;Drenthe (ES);2015;;;;
6298;Total dwellings;Drenthe (ES);2016;;;;
6299;Total dwellings;Drenthe (ES);2017;;;;
6300;Total dwellings;Drenthe (ES);2018;;;;
6301;Total dwellings;Drenthe (ES);2019;;;;
6302;Total dwellings;Drenthe (ES);2020;1400.0;2840.0;;
6303;Total dwellings;Drenthe (ES);2021;1560.0;2890.0;2360.0;
6304;Total dwellings;Drenthe (ES);2022;1230.0;2750.0;2050.0;
6305;Total dwellings;Twente (ES);2010;;;;
6306;Total dwellings;Twente (ES);2011;;;;
6307;Total dwellings;Twente (ES);2012;;;;
6308;Total dwellings;Twente (ES);2013;;;;
6309;Total dwellings;Twente (ES);2014;;;;
6310;Total dwellings;Twente (ES);2015;;;;
6311;Total dwellings;Twente (ES);2016;;;;
6312;Total dwellings;Twente (ES);2017;;;;
6313;Total dwellings;Twente (ES);2018;;;;
6314;Total dwellings;Twente (ES);2019;;;;
6315;Total dwellings;Twente (ES);2020;1230.0;2940.0;;4.5
6316;Total dwellings;Twente (ES);2021;1430.0;2990.0;2630.0;4.5
6317;Total dwellings;Twente (ES);2022;1130.0;2830.0;2310.0;4.5
6318;Total dwellings;West-Overijssel (ES);2010;;;;
6319;Total dwellings;West-Overijssel (ES);2011;;;;
6320;Total dwellings;West-Overijssel (ES);2012;;;;
6321;Total dwellings;West-Overijssel (ES);2013;;;;
6322;Total dwellings;West-Overijssel (ES);2014;;;;
6323;Total dwellings;West-Overijssel (ES);2015;;;;
6324;Total dwellings;West-Overijssel (ES);2016;;;;
6325;Total dwellings;West-Overijssel (ES);2017;;;;
6326;Total dwellings;West-Overijssel (ES);2018;;;;
6327;Total dwellings;West-Overijssel (ES);2019;;;;
6328;Total dwellings;West-Overijssel (ES);2020;1210.0;2790.0;;
6329;Total dwellings;West-Overijssel (ES);2021;1370.0;2850.0;2430.0;
6330;Total dwellings;West-Overijssel (ES);2022;1070.0;2700.0;2120.0;
6331;Total dwellings;Flevoland (ES);2010;;;;
6332;Total dwellings;Flevoland (ES);2011;;;;
6333;Total dwellings;Flevoland (ES);2012;;;;
6334;Total dwellings;Flevoland (ES);2013;;;;
6335;Total dwellings;Flevoland (ES);2014;;;;
6336;Total dwellings;Flevoland (ES);2015;;;;
6337;Total dwellings;Flevoland (ES);2016;;;;
6338;Total dwellings;Flevoland (ES);2017;;;;
6339;Total dwellings;Flevoland (ES);2018;;;;
6340;Total dwellings;Flevoland (ES);2019;;;;
6341;Total dwellings;Flevoland (ES);2020;760.0;3010.0;;33.6
6342;Total dwellings;Flevoland (ES);2021;850.0;3040.0;2660.0;33.3
6343;Total dwellings;Flevoland (ES);2022;670.0;2880.0;2340.0;32.7
6344;Total dwellings;Achterhoek (ES);2010;;;;
6345;Total dwellings;Achterhoek (ES);2011;;;;
6346;Total dwellings;Achterhoek (ES);2012;;;;
6347;Total dwellings;Achterhoek (ES);2013;;;;
6348;Total dwellings;Achterhoek (ES);2014;;;;
6349;Total dwellings;Achterhoek (ES);2015;;;;
6350;Total dwellings;Achterhoek (ES);2016;;;;
6351;Total dwellings;Achterhoek (ES);2017;;;;
6352;Total dwellings;Achterhoek (ES);2018;;;;
6353;Total dwellings;Achterhoek (ES);2019;;;;
6354;Total dwellings;Achterhoek (ES);2020;1340.0;3050.0;;
6355;Total dwellings;Achterhoek (ES);2021;1510.0;3090.0;2580.0;
6356;Total dwellings;Achterhoek (ES);2022;1200.0;2920.0;2240.0;
6357;Total dwellings;Arnhem/Nijmegen (ES);2010;;;;
6358;Total dwellings;Arnhem/Nijmegen (ES);2011;;;;
6359;Total dwellings;Arnhem/Nijmegen (ES);2012;;;;
6360;Total dwellings;Arnhem/Nijmegen (ES);2013;;;;
6361;Total dwellings;Arnhem/Nijmegen (ES);2014;;;;
6362;Total dwellings;Arnhem/Nijmegen (ES);2015;;;;
6363;Total dwellings;Arnhem/Nijmegen (ES);2016;;;;
6364;Total dwellings;Arnhem/Nijmegen (ES);2017;;;;
6365;Total dwellings;Arnhem/Nijmegen (ES);2018;;;;
6366;Total dwellings;Arnhem/Nijmegen (ES);2019;;;;
6367;Total dwellings;Arnhem/Nijmegen (ES);2020;1100.0;2740.0;;7.3
6368;Total dwellings;Arnhem/Nijmegen (ES);2021;1240.0;2780.0;2440.0;7.4
6369;Total dwellings;Arnhem/Nijmegen (ES);2022;980.0;2620.0;2180.0;7.7
6370;Total dwellings;Foodvalley (ES);2010;;;;
6371;Total dwellings;Foodvalley (ES);2011;;;;
6372;Total dwellings;Foodvalley (ES);2012;;;;
6373;Total dwellings;Foodvalley (ES);2013;;;;
6374;Total dwellings;Foodvalley (ES);2014;;;;
6375;Total dwellings;Foodvalley (ES);2015;;;;
6376;Total dwellings;Foodvalley (ES);2016;;;;
6377;Total dwellings;Foodvalley (ES);2017;;;;
6378;Total dwellings;Foodvalley (ES);2018;;;;
6379;Total dwellings;Foodvalley (ES);2019;;;;
6380;Total dwellings;Foodvalley (ES);2020;1150.0;2920.0;;4.8
6381;Total dwellings;Foodvalley (ES);2021;1270.0;2980.0;2620.0;5.1
6382;Total dwellings;Foodvalley (ES);2022;1010.0;2810.0;2300.0;5.7
6383;Total dwellings;Noord-Veluwe (ES);2010;;;;
6384;Total dwellings;Noord-Veluwe (ES);2011;;;;
6385;Total dwellings;Noord-Veluwe (ES);2012;;;;
6386;Total dwellings;Noord-Veluwe (ES);2013;;;;
6387;Total dwellings;Noord-Veluwe (ES);2014;;;;
6388;Total dwellings;Noord-Veluwe (ES);2015;;;;
6389;Total dwellings;Noord-Veluwe (ES);2016;;;;
6390;Total dwellings;Noord-Veluwe (ES);2017;;;;
6391;Total dwellings;Noord-Veluwe (ES);2018;;;;
6392;Total dwellings;Noord-Veluwe (ES);2019;;;;
6393;Total dwellings;Noord-Veluwe (ES);2020;1290.0;3000.0;;
6394;Total dwellings;Noord-Veluwe (ES);2021;1450.0;3050.0;2650.0;
6395;Total dwellings;Noord-Veluwe (ES);2022;1140.0;2890.0;2340.0;
6396;Total dwellings;Fruitdelta Rivierenland (ES);2010;;;;
6397;Total dwellings;Fruitdelta Rivierenland (ES);2011;;;;
6398;Total dwellings;Fruitdelta Rivierenland (ES);2012;;;;
6399;Total dwellings;Fruitdelta Rivierenland (ES);2013;;;;
6400;Total dwellings;Fruitdelta Rivierenland (ES);2014;;;;
6401;Total dwellings;Fruitdelta Rivierenland (ES);2015;;;;
6402;Total dwellings;Fruitdelta Rivierenland (ES);2016;;;;
6403;Total dwellings;Fruitdelta Rivierenland (ES);2017;;;;
6404;Total dwellings;Fruitdelta Rivierenland (ES);2018;;;;
6405;Total dwellings;Fruitdelta Rivierenland (ES);2019;;;;
6406;Total dwellings;Fruitdelta Rivierenland (ES);2020;1320.0;3200.0;;
6407;Total dwellings;Fruitdelta Rivierenland (ES);2021;1480.0;3250.0;2770.0;
6408;Total dwellings;Fruitdelta Rivierenland (ES);2022;1160.0;3070.0;2400.0;
6409;Total dwellings;Cleantech (ES);2010;;;;
6410;Total dwellings;Cleantech (ES);2011;;;;
6411;Total dwellings;Cleantech (ES);2012;;;;
6412;Total dwellings;Cleantech (ES);2013;;;;
6413;Total dwellings;Cleantech (ES);2014;;;;
6414;Total dwellings;Cleantech (ES);2015;;;;
6415;Total dwellings;Cleantech (ES);2016;;;;
6416;Total dwellings;Cleantech (ES);2017;;;;
6417;Total dwellings;Cleantech (ES);2018;;;;
6418;Total dwellings;Cleantech (ES);2019;;;;
6419;Total dwellings;Cleantech (ES);2020;1290.0;2890.0;;
6420;Total dwellings;Cleantech (ES);2021;1450.0;2940.0;2560.0;
6421;Total dwellings;Cleantech (ES);2022;1140.0;2770.0;2270.0;
6422;Total dwellings;Amersfoort (ES);2010;;;;
6423;Total dwellings;Amersfoort (ES);2011;;;;
6424;Total dwellings;Amersfoort (ES);2012;;;;
6425;Total dwellings;Amersfoort (ES);2013;;;;
6426;Total dwellings;Amersfoort (ES);2014;;;;
6427;Total dwellings;Amersfoort (ES);2015;;;;
6428;Total dwellings;Amersfoort (ES);2016;;;;
6429;Total dwellings;Amersfoort (ES);2017;;;;
6430;Total dwellings;Amersfoort (ES);2018;;;;
6431;Total dwellings;Amersfoort (ES);2019;;;;
6432;Total dwellings;Amersfoort (ES);2020;1140.0;2830.0;;
6433;Total dwellings;Amersfoort (ES);2021;1280.0;2890.0;2560.0;
6434;Total dwellings;Amersfoort (ES);2022;990.0;2710.0;2260.0;
6435;Total dwellings;U16 (ES);2010;;;;
6436;Total dwellings;U16 (ES);2011;;;;
6437;Total dwellings;U16 (ES);2012;;;;
6438;Total dwellings;U16 (ES);2013;;;;
6439;Total dwellings;U16 (ES);2014;;;;
6440;Total dwellings;U16 (ES);2015;;;;
6441;Total dwellings;U16 (ES);2016;;;;
6442;Total dwellings;U16 (ES);2017;;;;
6443;Total dwellings;U16 (ES);2018;;;;
6444;Total dwellings;U16 (ES);2019;;;;
6445;Total dwellings;U16 (ES);2020;980.0;2730.0;;16.4
6446;Total dwellings;U16 (ES);2021;1100.0;2800.0;2530.0;16.2
6447;Total dwellings;U16 (ES);2022;860.0;2620.0;2240.0;16.2
6448;Total dwellings;Noord-Holland Noord (ES);2010;;;;
6449;Total dwellings;Noord-Holland Noord (ES);2011;;;;
6450;Total dwellings;Noord-Holland Noord (ES);2012;;;;
6451;Total dwellings;Noord-Holland Noord (ES);2013;;;;
6452;Total dwellings;Noord-Holland Noord (ES);2014;;;;
6453;Total dwellings;Noord-Holland Noord (ES);2015;;;;
6454;Total dwellings;Noord-Holland Noord (ES);2016;;;;
6455;Total dwellings;Noord-Holland Noord (ES);2017;;;;
6456;Total dwellings;Noord-Holland Noord (ES);2018;;;;
6457;Total dwellings;Noord-Holland Noord (ES);2019;;;;
6458;Total dwellings;Noord-Holland Noord (ES);2020;1180.0;2770.0;;
6459;Total dwellings;Noord-Holland Noord (ES);2021;1330.0;2820.0;2420.0;
6460;Total dwellings;Noord-Holland Noord (ES);2022;1030.0;2630.0;2110.0;
6461;Total dwellings;Noord-Holland Zuid (ES);2010;;;;
6462;Total dwellings;Noord-Holland Zuid (ES);2011;;;;
6463;Total dwellings;Noord-Holland Zuid (ES);2012;;;;
6464;Total dwellings;Noord-Holland Zuid (ES);2013;;;;
6465;Total dwellings;Noord-Holland Zuid (ES);2014;;;;
6466;Total dwellings;Noord-Holland Zuid (ES);2015;;;;
6467;Total dwellings;Noord-Holland Zuid (ES);2016;;;;
6468;Total dwellings;Noord-Holland Zuid (ES);2017;;;;
6469;Total dwellings;Noord-Holland Zuid (ES);2018;;;;
6470;Total dwellings;Noord-Holland Zuid (ES);2019;;;;
6471;Total dwellings;Noord-Holland Zuid (ES);2020;970.0;2480.0;;9.8
6472;Total dwellings;Noord-Holland Zuid (ES);2021;1100.0;2530.0;2390.0;9.8
6473;Total dwellings;Noord-Holland Zuid (ES);2022;860.0;2380.0;2180.0;10.1
6474;Total dwellings;Alblasserwaard (ES);2010;;;;
6475;Total dwellings;Alblasserwaard (ES);2011;;;;
6476;Total dwellings;Alblasserwaard (ES);2012;;;;
6477;Total dwellings;Alblasserwaard (ES);2013;;;;
6478;Total dwellings;Alblasserwaard (ES);2014;;;;
6479;Total dwellings;Alblasserwaard (ES);2015;;;;
6480;Total dwellings;Alblasserwaard (ES);2016;;;;
6481;Total dwellings;Alblasserwaard (ES);2017;;;;
6482;Total dwellings;Alblasserwaard (ES);2018;;;;
6483;Total dwellings;Alblasserwaard (ES);2019;;;;
6484;Total dwellings;Alblasserwaard (ES);2020;1130.0;2880.0;;
6485;Total dwellings;Alblasserwaard (ES);2021;1270.0;2940.0;2640.0;
6486;Total dwellings;Alblasserwaard (ES);2022;980.0;2780.0;2330.0;
6487;Total dwellings;Drechtsteden (ES);2010;;;;
6488;Total dwellings;Drechtsteden (ES);2011;;;;
6489;Total dwellings;Drechtsteden (ES);2012;;;;
6490;Total dwellings;Drechtsteden (ES);2013;;;;
6491;Total dwellings;Drechtsteden (ES);2014;;;;
6492;Total dwellings;Drechtsteden (ES);2015;;;;
6493;Total dwellings;Drechtsteden (ES);2016;;;;
6494;Total dwellings;Drechtsteden (ES);2017;;;;
6495;Total dwellings;Drechtsteden (ES);2018;;;;
6496;Total dwellings;Drechtsteden (ES);2019;;;;
6497;Total dwellings;Drechtsteden (ES);2020;1020.0;2700.0;;3.2
6498;Total dwellings;Drechtsteden (ES);2021;1150.0;2750.0;2540.0;3.6
6499;Total dwellings;Drechtsteden (ES);2022;890.0;2590.0;2290.0;4.2
6500;Total dwellings;Goeree-Overflakkee (ES);2010;;;;
6501;Total dwellings;Goeree-Overflakkee (ES);2011;;;;
6502;Total dwellings;Goeree-Overflakkee (ES);2012;;;;
6503;Total dwellings;Goeree-Overflakkee (ES);2013;;;;
6504;Total dwellings;Goeree-Overflakkee (ES);2014;;;;
6505;Total dwellings;Goeree-Overflakkee (ES);2015;;;;
6506;Total dwellings;Goeree-Overflakkee (ES);2016;;;;
6507;Total dwellings;Goeree-Overflakkee (ES);2017;;;;
6508;Total dwellings;Goeree-Overflakkee (ES);2018;;;;
6509;Total dwellings;Goeree-Overflakkee (ES);2019;;;;
6510;Total dwellings;Goeree-Overflakkee (ES);2020;1220.0;2940.0;;
6511;Total dwellings;Goeree-Overflakkee (ES);2021;1340.0;3010.0;2550.0;
6512;Total dwellings;Goeree-Overflakkee (ES);2022;1030.0;2820.0;2150.0;
6513;Total dwellings;Hoeksche Waard (ES);2010;;;;
6514;Total dwellings;Hoeksche Waard (ES);2011;;;;
6515;Total dwellings;Hoeksche Waard (ES);2012;;;;
6516;Total dwellings;Hoeksche Waard (ES);2013;;;;
6517;Total dwellings;Hoeksche Waard (ES);2014;;;;
6518;Total dwellings;Hoeksche Waard (ES);2015;;;;
6519;Total dwellings;Hoeksche Waard (ES);2016;;;;
6520;Total dwellings;Hoeksche Waard (ES);2017;;;;
6521;Total dwellings;Hoeksche Waard (ES);2018;;;;
6522;Total dwellings;Hoeksche Waard (ES);2019;;;;
6523;Total dwellings;Hoeksche Waard (ES);2020;1180.0;3010.0;;
6524;Total dwellings;Hoeksche Waard (ES);2021;1330.0;3080.0;2670.0;
6525;Total dwellings;Hoeksche Waard (ES);2022;1010.0;2880.0;2270.0;
6526;Total dwellings;Holland Rijnland (ES);2010;;;;
6527;Total dwellings;Holland Rijnland (ES);2011;;;;
6528;Total dwellings;Holland Rijnland (ES);2012;;;;
6529;Total dwellings;Holland Rijnland (ES);2013;;;;
6530;Total dwellings;Holland Rijnland (ES);2014;;;;
6531;Total dwellings;Holland Rijnland (ES);2015;;;;
6532;Total dwellings;Holland Rijnland (ES);2016;;;;
6533;Total dwellings;Holland Rijnland (ES);2017;;;;
6534;Total dwellings;Holland Rijnland (ES);2018;;;;
6535;Total dwellings;Holland Rijnland (ES);2019;;;;
6536;Total dwellings;Holland Rijnland (ES);2020;1050.0;2770.0;;6.0
6537;Total dwellings;Holland Rijnland (ES);2021;1170.0;2810.0;2520.0;5.9
6538;Total dwellings;Holland Rijnland (ES);2022;910.0;2610.0;2230.0;6.0
6539;Total dwellings;Midden-Holland (ES);2010;;;;
6540;Total dwellings;Midden-Holland (ES);2011;;;;
6541;Total dwellings;Midden-Holland (ES);2012;;;;
6542;Total dwellings;Midden-Holland (ES);2013;;;;
6543;Total dwellings;Midden-Holland (ES);2014;;;;
6544;Total dwellings;Midden-Holland (ES);2015;;;;
6545;Total dwellings;Midden-Holland (ES);2016;;;;
6546;Total dwellings;Midden-Holland (ES);2017;;;;
6547;Total dwellings;Midden-Holland (ES);2018;;;;
6548;Total dwellings;Midden-Holland (ES);2019;;;;
6549;Total dwellings;Midden-Holland (ES);2020;1120.0;2800.0;;
6550;Total dwellings;Midden-Holland (ES);2021;1250.0;2870.0;2570.0;
6551;Total dwellings;Midden-Holland (ES);2022;960.0;2700.0;2270.0;
6552;Total dwellings;Rotterdam/Den Haag (ES);2010;;;;
6553;Total dwellings;Rotterdam/Den Haag (ES);2011;;;;
6554;Total dwellings;Rotterdam/Den Haag (ES);2012;;;;
6555;Total dwellings;Rotterdam/Den Haag (ES);2013;;;;
6556;Total dwellings;Rotterdam/Den Haag (ES);2014;;;;
6557;Total dwellings;Rotterdam/Den Haag (ES);2015;;;;
6558;Total dwellings;Rotterdam/Den Haag (ES);2016;;;;
6559;Total dwellings;Rotterdam/Den Haag (ES);2017;;;;
6560;Total dwellings;Rotterdam/Den Haag (ES);2018;;;;
6561;Total dwellings;Rotterdam/Den Haag (ES);2019;;;;
6562;Total dwellings;Rotterdam/Den Haag (ES);2020;920.0;2540.0;;9.8
6563;Total dwellings;Rotterdam/Den Haag (ES);2021;1040.0;2600.0;2450.0;9.7
6564;Total dwellings;Rotterdam/Den Haag (ES);2022;810.0;2440.0;2230.0;9.8
6565;Total dwellings;Zeeland (ES);2010;;;;
6566;Total dwellings;Zeeland (ES);2011;;;;
6567;Total dwellings;Zeeland (ES);2012;;;;
6568;Total dwellings;Zeeland (ES);2013;;;;
6569;Total dwellings;Zeeland (ES);2014;;;;
6570;Total dwellings;Zeeland (ES);2015;;;;
6571;Total dwellings;Zeeland (ES);2016;;;;
6572;Total dwellings;Zeeland (ES);2017;;;;
6573;Total dwellings;Zeeland (ES);2018;;;;
6574;Total dwellings;Zeeland (ES);2019;;;;
6575;Total dwellings;Zeeland (ES);2020;1170.0;2540.0;;
6576;Total dwellings;Zeeland (ES);2021;1330.0;2710.0;2290.0;
6577;Total dwellings;Zeeland (ES);2022;1050.0;2570.0;1990.0;
6578;Total dwellings;Hart van Brabant (ES);2010;;;;
6579;Total dwellings;Hart van Brabant (ES);2011;;;;
6580;Total dwellings;Hart van Brabant (ES);2012;;;;
6581;Total dwellings;Hart van Brabant (ES);2013;;;;
6582;Total dwellings;Hart van Brabant (ES);2014;;;;
6583;Total dwellings;Hart van Brabant (ES);2015;;;;
6584;Total dwellings;Hart van Brabant (ES);2016;;;;
6585;Total dwellings;Hart van Brabant (ES);2017;;;;
6586;Total dwellings;Hart van Brabant (ES);2018;;;;
6587;Total dwellings;Hart van Brabant (ES);2019;;;;
6588;Total dwellings;Hart van Brabant (ES);2020;1040.0;2960.0;;13.8
6589;Total dwellings;Hart van Brabant (ES);2021;1170.0;3010.0;2700.0;13.5
6590;Total dwellings;Hart van Brabant (ES);2022;910.0;2840.0;2400.0;13.3
6591;Total dwellings;Metropoolregio Eindhoven (ES);2010;;;;
6592;Total dwellings;Metropoolregio Eindhoven (ES);2011;;;;
6593;Total dwellings;Metropoolregio Eindhoven (ES);2012;;;;
6594;Total dwellings;Metropoolregio Eindhoven (ES);2013;;;;
6595;Total dwellings;Metropoolregio Eindhoven (ES);2014;;;;
6596;Total dwellings;Metropoolregio Eindhoven (ES);2015;;;;
6597;Total dwellings;Metropoolregio Eindhoven (ES);2016;;;;
6598;Total dwellings;Metropoolregio Eindhoven (ES);2017;;;;
6599;Total dwellings;Metropoolregio Eindhoven (ES);2018;;;;
6600;Total dwellings;Metropoolregio Eindhoven (ES);2019;;;;
6601;Total dwellings;Metropoolregio Eindhoven (ES);2020;1220.0;2990.0;;4.1
6602;Total dwellings;Metropoolregio Eindhoven (ES);2021;1350.0;3020.0;2580.0;4.1
6603;Total dwellings;Metropoolregio Eindhoven (ES);2022;1070.0;2830.0;2260.0;3.9
6604;Total dwellings;Noordoost-Brabant (ES);2010;;;;
6605;Total dwellings;Noordoost-Brabant (ES);2011;;;;
6606;Total dwellings;Noordoost-Brabant (ES);2012;;;;
6607;Total dwellings;Noordoost-Brabant (ES);2013;;;;
6608;Total dwellings;Noordoost-Brabant (ES);2014;;;;
6609;Total dwellings;Noordoost-Brabant (ES);2015;;;;
6610;Total dwellings;Noordoost-Brabant (ES);2016;;;;
6611;Total dwellings;Noordoost-Brabant (ES);2017;;;;
6612;Total dwellings;Noordoost-Brabant (ES);2018;;;;
6613;Total dwellings;Noordoost-Brabant (ES);2019;;;;
6614;Total dwellings;Noordoost-Brabant (ES);2020;1260.0;3110.0;;
6615;Total dwellings;Noordoost-Brabant (ES);2021;1410.0;3150.0;2690.0;
6616;Total dwellings;Noordoost-Brabant (ES);2022;1110.0;2960.0;2350.0;
6617;Total dwellings;West-Brabant (ES);2010;;;;
6618;Total dwellings;West-Brabant (ES);2011;;;;
6619;Total dwellings;West-Brabant (ES);2012;;;;
6620;Total dwellings;West-Brabant (ES);2013;;;;
6621;Total dwellings;West-Brabant (ES);2014;;;;
6622;Total dwellings;West-Brabant (ES);2015;;;;
6623;Total dwellings;West-Brabant (ES);2016;;;;
6624;Total dwellings;West-Brabant (ES);2017;;;;
6625;Total dwellings;West-Brabant (ES);2018;;;;
6626;Total dwellings;West-Brabant (ES);2019;;;;
6627;Total dwellings;West-Brabant (ES);2020;1150.0;3010.0;;6.9
6628;Total dwellings;West-Brabant (ES);2021;1290.0;3050.0;2710.0;6.8
6629;Total dwellings;West-Brabant (ES);2022;1000.0;2870.0;2410.0;6.8
6630;Total dwellings;Noord- en Midden-Limburg (ES);2010;;;;
6631;Total dwellings;Noord- en Midden-Limburg (ES);2011;;;;
6632;Total dwellings;Noord- en Midden-Limburg (ES);2012;;;;
6633;Total dwellings;Noord- en Midden-Limburg (ES);2013;;;;
6634;Total dwellings;Noord- en Midden-Limburg (ES);2014;;;;
6635;Total dwellings;Noord- en Midden-Limburg (ES);2015;;;;
6636;Total dwellings;Noord- en Midden-Limburg (ES);2016;;;;
6637;Total dwellings;Noord- en Midden-Limburg (ES);2017;;;;
6638;Total dwellings;Noord- en Midden-Limburg (ES);2018;;;;
6639;Total dwellings;Noord- en Midden-Limburg (ES);2019;;;;
6640;Total dwellings;Noord- en Midden-Limburg (ES);2020;1330.0;3090.0;;
6641;Total dwellings;Noord- en Midden-Limburg (ES);2021;1490.0;3120.0;2540.0;
6642;Total dwellings;Noord- en Midden-Limburg (ES);2022;1170.0;2950.0;2210.0;
6643;Total dwellings;Zuid-Limburg (ES);2010;;;;
6644;Total dwellings;Zuid-Limburg (ES);2011;;;;
6645;Total dwellings;Zuid-Limburg (ES);2012;;;;
6646;Total dwellings;Zuid-Limburg (ES);2013;;;;
6647;Total dwellings;Zuid-Limburg (ES);2014;;;;
6648;Total dwellings;Zuid-Limburg (ES);2015;;;;
6649;Total dwellings;Zuid-Limburg (ES);2016;;;;
6650;Total dwellings;Zuid-Limburg (ES);2017;;;;
6651;Total dwellings;Zuid-Limburg (ES);2018;;;;
6652;Total dwellings;Zuid-Limburg (ES);2019;;;;
6653;Total dwellings;Zuid-Limburg (ES);2020;1220.0;2760.0;;
6654;Total dwellings;Zuid-Limburg (ES);2021;1380.0;2800.0;2390.0;
6655;Total dwellings;Zuid-Limburg (ES);2022;1090.0;2670.0;2160.0;
6656;Total dwellings;Groningen (ET);2010;;;;
6657;Total dwellings;Groningen (ET);2011;;;;
6658;Total dwellings;Groningen (ET);2012;;;;
6659;Total dwellings;Groningen (ET);2013;;;;
6660;Total dwellings;Groningen (ET);2014;;;;
6661;Total dwellings;Groningen (ET);2015;;;;
6662;Total dwellings;Groningen (ET);2016;;;;
6663;Total dwellings;Groningen (ET);2017;;;;
6664;Total dwellings;Groningen (ET);2018;;;;
6665;Total dwellings;Groningen (ET);2019;;;;
6666;Total dwellings;Groningen (ET);2020;1320.0;2530.0;;
