ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
9131;Shops;Production of building projects;2019 January;20.0
9132;Shops;Production of building projects;2019 February;21.0
9133;Shops;Production of building projects;2019 March;21.0
9134;Shops;Production of building projects;2019 1st quarter;62.0
9135;Shops;Production of building projects;2019 April;21.0
9136;Shops;Production of building projects;2019 May;22.0
9137;Shops;Production of building projects;2019 June;21.0
9138;Shops;Production of building projects;2019 2nd quarter;64.0
9139;Shops;Production of building projects;2019 July;23.0
9140;Shops;Production of building projects;2019 August;12.0
9141;Shops;Production of building projects;2019 September;25.0
9142;Shops;Production of building projects;2019 3rd quarter;60.0
9143;Shops;Production of building projects;2019 October;26.0
9144;Shops;Production of building projects;2019 November;22.0
9145;Shops;Production of building projects;2019 December;16.0
9146;Shops;Production of building projects;2019 4th quarter;64.0
9147;Shops;Production of building projects;2019;250.0
9148;Shops;Production of building projects;2020 January;23.0
9149;Shops;Production of building projects;2020 February;20.0
9150;Shops;Production of building projects;2020 March;23.0
9151;Shops;Production of building projects;2020 1st quarter;67.0
9152;Shops;Production of building projects;2020 April;19.0
9153;Shops;Production of building projects;2020 May;18.0
9154;Shops;Production of building projects;2020 June;20.0
9155;Shops;Production of building projects;2020 2nd quarter;58.0
9156;Shops;Production of building projects;2020 July;18.0
9157;Shops;Production of building projects;2020 August;11.0
9158;Shops;Production of building projects;2020 September;23.0
9159;Shops;Production of building projects;2020 3rd quarter;51.0
9160;Shops;Production of building projects;2020 October;22.0
9161;Shops;Production of building projects;2020 November;20.0
9162;Shops;Production of building projects;2020 December;14.0
9163;Shops;Production of building projects;2020 4th quarter;56.0
9164;Shops;Production of building projects;2020;232.0
9165;Shops;Production of building projects;2021 January;19.0
9166;Shops;Production of building projects;2021 February;16.0
9167;Shops;Production of building projects;2021 March;27.0
9168;Shops;Production of building projects;2021 1st quarter;62.0
9169;Shops;Production of building projects;2021 April;22.0
9170;Shops;Production of building projects;2021 May;21.0
9171;Shops;Production of building projects;2021 June;25.0
9172;Shops;Production of building projects;2021 2nd quarter;68.0
9173;Shops;Production of building projects;2021 July;23.0
9174;Shops;Production of building projects;2021 August;10.0
9175;Shops;Production of building projects;2021 September;26.0
9176;Shops;Production of building projects;2021 3rd quarter;58.0
9177;Shops;Production of building projects;2021 October;24.0
9178;Shops;Production of building projects;2021 November;27.0
9179;Shops;Production of building projects;2021 December;22.0
9180;Shops;Production of building projects;2021 4th quarter;72.0
9181;Shops;Production of building projects;2021;261.0
9182;Shops;Production of building projects;2022 January;23.0
9183;Shops;Production of building projects;2022 February;23.0
9184;Shops;Production of building projects;2022 March;26.0
9185;Shops;Production of building projects;2022 1st quarter;72.0
9186;Shops;Production of building projects;2022 April;21.0
9187;Shops;Production of building projects;2022 May;25.0
9188;Shops;Production of building projects;2022 June;23.0
9189;Shops;Production of building projects;2022 2nd quarter;68.0
9190;Shops;Production of building projects;2022 July;20.0
9191;Shops;Production of building projects;2022 August;11.0
9192;Shops;Production of building projects;2022 September;25.0
9193;Shops;Production of building projects;2022 3rd quarter;56.0
9194;Shops;Production of building projects;2022 October;25.0
9195;Shops;Production of building projects;2022 November;22.0
9196;Shops;Production of building projects;2022 December;14.0
9197;Shops;Production of building projects;2022 4th quarter;61.0
9198;Shops;Production of building projects;2022;258.0
9199;Shops;Production of building projects;2023 January;17.0
9200;Shops;Production of building projects;2023 February;18.0
9201;Shops;Production of building projects;2023 March;21.0
9202;Shops;Production of building projects;2023 1st quarter;56.0
9203;Shops;Production of building projects;2023 April;15.0
9204;Shops;Production of building projects;2023 May;18.0
9205;Shops;Production of building projects;2023 June;19.0
9206;Shops;Production of building projects;2023 2nd quarter;52.0
9207;Shops;Production of building projects;2023 July;15.0
9208;Shops;Production of building projects;2023 August;9.0
9209;Shops;Production of building projects;2023 September;18.0
9210;Shops;Production of building projects;2023 3rd quarter;42.0
9211;Shops;Production of building projects;2023 October;18.0
9212;Shops;Production of building projects;2023 November;18.0
9213;Shops;Production of building projects;2023 December;14.0
9214;Shops;Production of building projects;2023 4th quarter;50.0
9215;Shops;Production of building projects;2023;200.0
9216;Shops;Production of building projects;2024 January;14.0
9217;Shops;Production of building projects;2024 February;17.0
9218;Shops;Production of building projects;2024 March;17.0
9219;Shops;Production of building projects;2024 1st quarter;48.0
9220;Shops;Production of building projects;2024 April;18.0
9221;Shops;Production of building projects;2024 May;17.0
9222;Shops;Production of building projects;2024 June;16.0
9223;Shops;Production of building projects;2024 2nd quarter;51.0
9224;Shops;Production of building projects;2024 July;16.0
9225;Shops;Production of building projects;2024 August;8.0
9226;Shops;Production of building projects;2024 September;15.0
9227;Shops;Production of building projects;2024 3rd quarter;39.0
9228;Shops;Production of building projects;2024 October;17.0
9229;Shops;Production of building projects;2024 November;17.0
9230;Shops;Production of building projects;2024 December;13.0
9231;Shops;Production of building projects;2024 4th quarter;47.0
9232;Shops;Production of building projects;2024;185.0
9233;Shops;Production of building projects;2025 January;15.0
9234;Shops;Remaining production of buildings;2015 January;166.0
9235;Shops;Remaining production of buildings;2015 February;167.0
9236;Shops;Remaining production of buildings;2015 March;161.0
9237;Shops;Remaining production of buildings;2015 1st quarter;161.0
9238;Shops;Remaining production of buildings;2015 April;160.0
9239;Shops;Remaining production of buildings;2015 May;176.0
9240;Shops;Remaining production of buildings;2015 June;168.0
9241;Shops;Remaining production of buildings;2015 2nd quarter;168.0
9242;Shops;Remaining production of buildings;2015 July;162.0
9243;Shops;Remaining production of buildings;2015 August;166.0
9244;Shops;Remaining production of buildings;2015 September;158.0
9245;Shops;Remaining production of buildings;2015 3rd quarter;158.0
9246;Shops;Remaining production of buildings;2015 October;156.0
9247;Shops;Remaining production of buildings;2015 November;156.0
9248;Shops;Remaining production of buildings;2015 December;158.0
9249;Shops;Remaining production of buildings;2015 4th quarter;158.0
9250;Shops;Remaining production of buildings;2015;158.0
9251;Shops;Remaining production of buildings;2016 January;152.0
9252;Shops;Remaining production of buildings;2016 February;176.0
9253;Shops;Remaining production of buildings;2016 March;173.0
9254;Shops;Remaining production of buildings;2016 1st quarter;173.0
9255;Shops;Remaining production of buildings;2016 April;170.0
9256;Shops;Remaining production of buildings;2016 May;175.0
9257;Shops;Remaining production of buildings;2016 June;172.0
9258;Shops;Remaining production of buildings;2016 2nd quarter;172.0
9259;Shops;Remaining production of buildings;2016 July;168.0
9260;Shops;Remaining production of buildings;2016 August;181.0
9261;Shops;Remaining production of buildings;2016 September;176.0
9262;Shops;Remaining production of buildings;2016 3rd quarter;176.0
9263;Shops;Remaining production of buildings;2016 October;165.0
9264;Shops;Remaining production of buildings;2016 November;159.0
9265;Shops;Remaining production of buildings;2016 December;165.0
9266;Shops;Remaining production of buildings;2016 4th quarter;165.0
9267;Shops;Remaining production of buildings;2016;165.0
9268;Shops;Remaining production of buildings;2017 January;179.0
9269;Shops;Remaining production of buildings;2017 February;170.0
9270;Shops;Remaining production of buildings;2017 March;160.0
9271;Shops;Remaining production of buildings;2017 1st quarter;160.0
9272;Shops;Remaining production of buildings;2017 April;153.0
9273;Shops;Remaining production of buildings;2017 May;158.0
9274;Shops;Remaining production of buildings;2017 June;154.0
9275;Shops;Remaining production of buildings;2017 2nd quarter;154.0
9276;Shops;Remaining production of buildings;2017 July;147.0
9277;Shops;Remaining production of buildings;2017 August;152.0
9278;Shops;Remaining production of buildings;2017 September;153.0
9279;Shops;Remaining production of buildings;2017 3rd quarter;153.0
9280;Shops;Remaining production of buildings;2017 October;141.0
9281;Shops;Remaining production of buildings;2017 November;142.0
9282;Shops;Remaining production of buildings;2017 December;136.0
9283;Shops;Remaining production of buildings;2017 4th quarter;136.0
9284;Shops;Remaining production of buildings;2017;136.0
9285;Shops;Remaining production of buildings;2018 January;140.0
9286;Shops;Remaining production of buildings;2018 February;149.0
9287;Shops;Remaining production of buildings;2018 March;142.0
9288;Shops;Remaining production of buildings;2018 1st quarter;142.0
9289;Shops;Remaining production of buildings;2018 April;132.0
9290;Shops;Remaining production of buildings;2018 May;121.0
9291;Shops;Remaining production of buildings;2018 June;115.0
9292;Shops;Remaining production of buildings;2018 2nd quarter;115.0
