ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
199;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2008;25342;22782;27901;10.0;5;9.0;32609;30329;34889;7.0;5;2.0
200;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2009;22033;20109;23957;9.0;5;1.0;31922;29815;34029;7.0;6;9.0
201;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2010;25310;22857;27764;10.0;5;5.0;34521;32161;36881;7.0;6;4.0
202;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2011;29486;26836;32135;9.0;6;5.0;40037;37482;42591;6.0;7;5.0
203;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2012;31606;28518;34693;10.0;5;9.0;34729;32477;36980;6.0;6;1.0
204;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2013;31909;28927;34890;9.0;6;9.0;35896;33518;38275;7.0;6;9.0
205;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2014;33188;29863;36513;10.0;6;9.0;36768;34366;39170;7.0;6;9.0
206;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2015;35012;31437;38588;10.0;6;9.0;35227;32855;37598;7.0;6;9.0
207;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2016;35783;32474;39091;9.0;6;9.0;35887;33495;38279;7.0;6;9.0
208;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Europe;2017;41008;36849;45167;10.0;6;5.0;37814;35338;40290;7.0;6;9.0
209;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2007;269;6;531;98.0;0;;161;61;261;62.0;0;
210;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2008;309;77;541;75.0;0;9.0;295;191;398;35.0;0;9.0
211;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2009;294;110;478;63.0;0;9.0;545;399;691;27.0;0;5.0
212;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2010;333;46;619;86.0;0;9.0;337;209;466;38.0;0;1.0
213;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2011;429;172;687;60.0;0;9.0;348;277;419;20.0;0;9.0
214;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2012;499;215;783;57.0;0;9.0;499;393;606;21.0;0;5.0
215;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2013;397;142;651;64.0;0;9.0;351;277;426;21.0;0;1.0
216;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2014;364;142;586;61.0;0;9.0;293;221;365;24.0;0;9.0
217;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2015;316;124;507;61.0;0;9.0;308;243;373;21.0;0;9.0
218;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2016;367;161;573;56.0;0;9.0;407;324;491;21.0;0;5.0
219;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Oceania;2017;625;281;969;55.0;0;9.0;667;536;798;20.0;0;5.0
220;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2007;3;1;5;69.0;0;;2;1;2;19.0;0;
221;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
222;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
223;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
224;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2011;0;0;0;;0;;0;0;0;;0;
225;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
226;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2013;0;0;0;;0;;0;0;0;;0;
227;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
228;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2015;0;0;0;;0;;0;0;0;;0;
229;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2016;0;0;0;;0;;0;0;0;;0;
230;Total;"Inbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2017;0;0;0;;0;;0;0;0;;0;
231;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2007;3452;2843;4061;18.0;1;;53130;49923;56337;6.0;9;
232;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2008;6044;4642;7446;23.0;1;5.0;55763;52111;59416;7.0;9;9.0
233;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2009;3615;2844;4386;21.0;1;1.0;47913;44884;50941;6.0;9;1.0
234;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2010;4163;3237;5088;22.0;1;9.0;47725;44628;50822;6.0;8;9.0
235;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2011;5841;4445;7236;24.0;1;5.0;50060;46687;53433;7.0;9;9.0
236;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2012;5027;4022;6032;20.0;1;9.0;51787;48545;55028;6.0;9;9.0
237;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2013;4499;3529;5468;22.0;1;9.0;59532;55582;63481;7.0;11;5.0
238;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2014;4626;3571;5681;23.0;1;9.0;63518;58956;68079;7.0;11;9.0
239;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2015;4328;3374;5282;22.0;1;9.0;61406;56929;65882;7.0;10;9.0
240;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2016;4291;3400;5182;21.0;1;9.0;58962;54597;63328;7.0;10;9.0
241;Total;"Inbound transport; total";2 Solid mineral fuels;Total all continents;2017;5254;4096;6411;22.0;1;9.0;55266;51285;59247;7.0;9;9.0
242;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2007;596;319;872;46.0;0;;10704;8928;12479;17.0;2;
243;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2008;1045;390;1700;63.0;0;9.0;11758;9813;13703;17.0;2;9.0
244;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2009;655;260;1049;60.0;0;1.0;10583;8909;12257;16.0;2;9.0
245;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2010;235;103;367;56.0;0;1.0;3568;2880;4256;19.0;1;1.0
246;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2011;284;97;471;66.0;0;9.0;3135;2512;3759;20.0;1;9.0
247;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2012;287;87;486;69.0;0;9.0;3554;2802;4307;21.0;1;9.0
248;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2013;453;168;739;63.0;0;9.0;6869;5573;8165;19.0;1;5.0
249;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2014;654;230;1078;65.0;0;9.0;10658;8603;12714;19.0;2;5.0
250;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2015;345;129;560;62.0;0;1.0;5010;4011;6010;20.0;1;1.0
251;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2016;307;91;524;71.0;0;9.0;4396;3440;5352;22.0;1;9.0
252;Total;"Inbound transport; total";2 Solid mineral fuels;Africa;2017;399;119;679;70.0;0;9.0;5029;4000;6058;20.0;1;9.0
253;Total;"Inbound transport; total";2 Solid mineral fuels;America;2007;1322;964;1679;27.0;0;;19076;17142;21011;10.0;3;
254;Total;"Inbound transport; total";2 Solid mineral fuels;America;2008;2588;1664;3513;36.0;1;5.0;24060;21475;26646;11.0;4;5.0
255;Total;"Inbound transport; total";2 Solid mineral fuels;America;2009;1621;1091;2151;33.0;0;1.0;20976;18786;23166;10.0;4;1.0
256;Total;"Inbound transport; total";2 Solid mineral fuels;America;2010;1942;1288;2595;34.0;0;9.0;24421;21964;26877;10.0;4;5.0
257;Total;"Inbound transport; total";2 Solid mineral fuels;America;2011;3317;2205;4430;34.0;1;5.0;30406;27463;33348;10.0;5;5.0
258;Total;"Inbound transport; total";2 Solid mineral fuels;America;2012;2557;1884;3229;26.0;0;1.0;27530;24990;30070;9.0;5;2.0
259;Total;"Inbound transport; total";2 Solid mineral fuels;America;2013;2164;1459;2870;33.0;0;9.0;29874;26714;33034;11.0;5;9.0
260;Total;"Inbound transport; total";2 Solid mineral fuels;America;2014;1972;1269;2675;36.0;0;9.0;28057;24777;31337;12.0;5;9.0
261;Total;"Inbound transport; total";2 Solid mineral fuels;America;2015;1868;1204;2532;36.0;0;9.0;28473;25073;31874;12.0;5;9.0
262;Total;"Inbound transport; total";2 Solid mineral fuels;America;2016;1627;1078;2176;34.0;0;9.0;26159;22986;29332;12.0;4;9.0
263;Total;"Inbound transport; total";2 Solid mineral fuels;America;2017;1817;1155;2479;36.0;0;9.0;20775;18198;23352;12.0;3;1.0
264;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2007;172;112;231;34.0;0;;2349;1985;2713;15.0;0;
265;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2008;279;146;412;48.0;0;9.0;1866;1519;2212;19.0;0;1.0
266;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2009;73;38;108;48.0;0;1.0;852;695;1009;18.0;0;1.0
267;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2010;22;9;35;60.0;0;1.0;115;85;146;26.0;0;1.0
268;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2011;42;23;60;45.0;0;9.0;163;142;185;13.0;0;5.0
269;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2012;20;11;29;46.0;0;1.0;148;123;173;17.0;0;9.0
270;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2013;14;5;22;60.0;0;9.0;132;107;156;18.0;0;9.0
271;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2014;68;27;108;59.0;0;5.0;304;245;364;19.0;0;5.0
272;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2015;58;27;89;53.0;0;9.0;288;235;342;19.0;0;9.0
273;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2016;218;54;381;75.0;0;5.0;458;374;542;18.0;0;5.0
274;Total;"Inbound transport; total";2 Solid mineral fuels;Asia;2017;117;48;186;59.0;0;1.0;496;397;594;20.0;0;9.0
275;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2007;825;629;1022;24.0;0;;12593;11599;13586;8.0;2;
276;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2008;1127;804;1450;29.0;0;5.0;10617;9737;11496;8.0;2;1.0
277;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2009;807;598;1016;26.0;0;1.0;11258;10298;12218;9.0;2;9.0
278;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2010;1150;823;1477;28.0;0;5.0;13404;12089;14718;10.0;2;5.0
279;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2011;1106;795;1417;28.0;0;9.0;10411;9434;11388;9.0;2;1.0
280;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2012;1301;916;1686;30.0;0;9.0;13847;12513;15182;10.0;2;5.0
281;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2013;1139;800;1477;30.0;0;9.0;15678;14168;17188;10.0;3;5.0
282;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2014;1146;775;1517;32.0;0;9.0;15943;14248;17637;11.0;3;9.0
283;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2015;1350;919;1781;32.0;0;9.0;19901;17603;22200;12.0;3;5.0
284;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2016;1425;982;1868;31.0;0;9.0;18358;16223;20493;12.0;3;9.0
285;Total;"Inbound transport; total";2 Solid mineral fuels;Europe;2017;2025;1331;2720;34.0;0;9.0;21748;19273;24223;11.0;4;5.0
286;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2007;538;185;891;66.0;0;;8409;6902;9915;18.0;1;
287;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2008;1004;256;1753;74.0;0;9.0;7463;6057;8869;19.0;1;9.0
288;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2009;459;122;796;73.0;0;1.0;4243;3453;5034;19.0;1;1.0
289;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2010;814;261;1366;68.0;0;9.0;6218;5053;7382;19.0;1;5.0
290;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2011;1092;332;1852;70.0;0;9.0;5944;4772;7116;20.0;1;9.0
291;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2012;862;255;1470;70.0;0;9.0;6707;5401;8014;19.0;1;9.0
292;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2013;729;233;1225;68.0;0;9.0;6979;5693;8266;18.0;1;9.0
293;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2014;787;239;1334;70.0;0;9.0;8555;6838;10272;20.0;1;5.0
294;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2015;708;222;1194;69.0;0;9.0;7732;6251;9213;19.0;1;9.0
295;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2016;714;242;1186;66.0;0;9.0;9592;7718;11465;20.0;2;5.0
296;Total;"Inbound transport; total";2 Solid mineral fuels;Oceania;2017;895;316;1474;65.0;0;9.0;7218;5799;8636;20.0;1;1.0
297;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
298;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
299;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
300;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
301;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2011;0;0;0;;0;;0;0;0;;0;
302;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
303;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2013;0;0;0;;0;;0;0;0;;0;
304;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
305;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2015;0;0;0;;0;;0;0;0;;0;
306;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2016;0;0;0;;0;;0;0;0;;0;
307;Total;"Inbound transport; total";2 Solid mineral fuels;Unspecified countries and areas;2017;0;0;0;;0;;0;0;0;;0;
308;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2007;76329;64941;87717;15.0;17;;197733;187350;208116;5.0;34;
309;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2008;93712;80869;106554;14.0;18;5.0;199288;188865;209711;5.0;34;9.0
310;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2009;65012;56224;73799;14.0;15;1.0;196132;185680;206585;5.0;37;9.0
311;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2010;89292;77619;100965;13.0;17;5.0;207547;196315;218780;5.0;36;4.0
312;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2011;108077;96714;119440;11.0;21;5.0;193539;184289;202789;5.0;34;2.0
313;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2012;128254;115386;141122;10.0;22;5.0;205375;195614;215136;5.0;36;4.0
314;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2013;117368;106525;128211;9.0;20;2.0;194389;185487;203292;5.0;34;2.0
315;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2014;111338;98654;124023;11.0;20;9.0;198258;188097;208419;5.0;34;9.0
316;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2015;79586;71454;87719;10.0;13;1.0;211747;201115;222380;5.0;36;4.0
317;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2016;66293;60389;72196;9.0;11;1.0;215575;205260;225890;5.0;37;9.0
318;Total;"Inbound transport; total";3 Petroleum products;Total all continents;2017;80419;72997;87840;9.0;12;5.0;211947;201968;221926;5.0;35;9.0
319;Total;"Inbound transport; total";3 Petroleum products;Africa;2007;10394;4915;15873;53.0;2;;29183;24437;33929;16.0;5;
320;Total;"Inbound transport; total";3 Petroleum products;Africa;2008;13260;7527;18994;43.0;3;9.0;29747;25644;33850;14.0;5;9.0
321;Total;"Inbound transport; total";3 Petroleum products;Africa;2009;7358;4184;10532;43.0;2;1.0;21082;18013;24151;15.0;4;1.0
322;Total;"Inbound transport; total";3 Petroleum products;Africa;2010;10126;6248;14005;38.0;2;9.0;21750;18643;24856;14.0;4;9.0
323;Total;"Inbound transport; total";3 Petroleum products;Africa;2011;13492;8315;18669;38.0;3;9.0;26229;22442;30015;14.0;5;5.0
324;Total;"Inbound transport; total";3 Petroleum products;Africa;2012;18883;12453;25313;34.0;3;9.0;33026;28362;37691;14.0;6;5.0
325;Total;"Inbound transport; total";3 Petroleum products;Africa;2013;15044;10531;19557;30.0;3;9.0;27613;23563;31663;15.0;5;1.0
326;Total;"Inbound transport; total";3 Petroleum products;Africa;2014;15654;9256;22053;41.0;3;9.0;30953;26509;35397;14.0;5;9.0
327;Total;"Inbound transport; total";3 Petroleum products;Africa;2015;10341;6158;14523;40.0;2;1.0;35791;30586;40995;15.0;6;5.0
328;Total;"Inbound transport; total";3 Petroleum products;Africa;2016;5734;3040;8427;47.0;1;1.0;24513;20823;28203;15.0;4;1.0
329;Total;"Inbound transport; total";3 Petroleum products;Africa;2017;7409;4172;10646;44.0;1;9.0;23091;19473;26710;16.0;4;9.0
330;Total;"Inbound transport; total";3 Petroleum products;America;2007;2614;1667;3562;36.0;1;;8227;7382;9072;10.0;1;
331;Total;"Inbound transport; total";3 Petroleum products;America;2008;5851;3954;7747;32.0;1;5.0;12141;10948;13335;10.0;2;5.0
332;Total;"Inbound transport; total";3 Petroleum products;America;2009;3204;2111;4297;34.0;1;1.0;9997;8958;11036;10.0;2;1.0
333;Total;"Inbound transport; total";3 Petroleum products;America;2010;4064;2309;5818;43.0;1;9.0;9359;8282;10437;12.0;2;9.0
334;Total;"Inbound transport; total";3 Petroleum products;America;2011;6601;3966;9236;40.0;1;9.0;11724;10201;13247;13.0;2;5.0
335;Total;"Inbound transport; total";3 Petroleum products;America;2012;7562;4935;10190;35.0;1;9.0;11514;10082;12945;12.0;2;9.0
336;Total;"Inbound transport; total";3 Petroleum products;America;2013;7038;4626;9451;34.0;1;9.0;12060;10656;13464;12.0;2;9.0
337;Total;"Inbound transport; total";3 Petroleum products;America;2014;7552;4816;10287;36.0;1;9.0;12733;11343;14124;11.0;2;9.0
338;Total;"Inbound transport; total";3 Petroleum products;America;2015;4339;2741;5937;37.0;1;1.0;10464;8875;12053;15.0;2;1.0
339;Total;"Inbound transport; total";3 Petroleum products;America;2016;3488;2189;4788;37.0;1;9.0;10628;8881;12374;16.0;2;9.0
340;Total;"Inbound transport; total";3 Petroleum products;America;2017;3606;2108;5105;42.0;1;9.0;8705;7275;10135;16.0;1;1.0
341;Total;"Inbound transport; total";3 Petroleum products;Asia;2007;4700;3065;6336;35.0;1;;9644;8552;10736;11.0;2;
342;Total;"Inbound transport; total";3 Petroleum products;Asia;2008;8813;6104;11522;31.0;2;5.0;16922;14983;18861;11.0;3;5.0
343;Total;"Inbound transport; total";3 Petroleum products;Asia;2009;7541;5026;10057;33.0;2;9.0;22042;19538;24546;11.0;4;5.0
344;Total;"Inbound transport; total";3 Petroleum products;Asia;2010;9711;6545;12876;33.0;2;9.0;20646;18163;23128;12.0;4;9.0
345;Total;"Inbound transport; total";3 Petroleum products;Asia;2011;13150;9450;16850;28.0;2;9.0;19497;16903;22091;13.0;3;9.0
346;Total;"Inbound transport; total";3 Petroleum products;Asia;2012;12044;8559;15528;29.0;2;9.0;16524;14345;18702;13.0;3;1.0
