ID;SexOfEmployee;TypeOfEmploymentContract;OtherCharacteristicsEmployee;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
5458;Total;Total;60 to 64 years;O-Q Government and care;2010 after change of method;127.0;93.0;26.29;2591.0;2584.0;36810.0;31100.0;5720.0;80.0;26.4;26.3;1180.0;1618.0
5459;Total;Total;60 to 64 years;O-Q Government and care;2011;144.0;105.0;26.36;2613.0;2607.0;37180.0;31360.0;5820.0;80.0;26.3;26.3;1187.0;1630.0
5460;Total;Total;60 to 64 years;O-Q Government and care;2012;157.0;115.0;26.88;2676.0;2670.0;37980.0;32110.0;5870.0;70.0;26.5;26.5;1192.0;1622.0
5461;Total;Total;60 to 64 years;O-Q Government and care;2013;174.0;129.0;27.3;2730.0;2724.0;39050.0;32760.0;6280.0;60.0;26.8;26.7;1197.0;1617.0
5462;Total;Total;60 to 64 years;O-Q Government and care;2014;191.0;144.0;26.89;2760.0;2754.0;39200.0;33110.0;6090.0;60.0;27.3;27.3;1229.0;1625.0
5463;Total;Total;60 to 64 years;O-Q Government and care;2015;202.0;154.0;27.6;2842.0;2836.0;40230.0;34100.0;6130.0;50.0;27.5;27.5;1233.0;1622.0
5464;Total;Total;60 to 64 years;O-Q Government and care;2016;212.0;161.0;27.88;2895.0;2889.0;41030.0;34740.0;6300.0;50.0;27.6;27.6;1244.0;1636.0
5465;Total;Total;60 to 64 years;O-Q Government and care;2017;224.0;167.0;27.93;2900.0;2894.0;41170.0;34800.0;6380.0;50.0;27.4;27.4;1243.0;1664.0
5466;Total;Total;60 to 64 years;O-Q Government and care;2018;236.0;175.0;28.4;2918.0;2913.0;41180.0;35020.0;6160.0;50.0;27.3;27.2;1231.0;1656.0
5467;Total;Total;60 to 64 years;O-Q Government and care;2019;249.0;184.0;28.76;2955.0;2949.0;41640.0;35460.0;6180.0;60.0;27.1;27.1;1231.0;1666.0
5468;Total;Total;60 to 64 years;O-Q Government and care;2020;258.0;190.0;29.72;3039.0;3033.0;43050.0;36460.0;6590.0;60.0;27.1;27.1;1225.0;1664.0
5469;Total;Total;60 to 64 years;O-Q Government and care;2021;267.0;197.0;30.17;3111.0;3105.0;43740.0;37330.0;6420.0;60.0;27.1;27.1;1235.0;1674.0
5470;Total;Total;60 to 64 years;O-Q Government and care;2022;275.0;203.0;31.03;3198.0;3192.0;45360.0;38380.0;6980.0;60.0;27.1;27.1;1234.0;1675.0
5471;Total;Total;60 to 64 years;O-Q Government and care;2023;282.0;208.0;32.91;3365.0;3360.0;47390.0;40380.0;7000.0;70.0;27.1;27.1;1225.0;1665.0
5472;Total;Total;60 to 64 years;O Public administration and services;2009;25.0;22.0;25.89;3145.0;3128.0;44270.0;37750.0;6530.0;60.0;31.7;31.6;1450.0;1669.0
5473;Total;Total;60 to 64 years;O Public administration and services;2010 before change of method;30.0;26.0;26.03;3185.0;3168.0;45700.0;38220.0;7470.0;50.0;32.0;31.8;1460.0;1670.0
5474;Total;Total;60 to 64 years;O Public administration and services;2010 after change of method;31.0;27.0;25.94;3151.0;3135.0;45210.0;37810.0;7400.0;50.0;31.7;31.6;1450.0;1671.0
5475;Total;Total;60 to 64 years;O Public administration and services;2011;35.0;31.0;25.97;3207.0;3194.0;46120.0;38490.0;7630.0;40.0;32.0;31.9;1476.0;1681.0
5476;Total;Total;60 to 64 years;O Public administration and services;2012;38.0;34.0;26.73;3325.0;3311.0;47840.0;39900.0;7940.0;40.0;32.5;32.4;1487.0;1669.0
5477;Total;Total;60 to 64 years;O Public administration and services;2013;44.0;39.0;27.01;3367.0;3353.0;48910.0;40400.0;8510.0;30.0;32.7;32.6;1490.0;1665.0
5478;Total;Total;60 to 64 years;O Public administration and services;2014;48.0;43.0;27.22;3422.0;3410.0;49430.0;41070.0;8360.0;30.0;32.8;32.7;1504.0;1674.0
5479;Total;Total;60 to 64 years;O Public administration and services;2015;52.0;47.0;28.05;3512.0;3502.0;50250.0;42140.0;8110.0;20.0;32.9;32.8;1498.0;1663.0
5480;Total;Total;60 to 64 years;O Public administration and services;2016;54.0;49.0;28.8;3617.0;3608.0;51510.0;43400.0;8100.0;20.0;32.9;32.8;1503.0;1672.0
5481;Total;Total;60 to 64 years;O Public administration and services;2017;57.0;51.0;28.89;3646.0;3637.0;52260.0;43760.0;8500.0;20.0;32.8;32.7;1511.0;1697.0
5482;Total;Total;60 to 64 years;O Public administration and services;2018;59.0;52.0;29.56;3706.0;3696.0;52340.0;44470.0;7880.0;30.0;32.7;32.7;1501.0;1692.0
5483;Total;Total;60 to 64 years;O Public administration and services;2019;62.0;54.0;29.99;3778.0;3768.0;53810.0;45340.0;8470.0;30.0;32.7;32.6;1508.0;1707.0
5484;Total;Total;60 to 64 years;O Public administration and services;2020;64.0;56.0;31.4;3950.0;3942.0;56150.0;47400.0;8750.0;30.0;32.7;32.7;1506.0;1707.0
5485;Total;Total;60 to 64 years;O Public administration and services;2021;67.0;59.0;32.1;4067.0;4058.0;57200.0;48800.0;8400.0;30.0;32.8;32.7;1517.0;1715.0
5486;Total;Total;60 to 64 years;O Public administration and services;2022;70.0;62.0;32.74;4147.0;4137.0;59620.0;49760.0;9860.0;30.0;32.8;32.7;1516.0;1714.0
5487;Total;Total;60 to 64 years;O Public administration and services;2023;73.0;64.0;35.2;4385.0;4374.0;62150.0;52620.0;9530.0;30.0;32.8;32.7;1491.0;1685.0
5488;Total;Total;60 to 64 years;P Education;2009;37.0;28.0;28.32;2902.0;2898.0;41810.0;34820.0;6990.0;50.0;27.5;27.5;1228.0;1628.0
5489;Total;Total;60 to 64 years;P Education;2010 before change of method;42.0;32.0;29.0;2952.0;2949.0;42420.0;35420.0;7000.0;50.0;27.6;27.5;1221.0;1609.0
5490;Total;Total;60 to 64 years;P Education;2010 after change of method;42.0;32.0;28.96;2946.0;2944.0;42360.0;35360.0;7000.0;50.0;27.5;27.5;1220.0;1610.0
5491;Total;Total;60 to 64 years;P Education;2011;44.0;33.0;29.53;2962.0;2960.0;42660.0;35550.0;7120.0;50.0;26.9;26.9;1203.0;1631.0
5492;Total;Total;60 to 64 years;P Education;2012;46.0;34.0;30.7;3018.0;3015.0;43280.0;36210.0;7060.0;50.0;26.7;26.7;1179.0;1604.0
5493;Total;Total;60 to 64 years;P Education;2013;48.0;36.0;31.19;3063.0;3060.0;44050.0;36760.0;7290.0;50.0;26.8;26.8;1177.0;1595.0
5494;Total;Total;60 to 64 years;P Education;2014;53.0;41.0;29.67;3073.0;3070.0;43870.0;36880.0;7000.0;50.0;28.2;28.1;1242.0;1602.0
5495;Total;Total;60 to 64 years;P Education;2015;55.0;43.0;30.16;3131.0;3128.0;44680.0;37570.0;7110.0;40.0;28.3;28.3;1245.0;1603.0
5496;Total;Total;60 to 64 years;P Education;2016;57.0;44.0;30.2;3165.0;3162.0;45490.0;37980.0;7510.0;40.0;28.5;28.4;1257.0;1617.0
5497;Total;Total;60 to 64 years;P Education;2017;59.0;45.0;30.29;3184.0;3181.0;45460.0;38200.0;7260.0;40.0;28.0;28.0;1260.0;1655.0
5498;Total;Total;60 to 64 years;P Education;2018;59.0;45.0;30.78;3205.0;3202.0;46030.0;38460.0;7570.0;40.0;27.9;27.9;1248.0;1649.0
5499;Total;Total;60 to 64 years;P Education;2019;60.0;45.0;31.43;3276.0;3273.0;46190.0;39310.0;6880.0;50.0;27.8;27.8;1249.0;1657.0
5500;Total;Total;60 to 64 years;P Education;2020;60.0;45.0;32.39;3360.0;3357.0;48350.0;40320.0;8040.0;50.0;27.8;27.8;1244.0;1651.0
5501;Total;Total;60 to 64 years;P Education;2021;59.0;45.0;32.57;3420.0;3417.0;48640.0;41040.0;7600.0;60.0;27.9;27.9;1259.0;1668.0
5502;Total;Total;60 to 64 years;P Education;2022;59.0;44.0;33.93;3565.0;3561.0;51140.0;42780.0;8360.0;60.0;27.9;27.9;1260.0;1671.0
5503;Total;Total;60 to 64 years;P Education;2023;58.0;43.0;36.01;3794.0;3791.0;54280.0;45530.0;8750.0;70.0;28.0;27.9;1263.0;1684.0
5504;Total;Total;60 to 64 years;Q Health and social work activities;2009;44.0;28.0;24.19;2025.0;2019.0;28050.0;24300.0;3750.0;130.0;22.7;22.6;1001.0;1579.0
5505;Total;Total;60 to 64 years;Q Health and social work activities;2010 before change of method;55.0;34.0;24.11;2011.0;2006.0;27940.0;24140.0;3800.0;110.0;22.5;22.4;999.0;1584.0
5506;Total;Total;60 to 64 years;Q Health and social work activities;2010 after change of method;55.0;35.0;24.09;2011.0;2006.0;27950.0;24130.0;3810.0;120.0;22.5;22.4;999.0;1586.0
5507;Total;Total;60 to 64 years;Q Health and social work activities;2011;65.0;42.0;24.08;2055.0;2050.0;28630.0;24660.0;3960.0;110.0;22.9;22.8;1022.0;1592.0
5508;Total;Total;60 to 64 years;Q Health and social work activities;2012;73.0;48.0;24.31;2123.0;2119.0;29520.0;25480.0;4040.0;100.0;23.3;23.2;1046.0;1601.0
5509;Total;Total;60 to 64 years;Q Health and social work activities;2013;82.0;54.0;24.95;2196.0;2191.0;30860.0;26350.0;4510.0;90.0;23.5;23.5;1054.0;1597.0
5510;Total;Total;60 to 64 years;Q Health and social work activities;2014;90.0;60.0;24.76;2219.0;2215.0;30970.0;26630.0;4340.0;70.0;23.9;23.8;1073.0;1604.0
5511;Total;Total;60 to 64 years;Q Health and social work activities;2015;95.0;64.0;25.54;2306.0;2301.0;32140.0;27670.0;4480.0;80.0;24.1;24.1;1081.0;1606.0
5512;Total;Total;60 to 64 years;Q Health and social work activities;2016;100.0;68.0;25.68;2347.0;2343.0;32800.0;28170.0;4630.0;70.0;24.3;24.3;1095.0;1623.0
5513;Total;Total;60 to 64 years;Q Health and social work activities;2017;109.0;72.0;25.77;2356.0;2351.0;33060.0;28270.0;4790.0;70.0;24.3;24.3;1095.0;1646.0
5514;Total;Total;60 to 64 years;Q Health and social work activities;2018;117.0;78.0;26.2;2376.0;2371.0;33100.0;28510.0;4580.0;70.0;24.2;24.2;1086.0;1637.0
5515;Total;Total;60 to 64 years;Q Health and social work activities;2019;128.0;84.0;26.48;2405.0;2401.0;33610.0;28860.0;4750.0;80.0;24.2;24.1;1088.0;1645.0
5516;Total;Total;60 to 64 years;Q Health and social work activities;2020;135.0;89.0;27.25;2465.0;2460.0;34500.0;29580.0;4920.0;80.0;24.1;24.1;1083.0;1643.0
5517;Total;Total;60 to 64 years;Q Health and social work activities;2021;141.0;93.0;27.72;2526.0;2520.0;35280.0;30310.0;4980.0;80.0;24.1;24.1;1091.0;1652.0
5518;Total;Total;60 to 64 years;Q Health and social work activities;2022;146.0;97.0;28.55;2599.0;2593.0;36230.0;31180.0;5040.0;80.0;24.1;24.1;1090.0;1652.0
5519;Total;Total;60 to 64 years;Q Health and social work activities;2023;152.0;100.0;30.03;2714.0;2710.0;37690.0;32570.0;5120.0;80.0;24.1;24.1;1083.0;1644.0
5520;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2009;13.0;8.0;22.79;2047.0;2033.0;28000.0;24560.0;3440.0;350.0;23.7;23.6;1070.0;1683.0
5521;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2010 before change of method;14.0;9.0;23.07;2096.0;2085.0;28800.0;25150.0;3640.0;340.0;24.1;23.9;1084.0;1676.0
5522;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2010 after change of method;14.0;9.0;22.94;2071.0;2061.0;28470.0;24860.0;3610.0;360.0;23.9;23.8;1078.0;1681.0
5523;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2011;15.0;10.0;23.15;2120.0;2112.0;29220.0;25440.0;3780.0;330.0;24.0;24.0;1095.0;1690.0
5524;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2012;15.0;10.0;24.11;2215.0;2208.0;30500.0;26590.0;3910.0;330.0;24.3;24.2;1099.0;1678.0
5525;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2013;15.0;10.0;24.45;2285.0;2276.0;31900.0;27420.0;4480.0;330.0;24.8;24.7;1117.0;1685.0
5526;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2014;16.0;11.0;24.6;2342.0;2334.0;32380.0;28110.0;4280.0;290.0;25.2;25.1;1138.0;1692.0
5527;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2015;16.0;11.0;25.51;2434.0;2426.0;33550.0;29200.0;4350.0;270.0;25.4;25.3;1141.0;1690.0
5528;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2016;16.0;11.0;25.58;2462.0;2453.0;33820.0;29540.0;4280.0;260.0;25.4;25.3;1151.0;1702.0
5529;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2017;17.0;12.0;25.97;2516.0;2509.0;34510.0;30200.0;4320.0;270.0;25.6;25.5;1160.0;1708.0
5530;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2018;18.0;12.0;26.3;2560.0;2552.0;35020.0;30720.0;4300.0;290.0;25.8;25.7;1164.0;1702.0
5531;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2019;19.0;13.0;26.73;2621.0;2614.0;35930.0;31460.0;4470.0;310.0;25.8;25.8;1173.0;1712.0
5532;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2020;20.0;14.0;27.62;2716.0;2710.0;37230.0;32590.0;4640.0;330.0;26.0;25.9;1177.0;1710.0
5533;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2021;20.0;14.0;27.91;2783.0;2776.0;38100.0;33400.0;4700.0;340.0;26.2;26.1;1194.0;1725.0
5534;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2022;21.0;14.0;28.34;2827.0;2819.0;38800.0;33920.0;4870.0;370.0;26.2;26.1;1194.0;1725.0
5535;Total;Total;60 to 64 years;R-U Culture, recreation, other services;2023;21.0;15.0;29.88;2986.0;2978.0;40800.0;35830.0;4970.0;400.0;26.4;26.3;1196.0;1721.0
5536;Total;Total;60 to 64 years;R Culture, sports and recreation;2009;6.0;3.0;21.3;1890.0;1878.0;25490.0;22680.0;2800.0;280.0;23.4;23.3;1058.0;1684.0
5537;Total;Total;60 to 64 years;R Culture, sports and recreation;2010 before change of method;6.0;4.0;21.22;1905.0;1894.0;25690.0;22860.0;2830.0;260.0;23.7;23.6;1071.0;1680.0
5538;Total;Total;60 to 64 years;R Culture, sports and recreation;2010 after change of method;6.0;4.0;21.21;1903.0;1891.0;25670.0;22830.0;2840.0;290.0;23.7;23.6;1070.0;1682.0
5539;Total;Total;60 to 64 years;R Culture, sports and recreation;2011;6.0;4.0;21.31;1940.0;1931.0;26380.0;23280.0;3100.0;260.0;23.8;23.8;1087.0;1696.0
5540;Total;Total;60 to 64 years;R Culture, sports and recreation;2012;7.0;4.0;22.33;2021.0;2015.0;27590.0;24250.0;3340.0;270.0;24.0;23.9;1083.0;1680.0
5541;Total;Total;60 to 64 years;R Culture, sports and recreation;2013;6.0;4.0;22.7;2086.0;2079.0;28470.0;25030.0;3440.0;250.0;24.4;24.4;1099.0;1680.0
5542;Total;Total;60 to 64 years;R Culture, sports and recreation;2014;7.0;4.0;22.99;2141.0;2134.0;29330.0;25690.0;3640.0;220.0;24.7;24.6;1114.0;1690.0
5543;Total;Total;60 to 64 years;R Culture, sports and recreation;2015;7.0;5.0;23.6;2193.0;2185.0;29720.0;26310.0;3410.0;190.0;24.7;24.7;1111.0;1684.0
5544;Total;Total;60 to 64 years;R Culture, sports and recreation;2016;7.0;5.0;23.59;2224.0;2218.0;30090.0;26690.0;3400.0;180.0;24.8;24.7;1128.0;1708.0
5545;Total;Total;60 to 64 years;R Culture, sports and recreation;2017;8.0;5.0;23.88;2271.0;2265.0;30650.0;27250.0;3400.0;190.0;24.9;24.9;1138.0;1718.0
5546;Total;Total;60 to 64 years;R Culture, sports and recreation;2018;8.0;6.0;24.33;2309.0;2303.0;31050.0;27700.0;3340.0;200.0;25.0;24.9;1136.0;1710.0
5547;Total;Total;60 to 64 years;R Culture, sports and recreation;2019;9.0;6.0;24.73;2354.0;2349.0;31800.0;28250.0;3550.0;210.0;24.9;24.9;1140.0;1720.0
5548;Total;Total;60 to 64 years;R Culture, sports and recreation;2020;9.0;6.0;25.57;2438.0;2434.0;32870.0;29260.0;3620.0;240.0;25.1;25.0;1142.0;1715.0
5549;Total;Total;60 to 64 years;R Culture, sports and recreation;2021;9.0;6.0;25.85;2493.0;2489.0;33570.0;29920.0;3650.0;250.0;25.2;25.1;1155.0;1730.0
5550;Total;Total;60 to 64 years;R Culture, sports and recreation;2022;10.0;7.0;26.38;2527.0;2523.0;34190.0;30330.0;3860.0;270.0;25.0;25.0;1147.0;1728.0
5551;Total;Total;60 to 64 years;R Culture, sports and recreation;2023;10.0;7.0;27.99;2693.0;2688.0;36400.0;32310.0;4090.0;310.0;25.2;25.2;1152.0;1722.0
5552;Total;Total;60 to 64 years;S Other service activities;2009;7.0;5.0;23.88;2162.0;2148.0;29890.0;25950.0;3940.0;400.0;23.9;23.8;1079.0;1681.0
5553;Total;Total;60 to 64 years;S Other service activities;2010 before change of method;8.0;5.0;24.44;2241.0;2230.0;31150.0;26890.0;4260.0;400.0;24.3;24.2;1095.0;1673.0
5554;Total;Total;60 to 64 years;S Other service activities;2010 after change of method;8.0;5.0;24.2;2196.0;2185.0;30540.0;26350.0;4190.0;400.0;24.0;23.9;1083.0;1680.0
5555;Total;Total;60 to 64 years;S Other service activities;2011;8.0;5.0;24.53;2258.0;2250.0;31390.0;27100.0;4290.0;380.0;24.2;24.1;1100.0;1686.0
5556;Total;Total;60 to 64 years;S Other service activities;2012;8.0;6.0;25.46;2368.0;2359.0;32780.0;28420.0;4360.0;390.0;24.6;24.5;1112.0;1677.0
5557;Total;Total;60 to 64 years;S Other service activities;2013;9.0;6.0;25.72;2434.0;2424.0;34470.0;29200.0;5270.0;390.0;25.1;25.0;1131.0;1688.0
5558;Total;Total;60 to 64 years;S Other service activities;2014;9.0;6.0;25.8;2497.0;2488.0;34730.0;29970.0;4760.0;350.0;25.6;25.5;1157.0;1693.0
5559;Total;Total;60 to 64 years;S Other service activities;2015;9.0;6.0;26.95;2623.0;2615.0;36560.0;31480.0;5090.0;330.0;25.9;25.8;1164.0;1694.0
5560;Total;Total;60 to 64 years;S Other service activities;2016;9.0;6.0;27.15;2657.0;2647.0;36890.0;31880.0;5010.0;320.0;26.0;25.9;1170.0;1697.0
5561;Total;Total;60 to 64 years;S Other service activities;2017;9.0;6.0;27.67;2724.0;2716.0;37780.0;32690.0;5090.0;340.0;26.1;26.0;1178.0;1699.0
5562;Total;Total;60 to 64 years;S Other service activities;2018;10.0;7.0;27.95;2780.0;2770.0;38490.0;33360.0;5140.0;360.0;26.4;26.3;1189.0;1695.0
5563;Total;Total;60 to 64 years;S Other service activities;2019;10.0;7.0;28.42;2861.0;2852.0;39640.0;34340.0;5300.0;390.0;26.6;26.5;1204.0;1706.0
5564;Total;Total;60 to 64 years;S Other service activities;2020;10.0;7.0;29.34;2963.0;2955.0;41100.0;35560.0;5540.0;400.0;26.8;26.7;1208.0;1705.0
5565;Total;Total;60 to 64 years;S Other service activities;2021;11.0;8.0;29.61;3037.0;3028.0;42070.0;36450.0;5620.0;420.0;27.0;26.9;1227.0;1720.0
5566;Total;Total;60 to 64 years;S Other service activities;2022;11.0;8.0;30.04;3105.0;3095.0;43080.0;37260.0;5820.0;460.0;27.3;27.2;1236.0;1723.0
5567;Total;Total;60 to 64 years;S Other service activities;2023;11.0;8.0;31.51;3256.0;3244.0;44850.0;39070.0;5790.0;490.0;27.4;27.3;1236.0;1721.0
5568;Total;Total;65 to 74 years;A-U All economic activities;2009;60.0;27.0;19.14;1261.0;1247.0;17070.0;15130.0;1940.0;720.0;17.4;17.2;782.0;1733.0
5569;Total;Total;65 to 74 years;A-U All economic activities;2010 before change of method;64.0;29.0;19.72;1294.0;1281.0;17770.0;15530.0;2240.0;740.0;17.3;17.2;779.0;1722.0
5570;Total;Total;65 to 74 years;A-U All economic activities;2010 after change of method;68.0;31.0;19.32;1305.0;1292.0;17850.0;15660.0;2190.0;820.0;17.8;17.7;803.0;1734.0
5571;Total;Total;65 to 74 years;A-U All economic activities;2011;79.0;35.0;20.45;1346.0;1332.0;18320.0;16150.0;2170.0;770.0;17.2;17.1;782.0;1742.0
5572;Total;Total;65 to 74 years;A-U All economic activities;2012;87.0;39.0;21.19;1366.0;1353.0;18540.0;16400.0;2150.0;800.0;17.0;16.9;766.0;1728.0
5573;Total;Total;65 to 74 years;A-U All economic activities;2013;94.0;42.0;21.22;1397.0;1383.0;19100.0;16770.0;2330.0;760.0;17.4;17.3;782.0;1734.0
5574;Total;Total;65 to 74 years;A-U All economic activities;2014;98.0;45.0;21.52;1443.0;1429.0;19930.0;17320.0;2610.0;730.0;17.7;17.5;797.0;1748.0
5575;Total;Total;65 to 74 years;A-U All economic activities;2015;106.0;52.0;22.57;1616.0;1601.0;22800.0;19400.0;3400.0;680.0;19.0;18.8;851.0;1747.0
5576;Total;Total;65 to 74 years;A-U All economic activities;2016;119.0;62.0;23.28;1784.0;1766.0;25230.0;21400.0;3820.0;640.0;20.2;20.0;910.0;1750.0
5577;Total;Total;65 to 74 years;A-U All economic activities;2017;137.0;75.0;23.8;1918.0;1899.0;28320.0;23020.0;5300.0;600.0;21.2;21.0;957.0;1757.0
5578;Total;Total;65 to 74 years;A-U All economic activities;2018;161.0;91.0;24.36;2028.0;2007.0;28610.0;24330.0;4280.0;580.0;22.0;21.8;989.0;1744.0
5579;Total;Total;65 to 74 years;A-U All economic activities;2019;188.0;110.0;24.85;2146.0;2125.0;30140.0;25750.0;4390.0;560.0;22.8;22.5;1026.0;1749.0
5580;Total;Total;65 to 74 years;A-U All economic activities;2020;193.0;117.0;25.8;2293.0;2273.0;32660.0;27520.0;5140.0;590.0;23.5;23.3;1057.0;1752.0
5581;Total;Total;65 to 74 years;A-U All economic activities;2021;204.0;124.0;26.25;2367.0;2344.0;33710.0;28400.0;5310.0;580.0;23.7;23.4;1072.0;1762.0
5582;Total;Total;65 to 74 years;A-U All economic activities;2022;233.0;142.0;27.19;2450.0;2428.0;34810.0;29400.0;5400.0;570.0;23.7;23.5;1072.0;1758.0
5583;Total;Total;65 to 74 years;A-U All economic activities;2023;262.0;162.0;28.94;2626.0;2605.0;37170.0;31510.0;5660.0;590.0;23.9;23.8;1080.0;1749.0
5584;Total;Total;65 to 74 years;A-F Agriculture and industry;2009;9.0;4.0;19.28;1357.0;1342.0;18320.0;16280.0;2040.0;1020.0;18.8;18.6;835.0;1744.0
5585;Total;Total;65 to 74 years;A-F Agriculture and industry;2010 before change of method;9.0;5.0;19.77;1424.0;1409.0;19160.0;17090.0;2060.0;1110.0;19.1;19.0;855.0;1740.0
5586;Total;Total;65 to 74 years;A-F Agriculture and industry;2010 after change of method;10.0;5.0;19.52;1430.0;1415.0;19210.0;17160.0;2050.0;1190.0;19.4;19.3;870.0;1747.0
5587;Total;Total;65 to 74 years;A-F Agriculture and industry;2011;11.0;5.0;20.33;1474.0;1458.0;19750.0;17680.0;2070.0;1110.0;19.1;18.9;861.0;1762.0
5588;Total;Total;65 to 74 years;A-F Agriculture and industry;2012;12.0;6.0;21.34;1507.0;1493.0;20350.0;18090.0;2260.0;1140.0;18.8;18.7;839.0;1744.0
5589;Total;Total;65 to 74 years;A-F Agriculture and industry;2013;12.0;6.0;21.31;1548.0;1530.0;21220.0;18570.0;2640.0;1030.0;19.3;19.2;862.0;1754.0
5590;Total;Total;65 to 74 years;A-F Agriculture and industry;2014;13.0;7.0;21.37;1582.0;1568.0;21830.0;18980.0;2850.0;1000.0;19.6;19.5;881.0;1770.0
5591;Total;Total;65 to 74 years;A-F Agriculture and industry;2015;15.0;8.0;22.41;1797.0;1775.0;25720.0;21560.0;4160.0;820.0;21.3;21.1;950.0;1764.0
5592;Total;Total;65 to 74 years;A-F Agriculture and industry;2016;18.0;10.0;22.8;1998.0;1975.0;28480.0;23980.0;4500.0;750.0;23.2;23.0;1039.0;1766.0
5593;Total;Total;65 to 74 years;A-F Agriculture and industry;2017;21.0;13.0;23.17;2168.0;2143.0;37080.0;26020.0;11060.0;730.0;24.7;24.5;1110.0;1760.0
5594;Total;Total;65 to 74 years;A-F Agriculture and industry;2018;25.0;17.0;23.72;2332.0;2304.0;32920.0;27980.0;4940.0;700.0;26.1;25.8;1166.0;1754.0
5595;Total;Total;65 to 74 years;A-F Agriculture and industry;2019;30.0;21.0;24.15;2491.0;2460.0;35080.0;29900.0;5180.0;670.0;27.2;27.0;1222.0;1763.0
5596;Total;Total;65 to 74 years;A-F Agriculture and industry;2020;32.0;23.0;25.08;2637.0;2608.0;37400.0;31650.0;5760.0;680.0;27.9;27.6;1248.0;1766.0
5597;Total;Total;65 to 74 years;A-F Agriculture and industry;2021;34.0;24.0;25.42;2697.0;2664.0;38730.0;32360.0;6370.0;690.0;27.9;27.6;1258.0;1779.0
5598;Total;Total;65 to 74 years;A-F Agriculture and industry;2022;37.0;26.0;26.71;2849.0;2816.0;40540.0;34180.0;6360.0;710.0;28.1;27.8;1265.0;1774.0
5599;Total;Total;65 to 74 years;A-F Agriculture and industry;2023;41.0;30.0;28.75;3111.0;3075.0;44260.0;37330.0;6920.0;740.0;28.6;28.3;1284.0;1767.0
5600;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2009;2.0;1.0;12.93;807.0;801.0;10240.0;9680.0;560.0;440.0;16.6;16.5;743.0;1716.0
5601;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2010 before change of method;2.0;1.0;13.48;902.0;897.0;11420.0;10820.0;600.0;550.0;17.8;17.8;799.0;1702.0
5602;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2010 after change of method;2.0;1.0;13.58;920.0;915.0;11650.0;11040.0;610.0;590.0;18.0;17.9;808.0;1708.0
5603;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2011;2.0;1.0;14.05;948.0;943.0;12080.0;11380.0;700.0;590.0;17.8;17.7;806.0;1739.0
5604;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2012;2.0;1.0;15.16;992.0;986.0;12540.0;11900.0;630.0;630.0;17.4;17.3;780.0;1726.0
5605;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2013;2.0;1.0;15.12;1012.0;1005.0;12790.0;12140.0;640.0;560.0;17.8;17.7;797.0;1731.0
5606;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2014;2.0;1.0;15.32;1031.0;1027.0;13080.0;12370.0;700.0;610.0;17.9;17.8;804.0;1753.0
5607;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2015;2.0;1.0;16.87;1173.0;1164.0;16070.0;14080.0;1990.0;560.0;18.5;18.4;828.0;1746.0
5608;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2016;2.0;1.0;17.71;1255.0;1246.0;16370.0;15060.0;1310.0;510.0;18.8;18.7;845.0;1759.0
5609;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2017;3.0;1.0;18.39;1346.0;1334.0;18450.0;16150.0;2300.0;500.0;19.4;19.3;870.0;1757.0
5610;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2018;3.0;1.0;18.79;1437.0;1422.0;18740.0;17240.0;1490.0;480.0;20.3;20.2;908.0;1757.0
5611;Total;Total;65 to 74 years;A Agriculture, forestry and fishing;2019;3.0;2.0;19.58;1568.0;1554.0;20390.0;18820.0;1570.0;480.0;21.1;21.0;952.0;1772.0
