ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
399;S Total Services;China;2024;3491.0;2802.0;-689.0
400;S Total Services;Colombia;2020 1st quarter;63.0;126.0;63.0
401;S Total Services;Colombia;2020 2nd quarter;48.0;119.0;71.0
402;S Total Services;Colombia;2020 3rd quarter;45.0;67.0;22.0
403;S Total Services;Colombia;2020 4th quarter;47.0;78.0;31.0
404;S Total Services;Colombia;2020;203.0;391.0;188.0
405;S Total Services;Colombia;2021 1st quarter;45.0;48.0;3.0
406;S Total Services;Colombia;2021 2nd quarter;45.0;52.0;7.0
407;S Total Services;Colombia;2021 3rd quarter;31.0;68.0;37.0
408;S Total Services;Colombia;2021 4th quarter;50.0;76.0;26.0
409;S Total Services;Colombia;2021;170.0;243.0;73.0
410;S Total Services;Colombia;2022 1st quarter;45.0;81.0;36.0
411;S Total Services;Colombia;2022 2nd quarter;56.0;87.0;31.0
412;S Total Services;Colombia;2022 3rd quarter;62.0;87.0;25.0
413;S Total Services;Colombia;2022 4th quarter;61.0;101.0;40.0
414;S Total Services;Colombia;2022;223.0;356.0;132.0
415;S Total Services;Colombia;2023 1st quarter;44.0;89.0;44.0
416;S Total Services;Colombia;2023 2nd quarter;48.0;103.0;55.0
417;S Total Services;Colombia;2023 3rd quarter;62.0;104.0;42.0
418;S Total Services;Colombia;2023 4th quarter;57.0;130.0;73.0
419;S Total Services;Colombia;2023;211.0;426.0;215.0
420;S Total Services;Colombia;2024 1st quarter;71.0;108.0;36.0
421;S Total Services;Colombia;2024 2nd quarter;67.0;112.0;45.0
422;S Total Services;Colombia;2024 3rd quarter;77.0;179.0;102.0
423;S Total Services;Colombia;2024 4th quarter;74.0;121.0;46.0
424;S Total Services;Colombia;2024;290.0;519.0;229.0
425;S Total Services;Croatia;2020 1st quarter;47.0;35.0;-12.0
426;S Total Services;Croatia;2020 2nd quarter;37.0;26.0;-11.0
427;S Total Services;Croatia;2020 3rd quarter;63.0;78.0;16.0
428;S Total Services;Croatia;2020 4th quarter;47.0;34.0;-13.0
429;S Total Services;Croatia;2020;194.0;174.0;-20.0
430;S Total Services;Croatia;2021 1st quarter;44.0;31.0;-13.0
431;S Total Services;Croatia;2021 2nd quarter;53.0;33.0;-21.0
432;S Total Services;Croatia;2021 3rd quarter;158.0;122.0;-36.0
433;S Total Services;Croatia;2021 4th quarter;65.0;64.0;0.0
434;S Total Services;Croatia;2021;319.0;249.0;-70.0
435;S Total Services;Croatia;2022 1st quarter;47.0;46.0;-1.0
436;S Total Services;Croatia;2022 2nd quarter;88.0;58.0;-30.0
437;S Total Services;Croatia;2022 3rd quarter;226.0;215.0;-11.0
438;S Total Services;Croatia;2022 4th quarter;74.0;93.0;19.0
439;S Total Services;Croatia;2022;434.0;412.0;-22.0
440;S Total Services;Croatia;2023 1st quarter;144.0;61.0;-83.0
441;S Total Services;Croatia;2023 2nd quarter;125.0;84.0;-41.0
442;S Total Services;Croatia;2023 3rd quarter;202.0;285.0;83.0
443;S Total Services;Croatia;2023 4th quarter;104.0;112.0;8.0
444;S Total Services;Croatia;2023;575.0;542.0;-33.0
445;S Total Services;Croatia;2024 1st quarter;89.0;76.0;-13.0
446;S Total Services;Croatia;2024 2nd quarter;169.0;105.0;-64.0
447;S Total Services;Croatia;2024 3rd quarter;252.0;119.0;-133.0
448;S Total Services;Croatia;2024 4th quarter;129.0;108.0;-21.0
449;S Total Services;Croatia;2024;639.0;408.0;-231.0
450;S Total Services;Cuba;2020 1st quarter;10.0;4.0;-5.0
451;S Total Services;Cuba;2020 2nd quarter;0.0;2.0;1.0
452;S Total Services;Cuba;2020 3rd quarter;0.0;2.0;1.0
453;S Total Services;Cuba;2020 4th quarter;0.0;1.0;1.0
454;S Total Services;Cuba;2020;11.0;9.0;-2.0
455;S Total Services;Cuba;2021 1st quarter;1.0;3.0;2.0
456;S Total Services;Cuba;2021 2nd quarter;0.0;2.0;2.0
457;S Total Services;Cuba;2021 3rd quarter;0.0;3.0;2.0
458;S Total Services;Cuba;2021 4th quarter;1.0;4.0;4.0
459;S Total Services;Cuba;2021;2.0;12.0;10.0
460;S Total Services;Cuba;2022 1st quarter;0.0;6.0;5.0
461;S Total Services;Cuba;2022 2nd quarter;2.0;4.0;2.0
462;S Total Services;Cuba;2022 3rd quarter;19.0;7.0;-12.0
463;S Total Services;Cuba;2022 4th quarter;4.0;4.0;1.0
464;S Total Services;Cuba;2022;26.0;21.0;-4.0
465;S Total Services;Cuba;2023 1st quarter;1.0;2.0;1.0
466;S Total Services;Cuba;2023 2nd quarter;20.0;8.0;-12.0
467;S Total Services;Cuba;2023 3rd quarter;3.0;2.0;-1.0
468;S Total Services;Cuba;2023 4th quarter;7.0;3.0;-4.0
469;S Total Services;Cuba;2023;31.0;15.0;-17.0
470;S Total Services;Cuba;2024 1st quarter;2.0;2.0;1.0
471;S Total Services;Cuba;2024 2nd quarter;14.0;4.0;-10.0
472;S Total Services;Cuba;2024 3rd quarter;1.0;2.0;1.0
473;S Total Services;Cuba;2024 4th quarter;0.0;2.0;1.0
474;S Total Services;Cuba;2024;17.0;10.0;-7.0
475;S Total Services;Curaçao;2020 1st quarter;135.0;28.0;-107.0
476;S Total Services;Curaçao;2020 2nd quarter;14.0;11.0;-2.0
477;S Total Services;Curaçao;2020 3rd quarter;20.0;14.0;-6.0
478;S Total Services;Curaçao;2020 4th quarter;31.0;12.0;-19.0
479;S Total Services;Curaçao;2020;200.0;66.0;-134.0
480;S Total Services;Curaçao;2021 1st quarter;33.0;13.0;-20.0
481;S Total Services;Curaçao;2021 2nd quarter;30.0;18.0;-12.0
482;S Total Services;Curaçao;2021 3rd quarter;88.0;32.0;-56.0
483;S Total Services;Curaçao;2021 4th quarter;84.0;28.0;-56.0
484;S Total Services;Curaçao;2021;235.0;91.0;-144.0
485;S Total Services;Curaçao;2022 1st quarter;82.0;24.0;-59.0
486;S Total Services;Curaçao;2022 2nd quarter;47.0;24.0;-24.0
487;S Total Services;Curaçao;2022 3rd quarter;74.0;32.0;-42.0
488;S Total Services;Curaçao;2022 4th quarter;69.0;28.0;-41.0
489;S Total Services;Curaçao;2022;273.0;108.0;-165.0
490;S Total Services;Curaçao;2023 1st quarter;71.0;25.0;-46.0
491;S Total Services;Curaçao;2023 2nd quarter;36.0;21.0;-14.0
492;S Total Services;Curaçao;2023 3rd quarter;48.0;34.0;-14.0
493;S Total Services;Curaçao;2023 4th quarter;41.0;26.0;-15.0
494;S Total Services;Curaçao;2023;195.0;106.0;-89.0
495;S Total Services;Curaçao;2024 1st quarter;86.0;33.0;-52.0
496;S Total Services;Curaçao;2024 2nd quarter;48.0;35.0;-13.0
497;S Total Services;Curaçao;2024 3rd quarter;43.0;34.0;-8.0
498;S Total Services;Curaçao;2024 4th quarter;49.0;30.0;-18.0
499;S Total Services;Curaçao;2024;225.0;133.0;-92.0
500;S Total Services;Cyprus;2020 1st quarter;152.0;86.0;-65.0
501;S Total Services;Cyprus;2020 2nd quarter;151.0;78.0;-73.0
502;S Total Services;Cyprus;2020 3rd quarter;164.0;80.0;-84.0
503;S Total Services;Cyprus;2020 4th quarter;211.0;101.0;-110.0
504;S Total Services;Cyprus;2020;677.0;345.0;-332.0
505;S Total Services;Cyprus;2021 1st quarter;153.0;82.0;-71.0
506;S Total Services;Cyprus;2021 2nd quarter;255.0;90.0;-164.0
507;S Total Services;Cyprus;2021 3rd quarter;164.0;115.0;-49.0
508;S Total Services;Cyprus;2021 4th quarter;211.0;127.0;-84.0
509;S Total Services;Cyprus;2021;782.0;414.0;-368.0
510;S Total Services;Cyprus;2022 1st quarter;106.0;118.0;12.0
511;S Total Services;Cyprus;2022 2nd quarter;151.0;113.0;-38.0
512;S Total Services;Cyprus;2022 3rd quarter;142.0;124.0;-18.0
513;S Total Services;Cyprus;2022 4th quarter;141.0;150.0;10.0
514;S Total Services;Cyprus;2022;540.0;506.0;-34.0
515;S Total Services;Cyprus;2023 1st quarter;156.0;136.0;-20.0
516;S Total Services;Cyprus;2023 2nd quarter;146.0;143.0;-3.0
517;S Total Services;Cyprus;2023 3rd quarter;148.0;169.0;22.0
518;S Total Services;Cyprus;2023 4th quarter;171.0;187.0;16.0
519;S Total Services;Cyprus;2023;621.0;635.0;14.0
520;S Total Services;Cyprus;2024 1st quarter;158.0;122.0;-36.0
521;S Total Services;Cyprus;2024 2nd quarter;211.0;153.0;-58.0
522;S Total Services;Cyprus;2024 3rd quarter;176.0;151.0;-25.0
523;S Total Services;Cyprus;2024 4th quarter;201.0;174.0;-27.0
524;S Total Services;Cyprus;2024;746.0;601.0;-146.0
525;S Total Services;Czechia;2020 1st quarter;268.0;325.0;57.0
526;S Total Services;Czechia;2020 2nd quarter;248.0;264.0;16.0
527;S Total Services;Czechia;2020 3rd quarter;265.0;303.0;38.0
528;S Total Services;Czechia;2020 4th quarter;314.0;327.0;13.0
529;S Total Services;Czechia;2020;1094.0;1218.0;124.0
530;S Total Services;Czechia;2021 1st quarter;331.0;279.0;-52.0
531;S Total Services;Czechia;2021 2nd quarter;409.0;304.0;-105.0
532;S Total Services;Czechia;2021 3rd quarter;377.0;352.0;-25.0
533;S Total Services;Czechia;2021 4th quarter;485.0;449.0;-36.0
534;S Total Services;Czechia;2021;1603.0;1385.0;-218.0
535;S Total Services;Czechia;2022 1st quarter;399.0;303.0;-96.0
536;S Total Services;Czechia;2022 2nd quarter;471.0;404.0;-67.0
537;S Total Services;Czechia;2022 3rd quarter;482.0;405.0;-77.0
538;S Total Services;Czechia;2022 4th quarter;492.0;659.0;166.0
539;S Total Services;Czechia;2022;1844.0;1770.0;-74.0
540;S Total Services;Czechia;2023 1st quarter;458.0;421.0;-37.0
541;S Total Services;Czechia;2023 2nd quarter;453.0;504.0;51.0
542;S Total Services;Czechia;2023 3rd quarter;490.0;543.0;53.0
543;S Total Services;Czechia;2023 4th quarter;489.0;827.0;337.0
544;S Total Services;Czechia;2023;1891.0;2294.0;404.0
545;S Total Services;Czechia;2024 1st quarter;398.0;428.0;30.0
546;S Total Services;Czechia;2024 2nd quarter;446.0;561.0;115.0
547;S Total Services;Czechia;2024 3rd quarter;470.0;577.0;107.0
548;S Total Services;Czechia;2024 4th quarter;633.0;756.0;124.0
549;S Total Services;Czechia;2024;1946.0;2322.0;376.0
550;S Total Services;Denmark;2020 1st quarter;399.0;744.0;345.0
551;S Total Services;Denmark;2020 2nd quarter;366.0;686.0;320.0
552;S Total Services;Denmark;2020 3rd quarter;428.0;658.0;230.0
553;S Total Services;Denmark;2020 4th quarter;441.0;708.0;267.0
554;S Total Services;Denmark;2020;1634.0;2796.0;1162.0
555;S Total Services;Denmark;2021 1st quarter;416.0;660.0;244.0
556;S Total Services;Denmark;2021 2nd quarter;448.0;731.0;283.0
557;S Total Services;Denmark;2021 3rd quarter;486.0;820.0;334.0
558;S Total Services;Denmark;2021 4th quarter;598.0;907.0;309.0
559;S Total Services;Denmark;2021;1948.0;3117.0;1169.0
560;S Total Services;Denmark;2022 1st quarter;545.0;813.0;267.0
561;S Total Services;Denmark;2022 2nd quarter;599.0;926.0;327.0
562;S Total Services;Denmark;2022 3rd quarter;633.0;1196.0;562.0
563;S Total Services;Denmark;2022 4th quarter;619.0;1431.0;812.0
564;S Total Services;Denmark;2022;2397.0;4366.0;1968.0
565;S Total Services;Denmark;2023 1st quarter;620.0;1049.0;429.0
566;S Total Services;Denmark;2023 2nd quarter;667.0;1055.0;388.0
567;S Total Services;Denmark;2023 3rd quarter;757.0;1077.0;320.0
568;S Total Services;Denmark;2023 4th quarter;684.0;1204.0;520.0
569;S Total Services;Denmark;2023;2728.0;4385.0;1657.0
570;S Total Services;Denmark;2024 1st quarter;680.0;1062.0;382.0
571;S Total Services;Denmark;2024 2nd quarter;705.0;1173.0;468.0
572;S Total Services;Denmark;2024 3rd quarter;719.0;1154.0;435.0
573;S Total Services;Denmark;2024 4th quarter;747.0;1302.0;556.0
574;S Total Services;Denmark;2024;2851.0;4692.0;1841.0
575;S Total Services;Ecuador;2020 1st quarter;11.0;55.0;44.0
576;S Total Services;Ecuador;2020 2nd quarter;4.0;43.0;38.0
577;S Total Services;Ecuador;2020 3rd quarter;7.0;47.0;40.0
578;S Total Services;Ecuador;2020 4th quarter;6.0;59.0;52.0
579;S Total Services;Ecuador;2020;28.0;203.0;175.0
580;S Total Services;Ecuador;2021 1st quarter;5.0;29.0;24.0
581;S Total Services;Ecuador;2021 2nd quarter;6.0;27.0;21.0
582;S Total Services;Ecuador;2021 3rd quarter;7.0;37.0;30.0
583;S Total Services;Ecuador;2021 4th quarter;10.0;58.0;48.0
584;S Total Services;Ecuador;2021;27.0;150.0;123.0
585;S Total Services;Ecuador;2022 1st quarter;8.0;40.0;33.0
586;S Total Services;Ecuador;2022 2nd quarter;11.0;48.0;37.0
587;S Total Services;Ecuador;2022 3rd quarter;17.0;53.0;35.0
588;S Total Services;Ecuador;2022 4th quarter;13.0;67.0;54.0
589;S Total Services;Ecuador;2022;49.0;208.0;159.0
590;S Total Services;Ecuador;2023 1st quarter;11.0;48.0;37.0
591;S Total Services;Ecuador;2023 2nd quarter;13.0;54.0;41.0
592;S Total Services;Ecuador;2023 3rd quarter;19.0;50.0;31.0
593;S Total Services;Ecuador;2023 4th quarter;58.0;69.0;11.0
594;S Total Services;Ecuador;2023;100.0;220.0;120.0
595;S Total Services;Ecuador;2024 1st quarter;11.0;46.0;35.0
596;S Total Services;Ecuador;2024 2nd quarter;10.0;52.0;42.0
597;S Total Services;Ecuador;2024 3rd quarter;12.0;48.0;36.0
598;S Total Services;Ecuador;2024 4th quarter;11.0;57.0;46.0
599;S Total Services;Ecuador;2024;45.0;203.0;158.0
600;S Total Services;Egypt;2020 1st quarter;62.0;95.0;33.0
601;S Total Services;Egypt;2020 2nd quarter;44.0;75.0;31.0
602;S Total Services;Egypt;2020 3rd quarter;24.0;74.0;49.0
603;S Total Services;Egypt;2020 4th quarter;18.0;75.0;57.0
604;S Total Services;Egypt;2020;148.0;318.0;170.0
605;S Total Services;Egypt;2021 1st quarter;27.0;71.0;44.0
606;S Total Services;Egypt;2021 2nd quarter;19.0;70.0;51.0
607;S Total Services;Egypt;2021 3rd quarter;25.0;74.0;49.0
608;S Total Services;Egypt;2021 4th quarter;46.0;73.0;27.0
609;S Total Services;Egypt;2021;118.0;288.0;171.0
610;S Total Services;Egypt;2022 1st quarter;62.0;61.0;-1.0
611;S Total Services;Egypt;2022 2nd quarter;76.0;84.0;8.0
612;S Total Services;Egypt;2022 3rd quarter;91.0;87.0;-4.0
613;S Total Services;Egypt;2022 4th quarter;96.0;86.0;-10.0
614;S Total Services;Egypt;2022;325.0;318.0;-6.0
615;S Total Services;Egypt;2023 1st quarter;85.0;76.0;-10.0
616;S Total Services;Egypt;2023 2nd quarter;66.0;82.0;17.0
617;S Total Services;Egypt;2023 3rd quarter;67.0;84.0;17.0
618;S Total Services;Egypt;2023 4th quarter;102.0;93.0;-10.0
619;S Total Services;Egypt;2023;320.0;335.0;15.0
620;S Total Services;Egypt;2024 1st quarter;87.0;74.0;-14.0
621;S Total Services;Egypt;2024 2nd quarter;98.0;73.0;-25.0
622;S Total Services;Egypt;2024 3rd quarter;77.0;78.0;1.0
623;S Total Services;Egypt;2024 4th quarter;155.0;89.0;-65.0
624;S Total Services;Egypt;2024;417.0;314.0;-103.0
625;S Total Services;Estonia;2020 1st quarter;28.0;37.0;8.0
626;S Total Services;Estonia;2020 2nd quarter;26.0;30.0;3.0
627;S Total Services;Estonia;2020 3rd quarter;29.0;33.0;4.0
628;S Total Services;Estonia;2020 4th quarter;40.0;37.0;-3.0
629;S Total Services;Estonia;2020;124.0;137.0;13.0
630;S Total Services;Estonia;2021 1st quarter;33.0;41.0;8.0
631;S Total Services;Estonia;2021 2nd quarter;37.0;47.0;9.0
632;S Total Services;Estonia;2021 3rd quarter;39.0;57.0;18.0
633;S Total Services;Estonia;2021 4th quarter;53.0;59.0;6.0
634;S Total Services;Estonia;2021;161.0;203.0;42.0
635;S Total Services;Estonia;2022 1st quarter;64.0;67.0;2.0
636;S Total Services;Estonia;2022 2nd quarter;74.0;76.0;2.0
637;S Total Services;Estonia;2022 3rd quarter;76.0;82.0;6.0
638;S Total Services;Estonia;2022 4th quarter;84.0;81.0;-3.0
639;S Total Services;Estonia;2022;298.0;306.0;8.0
640;S Total Services;Estonia;2023 1st quarter;96.0;82.0;-13.0
641;S Total Services;Estonia;2023 2nd quarter;81.0;86.0;5.0
642;S Total Services;Estonia;2023 3rd quarter;87.0;99.0;12.0
643;S Total Services;Estonia;2023 4th quarter;87.0;101.0;14.0
644;S Total Services;Estonia;2023;351.0;368.0;17.0
645;S Total Services;Estonia;2024 1st quarter;80.0;91.0;11.0
646;S Total Services;Estonia;2024 2nd quarter;86.0;89.0;2.0
647;S Total Services;Estonia;2024 3rd quarter;82.0;93.0;10.0
648;S Total Services;Estonia;2024 4th quarter;78.0;97.0;19.0
649;S Total Services;Estonia;2024;327.0;369.0;42.0
650;S Total Services;European Union Institutions (excl. ECB);2020 1st quarter;0.0;164.0;164.0
651;S Total Services;European Union Institutions (excl. ECB);2020 2nd quarter;0.0;161.0;161.0
652;S Total Services;European Union Institutions (excl. ECB);2020 3rd quarter;0.0;127.0;127.0
653;S Total Services;European Union Institutions (excl. ECB);2020 4th quarter;0.0;152.0;152.0
654;S Total Services;European Union Institutions (excl. ECB);2020;0.0;605.0;605.0
655;S Total Services;European Union Institutions (excl. ECB);2021 1st quarter;0.0;162.0;162.0
656;S Total Services;European Union Institutions (excl. ECB);2021 2nd quarter;0.0;142.0;142.0
657;S Total Services;European Union Institutions (excl. ECB);2021 3rd quarter;-1.0;224.0;224.0
658;S Total Services;European Union Institutions (excl. ECB);2021 4th quarter;0.0;285.0;285.0
659;S Total Services;European Union Institutions (excl. ECB);2021;-2.0;812.0;814.0
660;S Total Services;European Union Institutions (excl. ECB);2022 1st quarter;14.0;276.0;262.0
661;S Total Services;European Union Institutions (excl. ECB);2022 2nd quarter;0.0;293.0;293.0
662;S Total Services;European Union Institutions (excl. ECB);2022 3rd quarter;1.0;323.0;322.0
663;S Total Services;European Union Institutions (excl. ECB);2022 4th quarter;2.0;304.0;302.0
664;S Total Services;European Union Institutions (excl. ECB);2022;18.0;1196.0;1178.0
665;S Total Services;European Union Institutions (excl. ECB);2023 1st quarter;-5.0;311.0;316.0
666;S Total Services;European Union Institutions (excl. ECB);2023 2nd quarter;-5.0;289.0;294.0
667;S Total Services;European Union Institutions (excl. ECB);2023 3rd quarter;-4.0;287.0;291.0
668;S Total Services;European Union Institutions (excl. ECB);2023 4th quarter;-6.0;265.0;271.0
669;S Total Services;European Union Institutions (excl. ECB);2023;-20.0;1152.0;1173.0
670;S Total Services;European Union Institutions (excl. ECB);2024 1st quarter;-6.0;243.0;248.0
671;S Total Services;European Union Institutions (excl. ECB);2024 2nd quarter;0.0;261.0;261.0
672;S Total Services;European Union Institutions (excl. ECB);2024 3rd quarter;0.0;282.0;282.0
673;S Total Services;European Union Institutions (excl. ECB);2024 4th quarter;0.0;370.0;370.0
674;S Total Services;European Union Institutions (excl. ECB);2024;-6.0;1155.0;1161.0
675;S Total Services;European Union (excl. the Netherlands);2020 1st quarter;22296.0;24621.0;2325.0
676;S Total Services;European Union (excl. the Netherlands);2020 2nd quarter;19329.0;22648.0;3319.0
677;S Total Services;European Union (excl. the Netherlands);2020 3rd quarter;21875.0;23621.0;1746.0
678;S Total Services;European Union (excl. the Netherlands);2020 4th quarter;23837.0;24967.0;1130.0
679;S Total Services;European Union (excl. the Netherlands);2020;87337.0;95857.0;8520.0
680;S Total Services;European Union (excl. the Netherlands);2021 1st quarter;21230.0;21964.0;734.0
681;S Total Services;European Union (excl. the Netherlands);2021 2nd quarter;23713.0;25035.0;1322.0
682;S Total Services;European Union (excl. the Netherlands);2021 3rd quarter;26251.0;28713.0;2462.0
683;S Total Services;European Union (excl. the Netherlands);2021 4th quarter;30293.0;33941.0;3648.0
684;S Total Services;European Union (excl. the Netherlands);2021;101487.0;109653.0;8166.0
685;S Total Services;European Union (excl. the Netherlands);2022 1st quarter;27171.0;29708.0;2537.0
686;S Total Services;European Union (excl. the Netherlands);2022 2nd quarter;30693.0;37812.0;7119.0
687;S Total Services;European Union (excl. the Netherlands);2022 3rd quarter;32914.0;38133.0;5219.0
688;S Total Services;European Union (excl. the Netherlands);2022 4th quarter;33604.0;45207.0;11603.0
689;S Total Services;European Union (excl. the Netherlands);2022;124382.0;150861.0;26478.0
690;S Total Services;European Union (excl. the Netherlands);2023 1st quarter;32649.0;33286.0;637.0
691;S Total Services;European Union (excl. the Netherlands);2023 2nd quarter;33982.0;37246.0;3264.0
692;S Total Services;European Union (excl. the Netherlands);2023 3rd quarter;35755.0;38331.0;2575.0
693;S Total Services;European Union (excl. the Netherlands);2023 4th quarter;37070.0;42117.0;5047.0
694;S Total Services;European Union (excl. the Netherlands);2023;139456.0;150979.0;11523.0
695;S Total Services;European Union (excl. the Netherlands);2024 1st quarter;33630.0;34352.0;722.0
696;S Total Services;European Union (excl. the Netherlands);2024 2nd quarter;35635.0;39694.0;4059.0
697;S Total Services;European Union (excl. the Netherlands);2024 3rd quarter;37622.0;38997.0;1375.0
698;S Total Services;European Union (excl. the Netherlands);2024 4th quarter;39679.0;44579.0;4900.0
699;S Total Services;European Union (excl. the Netherlands);2024;146566.0;157622.0;11056.0
700;S Total Services;Eurozone (excl. the Netherlands);2020 1st quarter;19235.0;20622.0;1387.0
701;S Total Services;Eurozone (excl. the Netherlands);2020 2nd quarter;16548.0;18977.0;2429.0
702;S Total Services;Eurozone (excl. the Netherlands);2020 3rd quarter;18899.0;20026.0;1127.0
703;S Total Services;Eurozone (excl. the Netherlands);2020 4th quarter;20533.0;21139.0;606.0
