ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
410;Total natural persons;Nederland, Abroad, Unclassifiable;2005 March;
411;Total natural persons;Nederland, Abroad, Unclassifiable;2005 1st quarter;
412;Total natural persons;Nederland, Abroad, Unclassifiable;2005 April;
413;Total natural persons;Nederland, Abroad, Unclassifiable;2005 May;
414;Total natural persons;Nederland, Abroad, Unclassifiable;2005 June;
415;Total natural persons;Nederland, Abroad, Unclassifiable;2005 2nd quarter;
416;Total natural persons;Nederland, Abroad, Unclassifiable;2005 July;
417;Total natural persons;Nederland, Abroad, Unclassifiable;2005 August;
418;Total natural persons;Nederland, Abroad, Unclassifiable;2005 September;
419;Total natural persons;Nederland, Abroad, Unclassifiable;2005 3rd quarter;
420;Total natural persons;Nederland, Abroad, Unclassifiable;2005 October;
421;Total natural persons;Nederland, Abroad, Unclassifiable;2005 November;
422;Total natural persons;Nederland, Abroad, Unclassifiable;2005 December;
423;Total natural persons;Nederland, Abroad, Unclassifiable;2005 4th quarter;
424;Total natural persons;Nederland, Abroad, Unclassifiable;2005;
425;Total natural persons;Nederland, Abroad, Unclassifiable;2006 January;
426;Total natural persons;Nederland, Abroad, Unclassifiable;2006 February;
427;Total natural persons;Nederland, Abroad, Unclassifiable;2006 March;
428;Total natural persons;Nederland, Abroad, Unclassifiable;2006 1st quarter;
429;Total natural persons;Nederland, Abroad, Unclassifiable;2006 April;
430;Total natural persons;Nederland, Abroad, Unclassifiable;2006 May;
431;Total natural persons;Nederland, Abroad, Unclassifiable;2006 June;
432;Total natural persons;Nederland, Abroad, Unclassifiable;2006 2nd quarter;
433;Total natural persons;Nederland, Abroad, Unclassifiable;2006 July;
434;Total natural persons;Nederland, Abroad, Unclassifiable;2006 August;
435;Total natural persons;Nederland, Abroad, Unclassifiable;2006 September;
436;Total natural persons;Nederland, Abroad, Unclassifiable;2006 3rd quarter;
437;Total natural persons;Nederland, Abroad, Unclassifiable;2006 October;
438;Total natural persons;Nederland, Abroad, Unclassifiable;2006 November;
439;Total natural persons;Nederland, Abroad, Unclassifiable;2006 December;
440;Total natural persons;Nederland, Abroad, Unclassifiable;2006 4th quarter;
441;Total natural persons;Nederland, Abroad, Unclassifiable;2006;
442;Total natural persons;Nederland, Abroad, Unclassifiable;2007 January;
443;Total natural persons;Nederland, Abroad, Unclassifiable;2007 February;
444;Total natural persons;Nederland, Abroad, Unclassifiable;2007 March;
445;Total natural persons;Nederland, Abroad, Unclassifiable;2007 1st quarter;
446;Total natural persons;Nederland, Abroad, Unclassifiable;2007 April;
447;Total natural persons;Nederland, Abroad, Unclassifiable;2007 May;
448;Total natural persons;Nederland, Abroad, Unclassifiable;2007 June;
449;Total natural persons;Nederland, Abroad, Unclassifiable;2007 2nd quarter;
450;Total natural persons;Nederland, Abroad, Unclassifiable;2007 July;
451;Total natural persons;Nederland, Abroad, Unclassifiable;2007 August;
452;Total natural persons;Nederland, Abroad, Unclassifiable;2007 September;
453;Total natural persons;Nederland, Abroad, Unclassifiable;2007 3rd quarter;
454;Total natural persons;Nederland, Abroad, Unclassifiable;2007 October;
455;Total natural persons;Nederland, Abroad, Unclassifiable;2007 November;
456;Total natural persons;Nederland, Abroad, Unclassifiable;2007 December;
457;Total natural persons;Nederland, Abroad, Unclassifiable;2007 4th quarter;
458;Total natural persons;Nederland, Abroad, Unclassifiable;2007;
459;Total natural persons;Nederland, Abroad, Unclassifiable;2008 January;
460;Total natural persons;Nederland, Abroad, Unclassifiable;2008 February;
461;Total natural persons;Nederland, Abroad, Unclassifiable;2008 March;
462;Total natural persons;Nederland, Abroad, Unclassifiable;2008 1st quarter;
463;Total natural persons;Nederland, Abroad, Unclassifiable;2008 April;
464;Total natural persons;Nederland, Abroad, Unclassifiable;2008 May;
465;Total natural persons;Nederland, Abroad, Unclassifiable;2008 June;
466;Total natural persons;Nederland, Abroad, Unclassifiable;2008 2nd quarter;
467;Total natural persons;Nederland, Abroad, Unclassifiable;2008 July;
468;Total natural persons;Nederland, Abroad, Unclassifiable;2008 August;
469;Total natural persons;Nederland, Abroad, Unclassifiable;2008 September;
470;Total natural persons;Nederland, Abroad, Unclassifiable;2008 3rd quarter;
471;Total natural persons;Nederland, Abroad, Unclassifiable;2008 October;
472;Total natural persons;Nederland, Abroad, Unclassifiable;2008 November;
473;Total natural persons;Nederland, Abroad, Unclassifiable;2008 December;
474;Total natural persons;Nederland, Abroad, Unclassifiable;2008 4th quarter;
475;Total natural persons;Nederland, Abroad, Unclassifiable;2008;
476;Total natural persons;Nederland, Abroad, Unclassifiable;2009 January;326.0
477;Total natural persons;Nederland, Abroad, Unclassifiable;2009 February;228.0
478;Total natural persons;Nederland, Abroad, Unclassifiable;2009 March;362.0
479;Total natural persons;Nederland, Abroad, Unclassifiable;2009 1st quarter;916.0
480;Total natural persons;Nederland, Abroad, Unclassifiable;2009 April;317.0
481;Total natural persons;Nederland, Abroad, Unclassifiable;2009 May;262.0
482;Total natural persons;Nederland, Abroad, Unclassifiable;2009 June;325.0
483;Total natural persons;Nederland, Abroad, Unclassifiable;2009 2nd quarter;904.0
484;Total natural persons;Nederland, Abroad, Unclassifiable;2009 July;282.0
485;Total natural persons;Nederland, Abroad, Unclassifiable;2009 August;261.0
486;Total natural persons;Nederland, Abroad, Unclassifiable;2009 September;285.0
487;Total natural persons;Nederland, Abroad, Unclassifiable;2009 3rd quarter;828.0
488;Total natural persons;Nederland, Abroad, Unclassifiable;2009 October;309.0
489;Total natural persons;Nederland, Abroad, Unclassifiable;2009 November;283.0
490;Total natural persons;Nederland, Abroad, Unclassifiable;2009 December;289.0
491;Total natural persons;Nederland, Abroad, Unclassifiable;2009 4th quarter;881.0
492;Total natural persons;Nederland, Abroad, Unclassifiable;2009;3529.0
493;Total natural persons;Nederland, Abroad, Unclassifiable;2010 January;309.0
494;Total natural persons;Nederland, Abroad, Unclassifiable;2010 February;263.0
495;Total natural persons;Nederland, Abroad, Unclassifiable;2010 March;362.0
496;Total natural persons;Nederland, Abroad, Unclassifiable;2010 1st quarter;934.0
497;Total natural persons;Nederland, Abroad, Unclassifiable;2010 April;289.0
498;Total natural persons;Nederland, Abroad, Unclassifiable;2010 May;204.0
499;Total natural persons;Nederland, Abroad, Unclassifiable;2010 June;332.0
500;Total natural persons;Nederland, Abroad, Unclassifiable;2010 2nd quarter;825.0
501;Total natural persons;Nederland, Abroad, Unclassifiable;2010 July;238.0
502;Total natural persons;Nederland, Abroad, Unclassifiable;2010 August;305.0
503;Total natural persons;Nederland, Abroad, Unclassifiable;2010 September;261.0
504;Total natural persons;Nederland, Abroad, Unclassifiable;2010 3rd quarter;804.0
505;Total natural persons;Nederland, Abroad, Unclassifiable;2010 October;241.0
506;Total natural persons;Nederland, Abroad, Unclassifiable;2010 November;305.0
507;Total natural persons;Nederland, Abroad, Unclassifiable;2010 December;220.0
508;Total natural persons;Nederland, Abroad, Unclassifiable;2010 4th quarter;766.0
509;Total natural persons;Nederland, Abroad, Unclassifiable;2010;3329.0
510;Total natural persons;Nederland, Abroad, Unclassifiable;2011 January;249.0
511;Total natural persons;Nederland, Abroad, Unclassifiable;2011 February;273.0
512;Total natural persons;Nederland, Abroad, Unclassifiable;2011 March;346.0
513;Total natural persons;Nederland, Abroad, Unclassifiable;2011 1st quarter;868.0
514;Total natural persons;Nederland, Abroad, Unclassifiable;2011 April;252.0
515;Total natural persons;Nederland, Abroad, Unclassifiable;2011 May;334.0
516;Total natural persons;Nederland, Abroad, Unclassifiable;2011 June;241.0
517;Total natural persons;Nederland, Abroad, Unclassifiable;2011 2nd quarter;827.0
518;Total natural persons;Nederland, Abroad, Unclassifiable;2011 July;244.0
519;Total natural persons;Nederland, Abroad, Unclassifiable;2011 August;307.0
520;Total natural persons;Nederland, Abroad, Unclassifiable;2011 September;267.0
521;Total natural persons;Nederland, Abroad, Unclassifiable;2011 3rd quarter;818.0
522;Total natural persons;Nederland, Abroad, Unclassifiable;2011 October;276.0
523;Total natural persons;Nederland, Abroad, Unclassifiable;2011 November;386.0
524;Total natural persons;Nederland, Abroad, Unclassifiable;2011 December;239.0
525;Total natural persons;Nederland, Abroad, Unclassifiable;2011 4th quarter;901.0
526;Total natural persons;Nederland, Abroad, Unclassifiable;2011;3414.0
527;Total natural persons;Nederland, Abroad, Unclassifiable;2012 January;350.0
528;Total natural persons;Nederland, Abroad, Unclassifiable;2012 February;345.0
529;Total natural persons;Nederland, Abroad, Unclassifiable;2012 March;336.0
530;Total natural persons;Nederland, Abroad, Unclassifiable;2012 1st quarter;1031.0
531;Total natural persons;Nederland, Abroad, Unclassifiable;2012 April;271.0
532;Total natural persons;Nederland, Abroad, Unclassifiable;2012 May;338.0
533;Total natural persons;Nederland, Abroad, Unclassifiable;2012 June;292.0
534;Total natural persons;Nederland, Abroad, Unclassifiable;2012 2nd quarter;901.0
535;Total natural persons;Nederland, Abroad, Unclassifiable;2012 July;366.0
536;Total natural persons;Nederland, Abroad, Unclassifiable;2012 August;306.0
537;Total natural persons;Nederland, Abroad, Unclassifiable;2012 September;334.0
538;Total natural persons;Nederland, Abroad, Unclassifiable;2012 3rd quarter;1006.0
539;Total natural persons;Nederland, Abroad, Unclassifiable;2012 October;392.0
540;Total natural persons;Nederland, Abroad, Unclassifiable;2012 November;388.0
541;Total natural persons;Nederland, Abroad, Unclassifiable;2012 December;281.0
542;Total natural persons;Nederland, Abroad, Unclassifiable;2012 4th quarter;1061.0
543;Total natural persons;Nederland, Abroad, Unclassifiable;2012;3999.0
544;Total natural persons;Nederland, Abroad, Unclassifiable;2013 January;370.0
545;Total natural persons;Nederland, Abroad, Unclassifiable;2013 February;303.0
546;Total natural persons;Nederland, Abroad, Unclassifiable;2013 March;389.0
547;Total natural persons;Nederland, Abroad, Unclassifiable;2013 1st quarter;1062.0
548;Total natural persons;Nederland, Abroad, Unclassifiable;2013 April;341.0
549;Total natural persons;Nederland, Abroad, Unclassifiable;2013 May;385.0
550;Total natural persons;Nederland, Abroad, Unclassifiable;2013 June;335.0
551;Total natural persons;Nederland, Abroad, Unclassifiable;2013 2nd quarter;1061.0
552;Total natural persons;Nederland, Abroad, Unclassifiable;2013 July;373.0
553;Total natural persons;Nederland, Abroad, Unclassifiable;2013 August;268.0
554;Total natural persons;Nederland, Abroad, Unclassifiable;2013 September;283.0
555;Total natural persons;Nederland, Abroad, Unclassifiable;2013 3rd quarter;924.0
556;Total natural persons;Nederland, Abroad, Unclassifiable;2013 October;385.0
557;Total natural persons;Nederland, Abroad, Unclassifiable;2013 November;339.0
558;Total natural persons;Nederland, Abroad, Unclassifiable;2013 December;302.0
559;Total natural persons;Nederland, Abroad, Unclassifiable;2013 4th quarter;1026.0
560;Total natural persons;Nederland, Abroad, Unclassifiable;2013;4073.0
561;Total natural persons;Nederland, Abroad, Unclassifiable;2014 January;340.0
562;Total natural persons;Nederland, Abroad, Unclassifiable;2014 February;291.0
563;Total natural persons;Nederland, Abroad, Unclassifiable;2014 March;255.0
564;Total natural persons;Nederland, Abroad, Unclassifiable;2014 1st quarter;886.0
565;Total natural persons;Nederland, Abroad, Unclassifiable;2014 April;324.0
566;Total natural persons;Nederland, Abroad, Unclassifiable;2014 May;240.0
567;Total natural persons;Nederland, Abroad, Unclassifiable;2014 June;189.0
568;Total natural persons;Nederland, Abroad, Unclassifiable;2014 2nd quarter;753.0
569;Total natural persons;Nederland, Abroad, Unclassifiable;2014 July;235.0
570;Total natural persons;Nederland, Abroad, Unclassifiable;2014 August;214.0
571;Total natural persons;Nederland, Abroad, Unclassifiable;2014 September;260.0
572;Total natural persons;Nederland, Abroad, Unclassifiable;2014 3rd quarter;709.0
573;Total natural persons;Nederland, Abroad, Unclassifiable;2014 October;223.0
574;Total natural persons;Nederland, Abroad, Unclassifiable;2014 November;211.0
575;Total natural persons;Nederland, Abroad, Unclassifiable;2014 December;242.0
576;Total natural persons;Nederland, Abroad, Unclassifiable;2014 4th quarter;676.0
577;Total natural persons;Nederland, Abroad, Unclassifiable;2014;3024.0
578;Total natural persons;Nederland, Abroad, Unclassifiable;2015 January;194.0
579;Total natural persons;Nederland, Abroad, Unclassifiable;2015 February;199.0
580;Total natural persons;Nederland, Abroad, Unclassifiable;2015 March;217.0
581;Total natural persons;Nederland, Abroad, Unclassifiable;2015 1st quarter;610.0
582;Total natural persons;Nederland, Abroad, Unclassifiable;2015 April;169.0
583;Total natural persons;Nederland, Abroad, Unclassifiable;2015 May;137.0
584;Total natural persons;Nederland, Abroad, Unclassifiable;2015 June;173.0
585;Total natural persons;Nederland, Abroad, Unclassifiable;2015 2nd quarter;479.0
586;Total natural persons;Nederland, Abroad, Unclassifiable;2015 July;159.0
587;Total natural persons;Nederland, Abroad, Unclassifiable;2015 August;128.0
588;Total natural persons;Nederland, Abroad, Unclassifiable;2015 September;181.0
589;Total natural persons;Nederland, Abroad, Unclassifiable;2015 3rd quarter;468.0
590;Total natural persons;Nederland, Abroad, Unclassifiable;2015 October;164.0
591;Total natural persons;Nederland, Abroad, Unclassifiable;2015 November;135.0
592;Total natural persons;Nederland, Abroad, Unclassifiable;2015 December;211.0
593;Total natural persons;Nederland, Abroad, Unclassifiable;2015 4th quarter;510.0
594;Total natural persons;Nederland, Abroad, Unclassifiable;2015;2067.0
595;Total natural persons;Nederland, Abroad, Unclassifiable;2016 January;126.0
596;Total natural persons;Nederland, Abroad, Unclassifiable;2016 February;134.0
597;Total natural persons;Nederland, Abroad, Unclassifiable;2016 March;191.0
598;Total natural persons;Nederland, Abroad, Unclassifiable;2016 1st quarter;451.0
599;Total natural persons;Nederland, Abroad, Unclassifiable;2016 April;136.0
600;Total natural persons;Nederland, Abroad, Unclassifiable;2016 May;148.0
601;Total natural persons;Nederland, Abroad, Unclassifiable;2016 June;131.0
