ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
1004;Oudheusden;01 jan 1830 ;01 mei 1935 ;GM1145  ;Noord-Brabant                      ;NB.            ;18300101;19350501    
1005;Oudhuizen;01 jan 1830 ;01 jan 1858 ;GM1357  ;Utrecht                            ;U.             ;18300101;18580101    
1006;Oudkarspel;01 jan 1830 ;01 aug 1941 ;GM1146  ;Noord-Holland                      ;NH.            ;18300101;19410801    
1007;Oudorp;01 jan 1830 ;01 okt 1972 ;GM0438  ;Noord-Holland                      ;NH.            ;18300101;19721001    
1008;Oudshoorn;01 jan 1830 ;01 jan 1918 ;GM1147  ;Zuid-Holland                       ;ZH.            ;18300101;19180101    
1009;Oud-Valkenburg;02 jan 1839 ;01 okt 1940 ;GM1140  ;Limburg                            ;L.             ;18390102;19401001    
1010;Oud-Vossemeer;01 jan 1830 ;01 jul 1971 ;GM0696  ;Zeeland                            ;Z.             ;18300101;19710701    
1011;Oud-Vroenhoven;02 jan 1839 ;01 jan 1920 ;GM1141  ;Limburg                            ;L.             ;18390102;19200101    
1012;Oud-Wulven;01 jan 1830 ;01 jan 1858 ;GM1355  ;Utrecht                            ;U.             ;18300101;18580101    
1013;Oukoop;01 jan 1830 ;19 aug 1857 ;GM1358  ;Zuid-Holland                       ;ZH.            ;18300101;18570819    
1014;Ouwerkerk;01 jan 1830 ;01 jan 1961 ;GM1148  ;Zeeland                            ;Z.             ;18300101;19610101    
1015;Overasselt;01 jan 1830 ;01 jul 1980 ;GM0271  ;Gelderland                         ;Gld.           ;18300101;19800701    
1016;Overbetuwe;01 jan 2001 ;            ;GM1734  ;Gelderland                         ;Gld.           ;20010101;            
1017;Overschie;01 jan 1830 ;01 aug 1941 ;GM1149  ;Zuid-Holland                       ;ZH.            ;18300101;19410801    
1018;Overslag;01 jan 1830 ;01 apr 1970 ;GM0697  ;Zeeland                            ;Z.             ;18300101;19700401    
1019;Ovezande;01 jan 1830 ;01 jan 1970 ;GM0698  ;Zeeland                            ;Z.             ;18300101;19700101    
1020;Pannerden;01 jan 1830 ;01 jan 1985 ;GM0272  ;Gelderland                         ;Gld.           ;18300101;19850101    
1021;Papekop;01 jan 1830 ;01 feb 1964 ;GM1151  ;Zuid-Holland                       ;ZH.            ;18300101;19640201    
1022;Papendrecht;01 jan 1830 ;            ;GM0590  ;Zuid-Holland                       ;ZH.            ;18300101;            
1023;Peel en Maas;01 jan 2010 ;            ;GM1894  ;Limburg                            ;L.             ;20100101;            
1024;Peize;01 jan 1830 ;01 jan 1998 ;GM0124  ;Drenthe                            ;D.             ;18300101;19980101    
1025;Pekela;01 jan 1990 ;            ;GM0765  ;Groningen                          ;Gr.            ;19900101;            
1026;Pernis;01 jan 1830 ;01 mei 1934 ;GM1152  ;Zuid-Holland                       ;ZH.            ;18300101;19340501    
1027;Petten;01 jan 1830 ;01 mei 1929 ;GM1153  ;Noord-Holland                      ;NH.            ;18300101;19290501    
1028;Peursum;01 jan 1830 ;01 jan 1957 ;GM1154  ;Zuid-Holland                       ;ZH.            ;18300101;19570101    
1029;Philippine;01 jan 1830 ;01 apr 1970 ;GM0699  ;Zeeland                            ;Z.             ;18300101;19700401    
1030;Piershil;01 jan 1830 ;01 jan 1984 ;GM0591  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
1031;Pijnacker;01 jan 1830 ;01 jan 2002 ;GM0594  ;Zuid-Holland                       ;ZH.            ;18300101;20020101    
1032;Pijnacker-Nootdorp;01 jan 2002 ;            ;GM1926  ;Zuid-Holland                       ;ZH.            ;20020101;            
1033;Poederoijen;01 jan 1830 ;01 jul 1955 ;GM1155  ;Gelderland                         ;Gld.           ;18300101;19550701    
1034;Polsbroek;13 jun 1857 ;01 jan 1989 ;GM0338  ;Utrecht                            ;U.             ;18570613;19890101    
1035;Poortugaal;01 jan 1830 ;01 jan 1985 ;GM0592  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
1036;Poortvliet;01 jan 1830 ;01 jul 1971 ;GM0700  ;Zeeland                            ;Z.             ;18300101;19710701    
1037;Portengen;01 jan 1830 ;13 jun 1857 ;GM1359  ;Utrecht                            ;U.             ;18300101;18570613    
1038;Posterholt;02 jan 1839 ;01 feb 1994 ;GM0956  ;Limburg                            ;L.             ;18390102;19940201    
1039;Princenhage;01 jan 1830 ;01 jan 1942 ;GM1156  ;Noord-Brabant                      ;NB.            ;18300101;19420101    
1040;Prinsenbeek;01 jan 1951 ;01 jan 1997 ;GM0832  ;Noord-Brabant                      ;NB.            ;19510101;19970101    
1041;Purmerend;01 jan 1830 ;            ;GM0439  ;Noord-Holland                      ;NH.            ;18300101;            
1042;Putte;01 jan 1830 ;01 jan 1997 ;GM0833  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1043;Putten;01 jan 1830 ;            ;GM0273  ;Gelderland                         ;Gld.           ;18300101;            
1044;Puttershoek;01 jan 1830 ;01 jan 1984 ;GM0593  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
1045;Raalte;01 jan 1830 ;            ;GM0177  ;Overijssel                         ;O.             ;18300101;            
1046;Raamsdonk;01 jan 1830 ;01 jan 1997 ;GM0834  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1047;Ransdorp;01 jan 1830 ;01 jan 1921 ;GM1157  ;Noord-Holland                      ;NH.            ;18300101;19210101    
1048;Rauwerderhem;01 jan 1830 ;01 jan 1984 ;GM0087  ;Friesland                          ;F.             ;18300101;19840101    
1049;Ravenstein;01 jan 1830 ;01 jan 2003 ;GM0835  ;Noord-Brabant                      ;NB.            ;18300101;20030101    
1050;Reek;01 jan 1830 ;01 jul 1942 ;GM1158  ;Noord-Brabant                      ;NB.            ;18300101;19420701    
1051;Reeuwijk;01 jan 1830 ;01 jan 2011 ;GM0595  ;Zuid-Holland                       ;ZH.            ;18300101;20110101    
1052;Reiderland;01 jul 1991 ;01 jan 2010 ;GM1661  ;Groningen                          ;Gr.            ;19910701;20100101    
1053;Reimerswaal;01 jan 1970 ;            ;GM0703  ;Zeeland                            ;Z.             ;19700101;            
1054;Renesse;01 jan 1830 ;01 jan 1961 ;GM1159  ;Zeeland                            ;Z.             ;18300101;19610101    
1055;Renkum;01 jan 1830 ;            ;GM0274  ;Gelderland                         ;Gld.           ;18300101;            
1056;Renswoude;01 jan 1830 ;            ;GM0339  ;Utrecht                            ;U.             ;18300101;            
1057;Retranchement;01 jan 1830 ;01 apr 1970 ;GM0701  ;Zeeland                            ;Z.             ;18300101;19700401    
1058;Reusel;01 jan 1830 ;01 jan 1997 ;GM0836  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1059;Reusel-De Mierden;01 jan 1997 ;            ;GM1667  ;Noord-Brabant                      ;NB.            ;19970101;            
1060;Rheden;01 jan 1830 ;            ;GM0275  ;Gelderland                         ;Gld.           ;18300101;            
1061;Rhenen;01 jan 1830 ;            ;GM0340  ;Utrecht                            ;U.             ;18300101;            
1062;Rhijnauwen;01 jan 1830 ;08 sep 1857 ;GM1360  ;Utrecht                            ;U.             ;18300101;18570908    
1063;Rhoon;01 jan 1830 ;01 jan 1985 ;GM0596  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
1064;Ridderkerk;01 jan 1830 ;            ;GM0597  ;Zuid-Holland                       ;ZH.            ;18300101;            
1065;Riethoven;01 jan 1830 ;01 jan 1997 ;GM0837  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1066;Rietveld;01 jan 1830 ;01 feb 1964 ;GM1160  ;Zuid-Holland                       ;ZH.            ;18300101;19640201    
1067;Rietwijkeroord;01 jan 1830 ;13 apr 1854 ;GM1361  ;Noord-Holland                      ;NH.            ;18300101;18540413    
1068;Rijckholt;02 jan 1839 ;01 jan 1943 ;GM1165  ;Limburg                            ;L.             ;18390102;19430101    
1069;Rijneveld;01 jan 1991 ;01 jan 1993 ;GM0646  ;Zuid-Holland                       ;ZH.            ;19910101;19930101    
1070;Rijnsaterwoude;01 jan 1830 ;01 jan 1991 ;GM0601  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
1071;Rijnsburg;01 jan 1830 ;01 jan 2006 ;GM0602  ;Zuid-Holland                       ;ZH.            ;18300101;20060101    
1072;Rijnwaarden;01 jan 1985 ;01 jan 2018 ;GM0196  ;Gelderland                         ;Gld.           ;19850101;20180101    
1073;Rijnwoude;01 jan 1993 ;01 jan 2014 ;GM1672  ;Zuid-Holland                       ;ZH.            ;19930101;20140101    
1074;De Rijp;01 jan 1830 ;01 aug 1970 ;GM0440  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1075;Rijsbergen;01 jan 1830 ;01 jan 1997 ;GM0841  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1076;Rijsenburg;01 jan 1830 ;01 mei 1931 ;GM1166  ;Utrecht                            ;U.             ;18300101;19310501    
1077;Rijsoort;01 jan 1830 ;01 jan 1846 ;GM1362  ;Zuid-Holland                       ;ZH.            ;18300101;18460101    
1078;Rijsoort en Strevelshoek;01 jan 1846 ;01 sep 1855 ;GM1258  ;Zuid-Holland                       ;ZH.            ;18460101;18550901    
1079;Rijssen;01 jan 1830 ;15 mrt 2003 ;GM0178  ;Overijssel                         ;O.             ;18300101;20030315    
1080;Rijssen-Holten;15 mrt 2003 ;            ;GM1742  ;Overijssel                         ;O.             ;20030315;            
1081;Rijswijk (NB.);01 jan 1830 ;01 jan 1973 ;GM0842  ;Noord-Brabant                      ;NB.            ;18300101;19730101    
1082;Rijswijk (ZH.);01 jan 1830 ;            ;GM0603  ;Zuid-Holland                       ;ZH.            ;18300101;            
1083;Rilland;01 jan 1830 ;10 dec 1877 ;GM1161  ;Zeeland                            ;Z.             ;18300101;18771210    
1084;Rilland-Bath;01 jul 1877 ;01 jan 1970 ;GM0702  ;Zeeland                            ;Z.             ;18770701;19700101    
1085;Rimburg;02 jan 1839 ;10 dec 1886 ;GM1162  ;Limburg                            ;L.             ;18390102;18861210    
1086;Ritthem;01 jan 1830 ;01 jul 1966 ;GM1163  ;Zeeland                            ;Z.             ;18300101;19660701    
1087;Rockanje;01 jan 1830 ;01 jan 1980 ;GM0598  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
1088;Roden;01 jan 1830 ;01 jan 1998 ;GM0125  ;Drenthe                            ;D.             ;18300101;19980101    
1089;Roerdalen;01 jan 1993 ;            ;GM1669  ;Limburg                            ;L.             ;19930101;            
1090;Roermond;02 jan 1839 ;            ;GM0957  ;Limburg                            ;L.             ;18390102;            
1091;Roggel;02 jan 1839 ;01 jan 1993 ;GM0958  ;Limburg                            ;L.             ;18390102;19930101    
1092;Roggel en Neer;01 jan 1993 ;01 jan 2007 ;GM1670  ;Limburg                            ;L.             ;19930101;20070101    
1093;Rolde;01 jan 1830 ;01 jan 1998 ;GM0126  ;Drenthe                            ;D.             ;18300101;19980101    
1094;De Ronde Venen;01 jan 1989 ;            ;GM0736  ;Utrecht                            ;U.             ;19890101;            
1095;Roosendaal;01 jan 1997 ;            ;GM1674  ;Noord-Brabant                      ;NB.            ;19970101;            
1096;Roosendaal en Nispen;01 jan 1830 ;01 jan 1997 ;GM0838  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1097;Roosteren;02 jan 1839 ;01 jan 1982 ;GM0959  ;Limburg                            ;L.             ;18390102;19820101    
1098;Rosmalen;01 jan 1830 ;01 jan 1996 ;GM0839  ;Noord-Brabant                      ;NB.            ;18300101;19960101    
1099;Rossum;01 jan 1830 ;01 jan 1999 ;GM0276  ;Gelderland                         ;Gld.           ;18300101;19990101    
1100;Rotterdam;01 jan 1830 ;            ;GM0599  ;Zuid-Holland                       ;ZH.            ;18300101;            
1101;Roxenisse;01 jan 1830 ;01 jan 1858 ;GM1363  ;Zuid-Holland                       ;ZH.            ;18300101;18580101    
1102;Rozenburg;01 jan 1830 ;18 mrt 2010 ;GM0600  ;Zuid-Holland                       ;ZH.            ;18300101;20100318    
1103;Rozendaal;01 jan 1830 ;            ;GM0277  ;Gelderland                         ;Gld.           ;18300101;            
1104;Rucphen;01 jan 1830 ;            ;GM0840  ;Noord-Brabant                      ;NB.            ;18300101;            
1105;Ruijven;01 jan 1830 ;09 feb 1845 ;GM1364  ;Zuid-Holland                       ;ZH.            ;18300101;18450209    
1106;Ruinen;01 jan 1830 ;01 jan 1998 ;GM0127  ;Drenthe                            ;D.             ;18300101;19980101    
1107;Ruinerwold;01 jan 1830 ;01 jan 1998 ;GM0128  ;Drenthe                            ;D.             ;18300101;19980101    
1108;Ruurlo;01 jan 1830 ;01 jan 2005 ;GM0278  ;Gelderland                         ;Gld.           ;18300101;20050101    
1109;Ruwiel;01 jan 1830 ;01 apr 1964 ;GM1164  ;Utrecht                            ;U.             ;18300101;19640401    
1110;Sambeek;01 jan 1830 ;01 mei 1942 ;GM1167  ;Noord-Brabant                      ;NB.            ;18300101;19420501    
1111;Sandelinge-Ambacht;01 jan 1830 ;18 jul 1855 ;GM1365  ;Zuid-Holland                       ;ZH.            ;18300101;18550718    
1112;Sappemeer;01 jan 1830 ;01 apr 1949 ;GM1168  ;Groningen                          ;Gr.            ;18300101;19490401    
1113;Sas van Gent;01 jan 1830 ;01 jan 2003 ;GM0704  ;Zeeland                            ;Z.             ;18300101;20030101    
1114;Sassenheim;01 jan 1830 ;01 jan 2006 ;GM0604  ;Zuid-Holland                       ;ZH.            ;18300101;20060101    
1115;Schaesberg;02 jan 1839 ;01 jan 1982 ;GM0960  ;Limburg                            ;L.             ;18390102;19820101    
1116;Schagen;01 jan 1830 ;            ;GM0441  ;Noord-Holland                      ;NH.            ;18300101;            
1117;Schaijk;01 jan 1830 ;01 jan 1994 ;GM0843  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
1118;Schalkwijk;01 jan 1830 ;01 jan 1962 ;GM1169  ;Utrecht                            ;U.             ;18300101;19620101    
1119;Schardam;01 jan 1830 ;13 mei 1854 ;GM1366  ;Noord-Holland                      ;NH.            ;18300101;18540513    
1120;Scharsterland;01 jan 1984 ;01 mrt 1985 ;GM0139  ;Friesland                          ;F.             ;19840101;19850301    
1121;Scharwoude;01 jan 1830 ;13 apr 1854 ;GM1367  ;Noord-Holland                      ;NH.            ;18300101;18540413    
1122;Scheemda;01 jan 1830 ;01 jan 2010 ;GM0039  ;Groningen                          ;Gr.            ;18300101;20100101    
1123;Schellingwoude;01 jan 1830 ;13 jun 1857 ;GM1368  ;Noord-Holland                      ;NH.            ;18300101;18570613    
1124;Schellinkhout;01 jan 1830 ;01 aug 1970 ;GM0442  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1125;Schelluinen;01 jan 1830 ;01 jan 1986 ;GM0605  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
1126;Schermer;01 aug 1970 ;01 jan 2015 ;GM0458  ;Noord-Holland                      ;NH.            ;19700801;20150101    
1127;Schermerhorn;01 jan 1830 ;01 aug 1970 ;GM0443  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1128;Scherpenisse;01 jan 1830 ;01 jul 1971 ;GM0705  ;Zeeland                            ;Z.             ;18300101;19710701    
1129;Scherpenzeel;01 jan 1830 ;            ;GM0279  ;Gelderland                         ;Gld.           ;18300101;            
1130;Schiebroek;01 jan 1830 ;01 aug 1941 ;GM1170  ;Zuid-Holland                       ;ZH.            ;18300101;19410801    
1131;Schiedam;01 jan 1830 ;            ;GM0606  ;Zuid-Holland                       ;ZH.            ;18300101;            
1132;Schiermonnikoog;01 jan 1830 ;            ;GM0088  ;Friesland                          ;F.             ;18300101;            
1133;Schijndel;01 jan 1830 ;01 jan 2017 ;GM0844  ;Noord-Brabant                      ;NB.            ;18300101;20170101    
