ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
250;59-60 Audio-visual and broadcasting;2022;5716;4983;733;93;640;5926;3711;1468;1078;390;0;58;689;158;531;5460.0;4757.0;703.0;83.0;620.0;5656.0;3525.0;1422.0;1043.0;379.0;;;652.0;135.0;517.0;9.2;11.1;-1.7;-45.8;10.3;8.8;10.0;9.0;15.1;-5.0;;;-0.3;-31.8;13.4;104.7;104.8;104.3;112.0;103.2;104.8;105.3;103.2;103.4;102.9;;;105.7;117.0;102.7
251;59-60 Audio-visual and broadcasting;2023;5853;5136;717;85;632;6081;3956;1499;1105;394;0;3;623;163;460;5297.0;4655.0;642.0;69.0;574.0;5496.0;3555.0;1386.0;1018.0;368.0;;;549.0;126.0;421.0;-3.0;-2.1;-8.7;-17.2;-7.5;-2.8;0.9;-2.5;-2.4;-2.8;;;-15.8;-6.3;-18.6;110.5;110.3;111.7;123.7;110.2;110.7;111.3;108.1;108.6;107.0;;;113.5;128.9;109.4
252;59 Motion picture, video and television;2021;2740;2025;715;153;562;2929;1991;248;247;1;0;36;654;198;456;2740.0;2025.0;715.0;153.0;562.0;2929.0;1991.0;248.0;247.0;1.0;0.0;;654.0;198.0;456.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
253;59 Motion picture, video and television;2022;3239;2506;733;93;640;3435;2303;385;384;1;0;58;689;158;531;3096.0;2393.0;703.0;83.0;620.0;3278.0;2205.0;364.0;363.0;1.0;;;652.0;135.0;517.0;13.0;18.2;-1.7;-45.8;10.3;11.9;10.7;46.8;47.0;0.0;;;-0.3;-31.8;13.4;104.6;104.7;104.3;112.0;103.2;104.8;104.4;105.8;105.8;100.0;;;105.7;117.0;102.7
254;59 Motion picture, video and television;2023;3325;2608;717;85;632;3538;2499;413;412;1;0;3;623;163;460;2977.0;2336.0;642.0;69.0;574.0;3163.0;2245.0;365.0;364.0;1.0;;;549.0;126.0;421.0;-3.8;-2.4;-8.7;-17.2;-7.5;-3.5;1.8;0.3;0.3;0.0;;;-15.8;-6.3;-18.6;111.7;111.7;111.7;123.7;110.2;111.8;111.3;113.2;113.2;100.0;;;113.5;128.9;109.4
255;60 Programming and broadcasting services;2021;2258;2258;0;0;0;2271;1214;1057;659;398;0;0;0;0;0;2258.0;2258.0;0.0;0.0;0.0;2271.0;1214.0;1057.0;659.0;398.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;100.0;;;;;
256;60 Programming and broadcasting services;2022;2477;2477;0;0;0;2491;1408;1083;694;389;0;0;0;0;0;2364.0;2364.0;;;;2378.0;1320.0;1058.0;680.0;378.0;;;;;;4.7;4.7;;;;4.7;8.7;0.1;3.2;-5.0;;;;;;104.8;104.8;;;;104.8;106.7;102.4;102.1;102.9;;;;;
257;60 Programming and broadcasting services;2023;2528;2528;0;0;0;2543;1457;1086;693;393;0;0;0;0;0;2319.0;2319.0;;;;2332.0;1311.0;1021.0;654.0;367.0;;;;;;-1.9;-1.9;;;;-1.9;-0.7;-3.5;-3.9;-2.8;;;;;;109.0;109.0;;;;109.0;111.2;106.4;106.0;107.0;;;;;
258;61 Telecommunications services;2021;18632;14608;4024;0;4024;20486;8116;8017;8017;0;0;0;4353;0;4353;18632.0;14608.0;4024.0;0.0;4024.0;20486.0;8116.0;8017.0;8017.0;0.0;0.0;;4353.0;0.0;4353.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
259;61 Telecommunications services;2022;20037;15011;5026;0;5026;21901;8602;8227;8227;0;0;0;5072;0;5072;20469.0;15323.0;5146.0;;5146.0;22399.0;8679.0;8561.0;8561.0;;;;5159.0;;5159.0;9.9;4.9;27.9;;27.9;9.3;6.9;6.8;6.8;;;;18.5;;18.5;97.9;98.0;97.7;;97.7;97.8;99.1;96.1;96.1;;;;98.3;;98.3
260;61 Telecommunications services;2023;20202;14927;5275;0;5275;22063;8777;8173;8173;0;0;0;5113;0;5113;20575.0;15160.0;5416.0;;5416.0;22521.0;8810.0;8593.0;8593.0;;;;5116.0;;5116.0;0.5;-1.1;5.3;;5.3;0.5;1.5;0.4;0.4;;;;-0.8;;-0.8;98.2;98.5;97.4;;97.4;98.0;99.6;95.1;95.1;;;;99.9;;99.9
261;62-63 Computer and information services;2021;65883;55994;9889;0;9889;67774;35962;1026;1023;3;16787;0;13999;0;13999;65883.0;55994.0;9889.0;0.0;9889.0;67774.0;35962.0;1026.0;1023.0;3.0;16787.0;;13999.0;0.0;13999.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
262;62-63 Computer and information services;2022;76017;64875;11142;0;11142;77984;40482;1207;1203;4;18385;0;17910;0;17910;73724.0;62937.0;10787.0;;10787.0;75656.0;39201.0;1196.0;1192.0;4.0;17835.0;;17424.0;;17424.0;11.9;12.4;9.1;;9.1;11.6;9.0;16.6;16.5;33.3;6.2;;24.5;;24.5;103.1;103.1;103.3;;103.3;103.1;103.3;100.9;100.9;100.0;103.1;;102.8;;102.8
263;62-63 Computer and information services;2023;81261;69489;11772;0;11772;83445;43624;1273;1269;4;20052;0;18496;0;18496;75209.0;64339.0;10870.0;;10870.0;77266.0;40343.0;1200.0;1196.0;4.0;18595.0;;17126.0;;17126.0;2.0;2.2;0.8;;0.8;2.1;2.9;0.3;0.3;0.0;4.3;;-1.7;;-1.7;108.0;108.0;108.3;;108.3;108.0;108.1;106.1;106.1;100.0;107.8;;108.0;;108.0
264;62 Computer programming, consultancy..;2021;59781;50731;9050;0;9050;61399;32853;185;185;0;16787;0;11574;0;11574;59781.0;50731.0;9050.0;0.0;9050.0;61399.0;32853.0;185.0;185.0;0.0;16787.0;;11574.0;0.0;11574.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;;100.0
265;62 Computer programming, consultancy..;2022;68619;58414;10205;0;10205;70297;36921;207;207;0;18385;0;14784;0;14784;66366.0;56507.0;9859.0;;9859.0;68008.0;35658.0;201.0;201.0;;17835.0;;14314.0;;14314.0;11.0;11.4;8.9;;8.9;10.8;8.5;8.6;8.6;;6.2;;23.7;;23.7;103.4;103.4;103.5;;103.5;103.4;103.5;103.0;103.0;;103.1;;103.3;;103.3
266;62 Computer programming, consultancy..;2023;73581;62835;10746;0;10746;75445;39884;226;226;0;20052;0;15283;0;15283;67972.0;58066.0;9906.0;;9906.0;69718.0;36793.0;205.0;205.0;;18595.0;;14126.0;;14126.0;2.4;2.8;0.5;;0.5;2.5;3.2;1.9;1.9;;4.3;;-1.3;;-1.3;108.3;108.2;108.5;;108.5;108.2;108.4;110.3;110.3;;107.8;;108.2;;108.2
267;63 Information services;2021;6102;5263;839;0;839;6375;3109;841;838;3;0;0;2425;0;2425;6102.0;5263.0;839.0;0.0;839.0;6375.0;3109.0;841.0;838.0;3.0;0.0;;2425.0;0.0;2425.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
268;63 Information services;2022;7398;6461;937;0;937;7687;3561;1000;996;4;0;0;3126;0;3126;7358.0;6430.0;928.0;;928.0;7648.0;3543.0;995.0;991.0;4.0;;;3110.0;;3110.0;20.6;22.2;10.6;;10.6;20.0;14.0;18.3;18.3;33.3;;;28.2;;28.2;100.5;100.5;101.0;;101.0;100.5;100.5;100.5;100.5;100.0;;;100.5;;100.5
269;63 Information services;2023;7680;6654;1026;0;1026;8000;3740;1047;1043;4;0;0;3213;0;3213;7229.0;6264.0;965.0;;965.0;7541.0;3547.0;995.0;991.0;4.0;;;2999.0;;2999.0;-1.8;-2.6;3.9;;3.9;-1.4;0.1;0.0;0.0;0.0;;;-3.6;;-3.6;106.2;106.2;106.4;;106.4;106.1;105.4;105.2;105.2;100.0;;;107.2;;107.2
270;K Financial institutions;2021;106162;87857;18305;0;18305;109987;66466;30810;30810;0;1116;0;11595;0;11595;106162.0;87857.0;18305.0;0.0;18305.0;109987.0;66466.0;30810.0;30810.0;0.0;1116.0;;11595.0;0.0;11595.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;;100.0
271;K Financial institutions;2022;100902;85953;14949;0;14949;104785;56033;33182;33182;0;1112;0;14458;0;14458;103772.0;86502.0;17270.0;;17270.0;107767.0;64038.0;30402.0;30402.0;;977.0;;12350.0;;12350.0;-2.3;-1.5;-5.7;;-5.7;-2.0;-3.7;-1.3;-1.3;;-12.5;;6.5;;6.5;97.2;99.4;86.6;;86.6;97.2;87.5;109.1;109.1;;113.8;;117.1;;117.1
272;K Financial institutions;2023;98664;84744;13920;0;13920;102616;44848;37903;37903;0;986;0;18879;0;18879;102003.0;85286.0;16679.0;;16679.0;105821.0;62192.0;29824.0;29824.0;;843.0;;12783.0;;12783.0;-1.7;-1.4;-3.4;;-3.4;-1.8;-2.9;-1.9;-1.9;;-13.8;;3.5;;3.5;96.7;99.4;83.5;;83.5;97.0;72.1;127.1;127.1;;117.0;;147.7;;147.7
273;64 Financial services, except.;2021;54616;40804;13812;0;13812;54921;48399;2941;2941;0;0;0;3581;0;3581;54616.0;40804.0;13812.0;0.0;13812.0;54921.0;48399.0;2941.0;2941.0;0.0;0.0;;3581.0;0.0;3581.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
274;64 Financial services, except.;2022;51163;40844;10319;0;10319;51338;36401;9431;9431;0;0;0;5506;0;5506;52246.0;39162.0;13084.0;;13084.0;52544.0;45603.0;2782.0;2782.0;;;;4159.0;;4159.0;-4.3;-4.0;-5.3;;-5.3;-4.3;-5.8;-5.4;-5.4;;;;16.1;;16.1;97.9;104.3;78.9;;78.9;97.7;79.8;339.0;339.0;;;;132.4;;132.4
275;64 Financial services, except.;2023;49218;39039;10179;0;10179;49353;24901;15753;15753;0;0;0;8699;0;8699;50561.0;37560.0;13111.0;;13111.0;50849.0;44156.0;2664.0;2664.0;;;;4083.0;;4083.0;-3.2;-4.1;0.2;;0.2;-3.2;-3.2;-4.3;-4.3;;;;-1.8;;-1.8;97.3;103.9;77.6;;77.6;97.1;56.4;591.4;591.4;;;;213.0;;213.0
276;65 Insurance, reinsurance and pension..;2021;30292;28862;1430;0;1430;33496;4640;27065;27065;0;0;0;1791;0;1791;30292.0;28862.0;1430.0;0.0;1430.0;33496.0;4640.0;27065.0;27065.0;0.0;0.0;;1791.0;0.0;1791.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
277;65 Insurance, reinsurance and pension..;2022;26431;24869;1562;0;1562;29832;5039;22891;22891;0;0;0;1902;0;1902;30233.0;28722.0;1511.0;;1511.0;33622.0;4932.0;26766.0;26766.0;;;;1924.0;;1924.0;-0.2;-0.5;5.7;;5.7;0.4;6.3;-1.1;-1.1;;;;7.4;;7.4;87.4;86.6;103.4;;103.4;88.7;102.2;85.5;85.5;;;;98.9;;98.9
278;65 Insurance, reinsurance and pension..;2023;24831;23551;1280;0;1280;28497;5199;21259;21259;0;0;0;2039;0;2039;29742.0;28723.0;1095.0;;1095.0;33123.0;4766.0;26508.0;26508.0;;;;1871.0;;1871.0;-1.6;0.0;-27.5;;-27.5;-1.5;-3.4;-1.0;-1.0;;;;-2.7;;-2.7;83.5;82.0;116.9;;116.9;86.0;109.1;80.2;80.2;;;;109.0;;109.0
279;66 Services auxiliary to financial..;2021;21254;18191;3063;0;3063;21570;13427;804;804;0;1116;0;6223;0;6223;21254.0;18191.0;3063.0;0.0;3063.0;21570.0;13427.0;804.0;804.0;0.0;1116.0;;6223.0;0.0;6223.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;;100.0
280;66 Services auxiliary to financial..;2022;23308;20240;3068;0;3068;23615;14593;860;860;0;1112;0;7050;0;7050;21293.0;18618.0;2675.0;;2675.0;21601.0;13503.0;854.0;854.0;;977.0;;6267.0;;6267.0;0.2;2.3;-12.7;;-12.7;0.1;0.6;6.2;6.2;;-12.5;;0.7;;0.7;109.5;108.7;114.7;;114.7;109.3;108.1;100.7;100.7;;113.8;;112.5;;112.5
281;66 Services auxiliary to financial..;2023;24615;22154;2461;0;2461;24766;14748;891;891;0;986;0;8141;0;8141;21621.0;19043.0;2585.0;;2585.0;21790.0;13235.0;845.0;845.0;;843.0;;6853.0;;6853.0;1.5;2.3;-3.4;;-3.4;0.9;-2.0;-1.0;-1.0;;-13.8;;9.3;;9.3;113.8;116.3;95.2;;95.2;113.7;111.4;105.4;105.4;;117.0;;118.8;;118.8
282;L Real estate activities;2021;105646;105538;108;0;108;106347;29809;74049;69792;4257;2476;0;13;0;13;105646.0;105538.0;108.0;0.0;108.0;106347.0;29809.0;74049.0;69792.0;4257.0;2476.0;;13.0;0.0;13.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
283;L Real estate activities;2022;111897;111787;110;0;110;112595;33359;76824;72458;4366;2396;0;16;0;16;108487.0;108382.0;105.0;;105.0;109150.0;31788.0;75100.0;70850.0;4250.0;2246.0;;16.0;;16.0;2.7;2.7;-2.8;;-2.8;2.6;6.6;1.4;1.5;-0.2;-9.3;;23.1;;23.1;103.1;103.1;104.8;;104.8;103.2;104.9;102.3;102.3;102.7;106.7;;100.0;;100.0
284;L Real estate activities;2023;117789;117678;111;0;111;118491;35967;80206;75693;4513;2303;0;15;0;15;109763.0;109658.0;105.0;;105.0;110424.0;32245.0;76048.0;71728.0;4320.0;2119.0;;15.0;;15.0;1.2;1.2;0.0;;0.0;1.2;1.4;1.3;1.2;1.6;-5.6;;-6.3;;-6.3;107.3;107.3;105.7;;105.7;107.3;111.5;105.5;105.5;104.5;108.7;;100.0;;100.0
285;68 Real estate services;2021;105646;105538;108;0;108;106347;29809;74049;69792;4257;2476;0;13;0;13;105646.0;105538.0;108.0;0.0;108.0;106347.0;29809.0;74049.0;69792.0;4257.0;2476.0;;13.0;0.0;13.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
286;68 Real estate services;2022;111897;111787;110;0;110;112595;33359;76824;72458;4366;2396;0;16;0;16;108487.0;108382.0;105.0;;105.0;109150.0;31788.0;75100.0;70850.0;4250.0;2246.0;;16.0;;16.0;2.7;2.7;-2.8;;-2.8;2.6;6.6;1.4;1.5;-0.2;-9.3;;23.1;;23.1;103.1;103.1;104.8;;104.8;103.2;104.9;102.3;102.3;102.7;106.7;;100.0;;100.0
287;68 Real estate services;2023;117789;117678;111;0;111;118491;35967;80206;75693;4513;2303;0;15;0;15;109763.0;109658.0;105.0;;105.0;110424.0;32245.0;76048.0;71728.0;4320.0;2119.0;;15.0;;15.0;1.2;1.2;0.0;;0.0;1.2;1.4;1.3;1.2;1.6;-5.6;;-6.3;;-6.3;107.3;107.3;105.7;;105.7;107.3;111.5;105.5;105.5;104.5;108.7;;100.0;;100.0
288;M-N Business services;2021;378378;284553;93825;23;93802;393627;232043;18364;17339;1025;36196;80;106944;17;106927;378378.0;284553.0;93825.0;23.0;93802.0;393627.0;232043.0;18364.0;17339.0;1025.0;36196.0;;106944.0;17.0;106927.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
289;M-N Business services;2022;421508;320263;101245;7;101238;437613;255476;22269;21270;999;38968;56;120844;9;120835;402473.0;305269.0;97204.0;7.0;97197.0;416614.0;244458.0;20842.0;19893.0;949.0;35801.0;;115459.0;9.0;115450.0;6.4;7.3;3.6;-69.6;3.6;5.8;5.4;13.5;14.7;-7.4;-1.1;;8.0;-47.1;8.0;104.7;104.9;104.2;100.0;104.2;105.0;104.5;106.8;106.9;105.3;108.8;;104.7;100.0;104.7
290;M-N Business services;2023;461068;352090;108978;7;108971;476765;279233;24944;23862;1082;39873;0;132715;11;132704;413246.0;313573.0;99671.0;7.0;99664.0;427419.0;249290.0;21950.0;21002.0;947.0;35897.0;;120301.0;11.0;120290.0;2.7;2.7;2.5;0.0;2.5;2.6;2.0;5.3;5.6;-0.2;0.3;;4.2;22.2;4.2;111.6;112.3;109.3;100.0;109.3;111.5;112.0;113.6;113.6;114.2;111.1;;110.3;100.0;110.3
291;M Vrije beroepen en..;2021;189287;138731;50556;23;50533;200469;123700;5258;4726;532;33547;80;37884;17;37867;189287.0;138731.0;50556.0;23.0;50533.0;200469.0;123700.0;5258.0;4726.0;532.0;33547.0;;37884.0;17.0;37867.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
292;M Vrije beroepen en..;2022;206805;149874;56931;7;56924;218662;136505;5753;5266;487;35724;56;40624;9;40615;200386.0;145077.0;55309.0;7.0;55302.0;210463.0;132876.0;5465.0;4999.0;466.0;32714.0;;39354.0;9.0;39345.0;5.9;4.6;9.4;-69.6;9.4;5.0;7.4;3.9;5.8;-12.4;-2.5;;3.9;-47.1;3.9;103.2;103.3;102.9;100.0;102.9;103.9;102.7;105.3;105.3;104.5;109.2;;103.2;100.0;103.2
293;M Vrije beroepen en..;2023;226179;164010;62169;7;62162;236939;149229;6084;5578;506;36292;0;45334;11;45323;209087.0;151334.0;57753.0;7.0;57746.0;218893.0;138810.0;5474.0;5018.0;456.0;32658.0;;42036.0;11.0;42025.0;4.3;4.3;4.4;0.0;4.4;4.0;4.5;0.2;0.4;-2.1;-0.2;;6.8;22.2;6.8;108.2;108.4;107.6;100.0;107.6;108.2;107.5;111.1;111.2;110.9;111.1;;107.8;100.0;107.8
294;69-71 Management, technical consultancy;2021;134536;100594;33942;1;33941;144736;95232;4252;3805;447;16771;80;28401;4;28397;134536.0;100594.0;33942.0;1.0;33941.0;144736.0;95232.0;4252.0;3805.0;447.0;16771.0;;28401.0;4.0;28397.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
295;69-71 Management, technical consultancy;2022;146116;108534;37582;1;37581;157052;104886;4707;4269;438;18150;56;29253;3;29250;142365.0;105597.0;36768.0;1.0;36767.0;151548.0;102340.0;4489.0;4068.0;421.0;16205.0;;28460.0;3.0;28457.0;5.8;5.0;8.3;0.0;8.3;4.7;7.5;5.6;6.9;-5.8;-3.4;;0.2;-25.0;0.2;102.6;102.8;102.2;100.0;102.2;103.6;102.5;104.9;104.9;104.0;112.0;;102.8;100.0;102.8
296;69-71 Management, technical consultancy;2023;161117;119340;41777;1;41776;170862;114540;4965;4480;485;17492;0;33865;2;33863;150030.0;110870.0;39162.0;1.0;39161.0;158886.0;106848.0;4508.0;4068.0;440.0;15999.0;;31623.0;2.0;31621.0;5.4;5.0;6.5;0.0;6.5;4.8;4.4;0.4;0.0;4.6;-1.3;;11.1;-33.3;11.1;107.4;107.6;106.7;100.0;106.7;107.5;107.2;110.1;110.1;110.2;109.3;;107.1;100.0;107.1
297;69-70 Legal and management consultancy;2021;116650;83760;32890;0;32890;125393;87984;4092;3645;447;6560;0;26757;0;26757;116650.0;83760.0;32890.0;0.0;32890.0;125393.0;87984.0;4092.0;3645.0;447.0;6560.0;;26757.0;0.0;26757.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
298;69-70 Legal and management consultancy;2022;126912;90403;36509;0;36509;136336;97123;4537;4099;438;7226;0;27450;0;27450;123790.0;88058.0;35732.0;;35732.0;131512.0;94840.0;4324.0;3903.0;421.0;5633.0;;26715.0;;26715.0;6.1;5.1;8.6;;8.6;4.9;7.8;5.7;7.1;-5.8;-14.1;;-0.2;;-0.2;102.5;102.7;102.2;;102.2;103.7;102.4;104.9;105.0;104.0;128.3;;102.8;;102.8
299;69-70 Legal and management consultancy;2023;140338;99783;40555;0;40555;148438;106049;4766;4281;485;5783;0;31840;0;31840;130947.0;92908.0;38040.0;;38040.0;138298.0;99058.0;4334.0;3894.0;440.0;5303.0;;29758.0;;29758.0;5.8;5.5;6.5;;6.5;5.2;4.4;0.2;-0.2;4.6;-5.9;;11.4;;11.4;107.2;107.4;106.6;;106.6;107.3;107.1;110.0;109.9;110.2;109.0;;107.0;;107.0
300;69 Legal and accounting services;2021;26982;23267;3715;0;3715;34908;21225;3821;3395;426;6560;0;3302;0;3302;26982.0;23267.0;3715.0;0.0;3715.0;34908.0;21225.0;3821.0;3395.0;426.0;6560.0;;3302.0;0.0;3302.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
301;69 Legal and accounting services;2022;30199;25624;4575;0;4575;38907;23775;4092;3654;438;7226;0;3814;0;3814;28909.0;24540.0;4369.0;;4369.0;35887.0;22691.0;3918.0;3497.0;421.0;5633.0;;3645.0;;3645.0;7.1;5.5;17.6;;17.6;2.8;6.9;2.5;3.0;-1.2;-14.1;;10.4;;10.4;104.5;104.4;104.7;;104.7;108.4;104.8;104.4;104.5;104.0;128.3;;104.6;;104.6
302;69 Legal and accounting services;2023;32541;27648;4893;0;4893;39849;25838;4298;3813;485;5783;0;3930;0;3930;29393.0;24976.0;4418.0;;4418.0;36014.0;23353.0;3907.0;3466.0;440.0;5303.0;;3529.0;;3529.0;1.7;1.8;1.1;;1.1;0.4;2.9;-0.3;-0.9;4.6;-5.9;;-3.2;;-3.2;110.7;110.7;110.8;;110.8;110.6;110.6;110.0;110.0;110.2;109.0;;111.4;;111.4
303;70 Services of head offices..;2021;89668;60493;29175;0;29175;90485;66759;271;250;21;0;0;23455;0;23455;89668.0;60493.0;29175.0;0.0;29175.0;90485.0;66759.0;271.0;250.0;21.0;0.0;;23455.0;0.0;23455.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
304;70 Services of head offices..;2022;96713;64779;31934;0;31934;97429;73348;445;445;0;0;0;23636;0;23636;94881.0;63518.0;31363.0;;31363.0;95625.0;72149.0;406.0;406.0;0.0;;;23070.0;;23070.0;5.8;5.0;7.5;;7.5;5.7;8.1;49.8;62.4;-100.0;;;-1.6;;-1.6;101.9;102.0;101.8;;101.8;101.9;101.7;109.6;109.6;;;;102.5;;102.5
305;70 Services of head offices..;2023;107797;72135;35662;0;35662;108589;80211;468;468;0;0;0;27910;0;27910;101583.0;67954.0;33629.0;;33629.0;102394.0;75716.0;427.0;427.0;;;;26240.0;;26240.0;7.1;7.0;7.2;;7.2;7.1;4.9;5.2;5.2;;;;13.7;;13.7;106.1;106.2;106.0;;106.0;106.0;105.9;109.6;109.6;;;;106.4;;106.4
306;71 Architectural and engineering..;2021;17886;16834;1052;1;1051;19343;7248;160;160;0;10211;80;1644;4;1640;17886.0;16834.0;1052.0;1.0;1051.0;19343.0;7248.0;160.0;160.0;0.0;10211.0;;1644.0;4.0;1640.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
307;71 Architectural and engineering..;2022;19204;18131;1073;1;1072;20716;7763;170;170;0;10924;56;1803;3;1800;18575.0;17539.0;1036.0;1.0;1035.0;20036.0;7500.0;165.0;165.0;;10572.0;;1745.0;3.0;1742.0;3.9;4.2;-1.5;0.0;-1.5;3.6;3.5;3.1;3.1;;3.5;;6.1;-25.0;6.2;103.4;103.4;103.6;100.0;103.6;103.4;103.5;103.0;103.0;;103.3;;103.3;100.0;103.3
308;71 Architectural and engineering..;2023;20779;19557;1222;1;1221;22424;8491;199;199;0;11709;0;2025;2;2023;19088.0;17966.0;1122.0;1.0;1121.0;20586.0;7790.0;174.0;174.0;;10758.0;;1865.0;2.0;1863.0;2.8;2.4;8.3;0.0;8.3;2.7;3.9;5.3;5.3;;1.8;;6.9;-33.3;6.9;108.9;108.9;108.9;100.0;108.9;108.9;109.0;114.5;114.5;;108.8;;108.6;100.0;108.6
309;72 Scientific research and development..;2021;22073;16998;5075;0;5075;22301;1855;35;0;35;16776;0;3635;0;3635;22073.0;16998.0;5075.0;0.0;5075.0;22301.0;1855.0;35.0;0.0;35.0;16776.0;;3635.0;0.0;3635.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;100.0;;100.0;;100.0
310;72 Scientific research and development..;2022;23238;17921;5317;0;5317;23451;1654;0;0;0;17574;0;4223;0;4223;21832.0;16843.0;4989.0;;4989.0;22030.0;1552.0;0.0;;0.0;16509.0;;3969.0;;3969.0;-1.1;-0.9;-1.7;;-1.7;-1.2;-16.3;-100.0;;-100.0;-1.6;;9.2;;9.2;106.4;106.4;106.6;;106.6;106.5;106.6;;;;106.5;;106.4;;106.4
311;72 Scientific research and development..;2023;24792;19549;5243;0;5243;25021;1853;0;0;0;18800;0;4368;0;4368;21964.0;17338.0;4626.0;;4626.0;22162.0;1622.0;;;;16669.0;;3870.0;;3870.0;0.6;2.9;-7.3;;-7.3;0.6;4.5;;;;1.0;;-2.5;;-2.5;112.9;112.8;113.3;;113.3;112.9;114.2;;;;112.8;;112.9;;112.9
312;73-75 Advertising, design and other;2021;32678;21139;11539;22;11517;33432;26613;971;921;50;0;0;5848;13;5835;32678.0;21139.0;11539.0;22.0;11517.0;33432.0;26613.0;971.0;921.0;50.0;0.0;;5848.0;13.0;5835.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
