ID;Countries;SIC2008;Periods;ForeignSubsidiary_1;Employees_2;Revenue_3;PersonnelCosts_4;Investments_5
7454;British Virgin Islands;425300;2021;;;;;
7455;British Virgin Islands;425300;2022;;;;;
7456;British Virgin Islands;425305;2021;;;;;
7457;British Virgin Islands;425305;2022;;;;;
7458;British Virgin Islands;426600;2021;;;;;
7459;British Virgin Islands;426600;2022;;;;;
7460;British Virgin Islands;428100;2021;;;;;
7461;British Virgin Islands;428100;2022;;;;;
7462;British Virgin Islands;428200;2021;;;;;
7463;British Virgin Islands;428200;2022;;;;;
7464;British Virgin Islands;429300;2021;;;;;
7465;British Virgin Islands;429300;2022;;;;;
7466;British Virgin Islands;430600;2021;;;;;
7467;British Virgin Islands;430600;2022;;;;;
7468;British Virgin Islands;431100;2021;;;;;
7469;British Virgin Islands;431100;2022;;;;;
7470;British Virgin Islands;435500;2021;;;;;
7471;British Virgin Islands;435500;2022;;;;;
7472;British Virgin Islands;435600;2021;;;;;
7473;British Virgin Islands;435600;2022;;;;;
7474;British Virgin Islands;437500;2021;;;;;
7475;British Virgin Islands;437500;2022;;;;;
7476;British Virgin Islands;438600;2021;;;;;
7477;British Virgin Islands;438600;2022;;;;;
7478;British Virgin Islands;441000;2021;;;;;
7479;British Virgin Islands;441000;2022;;;;;
7480;Brunei;305700;2021;;;;;
7481;Brunei;305700;2022;;;;;
7482;Brunei;800012;2021;6.0;;;4.0;
7483;Brunei;800012;2022;;;;;
7484;Brunei;305800;2021;;;;;
7485;Brunei;305800;2022;;;;;
7486;Brunei;306300;2021;;;;;
7487;Brunei;306300;2022;;;;;
7488;Brunei;307000;2021;;;;;
7489;Brunei;307000;2022;;;;;
7490;Brunei;307500;2021;;;;;
7491;Brunei;307500;2022;;;;;
7492;Brunei;307610;2021;;;;;
7493;Brunei;307610;2022;;;;;
7494;Brunei;307600;2021;;;;;
7495;Brunei;307600;2022;;;;;
7496;Brunei;311300;2021;;;;;
7497;Brunei;311300;2022;;;;;
7498;Brunei;312200;2021;;;;;
7499;Brunei;312200;2022;;;;;
7500;Brunei;312500;2021;;;;;
7501;Brunei;312500;2022;;;;;
7502;Brunei;312505;2021;;;;;
7503;Brunei;312505;2022;;;;;
7504;Brunei;314000;2021;;;;;
7505;Brunei;314000;2022;;;;;
7506;Brunei;315200;2021;;;;;
7507;Brunei;315200;2022;;;;;
7508;Brunei;315810;2021;;;;;
7509;Brunei;315810;2022;;;;;
7510;Brunei;315800;2021;;;;;
7511;Brunei;315800;2022;;;;;
7512;Brunei;317100;2021;;;;;
7513;Brunei;317100;2022;;;;;
7514;Brunei;318600;2021;;;;;
7515;Brunei;318600;2022;;;;;
7516;Brunei;320000;2021;;;;;
7517;Brunei;320000;2022;;;;;
7518;Brunei;320700;2021;;;;;
7519;Brunei;320700;2022;;;;;
7520;Brunei;323200;2021;;;;;
7521;Brunei;323200;2022;;;;;
7522;Brunei;323705;2021;;;;;
7523;Brunei;323705;2022;;;;;
7524;Brunei;323700;2021;;;;;
7525;Brunei;323700;2022;;;;;
7526;Brunei;324600;2021;;;;;
7527;Brunei;324600;2022;;;;;
7528;Brunei;328100;2021;;;;;
7529;Brunei;328100;2022;;;;;
7530;Brunei;328105;2021;;;;;
7531;Brunei;328105;2022;;;;;
7532;Brunei;330300;2021;;;;;
7533;Brunei;330300;2022;;;;;
7534;Brunei;332900;2021;;;;;
7535;Brunei;332900;2022;;;;;
7536;Brunei;334800;2021;;;;;
7537;Brunei;334800;2022;;;;;
7538;Brunei;336500;2021;;;;;
7539;Brunei;336500;2022;;;;;
7540;Brunei;339200;2021;;;;;
7541;Brunei;339200;2022;;;;;
7542;Brunei;339205;2021;;;;;
7543;Brunei;339205;2022;;;;;
7544;Brunei;340200;2021;;;;;
7545;Brunei;340200;2022;;;;;
7546;Brunei;341600;2021;;;;;
7547;Brunei;341600;2022;;;;;
7548;Brunei;342400;2021;;;;;
7549;Brunei;342400;2022;;;;;
7550;Brunei;344400;2021;;;;;
7551;Brunei;344400;2022;;;;;
7552;Brunei;346600;2021;;;;;
7553;Brunei;346600;2022;;;;;
7554;Brunei;346700;2021;;;;;
7555;Brunei;346700;2022;;;;;
7556;Brunei;348000;2021;;;;;
7557;Brunei;348000;2022;;;;;
7558;Brunei;348100;2021;;;;;
7559;Brunei;348100;2022;;;;;
7560;Brunei;348400;2021;;;;;
7561;Brunei;348400;2022;;;;;
7562;Brunei;348700;2021;;;;;
7563;Brunei;348700;2022;;;;;
7564;Brunei;349700;2021;;;;;
7565;Brunei;349700;2022;;;;;
7566;Brunei;350000;2021;;;;;
7567;Brunei;350000;2022;;;;;
7568;Brunei;350100;2021;;;;;
7569;Brunei;350100;2022;;;;;
7570;Brunei;350600;2021;;;;;
7571;Brunei;350600;2022;;;;;
7572;Brunei;351900;2021;;;;;
7573;Brunei;351900;2022;;;;;
7574;Brunei;354200;2021;;;;;
7575;Brunei;354200;2022;;;;;
7576;Brunei;354300;2021;;;;;
7577;Brunei;354300;2022;;;;;
7578;Brunei;356900;2021;;;;;
7579;Brunei;356900;2022;;;;;
7580;Brunei;371600;2021;;;;;
7581;Brunei;371600;2022;;;;;
7582;Brunei;383100;2021;;;;;
7583;Brunei;383100;2022;;;;;
7584;Brunei;383200;2021;;;;;
7585;Brunei;383200;2022;;;;;
7586;Brunei;384900;2021;;;;;
7587;Brunei;384900;2022;;;;;
7588;Brunei;386300;2021;;;;;
7589;Brunei;386300;2022;;;;;
7590;Brunei;386800;2021;;;;;
7591;Brunei;386800;2022;;;;;
7592;Brunei;388400;2021;;;;;
7593;Brunei;388400;2022;;;;;
7594;Brunei;389100;2021;;;;;
7595;Brunei;389100;2022;;;;;
7596;Brunei;389200;2021;;;;;
7597;Brunei;389200;2022;;;;;
7598;Brunei;390500;2021;;;;;
7599;Brunei;390500;2022;;;;;
7600;Brunei;391600;2021;;;;;
7601;Brunei;391600;2022;;;;;
7602;Brunei;391700;2021;;;;;
7603;Brunei;391700;2022;;;;;
7604;Brunei;800021;2021;;;;;
7605;Brunei;800021;2022;;;;;
7606;Brunei;392600;2021;;;;;
7607;Brunei;392600;2022;;;;;
7608;Brunei;393600;2021;;;;;
7609;Brunei;393600;2022;;;;;
7610;Brunei;394100;2021;;;;;
7611;Brunei;394100;2022;;;;;
7612;Brunei;395005;2021;;;;;
7613;Brunei;395005;2022;;;;;
7614;Brunei;395000;2021;;;;;
7615;Brunei;395000;2022;;;;;
7616;Brunei;395600;2021;;;;;
7617;Brunei;395600;2022;;;;;
7618;Brunei;396300;2021;;;;;
7619;Brunei;396300;2022;;;;;
7620;Brunei;396400;2021;;;;;
7621;Brunei;396400;2022;;;;;
7622;Brunei;398700;2021;;;;;
7623;Brunei;398700;2022;;;;;
7624;Brunei;400200;2021;;;;;
7625;Brunei;400200;2022;;;;;
7626;Brunei;402000;2021;;;;;
7627;Brunei;402000;2022;;;;;
7628;Brunei;402100;2021;;;;;
7629;Brunei;402100;2022;;;;;
7630;Brunei;403300;2021;;;;;
7631;Brunei;403300;2022;;;;;
7632;Brunei;403400;2021;;;;;
7633;Brunei;403400;2022;;;;;
7634;Brunei;403405;2021;;;;;
7635;Brunei;403405;2022;;;;;
7636;Brunei;404900;2021;;;;;
7637;Brunei;404900;2022;;;;;
7638;Brunei;405900;2021;;;;;
7639;Brunei;405900;2022;;;;;
7640;Brunei;406800;2021;;;;;
7641;Brunei;406800;2022;;;;;
7642;Brunei;408105;2021;;;;;
7643;Brunei;408105;2022;;;;;
7644;Brunei;408100;2021;;;;;
7645;Brunei;408100;2022;;;;;
7646;Brunei;408700;2021;;;;;
7647;Brunei;408700;2022;;;;;
7648;Brunei;409900;2021;;;;;
7649;Brunei;409900;2022;;;;;
7650;Brunei;410200;2021;;;;;
7651;Brunei;410200;2022;;;;;
7652;Brunei;410300;2021;;;;;
7653;Brunei;410300;2022;;;;;
7654;Brunei;800010;2021;;;;;
7655;Brunei;800010;2022;;;;;
7656;Brunei;412700;2021;;;;;
7657;Brunei;412700;2022;;;;;
7658;Brunei;413700;2021;;;;;
7659;Brunei;413700;2022;;;;;
7660;Brunei;414300;2021;;;;;
7661;Brunei;414300;2022;;;;;
7662;Brunei;415000;2021;;;;;
7663;Brunei;415000;2022;;;;;
7664;Brunei;415900;2021;;;;;
7665;Brunei;415900;2022;;;;;
7666;Brunei;419000;2021;;;;;
7667;Brunei;419000;2022;;;;;
7668;Brunei;419100;2021;;;;;
7669;Brunei;419100;2022;;;;;
7670;Brunei;422400;2021;;;;;
7671;Brunei;422400;2022;;;;;
7672;Brunei;422500;2021;;;;;
7673;Brunei;422500;2022;;;;;
7674;Brunei;425300;2021;;;;;
7675;Brunei;425300;2022;;;;;
7676;Brunei;425305;2021;;;;;
7677;Brunei;425305;2022;;;;;
7678;Brunei;426600;2021;;;;;
7679;Brunei;426600;2022;;;;;
7680;Brunei;428100;2021;;;;;
7681;Brunei;428100;2022;;;;;
7682;Brunei;428200;2021;;;;;
7683;Brunei;428200;2022;;;;;
7684;Brunei;429300;2021;;;;;
7685;Brunei;429300;2022;;;;;
7686;Brunei;430600;2021;;;;;
7687;Brunei;430600;2022;;;;;
7688;Brunei;431100;2021;;;;;
7689;Brunei;431100;2022;;;;;
7690;Brunei;435500;2021;;;;;
7691;Brunei;435500;2022;;;;;
7692;Brunei;435600;2021;;;;;
7693;Brunei;435600;2022;;;;;
7694;Brunei;437500;2021;;;;;
7695;Brunei;437500;2022;;;;;
7696;Brunei;438600;2021;;;;;
7697;Brunei;438600;2022;;;;;
7698;Brunei;441000;2021;;;;;
7699;Brunei;441000;2022;;;;;
7700;Bulgaria;305700;2021;;;;;
7701;Bulgaria;305700;2022;;;;;
7702;Bulgaria;800012;2021;67.0;4.0;1232.0;78.0;69.0
7703;Bulgaria;800012;2022;99.0;3.0;822.0;65.0;50.0
7704;Bulgaria;305800;2021;;;;;
7705;Bulgaria;305800;2022;;;;;
7706;Bulgaria;306300;2021;;;;;
7707;Bulgaria;306300;2022;;;;;
7708;Bulgaria;307000;2021;;;;;
7709;Bulgaria;307000;2022;;;;;
7710;Bulgaria;307500;2021;;;;;
7711;Bulgaria;307500;2022;18.0;1.0;355.0;20.0;11.0
7712;Bulgaria;307610;2021;;;;;
7713;Bulgaria;307610;2022;;;;;
7714;Bulgaria;307600;2021;;;;;
7715;Bulgaria;307600;2022;;;;;
7716;Bulgaria;311300;2021;;;;;
7717;Bulgaria;311300;2022;;;;;
7718;Bulgaria;312200;2021;;;;;
7719;Bulgaria;312200;2022;;;;;
7720;Bulgaria;312500;2021;;;;;
7721;Bulgaria;312500;2022;;;;;
7722;Bulgaria;312505;2021;;;;;
7723;Bulgaria;312505;2022;;;;;
7724;Bulgaria;314000;2021;;;;;
7725;Bulgaria;314000;2022;;;;;
7726;Bulgaria;315200;2021;;;;;
7727;Bulgaria;315200;2022;;;;;
7728;Bulgaria;315810;2021;;;;;
7729;Bulgaria;315810;2022;;;;;
7730;Bulgaria;315800;2021;;;;;
7731;Bulgaria;315800;2022;;;;;
7732;Bulgaria;317100;2021;;;;;
7733;Bulgaria;317100;2022;;;;;
7734;Bulgaria;318600;2021;;;;;
7735;Bulgaria;318600;2022;;;;;
7736;Bulgaria;320000;2021;;;;;
7737;Bulgaria;320000;2022;;;;;
7738;Bulgaria;320700;2021;;;;;
7739;Bulgaria;320700;2022;;;;;
7740;Bulgaria;323200;2021;;;;;
7741;Bulgaria;323200;2022;;;;;
7742;Bulgaria;323705;2021;;;;;
7743;Bulgaria;323705;2022;;;;;
7744;Bulgaria;323700;2021;;;;;
7745;Bulgaria;323700;2022;;;;;
7746;Bulgaria;324600;2021;;;;;
7747;Bulgaria;324600;2022;;;;;
7748;Bulgaria;328100;2021;;;;;
7749;Bulgaria;328100;2022;;;;;
7750;Bulgaria;328105;2021;;;;;
7751;Bulgaria;328105;2022;;;;;
7752;Bulgaria;330300;2021;;;;;
7753;Bulgaria;330300;2022;;;;;
7754;Bulgaria;332900;2021;;;;;
7755;Bulgaria;332900;2022;;;;;
7756;Bulgaria;334800;2021;;;;;
7757;Bulgaria;334800;2022;;;;;
7758;Bulgaria;336500;2021;;;;;
7759;Bulgaria;336500;2022;;;;;
7760;Bulgaria;339200;2021;;;;;
7761;Bulgaria;339200;2022;;;;;
7762;Bulgaria;339205;2021;;;;;
7763;Bulgaria;339205;2022;;;;;
7764;Bulgaria;340200;2021;;;;;
7765;Bulgaria;340200;2022;;;;;
7766;Bulgaria;341600;2021;;;;;
7767;Bulgaria;341600;2022;;;;;
7768;Bulgaria;342400;2021;;;;;
7769;Bulgaria;342400;2022;;;;;
7770;Bulgaria;344400;2021;;;;;
7771;Bulgaria;344400;2022;;;;;
7772;Bulgaria;346600;2021;;;;;
7773;Bulgaria;346600;2022;;;;;
7774;Bulgaria;346700;2021;;;;;
7775;Bulgaria;346700;2022;;;;;
7776;Bulgaria;348000;2021;;;;;
7777;Bulgaria;348000;2022;;;;;
7778;Bulgaria;348100;2021;;;;;
7779;Bulgaria;348100;2022;;;;;
7780;Bulgaria;348400;2021;;;;;
7781;Bulgaria;348400;2022;;;;;
7782;Bulgaria;348700;2021;;;;;
7783;Bulgaria;348700;2022;;;;;
7784;Bulgaria;349700;2021;;;;;
7785;Bulgaria;349700;2022;;;;;
7786;Bulgaria;350000;2021;;;;;
7787;Bulgaria;350000;2022;;;;;
7788;Bulgaria;350100;2021;;;;;
7789;Bulgaria;350100;2022;;;;;
7790;Bulgaria;350600;2021;;;;;
7791;Bulgaria;350600;2022;;;;;
7792;Bulgaria;351900;2021;;;;;
7793;Bulgaria;351900;2022;;;;;
7794;Bulgaria;354200;2021;8.0;;;13.0;
7795;Bulgaria;354200;2022;18.0;;;14.0;
7796;Bulgaria;354300;2021;;;;;
7797;Bulgaria;354300;2022;;;;;
7798;Bulgaria;356900;2021;;;;;
7799;Bulgaria;356900;2022;;;;;
7800;Bulgaria;371600;2021;;;;;
7801;Bulgaria;371600;2022;;;;;
7802;Bulgaria;383100;2021;12.0;1.0;63.0;20.0;4.0
7803;Bulgaria;383100;2022;11.0;1.0;83.0;23.0;4.0
7804;Bulgaria;383200;2021;;1.0;44.0;13.0;
7805;Bulgaria;383200;2022;4.0;;52.0;;
7806;Bulgaria;384900;2021;;;;;
7807;Bulgaria;384900;2022;;;;;
7808;Bulgaria;386300;2021;;;;;
7809;Bulgaria;386300;2022;;;;;
7810;Bulgaria;386800;2021;;;8.0;1.0;
7811;Bulgaria;386800;2022;;;;;
7812;Bulgaria;388400;2021;;;;;
7813;Bulgaria;388400;2022;;;;;
7814;Bulgaria;389100;2021;;;;;
7815;Bulgaria;389100;2022;;;;;
7816;Bulgaria;389200;2021;;;;;
7817;Bulgaria;389200;2022;;;;;
7818;Bulgaria;390500;2021;;;;;
7819;Bulgaria;390500;2022;;;;;
7820;Bulgaria;391600;2021;22.0;;;;1.0
7821;Bulgaria;391600;2022;19.0;;;;
7822;Bulgaria;391700;2021;;;;;
7823;Bulgaria;391700;2022;;;;;
7824;Bulgaria;800021;2021;;;;;
7825;Bulgaria;800021;2022;;;;;
7826;Bulgaria;392600;2021;;;;;
7827;Bulgaria;392600;2022;;;;;
7828;Bulgaria;393600;2021;;;;;
7829;Bulgaria;393600;2022;;;;;
7830;Bulgaria;394100;2021;;;;;
7831;Bulgaria;394100;2022;;;;;
7832;Bulgaria;395005;2021;;;;;
7833;Bulgaria;395005;2022;18.0;;;;
7834;Bulgaria;395000;2021;;;;;
7835;Bulgaria;395000;2022;18.0;;;;
7836;Bulgaria;395600;2021;;;;;
7837;Bulgaria;395600;2022;;;;;
7838;Bulgaria;396300;2021;;;;;
7839;Bulgaria;396300;2022;;;;;
7840;Bulgaria;396400;2021;;;;;
7841;Bulgaria;396400;2022;;;;;
7842;Bulgaria;398700;2021;;;;;
7843;Bulgaria;398700;2022;;;;;
7844;Bulgaria;400200;2021;;;;;
7845;Bulgaria;400200;2022;;;;;
7846;Bulgaria;402000;2021;;;;;
7847;Bulgaria;402000;2022;;;;;
7848;Bulgaria;402100;2021;;;;;
7849;Bulgaria;402100;2022;;;;;
7850;Bulgaria;403300;2021;3.0;;3.0;2.0;
7851;Bulgaria;403300;2022;8.0;;;3.0;
7852;Bulgaria;403400;2021;;;;;
7853;Bulgaria;403400;2022;;;;;
7854;Bulgaria;403405;2021;;;;;
7855;Bulgaria;403405;2022;;;;;
7856;Bulgaria;404900;2021;;;;;
7857;Bulgaria;404900;2022;;;;;
7858;Bulgaria;405900;2021;;;;;
7859;Bulgaria;405900;2022;;;;;
7860;Bulgaria;406800;2021;;;;;
7861;Bulgaria;406800;2022;;;;;
7862;Bulgaria;408105;2021;;;;;
7863;Bulgaria;408105;2022;;;;;
7864;Bulgaria;408100;2021;;;;;
7865;Bulgaria;408100;2022;;;;;
7866;Bulgaria;408700;2021;2.0;;2.0;2.0;
7867;Bulgaria;408700;2022;;;;;
7868;Bulgaria;409900;2021;;;;;
7869;Bulgaria;409900;2022;;;;;
7870;Bulgaria;410200;2021;6.0;;10.0;1.0;
7871;Bulgaria;410200;2022;7.0;;12.0;2.0;
7872;Bulgaria;410300;2021;;;;;
7873;Bulgaria;410300;2022;;;;;
7874;Bulgaria;800010;2021;6.0;;10.0;1.0;
7875;Bulgaria;800010;2022;7.0;;12.0;2.0;
7876;Bulgaria;412700;2021;;;;;
7877;Bulgaria;412700;2022;;;;;
7878;Bulgaria;413700;2021;;;;;
7879;Bulgaria;413700;2022;;;;;
7880;Bulgaria;414300;2021;;;;;
7881;Bulgaria;414300;2022;;;;;
7882;Bulgaria;415000;2021;;;;;
7883;Bulgaria;415000;2022;;;;;
7884;Bulgaria;415900;2021;2.0;;;;
7885;Bulgaria;415900;2022;;;;;
7886;Bulgaria;419000;2021;;;;;
7887;Bulgaria;419000;2022;;;;;
7888;Bulgaria;419100;2021;;;;;
7889;Bulgaria;419100;2022;;;;;
7890;Bulgaria;422400;2021;;;;;
7891;Bulgaria;422400;2022;;;;;
7892;Bulgaria;422500;2021;;;;;
7893;Bulgaria;422500;2022;;;;;
7894;Bulgaria;425300;2021;;;;;
7895;Bulgaria;425300;2022;;;;;
7896;Bulgaria;425305;2021;;;;;
7897;Bulgaria;425305;2022;;;;;
7898;Bulgaria;426600;2021;;;;;
7899;Bulgaria;426600;2022;;;;;
7900;Bulgaria;428100;2021;;;;;
7901;Bulgaria;428100;2022;;;;;
7902;Bulgaria;428200;2021;;;;;
7903;Bulgaria;428200;2022;;;;;
7904;Bulgaria;429300;2021;;;;;
7905;Bulgaria;429300;2022;;;;;
7906;Bulgaria;430600;2021;;;;;
7907;Bulgaria;430600;2022;;;;;
7908;Bulgaria;431100;2021;;;;;
7909;Bulgaria;431100;2022;;;;;
7910;Bulgaria;435500;2021;;;;;
7911;Bulgaria;435500;2022;;;;;
7912;Bulgaria;435600;2021;;;;;
7913;Bulgaria;435600;2022;;;;;
7914;Bulgaria;437500;2021;;;;;
7915;Bulgaria;437500;2022;;;;;
7916;Bulgaria;438600;2021;;;;;
7917;Bulgaria;438600;2022;;;;;
7918;Bulgaria;441000;2021;;;;;
7919;Bulgaria;441000;2022;;;;;
7920;Burkina Faso;305700;2021;;;;;
7921;Burkina Faso;305700;2022;;;;;
7922;Burkina Faso;800012;2021;;;;;
7923;Burkina Faso;800012;2022;;;;;
7924;Burkina Faso;305800;2021;;;;;
7925;Burkina Faso;305800;2022;;;;;
7926;Burkina Faso;306300;2021;;;;;
7927;Burkina Faso;306300;2022;;;;;
7928;Burkina Faso;307000;2021;;;;;
7929;Burkina Faso;307000;2022;;;;;
7930;Burkina Faso;307500;2021;;;;;
7931;Burkina Faso;307500;2022;;;;;
7932;Burkina Faso;307610;2021;;;;;
7933;Burkina Faso;307610;2022;;;;;
7934;Burkina Faso;307600;2021;;;;;
7935;Burkina Faso;307600;2022;;;;;
7936;Burkina Faso;311300;2021;;;;;
7937;Burkina Faso;311300;2022;;;;;
7938;Burkina Faso;312200;2021;;;;;
7939;Burkina Faso;312200;2022;;;;;
7940;Burkina Faso;312500;2021;;;;;
7941;Burkina Faso;312500;2022;;;;;
7942;Burkina Faso;312505;2021;;;;;
7943;Burkina Faso;312505;2022;;;;;
7944;Burkina Faso;314000;2021;;;;;
7945;Burkina Faso;314000;2022;;;;;
7946;Burkina Faso;315200;2021;;;;;
7947;Burkina Faso;315200;2022;;;;;
7948;Burkina Faso;315810;2021;;;;;
7949;Burkina Faso;315810;2022;;;;;
7950;Burkina Faso;315800;2021;;;;;
7951;Burkina Faso;315800;2022;;;;;
7952;Burkina Faso;317100;2021;;;;;
7953;Burkina Faso;317100;2022;;;;;
7954;Burkina Faso;318600;2021;;;;;
7955;Burkina Faso;318600;2022;;;;;
7956;Burkina Faso;320000;2021;;;;;
7957;Burkina Faso;320000;2022;;;;;
7958;Burkina Faso;320700;2021;;;;;
7959;Burkina Faso;320700;2022;;;;;
7960;Burkina Faso;323200;2021;;;;;
7961;Burkina Faso;323200;2022;;;;;
7962;Burkina Faso;323705;2021;;;;;
7963;Burkina Faso;323705;2022;;;;;
7964;Burkina Faso;323700;2021;;;;;
7965;Burkina Faso;323700;2022;;;;;
7966;Burkina Faso;324600;2021;;;;;
7967;Burkina Faso;324600;2022;;;;;
7968;Burkina Faso;328100;2021;;;;;
7969;Burkina Faso;328100;2022;;;;;
7970;Burkina Faso;328105;2021;;;;;
7971;Burkina Faso;328105;2022;;;;;
7972;Burkina Faso;330300;2021;;;;;
7973;Burkina Faso;330300;2022;;;;;
7974;Burkina Faso;332900;2021;;;;;
7975;Burkina Faso;332900;2022;;;;;
7976;Burkina Faso;334800;2021;;;;;
7977;Burkina Faso;334800;2022;;;;;
7978;Burkina Faso;336500;2021;;;;;
7979;Burkina Faso;336500;2022;;;;;
7980;Burkina Faso;339200;2021;;;;;
7981;Burkina Faso;339200;2022;;;;;
7982;Burkina Faso;339205;2021;;;;;
7983;Burkina Faso;339205;2022;;;;;
7984;Burkina Faso;340200;2021;;;;;
7985;Burkina Faso;340200;2022;;;;;
7986;Burkina Faso;341600;2021;;;;;
7987;Burkina Faso;341600;2022;;;;;
7988;Burkina Faso;342400;2021;;;;;
7989;Burkina Faso;342400;2022;;;;;
7990;Burkina Faso;344400;2021;;;;;
7991;Burkina Faso;344400;2022;;;;;
7992;Burkina Faso;346600;2021;;;;;
7993;Burkina Faso;346600;2022;;;;;
7994;Burkina Faso;346700;2021;;;;;
7995;Burkina Faso;346700;2022;;;;;
7996;Burkina Faso;348000;2021;;;;;
7997;Burkina Faso;348000;2022;;;;;
7998;Burkina Faso;348100;2021;;;;;
7999;Burkina Faso;348100;2022;;;;;
8000;Burkina Faso;348400;2021;;;;;
8001;Burkina Faso;348400;2022;;;;;
8002;Burkina Faso;348700;2021;;;;;
8003;Burkina Faso;348700;2022;;;;;
8004;Burkina Faso;349700;2021;;;;;
8005;Burkina Faso;349700;2022;;;;;
8006;Burkina Faso;350000;2021;;;;;
8007;Burkina Faso;350000;2022;;;;;
8008;Burkina Faso;350100;2021;;;;;
8009;Burkina Faso;350100;2022;;;;;
8010;Burkina Faso;350600;2021;;;;;
8011;Burkina Faso;350600;2022;;;;;
8012;Burkina Faso;351900;2021;;;;;
8013;Burkina Faso;351900;2022;;;;;
8014;Burkina Faso;354200;2021;;;;;
8015;Burkina Faso;354200;2022;;;;;
8016;Burkina Faso;354300;2021;;;;;
8017;Burkina Faso;354300;2022;;;;;
8018;Burkina Faso;356900;2021;;;;;
8019;Burkina Faso;356900;2022;;;;;
8020;Burkina Faso;371600;2021;;;;;
8021;Burkina Faso;371600;2022;;;;;
8022;Burkina Faso;383100;2021;;;;;
8023;Burkina Faso;383100;2022;;;;;
8024;Burkina Faso;383200;2021;;;;;
8025;Burkina Faso;383200;2022;;;;;
8026;Burkina Faso;384900;2021;;;;;
8027;Burkina Faso;384900;2022;;;;;
8028;Burkina Faso;386300;2021;;;;;
8029;Burkina Faso;386300;2022;;;;;
8030;Burkina Faso;386800;2021;;;;;
8031;Burkina Faso;386800;2022;;;;;
8032;Burkina Faso;388400;2021;;;;;
8033;Burkina Faso;388400;2022;;;;;
8034;Burkina Faso;389100;2021;;;;;
8035;Burkina Faso;389100;2022;;;;;
8036;Burkina Faso;389200;2021;;;;;
8037;Burkina Faso;389200;2022;;;;;
8038;Burkina Faso;390500;2021;;;;;
8039;Burkina Faso;390500;2022;;;;;
8040;Burkina Faso;391600;2021;;;;;
8041;Burkina Faso;391600;2022;;;;;
8042;Burkina Faso;391700;2021;;;;;
8043;Burkina Faso;391700;2022;;;;;
8044;Burkina Faso;800021;2021;;;;;
8045;Burkina Faso;800021;2022;;;;;
8046;Burkina Faso;392600;2021;;;;;
8047;Burkina Faso;392600;2022;;;;;
8048;Burkina Faso;393600;2021;;;;;
8049;Burkina Faso;393600;2022;;;;;
8050;Burkina Faso;394100;2021;;;;;
8051;Burkina Faso;394100;2022;;;;;
8052;Burkina Faso;395005;2021;;;;;
8053;Burkina Faso;395005;2022;;;;;
8054;Burkina Faso;395000;2021;;;;;
8055;Burkina Faso;395000;2022;;;;;
8056;Burkina Faso;395600;2021;;;;;
8057;Burkina Faso;395600;2022;;;;;
8058;Burkina Faso;396300;2021;;;;;
8059;Burkina Faso;396300;2022;;;;;
8060;Burkina Faso;396400;2021;;;;;
8061;Burkina Faso;396400;2022;;;;;
8062;Burkina Faso;398700;2021;;;;;
8063;Burkina Faso;398700;2022;;;;;
8064;Burkina Faso;400200;2021;;;;;
8065;Burkina Faso;400200;2022;;;;;
8066;Burkina Faso;402000;2021;;;;;
8067;Burkina Faso;402000;2022;;;;;
8068;Burkina Faso;402100;2021;;;;;
8069;Burkina Faso;402100;2022;;;;;
8070;Burkina Faso;403300;2021;;;;;
8071;Burkina Faso;403300;2022;;;;;
8072;Burkina Faso;403400;2021;;;;;
8073;Burkina Faso;403400;2022;;;;;
8074;Burkina Faso;403405;2021;;;;;
8075;Burkina Faso;403405;2022;;;;;
8076;Burkina Faso;404900;2021;;;;;
8077;Burkina Faso;404900;2022;;;;;
8078;Burkina Faso;405900;2021;;;;;
8079;Burkina Faso;405900;2022;;;;;
8080;Burkina Faso;406800;2021;;;;;
8081;Burkina Faso;406800;2022;;;;;
8082;Burkina Faso;408105;2021;;;;;
8083;Burkina Faso;408105;2022;;;;;
8084;Burkina Faso;408100;2021;;;;;
8085;Burkina Faso;408100;2022;;;;;
8086;Burkina Faso;408700;2021;;;;;
8087;Burkina Faso;408700;2022;;;;;
8088;Burkina Faso;409900;2021;;;;;
8089;Burkina Faso;409900;2022;;;;;
8090;Burkina Faso;410200;2021;;;;;
8091;Burkina Faso;410200;2022;;;;;
8092;Burkina Faso;410300;2021;;;;;
8093;Burkina Faso;410300;2022;;;;;
8094;Burkina Faso;800010;2021;;;;;
8095;Burkina Faso;800010;2022;;;;;
8096;Burkina Faso;412700;2021;;;;;
8097;Burkina Faso;412700;2022;;;;;
8098;Burkina Faso;413700;2021;;;;;
8099;Burkina Faso;413700;2022;;;;;
8100;Burkina Faso;414300;2021;;;;;
8101;Burkina Faso;414300;2022;;;;;
8102;Burkina Faso;415000;2021;;;;;
8103;Burkina Faso;415000;2022;;;;;
8104;Burkina Faso;415900;2021;;;;;
8105;Burkina Faso;415900;2022;;;;;
8106;Burkina Faso;419000;2021;;;;;
8107;Burkina Faso;419000;2022;;;;;
8108;Burkina Faso;419100;2021;;;;;
8109;Burkina Faso;419100;2022;;;;;
8110;Burkina Faso;422400;2021;;;;;
8111;Burkina Faso;422400;2022;;;;;
8112;Burkina Faso;422500;2021;;;;;
8113;Burkina Faso;422500;2022;;;;;
8114;Burkina Faso;425300;2021;;;;;
8115;Burkina Faso;425300;2022;;;;;
8116;Burkina Faso;425305;2021;;;;;
