ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
333;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 9;2219
334;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 10;2214
335;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 11;2197
336;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 12;2363
337;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 13;2285
338;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 14;2184
339;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 15;2191
340;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 16;2257
341;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 17;2153
342;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 18;2085
343;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 19;2109
344;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 20;2052
345;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 21;2083
346;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 22;1988
347;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 23;2046
348;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 24;2106
349;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 25;1989
350;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 26;2026
351;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 27;2113
352;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 28;1891
353;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 29;1936
354;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 30;1875
355;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 31;1953
356;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 32;1898
357;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 33;1981
358;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 34;1978
359;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 35;1972
360;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 36;1951
361;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 37;1971
362;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 38;2112
363;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 39;2066
364;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 40;2190
365;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 41;2055
