ID;OutputPrices;SIC2008;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
369;Total sales;08 Mining and quarrying (no oil and gas);2016 June;98.6;-0.3;-1.9;596
370;Total sales;08 Mining and quarrying (no oil and gas);2016 July;98.7;0.2;-2.9;596
371;Total sales;08 Mining and quarrying (no oil and gas);2016 August;98.8;0.0;-3.0;596
372;Total sales;08 Mining and quarrying (no oil and gas);2016 September;97.3;-1.5;-3.7;596
373;Total sales;08 Mining and quarrying (no oil and gas);2016 October;97.6;0.4;-2.4;596
374;Total sales;08 Mining and quarrying (no oil and gas);2016 November;97.7;0.1;-1.8;596
375;Total sales;08 Mining and quarrying (no oil and gas);2016 December;97.9;0.1;-1.1;596
376;Total sales;08 Mining and quarrying (no oil and gas);2016;98.4;;-1.6;596
377;Total sales;08 Mining and quarrying (no oil and gas);2017 January;98.6;0.8;0.0;596
378;Total sales;08 Mining and quarrying (no oil and gas);2017 February;99.8;1.2;1.1;596
379;Total sales;08 Mining and quarrying (no oil and gas);2017 March;99.6;-0.2;0.8;596
380;Total sales;08 Mining and quarrying (no oil and gas);2017 April;100.3;0.6;0.9;596
381;Total sales;08 Mining and quarrying (no oil and gas);2017 May;99.9;-0.4;1.0;596
382;Total sales;08 Mining and quarrying (no oil and gas);2017 June;99.2;-0.7;0.6;596
383;Total sales;08 Mining and quarrying (no oil and gas);2017 July;98.5;-0.8;-0.3;596
384;Total sales;08 Mining and quarrying (no oil and gas);2017 August;98.4;-0.1;-0.4;596
385;Total sales;08 Mining and quarrying (no oil and gas);2017 September;98.5;0.1;1.3;596
386;Total sales;08 Mining and quarrying (no oil and gas);2017 October;98.3;-0.2;0.7;596
387;Total sales;08 Mining and quarrying (no oil and gas);2017 November;98.8;0.5;1.1;596
388;Total sales;08 Mining and quarrying (no oil and gas);2017 December;98.9;0.1;1.1;596
389;Total sales;08 Mining and quarrying (no oil and gas);2017;99.1;;0.7;596
390;Total sales;08 Mining and quarrying (no oil and gas);2018 January;102.3;3.5;3.8;596
391;Total sales;08 Mining and quarrying (no oil and gas);2018 February;102.3;0.0;2.5;596
392;Total sales;08 Mining and quarrying (no oil and gas);2018 March;103.1;0.7;3.5;596
393;Total sales;08 Mining and quarrying (no oil and gas);2018 April;102.6;-0.5;2.3;596
394;Total sales;08 Mining and quarrying (no oil and gas);2018 May;102.5;-0.1;2.7;596
395;Total sales;08 Mining and quarrying (no oil and gas);2018 June;102.3;-0.2;3.1;596
396;Total sales;08 Mining and quarrying (no oil and gas);2018 July;103.7;1.3;5.3;596
397;Total sales;08 Mining and quarrying (no oil and gas);2018 August;103.3;-0.3;5.0;596
398;Total sales;08 Mining and quarrying (no oil and gas);2018 September;103.7;0.3;5.2;596
399;Total sales;08 Mining and quarrying (no oil and gas);2018 October;104.9;1.2;6.7;596
400;Total sales;08 Mining and quarrying (no oil and gas);2018 November;105.2;0.3;6.5;596
401;Total sales;08 Mining and quarrying (no oil and gas);2018 December;105.1;-0.1;6.3;596
402;Total sales;08 Mining and quarrying (no oil and gas);2018;103.4;;4.4;596
403;Total sales;08 Mining and quarrying (no oil and gas);2019 January;105.9;0.7;3.5;596
404;Total sales;08 Mining and quarrying (no oil and gas);2019 February;106.1;0.2;3.6;596
405;Total sales;08 Mining and quarrying (no oil and gas);2019 March;105.5;-0.5;2.3;596
406;Total sales;08 Mining and quarrying (no oil and gas);2019 April;109.1;3.4;6.3;596
407;Total sales;08 Mining and quarrying (no oil and gas);2019 May;110.0;0.9;7.3;596
408;Total sales;08 Mining and quarrying (no oil and gas);2019 June;109.1;-0.9;6.6;596
409;Total sales;08 Mining and quarrying (no oil and gas);2019 July;108.3;-0.7;4.5;596
410;Total sales;08 Mining and quarrying (no oil and gas);2019 August;108.8;0.5;5.4;596
411;Total sales;08 Mining and quarrying (no oil and gas);2019 September;111.7;2.6;7.7;596
412;Total sales;08 Mining and quarrying (no oil and gas);2019 October;112.6;0.8;7.3;596
413;Total sales;08 Mining and quarrying (no oil and gas);2019 November;112.3;-0.2;6.8;596
414;Total sales;08 Mining and quarrying (no oil and gas);2019 December;113.3;0.8;7.8;596
415;Total sales;08 Mining and quarrying (no oil and gas);2019;109.3;;5.7;596
416;Total sales;08 Mining and quarrying (no oil and gas);2020 January;112.4;-0.8;6.1;596
417;Total sales;08 Mining and quarrying (no oil and gas);2020 February;113.4;0.9;6.9;596
418;Total sales;08 Mining and quarrying (no oil and gas);2020 March;112.8;-0.5;6.9;596
419;Total sales;08 Mining and quarrying (no oil and gas);2020 April;113.5;0.7;4.1;596
420;Total sales;08 Mining and quarrying (no oil and gas);2020 May;112.2;-1.2;2.0;596
421;Total sales;08 Mining and quarrying (no oil and gas);2020 June;112.1;-0.1;2.8;596
422;Total sales;08 Mining and quarrying (no oil and gas);2020 July;109.6;-2.2;1.2;596
423;Total sales;08 Mining and quarrying (no oil and gas);2020 August;110.3;0.7;1.3;596
424;Total sales;08 Mining and quarrying (no oil and gas);2020 September;109.2;-1.0;-2.3;596
425;Total sales;08 Mining and quarrying (no oil and gas);2020 October;111.2;1.9;-1.2;596
426;Total sales;08 Mining and quarrying (no oil and gas);2020 November;111.2;0.0;-1.0;596
427;Total sales;08 Mining and quarrying (no oil and gas);2020 December;111.4;0.2;-1.6;596
428;Total sales;08 Mining and quarrying (no oil and gas);2020;111.6;;2.0;596
429;Total sales;08 Mining and quarrying (no oil and gas);2021 January;111.4;0.0;-0.9;596
430;Total sales;08 Mining and quarrying (no oil and gas);2021 February;111.8;0.4;-1.4;596
431;Total sales;08 Mining and quarrying (no oil and gas);2021 March;112.4;0.5;-0.3;596
432;Total sales;08 Mining and quarrying (no oil and gas);2021 April;113.8;1.3;0.3;596
433;Total sales;08 Mining and quarrying (no oil and gas);2021 May;113.6;-0.2;1.3;596
434;Total sales;08 Mining and quarrying (no oil and gas);2021 June;113.6;0.0;1.4;596
435;Total sales;08 Mining and quarrying (no oil and gas);2021 July;116.7;2.7;6.5;596
436;Total sales;08 Mining and quarrying (no oil and gas);2021 August;117.4;0.7;6.5;596
437;Total sales;08 Mining and quarrying (no oil and gas);2021 September;117.6;0.1;7.7;596
438;Total sales;08 Mining and quarrying (no oil and gas);2021 October;121.4;3.2;9.1;596
439;Total sales;08 Mining and quarrying (no oil and gas);2021 November;122.0;0.5;9.7;596
440;Total sales;08 Mining and quarrying (no oil and gas);2021 December;123.8;1.5;11.2;596
441;Total sales;08 Mining and quarrying (no oil and gas);2021;116.3;;4.2;596
442;Total sales;08 Mining and quarrying (no oil and gas);2022 January;129.4;4.5;16.2;596
443;Total sales;08 Mining and quarrying (no oil and gas);2022 February;131.7;1.8;17.8;596
444;Total sales;08 Mining and quarrying (no oil and gas);2022 March;133.1;1.0;18.4;596
445;Total sales;08 Mining and quarrying (no oil and gas);2022 April;137.8;3.5;21.0;596
446;Total sales;08 Mining and quarrying (no oil and gas);2022 May;138.1;0.2;21.5;596
447;Total sales;08 Mining and quarrying (no oil and gas);2022 June;137.8;-0.2;21.3;596
448;Total sales;08 Mining and quarrying (no oil and gas);2022 July;138.7;0.6;18.9;596
449;Total sales;08 Mining and quarrying (no oil and gas);2022 August;140.3;1.2;19.4;596
450;Total sales;08 Mining and quarrying (no oil and gas);2022 September;142.0;1.2;20.7;596
451;Total sales;08 Mining and quarrying (no oil and gas);2022 October;141.9;-0.1;16.9;596
452;Total sales;08 Mining and quarrying (no oil and gas);2022 November;156.6;10.4;28.4;596
453;Total sales;08 Mining and quarrying (no oil and gas);2022 December;155.9;-0.4;25.9;596
454;Total sales;08 Mining and quarrying (no oil and gas);2022;140.3;;20.6;596
455;Total sales;08 Mining and quarrying (no oil and gas);2023 January;150.0;-3.8;15.9;596
456;Total sales;08 Mining and quarrying (no oil and gas);2023 February;143.9;-4.1;9.2;596
457;Total sales;08 Mining and quarrying (no oil and gas);2023 March;140.7;-2.2;5.7;596
458;Total sales;08 Mining and quarrying (no oil and gas);2023 April;142.1;1.0;3.1;596
459;Total sales;08 Mining and quarrying (no oil and gas);2023 May;141.4;-0.5;2.4;596
460;Total sales;08 Mining and quarrying (no oil and gas);2023 June;140.7;-0.5;2.1;596
461;Total sales;08 Mining and quarrying (no oil and gas);2023 July;145.2;3.2;4.7;596
462;Total sales;08 Mining and quarrying (no oil and gas);2023 August;144.7;-0.3;3.1;596
463;Total sales;08 Mining and quarrying (no oil and gas);2023 September;145.6;0.6;2.6;596
464;Total sales;08 Mining and quarrying (no oil and gas);2023 October;145.8;0.2;2.8;596
465;Total sales;08 Mining and quarrying (no oil and gas);2023 November;144.9;-0.6;-7.5;596
466;Total sales;08 Mining and quarrying (no oil and gas);2023 December;144.5;-0.3;-7.3;596
467;Total sales;08 Mining and quarrying (no oil and gas);2023;144.1;;2.7;596
468;Total sales;C Manufacturing;2012 January;107.0;;;247932
469;Total sales;C Manufacturing;2012 February;108.0;0.9;;247932
470;Total sales;C Manufacturing;2012 March;108.9;0.8;;247932
471;Total sales;C Manufacturing;2012 April;108.9;0.0;;247932
472;Total sales;C Manufacturing;2012 May;108.1;-0.7;;247932
473;Total sales;C Manufacturing;2012 June;106.4;-1.5;;247932
474;Total sales;C Manufacturing;2012 July;107.4;0.9;;247932
475;Total sales;C Manufacturing;2012 August;109.0;1.5;;247932
476;Total sales;C Manufacturing;2012 September;109.5;0.4;;247932
477;Total sales;C Manufacturing;2012 October;109.1;-0.4;;247932
478;Total sales;C Manufacturing;2012 November;108.4;-0.6;;247932
479;Total sales;C Manufacturing;2012 December;107.8;-0.6;;247932
480;Total sales;C Manufacturing;2012;108.2;;;247932
481;Total sales;C Manufacturing;2013 January;108.0;0.2;0.9;247932
482;Total sales;C Manufacturing;2013 February;108.8;0.8;0.8;247932
483;Total sales;C Manufacturing;2013 March;108.0;-0.7;-0.8;247932
484;Total sales;C Manufacturing;2013 April;107.0;-1.0;-1.7;247932
485;Total sales;C Manufacturing;2013 May;106.7;-0.3;-1.3;247932
486;Total sales;C Manufacturing;2013 June;106.3;-0.3;-0.1;247932
487;Total sales;C Manufacturing;2013 July;106.9;0.5;-0.5;247932
488;Total sales;C Manufacturing;2013 August;107.0;0.1;-1.9;247932
489;Total sales;C Manufacturing;2013 September;106.9;-0.1;-2.4;247932
490;Total sales;C Manufacturing;2013 October;105.9;-0.9;-2.9;247932
491;Total sales;C Manufacturing;2013 November;105.9;0.0;-2.3;247932
492;Total sales;C Manufacturing;2013 December;106.2;0.2;-1.5;247932
493;Total sales;C Manufacturing;2013;107.0;;-1.1;247932
494;Total sales;C Manufacturing;2014 January;106.2;0.0;-1.7;247932
495;Total sales;C Manufacturing;2014 February;106.2;0.0;-2.4;247932
496;Total sales;C Manufacturing;2014 March;105.6;-0.5;-2.2;247932
497;Total sales;C Manufacturing;2014 April;106.1;0.4;-0.9;247932
498;Total sales;C Manufacturing;2014 May;106.2;0.2;-0.4;247932
499;Total sales;C Manufacturing;2014 June;106.4;0.2;0.1;247932
500;Total sales;C Manufacturing;2014 July;106.4;-0.1;-0.5;247932
501;Total sales;C Manufacturing;2014 August;105.9;-0.4;-1.0;247932
502;Total sales;C Manufacturing;2014 September;105.7;-0.1;-1.0;247932
503;Total sales;C Manufacturing;2014 October;104.6;-1.1;-1.2;247932
504;Total sales;C Manufacturing;2014 November;103.2;-1.3;-2.6;247932
505;Total sales;C Manufacturing;2014 December;100.1;-2.9;-5.7;247932
506;Total sales;C Manufacturing;2014;105.2;;-1.6;247932
507;Total sales;C Manufacturing;2015 January;98.2;-2.0;-7.5;247932
508;Total sales;C Manufacturing;2015 February;99.7;1.6;-6.1;247932
509;Total sales;C Manufacturing;2015 March;100.9;1.2;-4.5;247932
510;Total sales;C Manufacturing;2015 April;102.0;1.2;-3.8;247932
511;Total sales;C Manufacturing;2015 May;102.7;0.6;-3.3;247932
512;Total sales;C Manufacturing;2015 June;102.7;0.0;-3.5;247932
513;Total sales;C Manufacturing;2015 July;102.0;-0.7;-4.1;247932
514;Total sales;C Manufacturing;2015 August;99.9;-2.1;-5.7;247932
515;Total sales;C Manufacturing;2015 September;98.8;-1.0;-6.5;247932
516;Total sales;C Manufacturing;2015 October;98.0;-0.8;-6.2;247932
517;Total sales;C Manufacturing;2015 November;98.3;0.3;-4.7;247932
518;Total sales;C Manufacturing;2015 December;96.8;-1.5;-3.3;247932
519;Total sales;C Manufacturing;2015;100.0;;-5.0;247932
520;Total sales;C Manufacturing;2016 January;95.5;-1.4;-2.7;247932
521;Total sales;C Manufacturing;2016 February;94.7;-0.8;-5.0;247932
522;Total sales;C Manufacturing;2016 March;95.5;0.8;-5.4;247932
523;Total sales;C Manufacturing;2016 April;96.0;0.6;-5.9;247932
524;Total sales;C Manufacturing;2016 May;97.2;1.3;-5.3;247932
525;Total sales;C Manufacturing;2016 June;98.1;0.9;-4.5;247932
526;Total sales;C Manufacturing;2016 July;97.7;-0.4;-4.2;247932
527;Total sales;C Manufacturing;2016 August;97.6;-0.1;-2.2;247932
528;Total sales;C Manufacturing;2016 September;98.1;0.5;-0.7;247932
529;Total sales;C Manufacturing;2016 October;99.5;1.4;1.5;247932
530;Total sales;C Manufacturing;2016 November;99.3;-0.1;1.0;247932
531;Total sales;C Manufacturing;2016 December;101.0;1.7;4.4;247932
532;Total sales;C Manufacturing;2016;97.5;;-2.5;247932
533;Total sales;C Manufacturing;2017 January;102.2;1.1;7.0;247932
534;Total sales;C Manufacturing;2017 February;102.9;0.7;8.6;247932
535;Total sales;C Manufacturing;2017 March;102.8;-0.1;7.7;247932
536;Total sales;C Manufacturing;2017 April;103.2;0.3;7.5;247932
537;Total sales;C Manufacturing;2017 May;102.0;-1.2;4.9;247932
538;Total sales;C Manufacturing;2017 June;101.1;-0.9;3.0;247932
539;Total sales;C Manufacturing;2017 July;100.7;-0.3;3.1;247932
540;Total sales;C Manufacturing;2017 August;101.1;0.4;3.6;247932
541;Total sales;C Manufacturing;2017 September;102.1;1.0;4.1;247932
542;Total sales;C Manufacturing;2017 October;102.3;0.1;2.8;247932
543;Total sales;C Manufacturing;2017 November;103.1;0.8;3.8;247932
544;Total sales;C Manufacturing;2017 December;103.1;0.0;2.1;247932
545;Total sales;C Manufacturing;2017;102.2;;4.8;247932
546;Total sales;C Manufacturing;2018 January;103.7;0.6;1.5;247932
547;Total sales;C Manufacturing;2018 February;103.2;-0.5;0.3;247932
548;Total sales;C Manufacturing;2018 March;103.5;0.3;0.6;247932
549;Total sales;C Manufacturing;2018 April;104.2;0.8;1.0;247932
550;Total sales;C Manufacturing;2018 May;105.7;1.4;3.7;247932
551;Total sales;C Manufacturing;2018 June;106.1;0.4;5.0;247932
552;Total sales;C Manufacturing;2018 July;106.2;0.1;5.4;247932
553;Total sales;C Manufacturing;2018 August;106.4;0.2;5.2;247932
554;Total sales;C Manufacturing;2018 September;106.9;0.5;4.7;247932
555;Total sales;C Manufacturing;2018 October;107.7;0.7;5.3;247932
556;Total sales;C Manufacturing;2018 November;105.9;-1.6;2.7;247932
557;Total sales;C Manufacturing;2018 December;103.7;-2.1;0.6;247932
558;Total sales;C Manufacturing;2018;105.3;;3.0;247932
559;Total sales;C Manufacturing;2019 January;104.7;1.0;1.0;247932
560;Total sales;C Manufacturing;2019 February;105.3;0.6;2.1;247932
561;Total sales;C Manufacturing;2019 March;106.2;0.8;2.6;247932
562;Total sales;C Manufacturing;2019 April;107.7;1.5;3.3;247932
563;Total sales;C Manufacturing;2019 May;107.9;0.1;2.0;247932
564;Total sales;C Manufacturing;2019 June;106.5;-1.3;0.4;247932
565;Total sales;C Manufacturing;2019 July;106.3;-0.2;0.1;247932
566;Total sales;C Manufacturing;2019 August;105.5;-0.7;-0.8;247932
567;Total sales;C Manufacturing;2019 September;106.1;0.6;-0.7;247932
568;Total sales;C Manufacturing;2019 October;106.0;-0.1;-1.5;247932
569;Total sales;C Manufacturing;2019 November;106.1;0.1;0.2;247932
570;Total sales;C Manufacturing;2019 December;106.7;0.5;2.9;247932
571;Total sales;C Manufacturing;2019;106.3;;0.9;247932
572;Total sales;C Manufacturing;2020 January;107.0;0.3;2.2;247932
573;Total sales;C Manufacturing;2020 February;106.3;-0.7;0.9;247932
574;Total sales;C Manufacturing;2020 March;102.2;-3.8;-3.8;247932
575;Total sales;C Manufacturing;2020 April;99.1;-3.0;-8.0;247932
576;Total sales;C Manufacturing;2020 May;99.4;0.4;-7.8;247932
577;Total sales;C Manufacturing;2020 June;100.6;1.2;-5.5;247932
578;Total sales;C Manufacturing;2020 July;101.2;0.6;-4.8;247932
579;Total sales;C Manufacturing;2020 August;101.1;-0.1;-4.2;247932
580;Total sales;C Manufacturing;2020 September;100.5;-0.6;-5.3;247932
581;Total sales;C Manufacturing;2020 October;100.8;0.3;-5.0;247932
582;Total sales;C Manufacturing;2020 November;101.2;0.4;-4.6;247932
583;Total sales;C Manufacturing;2020 December;102.3;1.1;-4.1;247932
584;Total sales;C Manufacturing;2020;101.8;;-4.2;247932
585;Total sales;C Manufacturing;2021 January;105.0;2.7;-1.8;247932
586;Total sales;C Manufacturing;2021 February;107.2;2.1;0.9;247932
587;Total sales;C Manufacturing;2021 March;109.4;2.1;7.1;247932
588;Total sales;C Manufacturing;2021 April;111.2;1.7;12.3;247932
589;Total sales;C Manufacturing;2021 May;112.5;1.1;13.1;247932
590;Total sales;C Manufacturing;2021 June;113.3;0.7;12.6;247932
591;Total sales;C Manufacturing;2021 July;115.5;1.9;14.1;247932
592;Total sales;C Manufacturing;2021 August;116.5;0.9;15.2;247932
593;Total sales;C Manufacturing;2021 September;117.7;1.0;17.1;247932
