ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
4952;Electricity, gas, water and motor fuels;2014 September;82.1;-2.8;;76.3;-4.3;-1.5
4953;Electricity, gas, water and motor fuels;2014 3rd quarter;78.8;-1.4;;73.7;-2.6;-1.2
4954;Electricity, gas, water and motor fuels;2014 October;95.4;-4.7;;88.6;-4.5;0.2
4955;Electricity, gas, water and motor fuels;2014 November;110.0;-6.9;;98.5;-7.3;-0.4
4956;Electricity, gas, water and motor fuels;2014 December;136.7;4.3;;116.7;1.5;-2.7
4957;Electricity, gas, water and motor fuels;2014 4th quarter;114.0;-2.1;;101.2;-3.2;-1.2
4958;Electricity, gas, water and motor fuels;2015 January;135.3;3.7;;122.2;-2.9;-6.4
4959;Electricity, gas, water and motor fuels;2015 February;121.7;6.3;;112.6;0.3;-5.7
4960;Electricity, gas, water and motor fuels;2015 March;120.5;9.9;;113.0;4.8;-4.6
4961;Electricity, gas, water and motor fuels;2015 1st quarter;125.8;6.5;;116.0;0.5;-5.6
4962;Electricity, gas, water and motor fuels;2015 April;98.2;7.5;;91.2;2.9;-4.3
4963;Electricity, gas, water and motor fuels;2015 May;83.2;-3.3;;79.7;-7.1;-3.9
4964;Electricity, gas, water and motor fuels;2015 June;78.2;2.9;;76.1;-1.7;-4.4
4965;Electricity, gas, water and motor fuels;2015 2nd quarter;86.5;2.5;;82.3;-1.9;-4.3
4966;Electricity, gas, water and motor fuels;2015 July;78.7;1.1;;70.9;-3.8;-4.8
4967;Electricity, gas, water and motor fuels;2015 August;76.0;-0.5;;66.4;-6.8;-6.4
4968;Electricity, gas, water and motor fuels;2015 September;87.0;5.9;;74.0;-3.0;-8.4
4969;Electricity, gas, water and motor fuels;2015 3rd quarter;80.5;2.3;;70.4;-4.5;-6.6
4970;Electricity, gas, water and motor fuels;2015 October;105.2;10.2;;89.3;0.9;-8.5
4971;Electricity, gas, water and motor fuels;2015 November;110.1;0.1;;91.8;-6.7;-6.8
4972;Electricity, gas, water and motor fuels;2015 December;120.6;-11.8;;96.0;-17.7;-6.7
4973;Electricity, gas, water and motor fuels;2015 4th quarter;111.9;-1.8;;92.4;-8.7;-7.0
4974;Electricity, gas, water and motor fuels;2016 January;133.1;-1.6;;113.2;-7.3;-5.8
4975;Electricity, gas, water and motor fuels;2016 February;125.8;3.3;;107.1;-4.9;-8.0
4976;Electricity, gas, water and motor fuels;2016 March;126.8;5.2;;108.2;-4.3;-9.0
4977;Electricity, gas, water and motor fuels;2016 1st quarter;128.6;2.1;;109.5;-5.6;-7.6
4978;Electricity, gas, water and motor fuels;2016 April;102.4;4.2;;86.7;-5.0;-8.8
4979;Electricity, gas, water and motor fuels;2016 May;84.2;1.2;;72.1;-9.6;-10.6
4980;Electricity, gas, water and motor fuels;2016 June;79.6;1.8;;69.2;-9.0;-10.7
4981;Electricity, gas, water and motor fuels;2016 2nd quarter;88.7;2.5;;76.0;-7.7;-10.0
4982;Electricity, gas, water and motor fuels;2016 July;80.0;1.6;;64.9;-8.5;-10.0
4983;Electricity, gas, water and motor fuels;2016 August;79.3;4.4;;64.1;-3.5;-7.5
4984;Electricity, gas, water and motor fuels;2016 September;80.8;-7.1;;65.8;-11.1;-4.3
4985;Electricity, gas, water and motor fuels;2016 3rd quarter;80.0;-0.6;;64.9;-7.8;-7.3
4986;Electricity, gas, water and motor fuels;2016 October;97.6;-7.2;;84.4;-5.5;1.8
4987;Electricity, gas, water and motor fuels;2016 November;119.9;8.9;;101.7;10.8;1.7
4988;Electricity, gas, water and motor fuels;2016 December;130.4;8.2;;109.9;14.5;5.8
4989;Electricity, gas, water and motor fuels;2016 4th quarter;116.0;3.6;;98.7;6.8;3.1
4990;Electricity, gas, water and motor fuels;2017 January;145.5;9.3;;127.4;12.5;2.9
4991;Electricity, gas, water and motor fuels;2017 February;121.1;-3.7;;107.8;0.7;4.6
4992;Electricity, gas, water and motor fuels;2017 March;115.2;-9.1;;102.4;-5.3;4.2
4993;Electricity, gas, water and motor fuels;2017 1st quarter;127.3;-1.0;;112.5;2.8;3.8
4994;Electricity, gas, water and motor fuels;2017 April;100.4;-1.9;;87.5;1.0;2.9
4995;Electricity, gas, water and motor fuels;2017 May;86.5;2.7;;74.6;3.5;0.8
4996;Electricity, gas, water and motor fuels;2017 June;79.4;-0.3;;68.3;-1.3;-1.0
4997;Electricity, gas, water and motor fuels;2017 2nd quarter;88.8;0.0;;76.8;1.1;1.0
4998;Electricity, gas, water and motor fuels;2017 July;79.9;-0.1;;65.1;0.4;0.5
4999;Electricity, gas, water and motor fuels;2017 August;79.2;-0.2;;65.0;1.4;1.6
5000;Electricity, gas, water and motor fuels;2017 September;87.9;8.7;;73.1;11.1;2.1
5001;Electricity, gas, water and motor fuels;2017 3rd quarter;82.3;2.8;;67.7;4.3;1.5
5002;Electricity, gas, water and motor fuels;2017 October;94.2;-3.4;;82.9;-1.8;1.7
5003;Electricity, gas, water and motor fuels;2017 November;114.7;-4.3;;101.9;0.1;4.6
5004;Electricity, gas, water and motor fuels;2017 December;131.5;0.8;;113.7;3.4;2.6
5005;Electricity, gas, water and motor fuels;2017 4th quarter;113.5;-2.1;;99.5;0.8;3.0
5006;Electricity, gas, water and motor fuels;2018 January;134.5;-7.6;;122.4;-3.9;3.9
5007;Electricity, gas, water and motor fuels;2018 February;134.3;10.9;;123.7;14.8;3.5
5008;Electricity, gas, water and motor fuels;2018 March;133.8;16.2;;123.1;20.2;3.5
5009;Electricity, gas, water and motor fuels;2018 1st quarter;134.2;5.5;;123.1;9.4;3.7
5010;Electricity, gas, water and motor fuels;2018 April;93.4;-7.0;;84.0;-4.0;3.2
5011;Electricity, gas, water and motor fuels;2018 May;82.7;-4.4;;77.3;3.5;8.2
5012;Electricity, gas, water and motor fuels;2018 June;79.5;0.1;;75.2;10.0;9.9
5013;Electricity, gas, water and motor fuels;2018 2nd quarter;85.2;-4.0;;78.8;2.6;6.9
5014;Electricity, gas, water and motor fuels;2018 July;81.1;1.5;;71.5;9.7;8.1
5015;Electricity, gas, water and motor fuels;2018 August;79.3;0.2;;70.2;8.1;7.9
5016;Electricity, gas, water and motor fuels;2018 September;85.4;-2.8;;75.8;3.7;6.7
5017;Electricity, gas, water and motor fuels;2018 3rd quarter;81.9;-0.4;;72.5;7.0;7.5
5018;Electricity, gas, water and motor fuels;2018 October;96.2;2.0;;91.3;10.1;8.0
5019;Electricity, gas, water and motor fuels;2018 November;117.5;2.4;;108.9;6.9;4.3
5020;Electricity, gas, water and motor fuels;2018 December;126.6;-3.7;;112.1;-1.4;2.4
5021;Electricity, gas, water and motor fuels;2018 4th quarter;113.4;-0.1;;104.1;4.7;4.7
5022;Electricity, gas, water and motor fuels;2019 January;139.7;3.9;;133.9;9.4;5.2
5023;Electricity, gas, water and motor fuels;2019 February;112.7;-16.1;;109.8;-11.3;5.8
5024;Electricity, gas, water and motor fuels;2019 March;115.6;-13.7;;113.5;-7.8;6.7
5025;Electricity, gas, water and motor fuels;2019 1st quarter;122.7;-8.6;;119.0;-3.3;5.8
5026;Electricity, gas, water and motor fuels;2019 April;97.1;3.9;;92.3;9.8;5.7
5027;Electricity, gas, water and motor fuels;2019 May;93.4;12.9;;91.2;18.0;4.5
5028;Electricity, gas, water and motor fuels;2019 June;76.9;-3.2;;73.9;-1.7;1.6
5029;Electricity, gas, water and motor fuels;2019 2nd quarter;89.1;4.6;;85.8;8.8;4.1
5030;Electricity, gas, water and motor fuels;2019 July;81.4;0.4;;73.5;2.8;2.4
5031;Electricity, gas, water and motor fuels;2019 August;79.6;0.4;;71.0;1.1;0.7
5032;Electricity, gas, water and motor fuels;2019 September;84.8;-0.7;;75.7;-0.1;0.6
5033;Electricity, gas, water and motor fuels;2019 3rd quarter;82.0;0.0;;73.4;1.3;1.2
5034;Electricity, gas, water and motor fuels;2019 October;95.7;-0.5;;93.6;2.5;3.0
5035;Electricity, gas, water and motor fuels;2019 November;116.2;-1.1;;112.8;3.6;4.8
5036;Electricity, gas, water and motor fuels;2019 December;126.2;-0.4;;119.6;6.7;7.0
5037;Electricity, gas, water and motor fuels;2019 4th quarter;112.7;-0.7;;108.7;4.4;5.1
5038;Electricity, gas, water and motor fuels;2020 January;127.8;-8.6;;130.2;-2.7;6.4
5039;Electricity, gas, water and motor fuels;2020 February;111.0;-1.4;;112.3;2.3;3.8
5040;Electricity, gas, water and motor fuels;2020 March;111.5;-3.5;;111.5;-1.7;1.8
5041;Electricity, gas, water and motor fuels;2020 1st quarter;116.8;-4.8;;118.0;-0.8;4.1
5042;Electricity, gas, water and motor fuels;2020 April;84.8;-12.6;;77.2;-16.3;-4.2
5043;Electricity, gas, water and motor fuels;2020 May;83.1;-11.0;;74.8;-18.0;-7.9
5044;Electricity, gas, water and motor fuels;2020 June;77.9;1.3;;68.0;-8.0;-9.1
5045;Electricity, gas, water and motor fuels;2020 2nd quarter;82.0;-8.0;;73.3;-14.5;-7.0
5046;Electricity, gas, water and motor fuels;2020 July;82.4;1.2;;66.6;-9.3;-10.4
5047;Electricity, gas, water and motor fuels;2020 August;80.3;0.8;;64.7;-8.8;-9.5
5048;Electricity, gas, water and motor fuels;2020 September;83.5;-1.6;;67.4;-11.0;-9.5
5049;Electricity, gas, water and motor fuels;2020 3rd quarter;82.1;0.1;;66.3;-9.7;-9.8
5050;Electricity, gas, water and motor fuels;2020 October;90.9;-5.0;;82.2;-12.1;-7.6
5051;Electricity, gas, water and motor fuels;2020 November;106.2;-8.6;;97.7;-13.4;-5.3
5052;Electricity, gas, water and motor fuels;2020 December;124.7;-1.2;;115.5;-3.4;-2.3
5053;Electricity, gas, water and motor fuels;2020 4th quarter;107.3;-4.8;;98.5;-9.4;-4.8
5054;Electricity, gas, water and motor fuels;2021 January;138.9;8.7;;128.5;-1.4;-9.3
5055;Electricity, gas, water and motor fuels;2021 February;117.9;6.2;;112.4;0.0;-5.8
5056;Electricity, gas, water and motor fuels;2021 March;118.4;6.2;;117.9;5.7;-0.5
5057;Electricity, gas, water and motor fuels;2021 1st quarter;125.1;7.1;;119.6;1.3;-5.4
5058;Electricity, gas, water and motor fuels;2021 April;111.2;31.0;;109.6;41.9;8.3
5059;Electricity, gas, water and motor fuels;2021 May;94.4;13.5;;93.5;25.1;10.2
5060;Electricity, gas, water and motor fuels;2021 June;75.0;-3.7;;73.4;7.9;12.1
5061;Electricity, gas, water and motor fuels;2021 2nd quarter;93.5;14.1;;92.2;25.7;10.1
5062;Electricity, gas, water and motor fuels;2021 July;74.1;-10.1;;72.4;8.6;20.8
5063;Electricity, gas, water and motor fuels;2021 August;77.2;-3.8;;75.8;17.1;21.7
5064;Electricity, gas, water and motor fuels;2021 September;77.4;-7.3;;78.5;16.4;25.5
5065;Electricity, gas, water and motor fuels;2021 3rd quarter;76.2;-7.1;;75.5;14.0;22.7
5066;Electricity, gas, water and motor fuels;2021 October;88.2;-3.0;;86.5;5.2;8.5
5067;Electricity, gas, water and motor fuels;2021 November;106.7;0.5;;115.1;17.8;17.3
5068;Electricity, gas, water and motor fuels;2021 December;120.6;-3.3;;136.6;18.2;22.2
5069;Electricity, gas, water and motor fuels;2021 4th quarter;105.2;-2.0;;112.7;14.5;16.8
5070;Electricity, gas, water and motor fuels;2021;100.0;3.1;;100.0;12.3;9.0
5071;Electricity, gas, water and motor fuels;2022 January;130.6;-6.0;;142.1;10.6;17.7
5072;Electricity, gas, water and motor fuels;2022 February;109.7;-7.0;;126.0;12.1;20.5
5073;Electricity, gas, water and motor fuels;2022 March;98.0;-17.2;;122.8;4.2;25.9
5074;Electricity, gas, water and motor fuels;2022 1st quarter;112.8;-9.8;;130.3;9.0;20.9
5075;Electricity, gas, water and motor fuels;2022 April;97.7;-12.1;;124.3;13.4;29.0
5076;Electricity, gas, water and motor fuels;2022 May;75.3;-20.3;;94.9;1.4;27.2
5077;Electricity, gas, water and motor fuels;2022 June;74.1;-1.3;;97.3;32.5;34.2
5078;Electricity, gas, water and motor fuels;2022 2nd quarter;82.4;-11.9;;105.5;14.4;30.0
5079;Electricity, gas, water and motor fuels;2022 July;69.9;-5.6;;83.9;16.0;22.9
5080;Electricity, gas, water and motor fuels;2022 August;75.3;-2.5;;89.4;17.9;21.0
5081;Electricity, gas, water and motor fuels;2022 September;78.3;1.1;;96.6;23.1;21.7
5082;Electricity, gas, water and motor fuels;2022 3rd quarter;74.5;-2.3;;90.0;19.1;21.9
5083;Electricity, gas, water and motor fuels;2022 October;76.6;-13.2;;95.0;9.8;26.5
5084;Electricity, gas, water and motor fuels;2022 November;96.1;-9.9;;156.6;36.1;51.0
5085;Electricity, gas, water and motor fuels;2022 December;125.1;3.7;;227.6;66.7;60.8
5086;Electricity, gas, water and motor fuels;2022 4th quarter;99.2;-5.6;;159.7;41.7;50.2
5087;Electricity, gas, water and motor fuels;2022;92.2;-7.8;;121.4;21.4;31.6
5088;Electricity, gas, water and motor fuels;2023 January;122.1;-6.5;;163.7;15.3;23.3
5089;Electricity, gas, water and motor fuels;2023 February;104.1;-5.1;;138.6;10.0;15.9
5090;Electricity, gas, water and motor fuels;2023 March;111.5;13.7;;148.6;21.0;6.4
5091;Electricity, gas, water and motor fuels;2023 1st quarter;112.6;-0.2;;150.3;15.4;15.6
5092;Electricity, gas, water and motor fuels;2023 April;95.7;-2.1;;131.8;6.1;8.3
5093;Electricity, gas, water and motor fuels;2023 May;76.3;1.4;;96.1;1.3;-0.1
5094;Electricity, gas, water and motor fuels;2023 June;80.3;8.4;;97.2;-0.1;-7.9
5095;Electricity, gas, water and motor fuels;2023 2nd quarter;84.1;2.1;;108.4;2.7;0.6
5096;Electricity, gas, water and motor fuels;2023 July;67.8;-3.1;;88.6;5.6;9.0
5097;Electricity, gas, water and motor fuels;2023 August;71.9;-4.5;;97.6;9.1;14.3
5098;Electricity, gas, water and motor fuels;2023 September;67.6;-13.7;;94.4;-2.2;13.3
5099;Electricity, gas, water and motor fuels;2023 3rd quarter;69.1;-7.3;;93.5;4.0;12.1
5100;Electricity, gas, water and motor fuels;2023 October;79.7;4.1;;104.2;9.6;5.3
5101;Electricity, gas, water and motor fuels;2023 November;96.0;-0.2;;143.8;-8.1;-8.0
5102;Electricity, gas, water and motor fuels;2023 December;110.3;-11.8;;175.4;-22.9;-12.6
5103;Electricity, gas, water and motor fuels;2023 4th quarter;95.3;-3.9;;141.1;-11.6;-8.0
5104;Electricity, gas, water and motor fuels;2023;90.3;-2.1;;123.3;1.6;3.8
5105;Electricity, gas, water and motor fuels;2024 January;131.5;7.7;;168.8;3.1;-4.2
5106;Electricity, gas, water and motor fuels;2024 February;98.7;-5.2;;131.1;-5.4;-0.2
5107;Electricity, gas, water and motor fuels;2024 March;98.7;-11.5;;134.1;-9.8;1.9
5108;Electricity, gas, water and motor fuels;2024 1st quarter;109.6;-2.6;;144.7;-3.7;-1.2
5109;Electricity, gas, water and motor fuels;2024 April;94.0;-1.8;;124.1;-5.9;-4.1
5110;Electricity, gas, water and motor fuels;2024 May;73.8;-3.3;;95.1;-1.0;2.3
5111;Electricity, gas, water and motor fuels;2024 June;77.5;-3.5;;98.7;1.6;5.3
5112;Electricity, gas, water and motor fuels;2024 2nd quarter;81.8;-2.8;;106.0;-2.2;0.6
5113;Electricity, gas, water and motor fuels;2024 July;72.3;6.7;;90.4;2.0;-4.4
5114;Electricity, gas, water and motor fuels;2024 August;75.8;5.5;;96.3;-1.3;-6.5
5115;Electricity, gas, water and motor fuels;2024 September;73.2;8.3;;93.8;-0.6;-8.3
5116;Electricity, gas, water and motor fuels;2024 3rd quarter;73.8;6.8;;93.5;-0.1;-6.4
5117;Electricity, gas, water and motor fuels;2024 October;83.1;4.3;;101.5;-2.6;-6.6
5118;Electricity, gas, water and motor fuels;2024 November;98.5;2.6;;144.4;0.4;-2.2
5119;Electricity, gas, water and motor fuels;2024 December;112.6;2.1;;176.8;0.8;-1.3
5120;Electricity, gas, water and motor fuels;2024 4th quarter;98.1;2.9;;140.9;-0.2;-3.0
5121;Electricity, gas, water and motor fuels;2024;90.8;0.6;;121.3;-1.7;-2.3
5122;Electricity, gas, water and motor fuels;2025 January;128.3;-2.4;;159.6;-5.5;-3.1
5123;Electricity, gas, water and motor fuels;2025 February;108.0;9.4;;139.5;6.4;-2.8
5124;Personal care and other goods;2000;99.0;1.5;;69.8;3.7;2.2
5125;Personal care and other goods;2001;98.6;-0.5;;73.2;4.9;5.3
5126;Personal care and other goods;2002;100.4;1.8;;77.0;5.2;3.3
5127;Personal care and other goods;2003;98.7;-1.7;;76.7;-0.4;1.3
5128;Personal care and other goods;2004;98.9;0.2;;76.3;-0.6;-0.8
5129;Personal care and other goods;2005;99.9;1.0;;76.9;0.8;-0.2
5130;Personal care and other goods;2006;94.4;-5.5;;74.0;-3.8;1.8
5131;Personal care and other goods;2007;95.8;1.4;;76.2;3.0;1.6
5132;Personal care and other goods;2008;95.5;-0.3;;77.6;1.9;2.1
5133;Personal care and other goods;2009;92.0;-3.7;;75.8;-2.4;1.4
5134;Personal care and other goods;2010;92.2;0.2;;77.1;1.8;1.5
5135;Personal care and other goods;2011;93.3;1.2;;78.8;2.2;1.0
5136;Personal care and other goods;2012;91.8;-1.7;;79.3;0.6;2.3
5137;Personal care and other goods;2013;90.2;-1.8;;80.1;1.0;2.8
5138;Personal care and other goods;2014;91.5;1.5;;80.8;0.9;-0.6
5139;Personal care and other goods;2015;92.5;1.1;;81.9;1.4;0.4
5140;Personal care and other goods;2016;93.1;0.7;;83.6;2.0;1.3
5141;Personal care and other goods;2017;95.3;2.4;;85.9;2.7;0.3
5142;Personal care and other goods;2018;95.9;0.6;;88.2;2.7;2.1
5143;Personal care and other goods;2019;97.0;1.1;;91.5;3.7;2.6
5144;Personal care and other goods;2020;97.1;0.1;;94.0;2.8;2.6
5145;Personal care and other goods;2000 January;92.8;0.7;;64.7;3.8;3.1
5146;Personal care and other goods;2000 February;90.0;8.0;;63.3;10.2;2.0
5147;Personal care and other goods;2000 March;99.0;4.4;;68.5;5.9;1.4
5148;Personal care and other goods;2000 1st quarter;93.9;4.3;;65.5;6.5;2.2
5149;Personal care and other goods;2000 April;105.0;1.6;;71.8;5.0;3.3
5150;Personal care and other goods;2000 May;109.2;2.5;;75.5;5.2;2.7
5151;Personal care and other goods;2000 June;105.6;-1.1;;72.9;1.5;2.7
5152;Personal care and other goods;2000 2nd quarter;106.6;1.0;;73.4;3.9;2.9
5153;Personal care and other goods;2000 July;100.5;-2.6;;68.1;-0.7;2.0
5154;Personal care and other goods;2000 August;114.7;4.9;;76.0;7.8;2.8
5155;Personal care and other goods;2000 September;107.1;3.4;;72.6;5.0;1.6
5156;Personal care and other goods;2000 3rd quarter;107.4;1.9;;72.2;4.1;2.1
5157;Personal care and other goods;2000 October;88.5;-3.7;;66.9;-2.3;1.5
5158;Personal care and other goods;2000 November;91.7;0.6;;70.6;2.5;1.8
5159;Personal care and other goods;2000 December;84.2;-0.6;;66.1;1.6;2.2
5160;Personal care and other goods;2000 4th quarter;88.1;-1.2;;67.9;0.6;1.9
5161;Personal care and other goods;2001 January;94.9;2.2;;68.3;5.7;3.4
5162;Personal care and other goods;2001 February;86.6;-3.8;;63.5;0.3;4.2
5163;Personal care and other goods;2001 March;97.2;-1.8;;71.0;3.7;5.6
5164;Personal care and other goods;2001 1st quarter;92.9;-1.1;;67.6;3.3;4.4
5165;Personal care and other goods;2001 April;101.1;-3.8;;72.7;1.2;5.2
5166;Personal care and other goods;2001 May;110.9;1.6;;80.8;7.0;5.3
5167;Personal care and other goods;2001 June;108.0;2.3;;78.3;7.5;5.1
5168;Personal care and other goods;2001 2nd quarter;106.7;0.1;;77.3;5.3;5.2
5169;Personal care and other goods;2001 July;98.6;-1.9;;71.2;4.6;6.6
5170;Personal care and other goods;2001 August;115.9;1.1;;80.8;6.4;5.3
5171;Personal care and other goods;2001 September;102.7;-4.1;;74.0;1.8;6.2
5172;Personal care and other goods;2001 3rd quarter;105.7;-1.6;;75.3;4.3;6.0
5173;Personal care and other goods;2001 October;91.3;3.2;;73.3;9.6;6.2
5174;Personal care and other goods;2001 November;90.7;-1.1;;74.1;4.9;6.1
5175;Personal care and other goods;2001 December;84.9;0.9;;69.6;5.2;4.3
5176;Personal care and other goods;2001 4th quarter;89.0;1.0;;72.3;6.5;5.5
5177;Personal care and other goods;2002 January;96.0;1.2;;71.7;5.0;3.7
5178;Personal care and other goods;2002 February;88.9;2.6;;67.1;5.6;2.9
5179;Personal care and other goods;2002 March;99.3;2.2;;75.4;6.2;3.9
5180;Personal care and other goods;2002 1st quarter;94.8;2.0;;71.4;5.6;3.5
5181;Personal care and other goods;2002 April;105.1;4.0;;78.2;7.5;3.4
5182;Personal care and other goods;2002 May;112.9;1.8;;85.6;5.9;4.0
5183;Personal care and other goods;2002 June;110.4;2.2;;82.9;5.8;3.6
5184;Personal care and other goods;2002 2nd quarter;109.5;2.6;;82.2;6.4;3.7
5185;Personal care and other goods;2002 July;103.4;4.9;;77.3;8.6;3.5
5186;Personal care and other goods;2002 August;115.8;-0.1;;83.7;3.6;3.7
5187;Personal care and other goods;2002 September;101.1;-1.5;;75.5;2.1;3.7
5188;Personal care and other goods;2002 3rd quarter;106.8;1.0;;78.9;4.7;3.6
5189;Personal care and other goods;2002 October;95.5;4.6;;78.2;6.7;2.0
5190;Personal care and other goods;2002 November;93.4;3.1;;78.4;5.8;2.6
5191;Personal care and other goods;2002 December;82.3;-3.1;;69.3;-0.3;2.8
5192;Personal care and other goods;2002 4th quarter;90.4;1.6;;75.3;4.1;2.5
5193;Personal care and other goods;2003 January;99.9;4.0;;76.7;7.0;2.9
5194;Personal care and other goods;2003 February;90.3;1.6;;70.3;4.7;3.1
5195;Personal care and other goods;2003 March;95.3;-4.1;;74.2;-1.6;2.6
5196;Personal care and other goods;2003 1st quarter;95.2;0.4;;73.7;3.3;2.8
5197;Personal care and other goods;2003 April;105.9;0.8;;79.7;2.0;1.2
5198;Personal care and other goods;2003 May;113.0;0.1;;86.3;0.8;0.7
5199;Personal care and other goods;2003 June;104.6;-5.2;;79.8;-3.7;1.6
5200;Personal care and other goods;2003 2nd quarter;107.9;-1.5;;82.0;-0.3;1.1
5201;Personal care and other goods;2003 July;101.8;-1.6;;76.7;-0.9;0.7
5202;Personal care and other goods;2003 August;108.4;-6.4;;79.2;-5.5;1.0
5203;Personal care and other goods;2003 September;98.9;-2.2;;74.2;-1.7;0.4
5204;Personal care and other goods;2003 3rd quarter;103.1;-3.5;;76.7;-2.8;0.8
5205;Personal care and other goods;2003 October;90.5;-5.3;;75.9;-2.9;2.5
5206;Personal care and other goods;2003 November;90.2;-3.5;;75.8;-3.3;0.2
5207;Personal care and other goods;2003 December;85.5;3.9;;71.4;3.0;-0.9
5208;Personal care and other goods;2003 4th quarter;88.7;-1.9;;74.4;-1.2;0.6
5209;Personal care and other goods;2004 January;99.3;-0.6;;74.7;-2.6;-2.0
5210;Personal care and other goods;2004 February;87.1;-3.5;;67.5;-4.0;-0.4
5211;Personal care and other goods;2004 March;93.7;-1.6;;72.3;-2.6;-1.0
5212;Personal care and other goods;2004 1st quarter;93.4;-1.9;;71.5;-3.0;-1.2
5213;Personal care and other goods;2004 April;104.7;-1.2;;79.4;-0.5;0.7
5214;Personal care and other goods;2004 May;108.5;-4.0;;83.3;-3.5;0.6
5215;Personal care and other goods;2004 June;109.2;4.4;;83.1;4.1;-0.3
5216;Personal care and other goods;2004 2nd quarter;107.5;-0.4;;81.9;-0.1;0.3
5217;Personal care and other goods;2004 July;106.7;4.8;;79.3;3.4;-1.4
5218;Personal care and other goods;2004 August;106.2;-2.0;;77.4;-2.2;-0.2
5219;Personal care and other goods;2004 September;101.7;2.8;;75.0;1.1;-1.6
5220;Personal care and other goods;2004 3rd quarter;104.9;1.8;;77.2;0.7;-1.0
5221;Personal care and other goods;2004 October;91.9;1.6;;75.1;-1.1;-2.7
5222;Personal care and other goods;2004 November;90.7;0.6;;75.4;-0.6;-1.2
5223;Personal care and other goods;2004 December;87.5;2.3;;72.7;1.9;-0.4
5224;Personal care and other goods;2004 4th quarter;90.0;1.5;;74.4;0.0;-1.4
5225;Personal care and other goods;2005 January;93.8;-5.6;;71.2;-4.8;0.8
5226;Personal care and other goods;2005 February;87.1;0.0;;67.4;0.0;0.0
5227;Personal care and other goods;2005 March;97.2;3.7;;74.6;3.1;-0.5
5228;Personal care and other goods;2005 1st quarter;92.7;-0.8;;71.1;-0.6;0.1
5229;Personal care and other goods;2005 April;106.1;1.3;;79.4;0.0;-1.2
5230;Personal care and other goods;2005 May;106.6;-1.8;;81.3;-2.3;-0.6
5231;Personal care and other goods;2005 June;114.5;4.9;;86.3;3.9;-0.9
5232;Personal care and other goods;2005 2nd quarter;109.0;1.5;;82.4;0.5;-0.9
5233;Personal care and other goods;2005 July;104.9;-1.7;;77.3;-2.5;-0.9
5234;Personal care and other goods;2005 August;106.8;0.6;;78.4;1.3;0.8
5235;Personal care and other goods;2005 September;102.6;0.9;;75.9;1.1;0.2
5236;Personal care and other goods;2005 3rd quarter;104.8;-0.1;;77.2;-0.1;0.0
5237;Personal care and other goods;2005 October;92.2;0.4;;75.6;0.7;0.3
5238;Personal care and other goods;2005 November;95.8;5.7;;79.0;4.8;-0.9
5239;Personal care and other goods;2005 December;91.6;4.7;;76.0;4.4;-0.2
5240;Personal care and other goods;2005 4th quarter;93.2;3.5;;76.8;3.3;-0.2
5241;Personal care and other goods;2006 January;86.6;-7.7;;66.1;-7.1;0.6
5242;Personal care and other goods;2006 February;80.5;-7.6;;62.5;-7.4;0.2
5243;Personal care and other goods;2006 March;90.7;-6.7;;69.7;-6.6;0.1
5244;Personal care and other goods;2006 1st quarter;85.9;-7.3;;66.1;-7.0;0.3
5245;Personal care and other goods;2006 April;102.9;-3.0;;79.3;-0.1;3.0
5246;Personal care and other goods;2006 May;109.1;2.4;;85.7;5.3;2.9
5247;Personal care and other goods;2006 June;110.0;-4.0;;85.4;-1.1;3.0
5248;Personal care and other goods;2006 2nd quarter;107.3;-1.6;;83.5;1.3;3.0
5249;Personal care and other goods;2006 July;98.5;-6.1;;74.0;-4.2;2.0
5250;Personal care and other goods;2006 August;105.1;-1.6;;79.8;1.8;3.4
5251;Personal care and other goods;2006 September;97.7;-4.8;;74.1;-2.3;2.7
5252;Personal care and other goods;2006 3rd quarter;100.4;-4.1;;76.0;-1.5;2.7
5253;Personal care and other goods;2006 October;82.3;-10.8;;68.2;-9.8;1.1
5254;Personal care and other goods;2006 November;88.5;-7.7;;73.9;-6.4;1.4
5255;Personal care and other goods;2006 December;81.6;-10.9;;69.0;-9.2;1.9
5256;Personal care and other goods;2006 4th quarter;84.1;-9.8;;70.4;-8.4;1.5
5257;Personal care and other goods;2007 January;87.3;0.8;;68.0;2.9;2.1
5258;Personal care and other goods;2007 February;80.9;0.5;;63.8;2.1;1.6
5259;Personal care and other goods;2007 March;92.2;1.7;;72.6;4.3;2.5
5260;Personal care and other goods;2007 1st quarter;86.8;1.0;;68.1;3.1;2.1
5261;Personal care and other goods;2007 April;101.0;-1.9;;80.2;1.1;3.0
5262;Personal care and other goods;2007 May;110.5;1.3;;87.2;1.8;0.5
5263;Personal care and other goods;2007 June;112.0;1.8;;87.3;2.3;0.4
5264;Personal care and other goods;2007 2nd quarter;107.8;0.5;;84.9;1.7;1.3
5265;Personal care and other goods;2007 July;98.5;-0.1;;76.6;3.4;3.5
5266;Personal care and other goods;2007 August;108.2;2.9;;82.7;3.6;0.6
5267;Personal care and other goods;2007 September;95.8;-1.9;;73.9;-0.3;1.6
5268;Personal care and other goods;2007 3rd quarter;100.8;0.4;;77.7;2.3;1.9
