ID;PersonalCharacteristics;Periods;MembershipSportsClub_1;k_5HoursAWeekOrMore_2;k_14HoursAWeek_3;k_5HoursAWeekOrMore_4;k_14HoursAWeek_5;ClubActivitiesAtLeastOnceAMonth_6;MembershipHobbyClub_7;k_5HoursAWeekOrMore_8;k_14HoursAWeek_9;k_5HoursAWeekOrMore_10;k_14HoursAWeek_11;MembershipArtsCollege_12;k_5HoursAWeekOrMore_13;k_14HoursAWeek_14;k_5HoursAWeekOrMore_15;k_14HoursAWeek_16;MembershipSchoolOfMusic_17;MemberMusicalClubChoir1229Yrs_18;PlaysMusicalInstrument1229Yrs_19;OwnsCulturalPass1227Yrs_20;AtLeastOnceAMonth_21;k_311TimesAYear_22;AtLeastOnceAMonth_23;MoreThan3TimesAYearNotMonthly_24;AtLeastOnceAMonth_25;MoreThan3TimesAYearNotMonthly_26;AtLeastOnceAMonth_27;MoreThan3TimesAYearNotMonthly_28;AtLeastOnceAMonth_29;MoreThan3TimesAYearNotMonthly_30;AtLeastOnceAMonth_31;MoreThan3TimesAYearNotMonthly_32;AtLeastOnceAMonth_33;MoreThan3TimesAYearNotMonthly_34;AtLeastOnceAMonth_35;MoreThan3TimesAYearNotMonthly_36;AtLeastOnceAMonth_37;MoreThan3TimesAYearNotMonthly_38;AtLeastOnceAMonth_39;MoreThan3TimesAYearNotMonthly_40;AtLeastOnceAMonth_41;MoreThan3TimesAYearNotMonthly_42;FrequentWalkers_43;k_5HoursAWeekOrMore_44;k_14HoursAWeek_45;CyclingTrips_46;k_5HoursAWeekOrMore_47;k_14HoursAWeek_48;AtLeastOnceAWeek_49;k_13TimesAMonth_50;AtLeastOnceAMonth_51;MoreThan3TimesAYearNotMonthly_52;AtLeastOnceAMonth_53;MoreThan3TimesAYearNotMonthly_54;AtLeastOnceAMonth_55;MoreThan3TimesAYearNotMonthly_56;MoreThanOneHoliday_57;OneHoliday_58;ExtremelySatisfactory_59;VerySatisfactory_60;Satisfactory_61;ReasonablySatisfactory_62;NotVerySatisfactory_63;AreYouSometimesBored1229Yrs_64
204;15-24 yrs;2006;;29.0;40.0;;;53.0;;;;5.0;14.0;2.0;;;4.0;8.0;26.0;;;;1.0;9.0;;;;;;;;;;;;;;;;;;;;;39.0;16.0;62.0;32.0;26.0;56.0;29.0;31.0;;;;;;;41.0;39.0;;;;;;
205;15-24 yrs;2007;;29.0;42.0;;;51.0;;;;6.0;15.0;1.0;;;4.0;9.0;19.0;;;;0.0;9.0;;;;;;;;;;;;;;;;;;;;;39.0;18.0;54.0;31.0;25.0;58.0;29.0;33.0;;;;;;;40.0;39.0;;;;;;
206;15-24 yrs;2008;;32.0;40.0;;;54.0;;;;5.0;14.0;3.0;;;3.0;9.0;23.0;;;;1.0;11.0;;;;;;;;;;;;;;;;;;;;;37.0;17.0;58.0;31.0;20.0;62.0;27.0;35.0;;;;;;;46.0;34.0;;;;;;
207;15-24 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;15-24 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;15-24 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;25-44 yrs;1997;30.0;11.0;40.0;2.0;18.0;44.0;7.0;11.0;31.0;3.0;8.0;5.0;5.0;14.0;3.0;6.0;15.0;5.0;16.0;8.0;3.0;13.0;3.0;17.0;2.0;11.0;0.0;3.0;0.0;2.0;1.0;8.0;13.0;22.0;55.0;26.0;4.0;11.0;1.0;8.0;1.0;8.0;62.0;18.0;60.0;51.0;19.0;64.0;13.0;19.0;32.0;41.0;10.0;10.0;42.0;18.0;36.0;39.0;7.0;25.0;47.0;15.0;6.0;8.0
211;25-44 yrs;1998;31.0;10.0;40.0;2.0;16.0;43.0;8.0;9.0;30.0;3.0;8.0;5.0;6.0;12.0;3.0;5.0;11.0;;;;3.0;13.0;5.0;17.0;;;;;;;2.0;8.0;12.0;25.0;53.0;25.0;6.0;12.0;1.0;8.0;2.0;7.0;61.0;19.0;61.0;50.0;16.0;63.0;13.0;19.0;37.0;39.0;11.0;9.0;43.0;20.0;36.0;39.0;7.0;27.0;47.0;15.0;4.0;
212;25-44 yrs;1999;31.0;10.0;41.0;2.0;16.0;44.0;6.0;10.0;32.0;2.0;8.0;5.0;4.0;12.0;3.0;6.0;10.0;;;;3.0;13.0;3.0;18.0;;;;;;;1.0;8.0;13.0;23.0;51.0;27.0;5.0;13.0;1.0;10.0;3.0;7.0;63.0;18.0;65.0;48.0;18.0;64.0;13.0;20.0;39.0;38.0;12.0;10.0;43.0;22.0;40.0;38.0;7.0;28.0;44.0;15.0;6.0;
213;25-44 yrs;2000;32.0;10.0;42.0;2.0;16.0;43.0;7.0;10.0;31.0;3.0;7.0;6.0;5.0;12.0;3.0;6.0;12.0;;;;2.0;13.0;5.0;18.0;;;;;;;1.0;8.0;12.0;25.0;54.0;23.0;5.0;13.0;0.0;9.0;3.0;8.0;64.0;19.0;62.0;49.0;15.0;67.0;13.0;20.0;40.0;39.0;12.0;9.0;43.0;20.0;40.0;37.0;6.0;28.0;47.0;14.0;6.0;
214;25-44 yrs;2001;35.0;11.0;43.0;2.0;15.0;42.0;6.0;10.0;30.0;2.0;7.0;4.0;5.0;12.0;3.0;6.0;13.0;4.0;18.0;7.0;1.0;12.0;4.0;15.0;1.0;11.0;0.0;3.0;0.0;3.0;2.0;7.0;12.0;22.0;49.0;25.0;6.0;11.0;1.0;7.0;3.0;8.0;62.0;18.0;65.0;48.0;16.0;67.0;13.0;22.0;40.0;35.0;11.0;9.0;46.0;17.0;43.0;37.0;7.0;25.0;47.0;15.0;5.0;8.0
215;25-44 yrs;2002;33.0;10.0;43.0;3.0;15.0;42.0;6.0;9.0;30.0;2.0;8.0;6.0;5.0;12.0;2.0;6.0;13.0;;;;1.0;12.0;4.0;14.0;;;;;;;2.0;6.0;13.0;24.0;52.0;22.0;6.0;11.0;1.0;6.0;2.0;7.0;62.0;17.0;62.0;48.0;16.0;63.0;12.0;21.0;41.0;34.0;13.0;8.0;47.0;16.0;43.0;37.0;7.0;26.0;48.0;14.0;5.0;
216;25-44 yrs;2003;32.0;11.0;42.0;2.0;12.0;41.0;5.0;8.0;30.0;2.0;7.0;6.0;4.0;12.0;2.0;6.0;10.0;4.0;17.0;7.0;1.0;11.0;5.0;13.0;2.0;10.0;0.0;2.0;0.0;3.0;1.0;6.0;13.0;26.0;51.0;22.0;6.0;12.0;1.0;6.0;2.0;6.0;62.0;17.0;65.0;48.0;18.0;64.0;12.0;21.0;36.0;35.0;11.0;9.0;49.0;16.0;43.0;37.0;5.0;26.0;50.0;14.0;5.0;8.0
217;25-44 yrs;2004;36.0;12.0;44.0;1.0;12.0;42.0;6.0;8.0;31.0;2.0;7.0;6.0;4.0;13.0;2.0;6.0;13.0;;;;1.0;11.0;3.0;14.0;;;;;;;1.0;7.0;12.0;24.0;52.0;24.0;7.0;12.0;1.0;6.0;2.0;6.0;64.0;18.0;61.0;50.0;16.0;64.0;12.0;22.0;36.0;36.0;10.0;11.0;52.0;18.0;43.0;37.0;6.0;26.0;49.0;13.0;6.0;
218;25-44 yrs;2005;;12.0;45.0;;;43.0;;;;2.0;8.0;4.0;;;2.0;6.0;12.0;;;;1.0;12.0;;;;;;;;;;;;;;;;;;;;;64.0;18.0;62.0;49.0;14.0;69.0;10.0;22.0;;;;;;;44.0;36.0;;;;;;
219;25-44 yrs;2006;;13.0;43.0;;;40.0;;;;3.0;7.0;3.0;;;2.0;6.0;11.0;;;;1.0;12.0;;;;;;;;;;;;;;;;;;;;;66.0;19.0;65.0;49.0;18.0;64.0;10.0;23.0;;;;;;;44.0;34.0;;;;;;
220;25-44 yrs;2007;;14.0;44.0;;;38.0;;;;3.0;7.0;2.0;;;2.0;4.0;8.0;;;;1.0;12.0;;;;;;;;;;;;;;;;;;;;;64.0;18.0;64.0;50.0;16.0;66.0;10.0;22.0;;;;;;;46.0;34.0;;;;;;
221;25-44 yrs;2008;;12.0;46.0;;;37.0;;;;2.0;8.0;2.0;;;2.0;5.0;8.0;;;;1.0;12.0;;;;;;;;;;;;;;;;;;;;;64.0;18.0;63.0;48.0;17.0;66.0;10.0;25.0;;;;;;;48.0;32.0;;;;;;
222;25-44 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;25-44 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;25-44 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;45-64 yrs;1997;24.0;11.0;33.0;10.0;26.0;45.0;12.0;10.0;30.0;3.0;6.0;10.0;6.0;11.0;2.0;5.0;13.0;;;;5.0;17.0;3.0;17.0;;;;;;;1.0;7.0;3.0;8.0;56.0;25.0;0.0;3.0;0.0;2.0;1.0;3.0;65.0;28.0;59.0;60.0;31.0;56.0;6.0;8.0;31.0;39.0;3.0;2.0;34.0;20.0;39.0;33.0;10.0;26.0;49.0;11.0;4.0;
226;45-64 yrs;1998;25.0;10.0;34.0;10.0;25.0;45.0;10.0;11.0;33.0;3.0;6.0;14.0;5.0;12.0;3.0;4.0;13.0;;;;5.0;18.0;5.0;18.0;;;;;;;1.0;10.0;4.0;10.0;59.0;22.0;1.0;3.0;0.0;2.0;1.0;4.0;66.0;26.0;60.0;58.0;28.0;59.0;7.0;8.0;33.0;39.0;3.0;2.0;32.0;20.0;40.0;33.0;8.0;26.0;50.0;12.0;4.0;
227;45-64 yrs;1999;26.0;10.0;35.0;10.0;25.0;45.0;10.0;10.0;30.0;4.0;5.0;11.0;4.0;10.0;3.0;5.0;13.0;;;;5.0;18.0;4.0;19.0;;;;;;;1.0;11.0;3.0;11.0;58.0;21.0;1.0;4.0;0.0;2.0;1.0;3.0;68.0;27.0;60.0;59.0;26.0;63.0;6.0;8.0;36.0;37.0;4.0;3.0;32.0;20.0;44.0;31.0;8.0;30.0;46.0;11.0;5.0;
228;45-64 yrs;2000;27.0;12.0;35.0;10.0;25.0;45.0;11.0;11.0;31.0;3.0;7.0;13.0;4.0;9.0;2.0;5.0;12.0;;;;5.0;17.0;5.0;18.0;;;;;;;2.0;10.0;3.0;11.0;58.0;21.0;1.0;3.0;0.0;2.0;1.0;4.0;69.0;25.0;63.0;61.0;29.0;60.0;7.0;9.0;37.0;39.0;4.0;3.0;34.0;19.0;44.0;31.0;9.0;27.0;47.0;12.0;5.0;
229;45-64 yrs;2001;23.0;12.0;35.0;10.0;23.0;44.0;10.0;9.0;32.0;3.0;7.0;12.0;4.0;10.0;3.0;5.0;14.0;;;;2.0;17.0;4.0;15.0;;;;;;;2.0;7.0;4.0;9.0;57.0;20.0;1.0;3.0;0.0;2.0;1.0;4.0;68.0;26.0;61.0;60.0;29.0;59.0;8.0;10.0;36.0;35.0;3.0;2.0;32.0;17.0;46.0;31.0;10.0;30.0;47.0;10.0;4.0;
230;45-64 yrs;2002;25.0;12.0;36.0;7.0;23.0;44.0;10.0;8.0;31.0;3.0;6.0;11.0;5.0;12.0;2.0;5.0;11.0;;;;2.0;18.0;5.0;15.0;;;;;;;1.0;9.0;4.0;10.0;57.0;18.0;1.0;2.0;0.0;1.0;1.0;3.0;66.0;24.0;62.0;61.0;25.0;61.0;7.0;10.0;37.0;35.0;3.0;2.0;38.0;19.0;47.0;30.0;7.0;28.0;49.0;11.0;5.0;
231;45-64 yrs;2003;29.0;12.0;37.0;8.0;24.0;46.0;11.0;9.0;31.0;2.0;5.0;12.0;4.0;11.0;3.0;6.0;14.0;;;;2.0;17.0;4.0;14.0;;;;;;;2.0;8.0;5.0;12.0;56.0;18.0;1.0;3.0;0.0;1.0;1.0;3.0;69.0;24.0;61.0;63.0;27.0;61.0;7.0;10.0;30.0;38.0;3.0;2.0;37.0;18.0;47.0;30.0;7.0;30.0;48.0;11.0;4.0;
232;45-64 yrs;2004;27.0;13.0;37.0;8.0;24.0;44.0;11.0;8.0;32.0;2.0;5.0;12.0;3.0;11.0;2.0;6.0;12.0;;;;2.0;17.0;3.0;14.0;;;;;;;2.0;9.0;5.0;11.0;57.0;20.0;1.0;3.0;0.0;2.0;1.0;2.0;69.0;25.0;64.0;61.0;26.0;63.0;7.0;11.0;34.0;33.0;3.0;2.0;40.0;18.0;47.0;30.0;8.0;28.0;49.0;11.0;6.0;
233;45-64 yrs;2005;;14.0;36.0;;;44.0;;;;3.0;6.0;11.0;;;2.0;5.0;10.0;;;;1.0;16.0;;;;;;;;;;;;;;;;;;;;;67.0;27.0;62.0;60.0;26.0;61.0;7.0;8.0;;;;;;;45.0;30.0;;;;;;
234;45-64 yrs;2006;;15.0;38.0;;;44.0;;;;3.0;5.0;11.0;;;3.0;5.0;11.0;;;;1.0;17.0;;;;;;;;;;;;;;;;;;;;;70.0;28.0;60.0;60.0;27.0;61.0;7.0;11.0;;;;;;;48.0;28.0;;;;;;
235;45-64 yrs;2007;;16.0;37.0;;;41.0;;;;3.0;7.0;12.0;;;3.0;5.0;11.0;;;;2.0;17.0;;;;;;;;;;;;;;;;;;;;;70.0;28.0;63.0;60.0;26.0;62.0;6.0;11.0;;;;;;;49.0;29.0;;;;;;
236;45-64 yrs;2008;;15.0;38.0;;;39.0;;;;3.0;6.0;10.0;;;2.0;5.0;12.0;;;;2.0;18.0;;;;;;;;;;;;;;;;;;;;;70.0;25.0;63.0;59.0;24.0;64.0;6.0;11.0;;;;;;;51.0;27.0;;;;;;
237;45-64 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;45-64 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;45-64 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;65 yrs or older;1997;11.0;8.0;21.0;25.0;28.0;38.0;8.0;5.0;15.0;3.0;4.0;18.0;3.0;8.0;2.0;3.0;7.0;;;;4.0;11.0;2.0;11.0;;;;;;;1.0;7.0;1.0;2.0;46.0;18.0;1.0;1.0;0.0;1.0;1.0;2.0;51.0;33.0;55.0;46.0;35.0;56.0;3.0;2.0;21.0;29.0;1.0;1.0;32.0;16.0;25.0;24.0;8.0;26.0;52.0;10.0;4.0;
241;65 yrs or older;1998;11.0;8.0;20.0;25.0;24.0;39.0;11.0;3.0;14.0;3.0;4.0;19.0;3.0;10.0;3.0;4.0;7.0;;;;4.0;13.0;4.0;11.0;;;;;;;2.0;7.0;1.0;3.0;45.0;15.0;0.0;2.0;0.0;1.0;1.0;3.0;51.0;35.0;53.0;45.0;35.0;54.0;3.0;2.0;21.0;26.0;2.0;1.0;28.0;15.0;26.0;23.0;11.0;27.0;49.0;11.0;2.0;
242;65 yrs or older;1999;13.0;8.0;20.0;21.0;28.0;39.0;8.0;5.0;12.0;2.0;3.0;13.0;3.0;7.0;2.0;3.0;4.0;;;;4.0;14.0;4.0;10.0;;;;;;;1.0;6.0;1.0;4.0;43.0;19.0;1.0;2.0;1.0;0.0;0.0;2.0;51.0;27.0;62.0;44.0;30.0;58.0;4.0;2.0;20.0;31.0;2.0;0.0;31.0;16.0;26.0;25.0;10.0;27.0;50.0;9.0;4.0;
243;65 yrs or older;2000;13.0;9.0;21.0;23.0;28.0;40.0;11.0;5.0;15.0;2.0;5.0;18.0;3.0;10.0;2.0;3.0;5.0;;;;4.0;13.0;4.0;11.0;;;;;;;1.0;8.0;1.0;3.0;48.0;17.0;2.0;2.0;0.0;1.0;1.0;2.0;49.0;31.0;59.0;43.0;28.0;59.0;4.0;2.0;23.0;32.0;2.0;0.0;31.0;19.0;27.0;24.0;7.0;29.0;55.0;7.0;2.0;
244;65 yrs or older;2001;14.0;9.0;23.0;26.0;28.0;41.0;11.0;4.0;12.0;2.0;3.0;15.0;3.0;9.0;2.0;2.0;7.0;;;;2.0;14.0;4.0;11.0;;;;;;;1.0;7.0;2.0;2.0;42.0;16.0;1.0;2.0;0.0;1.0;1.0;2.0;54.0;32.0;59.0;47.0;30.0;61.0;4.0;3.0;22.0;29.0;2.0;0.0;33.0;12.0;29.0;24.0;10.0;31.0;50.0;7.0;2.0;
245;65 yrs or older;2002;11.0;8.0;23.0;22.0;28.0;41.0;9.0;5.0;12.0;2.0;5.0;17.0;4.0;10.0;2.0;2.0;11.0;;;;2.0;15.0;3.0;9.0;;;;;;;1.0;6.0;1.0;3.0;43.0;15.0;1.0;1.0;0.0;0.0;1.0;1.0;56.0;28.0;60.0;47.0;35.0;58.0;4.0;4.0;22.0;27.0;2.0;1.0;34.0;14.0;31.0;24.0;9.0;26.0;52.0;8.0;5.0;
246;65 yrs or older;2003;14.0;9.0;24.0;22.0;27.0;42.0;12.0;3.0;16.0;2.0;3.0;14.0;3.0;8.0;2.0;4.0;7.0;;;;1.0;15.0;3.0;10.0;;;;;;;1.0;6.0;0.0;3.0;44.0;14.0;0.0;1.0;0.0;1.0;1.0;1.0;55.0;37.0;52.0;47.0;35.0;53.0;4.0;4.0;19.0;29.0;2.0;1.0;36.0;15.0;30.0;25.0;7.0;30.0;51.0;8.0;4.0;
247;65 yrs or older;2004;16.0;9.0;24.0;23.0;29.0;41.0;11.0;3.0;14.0;2.0;4.0;22.0;3.0;9.0;2.0;4.0;8.0;;;;2.0;14.0;3.0;11.0;;;;;;;2.0;5.0;2.0;2.0;46.0;14.0;1.0;2.0;1.0;1.0;1.0;2.0;53.0;30.0;59.0;49.0;35.0;56.0;4.0;4.0;22.0;26.0;2.0;0.0;40.0;16.0;32.0;22.0;6.0;31.0;52.0;8.0;3.0;
248;65 yrs or older;2005;;11.0;24.0;;;42.0;;;;2.0;5.0;14.0;;;2.0;3.0;8.0;;;;1.0;15.0;;;;;;;;;;;;;;;;;;;;;54.0;33.0;59.0;48.0;34.0;56.0;4.0;4.0;;;;;;;31.0;23.0;;;;;;
249;65 yrs or older;2006;;11.0;25.0;;;42.0;;;;3.0;3.0;13.0;;;1.0;4.0;4.0;;;;2.0;14.0;;;;;;;;;;;;;;;;;;;;;56.0;35.0;58.0;49.0;34.0;57.0;5.0;3.0;;;;;;;32.0;24.0;;;;;;
250;65 yrs or older;2007;;12.0;28.0;;;41.0;;;;2.0;4.0;15.0;;;2.0;3.0;11.0;;;;2.0;14.0;;;;;;;;;;;;;;;;;;;;;60.0;33.0;58.0;48.0;34.0;58.0;5.0;3.0;;;;;;;31.0;24.0;;;;;;
251;65 yrs or older;2008;;12.0;26.0;;;38.0;;;;3.0;4.0;13.0;;;2.0;4.0;6.0;;;;1.0;17.0;;;;;;;;;;;;;;;;;;;;;59.0;34.0;58.0;50.0;38.0;53.0;4.0;5.0;;;;;;;34.0;21.0;;;;;;
252;65 yrs or older;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;65 yrs or older;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;65 yrs or older;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;0-14 yrs;1997;;21.0;67.0;;;67.0;;;;6.0;31.0;2.0;;;5.0;15.0;41.0;14.0;24.0;6.0;1.0;13.0;;;1.0;1.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;32.0;15.0;56.0;50.0;25.0;50.0;2.0;4.0;;;;;;;36.0;40.0;;;;;;8.0
256;0-14 yrs;1998;;18.0;70.0;;;68.0;;;;5.0;32.0;2.0;;;4.0;20.0;39.0;;;;2.0;16.0;;;;;;;;;;;;;;;;;;;;;34.0;11.0;52.0;51.0;22.0;59.0;2.0;4.0;;;;;;;39.0;41.0;;;;;;
257;0-14 yrs;1999;;21.0;67.0;;;68.0;;;;6.0;28.0;2.0;;;5.0;13.0;41.0;;;;1.0;14.0;;;;;;;;;;;;;;;;;;;;;32.0;10.0;53.0;48.0;26.0;52.0;2.0;4.0;;;;;;;40.0;41.0;;;;;;
258;0-14 yrs;2000;;20.0;67.0;;;67.0;;;;6.0;30.0;2.0;;;5.0;17.0;55.0;;;;2.0;14.0;;;;;;;;;;;;;;;;;;;;;31.0;7.0;63.0;49.0;22.0;59.0;2.0;3.0;;;;;;;44.0;38.0;;;;;;
259;0-14 yrs;2001;;20.0;67.0;;;69.0;;;;6.0;28.0;2.0;;;3.0;16.0;43.0;11.0;21.0;11.0;0.0;13.0;;;0.0;1.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;32.0;13.0;63.0;44.0;24.0;55.0;2.0;6.0;;;;;;;43.0;39.0;;;;;;7.0
260;0-14 yrs;2002;;19.0;68.0;;;67.0;;;;5.0;28.0;1.0;;;3.0;14.0;48.0;;;;1.0;15.0;;;;;;;;;;;;;;;;;;;;;26.0;10.0;56.0;42.0;19.0;61.0;1.0;3.0;;;;;;;43.0;39.0;;;;;;
261;0-14 yrs;2003;;21.0;66.0;;;69.0;;;;1.0;29.0;0.0;;;3.0;17.0;46.0;15.0;26.0;6.0;0.0;16.0;;;1.0;1.0;0.0;1.0;0.0;1.0;;;;;;;;;;;;;29.0;8.0;63.0;45.0;26.0;56.0;2.0;4.0;;;;;;;43.0;39.0;;;;;;7.0
262;0-14 yrs;2004;;22.0;66.0;;;68.0;;;;4.0;26.0;1.0;;;4.0;13.0;36.0;;;;0.0;15.0;;;;;;;;;;;;;;;;;;;;;29.0;10.0;59.0;40.0;20.0;60.0;1.0;4.0;;;;;;;43.0;38.0;;;;;;
263;0-14 yrs;2005;;23.0;65.0;;;68.0;;;;5.0;26.0;1.0;;;4.0;19.0;36.0;;;;1.0;16.0;;;;;;;;;;;;;;;;;;;;;34.0;11.0;68.0;48.0;22.0;60.0;0.0;3.0;;;;;;;42.0;38.0;;;;;;
264;0-14 yrs;2006;;26.0;64.0;;;72.0;;;;5.0;27.0;1.0;;;5.0;18.0;56.0;;;;1.0;17.0;;;;;;;;;;;;;;;;;;;;;31.0;9.0;58.0;45.0;23.0;57.0;1.0;4.0;;;;;;;48.0;35.0;;;;;;
265;0-14 yrs;2007;;28.0;62.0;;;71.0;;;;3.0;25.0;2.0;;;4.0;18.0;47.0;;;;1.0;20.0;;;;;;;;;;;;;;;;;;;;;28.0;9.0;62.0;39.0;29.0;55.0;;3.0;;;;;;;46.0;36.0;;;;;;
266;0-14 yrs;2008;;30.0;60.0;;;72.0;;;;4.0;22.0;4.0;;;3.0;15.0;48.0;;;;0.0;19.0;;;;;;;;;;;;;;;;;;;;;29.0;11.0;62.0;49.0;27.0;56.0;1.0;5.0;;;;;;;49.0;36.0;;;;;;
267;0-14 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;0-14 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;0-14 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;15-19 yrs;1997;33.0;25.0;48.0;2.0;10.0;55.0;5.0;2.0;9.0;6.0;20.0;2.0;11.0;17.0;6.0;9.0;30.0;7.0;19.0;15.0;1.0;8.0;3.0;10.0;2.0;6.0;0.0;1.0;0.0;1.0;1.0;2.0;22.0;38.0;24.0;23.0;1.0;3.0;0.0;9.0;0.0;1.0;34.0;16.0;54.0;31.0;34.0;44.0;32.0;23.0;19.0;35.0;53.0;14.0;49.0;19.0;35.0;43.0;10.0;37.0;42.0;8.0;3.0;8.0
271;15-19 yrs;1998;33.0;24.0;48.0;2.0;9.0;55.0;2.0;1.0;8.0;5.0;18.0;3.0;7.0;20.0;5.0;9.0;34.0;;;;1.0;8.0;3.0;11.0;;;;;;;1.0;3.0;24.0;47.0;19.0;22.0;0.0;5.0;1.0;10.0;0.0;3.0;32.0;8.0;61.0;30.0;31.0;44.0;35.0;23.0;21.0;40.0;59.0;16.0;52.0;18.0;36.0;42.0;10.0;34.0;45.0;10.0;1.0;
272;15-19 yrs;1999;36.0;24.0;47.0;1.0;12.0;55.0;7.0;1.0;8.0;7.0;16.0;1.0;12.0;17.0;7.0;8.0;34.0;;;;1.0;8.0;2.0;10.0;;;;;;;0.0;3.0;20.0;47.0;15.0;22.0;0.0;3.0;0.0;9.0;0.0;1.0;32.0;12.0;58.0;30.0;28.0;51.0;35.0;25.0;21.0;41.0;58.0;14.0;54.0;13.0;38.0;43.0;11.0;36.0;43.0;9.0;1.0;
273;15-19 yrs;2000;45.0;26.0;46.0;2.0;10.0;54.0;5.0;3.0;12.0;5.0;24.0;2.0;11.0;17.0;5.0;10.0;29.0;;;;1.0;8.0;4.0;10.0;;;;;;;1.0;8.0;28.0;46.0;13.0;24.0;1.0;2.0;0.0;15.0;0.0;2.0;32.0;11.0;58.0;29.0;27.0;53.0;33.0;27.0;22.0;44.0;57.0;16.0;51.0;20.0;38.0;42.0;7.0;42.0;44.0;6.0;1.0;
274;15-19 yrs;2001;38.0;25.0;46.0;1.0;10.0;55.0;5.0;2.0;6.0;5.0;17.0;2.0;8.0;19.0;6.0;8.0;29.0;8.0;20.0;30.0;0.0;8.0;5.0;8.0;1.0;6.0;0.0;1.0;1.0;2.0;2.0;6.0;26.0;45.0;18.0;20.0;1.0;3.0;1.0;9.0;0.0;2.0;35.0;12.0;58.0;29.0;29.0;53.0;34.0;28.0;23.0;37.0;54.0;16.0;58.0;11.0;38.0;41.0;11.0;41.0;42.0;6.0;1.0;8.0
275;15-19 yrs;2002;37.0;26.0;45.0;2.0;8.0;53.0;3.0;0.0;8.0;3.0;16.0;2.0;11.0;16.0;5.0;10.0;31.0;;;;0.0;12.0;3.0;11.0;;;;;;;1.0;4.0;28.0;44.0;18.0;17.0;1.0;2.0;2.0;10.0;0.0;1.0;30.0;13.0;51.0;30.0;20.0;58.0;30.0;28.0;21.0;44.0;57.0;13.0;62.0;13.0;40.0;39.0;8.0;34.0;47.0;9.0;2.0;
276;15-19 yrs;2003;38.0;28.0;45.0;1.0;11.0;55.0;2.0;1.0;7.0;5.0;16.0;2.0;9.0;16.0;5.0;11.0;29.0;10.0;21.0;26.0;0.0;11.0;4.0;12.0;2.0;5.0;0.0;1.0;0.0;2.0;1.0;5.0;27.0;44.0;20.0;21.0;2.0;3.0;2.0;8.0;0.0;3.0;35.0;9.0;57.0;29.0;21.0;59.0;28.0;27.0;20.0;40.0;49.0;13.0;62.0;11.0;41.0;41.0;8.0;45.0;41.0;5.0;2.0;8.0
277;15-19 yrs;2004;40.0;29.0;43.0;2.0;8.0;54.0;6.0;0.0;9.0;3.0;14.0;0.0;8.0;16.0;5.0;10.0;33.0;;;;0.0;11.0;2.0;8.0;;;;;;;1.0;5.0;28.0;40.0;17.0;19.0;2.0;2.0;1.0;5.0;0.0;2.0;34.0;12.0;64.0;30.0;24.0;64.0;24.0;30.0;18.0;42.0;54.0;14.0;57.0;11.0;40.0;40.0;7.0;41.0;42.0;7.0;3.0;
