ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
392;Total overnight accommodation;All countries;Noord-Nederland (LD);2021;3949;14683
393;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 January;143;471
394;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 February;199;570
395;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 March;288;775
396;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 1th quarter;630;1816
397;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 April;420;1301
398;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 May;540;1696
399;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 June;548;1745
400;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 2nd quarter;1508;4741
401;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 July;580;2415
402;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 August;677;3016
403;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 September;493;1586
404;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 3rd quarter;1751;7018
405;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 October;465;1397
406;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 November;301;783
407;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 December;261;686
408;Total overnight accommodation;All countries;Noord-Nederland (LD);2022 4th quarter;1027;2866
409;Total overnight accommodation;All countries;Noord-Nederland (LD);2022;4915;16442
410;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 January;239;672
411;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 February;235;617
412;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 March;312;846
413;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 1st quarter;786;2135
414;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 April;411;1209
415;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 May;536;1816
416;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 June;503;1670
417;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 2nd quarter;1450;4695
418;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 July;561;2473
419;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 August;592;2875
420;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 September;478;1516
421;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 3rd quarter;1630;6864
422;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 October;429;1357
423;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 November;287;745
424;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 December;250;695
425;Total overnight accommodation;All countries;Noord-Nederland (LD);2023 4th quarter;966;2798
426;Total overnight accommodation;All countries;Noord-Nederland (LD);2023;4832;16491
427;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 January;274;739
428;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 February;278;745
429;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 March;338;935
430;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 1st quarter;889;2419
431;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 April;386;1069
432;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 May;598;1981
433;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 June;524;1732
434;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 2nd quarter;1507;4782
435;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 July;581;2448
436;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 August;675;2897
437;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 September;519;1616
438;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 3rd quarter;1773;6948
439;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 October;414;1235
440;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 November;276;729
441;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 December;280;737
442;Total overnight accommodation;All countries;Noord-Nederland (LD);2024 4th quarter;970;2700
443;Total overnight accommodation;All countries;Noord-Nederland (LD);2024;5145;16861
444;Total overnight accommodation;All countries;Noord-Nederland (LD);2025 January;248;678
445;Total overnight accommodation;All countries;Noord-Nederland (LD);2025 February;258;689
446;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 January;280;648
447;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 February;299;704
448;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 March;349;804
449;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 1st quarter;928;2156
450;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 April;527;1462
451;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 May;674;2181
452;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 June;580;1854
453;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 2nd quarter;1782;5498
454;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 July;627;2679
455;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 August;700;3072
456;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 September;533;1621
457;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 3rd quarter;1860;7373
458;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 October;509;1443
459;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 November;336;768
460;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 December;290;741
461;Total overnight accommodation;All countries;Oost-Nederland (LD);2012 4th quarter;1135;2952
462;Total overnight accommodation;All countries;Oost-Nederland (LD);2012;5704;17979
463;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 January;242;612
464;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 February;276;684
465;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 March;330;804
466;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 1st quarter;848;2099
467;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 April;465;1328
468;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 May;705;2361
469;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 June;565;1933
470;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 2nd quarter;1735;5623
471;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 July;622;2665
472;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 August;705;3319
473;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 September;514;1716
474;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 3rd quarter;1841;7701
475;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 October;492;1433
476;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 November;339;800
477;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 December;299;767
478;Total overnight accommodation;All countries;Oost-Nederland (LD);2013 4th quarter;1129;3000
479;Total overnight accommodation;All countries;Oost-Nederland (LD);2013;5553;18423
480;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 January;257;634
481;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 February;264;650
482;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 March;337;789
483;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 1st quarter;858;2073
484;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 April;492;1419
485;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 May;623;1938
486;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 June;678;2384
487;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 2nd quarter;1793;5740
488;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 July;629;2755
489;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 August;727;3422
490;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 September;549;1771
491;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 3rd quarter;1904;7949
492;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 October;526;1424
493;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 November;348;815
494;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 December;310;787
495;Total overnight accommodation;All countries;Oost-Nederland (LD);2014 4th quarter;1184;3025
496;Total overnight accommodation;All countries;Oost-Nederland (LD);2014;5739;18787
497;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 January;274;648
498;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 February;320;768
499;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 March;346;797
500;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 1st quarter;940;2213
501;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 April;527;1396
502;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 May;749;2509
503;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 June;609;2009
504;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 2nd quarter;1885;5914
505;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 July;729;3176
506;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 August;782;3487
507;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 September;565;1762
508;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 3rd quarter;2076;8425
509;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 October;593;1646
510;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 November;400;916
511;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 December;344;883
512;Total overnight accommodation;All countries;Oost-Nederland (LD);2015 4th quarter;1337;3445
513;Total overnight accommodation;All countries;Oost-Nederland (LD);2015;6237;19998
514;Total overnight accommodation;All countries;Oost-Nederland (LD);2016 January;295;716
515;Total overnight accommodation;All countries;Oost-Nederland (LD);2016 February;360;813
516;Total overnight accommodation;All countries;Oost-Nederland (LD);2016 March;402;955
517;Total overnight accommodation;All countries;Oost-Nederland (LD);2016 1st quarter;1057;2484
518;Total overnight accommodation;All countries;Oost-Nederland (LD);2016 April;517;1354
519;Total overnight accommodation;All countries;Oost-Nederland (LD);2016 May;780;2292
