ID;LorriesRoadTractorsLoadCapacityLC;AgeOfVehicle;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
2341;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2006;75.7;73.4;2.3;86.1;73.4;12.7;45410.0;38729.0;6681.0;1895.0
2342;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2007;86.4;84.0;2.4;96.3;84.0;12.3;46950.0;40957.0;5993.0;2052.0
2343;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2008;80.8;78.6;2.1;89.3;78.6;10.7;48015.0;42283.0;5732.0;1860.0
2344;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2009;74.2;72.3;1.9;81.6;72.3;9.3;44627.0;39537.0;5090.0;1828.0
2345;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2010;56.2;55.1;1.2;60.6;55.1;5.5;45235.0;41121.0;4114.0;1339.0
2346;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2011;41.9;40.4;1.5;47.6;40.4;7.2;44258.0;37529.0;6729.0;1076.0
2347;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2012;39.2;37.9;1.3;44.2;37.9;6.3;43782.0;37544.0;6238.0;1009.0
2348;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2013;42.5;40.4;2.1;50.7;40.4;10.3;44919.0;35813.0;9106.0;1128.0
2349;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2014;63.1;59.6;3.6;76.0;59.6;16.5;49281.0;38615.0;10665.0;1543.0
2350;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2015;56.5;53.8;2.7;64.5;53.8;10.7;49011.0;40895.0;8116.0;1316.0
2351;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2016;72.3;68.6;3.8;81.6;68.6;13.0;46814.0;39331.0;7483.0;1743.0
2352;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2017;57.7;54.8;2.9;64.2;54.8;9.4;45068.0;38439.0;6629.0;1425.0
2353;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2018;40.3;37.6;2.7;46.5;37.6;8.9;44826.0;36263.0;8562.0;1038.0
2354;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2019;38.6;36.2;2.4;43.6;36.2;7.4;43158.0;35839.0;7320.0;1010.0
2355;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 8 years old;2020;30.7;28.5;2.2;34.6;28.5;6.0;39527.0;32621.0;6906.0;875.0
2356;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1990;;;;;;;;;;
2357;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1991;;;;;;;;;;
2358;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1992;;;;;;;;;;
2359;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1993;;;;;;;;;;
2360;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1994;;;;;;;;;;
2361;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1995;;;;;;;;;;
2362;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1996;;;;;;;;;;
2363;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1997;;;;;;;;;;
2364;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1998;;;;;;;;;;
2365;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;1999;;;;;;;;;;
2366;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2000;;;;;;;;;;
2367;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2001;;;;;;;;;;
2368;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2002;201.8;196.5;5.3;231.6;196.5;35.0;18762.0;15922.0;2839.0;12344.0
2369;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2003;194.3;189.4;4.9;223.2;189.4;33.8;18833.0;15977.0;2855.0;11854.0
2370;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2004;193.0;187.8;5.2;221.4;187.8;33.6;18967.0;16089.0;2878.0;11671.0
2371;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2005;201.2;195.5;5.8;230.5;195.5;35.0;20013.0;16973.0;3040.0;11516.0
2372;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2006;213.4;206.6;6.7;243.7;206.6;37.1;21069.0;17863.0;3206.0;11568.0
2373;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2007;243.8;238.3;5.5;266.8;238.3;28.5;22308.0;19923.0;2385.0;11959.0
2374;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2008;262.8;256.8;6.0;287.0;256.8;30.2;23130.0;20694.0;2435.0;12408.0
2375;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2009;252.4;246.0;6.4;276.8;246.0;30.8;22099.0;19640.0;2459.0;12527.0
2376;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2010;242.0;237.3;4.7;259.4;237.3;22.1;20852.0;19079.0;1773.0;12438.0
2377;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2011;222.2;215.1;7.1;250.0;215.1;34.9;21134.0;18187.0;2947.0;11829.0
2378;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2012;196.5;189.4;7.1;222.7;189.4;33.3;20049.0;17055.0;2994.0;11107.0
2379;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2013;176.6;170.8;5.8;199.0;170.8;28.2;19036.0;16340.0;2696.0;10453.0
2380;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2014;162.0;153.9;8.1;191.3;153.9;37.4;19190.0;15442.0;3749.0;9967.0
2381;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2015;186.7;178.0;8.6;212.7;178.0;34.7;21226.0;17762.0;3464.0;10023.0
2382;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2016;204.1;195.5;8.6;225.2;195.5;29.7;22370.0;19424.0;2947.0;10065.0
2383;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2017;230.7;223.2;7.5;247.6;223.2;24.4;23143.0;20862.0;2281.0;10698.0
2384;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2018;225.2;213.3;11.9;252.8;213.3;39.5;23005.0;19411.0;3593.0;10988.0
2385;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2019;208.7;199.7;9.0;227.5;199.7;27.8;21116.0;18532.0;2584.0;10774.0
2386;Lorries (LC) 7 000 to 11 1999 kg;Vehicle 9 years old or older;2020;173.6;166.1;7.5;187.2;166.1;21.1;17872.0;15858.0;2014.0;10474.0
2387;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1990;;;;;;;;;;
2388;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1991;;;;;;;;;;
2389;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1992;;;;;;;;;;
2390;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1993;;;;;;;;;;
2391;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1994;;;;;;;;;;
2392;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1995;;;;;;;;;;
2393;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1996;;;;;;;;;;
2394;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1997;;;;;;;;;;
2395;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1998;;;;;;;;;;
2396;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;1999;;;;;;;;;;
2397;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2000;;;;;;;;;;
2398;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2001;;;;;;;;;;
2399;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2002;783.4;722.4;61.1;1126.1;722.4;403.8;59009.0;37852.0;21157.0;19084.0
2400;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2003;772.7;714.6;58.1;1112.3;714.6;397.8;60103.0;38610.0;21493.0;18507.0
2401;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2004;781.9;720.2;61.6;1115.9;720.2;395.6;60352.0;38955.0;21397.0;18489.0
2402;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2005;792.1;727.1;64.9;1120.8;727.1;393.6;62486.0;40540.0;21946.0;17936.0
2403;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2006;787.1;717.8;69.3;1100.3;717.8;382.5;61567.0;40164.0;21403.0;17872.0
2404;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2007;828.7;760.0;68.7;1114.7;760.0;354.7;62551.0;42646.0;19904.0;17820.0
2405;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2008;828.1;763.3;64.8;1087.3;763.3;324.0;60959.0;42793.0;18165.0;17836.0
2406;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2009;844.4;779.1;65.4;1094.6;779.1;315.5;60899.0;43344.0;17556.0;17974.0
2407;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2010;816.3;748.3;67.9;1066.1;748.3;317.7;60568.0;42517.0;18052.0;17601.0
2408;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2011;803.8;741.3;62.5;1049.4;741.3;308.1;60653.0;42847.0;17806.0;17301.0
2409;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2012;780.5;717.2;63.3;1013.8;717.2;296.6;60015.0;42458.0;17557.0;16892.0
2410;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2013;727.9;664.8;63.1;970.7;664.8;305.9;58905.0;40343.0;18562.0;16480.0
2411;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2014;711.2;646.2;65.0;946.6;646.2;300.4;58990.0;40271.0;18719.0;16046.0
2412;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2015;730.8;663.3;67.5;935.1;663.3;271.8;58464.0;41471.0;16993.0;15995.0
2413;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2016;759.2;687.6;71.7;934.3;687.6;246.7;58120.0;42772.0;15348.0;16075.0
2414;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2017;776.7;709.5;67.2;928.3;709.5;218.8;56778.0;43397.0;13381.0;16350.0
2415;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2018;762.1;696.0;66.1;914.7;696.0;218.7;54802.0;41699.0;13103.0;16692.0
2416;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2019;743.7;672.8;70.9;891.5;672.8;218.7;52674.0;39751.0;12923.0;16925.0
2417;Lorries (LC) 12 000 to 17 999 kg;Total goods vehicles;2020;730.7;653.4;77.4;870.2;653.4;216.8;51597.0;38742.0;12855.0;16865.0
2418;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1990;;;;;;;;;;
2419;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1991;;;;;;;;;;
2420;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1992;;;;;;;;;;
2421;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1993;;;;;;;;;;
2422;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1994;;;;;;;;;;
2423;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1995;;;;;;;;;;
2424;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1996;;;;;;;;;;
2425;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1997;;;;;;;;;;
2426;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1998;;;;;;;;;;
2427;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;1999;;;;;;;;;;
2428;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2000;;;;;;;;;;
2429;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2001;;;;;;;;;;
2430;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2002;50.5;44.5;5.9;83.9;44.5;39.3;58974.0;31327.0;27647.0;1422.0
2431;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2003;46.3;41.0;5.3;77.2;41.0;36.2;61691.0;32778.0;28913.0;1252.0
2432;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2004;52.6;46.3;6.3;87.0;46.3;40.7;63506.0;33769.0;29738.0;1370.0
2433;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2005;47.3;41.3;6.0;77.5;41.3;36.2;58779.0;31337.0;27442.0;1319.0
2434;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2006;45.7;39.4;6.3;74.2;39.4;34.8;46531.0;24722.0;21809.0;1594.0
2435;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2007;43.8;38.3;5.6;67.0;38.3;28.7;47772.0;27303.0;20469.0;1402.0
2436;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2008;52.4;46.7;5.7;75.2;46.7;28.5;47929.0;29764.0;18166.0;1568.0
2437;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2009;52.8;47.8;5.0;71.8;47.8;24.0;52933.0;35230.0;17702.0;1357.0
2438;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2010;30.0;25.8;4.2;45.6;25.8;19.8;44380.0;25092.0;19288.0;1027.0
2439;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2011;41.8;37.2;4.6;59.9;37.2;22.7;53345.0;33146.0;20199.0;1122.0
2440;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2012;35.6;32.7;2.9;46.5;32.7;13.8;52887.0;37193.0;15694.0;879.0
2441;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2013;28.9;27.2;1.7;35.5;27.2;8.3;40394.0;30996.0;9397.0;879.0
2442;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2014;18.7;16.6;2.1;26.3;16.6;9.8;36630.0;23051.0;13579.0;719.0
2443;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2015;32.5;26.9;5.7;49.7;26.9;22.8;49566.0;26833.0;22733.0;1002.0
2444;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2016;40.9;35.2;5.7;54.7;35.2;19.5;47622.0;30675.0;16947.0;1149.0
2445;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2017;47.7;43.9;3.8;56.2;43.9;12.2;44404.0;34741.0;9664.0;1265.0
2446;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2018;50.0;46.9;3.1;57.1;46.9;10.2;40061.0;32894.0;7167.0;1426.0
2447;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2019;50.6;45.9;4.6;60.2;45.9;14.3;44255.0;33775.0;10481.0;1360.0
2448;Lorries (LC) 12 000 to 17 999 kg;Vehicle 0 years old;2020;33.0;28.5;4.5;41.2;28.5;12.7;44612.0;30871.0;13740.0;923.0
2449;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1990;;;;;;;;;;
2450;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1991;;;;;;;;;;
2451;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1992;;;;;;;;;;
2452;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1993;;;;;;;;;;
2453;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1994;;;;;;;;;;
2454;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1995;;;;;;;;;;
2455;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1996;;;;;;;;;;
2456;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1997;;;;;;;;;;
2457;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1998;;;;;;;;;;
2458;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;1999;;;;;;;;;;
2459;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2000;;;;;;;;;;
2460;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2001;;;;;;;;;;
2461;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2002;93.6;82.6;11.0;155.1;82.6;72.5;99731.0;53115.0;46616.0;1555.0
2462;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2003;85.5;75.7;9.8;142.5;75.7;66.7;99770.0;53026.0;46744.0;1428.0
2463;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2004;76.6;67.4;9.3;126.9;67.4;59.5;102235.0;54295.0;47940.0;1241.0
2464;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2005;89.9;78.6;11.4;147.4;78.6;68.8;108529.0;57852.0;50677.0;1358.0
2465;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2006;82.2;71.0;11.2;133.0;71.0;62.0;103344.0;55177.0;48166.0;1287.0
2466;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2007;105.2;91.8;13.4;160.7;91.8;68.9;97894.0;55928.0;41965.0;1642.0
2467;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2008;85.0;75.1;9.9;124.7;75.1;49.6;92027.0;55407.0;36620.0;1355.0
2468;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2009;95.4;84.9;10.5;135.5;84.9;50.6;87734.0;54956.0;32777.0;1545.0
2469;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2010;87.5;80.7;6.9;112.8;80.7;32.2;83576.0;59741.0;23835.0;1350.0
2470;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2011;60.7;54.8;5.8;83.6;54.8;28.7;82726.0;54306.0;28420.0;1010.0
2471;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2012;74.2;66.1;8.1;104.1;66.1;38.0;94905.0;60250.0;34655.0;1097.0
2472;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2013;61.6;56.5;5.2;81.7;56.5;25.2;90643.0;62653.0;27990.0;901.0
2473;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2014;65.4;59.4;6.0;87.1;59.4;27.7;93655.0;63846.0;29809.0;930.0
2474;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2015;45.1;40.7;4.4;58.5;40.7;17.8;86583.0;60221.0;26362.0;676.0
2475;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2016;70.1;62.8;7.3;88.0;62.8;25.2;93668.0;66818.0;26851.0;940.0
2476;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2017;81.7;74.5;7.2;98.0;74.5;23.5;90952.0;69127.0;21825.0;1078.0
2477;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2018;85.9;78.9;7.0;102.0;78.9;23.0;88354.0;68404.0;19949.0;1154.0
2478;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2019;86.7;77.7;9.1;105.6;77.7;28.0;85199.0;62631.0;22568.0;1240.0
2479;Lorries (LC) 12 000 to 17 999 kg;Vehicle 1 year old;2020;89.3;80.7;8.6;104.9;80.7;24.2;80798.0;62146.0;18652.0;1298.0
2480;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1990;;;;;;;;;;
2481;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1991;;;;;;;;;;
2482;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1992;;;;;;;;;;
2483;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1993;;;;;;;;;;
2484;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1994;;;;;;;;;;
2485;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1995;;;;;;;;;;
2486;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1996;;;;;;;;;;
2487;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1997;;;;;;;;;;
2488;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1998;;;;;;;;;;
2489;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;1999;;;;;;;;;;
2490;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2000;;;;;;;;;;
2491;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2001;;;;;;;;;;
2492;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2002;105.1;94.4;10.6;164.8;94.4;70.4;95555.0;54747.0;40808.0;1725.0
2493;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2003;94.1;84.9;9.3;148.2;84.9;63.3;94887.0;54345.0;40542.0;1562.0
2494;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2004;87.8;78.6;9.2;137.5;78.6;59.0;96588.0;55182.0;41406.0;1424.0
2495;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2005;78.9;70.2;8.7;122.9;70.2;52.7;98547.0;56269.0;42278.0;1247.0
2496;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2006;90.4;79.6;10.8;139.1;79.6;59.5;103685.0;59319.0;44366.0;1342.0
2497;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2007;90.3;80.1;10.3;133.0;80.1;52.9;104727.0;63048.0;41678.0;1270.0
2498;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2008;107.1;95.5;11.6;153.6;95.5;58.1;94226.0;58571.0;35656.0;1630.0
2499;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2009;86.6;77.4;9.1;121.5;77.4;44.1;89664.0;57143.0;32521.0;1355.0
2500;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2010;97.6;86.7;10.9;137.6;86.7;50.9;88713.0;55894.0;32819.0;1551.0
2501;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2011;86.0;79.2;6.7;112.4;79.2;33.2;83208.0;58645.0;24563.0;1351.0
2502;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2012;60.9;55.1;5.7;82.0;55.1;26.9;81061.0;54492.0;26569.0;1012.0
2503;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2013;69.9;61.5;8.4;102.3;61.5;40.9;93626.0;56235.0;37392.0;1093.0
2504;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2014;57.6;50.9;6.7;81.8;50.9;30.9;91552.0;56987.0;34564.0;893.0
2505;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2015;67.1;59.6;7.4;89.5;59.6;29.8;97263.0;64826.0;32437.0;920.0
2506;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2016;47.3;42.5;4.8;59.0;42.5;16.5;92353.0;66471.0;25883.0;639.0
2507;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2017;71.8;65.6;6.2;85.8;65.6;20.3;95279.0;72789.0;22490.0;901.0
2508;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2018;76.4;68.6;7.8;94.3;68.6;25.7;88654.0;64455.0;24199.0;1064.0
2509;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2019;82.3;74.8;7.4;97.8;74.8;23.0;87080.0;66638.0;20441.0;1123.0
2510;Lorries (LC) 12 000 to 17 999 kg;Vehicle 2 years old;2020;86.5;75.2;11.2;106.7;75.2;31.5;86256.0;60821.0;25435.0;1237.0
2511;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1990;;;;;;;;;;
2512;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1991;;;;;;;;;;
2513;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1992;;;;;;;;;;
2514;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1993;;;;;;;;;;
2515;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1994;;;;;;;;;;
2516;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1995;;;;;;;;;;
2517;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1996;;;;;;;;;;
2518;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1997;;;;;;;;;;
2519;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1998;;;;;;;;;;
2520;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;1999;;;;;;;;;;
2521;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2000;;;;;;;;;;
2522;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2001;;;;;;;;;;
2523;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2002;97.9;89.0;8.9;148.0;89.0;59.0;88999.0;53520.0;35480.0;1663.0
2524;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2003;102.6;93.6;9.0;155.2;93.6;61.7;89843.0;54165.0;35678.0;1728.0
2525;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2004;92.5;83.9;8.6;139.3;83.9;55.4;89275.0;53768.0;35507.0;1560.0
2526;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2005;86.7;78.2;8.6;130.1;78.2;51.9;91798.0;55176.0;36622.0;1417.0
2527;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2006;78.3;69.9;8.4;116.4;69.9;46.4;93460.0;56162.0;37298.0;1245.0
2528;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2007;92.6;83.2;9.4;131.8;83.2;48.7;99058.0;62496.0;36562.0;1331.0
2529;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2008;86.6;78.2;8.4;119.9;78.2;41.7;94218.0;61429.0;32789.0;1273.0
2530;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2009;105.8;95.6;10.1;144.6;95.6;49.0;88502.0;58529.0;29973.0;1634.0
2531;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2010;87.8;78.9;9.0;120.8;78.9;42.0;87100.0;56850.0;30250.0;1387.0
2532;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2011;100.4;91.3;9.1;136.3;91.3;45.0;88156.0;59046.0;29110.0;1546.0
2533;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2012;85.6;79.3;6.3;108.8;79.3;29.4;80213.0;58503.0;21711.0;1356.0
2534;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2013;58.3;53.2;5.2;78.3;53.2;25.1;77672.0;52736.0;24937.0;1008.0
2535;Lorries (LC) 12 000 to 17 999 kg;Vehicle 3 years old;2014;70.5;62.2;8.3;100.6;62.2;38.5;92742.0;57281.0;35461.0;1085.0
