ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;GemiddeldeAncienniteit_2;TotaalWerknemers_3;VasteArbeidsrelatie_4;FlexibeleArbeidsrelatie_5;VasteArbeidsrelatie_6;FlexibeleArbeidsrelatie_7;TotaalZelfstandigen_8;MetPersoneel_9;ZonderPersoneel_10;MetPersoneel_11;ZonderPersoneel_12;PersonenMetVoortdurendEenBaan_13;PersonenMetMeerDanEenBaan_14;Deeltijders_15;Voltijders_16;GemiddeldeArbeidsduur_17;PersonenMetUitkering_18
1250;Mannen;30 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1251;Mannen;30 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1252;Mannen;30 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1253;Mannen;30 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1254;Mannen;31 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1255;Mannen;31 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1256;Mannen;31 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1257;Mannen;31 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1258;Mannen;31 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1259;Mannen;31 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1260;Mannen;31 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
1261;Mannen;31 jaar;1940  tot 1945;96.0;;88.0;;;;;12.0;;;;;;;4.0;96.0;44.7;
1262;Mannen;31 jaar;1945  tot 1950;93.0;;91.0;;;;;9.0;;;;;;;5.0;95.0;42.1;
1263;Mannen;31 jaar;1950  tot 1955;86.0;;91.0;;;;;9.0;;;;;;;7.0;93.0;41.6;
1264;Mannen;31 jaar;1955  tot 1960;88.0;;90.0;;;;;10.0;;;;;;;8.0;92.0;40.2;
1265;Mannen;31 jaar;1960  tot 1965;90.0;6.2;90.0;83.0;7.0;93.0;7.0;10.0;4.0;6.0;42.0;58.0;;;7.0;93.0;40.9;
1266;Mannen;31 jaar;1965  tot 1970;92.0;5.2;90.0;79.0;11.0;88.0;12.0;10.0;4.0;6.0;44.0;56.0;0.0;0.0;8.0;92.0;40.4;0.0
1267;Mannen;31 jaar;1970  tot 1975;90.0;5.1;87.0;75.0;12.0;86.0;14.0;13.0;5.0;8.0;36.0;64.0;56.0;50.0;8.0;92.0;40.4;8.0
1268;Mannen;31 jaar;1975  tot 1980;92.0;4.9;87.0;72.0;15.0;83.0;17.0;13.0;4.0;9.0;32.0;68.0;52.0;56.0;10.0;90.0;40.2;8.0
1269;Mannen;31 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1270;Mannen;31 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1271;Mannen;31 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1272;Mannen;31 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1273;Mannen;32 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1274;Mannen;32 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1275;Mannen;32 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1276;Mannen;32 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1277;Mannen;32 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1278;Mannen;32 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1279;Mannen;32 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
1280;Mannen;32 jaar;1940  tot 1945;95.0;;87.0;;;;;13.0;;;;;;;3.0;97.0;44.2;
1281;Mannen;32 jaar;1945  tot 1950;94.0;;89.0;;;;;11.0;;;;;;;6.0;94.0;41.9;
1282;Mannen;32 jaar;1950  tot 1955;87.0;;90.0;;;;;10.0;;;;;;;8.0;92.0;41.1;
1283;Mannen;32 jaar;1955  tot 1960;90.0;6.4;90.0;83.0;7.0;93.0;7.0;10.0;5.0;6.0;;;;;8.0;92.0;40.3;
1284;Mannen;32 jaar;1960  tot 1965;90.0;6.6;89.0;82.0;7.0;92.0;8.0;11.0;5.0;6.0;42.0;58.0;;;7.0;93.0;40.8;
1285;Mannen;32 jaar;1965  tot 1970;92.0;5.8;88.0;79.0;9.0;90.0;10.0;12.0;5.0;7.0;44.0;56.0;0.0;0.0;8.0;92.0;40.8;7.0
1286;Mannen;32 jaar;1970  tot 1975;91.0;5.5;87.0;76.0;11.0;88.0;12.0;13.0;5.0;8.0;38.0;62.0;57.0;48.0;9.0;91.0;40.4;8.0
1287;Mannen;32 jaar;1975  tot 1980;92.0;5.4;86.0;72.0;14.0;84.0;16.0;14.0;4.0;10.0;31.0;69.0;53.0;53.0;10.0;90.0;40.3;8.0
1288;Mannen;32 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1289;Mannen;32 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1290;Mannen;32 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1291;Mannen;32 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1292;Mannen;33 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1293;Mannen;33 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1294;Mannen;33 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1295;Mannen;33 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1296;Mannen;33 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1297;Mannen;33 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1298;Mannen;33 jaar;1935  tot 1940;96.0;;85.0;;;;;15.0;;;;;;;2.0;98.0;45.8;
1299;Mannen;33 jaar;1940  tot 1945;95.0;;89.0;;;;;11.0;;;;;;;4.0;96.0;44.0;
1300;Mannen;33 jaar;1945  tot 1950;92.0;;88.0;;;;;12.0;;;;;;;6.0;94.0;42.2;
1301;Mannen;33 jaar;1950  tot 1955;88.0;;90.0;;;;;10.0;;;;;;;8.0;92.0;40.9;
1302;Mannen;33 jaar;1955  tot 1960;90.0;7.0;90.0;83.0;6.0;93.0;7.0;10.0;5.0;6.0;;;;;7.0;93.0;40.5;
1303;Mannen;33 jaar;1960  tot 1965;90.0;7.0;89.0;82.0;7.0;92.0;8.0;11.0;5.0;6.0;47.0;53.0;;;7.0;93.0;40.9;
1304;Mannen;33 jaar;1965  tot 1970;93.0;6.0;87.0;78.0;9.0;90.0;10.0;13.0;6.0;7.0;46.0;54.0;58.0;50.0;8.0;92.0;40.9;8.0
1305;Mannen;33 jaar;1970  tot 1975;92.0;5.9;85.0;74.0;11.0;87.0;13.0;15.0;6.0;9.0;42.0;58.0;58.0;45.0;9.0;91.0;40.7;8.0
1306;Mannen;33 jaar;1975  tot 1980;91.0;5.8;85.0;72.0;14.0;84.0;16.0;15.0;5.0;10.0;34.0;66.0;;;11.0;89.0;40.2;
1307;Mannen;33 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1308;Mannen;33 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1309;Mannen;33 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1310;Mannen;33 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1311;Mannen;34 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1312;Mannen;34 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1313;Mannen;34 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1314;Mannen;34 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1315;Mannen;34 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1316;Mannen;34 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1317;Mannen;34 jaar;1935  tot 1940;96.0;;85.0;;;;;15.0;;;;;;;3.0;97.0;45.5;
1318;Mannen;34 jaar;1940  tot 1945;95.0;;88.0;;;;;12.0;;;;;;;4.0;96.0;43.6;
1319;Mannen;34 jaar;1945  tot 1950;91.0;;89.0;;;;;11.0;;;;;;;6.0;94.0;42.3;
1320;Mannen;34 jaar;1950  tot 1955;89.0;;90.0;;;;;10.0;;;;;;;9.0;91.0;40.8;
1321;Mannen;34 jaar;1955  tot 1960;90.0;7.7;89.0;84.0;5.0;94.0;6.0;11.0;5.0;6.0;44.0;56.0;;;8.0;92.0;40.7;
1322;Mannen;34 jaar;1960  tot 1965;92.0;7.4;88.0;80.0;7.0;92.0;8.0;12.0;6.0;7.0;47.0;53.0;;;8.0;92.0;41.0;
1323;Mannen;34 jaar;1965  tot 1970;92.0;6.3;86.0;77.0;9.0;90.0;10.0;14.0;6.0;8.0;44.0;56.0;59.0;46.0;8.0;92.0;41.0;8.0
1324;Mannen;34 jaar;1970  tot 1975;92.0;6.2;84.0;73.0;11.0;87.0;13.0;16.0;6.0;9.0;40.0;60.0;58.0;45.0;10.0;90.0;40.8;8.0
1325;Mannen;34 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1326;Mannen;34 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1327;Mannen;34 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1328;Mannen;34 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1329;Mannen;34 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1330;Mannen;35 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1331;Mannen;35 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1332;Mannen;35 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1333;Mannen;35 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1334;Mannen;35 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1335;Mannen;35 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1336;Mannen;35 jaar;1935  tot 1940;96.0;;86.0;;;;;14.0;;;;;;;4.0;96.0;45.0;
1337;Mannen;35 jaar;1940  tot 1945;95.0;;88.0;;;;;12.0;;;;;;;4.0;96.0;43.6;
1338;Mannen;35 jaar;1945  tot 1950;89.0;;88.0;;;;;12.0;;;;;;;6.0;94.0;42.1;
1339;Mannen;35 jaar;1950  tot 1955;90.0;;89.0;;;;;11.0;;;;;;;8.0;92.0;40.8;
1340;Mannen;35 jaar;1955  tot 1960;90.0;8.5;89.0;84.0;5.0;94.0;6.0;11.0;5.0;6.0;48.0;52.0;;;8.0;92.0;40.7;
1341;Mannen;35 jaar;1960  tot 1965;92.0;7.8;88.0;81.0;7.0;92.0;8.0;12.0;6.0;6.0;48.0;52.0;0.0;0.0;8.0;92.0;40.9;0.0
1342;Mannen;35 jaar;1965  tot 1970;92.0;6.8;85.0;77.0;8.0;91.0;9.0;15.0;6.0;9.0;40.0;60.0;61.0;42.0;9.0;91.0;40.7;9.0
1343;Mannen;35 jaar;1970  tot 1975;92.0;6.5;83.0;72.0;11.0;87.0;13.0;17.0;7.0;10.0;40.0;60.0;58.0;45.0;10.0;90.0;40.8;8.0
1344;Mannen;35 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1345;Mannen;35 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1346;Mannen;35 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1347;Mannen;35 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1348;Mannen;35 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1349;Mannen;36 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1350;Mannen;36 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1351;Mannen;36 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1352;Mannen;36 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1353;Mannen;36 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1354;Mannen;36 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1355;Mannen;36 jaar;1935  tot 1940;96.0;;86.0;;;;;14.0;;;;;;;3.0;97.0;45.2;
1356;Mannen;36 jaar;1940  tot 1945;94.0;;86.0;;;;;14.0;;;;;;;4.0;96.0;43.2;
1357;Mannen;36 jaar;1945  tot 1950;89.0;;88.0;;;;;12.0;;;;;;;6.0;94.0;42.5;
1358;Mannen;36 jaar;1950  tot 1955;89.0;;89.0;;;;;11.0;;;;;;;10.0;90.0;40.3;
1359;Mannen;36 jaar;1955  tot 1960;90.0;8.8;88.0;84.0;4.0;95.0;5.0;12.0;5.0;7.0;46.0;54.0;;;8.0;92.0;41.0;
1360;Mannen;36 jaar;1960  tot 1965;93.0;8.0;86.0;79.0;7.0;92.0;8.0;14.0;7.0;7.0;48.0;52.0;0.0;0.0;8.0;92.0;41.0;0.0
1361;Mannen;36 jaar;1965  tot 1970;92.0;7.3;84.0;77.0;7.0;92.0;8.0;16.0;7.0;9.0;41.0;59.0;61.0;40.0;10.0;90.0;40.8;9.0
1362;Mannen;36 jaar;1970  tot 1975;93.0;7.0;82.0;72.0;10.0;88.0;12.0;18.0;7.0;11.0;40.0;60.0;57.0;45.0;10.0;90.0;40.8;8.0
1363;Mannen;36 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1364;Mannen;36 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1365;Mannen;36 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1366;Mannen;36 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1367;Mannen;36 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1368;Mannen;37 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1369;Mannen;37 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1370;Mannen;37 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1371;Mannen;37 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1372;Mannen;37 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1373;Mannen;37 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
1374;Mannen;37 jaar;1935  tot 1940;95.0;;85.0;;;;;15.0;;;;;;;3.0;97.0;44.8;
1375;Mannen;37 jaar;1940  tot 1945;94.0;;86.0;;;;;14.0;;;;;;;4.0;96.0;43.1;
1376;Mannen;37 jaar;1945  tot 1950;89.0;;88.0;;;;;12.0;;;;;;;7.0;93.0;41.8;
1377;Mannen;37 jaar;1950  tot 1955;90.0;9.6;88.0;85.0;3.0;96.0;4.0;12.0;5.0;6.0;;;;;8.0;92.0;40.7;
1378;Mannen;37 jaar;1955  tot 1960;90.0;9.3;88.0;83.0;5.0;95.0;5.0;12.0;6.0;6.0;50.0;50.0;;;8.0;92.0;40.9;
1379;Mannen;37 jaar;1960  tot 1965;92.0;8.4;86.0;79.0;7.0;92.0;8.0;14.0;7.0;7.0;52.0;48.0;0.0;0.0;9.0;91.0;40.9;9.0
1380;Mannen;37 jaar;1965  tot 1970;91.0;7.7;84.0;76.0;7.0;91.0;9.0;16.0;7.0;9.0;44.0;56.0;61.0;38.0;10.0;90.0;40.7;9.0
1381;Mannen;37 jaar;1970  tot 1975;92.0;7.4;81.0;72.0;10.0;88.0;12.0;19.0;7.0;12.0;38.0;62.0;57.0;44.0;11.0;89.0;40.8;9.0
1382;Mannen;37 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1383;Mannen;37 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1384;Mannen;37 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1385;Mannen;37 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1386;Mannen;37 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1387;Mannen;38 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1388;Mannen;38 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1389;Mannen;38 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1390;Mannen;38 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1391;Mannen;38 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1392;Mannen;38 jaar;1930  tot 1935;96.0;;84.0;;;;;16.0;;;;;;;2.0;98.0;46.0;
1393;Mannen;38 jaar;1935  tot 1940;94.0;;86.0;;;;;14.0;;;;;;;3.0;97.0;44.3;
1394;Mannen;38 jaar;1940  tot 1945;92.0;;86.0;;;;;14.0;;;;;;;5.0;95.0;43.0;
1395;Mannen;38 jaar;1945  tot 1950;90.0;;87.0;;;;;13.0;;;;;;;7.0;93.0;42.0;
1396;Mannen;38 jaar;1950  tot 1955;90.0;10.0;88.0;83.0;4.0;95.0;5.0;12.0;6.0;7.0;;;;;9.0;91.0;40.9;
1397;Mannen;38 jaar;1955  tot 1960;90.0;10.0;87.0;81.0;5.0;94.0;6.0;13.0;6.0;7.0;47.0;53.0;;;8.0;92.0;41.2;
1398;Mannen;38 jaar;1960  tot 1965;92.0;8.9;83.0;78.0;6.0;93.0;7.0;17.0;8.0;8.0;49.0;51.0;62.0;40.0;10.0;90.0;41.1;9.0
1399;Mannen;38 jaar;1965  tot 1970;91.0;8.1;83.0;75.0;8.0;90.0;10.0;17.0;7.0;10.0;43.0;57.0;61.0;37.0;10.0;90.0;40.8;9.0
1400;Mannen;38 jaar;1970  tot 1975;92.0;7.9;82.0;73.0;10.0;88.0;12.0;18.0;7.0;11.0;39.0;61.0;;;11.0;89.0;40.6;
1401;Mannen;38 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1402;Mannen;38 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1403;Mannen;38 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1404;Mannen;38 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1405;Mannen;38 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1406;Mannen;39 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1407;Mannen;39 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1408;Mannen;39 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1409;Mannen;39 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1410;Mannen;39 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1411;Mannen;39 jaar;1930  tot 1935;96.0;;83.0;;;;;17.0;;;;;;;3.0;97.0;46.1;
1412;Mannen;39 jaar;1935  tot 1940;94.0;;85.0;;;;;15.0;;;;;;;3.0;97.0;44.5;
1413;Mannen;39 jaar;1940  tot 1945;90.0;;88.0;;;;;12.0;;;;;;;5.0;95.0;42.7;
1414;Mannen;39 jaar;1945  tot 1950;89.0;;87.0;;;;;13.0;;;;;;;8.0;92.0;41.5;
1415;Mannen;39 jaar;1950  tot 1955;90.0;10.7;88.0;85.0;3.0;97.0;3.0;12.0;7.0;5.0;57.0;43.0;;;8.0;92.0;40.9;
1416;Mannen;39 jaar;1955  tot 1960;91.0;10.4;88.0;82.0;6.0;94.0;6.0;12.0;5.0;7.0;44.0;56.0;;;9.0;91.0;40.6;
1417;Mannen;39 jaar;1960  tot 1965;92.0;9.1;84.0;77.0;7.0;92.0;8.0;16.0;7.0;9.0;46.0;54.0;63.0;37.0;10.0;90.0;40.7;10.0
1418;Mannen;39 jaar;1965  tot 1970;92.0;8.6;82.0;74.0;8.0;90.0;10.0;18.0;8.0;10.0;44.0;56.0;61.0;37.0;10.0;90.0;41.0;9.0
1419;Mannen;39 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
1420;Mannen;39 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1421;Mannen;39 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1422;Mannen;39 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1423;Mannen;39 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1424;Mannen;39 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1425;Mannen;40 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1426;Mannen;40 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1427;Mannen;40 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1428;Mannen;40 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1429;Mannen;40 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1430;Mannen;40 jaar;1930  tot 1935;95.0;;84.0;;;;;16.0;;;;;;;2.0;98.0;45.6;
1431;Mannen;40 jaar;1935  tot 1940;94.0;;85.0;;;;;15.0;;;;;;;3.0;97.0;44.1;
1432;Mannen;40 jaar;1940  tot 1945;90.0;;87.0;;;;;13.0;;;;;;;6.0;94.0;42.8;
1433;Mannen;40 jaar;1945  tot 1950;90.0;;86.0;;;;;14.0;;;;;;;9.0;91.0;41.2;
1434;Mannen;40 jaar;1950  tot 1955;90.0;11.3;87.0;84.0;3.0;96.0;4.0;13.0;6.0;7.0;48.0;52.0;;;8.0;92.0;40.9;
1435;Mannen;40 jaar;1955  tot 1960;90.0;11.1;86.0;80.0;5.0;94.0;6.0;14.0;7.0;7.0;50.0;50.0;0.0;0.0;9.0;91.0;41.0;0.0
1436;Mannen;40 jaar;1960  tot 1965;92.0;9.7;84.0;78.0;6.0;93.0;7.0;16.0;8.0;9.0;46.0;54.0;63.0;34.0;10.0;90.0;40.7;11.0
1437;Mannen;40 jaar;1965  tot 1970;91.0;9.1;80.0;73.0;8.0;90.0;10.0;20.0;9.0;11.0;44.0;56.0;60.0;38.0;11.0;89.0;40.9;9.0
1438;Mannen;40 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
1439;Mannen;40 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1440;Mannen;40 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1441;Mannen;40 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1442;Mannen;40 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1443;Mannen;40 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1444;Mannen;41 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1445;Mannen;41 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1446;Mannen;41 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1447;Mannen;41 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1448;Mannen;41 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1449;Mannen;41 jaar;1930  tot 1935;94.0;;83.0;;;;;17.0;;;;;;;2.0;98.0;45.6;
1450;Mannen;41 jaar;1935  tot 1940;93.0;;85.0;;;;;15.0;;;;;;;4.0;96.0;43.4;
1451;Mannen;41 jaar;1940  tot 1945;89.0;;87.0;;;;;13.0;;;;;;;5.0;95.0;43.1;
1452;Mannen;41 jaar;1945  tot 1950;89.0;;87.0;;;;;13.0;;;;;;;8.0;92.0;41.1;
1453;Mannen;41 jaar;1950  tot 1955;90.0;11.9;87.0;83.0;3.0;96.0;4.0;13.0;7.0;6.0;54.0;46.0;;;7.0;93.0;41.3;
1454;Mannen;41 jaar;1955  tot 1960;92.0;11.5;87.0;82.0;5.0;94.0;6.0;13.0;6.0;7.0;47.0;53.0;0.0;0.0;8.0;92.0;40.8;0.0
1455;Mannen;41 jaar;1960  tot 1965;91.0;10.4;83.0;77.0;5.0;93.0;7.0;17.0;8.0;9.0;44.0;56.0;64.0;32.0;11.0;89.0;40.5;11.0
1456;Mannen;41 jaar;1965  tot 1970;92.0;9.6;80.0;72.0;7.0;91.0;9.0;20.0;8.0;12.0;40.0;60.0;59.0;38.0;10.0;90.0;40.9;10.0
1457;Mannen;41 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
1458;Mannen;41 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1459;Mannen;41 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1460;Mannen;41 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1461;Mannen;41 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1462;Mannen;41 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1463;Mannen;42 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1464;Mannen;42 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1465;Mannen;42 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1466;Mannen;42 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1467;Mannen;42 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
1468;Mannen;42 jaar;1930  tot 1935;94.0;;84.0;;;;;16.0;;;;;;;3.0;97.0;45.1;
1469;Mannen;42 jaar;1935  tot 1940;91.0;;85.0;;;;;15.0;;;;;;;4.0;96.0;43.1;
1470;Mannen;42 jaar;1940  tot 1945;89.0;;86.0;;;;;14.0;;;;;;;7.0;93.0;42.5;
1471;Mannen;42 jaar;1945  tot 1950;89.0;12.6;87.0;85.0;3.0;97.0;3.0;13.0;6.0;6.0;;;;;9.0;91.0;40.9;
1472;Mannen;42 jaar;1950  tot 1955;89.0;12.6;86.0;83.0;3.0;96.0;4.0;14.0;6.0;8.0;45.0;55.0;;;7.0;93.0;41.2;
1473;Mannen;42 jaar;1955  tot 1960;92.0;11.6;85.0;81.0;4.0;95.0;5.0;15.0;7.0;8.0;47.0;53.0;0.0;0.0;9.0;91.0;40.8;10.0
1474;Mannen;42 jaar;1960  tot 1965;90.0;10.8;82.0;77.0;6.0;93.0;7.0;18.0;8.0;10.0;45.0;55.0;64.0;31.0;10.0;90.0;40.6;11.0
1475;Mannen;42 jaar;1965  tot 1970;90.0;10.0;78.0;71.0;7.0;91.0;9.0;22.0;8.0;13.0;38.0;62.0;59.0;38.0;11.0;89.0;40.9;10.0
1476;Mannen;42 jaar;1970  tot 1975;;;;;;;;;;;;;;;;;;
1477;Mannen;42 jaar;1975  tot 1980;;;;;;;;;;;;;;;;;;
1478;Mannen;42 jaar;1980  tot 1985;;;;;;;;;;;;;;;;;;
1479;Mannen;42 jaar;1985  tot 1990;;;;;;;;;;;;;;;;;;
1480;Mannen;42 jaar;1990  tot 1995;;;;;;;;;;;;;;;;;;
1481;Mannen;42 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
1482;Mannen;43 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1483;Mannen;43 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
1484;Mannen;43 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
1485;Mannen;43 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
1486;Mannen;43 jaar;1925  tot 1930;96.0;;82.0;;;;;18.0;;;;;;;2.0;98.0;46.1;
1487;Mannen;43 jaar;1930  tot 1935;93.0;;84.0;;;;;16.0;;;;;;;3.0;97.0;45.0;
1488;Mannen;43 jaar;1935  tot 1940;90.0;;84.0;;;;;16.0;;;;;;;4.0;96.0;43.5;
1489;Mannen;43 jaar;1940  tot 1945;88.0;;85.0;;;;;15.0;;;;;;;7.0;93.0;42.3;
1490;Mannen;43 jaar;1945  tot 1950;89.0;13.5;86.0;84.0;2.0;97.0;3.0;14.0;6.0;7.0;;;;;8.0;92.0;41.3;
1491;Mannen;43 jaar;1950  tot 1955;90.0;13.2;86.0;82.0;4.0;96.0;4.0;14.0;7.0;7.0;52.0;48.0;;;9.0;91.0;41.0;
1492;Mannen;43 jaar;1955  tot 1960;91.0;12.2;85.0;80.0;5.0;94.0;6.0;15.0;7.0;8.0;45.0;55.0;66.0;32.0;10.0;90.0;40.5;11.0
