ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;NetEnergyConsumption_8;TotalEnergyTransformationInput_9;ElectricityAndCHPTransformationInput_10;OtherTransformationInput_11;TotalEnergyTransformationOutput_12;ElectricityCHPTransformationOutput_13;OtherTransformationOutput_14;TotalNetEnergyTransformation_15;NetElectricityCHPTransformation_16;NetOtherTransformation_17;EnergySectorOwnUse_18;DistributionLosses_19;TotalFinalConsumption_20;FinalEnergyConsumption_21;NonEnergyUse_22;StatisticalDifferences_23
1574;Nuclear energy;2013;28.0;28.0;;;;;;28.0;28.0;28.0;;;;;28.0;28.0;;;;;;;
1575;Nuclear energy;2014 1st quarter;10.0;10.0;;;;;;10.0;10.0;10.0;;;;;10.0;10.0;;;;;;;
1576;Nuclear energy;2014 2nd quarter;8.0;8.0;;;;;;8.0;8.0;8.0;;;;;8.0;8.0;;;;;;;
1577;Nuclear energy;2014 3rd quarter;11.0;11.0;;;;;;11.0;11.0;11.0;;;;;11.0;11.0;;;;;;;
1578;Nuclear energy;2014 4th quarter;11.0;11.0;;;;;;11.0;11.0;11.0;;;;;11.0;11.0;;;;;;;
1579;Nuclear energy;2014;39.0;39.0;;;;;;39.0;39.0;39.0;;;;;39.0;39.0;;;;;;;
1580;Nuclear energy;2015 1st quarter;11.0;11.0;;;;;;;11.0;11.0;;;;;11.0;11.0;;;;;;;
1581;Nuclear energy;2015 2nd quarter;7.0;7.0;;;;;;;7.0;7.0;;;;;7.0;7.0;;;;;;;
1582;Nuclear energy;2015 3rd quarter;11.0;11.0;;;;;;;11.0;11.0;;;;;11.0;11.0;;;;;;;
1583;Nuclear energy;2015 4th quarter;11.0;11.0;;;;;;;11.0;11.0;;;;;11.0;11.0;;;;;;;
1584;Nuclear energy;2015;39.0;39.0;;;;;;39.0;39.0;39.0;;;;;39.0;39.0;;;;;;;
1585;Nuclear energy;2016 1st quarter;11.0;11.0;;;;;;;11.0;11.0;;;;;11.0;11.0;;;;;;;
1586;Nuclear energy;2016 2nd quarter;6.0;6.0;;;;;;;6.0;6.0;;;;;6.0;6.0;;;;;;;
1587;Nuclear energy;2016 3rd quarter;11.0;11.0;;;;;;;11.0;11.0;;;;;11.0;11.0;;;;;;;
1588;Nuclear energy;2016 4th quarter;11.0;11.0;;;;;;;11.0;11.0;;;;;11.0;11.0;;;;;;;
1589;Nuclear energy;2016;38.0;38.0;;;;;;38.0;38.0;38.0;;;;;38.0;38.0;;;;;;;
1590;Energy from other sources;1946;;;;;;;;;;;;;;;;;;;;;;;
1591;Energy from other sources;1947;;;;;;;;;;;;;;;;;;;;;;;
1592;Energy from other sources;1948;;;;;;;;;;;;;;;;;;;;;;;
1593;Energy from other sources;1949;;;;;;;;;;;;;;;;;;;;;;;
1594;Energy from other sources;1950;;;;;;;;;;;;;;;;;;;;;;;
1595;Energy from other sources;1951;;;;;;;;;;;;;;;;;;;;;;;
1596;Energy from other sources;1952;;;;;;;;;;;;;;;;;;;;;;;
1597;Energy from other sources;1953;;;;;;;;;;;;;;;;;;;;;;;
1598;Energy from other sources;1954;;;;;;;;;;;;;;;;;;;;;;;
1599;Energy from other sources;1955;;;;;;;;;;;;;;;;;;;;;;;
1600;Energy from other sources;1956;;;;;;;;;;;;;;;;;;;;;;;
1601;Energy from other sources;1957;;;;;;;;;;;;;;;;;;;;;;;
1602;Energy from other sources;1958;;;;;;;;;;;;;;;;;;;;;;;
1603;Energy from other sources;1959;;;;;;;;;;;;;;;;;;;;;;;
1604;Energy from other sources;1960;;;;;;;;;;;;;;;;;;;;;;;
1605;Energy from other sources;1961;;;;;;;;;;;;;;;;;;;;;;;
1606;Energy from other sources;1962;;;;;;;;;;;;;;;;;;;;;;;
1607;Energy from other sources;1963;;;;;;;;;;;;;;;;;;;;;;;
1608;Energy from other sources;1964;;;;;;;;;;;;;;;;;;;;;;;
1609;Energy from other sources;1965;;;;;;;;;;;;;;;;;;;;;;;
1610;Energy from other sources;1966;;;;;;;;;;;;;;;;;;;;;;;
1611;Energy from other sources;1967;;;;;;;;;;;;;;;;;;;;;;;
1612;Energy from other sources;1968;;;;;;;;;;;;;;;;;;;;;;;
1613;Energy from other sources;1969;;;;;;;;;;;;;;;;;;;;;;;
1614;Energy from other sources;1970;;;;;;;;;;;;;;;;;;;;;;;
1615;Energy from other sources;1971;;;;;;;;;;;;;;;;;;;;;;;
1616;Energy from other sources;1972;;;;;;;;;;;;;;;;;;;;;;;
1617;Energy from other sources;1973;;;;;;;;;;;;;;;;;;;;;;;
1618;Energy from other sources;1974;;;;;;;;;;;;;;;;;;;;;;;
1619;Energy from other sources;1975;;;;;;;;;;;;;;;;;;;;;;;
1620;Energy from other sources;1976;;;;;;;;;;;;;;;;;;;;;;;
1621;Energy from other sources;1977;;;;;;;;;;;;;;;;;;;;;;;
1622;Energy from other sources;1978;;;;;;;;;;;;;;;;;;;;;;;
1623;Energy from other sources;1979;;;;;;;;;;;;;;;;;;;;;;;
1624;Energy from other sources;1980;;;;;;;;;;;;;;;;;;;;;;;
1625;Energy from other sources;1981;;;;;;;;;;;;;;;;;;;;;;;
1626;Energy from other sources;1982;;;;;;;;;;;;;;;;;;;;;;;
1627;Energy from other sources;1983;;;;;;;;;;;;;;;;;;;;;;;
1628;Energy from other sources;1984;;;;;;;;;;;;;;;;;;;;;;;
1629;Energy from other sources;1985;;;;;;;;;;;;;;;;;;;;;;;
1630;Energy from other sources;1986;;;;;;;;;;;;;;;;;;;;;;;
1631;Energy from other sources;1987;;;;;;;;;;;;;;;;;;;;;;;
1632;Energy from other sources;1988;;;;;;;;;;;;;;;;;;;;;;;
1633;Energy from other sources;1989;;;;;;;;;;;;;;;;;;;;;;;
1634;Energy from other sources;1990;15.0;15.0;;;;;;15.0;11.0;11.0;;;;;11.0;11.0;;;;3.0;3.0;;0.0
1635;Energy from other sources;1991;14.0;14.0;;;;;;14.0;11.0;11.0;;;;;11.0;11.0;;;;3.0;3.0;;
1636;Energy from other sources;1992;18.0;18.0;;;;;;18.0;14.0;14.0;0.0;;;;14.0;14.0;0.0;;;4.0;4.0;;
1637;Energy from other sources;1993;19.0;19.0;;;;;;19.0;17.0;16.0;1.0;;;;17.0;16.0;1.0;;;2.0;2.0;;
1638;Energy from other sources;1994;19.0;19.0;;;;;;19.0;17.0;15.0;3.0;;;;17.0;15.0;3.0;;;1.0;1.0;;
1639;Energy from other sources;1995 1st quarter;6.0;6.0;;;;;;;5.0;4.0;1.0;;;;5.0;4.0;1.0;;;;;;
1640;Energy from other sources;1995 2nd quarter;6.0;6.0;;;;;;;5.0;4.0;1.0;;;;5.0;4.0;1.0;;;;;;
1641;Energy from other sources;1995 3rd quarter;5.0;5.0;;;;;;;5.0;4.0;1.0;;;;5.0;4.0;1.0;;;;;;
1642;Energy from other sources;1995 4th quarter;6.0;6.0;;;;;;;5.0;4.0;1.0;;;;5.0;4.0;1.0;;;;;;
1643;Energy from other sources;1995;23.0;23.0;;;;;;23.0;19.0;16.0;4.0;;;;19.0;16.0;4.0;;;4.0;4.0;;
1644;Energy from other sources;1996 1st quarter;6.0;6.0;;;;;;;5.0;4.0;1.0;;;;5.0;4.0;1.0;;;;;;
1645;Energy from other sources;1996 2nd quarter;6.0;6.0;;;;;;;6.0;5.0;1.0;;;;6.0;5.0;1.0;;;;;;
1646;Energy from other sources;1996 3rd quarter;7.0;7.0;;;;;;;6.0;5.0;1.0;;;;6.0;5.0;1.0;;;;;;
1647;Energy from other sources;1996 4th quarter;7.0;7.0;;;;;;;6.0;6.0;1.0;;;;6.0;6.0;1.0;;;;;;
1648;Energy from other sources;1996;27.0;27.0;;;;;;27.0;23.0;20.0;3.0;;;;23.0;20.0;3.0;;;4.0;4.0;;
1649;Energy from other sources;1997 1st quarter;7.0;7.0;;;;;;;6.0;5.0;1.0;;;;6.0;5.0;1.0;;;;;;
1650;Energy from other sources;1997 2nd quarter;8.0;8.0;;;;;;;7.0;5.0;2.0;;;;7.0;5.0;2.0;;;;;;
1651;Energy from other sources;1997 3rd quarter;8.0;8.0;;;;;;;7.0;5.0;2.0;;;;7.0;5.0;2.0;;;;;;
1652;Energy from other sources;1997 4th quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1653;Energy from other sources;1997;31.0;31.0;;;;;;31.0;27.0;21.0;6.0;;;;27.0;21.0;6.0;;;4.0;4.0;;
1654;Energy from other sources;1998 1st quarter;8.0;8.0;;;;;;;7.0;6.0;1.0;;;;7.0;6.0;1.0;;;;;;
1655;Energy from other sources;1998 2nd quarter;8.0;8.0;;;;;;;7.0;6.0;1.0;;;;7.0;6.0;1.0;;;;;;
1656;Energy from other sources;1998 3rd quarter;8.0;8.0;;;;;;;7.0;5.0;1.0;;;;7.0;5.0;1.0;;;;;;
1657;Energy from other sources;1998 4th quarter;8.0;8.0;;;;;;;7.0;6.0;1.0;;;;7.0;6.0;1.0;;;;;;
1658;Energy from other sources;1998;32.0;32.0;;;;;;32.0;28.0;23.0;5.0;;;;28.0;23.0;5.0;;;4.0;4.0;;
1659;Energy from other sources;1999 1st quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1660;Energy from other sources;1999 2nd quarter;8.0;8.0;;;;;;;7.0;6.0;1.0;;;;7.0;6.0;1.0;;;;;;
1661;Energy from other sources;1999 3rd quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1662;Energy from other sources;1999 4th quarter;8.0;8.0;;;;;;;7.0;5.0;2.0;;;;7.0;5.0;2.0;;;;;;
1663;Energy from other sources;1999;32.0;32.0;;;;;;32.0;29.0;22.0;7.0;;;;29.0;22.0;7.0;;;3.0;3.0;;
1664;Energy from other sources;2000 1st quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1665;Energy from other sources;2000 2nd quarter;8.0;8.0;;;;;;;7.0;5.0;2.0;;;;7.0;5.0;2.0;;;;;;
1666;Energy from other sources;2000 3rd quarter;8.0;8.0;;;;;;;7.0;5.0;2.0;;;;7.0;5.0;2.0;;;;;;
1667;Energy from other sources;2000 4th quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1668;Energy from other sources;2000;32.0;32.0;;;;;;32.0;29.0;22.0;7.0;;;;29.0;22.0;7.0;;;3.0;3.0;;
1669;Energy from other sources;2001 1st quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1670;Energy from other sources;2001 2nd quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1671;Energy from other sources;2001 3rd quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1672;Energy from other sources;2001 4th quarter;8.0;8.0;;;;;;;7.0;6.0;2.0;;;;7.0;6.0;2.0;;;;;;
1673;Energy from other sources;2001;32.0;32.0;;;;;;32.0;30.0;23.0;7.0;;;;30.0;23.0;7.0;;;2.0;2.0;;0.0
1674;Energy from other sources;2002 1st quarter;9.0;9.0;;;;;;;8.0;6.0;2.0;;;;8.0;6.0;2.0;;;;;;
1675;Energy from other sources;2002 2nd quarter;8.0;8.0;;;;;;;8.0;6.0;2.0;;;;8.0;6.0;2.0;;;;;;
1676;Energy from other sources;2002 3rd quarter;8.0;8.0;;;;;;;8.0;6.0;2.0;;;;8.0;6.0;2.0;;;;;;
1677;Energy from other sources;2002 4th quarter;8.0;8.0;;;;;;;8.0;6.0;2.0;;;;8.0;6.0;2.0;;;;;;
1678;Energy from other sources;2002;34.0;34.0;;;;;;34.0;31.0;25.0;6.0;;;;31.0;25.0;6.0;;;3.0;3.0;;0.0
1679;Energy from other sources;2003 1st quarter;9.0;9.0;;;;;;;8.0;7.0;2.0;;;;8.0;7.0;2.0;;;;;;
1680;Energy from other sources;2003 2nd quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1681;Energy from other sources;2003 3rd quarter;9.0;9.0;;;;;;;8.0;7.0;2.0;;;;8.0;7.0;2.0;;;;;;
1682;Energy from other sources;2003 4th quarter;9.0;9.0;;;;;;;8.0;7.0;2.0;;;;8.0;7.0;2.0;;;;;;
1683;Energy from other sources;2003;36.0;36.0;;;;;;36.0;33.0;26.0;7.0;;;;33.0;26.0;7.0;;;3.0;3.0;;0.0
1684;Energy from other sources;2004 1st quarter;9.0;9.0;;;;;;;8.0;6.0;2.0;;;;8.0;6.0;2.0;;;;;;
1685;Energy from other sources;2004 2nd quarter;9.0;9.0;;;;;;;8.0;7.0;2.0;;;;8.0;7.0;2.0;;;;;;
1686;Energy from other sources;2004 3rd quarter;10.0;10.0;;;;;;;8.0;7.0;2.0;;;;8.0;7.0;2.0;;;;;;
1687;Energy from other sources;2004 4th quarter;10.0;10.0;;;;;;;9.0;7.0;2.0;;;;9.0;7.0;2.0;;;;;;
1688;Energy from other sources;2004;38.0;38.0;;;;;;38.0;33.0;26.0;7.0;;;;33.0;26.0;7.0;;;5.0;5.0;;0.0
1689;Energy from other sources;2005 1st quarter;10.0;10.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1690;Energy from other sources;2005 2nd quarter;10.0;10.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1691;Energy from other sources;2005 3rd quarter;10.0;10.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1692;Energy from other sources;2005 4th quarter;10.0;10.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1693;Energy from other sources;2005;39.0;39.0;;;;;;39.0;33.0;27.0;6.0;;;;33.0;27.0;6.0;;;6.0;6.0;;0.0
1694;Energy from other sources;2006 1st quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1695;Energy from other sources;2006 2nd quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1696;Energy from other sources;2006 3rd quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1697;Energy from other sources;2006 4th quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1698;Energy from other sources;2006;37.0;37.0;;;;;;37.0;32.0;26.0;5.0;;;;32.0;26.0;5.0;;;6.0;6.0;;
1699;Energy from other sources;2007 1st quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1700;Energy from other sources;2007 2nd quarter;9.0;9.0;;;;;;;8.0;6.0;1.0;;;;8.0;6.0;1.0;;;;;;
1701;Energy from other sources;2007 3rd quarter;10.0;10.0;;;;;;;9.0;7.0;2.0;;;;9.0;7.0;2.0;;;;;;
1702;Energy from other sources;2007 4th quarter;10.0;10.0;;;;;;;9.0;8.0;1.0;;;;9.0;8.0;1.0;;;;;;
1703;Energy from other sources;2007;39.0;39.0;;;;;;39.0;33.0;28.0;6.0;;;;33.0;28.0;6.0;;;6.0;6.0;;0.0
1704;Energy from other sources;2008 1st quarter;10.0;10.0;;;;;;;9.0;7.0;1.0;;;;9.0;7.0;1.0;;;;;;
1705;Energy from other sources;2008 2nd quarter;10.0;10.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1706;Energy from other sources;2008 3rd quarter;10.0;10.0;;;;;;;9.0;7.0;1.0;;;;9.0;7.0;1.0;0.0;;;;;
1707;Energy from other sources;2008 4th quarter;10.0;10.0;;;;;;;9.0;7.0;2.0;;;;9.0;7.0;2.0;;;;;;
1708;Energy from other sources;2008;40.0;40.0;;;;;;40.0;35.0;29.0;6.0;;;;35.0;29.0;6.0;0.0;;5.0;5.0;;
1709;Energy from other sources;2009 1st quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1710;Energy from other sources;2009 2nd quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1711;Energy from other sources;2009 3rd quarter;10.0;10.0;;;;;;;9.0;7.0;2.0;;;;9.0;7.0;2.0;;;;;;
1712;Energy from other sources;2009 4th quarter;10.0;10.0;;;;;;;9.0;7.0;2.0;;;;9.0;7.0;2.0;;;;;;
1713;Energy from other sources;2009;39.0;39.0;;;;;;39.0;34.0;28.0;6.0;;;;34.0;28.0;6.0;;;5.0;5.0;;
1714;Energy from other sources;2010 1st quarter;9.0;9.0;;;;;;;8.0;6.0;1.0;;;;8.0;6.0;1.0;;;;;;
1715;Energy from other sources;2010 2nd quarter;9.0;9.0;;;;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1716;Energy from other sources;2010 3rd quarter;10.0;10.0;;;;;;;9.0;7.0;2.0;;;;9.0;7.0;2.0;;;;;;
1717;Energy from other sources;2010 4th quarter;10.0;10.0;;;;;;;9.0;7.0;1.0;;;;9.0;7.0;1.0;;;;;;
1718;Energy from other sources;2010;37.0;37.0;;;;;;37.0;33.0;28.0;6.0;;;;33.0;28.0;6.0;;;4.0;4.0;;0.0
1719;Energy from other sources;2011 1st quarter;9.0;9.0;0.0;0.0;0.0;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1720;Energy from other sources;2011 2nd quarter;9.0;9.0;0.0;0.0;0.0;;;;8.0;7.0;1.0;;;;8.0;7.0;1.0;;;;;;
1721;Energy from other sources;2011 3rd quarter;10.0;10.0;0.0;0.0;0.0;;;;9.0;8.0;1.0;;;;9.0;8.0;1.0;;;;;;
1722;Energy from other sources;2011 4th quarter;10.0;10.0;0.0;0.0;0.0;;;;9.0;8.0;1.0;;;;9.0;8.0;1.0;;;;;;
1723;Energy from other sources;2011;39.0;38.0;2.0;1.0;1.0;;;39.0;35.0;30.0;5.0;;;;35.0;30.0;5.0;;;4.0;4.0;;0.0
1724;Energy from other sources;2012 1st quarter;10.0;9.0;1.0;0.0;1.0;;;;9.0;8.0;0.0;;;;9.0;8.0;0.0;;;;;;
1725;Energy from other sources;2012 2nd quarter;10.0;9.0;1.0;0.0;1.0;;;;8.0;8.0;1.0;;;;8.0;8.0;1.0;;;;;;
1726;Energy from other sources;2012 3rd quarter;10.0;9.0;1.0;0.0;1.0;;;;9.0;8.0;0.0;;;;9.0;8.0;0.0;;;;;;
1727;Energy from other sources;2012 4th quarter;10.0;9.0;1.0;0.0;1.0;;;;9.0;8.0;1.0;;;;9.0;8.0;1.0;;;;;;
1728;Energy from other sources;2012;40.0;37.0;4.0;1.0;3.0;;;40.0;35.0;32.0;2.0;;;;35.0;32.0;2.0;;;5.0;5.0;;
1729;Energy from other sources;2013 1st quarter;10.0;9.0;2.0;0.0;1.0;;;10.0;9.0;9.0;1.0;;;;9.0;9.0;1.0;;;1.0;1.0;;
1730;Energy from other sources;2013 2nd quarter;10.0;9.0;2.0;0.0;1.0;;;10.0;9.0;8.0;0.0;;;;9.0;8.0;0.0;;;1.0;1.0;;
1731;Energy from other sources;2013 3rd quarter;11.0;9.0;2.0;0.0;1.0;;;11.0;9.0;9.0;1.0;;;;9.0;9.0;1.0;;;1.0;1.0;;
1732;Energy from other sources;2013 4th quarter;10.0;9.0;2.0;0.0;1.0;;;10.0;9.0;9.0;1.0;;;;9.0;9.0;1.0;;;1.0;1.0;;
1733;Energy from other sources;2013;42.0;36.0;7.0;1.0;6.0;;;42.0;36.0;34.0;2.0;;;;36.0;34.0;2.0;;;5.0;5.0;;
1734;Energy from other sources;2014 1st quarter;11.0;9.0;2.0;0.0;1.0;;;11.0;10.0;9.0;0.0;;;;10.0;9.0;0.0;;;1.0;1.0;;
1735;Energy from other sources;2014 2nd quarter;10.0;9.0;2.0;0.0;1.0;;;10.0;9.0;9.0;0.0;;;;9.0;9.0;0.0;;;1.0;1.0;;
1736;Energy from other sources;2014 3rd quarter;11.0;9.0;2.0;0.0;1.0;;;11.0;9.0;9.0;0.0;;;;9.0;9.0;0.0;;;1.0;1.0;;
1737;Energy from other sources;2014 4th quarter;11.0;9.0;2.0;0.0;1.0;;;11.0;10.0;9.0;0.0;;;;10.0;9.0;0.0;0.0;;1.0;1.0;;
1738;Energy from other sources;2014;42.0;36.0;7.0;1.0;6.0;;;42.0;38.0;36.0;2.0;;;;38.0;36.0;2.0;0.0;;4.0;4.0;;
1739;Energy from other sources;2015 1st quarter;10.0;9.0;1.0;0.0;1.0;;;;9.0;9.0;0.0;;;;9.0;9.0;0.0;;;;;;
1740;Energy from other sources;2015 2nd quarter;10.0;9.0;1.0;0.0;1.0;;;;9.0;9.0;0.0;;;;9.0;9.0;0.0;;;;;;
1741;Energy from other sources;2015 3rd quarter;11.0;9.0;1.0;0.0;1.0;;;;10.0;9.0;1.0;;;;10.0;9.0;1.0;;;;;;
1742;Energy from other sources;2015 4th quarter;11.0;10.0;1.0;0.0;1.0;;;;9.0;9.0;0.0;;;;9.0;9.0;0.0;;;;;;
1743;Energy from other sources;2015;41.0;36.0;6.0;1.0;5.0;;;41.0;37.0;35.0;2.0;;;;37.0;35.0;2.0;;;4.0;4.0;;
1744;Energy from other sources;2016 1st quarter;10.0;9.0;1.0;0.0;1.0;;;;10.0;9.0;0.0;;;;10.0;9.0;0.0;;;;;;
1745;Energy from other sources;2016 2nd quarter;10.0;9.0;1.0;0.0;1.0;;;;9.0;8.0;0.0;;;;9.0;8.0;0.0;;;;;;
1746;Energy from other sources;2016 3rd quarter;11.0;10.0;1.0;0.0;1.0;;;;10.0;9.0;1.0;;;;10.0;9.0;1.0;;;;;;
1747;Energy from other sources;2016 4th quarter;10.0;8.0;1.0;0.0;1.0;;;;9.0;8.0;1.0;;;;9.0;8.0;1.0;;;;;;
1748;Energy from other sources;2016;40.0;36.0;6.0;1.0;5.0;;;40.0;36.0;35.0;2.0;;;;36.0;35.0;2.0;;;4.0;4.0;;
1749;Electricity;1946;0.0;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;;
1750;Electricity;1947;0.0;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;;
1751;Electricity;1948;0.0;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;;
1752;Electricity;1949;0.0;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;;
1753;Electricity;1950;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1754;Electricity;1951;1.0;0.0;1.0;0.0;1.0;;;1.0;;;;;;;;;;;;;;;
1755;Electricity;1952;1.0;0.0;1.0;0.0;1.0;;;1.0;;;;;;;;;;;;;;;
1756;Electricity;1953;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1757;Electricity;1954;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1758;Electricity;1955;1.0;0.0;1.0;0.0;1.0;;;1.0;;;;;;;;;;;;;;;
1759;Electricity;1956;0.0;0.0;1.0;1.0;0.0;;;0.0;;;;;;;;;;;;;;;
1760;Electricity;1957;0.0;0.0;0.0;1.0;0.0;;;0.0;;;;;;;;;;;;;;;
1761;Electricity;1958;1.0;0.0;1.0;0.0;1.0;;;1.0;;;;;;;;;;;;;;;
1762;Electricity;1959;0.0;0.0;1.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1763;Electricity;1960;0.0;0.0;1.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1764;Electricity;1961;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1765;Electricity;1962;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1766;Electricity;1963;0.0;0.0;1.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1767;Electricity;1964;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1768;Electricity;1965;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;
1769;Electricity;1966;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;;;;;;;;;;;;;;
1770;Electricity;1967;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;;;;;;;;;;;;;;
1771;Electricity;1968;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;;;;;;;;;;;;;;
1772;Electricity;1969;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;;;;;;;;;;;;;;
1773;Electricity;1970;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;;;;;;;;;;;;;;
1774;Electricity;1971;-4.0;0.0;0.0;4.0;-4.0;;;-4.0;;;;;;;;;;;;;;;
1775;Electricity;1972;-5.0;0.0;0.0;5.0;-5.0;;;-5.0;;;;;;;;;;;;;;;
1776;Electricity;1973;-5.0;0.0;0.0;5.0;-5.0;;;-5.0;;;;;;;;;;;;;;;
1777;Electricity;1974;-5.0;0.0;0.0;5.0;-5.0;;;-5.0;;;;;;;;;;;;;;;
1778;Electricity;1975;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;8.0;;195.0;195.0;;-187.0;-187.0;0.0;;;186.0;181.0;5.0;
1779;Electricity;1976;-1.0;0.0;0.0;1.0;-1.0;;;-1.0;;9.0;;209.0;209.0;;-201.0;-201.0;0.0;;;199.0;194.0;5.0;
1780;Electricity;1977;3.0;0.0;4.0;1.0;3.0;;;3.0;;9.0;;210.0;210.0;;-201.0;-201.0;0.0;;;204.0;198.0;6.0;
1781;Electricity;1978;1.0;0.0;2.0;1.0;1.0;;;1.0;;9.0;;222.0;222.0;;-212.0;-212.0;0.0;;;214.0;208.0;6.0;
1782;Electricity;1979;1.0;0.0;1.0;1.0;0.0;;;1.0;;10.0;;232.0;232.0;;-222.0;-222.0;0.0;;;223.0;216.0;7.0;
1783;Electricity;1980;-1.0;0.0;2.0;3.0;-1.0;;;-1.0;;10.0;;233.0;233.0;;-223.0;-223.0;0.0;;;222.0;215.0;7.0;
1784;Electricity;1981;0.0;0.0;1.0;2.0;-1.0;;;0.0;;10.0;;231.0;231.0;;-221.0;-221.0;0.0;;;220.0;214.0;6.0;
1785;Electricity;1982;10.0;0.0;11.0;1.0;10.0;;;11.0;;10.0;;217.0;217.0;;-207.0;-207.0;0.0;;;217.0;212.0;5.0;
1786;Electricity;1983;17.0;0.0;18.0;1.0;17.0;;;17.0;;10.0;;215.0;215.0;;-205.0;-205.0;0.0;;;221.0;216.0;5.0;
1787;Electricity;1984;13.0;1.0;13.0;1.0;12.0;;;13.0;;9.0;;226.0;226.0;;-217.0;-217.0;0.0;;;229.0;222.0;7.0;
1788;Electricity;1985;19.0;1.0;19.0;0.0;19.0;;;19.0;;9.0;;226.0;226.0;;-217.0;-218.0;1.0;;;236.0;225.0;11.0;
1789;Electricity;1986;8.0;1.0;8.0;0.0;8.0;;;9.0;;9.0;;241.0;241.0;;-231.0;-232.0;1.0;;;239.0;228.0;11.0;
1790;Electricity;1987;14.0;1.0;13.0;0.0;13.0;;;14.0;;9.0;;246.0;246.0;;-236.0;-237.0;1.0;;;249.0;230.0;19.0;
1791;Electricity;1988;22.0;1.0;21.0;0.0;21.0;;;21.0;;9.0;;250.0;250.0;;-240.0;-241.0;1.0;;;262.0;239.0;23.0;
1792;Electricity;1989;19.0;1.0;19.0;1.0;18.0;;;19.0;;9.0;;262.0;262.0;;-252.0;-254.0;2.0;;;271.0;248.0;23.0;
1793;Electricity;1990;33.0;;35.0;2.0;33.0;;;31.0;11.0;9.0;2.0;259.0;259.0;;-249.0;-250.0;2.0;9.0;13.0;257.0;257.0;;2.0
