ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
3039;Total sales;10111000 Meat of bovine animals or sw...;2022 December;136.4;1.7;35.9
3040;Total sales;10111000 Meat of bovine animals or sw...;2022;124.5;;24.5
3041;Total sales;10111000 Meat of bovine animals or sw...;2023 January;133.9;-1.8;34.9
3042;Total sales;10111000 Meat of bovine animals or sw...;2023 February;141.5;5.6;40.4
3043;Total sales;10111000 Meat of bovine animals or sw...;2023 March;147.4;4.2;26.5
3044;Total sales;10111000 Meat of bovine animals or sw...;2023 April;152.1;3.2;16.4
3045;Total sales;10111000 Meat of bovine animals or sw...;2023 May;155.1;2.0;21.9
3046;Total sales;10111000 Meat of bovine animals or sw...;2023 June;155.1;0.0;24.1
3047;Total sales;10111000 Meat of bovine animals or sw...;2023 July;158.9;2.5;24.4
3048;Total sales;10111000 Meat of bovine animals or sw...;2023 August;156.0;-1.8;20.4
3049;Total sales;10111000 Meat of bovine animals or sw...;2023 September;153.0;-2.0;14.9
3050;Total sales;10111000 Meat of bovine animals or sw...;2023 October;149.5;-2.3;11.7
3051;Total sales;10111000 Meat of bovine animals or sw...;2023 November;148.0;-1.0;10.3
3052;Total sales;10111000 Meat of bovine animals or sw...;2023 December;149.0;0.7;9.3
3053;Total sales;10111000 Meat of bovine animals or sw...;2023;150.0;;20.4
3054;Total sales;10111000 Meat of bovine animals or sw...;2024 January;145.7;-2.2;8.8
3055;Total sales;10111000 Meat of bovine animals or sw...;2024 February;145.0;-0.5;2.5
3056;Total sales;10111000 Meat of bovine animals or sw...;2024 March;149.0;2.8;1.1
3057;Total sales;10111000 Meat of bovine animals or sw...;2024 April;149.6;0.4;-1.6
3058;Total sales;10111000 Meat of bovine animals or sw...;2024 May;151.5;1.3;-2.3
3059;Total sales;10111000 Meat of bovine animals or sw...;2024 June;152.8;0.9;-1.4
3060;Total sales;10111000 Meat of bovine animals or sw...;2024 July;149.8;-2.0;-5.8
3061;Total sales;10111000 Meat of bovine animals or sw...;2024 August;147.4;-1.6;-5.6
3062;Total sales;10111000 Meat of bovine animals or sw...;2024 September;148.3;0.6;-3.0
3063;Total sales;10111000 Meat of bovine animals or sw...;2024 October;144.8;-2.4;-3.2
3064;Total sales;10111000 Meat of bovine animals or sw...;2024 November;143.2;-1.1;-3.2
3065;Total sales;10111000 Meat of bovine animals or sw...;2024 December;146.0;1.9;-2.0
3066;Total sales;10111000 Meat of bovine animals or sw...;2024;147.8;;-1.5
3067;Total sales;10111000 Meat of bovine animals or sw...;2025 January;147.3;0.9;1.1
3068;Total sales;10111000 Meat of bovine animals or sw...;2025 February;147.8;0.3;1.9
3069;Total sales;101111 Meat of bovine animals, fresh...;2018 January;98.7;;
3070;Total sales;101111 Meat of bovine animals, fresh...;2018 February;100.2;1.4;
3071;Total sales;101111 Meat of bovine animals, fresh...;2018 March;101.4;1.2;
3072;Total sales;101111 Meat of bovine animals, fresh...;2018 April;96.5;-4.8;
3073;Total sales;101111 Meat of bovine animals, fresh...;2018 May;93.2;-3.4;
3074;Total sales;101111 Meat of bovine animals, fresh...;2018 June;91.2;-2.2;
3075;Total sales;101111 Meat of bovine animals, fresh...;2018 July;87.7;-3.8;
3076;Total sales;101111 Meat of bovine animals, fresh...;2018 August;88.5;0.9;
3077;Total sales;101111 Meat of bovine animals, fresh...;2018 September;92.5;4.5;
3078;Total sales;101111 Meat of bovine animals, fresh...;2018 October;91.7;-0.8;
3079;Total sales;101111 Meat of bovine animals, fresh...;2018 November;94.0;2.4;
3080;Total sales;101111 Meat of bovine animals, fresh...;2018 December;96.3;2.4;
3081;Total sales;101111 Meat of bovine animals, fresh...;2018;94.3;;
3082;Total sales;101111 Meat of bovine animals, fresh...;2019 January;95.6;-0.7;-3.2
3083;Total sales;101111 Meat of bovine animals, fresh...;2019 February;92.2;-3.5;-8.0
3084;Total sales;101111 Meat of bovine animals, fresh...;2019 March;91.6;-0.7;-9.7
3085;Total sales;101111 Meat of bovine animals, fresh...;2019 April;92.3;0.8;-4.4
3086;Total sales;101111 Meat of bovine animals, fresh...;2019 May;90.7;-1.8;-2.7
3087;Total sales;101111 Meat of bovine animals, fresh...;2019 June;88.2;-2.7;-3.2
3088;Total sales;101111 Meat of bovine animals, fresh...;2019 July;85.2;-3.4;-2.8
3089;Total sales;101111 Meat of bovine animals, fresh...;2019 August;87.3;2.4;-1.4
3090;Total sales;101111 Meat of bovine animals, fresh...;2019 September;90.9;4.1;-1.7
3091;Total sales;101111 Meat of bovine animals, fresh...;2019 October;92.0;1.2;0.3
3092;Total sales;101111 Meat of bovine animals, fresh...;2019 November;96.3;4.7;2.5
3093;Total sales;101111 Meat of bovine animals, fresh...;2019 December;97.7;1.5;1.5
3094;Total sales;101111 Meat of bovine animals, fresh...;2019;91.7;;-2.8
3095;Total sales;101111 Meat of bovine animals, fresh...;2020 January;98.7;1.0;3.3
3096;Total sales;101111 Meat of bovine animals, fresh...;2020 February;96.8;-1.9;5.0
3097;Total sales;101111 Meat of bovine animals, fresh...;2020 March;97.3;0.5;6.3
3098;Total sales;101111 Meat of bovine animals, fresh...;2020 April;89.8;-7.7;-2.7
3099;Total sales;101111 Meat of bovine animals, fresh...;2020 May;84.5;-5.9;-6.8
3100;Total sales;101111 Meat of bovine animals, fresh...;2020 June;84.1;-0.6;-4.7
3101;Total sales;101111 Meat of bovine animals, fresh...;2020 July;84.2;0.1;-1.2
3102;Total sales;101111 Meat of bovine animals, fresh...;2020 August;85.7;1.8;-1.8
3103;Total sales;101111 Meat of bovine animals, fresh...;2020 September;90.1;5.2;-0.8
3104;Total sales;101111 Meat of bovine animals, fresh...;2020 October;91.7;1.7;-0.4
3105;Total sales;101111 Meat of bovine animals, fresh...;2020 November;92.1;0.5;-4.4
3106;Total sales;101111 Meat of bovine animals, fresh...;2020 December;92.0;-0.1;-5.9
3107;Total sales;101111 Meat of bovine animals, fresh...;2020;90.6;;-1.2
3108;Total sales;101111 Meat of bovine animals, fresh...;2021 January;93.0;1.1;-5.8
3109;Total sales;101111 Meat of bovine animals, fresh...;2021 February;91.9;-1.2;-5.1
3110;Total sales;101111 Meat of bovine animals, fresh...;2021 March;91.6;-0.3;-5.9
3111;Total sales;101111 Meat of bovine animals, fresh...;2021 April;90.4;-1.3;0.6
3112;Total sales;101111 Meat of bovine animals, fresh...;2021 May;91.1;0.8;7.7
3113;Total sales;101111 Meat of bovine animals, fresh...;2021 June;95.9;5.3;14.1
3114;Total sales;101111 Meat of bovine animals, fresh...;2021 July;96.9;1.1;15.1
3115;Total sales;101111 Meat of bovine animals, fresh...;2021 August;101.6;4.8;18.6
3116;Total sales;101111 Meat of bovine animals, fresh...;2021 September;107.3;5.7;19.1
3117;Total sales;101111 Meat of bovine animals, fresh...;2021 October;109.8;2.3;19.7
3118;Total sales;101111 Meat of bovine animals, fresh...;2021 November;115.2;4.9;25.0
3119;Total sales;101111 Meat of bovine animals, fresh...;2021 December;115.4;0.2;25.5
3120;Total sales;101111 Meat of bovine animals, fresh...;2021;100.0;;10.4
3121;Total sales;101111 Meat of bovine animals, fresh...;2022 January;116.8;1.2;25.6
3122;Total sales;101111 Meat of bovine animals, fresh...;2022 February;120.8;3.5;31.5
3123;Total sales;101111 Meat of bovine animals, fresh...;2022 March;127.4;5.4;39.1
3124;Total sales;101111 Meat of bovine animals, fresh...;2022 April;131.3;3.1;45.3
3125;Total sales;101111 Meat of bovine animals, fresh...;2022 May;131.1;-0.1;44.0
3126;Total sales;101111 Meat of bovine animals, fresh...;2022 June;127.2;-3.0;32.6
3127;Total sales;101111 Meat of bovine animals, fresh...;2022 July;126.3;-0.7;30.3
3128;Total sales;101111 Meat of bovine animals, fresh...;2022 August;126.0;-0.2;24.0
3129;Total sales;101111 Meat of bovine animals, fresh...;2022 September;130.1;3.3;21.3
3130;Total sales;101111 Meat of bovine animals, fresh...;2022 October;129.3;-0.6;17.8
3131;Total sales;101111 Meat of bovine animals, fresh...;2022 November;128.7;-0.4;11.8
3132;Total sales;101111 Meat of bovine animals, fresh...;2022 December;130.3;1.2;12.9
3133;Total sales;101111 Meat of bovine animals, fresh...;2022;127.1;;27.1
3134;Total sales;101111 Meat of bovine animals, fresh...;2023 January;130.9;0.5;12.1
3135;Total sales;101111 Meat of bovine animals, fresh...;2023 February;130.9;0.0;8.3
3136;Total sales;101111 Meat of bovine animals, fresh...;2023 March;133.0;1.6;4.4
3137;Total sales;101111 Meat of bovine animals, fresh...;2023 April;133.9;0.7;2.0
3138;Total sales;101111 Meat of bovine animals, fresh...;2023 May;131.5;-1.8;0.3
3139;Total sales;101111 Meat of bovine animals, fresh...;2023 June;130.2;-1.0;2.4
3140;Total sales;101111 Meat of bovine animals, fresh...;2023 July;128.2;-1.6;1.5
3141;Total sales;101111 Meat of bovine animals, fresh...;2023 August;127.6;-0.5;1.2
3142;Total sales;101111 Meat of bovine animals, fresh...;2023 September;126.5;-0.8;-2.8
3143;Total sales;101111 Meat of bovine animals, fresh...;2023 October;125.7;-0.6;-2.8
3144;Total sales;101111 Meat of bovine animals, fresh...;2023 November;125.8;0.1;-2.2
3145;Total sales;101111 Meat of bovine animals, fresh...;2023 December;127.9;1.7;-1.8
3146;Total sales;101111 Meat of bovine animals, fresh...;2023;129.4;;1.8
3147;Total sales;101111 Meat of bovine animals, fresh...;2024 January;128.7;0.6;-1.8
3148;Total sales;101111 Meat of bovine animals, fresh...;2024 February;129.1;0.3;-1.4
3149;Total sales;101111 Meat of bovine animals, fresh...;2024 March;129.3;0.2;-2.8
3150;Total sales;101111 Meat of bovine animals, fresh...;2024 April;129.4;0.1;-3.3
3151;Total sales;101111 Meat of bovine animals, fresh...;2024 May;130.7;1.0;-0.6
3152;Total sales;101111 Meat of bovine animals, fresh...;2024 June;129.9;-0.6;-0.3
3153;Total sales;101111 Meat of bovine animals, fresh...;2024 July;129.5;-0.3;1.0
3154;Total sales;101111 Meat of bovine animals, fresh...;2024 August;129.7;0.1;1.6
3155;Total sales;101111 Meat of bovine animals, fresh...;2024 September;131.9;1.7;4.2
3156;Total sales;101111 Meat of bovine animals, fresh...;2024 October;134.2;1.7;6.7
3157;Total sales;101111 Meat of bovine animals, fresh...;2024 November;139.6;4.0;10.9
3158;Total sales;101111 Meat of bovine animals, fresh...;2024 December;144.7;3.7;13.1
3159;Total sales;101111 Meat of bovine animals, fresh...;2024;132.2;;2.2
3160;Total sales;101111 Meat of bovine animals, fresh...;2025 January;148.9;2.8;15.7
3161;Total sales;101111 Meat of bovine animals, fresh...;2025 February;155.7;4.6;20.7
3162;Total sales;101112 Meat of swine, fresh or chilled;2018 January;98.6;;
3163;Total sales;101112 Meat of swine, fresh or chilled;2018 February;99.1;0.5;
3164;Total sales;101112 Meat of swine, fresh or chilled;2018 March;103.4;4.4;
3165;Total sales;101112 Meat of swine, fresh or chilled;2018 April;101.6;-1.8;
3166;Total sales;101112 Meat of swine, fresh or chilled;2018 May;100.4;-1.2;
3167;Total sales;101112 Meat of swine, fresh or chilled;2018 June;102.4;2.0;
3168;Total sales;101112 Meat of swine, fresh or chilled;2018 July;98.4;-3.9;
3169;Total sales;101112 Meat of swine, fresh or chilled;2018 August;102.5;4.2;
3170;Total sales;101112 Meat of swine, fresh or chilled;2018 September;101.6;-0.8;
3171;Total sales;101112 Meat of swine, fresh or chilled;2018 October;99.8;-1.8;
3172;Total sales;101112 Meat of swine, fresh or chilled;2018 November;100.3;0.5;
3173;Total sales;101112 Meat of swine, fresh or chilled;2018 December;101.3;1.1;
3174;Total sales;101112 Meat of swine, fresh or chilled;2018;100.8;;
3175;Total sales;101112 Meat of swine, fresh or chilled;2019 January;99.7;-1.6;1.1
3176;Total sales;101112 Meat of swine, fresh or chilled;2019 February;99.4;-0.2;0.4
3177;Total sales;101112 Meat of swine, fresh or chilled;2019 March;100.5;1.1;-2.7
3178;Total sales;101112 Meat of swine, fresh or chilled;2019 April;111.5;10.9;9.8
3179;Total sales;101112 Meat of swine, fresh or chilled;2019 May;114.0;2.2;13.6
3180;Total sales;101112 Meat of swine, fresh or chilled;2019 June;115.2;1.0;12.5
3181;Total sales;101112 Meat of swine, fresh or chilled;2019 July;119.2;3.5;21.1
3182;Total sales;101112 Meat of swine, fresh or chilled;2019 August;123.4;3.5;20.4
3183;Total sales;101112 Meat of swine, fresh or chilled;2019 September;125.7;1.9;23.7
3184;Total sales;101112 Meat of swine, fresh or chilled;2019 October;127.5;1.4;27.7
3185;Total sales;101112 Meat of swine, fresh or chilled;2019 November;131.5;3.2;31.2
3186;Total sales;101112 Meat of swine, fresh or chilled;2019 December;137.2;4.3;35.3
3187;Total sales;101112 Meat of swine, fresh or chilled;2019;117.1;;16.2
3188;Total sales;101112 Meat of swine, fresh or chilled;2020 January;132.6;-3.4;33.0
3189;Total sales;101112 Meat of swine, fresh or chilled;2020 February;131.1;-1.1;31.9
3190;Total sales;101112 Meat of swine, fresh or chilled;2020 March;133.6;1.9;32.9
3191;Total sales;101112 Meat of swine, fresh or chilled;2020 April;128.6;-3.8;15.3
3192;Total sales;101112 Meat of swine, fresh or chilled;2020 May;118.6;-7.8;4.0
3193;Total sales;101112 Meat of swine, fresh or chilled;2020 June;120.0;1.2;4.1
3194;Total sales;101112 Meat of swine, fresh or chilled;2020 July;103.5;-13.7;-13.1
3195;Total sales;101112 Meat of swine, fresh or chilled;2020 August;103.5;0.0;-16.1
3196;Total sales;101112 Meat of swine, fresh or chilled;2020 September;103.6;0.1;-17.5
3197;Total sales;101112 Meat of swine, fresh or chilled;2020 October;103.0;-0.6;-19.2
3198;Total sales;101112 Meat of swine, fresh or chilled;2020 November;100.1;-2.7;-23.9
3199;Total sales;101112 Meat of swine, fresh or chilled;2020 December;94.6;-5.5;-31.0
3200;Total sales;101112 Meat of swine, fresh or chilled;2020;114.4;;-2.3
3201;Total sales;101112 Meat of swine, fresh or chilled;2021 January;94.9;0.3;-28.4
3202;Total sales;101112 Meat of swine, fresh or chilled;2021 February;95.2;0.3;-27.4
3203;Total sales;101112 Meat of swine, fresh or chilled;2021 March;107.8;13.1;-19.3
3204;Total sales;101112 Meat of swine, fresh or chilled;2021 April;108.9;1.1;-15.3
3205;Total sales;101112 Meat of swine, fresh or chilled;2021 May;109.7;0.7;-7.5
3206;Total sales;101112 Meat of swine, fresh or chilled;2021 June;105.6;-3.7;-11.9
3207;Total sales;101112 Meat of swine, fresh or chilled;2021 July;105.2;-0.4;1.6
3208;Total sales;101112 Meat of swine, fresh or chilled;2021 August;101.1;-3.9;-2.3
3209;Total sales;101112 Meat of swine, fresh or chilled;2021 September;99.0;-2.2;-4.5
3210;Total sales;101112 Meat of swine, fresh or chilled;2021 October;89.7;-9.3;-12.8
3211;Total sales;101112 Meat of swine, fresh or chilled;2021 November;91.4;1.8;-8.8
3212;Total sales;101112 Meat of swine, fresh or chilled;2021 December;91.3;-0.1;-3.5
3213;Total sales;101112 Meat of swine, fresh or chilled;2021;100.0;;-12.6
3214;Total sales;101112 Meat of swine, fresh or chilled;2022 January;88.8;-2.8;-6.5
3215;Total sales;101112 Meat of swine, fresh or chilled;2022 February;88.6;-0.1;-6.9
3216;Total sales;101112 Meat of swine, fresh or chilled;2022 March;110.0;24.1;2.1
3217;Total sales;101112 Meat of swine, fresh or chilled;2022 April;130.2;18.3;19.5
3218;Total sales;101112 Meat of swine, fresh or chilled;2022 May;124.9;-4.0;13.8
3219;Total sales;101112 Meat of swine, fresh or chilled;2022 June;123.6;-1.1;17.0
3220;Total sales;101112 Meat of swine, fresh or chilled;2022 July;128.7;4.1;22.3
3221;Total sales;101112 Meat of swine, fresh or chilled;2022 August;131.8;2.4;30.3
3222;Total sales;101112 Meat of swine, fresh or chilled;2022 September;134.9;2.3;36.3
3223;Total sales;101112 Meat of swine, fresh or chilled;2022 October;136.6;1.3;52.2
3224;Total sales;101112 Meat of swine, fresh or chilled;2022 November;137.4;0.6;50.4
3225;Total sales;101112 Meat of swine, fresh or chilled;2022 December;140.0;1.9;53.4
3226;Total sales;101112 Meat of swine, fresh or chilled;2022;123.0;;23.0
3227;Total sales;101112 Meat of swine, fresh or chilled;2023 January;135.7;-3.1;52.9
3228;Total sales;101112 Meat of swine, fresh or chilled;2023 February;147.8;8.9;66.8
3229;Total sales;101112 Meat of swine, fresh or chilled;2023 March;156.2;5.6;41.9
3230;Total sales;101112 Meat of swine, fresh or chilled;2023 April;163.1;4.4;25.2
3231;Total sales;101112 Meat of swine, fresh or chilled;2023 May;169.4;3.9;35.6
3232;Total sales;101112 Meat of swine, fresh or chilled;2023 June;170.0;0.4;37.6
3233;Total sales;101112 Meat of swine, fresh or chilled;2023 July;177.4;4.4;37.9
3234;Total sales;101112 Meat of swine, fresh or chilled;2023 August;173.2;-2.4;31.4
3235;Total sales;101112 Meat of swine, fresh or chilled;2023 September;168.9;-2.5;25.2
3236;Total sales;101112 Meat of swine, fresh or chilled;2023 October;163.8;-3.0;19.9
3237;Total sales;101112 Meat of swine, fresh or chilled;2023 November;161.4;-1.5;17.4
3238;Total sales;101112 Meat of swine, fresh or chilled;2023 December;161.7;0.2;15.5
3239;Total sales;101112 Meat of swine, fresh or chilled;2023;162.4;;32.1
3240;Total sales;101112 Meat of swine, fresh or chilled;2024 January;156.0;-3.5;15.0
3241;Total sales;101112 Meat of swine, fresh or chilled;2024 February;154.6;-0.9;4.6
3242;Total sales;101112 Meat of swine, fresh or chilled;2024 March;160.9;4.1;3.0
3243;Total sales;101112 Meat of swine, fresh or chilled;2024 April;161.7;0.5;-0.8
3244;Total sales;101112 Meat of swine, fresh or chilled;2024 May;164.1;1.4;-3.1
