ID;BuildingPhases;Region;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
250;Orders received by contractors;Noord-Nederland (LD);2019 3rd quarter;307;100;207;;;;;;;;;;
251;Orders received by contractors;Noord-Nederland (LD);2019 October;164;25;138;;;;;;;;;;
252;Orders received by contractors;Noord-Nederland (LD);2019 November;123;24;99;;;;;;;;;;
253;Orders received by contractors;Noord-Nederland (LD);2019 December;136;17;119;;;;;;;;;;
254;Orders received by contractors;Noord-Nederland (LD);2019 4th quarter;422;66;356;;;;;;;;;;
255;Orders received by contractors;Noord-Nederland (LD);2019;1360;311;1050;;;;;;;;;;
256;Orders received by contractors;Noord-Nederland (LD);2020 January;130;34;96;;;;;;;;;;
257;Orders received by contractors;Noord-Nederland (LD);2020 February;157;33;124;;;;;;;;;;
258;Orders received by contractors;Noord-Nederland (LD);2020 March;187;34;153;;;;;;;;;;
259;Orders received by contractors;Noord-Nederland (LD);2020 1st quarter;473;101;373;;;;;;;;;;
260;Orders received by contractors;Noord-Nederland (LD);2020 April;144;23;121;;;;;;;;;;
261;Orders received by contractors;Noord-Nederland (LD);2020 May;132;34;98;;;;;;;;;;
262;Orders received by contractors;Noord-Nederland (LD);2020 June;165;32;133;;;;;;;;;;
263;Orders received by contractors;Noord-Nederland (LD);2020 2nd quarter;441;90;351;;;;;;;;;;
264;Orders received by contractors;Noord-Nederland (LD);2020 July;192;38;154;;;;;;;;;;
265;Orders received by contractors;Noord-Nederland (LD);2020 August;87;17;69;;;;;;;;;;
266;Orders received by contractors;Noord-Nederland (LD);2020 September;122;28;94;;;;;;;;;;
267;Orders received by contractors;Noord-Nederland (LD);2020 3rd quarter;401;83;317;;;;;;;;;;
268;Orders received by contractors;Noord-Nederland (LD);2020 October;165;29;135;;;;;;;;;;
269;Orders received by contractors;Noord-Nederland (LD);2020 November;199;41;158;;;;;;;;;;
270;Orders received by contractors;Noord-Nederland (LD);2020 December;133;45;89;;;;;;;;;;
271;Orders received by contractors;Noord-Nederland (LD);2020 4th quarter;497;115;382;;;;;;;;;;
272;Orders received by contractors;Noord-Nederland (LD);2020;1812;389;1423;;;;;;;;;;
273;Orders received by contractors;Noord-Nederland (LD);2021 January;119;30;89;;;;;;;;;;
274;Orders received by contractors;Noord-Nederland (LD);2021 February;152;21;131;;;;;;;;;;
275;Orders received by contractors;Noord-Nederland (LD);2021 March;220;46;174;;;;;;;;;;
276;Orders received by contractors;Noord-Nederland (LD);2021 1st quarter;492;98;394;;;;;;;;;;
277;Orders received by contractors;Noord-Nederland (LD);2021 April;164;35;129;;;;;;;;;;
278;Orders received by contractors;Noord-Nederland (LD);2021 May;127;40;88;;;;;;;;;;
279;Orders received by contractors;Noord-Nederland (LD);2021 June;173;42;132;;;;;;;;;;
280;Orders received by contractors;Noord-Nederland (LD);2021 2nd quarter;464;117;348;;;;;;;;;;
281;Orders received by contractors;Noord-Nederland (LD);2021 July;166;51;116;;;;;;;;;;
282;Orders received by contractors;Noord-Nederland (LD);2021 August;105;21;84;;;;;;;;;;
283;Orders received by contractors;Noord-Nederland (LD);2021 September;169;50;119;;;;;;;;;;
284;Orders received by contractors;Noord-Nederland (LD);2021 3rd quarter;441;122;319;;;;;;;;;;
285;Orders received by contractors;Noord-Nederland (LD);2021 October;154;42;112;;;;;;;;;;
286;Orders received by contractors;Noord-Nederland (LD);2021 November;196;35;161;;;;;;;;;;
287;Orders received by contractors;Noord-Nederland (LD);2021 December;127;42;85;;;;;;;;;;
288;Orders received by contractors;Noord-Nederland (LD);2021 4th quarter;477;118;359;;;;;;;;;;
289;Orders received by contractors;Noord-Nederland (LD);2021;1874;454;1420;;;;;;;;;;
290;Orders received by contractors;Noord-Nederland (LD);2022 January;158;21;137;;;;;;;;;;
291;Orders received by contractors;Noord-Nederland (LD);2022 February;148;46;102;;;;;;;;;;
292;Orders received by contractors;Noord-Nederland (LD);2022 March;188;45;143;;;;;;;;;;
293;Orders received by contractors;Noord-Nederland (LD);2022 1st quarter;494;112;382;;;;;;;;;;
294;Orders received by contractors;Noord-Nederland (LD);2022 April;144;51;93;;;;;;;;;;
295;Orders received by contractors;Noord-Nederland (LD);2022 May;158;29;130;;;;;;;;;;
296;Orders received by contractors;Noord-Nederland (LD);2022 June;192;70;122;;;;;;;;;;
297;Orders received by contractors;Noord-Nederland (LD);2022 2nd quarter;494;150;344;;;;;;;;;;
298;Orders received by contractors;Noord-Nederland (LD);2022 July;145;32;113;;;;;;;;;;
299;Orders received by contractors;Noord-Nederland (LD);2022 August;79;28;51;;;;;;;;;;
300;Orders received by contractors;Noord-Nederland (LD);2022 September;142;26;117;;;;;;;;;;
301;Orders received by contractors;Noord-Nederland (LD);2022 3rd quarter;367;86;280;;;;;;;;;;
302;Orders received by contractors;Noord-Nederland (LD);2022 October;232;24;208;;;;;;;;;;
303;Orders received by contractors;Noord-Nederland (LD);2022 November;155;34;121;;;;;;;;;;
304;Orders received by contractors;Noord-Nederland (LD);2022 December;128;36;92;;;;;;;;;;
305;Orders received by contractors;Noord-Nederland (LD);2022 4th quarter;515;94;420;;;;;;;;;;
306;Orders received by contractors;Noord-Nederland (LD);2022;1869;443;1427;;;;;;;;;;
307;Orders received by contractors;Noord-Nederland (LD);2023 January;111;28;83;;;;;;;;;;
308;Orders received by contractors;Noord-Nederland (LD);2023 February;120;40;80;;;;;;;;;;
309;Orders received by contractors;Noord-Nederland (LD);2023 March;230;36;195;;;;;;;;;;
310;Orders received by contractors;Noord-Nederland (LD);2023 1st quarter;460;103;357;;;;;;;;;;
311;Orders received by contractors;Noord-Nederland (LD);2023 April;166;64;102;;;;;;;;;;
312;Orders received by contractors;Noord-Nederland (LD);2023 May;135;43;93;;;;;;;;;;
313;Orders received by contractors;Noord-Nederland (LD);2023 June;190;41;149;;;;;;;;;;
314;Orders received by contractors;Noord-Nederland (LD);2023 2nd quarter;491;148;343;;;;;;;;;;
315;Orders received by contractors;Noord-Nederland (LD);2023 July;114;39;75;;;;;;;;;;
316;Orders received by contractors;Noord-Nederland (LD);2023 August;109;23;86;;;;;;;;;;
317;Orders received by contractors;Noord-Nederland (LD);2023 September;137;39;98;;;;;;;;;;
318;Orders received by contractors;Noord-Nederland (LD);2023 3rd quarter;360;102;259;;;;;;;;;;
319;Orders received by contractors;Noord-Nederland (LD);2023 October;170;31;139;;;;;;;;;;
320;Orders received by contractors;Noord-Nederland (LD);2023 November;128;51;77;;;;;;;;;;
321;Orders received by contractors;Noord-Nederland (LD);2023 December;139;35;104;;;;;;;;;;
322;Orders received by contractors;Noord-Nederland (LD);2023 4th quarter;436;116;320;;;;;;;;;;
323;Orders received by contractors;Noord-Nederland (LD);2023;1748;469;1279;;;;;;;;;;
324;Orders received by contractors;Noord-Nederland (LD);2024 January;107;43;65;;;;;;;;;;
325;Orders received by contractors;Noord-Nederland (LD);2024 February;187;34;153;;;;;;;;;;
326;Orders received by contractors;Noord-Nederland (LD);2024 March;169;57;111;;;;;;;;;;
327;Orders received by contractors;Noord-Nederland (LD);2024 1st quarter;463;134;329;;;;;;;;;;
328;Orders received by contractors;Noord-Nederland (LD);2024 April;174;34;141;;;;;;;;;;
329;Orders received by contractors;Noord-Nederland (LD);2024 May;102;38;64;;;;;;;;;;
330;Orders received by contractors;Noord-Nederland (LD);2024 June;181;32;149;;;;;;;;;;
331;Orders received by contractors;Noord-Nederland (LD);2024 2nd quarter;457;104;353;;;;;;;;;;
332;Orders received by contractors;Noord-Nederland (LD);2024 July;213;48;166;;;;;;;;;;
333;Orders received by contractors;Noord-Nederland (LD);2024 August;59;14;46;;;;;;;;;;
334;Orders received by contractors;Noord-Nederland (LD);2024 September;194;33;160;;;;;;;;;;
335;Orders received by contractors;Noord-Nederland (LD);2024 3rd quarter;466;95;372;;;;;;;;;;
336;Orders received by contractors;Noord-Nederland (LD);2024 October;202;40;162;;;;;;;;;;
337;Orders received by contractors;Noord-Nederland (LD);2024 November;135;20;115;;;;;;;;;;
338;Orders received by contractors;Noord-Nederland (LD);2024 December;133;33;100;;;;;;;;;;
339;Orders received by contractors;Noord-Nederland (LD);2024 4th quarter;470;93;377;;;;;;;;;;
340;Orders received by contractors;Noord-Nederland (LD);2024;1857;425;1431;;;;;;;;;;
341;Orders received by contractors;Noord-Nederland (LD);2025 January;111;46;65;;;;;;;;;;
342;Orders received by contractors;Oost-Nederland (LD);2015 January;220;59;161;115.0;8.0;1.0;4.0;6.0;2.0;0.0;14.0;3.0;10.0
343;Orders received by contractors;Oost-Nederland (LD);2015 February;334;48;286;212.0;12.0;9.0;27.0;1.0;2.0;0.0;7.0;2.0;14.0
344;Orders received by contractors;Oost-Nederland (LD);2015 March;283;54;229;179.0;7.0;9.0;6.0;1.0;4.0;0.0;13.0;1.0;9.0
345;Orders received by contractors;Oost-Nederland (LD);2015 1st quarter;837;160;677;506.0;27.0;19.0;37.0;7.0;8.0;0.0;34.0;6.0;33.0
346;Orders received by contractors;Oost-Nederland (LD);2015 April;252;49;203;153.0;8.0;6.0;4.0;0.0;20.0;0.0;8.0;2.0;1.0
347;Orders received by contractors;Oost-Nederland (LD);2015 May;240;56;184;115.0;11.0;5.0;18.0;18.0;4.0;0.0;4.0;4.0;5.0
348;Orders received by contractors;Oost-Nederland (LD);2015 June;176;33;142;72.0;12.0;15.0;8.0;0.0;4.0;0.0;21.0;0.0;10.0
349;Orders received by contractors;Oost-Nederland (LD);2015 2nd quarter;668;139;529;341.0;31.0;27.0;30.0;19.0;28.0;0.0;33.0;6.0;16.0
350;Orders received by contractors;Oost-Nederland (LD);2015 July;214;62;151;96.0;8.0;9.0;8.0;4.0;8.0;1.0;8.0;4.0;5.0
351;Orders received by contractors;Oost-Nederland (LD);2015 August;124;30;94;79.0;8.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0
352;Orders received by contractors;Oost-Nederland (LD);2015 September;204;57;146;98.0;8.0;13.0;11.0;1.0;8.0;0.0;2.0;1.0;5.0
353;Orders received by contractors;Oost-Nederland (LD);2015 3rd quarter;542;150;392;273.0;24.0;24.0;19.0;6.0;17.0;1.0;9.0;6.0;12.0
354;Orders received by contractors;Oost-Nederland (LD);2015 October;184;48;136;102.0;6.0;11.0;5.0;1.0;1.0;0.0;2.0;4.0;5.0
355;Orders received by contractors;Oost-Nederland (LD);2015 November;191;46;145;87.0;6.0;16.0;1.0;24.0;0.0;0.0;3.0;5.0;3.0
356;Orders received by contractors;Oost-Nederland (LD);2015 December;205;29;176;129.0;5.0;3.0;13.0;3.0;2.0;0.0;11.0;9.0;1.0
357;Orders received by contractors;Oost-Nederland (LD);2015 4th quarter;580;123;458;318.0;17.0;30.0;18.0;29.0;3.0;0.0;16.0;19.0;8.0
358;Orders received by contractors;Oost-Nederland (LD);2015;2627;571;2055;1437.0;98.0;100.0;105.0;61.0;56.0;1.0;92.0;36.0;69.0
359;Orders received by contractors;Oost-Nederland (LD);2016 January;175;26;149;98.0;5.0;12.0;3.0;0.0;9.0;0.0;4.0;14.0;3.0
360;Orders received by contractors;Oost-Nederland (LD);2016 February;189;50;139;109.0;5.0;15.0;1.0;1.0;0.0;0.0;0.0;7.0;1.0
361;Orders received by contractors;Oost-Nederland (LD);2016 March;199;39;160;120.0;10.0;2.0;12.0;3.0;2.0;0.0;0.0;10.0;2.0
362;Orders received by contractors;Oost-Nederland (LD);2016 1st quarter;563;115;449;327.0;21.0;29.0;15.0;4.0;12.0;0.0;4.0;31.0;5.0
363;Orders received by contractors;Oost-Nederland (LD);2016 April;231;50;180;110.0;27.0;12.0;8.0;1.0;4.0;3.0;3.0;9.0;3.0
364;Orders received by contractors;Oost-Nederland (LD);2016 May;209;45;164;102.0;5.0;1.0;40.0;3.0;0.0;1.0;2.0;6.0;2.0
365;Orders received by contractors;Oost-Nederland (LD);2016 June;240;36;203;142.0;16.0;23.0;0.0;7.0;2.0;0.0;1.0;5.0;8.0
366;Orders received by contractors;Oost-Nederland (LD);2016 2nd quarter;679;132;547;354.0;48.0;36.0;48.0;11.0;6.0;5.0;6.0;21.0;13.0
367;Orders received by contractors;Oost-Nederland (LD);2016 July;230;38;193;121.0;6.0;6.0;13.0;10.0;2.0;1.0;8.0;16.0;10.0
368;Orders received by contractors;Oost-Nederland (LD);2016 August;185;47;138;86.0;11.0;8.0;2.0;8.0;6.0;0.0;3.0;0.0;15.0
369;Orders received by contractors;Oost-Nederland (LD);2016 September;192;49;143;109.0;6.0;14.0;2.0;2.0;0.0;1.0;2.0;6.0;1.0
370;Orders received by contractors;Oost-Nederland (LD);2016 3rd quarter;607;134;473;316.0;23.0;28.0;17.0;20.0;8.0;1.0;13.0;22.0;26.0
371;Orders received by contractors;Oost-Nederland (LD);2016 October;237;39;198;137.0;10.0;12.0;4.0;19.0;3.0;3.0;0.0;6.0;3.0
372;Orders received by contractors;Oost-Nederland (LD);2016 November;241;35;206;137.0;9.0;14.0;6.0;5.0;9.0;0.0;2.0;22.0;2.0
373;Orders received by contractors;Oost-Nederland (LD);2016 December;245;34;211;174.0;9.0;16.0;6.0;2.0;3.0;0.0;0.0;1.0;0.0
374;Orders received by contractors;Oost-Nederland (LD);2016 4th quarter;723;108;616;449.0;28.0;41.0;16.0;26.0;15.0;3.0;2.0;29.0;6.0
375;Orders received by contractors;Oost-Nederland (LD);2016;2573;488;2085;1445.0;120.0;134.0;96.0;61.0;41.0;9.0;25.0;103.0;50.0
376;Orders received by contractors;Oost-Nederland (LD);2017 January;230;25;205;157.0;9.0;9.0;5.0;2.0;1.0;0.0;0.0;1.0;23.0
377;Orders received by contractors;Oost-Nederland (LD);2017 February;299;54;245;157.0;9.0;23.0;12.0;9.0;7.0;0.0;2.0;6.0;20.0
378;Orders received by contractors;Oost-Nederland (LD);2017 March;286;44;242;176.0;6.0;9.0;22.0;1.0;2.0;0.0;22.0;3.0;1.0
379;Orders received by contractors;Oost-Nederland (LD);2017 1st quarter;815;123;692;491.0;24.0;40.0;39.0;12.0;9.0;0.0;24.0;10.0;45.0
380;Orders received by contractors;Oost-Nederland (LD);2017 April;230;42;188;149.0;11.0;2.0;9.0;4.0;9.0;0.0;1.0;1.0;1.0
381;Orders received by contractors;Oost-Nederland (LD);2017 May;273;47;226;172.0;7.0;25.0;3.0;6.0;1.0;0.0;3.0;9.0;0.0
382;Orders received by contractors;Oost-Nederland (LD);2017 June;281;58;223;163.0;7.0;20.0;16.0;1.0;3.0;0.0;2.0;8.0;3.0
383;Orders received by contractors;Oost-Nederland (LD);2017 2nd quarter;785;147;638;485.0;25.0;48.0;29.0;10.0;13.0;0.0;6.0;18.0;4.0
384;Orders received by contractors;Oost-Nederland (LD);2017 July;438;91;347;185.0;8.0;23.0;106.0;3.0;3.0;0.0;0.0;17.0;1.0
385;Orders received by contractors;Oost-Nederland (LD);2017 August;274;38;235;199.0;8.0;8.0;2.0;3.0;6.0;0.0;1.0;6.0;2.0
386;Orders received by contractors;Oost-Nederland (LD);2017 September;371;67;303;237.0;8.0;22.0;10.0;7.0;2.0;0.0;0.0;1.0;15.0
387;Orders received by contractors;Oost-Nederland (LD);2017 3rd quarter;1082;197;886;621.0;24.0;53.0;119.0;12.0;11.0;0.0;2.0;24.0;18.0
388;Orders received by contractors;Oost-Nederland (LD);2017 October;373;65;307;;;;;;;;;;
389;Orders received by contractors;Oost-Nederland (LD);2017 November;550;118;432;;;;;;;;;;
390;Orders received by contractors;Oost-Nederland (LD);2017 December;269;46;223;;;;;;;;;;
391;Orders received by contractors;Oost-Nederland (LD);2017 4th quarter;1192;230;962;;;;;;;;;;
392;Orders received by contractors;Oost-Nederland (LD);2017;3873;696;3178;;;;;;;;;;
393;Orders received by contractors;Oost-Nederland (LD);2018 January;249;42;207;;;;;;;;;;
394;Orders received by contractors;Oost-Nederland (LD);2018 February;330;72;257;;;;;;;;;;
395;Orders received by contractors;Oost-Nederland (LD);2018 March;399;69;330;;;;;;;;;;
396;Orders received by contractors;Oost-Nederland (LD);2018 1st quarter;977;183;794;;;;;;;;;;
397;Orders received by contractors;Oost-Nederland (LD);2018 April;316;57;259;;;;;;;;;;
398;Orders received by contractors;Oost-Nederland (LD);2018 May;262;41;221;;;;;;;;;;
399;Orders received by contractors;Oost-Nederland (LD);2018 June;297;62;235;;;;;;;;;;
400;Orders received by contractors;Oost-Nederland (LD);2018 2nd quarter;875;159;716;;;;;;;;;;
401;Orders received by contractors;Oost-Nederland (LD);2018 July;420;70;350;;;;;;;;;;
402;Orders received by contractors;Oost-Nederland (LD);2018 August;312;48;264;;;;;;;;;;
403;Orders received by contractors;Oost-Nederland (LD);2018 September;315;52;263;;;;;;;;;;
404;Orders received by contractors;Oost-Nederland (LD);2018 3rd quarter;1047;170;878;;;;;;;;;;
405;Orders received by contractors;Oost-Nederland (LD);2018 October;391;58;333;;;;;;;;;;
406;Orders received by contractors;Oost-Nederland (LD);2018 November;314;46;268;;;;;;;;;;
407;Orders received by contractors;Oost-Nederland (LD);2018 December;252;55;197;;;;;;;;;;
408;Orders received by contractors;Oost-Nederland (LD);2018 4th quarter;956;159;797;;;;;;;;;;
409;Orders received by contractors;Oost-Nederland (LD);2018;3855;671;3184;;;;;;;;;;
410;Orders received by contractors;Oost-Nederland (LD);2019 January;252;57;195;;;;;;;;;;
411;Orders received by contractors;Oost-Nederland (LD);2019 February;269;48;221;;;;;;;;;;
412;Orders received by contractors;Oost-Nederland (LD);2019 March;304;59;246;;;;;;;;;;
413;Orders received by contractors;Oost-Nederland (LD);2019 1st quarter;825;164;661;;;;;;;;;;
414;Orders received by contractors;Oost-Nederland (LD);2019 April;324;47;277;;;;;;;;;;
415;Orders received by contractors;Oost-Nederland (LD);2019 May;239;53;185;;;;;;;;;;
416;Orders received by contractors;Oost-Nederland (LD);2019 June;292;61;231;;;;;;;;;;
417;Orders received by contractors;Oost-Nederland (LD);2019 2nd quarter;855;161;694;;;;;;;;;;
418;Orders received by contractors;Oost-Nederland (LD);2019 July;310;83;227;;;;;;;;;;
419;Orders received by contractors;Oost-Nederland (LD);2019 August;208;38;171;;;;;;;;;;
420;Orders received by contractors;Oost-Nederland (LD);2019 September;234;47;188;;;;;;;;;;
421;Orders received by contractors;Oost-Nederland (LD);2019 3rd quarter;753;167;586;;;;;;;;;;
422;Orders received by contractors;Oost-Nederland (LD);2019 October;462;83;379;;;;;;;;;;
423;Orders received by contractors;Oost-Nederland (LD);2019 November;325;72;253;;;;;;;;;;
424;Orders received by contractors;Oost-Nederland (LD);2019 December;350;82;268;;;;;;;;;;
425;Orders received by contractors;Oost-Nederland (LD);2019 4th quarter;1137;237;900;;;;;;;;;;
426;Orders received by contractors;Oost-Nederland (LD);2019;3571;730;2841;;;;;;;;;;
427;Orders received by contractors;Oost-Nederland (LD);2020 January;250;52;199;;;;;;;;;;
428;Orders received by contractors;Oost-Nederland (LD);2020 February;346;56;290;;;;;;;;;;
429;Orders received by contractors;Oost-Nederland (LD);2020 March;358;76;281;;;;;;;;;;
430;Orders received by contractors;Oost-Nederland (LD);2020 1st quarter;954;184;770;;;;;;;;;;
431;Orders received by contractors;Oost-Nederland (LD);2020 April;406;116;290;;;;;;;;;;
432;Orders received by contractors;Oost-Nederland (LD);2020 May;237;55;182;;;;;;;;;;
433;Orders received by contractors;Oost-Nederland (LD);2020 June;299;48;251;;;;;;;;;;
434;Orders received by contractors;Oost-Nederland (LD);2020 2nd quarter;941;219;723;;;;;;;;;;
435;Orders received by contractors;Oost-Nederland (LD);2020 July;398;76;321;;;;;;;;;;
436;Orders received by contractors;Oost-Nederland (LD);2020 August;349;45;305;;;;;;;;;;
437;Orders received by contractors;Oost-Nederland (LD);2020 September;376;66;311;;;;;;;;;;
438;Orders received by contractors;Oost-Nederland (LD);2020 3rd quarter;1123;187;937;;;;;;;;;;
439;Orders received by contractors;Oost-Nederland (LD);2020 October;367;54;313;;;;;;;;;;
440;Orders received by contractors;Oost-Nederland (LD);2020 November;312;42;271;;;;;;;;;;
441;Orders received by contractors;Oost-Nederland (LD);2020 December;351;59;292;;;;;;;;;;
442;Orders received by contractors;Oost-Nederland (LD);2020 4th quarter;1030;154;876;;;;;;;;;;
443;Orders received by contractors;Oost-Nederland (LD);2020;4049;744;3305;;;;;;;;;;
444;Orders received by contractors;Oost-Nederland (LD);2021 January;258;51;207;;;;;;;;;;
445;Orders received by contractors;Oost-Nederland (LD);2021 February;383;68;315;;;;;;;;;;
446;Orders received by contractors;Oost-Nederland (LD);2021 March;524;77;447;;;;;;;;;;
447;Orders received by contractors;Oost-Nederland (LD);2021 1st quarter;1165;196;969;;;;;;;;;;
448;Orders received by contractors;Oost-Nederland (LD);2021 April;427;75;353;;;;;;;;;;
449;Orders received by contractors;Oost-Nederland (LD);2021 May;360;63;297;;;;;;;;;;
450;Orders received by contractors;Oost-Nederland (LD);2021 June;318;78;240;;;;;;;;;;
