ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
2640;Companies building for the market;Building projects started;2019 2nd quarter;1831;192;1639;1437.0;;;;;;;;;
2641;Companies building for the market;Building projects started;2019 July;395;55;340;314.0;;;;;;;;;
2642;Companies building for the market;Building projects started;2019 August;866;173;693;604.0;;;;;;;;;
2643;Companies building for the market;Building projects started;2019 September;629;68;560;467.0;;;;;;;;;
2644;Companies building for the market;Building projects started;2019 3rd quarter;1890;296;1594;1385.0;;;;;;;;;
2645;Companies building for the market;Building projects started;2019 October;437;60;377;365.0;;;;;;;;;
2646;Companies building for the market;Building projects started;2019 November;728;63;665;641.0;;;;;;;;;
2647;Companies building for the market;Building projects started;2019 December;798;76;723;673.0;;;;;;;;;
2648;Companies building for the market;Building projects started;2019 4th quarter;1963;199;1764;1679.0;;;;;;;;;
2649;Companies building for the market;Building projects started;2019;7427;861;6565;5889.0;0.0;14.0;226.0;234.0;158.0;0.0;0.0;18.0;26.0
2650;Companies building for the market;Building projects started;2020 January;778;63;715;676.0;;;;;;;;;
2651;Companies building for the market;Building projects started;2020 February;622;85;537;475.0;;;;;;;;;
2652;Companies building for the market;Building projects started;2020 March;575;74;501;453.0;;;;;;;;;
2653;Companies building for the market;Building projects started;2020 1st quarter;1974;221;1753;1605.0;;;;;;;;;
2654;Companies building for the market;Building projects started;2020 April;763;207;556;500.0;;;;;;;;;
2655;Companies building for the market;Building projects started;2020 May;734;82;651;627.0;;;;;;;;;
2656;Companies building for the market;Building projects started;2020 June;728;90;638;487.0;;;;;;;;;
2657;Companies building for the market;Building projects started;2020 2nd quarter;2225;380;1845;1614.0;;;;;;;;;
2658;Companies building for the market;Building projects started;2020 July;664;44;620;591.0;;;;;;;;;
2659;Companies building for the market;Building projects started;2020 August;803;60;743;688.0;;;;;;;;;
2660;Companies building for the market;Building projects started;2020 September;849;81;769;520.0;;;;;;;;;
2661;Companies building for the market;Building projects started;2020 3rd quarter;2316;184;2132;1799.0;;;;;;;;;
2662;Companies building for the market;Building projects started;2020 October;751;41;710;626.0;;;;;;;;;
2663;Companies building for the market;Building projects started;2020 November;1039;69;970;908.0;;;;;;;;;
2664;Companies building for the market;Building projects started;2020 December;759;37;722;672.0;;;;;;;;;
2665;Companies building for the market;Building projects started;2020 4th quarter;2549;147;2402;2206.0;;;;;;;;;
2666;Companies building for the market;Building projects started;2020;9064;932;8132;7224.0;0.0;36.0;245.0;360.0;196.0;1.0;12.0;39.0;19.0
2667;Companies building for the market;Building projects started;2021 January;1027;72;955;908.0;;;;;;;;;
2668;Companies building for the market;Building projects started;2021 February;664;51;613;579.0;;;;;;;;;
2669;Companies building for the market;Building projects started;2021 March;694;48;645;534.0;;;;;;;;;
2670;Companies building for the market;Building projects started;2021 1st quarter;2385;172;2213;2020.0;;;;;;;;;
2671;Companies building for the market;Building projects started;2021 April;1076;47;1029;982.0;;;;;;;;;
2672;Companies building for the market;Building projects started;2021 May;1137;47;1090;1005.0;;;;;;;;;
2673;Companies building for the market;Building projects started;2021 June;1066;91;975;913.0;;;;;;;;;
2674;Companies building for the market;Building projects started;2021 2nd quarter;3279;184;3095;2901.0;;;;;;;;;
2675;Companies building for the market;Building projects started;2021 July;958;44;914;877.0;;;;;;;;;
2676;Companies building for the market;Building projects started;2021 August;1000;39;961;937.0;;;;;;;;;
2677;Companies building for the market;Building projects started;2021 September;727;98;629;540.0;;;;;;;;;
2678;Companies building for the market;Building projects started;2021 3rd quarter;2684;180;2504;2354.0;;;;;;;;;
2679;Companies building for the market;Building projects started;2021 October;835;271;564;518.0;;;;;;;;;
2680;Companies building for the market;Building projects started;2021 November;988;103;885;797.0;;;;;;;;;
2681;Companies building for the market;Building projects started;2021 December;940;44;896;836.0;;;;;;;;;
2682;Companies building for the market;Building projects started;2021 4th quarter;2763;418;2345;2152.0;;;;;;;;;
2683;Companies building for the market;Building projects started;2021;11111;954;10157;9427.0;1.0;32.0;299.0;186.0;177.0;0.0;9.0;9.0;17.0
2684;Companies building for the market;Building projects started;2022 January;869;40;830;803.0;;;;;;;;;
2685;Companies building for the market;Building projects started;2022 February;808;51;757;709.0;;;;;;;;;
2686;Companies building for the market;Building projects started;2022 March;575;77;498;481.0;;;;;;;;;
2687;Companies building for the market;Building projects started;2022 1st quarter;2252;167;2085;1993.0;;;;;;;;;
2688;Companies building for the market;Building projects started;2022 April;1062;118;945;846.0;;;;;;;;;
2689;Companies building for the market;Building projects started;2022 May;783;42;741;669.0;;;;;;;;;
2690;Companies building for the market;Building projects started;2022 June;755;53;703;630.0;;;;;;;;;
2691;Companies building for the market;Building projects started;2022 2nd quarter;2600;213;2388;2144.0;;;;;;;;;
2692;Companies building for the market;Building projects started;2022 July;849;62;786;710.0;;;;;;;;;
2693;Companies building for the market;Building projects started;2022 August;1021;72;948;880.0;;;;;;;;;
2694;Companies building for the market;Building projects started;2022 September;678;94;584;483.0;;;;;;;;;
2695;Companies building for the market;Building projects started;2022 3rd quarter;2547;228;2319;2073.0;;;;;;;;;
2696;Companies building for the market;Building projects started;2022 October;1021;138;882;685.0;;;;;;;;;
2697;Companies building for the market;Building projects started;2022 November;917;70;847;766.0;;;;;;;;;
2698;Companies building for the market;Building projects started;2022 December;884;39;845;646.0;;;;;;;;;
2699;Companies building for the market;Building projects started;2022 4th quarter;2821;247;2574;2097.0;;;;;;;;;
2700;Companies building for the market;Building projects started;2022;10220;855;9365;8308.0;0.0;44.0;271.0;439.0;216.0;0.0;0.0;26.0;59.0
2701;Companies building for the market;Building projects started;2023 January;635;40;595;532.0;;;;;;;;;
2702;Companies building for the market;Building projects started;2023 February;517;41;476;445.0;;;;;;;;;
2703;Companies building for the market;Building projects started;2023 March;693;127;566;506.0;;;;;;;;;
2704;Companies building for the market;Building projects started;2023 1st quarter;1846;208;1637;1483.0;;;;;;;;;
2705;Companies building for the market;Building projects started;2023 April;497;24;473;452.0;;;;;;;;;
2706;Companies building for the market;Building projects started;2023 May;841;28;813;782.0;;;;;;;;;
2707;Companies building for the market;Building projects started;2023 June;665;50;615;446.0;;;;;;;;;
2708;Companies building for the market;Building projects started;2023 2nd quarter;2004;103;1901;1681.0;;;;;;;;;
2709;Companies building for the market;Building projects started;2023 July;820;90;730;679.0;;;;;;;;;
2710;Companies building for the market;Building projects started;2023 August;697;56;641;532.0;;;;;;;;;
2711;Companies building for the market;Building projects started;2023 September;475;63;412;356.0;;;;;;;;;
2712;Companies building for the market;Building projects started;2023 3rd quarter;1992;209;1783;1567.0;;;;;;;;;
2713;Companies building for the market;Building projects started;2023 October;699;77;622;551.0;;;;;;;;;
2714;Companies building for the market;Building projects started;2023 November;938;109;830;734.0;;;;;;;;;
2715;Companies building for the market;Building projects started;2023 December;982;56;926;653.0;;;;;;;;;
2716;Companies building for the market;Building projects started;2023 4th quarter;2620;241;2378;1938.0;;;;;;;;;
2717;Companies building for the market;Building projects started;2023;8461;762;7699;6669.0;2.0;54.0;206.0;268.0;431.0;0.0;15.0;31.0;25.0
2718;Companies building for the market;Building projects started;2024 January;550;81;469;399.0;;;;;;;;;
2719;Companies building for the market;Building projects started;2024 February;531;41;490;318.0;;;;;;;;;
2720;Companies building for the market;Building projects started;2024 March;964;92;872;751.0;;;;;;;;;
2721;Companies building for the market;Building projects started;2024 1st quarter;2046;215;1831;1468.0;;;;;;;;;
2722;Companies building for the market;Building projects started;2024 April;1052;70;983;886.0;;;;;;;;;
2723;Companies building for the market;Building projects started;2024 May;813;84;728;653.0;;;;;;;;;
2724;Companies building for the market;Building projects started;2024 June;1303;98;1205;1052.0;;;;;;;;;
2725;Companies building for the market;Building projects started;2024 2nd quarter;3168;252;2916;2592.0;;;;;;;;;
2726;Companies building for the market;Building projects started;2024 July;1228;54;1174;818.0;;;;;;;;;
2727;Companies building for the market;Building projects started;2024 August;1117;122;995;873.0;;;;;;;;;
2728;Companies building for the market;Building projects started;2024 September;611;41;570;446.0;;;;;;;;;
2729;Companies building for the market;Building projects started;2024 3rd quarter;2956;218;2739;2137.0;;;;;;;;;
2730;Companies building for the market;Building projects started;2024 October;525;81;444;345.0;;;;;;;;;
2731;Companies building for the market;Building projects started;2024 November;951;73;878;761.0;;;;;;;;;
2732;Companies building for the market;Building projects started;2024 December;1391;101;1290;1091.0;;;;;;;;;
2733;Companies building for the market;Building projects started;2024 4th quarter;2867;254;2612;2197.0;;;;;;;;;
2734;Companies building for the market;Building projects started;2024;11036;938;10098;8393.0;16.0;311.0;324.0;507.0;386.0;0.0;66.0;31.0;63.0
2735;Companies building for the market;Building projects started;2025 January;1112;110;1002;897.0;;;;;;;;;
2736;Companies building for the market;Building projects not yet started;2015 January;704;146;558;544.0;0.0;0.0;8.0;0.0;6.0;0.0;0.0;0.0;0.0
2737;Companies building for the market;Building projects not yet started;2015 February;882;40;841;833.0;0.0;0.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0
2738;Companies building for the market;Building projects not yet started;2015 March;1127;58;1069;1058.0;0.0;0.0;1.0;0.0;10.0;0.0;0.0;0.0;0.0
2739;Companies building for the market;Building projects not yet started;2015 1st quarter;1127;58;1069;1058.0;0.0;0.0;1.0;0.0;10.0;0.0;0.0;0.0;0.0
2740;Companies building for the market;Building projects not yet started;2015 April;1163;53;1110;1081.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0
2741;Companies building for the market;Building projects not yet started;2015 May;866;72;794;761.0;0.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0;0.0
2742;Companies building for the market;Building projects not yet started;2015 June;644;50;594;567.0;0.0;0.0;11.0;0.0;16.0;0.0;0.0;0.0;0.0
2743;Companies building for the market;Building projects not yet started;2015 2nd quarter;644;50;594;567.0;0.0;0.0;11.0;0.0;16.0;0.0;0.0;0.0;0.0
2744;Companies building for the market;Building projects not yet started;2015 July;759;120;639;611.0;0.0;0.0;13.0;0.0;14.0;0.0;0.0;0.0;0.0
2745;Companies building for the market;Building projects not yet started;2015 August;520;59;461;443.0;0.0;0.0;7.0;0.0;10.0;0.0;0.0;1.0;0.0
2746;Companies building for the market;Building projects not yet started;2015 September;559;61;498;476.0;0.0;0.0;5.0;7.0;8.0;0.0;0.0;2.0;0.0
2747;Companies building for the market;Building projects not yet started;2015 3rd quarter;559;61;498;476.0;0.0;0.0;5.0;7.0;8.0;0.0;0.0;2.0;0.0
2748;Companies building for the market;Building projects not yet started;2015 October;532;50;482;461.0;0.0;5.0;1.0;7.0;6.0;0.0;0.0;2.0;0.0
2749;Companies building for the market;Building projects not yet started;2015 November;462;45;417;374.0;0.0;5.0;24.0;3.0;3.0;0.0;0.0;1.0;6.0
2750;Companies building for the market;Building projects not yet started;2015 December;550;41;510;446.0;0.0;2.0;24.0;6.0;15.0;0.0;2.0;9.0;6.0
2751;Companies building for the market;Building projects not yet started;2015 4th quarter;550;41;510;446.0;0.0;2.0;24.0;6.0;15.0;0.0;2.0;9.0;6.0
2752;Companies building for the market;Building projects not yet started;2015;550;41;510;446.0;0.0;2.0;24.0;6.0;15.0;0.0;2.0;9.0;6.0
2753;Companies building for the market;Building projects not yet started;2016 January;475;34;442;402.0;0.0;2.0;2.0;4.0;15.0;0.0;2.0;9.0;8.0
2754;Companies building for the market;Building projects not yet started;2016 February;468;50;418;394.0;0.0;5.0;2.0;0.0;2.0;0.0;2.0;11.0;2.0
2755;Companies building for the market;Building projects not yet started;2016 March;589;73;516;489.0;0.0;5.0;14.0;0.0;2.0;0.0;0.0;3.0;4.0
2756;Companies building for the market;Building projects not yet started;2016 1st quarter;589;73;516;489.0;0.0;5.0;14.0;0.0;2.0;0.0;0.0;3.0;4.0
2757;Companies building for the market;Building projects not yet started;2016 April;632;105;527;502.0;0.0;0.0;18.0;1.0;1.0;0.0;0.0;3.0;2.0
2758;Companies building for the market;Building projects not yet started;2016 May;697;107;590;555.0;0.0;1.0;22.0;3.0;1.0;1.0;0.0;3.0;2.0
2759;Companies building for the market;Building projects not yet started;2016 June;782;114;668;618.0;0.0;1.0;33.0;7.0;1.0;1.0;0.0;6.0;0.0
2760;Companies building for the market;Building projects not yet started;2016 2nd quarter;782;114;668;618.0;0.0;1.0;33.0;7.0;1.0;1.0;0.0;6.0;0.0
2761;Companies building for the market;Building projects not yet started;2016 July;766;119;647;575.0;0.0;1.0;18.0;30.0;6.0;1.0;0.0;8.0;8.0
2762;Companies building for the market;Building projects not yet started;2016 August;794;144;651;595.0;0.0;6.0;3.0;27.0;7.0;0.0;0.0;5.0;8.0
2763;Companies building for the market;Building projects not yet started;2016 September;845;104;741;712.0;0.0;9.0;2.0;2.0;5.0;1.0;0.0;2.0;8.0
2764;Companies building for the market;Building projects not yet started;2016 3rd quarter;845;104;741;712.0;0.0;9.0;2.0;2.0;5.0;1.0;0.0;2.0;8.0
2765;Companies building for the market;Building projects not yet started;2016 October;990;78;912;834.0;0.0;5.0;9.0;1.0;45.0;1.0;0.0;9.0;9.0
2766;Companies building for the market;Building projects not yet started;2016 November;1026;92;934;816.0;0.0;2.0;43.0;2.0;53.0;1.0;0.0;9.0;9.0
2767;Companies building for the market;Building projects not yet started;2016 December;1144;161;983;802.0;0.0;12.0;53.0;2.0;15.0;0.0;0.0;15.0;84.0
2768;Companies building for the market;Building projects not yet started;2016 4th quarter;1144;161;983;802.0;0.0;12.0;53.0;2.0;15.0;0.0;0.0;15.0;84.0
