ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
483;Total output prices;051 Hard coal;2016 March;;;
484;Total output prices;051 Hard coal;2016 April;;;
485;Total output prices;051 Hard coal;2016 May;;;
486;Total output prices;051 Hard coal;2016 June;;;
487;Total output prices;051 Hard coal;2016 July;;;
488;Total output prices;051 Hard coal;2016 August;;;
489;Total output prices;051 Hard coal;2016 September;;;
490;Total output prices;051 Hard coal;2016 October;;;
491;Total output prices;051 Hard coal;2016 November;;;
492;Total output prices;051 Hard coal;2016 December;;;
493;Total output prices;051 Hard coal;2016;;;
494;Total output prices;051 Hard coal;2017 January;;;
495;Total output prices;051 Hard coal;2017 February;;;
496;Total output prices;051 Hard coal;2017 March;;;
497;Total output prices;051 Hard coal;2017 April;;;
498;Total output prices;051 Hard coal;2017 May;;;
499;Total output prices;051 Hard coal;2017 June;;;
500;Total output prices;051 Hard coal;2017 July;;;
501;Total output prices;051 Hard coal;2017 August;;;
502;Total output prices;051 Hard coal;2017 September;;;
503;Total output prices;051 Hard coal;2017 October;;;
504;Total output prices;051 Hard coal;2017 November;;;
505;Total output prices;051 Hard coal;2017 December;;;
506;Total output prices;051 Hard coal;2017;;;
507;Total output prices;06 Crude petroleum, natural gas...;2005 January;67.5;21.9;8.8
508;Total output prices;06 Crude petroleum, natural gas...;2005 February;67.7;21.6;0.4
509;Total output prices;06 Crude petroleum, natural gas...;2005 March;68.2;23.2;0.7
510;Total output prices;06 Crude petroleum, natural gas...;2005 April;71.5;31.4;4.9
511;Total output prices;06 Crude petroleum, natural gas...;2005 May;71.3;32.2;-0.4
512;Total output prices;06 Crude petroleum, natural gas...;2005 June;73.1;34.3;2.5
513;Total output prices;06 Crude petroleum, natural gas...;2005 July;76.4;37.9;4.6
514;Total output prices;06 Crude petroleum, natural gas...;2005 August;78.8;43.1;3.1
515;Total output prices;06 Crude petroleum, natural gas...;2005 September;80.5;43.7;2.1
516;Total output prices;06 Crude petroleum, natural gas...;2005 October;86.9;43.4;7.9
517;Total output prices;06 Crude petroleum, natural gas...;2005 November;87.2;41.3;0.4
518;Total output prices;06 Crude petroleum, natural gas...;2005 December;92.6;49.3;6.1
519;Total output prices;06 Crude petroleum, natural gas...;2005;76.8;35.6;
520;Total output prices;06 Crude petroleum, natural gas...;2006 January;96.5;43.1;4.3
521;Total output prices;06 Crude petroleum, natural gas...;2006 February;96.7;42.7;0.1
522;Total output prices;06 Crude petroleum, natural gas...;2006 March;97.8;43.3;1.1
523;Total output prices;06 Crude petroleum, natural gas...;2006 April;100.9;41.1;3.2
524;Total output prices;06 Crude petroleum, natural gas...;2006 May;105.3;47.7;4.3
525;Total output prices;06 Crude petroleum, natural gas...;2006 June;105.0;43.7;-0.3
526;Total output prices;06 Crude petroleum, natural gas...;2006 July;104.3;36.5;-0.7
527;Total output prices;06 Crude petroleum, natural gas...;2006 August;104.3;32.3;0.0
528;Total output prices;06 Crude petroleum, natural gas...;2006 September;105.3;30.8;0.9
529;Total output prices;06 Crude petroleum, natural gas...;2006 October;104.6;20.4;-0.6
530;Total output prices;06 Crude petroleum, natural gas...;2006 November;103.6;18.8;-1.0
531;Total output prices;06 Crude petroleum, natural gas...;2006 December;103.9;12.2;0.2
532;Total output prices;06 Crude petroleum, natural gas...;2006;102.3;33.2;
533;Total output prices;06 Crude petroleum, natural gas...;2007 January;105.0;8.8;1.1
534;Total output prices;06 Crude petroleum, natural gas...;2007 February;103.1;6.7;-1.8
535;Total output prices;06 Crude petroleum, natural gas...;2007 March;103.6;6.0;0.5
536;Total output prices;06 Crude petroleum, natural gas...;2007 April;102.9;2.0;-0.7
537;Total output prices;06 Crude petroleum, natural gas...;2007 May;101.4;-3.7;-1.5
538;Total output prices;06 Crude petroleum, natural gas...;2007 June;99.5;-5.2;-1.9
539;Total output prices;06 Crude petroleum, natural gas...;2007 July;104.5;0.2;5.0
540;Total output prices;06 Crude petroleum, natural gas...;2007 August;103.5;-0.7;-0.9
541;Total output prices;06 Crude petroleum, natural gas...;2007 September;101.6;-3.5;-1.9
542;Total output prices;06 Crude petroleum, natural gas...;2007 October;103.5;-1.1;1.8
543;Total output prices;06 Crude petroleum, natural gas...;2007 November;103.6;0.0;0.1
544;Total output prices;06 Crude petroleum, natural gas...;2007 December;104.6;0.7;1.0
545;Total output prices;06 Crude petroleum, natural gas...;2007;103.1;0.7;
546;Total output prices;06 Crude petroleum, natural gas...;2008 January;109.3;4.2;4.5
547;Total output prices;06 Crude petroleum, natural gas...;2008 February;112.4;9.0;2.8
548;Total output prices;06 Crude petroleum, natural gas...;2008 March;115.1;11.1;2.4
549;Total output prices;06 Crude petroleum, natural gas...;2008 April;120.5;17.1;4.7
550;Total output prices;06 Crude petroleum, natural gas...;2008 May;128.7;26.9;6.8
551;Total output prices;06 Crude petroleum, natural gas...;2008 June;135.6;36.3;5.4
552;Total output prices;06 Crude petroleum, natural gas...;2008 July;148.2;41.8;9.2
553;Total output prices;06 Crude petroleum, natural gas...;2008 August;150.9;45.7;1.8
554;Total output prices;06 Crude petroleum, natural gas...;2008 September;146.3;44.0;-3.0
555;Total output prices;06 Crude petroleum, natural gas...;2008 October;149.7;44.7;2.3
556;Total output prices;06 Crude petroleum, natural gas...;2008 November;143.9;39.0;-3.8
557;Total output prices;06 Crude petroleum, natural gas...;2008 December;143.8;37.4;-0.1
558;Total output prices;06 Crude petroleum, natural gas...;2008;133.7;29.7;
559;Total output prices;06 Crude petroleum, natural gas...;2009 January;129.2;18.1;-10.2
560;Total output prices;06 Crude petroleum, natural gas...;2009 February;125.3;11.5;-3.0
561;Total output prices;06 Crude petroleum, natural gas...;2009 March;119.9;4.1;-4.4
562;Total output prices;06 Crude petroleum, natural gas...;2009 April;101.1;-16.1;-15.7
563;Total output prices;06 Crude petroleum, natural gas...;2009 May;95.6;-25.7;-5.5
564;Total output prices;06 Crude petroleum, natural gas...;2009 June;92.7;-31.7;-3.0
565;Total output prices;06 Crude petroleum, natural gas...;2009 July;85.6;-42.2;-7.7
566;Total output prices;06 Crude petroleum, natural gas...;2009 August;83.0;-45.0;-2.9
567;Total output prices;06 Crude petroleum, natural gas...;2009 September;83.2;-43.1;0.2
568;Total output prices;06 Crude petroleum, natural gas...;2009 October;87.6;-41.5;5.3
569;Total output prices;06 Crude petroleum, natural gas...;2009 November;90.6;-37.0;3.5
570;Total output prices;06 Crude petroleum, natural gas...;2009 December;90.2;-37.3;-0.5
571;Total output prices;06 Crude petroleum, natural gas...;2009;98.7;-26.2;
572;Total output prices;06 Crude petroleum, natural gas...;2010 January;88.1;-31.8;-2.4
573;Total output prices;06 Crude petroleum, natural gas...;2010 February;90.3;-28.0;2.5
574;Total output prices;06 Crude petroleum, natural gas...;2010 March;91.7;-23.5;1.7
575;Total output prices;06 Crude petroleum, natural gas...;2010 April;93.8;-7.2;2.3
576;Total output prices;06 Crude petroleum, natural gas...;2010 May;94.5;-1.2;0.7
577;Total output prices;06 Crude petroleum, natural gas...;2010 June;100.0;7.9;5.9
578;Total output prices;06 Crude petroleum, natural gas...;2010 July;108.5;26.8;8.5
579;Total output prices;06 Crude petroleum, natural gas...;2010 August;108.9;31.1;0.3
580;Total output prices;06 Crude petroleum, natural gas...;2010 September;106.2;27.6;-2.4
581;Total output prices;06 Crude petroleum, natural gas...;2010 October;105.4;20.3;-0.7
582;Total output prices;06 Crude petroleum, natural gas...;2010 November;107.9;19.0;2.3
583;Total output prices;06 Crude petroleum, natural gas...;2010 December;104.7;16.1;-2.9
584;Total output prices;06 Crude petroleum, natural gas...;2010;100.0;1.3;
585;Total output prices;06 Crude petroleum, natural gas...;2011 January;111.1;26.1;6.1
586;Total output prices;06 Crude petroleum, natural gas...;2011 February;111.4;23.4;0.3
587;Total output prices;06 Crude petroleum, natural gas...;2011 March;112.1;22.2;0.6
588;Total output prices;06 Crude petroleum, natural gas...;2011 April;119.5;27.4;6.6
589;Total output prices;06 Crude petroleum, natural gas...;2011 May;118.6;25.6;-0.7
590;Total output prices;06 Crude petroleum, natural gas...;2011 June;120.2;20.2;1.3
591;Total output prices;06 Crude petroleum, natural gas...;2011 July;121.3;11.8;0.9
592;Total output prices;06 Crude petroleum, natural gas...;2011 August;119.8;10.1;-1.2
593;Total output prices;06 Crude petroleum, natural gas...;2011 September;124.6;17.3;4.0
594;Total output prices;06 Crude petroleum, natural gas...;2011 October;133.1;26.2;6.8
595;Total output prices;06 Crude petroleum, natural gas...;2011 November;134.0;24.2;0.7
596;Total output prices;06 Crude petroleum, natural gas...;2011 December;133.6;27.5;-0.3
597;Total output prices;06 Crude petroleum, natural gas...;2011;121.6;21.6;
598;Total output prices;06 Crude petroleum, natural gas...;2012 January;128.6;15.8;-3.7
599;Total output prices;06 Crude petroleum, natural gas...;2012 February;129.0;15.8;0.3
600;Total output prices;06 Crude petroleum, natural gas...;2012 March;129.9;15.9;0.7
601;Total output prices;06 Crude petroleum, natural gas...;2012 April;134.2;12.3;3.3
602;Total output prices;06 Crude petroleum, natural gas...;2012 May;136.3;14.9;1.6
603;Total output prices;06 Crude petroleum, natural gas...;2012 June;132.5;10.2;-2.8
604;Total output prices;06 Crude petroleum, natural gas...;2012 July;131.6;8.4;-0.7
605;Total output prices;06 Crude petroleum, natural gas...;2012 August;133.9;11.7;1.8
606;Total output prices;06 Crude petroleum, natural gas...;2012 September;133.7;7.3;-0.2
607;Total output prices;06 Crude petroleum, natural gas...;2012 October;137.1;3.0;2.5
608;Total output prices;06 Crude petroleum, natural gas...;2012 November;142.6;6.4;4.0
609;Total output prices;06 Crude petroleum, natural gas...;2012 December;137.0;2.6;-3.9
610;Total output prices;06 Crude petroleum, natural gas...;2012;133.9;10.1;
611;Total output prices;06 Crude petroleum, natural gas...;2013 January;134.1;4.2;-2.2
612;Total output prices;06 Crude petroleum, natural gas...;2013 February;131.4;1.9;-2.0
613;Total output prices;06 Crude petroleum, natural gas...;2013 March;131.7;1.4;0.2
614;Total output prices;06 Crude petroleum, natural gas...;2013 April;130.8;-2.5;-0.6
615;Total output prices;06 Crude petroleum, natural gas...;2013 May;129.4;-5.0;-1.1
616;Total output prices;06 Crude petroleum, natural gas...;2013 June;128.9;-2.7;-0.4
617;Total output prices;06 Crude petroleum, natural gas...;2013 July;128.9;-2.0;0.0
618;Total output prices;06 Crude petroleum, natural gas...;2013 August;128.3;-4.2;-0.5
619;Total output prices;06 Crude petroleum, natural gas...;2013 September;127.0;-5.0;-1.0
620;Total output prices;06 Crude petroleum, natural gas...;2013 October;128.7;-6.1;1.3
621;Total output prices;06 Crude petroleum, natural gas...;2013 November;130.5;-8.5;1.4
622;Total output prices;06 Crude petroleum, natural gas...;2013 December;131.3;-4.2;0.6
623;Total output prices;06 Crude petroleum, natural gas...;2013;130.1;-2.8;
624;Total output prices;06 Crude petroleum, natural gas...;2014 January;131.1;-2.2;-0.1
625;Total output prices;06 Crude petroleum, natural gas...;2014 February;126.6;-3.7;-3.5
626;Total output prices;06 Crude petroleum, natural gas...;2014 March;121.1;-8.0;-4.3
627;Total output prices;06 Crude petroleum, natural gas...;2014 April;113.5;-13.2;-6.3
628;Total output prices;06 Crude petroleum, natural gas...;2014 May;107.8;-16.7;-5.1
629;Total output prices;06 Crude petroleum, natural gas...;2014 June;105.8;-18.0;-1.8
630;Total output prices;06 Crude petroleum, natural gas...;2014 July;100.9;-21.7;-4.6
631;Total output prices;06 Crude petroleum, natural gas...;2014 August;101.1;-21.2;0.2
632;Total output prices;06 Crude petroleum, natural gas...;2014 September;105.6;-16.8;4.5
633;Total output prices;06 Crude petroleum, natural gas...;2014 October;113.1;-12.2;7.0
634;Total output prices;06 Crude petroleum, natural gas...;2014 November;114.9;-11.9;1.6
635;Total output prices;06 Crude petroleum, natural gas...;2014 December;115.5;-12.1;0.5
636;Total output prices;06 Crude petroleum, natural gas...;2014;113.1;-13.1;
637;Total output prices;06 Crude petroleum, natural gas...;2015 January;107.6;-17.9;-6.8
638;Total output prices;06 Crude petroleum, natural gas...;2015 February;104.0;-17.8;-3.4
639;Total output prices;06 Crude petroleum, natural gas...;2015 March;109.1;-9.9;4.9
640;Total output prices;06 Crude petroleum, natural gas...;2015 April;106.2;-6.5;-2.7
641;Total output prices;06 Crude petroleum, natural gas...;2015 May;102.8;-4.6;-3.2
642;Total output prices;06 Crude petroleum, natural gas...;2015 June;101.0;-4.5;-1.8
643;Total output prices;06 Crude petroleum, natural gas...;2015 July;100.8;-0.1;-0.2
644;Total output prices;06 Crude petroleum, natural gas...;2015 August;100.1;-1.0;-0.7
645;Total output prices;06 Crude petroleum, natural gas...;2015 September;101.1;-4.3;1.0
646;Total output prices;06 Crude petroleum, natural gas...;2015 October;93.8;-17.1;-7.2
647;Total output prices;06 Crude petroleum, natural gas...;2015 November;89.8;-21.8;-4.2
648;Total output prices;06 Crude petroleum, natural gas...;2015 December;87.2;-24.5;-3.0
649;Total output prices;06 Crude petroleum, natural gas...;2015;100.3;-11.3;
650;Total output prices;06 Crude petroleum, natural gas...;2016 January;;;
651;Total output prices;06 Crude petroleum, natural gas...;2016 February;;;
652;Total output prices;06 Crude petroleum, natural gas...;2016 March;;;
653;Total output prices;06 Crude petroleum, natural gas...;2016 April;;;
654;Total output prices;06 Crude petroleum, natural gas...;2016 May;67.6;-34.3;
655;Total output prices;06 Crude petroleum, natural gas...;2016 June;;;
656;Total output prices;06 Crude petroleum, natural gas...;2016 July;77.1;-23.6;
657;Total output prices;06 Crude petroleum, natural gas...;2016 August;;;
658;Total output prices;06 Crude petroleum, natural gas...;2016 September;69.5;-31.2;
659;Total output prices;06 Crude petroleum, natural gas...;2016 October;;;
660;Total output prices;06 Crude petroleum, natural gas...;2016 November;;;
661;Total output prices;06 Crude petroleum, natural gas...;2016 December;83.7;-4.0;
662;Total output prices;06 Crude petroleum, natural gas...;2016;74.0;-26.2;
663;Total output prices;06 Crude petroleum, natural gas...;2017 January;;;
664;Total output prices;06 Crude petroleum, natural gas...;2017 February;;;
665;Total output prices;06 Crude petroleum, natural gas...;2017 March;93.3;;
666;Total output prices;06 Crude petroleum, natural gas...;2017 April;;;
667;Total output prices;06 Crude petroleum, natural gas...;2017 May;78.2;15.7;
668;Total output prices;06 Crude petroleum, natural gas...;2017 June;80.3;;2.6
669;Total output prices;06 Crude petroleum, natural gas...;2017 July;;;
