ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
2636;250 and more employed persons;12 Manufacture of tobacco products;2019;;;;
2637;250 and more employed persons;12 Manufacture of tobacco products;2020;0.0;0.0;0.0;0.0
2638;250 and more employed persons;12 Manufacture of tobacco products;2021;0.0;0.0;0.0;0.0
2639;250 and more employed persons;12 Manufacture of tobacco products;2022;0.0;0.0;0.0;
2640;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2013;74.0;64.0;6.0;5.0
2641;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2014;61.0;46.0;5.0;5.0
2642;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2015;58.0;41.0;4.0;5.0
2643;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2016;58.0;57.0;6.0;5.0
2644;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2017;61.0;60.0;6.0;5.0
2645;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2018;83.0;81.0;7.0;5.0
2646;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2019;;;;
2647;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2020;145.0;132.0;17.0;10.0
2648;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2021;171.0;150.0;18.0;10.0
2649;250 and more employed persons;13-15 Man. of textile-, leatherproducts;2022;170.0;155.0;23.0;
2650;250 and more employed persons;13 Manufacture of textiles;2013;74.0;64.0;6.0;5.0
2651;250 and more employed persons;13 Manufacture of textiles;2014;61.0;46.0;5.0;5.0
2652;250 and more employed persons;13 Manufacture of textiles;2015;58.0;41.0;4.0;5.0
2653;250 and more employed persons;13 Manufacture of textiles;2016;58.0;57.0;6.0;5.0
2654;250 and more employed persons;13 Manufacture of textiles;2017;61.0;60.0;6.0;5.0
2655;250 and more employed persons;13 Manufacture of textiles;2018;83.0;81.0;7.0;5.0
2656;250 and more employed persons;13 Manufacture of textiles;2019;;;;
2657;250 and more employed persons;13 Manufacture of textiles;2020;;;;10.0
2658;250 and more employed persons;13 Manufacture of textiles;2021;;;;10.0
2659;250 and more employed persons;13 Manufacture of textiles;2022;;;;
2660;250 and more employed persons;14 Manufacture of wearing apparel;2013;0.0;0.0;0.0;0.0
2661;250 and more employed persons;14 Manufacture of wearing apparel;2014;0.0;0.0;0.0;0.0
2662;250 and more employed persons;14 Manufacture of wearing apparel;2015;0.0;0.0;0.0;0.0
2663;250 and more employed persons;14 Manufacture of wearing apparel;2016;0.0;0.0;0.0;0.0
2664;250 and more employed persons;14 Manufacture of wearing apparel;2017;0.0;0.0;0.0;0.0
2665;250 and more employed persons;14 Manufacture of wearing apparel;2018;0.0;0.0;0.0;0.0
2666;250 and more employed persons;14 Manufacture of wearing apparel;2019;0.0;0.0;0.0;0.0
2667;250 and more employed persons;14 Manufacture of wearing apparel;2020;0.0;0.0;0.0;0.0
2668;250 and more employed persons;14 Manufacture of wearing apparel;2021;0.0;0.0;0.0;0.0
2669;250 and more employed persons;14 Manufacture of wearing apparel;2022;0.0;0.0;0.0;
2670;250 and more employed persons;15 Manufacture of leather and footwear;2013;0.0;0.0;0.0;0.0
2671;250 and more employed persons;15 Manufacture of leather and footwear;2014;0.0;0.0;0.0;0.0
2672;250 and more employed persons;15 Manufacture of leather and footwear;2015;0.0;0.0;0.0;0.0
2673;250 and more employed persons;15 Manufacture of leather and footwear;2016;0.0;0.0;0.0;0.0
2674;250 and more employed persons;15 Manufacture of leather and footwear;2017;0.0;0.0;0.0;0.0
2675;250 and more employed persons;15 Manufacture of leather and footwear;2018;0.0;0.0;0.0;0.0
2676;250 and more employed persons;15 Manufacture of leather and footwear;2019;0.0;0.0;0.0;0.0
2677;250 and more employed persons;15 Manufacture of leather and footwear;2020;;;;
2678;250 and more employed persons;15 Manufacture of leather and footwear;2021;;;;
2679;250 and more employed persons;15 Manufacture of leather and footwear;2022;;;;
2680;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2013;;;;20.0
2681;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2014;165.0;81.0;6.0;15.0
2682;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2015;151.0;73.0;6.0;15.0
2683;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2016;;;;15.0
2684;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2017;;;;15.0
2685;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2018;;;;15.0
2686;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2019;;;;20.0
2687;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2020;;;;20.0
2688;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2021;;;;20.0
2689;250 and more employed persons;16+23 Man of wooden and buildingmaterial;2022;;;;
2690;250 and more employed persons;16 Manufacture of wood products;2013;;;;
2691;250 and more employed persons;16 Manufacture of wood products;2014;0.0;0.0;0.0;0.0
2692;250 and more employed persons;16 Manufacture of wood products;2015;0.0;0.0;0.0;0.0
2693;250 and more employed persons;16 Manufacture of wood products;2016;;;;
2694;250 and more employed persons;16 Manufacture of wood products;2017;;;;
2695;250 and more employed persons;16 Manufacture of wood products;2018;;;;
2696;250 and more employed persons;16 Manufacture of wood products;2019;;;;
2697;250 and more employed persons;16 Manufacture of wood products;2020;;;;
2698;250 and more employed persons;16 Manufacture of wood products;2021;;;;
2699;250 and more employed persons;16 Manufacture of wood products;2022;;;;
2700;250 and more employed persons;17-18 Manufacture of paper and printing;2013;;;;10.0
2701;250 and more employed persons;17-18 Manufacture of paper and printing;2014;260.0;113.0;7.0;10.0
2702;250 and more employed persons;17-18 Manufacture of paper and printing;2015;200.0;113.0;8.0;10.0
2703;250 and more employed persons;17-18 Manufacture of paper and printing;2016;;;;10.0
2704;250 and more employed persons;17-18 Manufacture of paper and printing;2017;;;;10.0
2705;250 and more employed persons;17-18 Manufacture of paper and printing;2018;;;;15.0
2706;250 and more employed persons;17-18 Manufacture of paper and printing;2019;;;;15.0
2707;250 and more employed persons;17-18 Manufacture of paper and printing;2020;;;;10.0
2708;250 and more employed persons;17-18 Manufacture of paper and printing;2021;;;;10.0
2709;250 and more employed persons;17-18 Manufacture of paper and printing;2022;;;;
2710;250 and more employed persons;17 Manufacture of paper;2013;109.0;41.0;3.0;10.0
2711;250 and more employed persons;17 Manufacture of paper;2014;;;;10.0
2712;250 and more employed persons;17 Manufacture of paper;2015;;;;10.0
2713;250 and more employed persons;17 Manufacture of paper;2016;;;;10.0
2714;250 and more employed persons;17 Manufacture of paper;2017;182.0;132.0;10.0;10.0
2715;250 and more employed persons;17 Manufacture of paper;2018;183.0;145.0;13.0;10.0
2716;250 and more employed persons;17 Manufacture of paper;2019;180.0;150.0;14.0;10.0
2717;250 and more employed persons;17 Manufacture of paper;2020;169.0;142.0;14.0;5.0
2718;250 and more employed persons;17 Manufacture of paper;2021;229.0;177.0;15.0;10.0
2719;250 and more employed persons;17 Manufacture of paper;2022;202.0;155.0;15.0;
2720;250 and more employed persons;18 Printing and reproduction;2013;;;;
2721;250 and more employed persons;18 Printing and reproduction;2014;;;;
2722;250 and more employed persons;18 Printing and reproduction;2015;;;;
2723;250 and more employed persons;18 Printing and reproduction;2016;;;;
2724;250 and more employed persons;18 Printing and reproduction;2017;;;;
2725;250 and more employed persons;18 Printing and reproduction;2018;;;;
2726;250 and more employed persons;18 Printing and reproduction;2019;;;;
2727;250 and more employed persons;18 Printing and reproduction;2020;;;;
2728;250 and more employed persons;18 Printing and reproduction;2021;;;;
2729;250 and more employed persons;18 Printing and reproduction;2022;;;;
2730;250 and more employed persons;19-22 Refineries and chemistry;2013;6162.0;5410.0;947.0;55.0
2731;250 and more employed persons;19-22 Refineries and chemistry;2014;5823.0;5135.0;908.0;50.0
2732;250 and more employed persons;19-22 Refineries and chemistry;2015;5909.0;5283.0;920.0;55.0
2733;250 and more employed persons;19-22 Refineries and chemistry;2016;5791.0;5254.0;873.0;55.0
2734;250 and more employed persons;19-22 Refineries and chemistry;2017;5725.0;5253.0;901.0;50.0
2735;250 and more employed persons;19-22 Refineries and chemistry;2018;5923.0;5398.0;899.0;50.0
2736;250 and more employed persons;19-22 Refineries and chemistry;2019;6067.0;5610.0;906.0;55.0
2737;250 and more employed persons;19-22 Refineries and chemistry;2020;5658.0;5239.0;984.0;55.0
2738;250 and more employed persons;19-22 Refineries and chemistry;2021;5692.0;5299.0;949.0;60.0
2739;250 and more employed persons;19-22 Refineries and chemistry;2022;5966.0;5446.0;995.0;
2740;250 and more employed persons;19 Manufacture of coke and petroleum;2013;;;;
2741;250 and more employed persons;19 Manufacture of coke and petroleum;2014;;;;
2742;250 and more employed persons;19 Manufacture of coke and petroleum;2015;;;;
2743;250 and more employed persons;19 Manufacture of coke and petroleum;2016;;;;
2744;250 and more employed persons;19 Manufacture of coke and petroleum;2017;;;;
2745;250 and more employed persons;19 Manufacture of coke and petroleum;2018;;;;
2746;250 and more employed persons;19 Manufacture of coke and petroleum;2019;;;;
2747;250 and more employed persons;19 Manufacture of coke and petroleum;2020;;;;
2748;250 and more employed persons;19 Manufacture of coke and petroleum;2021;;;;
2749;250 and more employed persons;19 Manufacture of coke and petroleum;2022;;;;
2750;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2013;;;;45.0
2751;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2014;;;;35.0
2752;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2015;;;;40.0
2753;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2016;;;;40.0
2754;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2017;;;;40.0
2755;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2018;;;;40.0
2756;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2019;;;;45.0
2757;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2020;;;;45.0
2758;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2021;;;;50.0
2759;250 and more employed persons;20-21 Chemistry and pharmaceuticals;2022;;;;
2760;250 and more employed persons;20 Manufacture of chemicals;2013;3662.0;3206.0;412.0;35.0
2761;250 and more employed persons;20 Manufacture of chemicals;2014;3409.0;2977.0;390.0;25.0
2762;250 and more employed persons;20 Manufacture of chemicals;2015;3517.0;3096.0;415.0;30.0
2763;250 and more employed persons;20 Manufacture of chemicals;2016;3412.0;3177.0;424.0;30.0
2764;250 and more employed persons;20 Manufacture of chemicals;2017;3241.0;3050.0;409.0;30.0
2765;250 and more employed persons;20 Manufacture of chemicals;2018;3311.0;3111.0;447.0;30.0
2766;250 and more employed persons;20 Manufacture of chemicals;2019;3553.0;3359.0;460.0;30.0
2767;250 and more employed persons;20 Manufacture of chemicals;2020;3281.0;3069.0;498.0;30.0
2768;250 and more employed persons;20 Manufacture of chemicals;2021;3117.0;2908.0;467.0;35.0
2769;250 and more employed persons;20 Manufacture of chemicals;2022;2917.0;2608.0;448.0;
2770;250 and more employed persons;21 Manufacture of pharmaceuticals;2013;;;;10.0
2771;250 and more employed persons;21 Manufacture of pharmaceuticals;2014;;;;10.0
2772;250 and more employed persons;21 Manufacture of pharmaceuticals;2015;;;;10.0
2773;250 and more employed persons;21 Manufacture of pharmaceuticals;2016;;;;10.0
2774;250 and more employed persons;21 Manufacture of pharmaceuticals;2017;;;;10.0
2775;250 and more employed persons;21 Manufacture of pharmaceuticals;2018;;;;10.0
2776;250 and more employed persons;21 Manufacture of pharmaceuticals;2019;;;;10.0
2777;250 and more employed persons;21 Manufacture of pharmaceuticals;2020;;;;10.0
2778;250 and more employed persons;21 Manufacture of pharmaceuticals;2021;;;;15.0
2779;250 and more employed persons;21 Manufacture of pharmaceuticals;2022;;;;
2780;250 and more employed persons;22 Manufacture rubber, plastic products;2013;181.0;117.0;10.0;10.0
2781;250 and more employed persons;22 Manufacture rubber, plastic products;2014;109.0;78.0;6.0;10.0
2782;250 and more employed persons;22 Manufacture rubber, plastic products;2015;143.0;108.0;9.0;10.0
2783;250 and more employed persons;22 Manufacture rubber, plastic products;2016;;;;10.0
2784;250 and more employed persons;22 Manufacture rubber, plastic products;2017;;;;10.0
2785;250 and more employed persons;22 Manufacture rubber, plastic products;2018;;;;10.0
2786;250 and more employed persons;22 Manufacture rubber, plastic products;2019;177.0;139.0;17.0;10.0
2787;250 and more employed persons;22 Manufacture rubber, plastic products;2020;;;;10.0
2788;250 and more employed persons;22 Manufacture rubber, plastic products;2021;;;;10.0
2789;250 and more employed persons;22 Manufacture rubber, plastic products;2022;;;;
2790;250 and more employed persons;23 Manufacture of building materials;2013;243.0;93.0;7.0;20.0
2791;250 and more employed persons;23 Manufacture of building materials;2014;165.0;81.0;6.0;15.0
2792;250 and more employed persons;23 Manufacture of building materials;2015;151.0;73.0;6.0;15.0
2793;250 and more employed persons;23 Manufacture of building materials;2016;137.0;84.0;7.0;15.0
2794;250 and more employed persons;23 Manufacture of building materials;2017;110.0;63.0;6.0;10.0
2795;250 and more employed persons;23 Manufacture of building materials;2018;116.0;74.0;8.0;15.0
2796;250 and more employed persons;23 Manufacture of building materials;2019;145.0;84.0;8.0;15.0
2797;250 and more employed persons;23 Manufacture of building materials;2020;141.0;89.0;8.0;20.0
2798;250 and more employed persons;23 Manufacture of building materials;2021;194.0;101.0;9.0;20.0
2799;250 and more employed persons;23 Manufacture of building materials;2022;165.0;90.0;7.0;
2800;250 and more employed persons;24-30, 33 Metalectro;2013;20974.0;18002.0;2428.0;120.0
2801;250 and more employed persons;24-30, 33 Metalectro;2014;21325.0;18444.0;2520.0;105.0
2802;250 and more employed persons;24-30, 33 Metalectro;2015;21871.0;19150.0;2512.0;110.0
2803;250 and more employed persons;24-30, 33 Metalectro;2016;22912.0;19778.0;2638.0;110.0
2804;250 and more employed persons;24-30, 33 Metalectro;2017;23175.0;21460.0;2908.0;110.0
2805;250 and more employed persons;24-30, 33 Metalectro;2018;25192.0;23484.0;3115.0;115.0
2806;250 and more employed persons;24-30, 33 Metalectro;2019;25683.0;24180.0;3382.0;120.0
2807;250 and more employed persons;24-30, 33 Metalectro;2020;26589.0;24718.0;3646.0;130.0
2808;250 and more employed persons;24-30, 33 Metalectro;2021;27817.0;25847.0;3923.0;140.0
2809;250 and more employed persons;24-30, 33 Metalectro;2022;29857.0;27739.0;4747.0;
2810;250 and more employed persons;24-25 Man. of basic metals and -products;2013;;;;30.0
2811;250 and more employed persons;24-25 Man. of basic metals and -products;2014;;;;20.0
2812;250 and more employed persons;24-25 Man. of basic metals and -products;2015;;;;25.0
2813;250 and more employed persons;24-25 Man. of basic metals and -products;2016;;;;25.0
2814;250 and more employed persons;24-25 Man. of basic metals and -products;2017;;;;25.0
2815;250 and more employed persons;24-25 Man. of basic metals and -products;2018;;;;25.0
2816;250 and more employed persons;24-25 Man. of basic metals and -products;2019;;;;30.0
2817;250 and more employed persons;24-25 Man. of basic metals and -products;2020;;;;35.0
2818;250 and more employed persons;24-25 Man. of basic metals and -products;2021;;;;35.0
2819;250 and more employed persons;24-25 Man. of basic metals and -products;2022;;;;
2820;250 and more employed persons;24 Manufacture of basic metals;2013;;;;15.0
2821;250 and more employed persons;24 Manufacture of basic metals;2014;;;;10.0
2822;250 and more employed persons;24 Manufacture of basic metals;2015;;;;10.0
2823;250 and more employed persons;24 Manufacture of basic metals;2016;;;;10.0
2824;250 and more employed persons;24 Manufacture of basic metals;2017;;;;10.0
2825;250 and more employed persons;24 Manufacture of basic metals;2018;;;;10.0
2826;250 and more employed persons;24 Manufacture of basic metals;2019;;;;10.0
2827;250 and more employed persons;24 Manufacture of basic metals;2020;;;;15.0
2828;250 and more employed persons;24 Manufacture of basic metals;2021;;;;15.0
2829;250 and more employed persons;24 Manufacture of basic metals;2022;;;;
2830;250 and more employed persons;25 Manufacture of metal products;2013;356.0;209.0;18.0;15.0
2831;250 and more employed persons;25 Manufacture of metal products;2014;361.0;299.0;24.0;10.0
2832;250 and more employed persons;25 Manufacture of metal products;2015;416.0;364.0;40.0;15.0
2833;250 and more employed persons;25 Manufacture of metal products;2016;546.0;497.0;49.0;20.0
2834;250 and more employed persons;25 Manufacture of metal products;2017;549.0;500.0;48.0;20.0
2835;250 and more employed persons;25 Manufacture of metal products;2018;590.0;543.0;45.0;15.0
2836;250 and more employed persons;25 Manufacture of metal products;2019;598.0;544.0;64.0;20.0
2837;250 and more employed persons;25 Manufacture of metal products;2020;735.0;599.0;71.0;20.0
2838;250 and more employed persons;25 Manufacture of metal products;2021;719.0;633.0;74.0;25.0
2839;250 and more employed persons;25 Manufacture of metal products;2022;579.0;488.0;62.0;
2840;250 and more employed persons;26-28 Manufact of electronics, machinery;2013;17382.0;15081.0;2132.0;55.0
2841;250 and more employed persons;26-28 Manufact of electronics, machinery;2014;17832.0;15521.0;2224.0;55.0
2842;250 and more employed persons;26-28 Manufact of electronics, machinery;2015;18225.0;16105.0;2176.0;55.0
2843;250 and more employed persons;26-28 Manufact of electronics, machinery;2016;19107.0;16464.0;2293.0;55.0
2844;250 and more employed persons;26-28 Manufact of electronics, machinery;2017;19046.0;18038.0;2537.0;50.0
2845;250 and more employed persons;26-28 Manufact of electronics, machinery;2018;21016.0;20017.0;2734.0;55.0
2846;250 and more employed persons;26-28 Manufact of electronics, machinery;2019;21847.0;21048.0;3022.0;55.0
2847;250 and more employed persons;26-28 Manufact of electronics, machinery;2020;22603.0;21436.0;3307.0;60.0
2848;250 and more employed persons;26-28 Manufact of electronics, machinery;2021;23789.0;22416.0;3561.0;65.0
2849;250 and more employed persons;26-28 Manufact of electronics, machinery;2022;26059.0;24524.0;4377.0;
2850;250 and more employed persons;26-27 Elektrical and electron. Industry;2013;;;;20.0
2851;250 and more employed persons;26-27 Elektrical and electron. Industry;2014;;;;20.0
2852;250 and more employed persons;26-27 Elektrical and electron. Industry;2015;;;;25.0
2853;250 and more employed persons;26-27 Elektrical and electron. Industry;2016;;;;20.0
2854;250 and more employed persons;26-27 Elektrical and electron. Industry;2017;;;;20.0
2855;250 and more employed persons;26-27 Elektrical and electron. Industry;2018;;;;25.0
2856;250 and more employed persons;26-27 Elektrical and electron. Industry;2019;;;;25.0
2857;250 and more employed persons;26-27 Elektrical and electron. Industry;2020;;;;25.0
2858;250 and more employed persons;26-27 Elektrical and electron. Industry;2021;;;;30.0
2859;250 and more employed persons;26-27 Elektrical and electron. Industry;2022;;;;
2860;250 and more employed persons;26 Manufacture of electronic products;2013;3611.0;3451.0;505.0;10.0
2861;250 and more employed persons;26 Manufacture of electronic products;2014;3832.0;3663.0;553.0;10.0
2862;250 and more employed persons;26 Manufacture of electronic products;2015;3933.0;3705.0;524.0;10.0
2863;250 and more employed persons;26 Manufacture of electronic products;2016;3966.0;3786.0;525.0;10.0
2864;250 and more employed persons;26 Manufacture of electronic products;2017;4184.0;3993.0;565.0;10.0
2865;250 and more employed persons;26 Manufacture of electronic products;2018;4546.0;4332.0;614.0;10.0
2866;250 and more employed persons;26 Manufacture of electronic products;2019;4995.0;4728.0;658.0;10.0
2867;250 and more employed persons;26 Manufacture of electronic products;2020;4768.0;4496.0;662.0;10.0
2868;250 and more employed persons;26 Manufacture of electronic products;2021;5180.0;4936.0;713.0;15.0
2869;250 and more employed persons;26 Manufacture of electronic products;2022;6359.0;5918.0;990.0;
2870;250 and more employed persons;27 Manufacture of electric equipment;2013;;;;15.0
2871;250 and more employed persons;27 Manufacture of electric equipment;2014;;;;10.0
2872;250 and more employed persons;27 Manufacture of electric equipment;2015;;;;10.0
2873;250 and more employed persons;27 Manufacture of electric equipment;2016;;;;10.0
2874;250 and more employed persons;27 Manufacture of electric equipment;2017;;;;10.0
2875;250 and more employed persons;27 Manufacture of electric equipment;2018;;;;10.0
2876;250 and more employed persons;27 Manufacture of electric equipment;2019;;;;10.0
2877;250 and more employed persons;27 Manufacture of electric equipment;2020;;;;15.0
2878;250 and more employed persons;27 Manufacture of electric equipment;2021;;;;15.0
2879;250 and more employed persons;27 Manufacture of electric equipment;2022;;;;
2880;250 and more employed persons;28 Manufacture of machinery n.e.c.;2013;;;;35.0
2881;250 and more employed persons;28 Manufacture of machinery n.e.c.;2014;;;;35.0
2882;250 and more employed persons;28 Manufacture of machinery n.e.c.;2015;;;;35.0
2883;250 and more employed persons;28 Manufacture of machinery n.e.c.;2016;;;;35.0
2884;250 and more employed persons;28 Manufacture of machinery n.e.c.;2017;;;;30.0
2885;250 and more employed persons;28 Manufacture of machinery n.e.c.;2018;;;;30.0
2886;250 and more employed persons;28 Manufacture of machinery n.e.c.;2019;;;;30.0
2887;250 and more employed persons;28 Manufacture of machinery n.e.c.;2020;;;;35.0
2888;250 and more employed persons;28 Manufacture of machinery n.e.c.;2021;;;;35.0
2889;250 and more employed persons;28 Manufacture of machinery n.e.c.;2022;;;;
2890;250 and more employed persons;29-30 Transport equipment;2013;2455.0;2129.0;205.0;20.0
2891;250 and more employed persons;29-30 Transport equipment;2014;2475.0;2078.0;198.0;20.0
2892;250 and more employed persons;29-30 Transport equipment;2015;2498.0;2094.0;211.0;20.0
2893;250 and more employed persons;29-30 Transport equipment;2016;2457.0;2121.0;211.0;20.0
2894;250 and more employed persons;29-30 Transport equipment;2017;2671.0;2159.0;221.0;20.0
2895;250 and more employed persons;29-30 Transport equipment;2018;2743.0;2187.0;228.0;25.0
2896;250 and more employed persons;29-30 Transport equipment;2019;2330.0;1894.0;202.0;25.0
2897;250 and more employed persons;29-30 Transport equipment;2020;2286.0;1873.0;166.0;25.0
2898;250 and more employed persons;29-30 Transport equipment;2021;2319.0;1933.0;183.0;20.0
2899;250 and more employed persons;29-30 Transport equipment;2022;2246.0;1882.0;180.0;
2900;250 and more employed persons;29 Manufacture of cars and trailers;2013;1496.0;1368.0;140.0;10.0
2901;250 and more employed persons;29 Manufacture of cars and trailers;2014;;;;10.0
2902;250 and more employed persons;29 Manufacture of cars and trailers;2015;1665.0;1527.0;154.0;5.0
2903;250 and more employed persons;29 Manufacture of cars and trailers;2016;1705.0;1606.0;155.0;10.0
2904;250 and more employed persons;29 Manufacture of cars and trailers;2017;1943.0;1674.0;174.0;10.0
2905;250 and more employed persons;29 Manufacture of cars and trailers;2018;1828.0;1690.0;182.0;10.0
2906;250 and more employed persons;29 Manufacture of cars and trailers;2019;;;;10.0
2907;250 and more employed persons;29 Manufacture of cars and trailers;2020;;;;10.0
2908;250 and more employed persons;29 Manufacture of cars and trailers;2021;;;;10.0
2909;250 and more employed persons;29 Manufacture of cars and trailers;2022;;;;
2910;250 and more employed persons;30 Manufacture of other transport;2013;959.0;761.0;65.0;15.0
2911;250 and more employed persons;30 Manufacture of other transport;2014;;;;15.0
2912;250 and more employed persons;30 Manufacture of other transport;2015;833.0;567.0;57.0;15.0
2913;250 and more employed persons;30 Manufacture of other transport;2016;752.0;515.0;56.0;15.0
2914;250 and more employed persons;30 Manufacture of other transport;2017;728.0;485.0;47.0;10.0
2915;250 and more employed persons;30 Manufacture of other transport;2018;915.0;498.0;46.0;15.0
2916;250 and more employed persons;30 Manufacture of other transport;2019;;;;10.0
2917;250 and more employed persons;30 Manufacture of other transport;2020;;;;15.0
2918;250 and more employed persons;30 Manufacture of other transport;2021;;;;15.0
2919;250 and more employed persons;30 Manufacture of other transport;2022;;;;
2920;250 and more employed persons;31 Manufacture of furniture;2013;;;;
2921;250 and more employed persons;31 Manufacture of furniture;2014;;;;
2922;250 and more employed persons;31 Manufacture of furniture;2015;;;;
2923;250 and more employed persons;31 Manufacture of furniture;2016;;;;
2924;250 and more employed persons;31 Manufacture of furniture;2017;;;;
2925;250 and more employed persons;31 Manufacture of furniture;2018;;;;
2926;250 and more employed persons;31 Manufacture of furniture;2019;71.0;60.0;4.0;5.0
2927;250 and more employed persons;31 Manufacture of furniture;2020;;;;
2928;250 and more employed persons;31 Manufacture of furniture;2021;;;;
2929;250 and more employed persons;31 Manufacture of furniture;2022;;;;
2930;250 and more employed persons;32 Manufacture of other products;2013;;;;
2931;250 and more employed persons;32 Manufacture of other products;2014;;;;
2932;250 and more employed persons;32 Manufacture of other products;2015;;;;
2933;250 and more employed persons;32 Manufacture of other products;2016;;;;
2934;250 and more employed persons;32 Manufacture of other products;2017;;;;
2935;250 and more employed persons;32 Manufacture of other products;2018;;;;
2936;250 and more employed persons;32 Manufacture of other products;2019;;;;
2937;250 and more employed persons;32 Manufacture of other products;2020;;;;
2938;250 and more employed persons;32 Manufacture of other products;2021;;;;
2939;250 and more employed persons;32 Manufacture of other products;2022;;;;
2940;250 and more employed persons;33 Repair and installation of machinery;2013;;;;15.0
2941;250 and more employed persons;33 Repair and installation of machinery;2014;;;;10.0
2942;250 and more employed persons;33 Repair and installation of machinery;2015;;;;10.0
2943;250 and more employed persons;33 Repair and installation of machinery;2016;;;;10.0
2944;250 and more employed persons;33 Repair and installation of machinery;2017;;;;10.0
2945;250 and more employed persons;33 Repair and installation of machinery;2018;;;;15.0
2946;250 and more employed persons;33 Repair and installation of machinery;2019;;;;15.0
2947;250 and more employed persons;33 Repair and installation of machinery;2020;;;;15.0
2948;250 and more employed persons;33 Repair and installation of machinery;2021;;;;15.0
2949;250 and more employed persons;33 Repair and installation of machinery;2022;;;;
2950;250 and more employed persons;D Energy supply;2013;;;;
2951;250 and more employed persons;D Energy supply;2014;283.0;175.0;17.0;10.0
2952;250 and more employed persons;D Energy supply;2015;;;;
2953;250 and more employed persons;D Energy supply;2016;;;;
2954;250 and more employed persons;D Energy supply;2017;343.0;140.0;29.0;5.0
2955;250 and more employed persons;D Energy supply;2018;359.0;151.0;33.0;5.0
2956;250 and more employed persons;D Energy supply;2019;296.0;155.0;27.0;5.0
2957;250 and more employed persons;D Energy supply;2020;;;;
2958;250 and more employed persons;D Energy supply;2021;317.0;160.0;31.0;5.0
2959;250 and more employed persons;D Energy supply;2022;;;;
2960;250 and more employed persons;35 Energy supply;2013;;;;
2961;250 and more employed persons;35 Energy supply;2014;283.0;175.0;17.0;10.0
2962;250 and more employed persons;35 Energy supply;2015;;;;
2963;250 and more employed persons;35 Energy supply;2016;;;;
2964;250 and more employed persons;35 Energy supply;2017;343.0;140.0;29.0;5.0
2965;250 and more employed persons;35 Energy supply;2018;359.0;151.0;33.0;5.0
2966;250 and more employed persons;35 Energy supply;2019;296.0;155.0;27.0;5.0
2967;250 and more employed persons;35 Energy supply;2020;;;;
2968;250 and more employed persons;35 Energy supply;2021;317.0;160.0;31.0;5.0
2969;250 and more employed persons;35 Energy supply;2022;;;;
2970;250 and more employed persons;E Water supply and waste management;2013;372.0;201.0;17.0;15.0
2971;250 and more employed persons;E Water supply and waste management;2014;;;;10.0
2972;250 and more employed persons;E Water supply and waste management;2015;;;;10.0
2973;250 and more employed persons;E Water supply and waste management;2016;173.0;101.0;12.0;10.0
2974;250 and more employed persons;E Water supply and waste management;2017;;;;10.0
2975;250 and more employed persons;E Water supply and waste management;2018;;;;10.0
2976;250 and more employed persons;E Water supply and waste management;2019;;;;
2977;250 and more employed persons;E Water supply and waste management;2020;320.0;171.0;18.0;10.0
2978;250 and more employed persons;E Water supply and waste management;2021;;;;10.0
2979;250 and more employed persons;E Water supply and waste management;2022;324.0;160.0;18.0;
2980;250 and more employed persons;F Construction;2013;668.0;494.0;48.0;45.0
2981;250 and more employed persons;F Construction;2014;468.0;282.0;33.0;30.0
2982;250 and more employed persons;F Construction;2015;624.0;324.0;28.0;35.0
2983;250 and more employed persons;F Construction;2016;577.0;341.0;28.0;35.0
2984;250 and more employed persons;F Construction;2017;537.0;321.0;30.0;35.0
2985;250 and more employed persons;F Construction;2018;591.0;340.0;30.0;35.0
2986;250 and more employed persons;F Construction;2019;731.0;356.0;33.0;50.0
2987;250 and more employed persons;F Construction;2020;768.0;369.0;42.0;60.0
