ID;TypeOfDelivery;Periods;TotalTransport_1;TotalRoadTransport_2;AutomotiveLPG_3;TotalMotorGasoline_4;Unleaded95_5;SuperUnleaded98_6;NormalLeaded_7;SuperLeaded_8;TotalTransportDiesel_9;LowSulphurDiesel_10;HighSulphurDiesel_11;NaturalGas_12;Electricity_13;TotalWaterTransport_14;TotalHeatingAndOtherGasoil_15;DeliveriesToInlandWaterTransport_16;DeliveriesToSeaTransport_17;DeliveriesToWaterTransportTraders_18;TotalFuelOil_19;LowSulphurFuelOil_20;HighSulphurFuelOil_21;TotalAirTransport_22;KeroseneTypeJetFuel_23;AviationGasoline_24;GasolineTypeJetFuel_25;TotalRailTransport_26;HeatingAndOtherGasoil_27;Electricity_28;AutomotiveLPG_29;TotalMotorGasoline_30;Unleaded95_31;SuperUnleaded98_32;NormalLeaded_33;SuperLeaded_34;TotalTransportDiesel_35;LowSulphurDiesel_36;HighSulphurDiesel_37;NaturalGas_38;Electricity_39;TotalHeatingAndOtherGasoil_40;DeliveriesToInlandWaterTransport_41;DeliveriesToSeaTransport_42;DeliveriesToWaterTransportTraders_43;TotalFuelOil_44;LowSulphurFuelOil_45;HighSulphurFuelOil_46;KeroseneTypeJetFuel_47;AviationGasoline_48;GasolineTypeJetFuel_49;HeatingOilAndOtherGasoil_50;Electricity_51;AutomotiveLPG_52;TotalMotorGasoline_53;Unleaded95_54;SuperUnleaded98_55;NormalLeaded_56;SuperLeaded_57;TotalTransportDiesel_58;LowSulphurDiesel_59;HighSulphurDiesel_60
749;Deliveries for bunkers;2001 June;57.6;;;;;;;;;;;;;46.7;6.2;2.8;3.6;-0.2;40.5;0.1;40.5;11.0;11.0;0.0;;;;;;;;;;;;;;;;144.0;65.0;84.0;-5.0;988.0;2.0;987.0;252.0;0.0;;;;;;;;;;;;
750;Deliveries for bunkers;2001 2nd quarter;183.2;;;;;;;;;;;;;149.6;19.9;8.7;10.9;0.3;129.7;0.3;129.5;33.5;33.5;0.0;;;;;;;;;;;;;;;;466.0;204.0;254.0;8.0;3164.0;6.0;3158.0;771.0;0.0;;;;;;;;;;;;
751;Deliveries for bunkers;2001 July;58.8;;;;;;;;;;;;;46.2;6.7;3.0;3.7;0.0;39.5;0.1;39.4;12.5;12.5;0.0;;;;;;;;;;;;;;;;158.0;70.0;87.0;1.0;963.0;2.0;961.0;288.0;0.0;;;;;;;;;;;;
752;Deliveries for bunkers;2001 August;62.9;;;;;;;;;;;;;50.7;7.3;3.0;4.1;0.2;43.4;0.1;43.3;12.2;12.2;0.0;;;;;;;;;;;;;;;;171.0;69.0;96.0;6.0;1059.0;2.0;1057.0;280.0;0.0;;;;;;;;;;;;
753;Deliveries for bunkers;2001 September;59.3;;;;;;;;;;;;;47.7;6.3;2.9;3.4;0.0;41.5;0.1;41.3;11.6;11.6;0.0;;;;;;;;;;;;;;;;147.0;68.0;80.0;-1.0;1011.0;3.0;1008.0;266.0;0.0;;;;;;;;;;;;
754;Deliveries for bunkers;2001 3rd quarter;180.9;;;;;;;;;;;;;144.7;20.4;8.9;11.2;0.3;124.3;0.3;124.0;36.3;36.2;0.0;;;;;;;;;;;;;;;;476.0;208.0;262.0;6.0;3033.0;7.0;3026.0;833.0;0.0;;;;;;;;;;;;
755;Deliveries for bunkers;2001 October;58.2;;;;;;;;;;;;;47.0;7.0;3.0;3.8;0.2;39.9;0.1;39.8;11.2;11.2;0.0;;;;;;;;;;;;;;;;165.0;71.0;89.0;5.0;973.0;3.0;970.0;257.0;0.0;;;;;;;;;;;;
756;Deliveries for bunkers;2001 November;68.3;;;;;;;;;;;;;57.3;7.4;3.2;4.0;0.2;49.8;0.3;49.5;11.0;11.0;0.0;;;;;;;;;;;;;;;;176.0;76.0;94.0;6.0;1214.0;7.0;1207.0;253.0;0.0;;;;;;;;;;;;
757;Deliveries for bunkers;2001 December;71.4;;;;;;;;;;;;;60.2;6.5;2.9;3.4;0.2;53.7;0.2;53.5;11.3;11.2;0.0;;;;;;;;;;;;;;;;151.0;67.0;80.0;4.0;1310.0;4.0;1306.0;259.0;0.0;;;;;;;;;;;;
758;Deliveries for bunkers;2001 4th quarter;197.8;;;;;;;;;;;;;164.4;20.9;9.1;11.2;0.6;143.4;0.6;142.8;33.5;33.4;0.0;;;;;;;;;;;;;;;;492.0;214.0;263.0;15.0;3497.0;14.0;3483.0;769.0;0.0;;;;;;;;;;;;
759;Deliveries for bunkers;2001;737.7;;;;;;;;;;;;;602.6;80.8;34.9;44.6;1.3;521.7;1.5;520.2;135.1;135.1;0.0;;;;;;;;;;;;;;;;1896.0;818.0;1046.0;32.0;12724.0;36.0;12688.0;3105.0;1.0;;;;;;;;;;;;
760;Deliveries for bunkers;2002 January;59.2;;;;;;;;;;;;;48.1;6.2;2.7;3.3;0.2;41.8;0.1;41.7;11.1;11.1;0.0;;;;;;;;;;;;;;;;147.0;64.0;77.0;6.0;1020.0;2.0;1018.0;254.0;0.0;;;;;;;;;;;;
761;Deliveries for bunkers;2002 February;57.3;;;;;;;;;;;;;46.9;6.0;2.7;3.2;0.1;40.9;0.1;40.8;10.4;10.4;0.0;;;;;;;;;;;;;;;;141.0;63.0;75.0;3.0;997.0;2.0;995.0;239.0;0.0;;;;;;;;;;;;
762;Deliveries for bunkers;2002 March;60.0;;;;;;;;;;;;;49.5;6.8;3.1;3.3;0.4;42.8;0.1;42.7;10.5;10.5;0.0;;;;;;;;;;;;;;;;157.0;72.0;76.0;9.0;1044.0;3.0;1041.0;242.0;0.0;;;;;;;;;;;;
763;Deliveries for bunkers;2002 1st quarter;176.5;;;;;;;;;;;;;144.5;19.1;8.5;9.8;0.8;125.5;0.3;125.2;32.0;32.0;0.0;;;;;;;;;;;;;;;;444.0;198.0;228.0;18.0;3062.0;8.0;3054.0;735.0;0.0;;;;;;;;;;;;
764;Deliveries for bunkers;2002 April;61.0;;;;;;;;;;;;;49.6;6.6;2.9;3.3;0.4;43.1;0.1;43.0;11.4;11.4;0.0;;;;;;;;;;;;;;;;153.0;67.0;77.0;9.0;1050.0;2.0;1048.0;261.0;0.0;;;;;;;;;;;;
765;Deliveries for bunkers;2002 May;66.2;;;;;;;;;;;;;53.4;7.0;3.0;3.6;0.4;46.4;0.2;46.1;12.9;12.9;0.0;;;;;;;;;;;;;;;;163.0;71.0;83.0;9.0;1131.0;6.0;1125.0;296.0;0.0;;;;;;;;;;;;
766;Deliveries for bunkers;2002 June;69.5;;;;;;;;;;;;;57.6;6.9;2.8;3.7;0.4;50.7;0.1;50.6;11.9;11.9;0.0;;;;;;;;;;;;;;;;160.0;66.0;85.0;9.0;1237.0;2.0;1235.0;274.0;0.0;;;;;;;;;;;;
767;Deliveries for bunkers;2002 2nd quarter;196.7;;;;;;;;;;;;;160.5;20.3;8.7;10.5;1.1;140.1;0.4;139.7;36.2;36.2;0.0;;;;;;;;;;;;;;;;478.0;205.0;246.0;27.0;3418.0;10.0;3408.0;831.0;0.0;;;;;;;;;;;;
768;Deliveries for bunkers;2002 July;60.9;;;;;;;;;;;;;47.5;6.4;3.0;3.3;0.1;41.1;0.1;41.0;13.5;13.5;0.0;;;;;;;;;;;;;;;;149.0;70.0;76.0;3.0;1002.0;2.0;1000.0;309.0;0.0;;;;;;;;;;;;
769;Deliveries for bunkers;2002 August;66.9;;;;;;;;;;;;;54.4;6.4;2.9;3.2;0.3;48.0;0.2;47.8;12.6;12.5;0.0;;;;;;;;;;;;;;;;150.0;67.0;76.0;7.0;1171.0;6.0;1165.0;288.0;0.0;;;;;;;;;;;;
770;Deliveries for bunkers;2002 September;58.4;;;;;;;;;;;;;46.1;6.2;2.8;3.0;0.4;39.9;0.2;39.7;12.3;12.3;0.0;;;;;;;;;;;;;;;;145.0;66.0;71.0;8.0;972.0;4.0;968.0;283.0;0.0;;;;;;;;;;;;
771;Deliveries for bunkers;2002 3rd quarter;186.2;;;;;;;;;;;;;147.9;19.0;8.7;9.5;0.8;128.9;0.5;128.4;38.3;38.3;0.0;;;;;;;;;;;;;;;;444.0;203.0;223.0;18.0;3145.0;13.0;3132.0;881.0;1.0;;;;;;;;;;;;
772;Deliveries for bunkers;2002 October;62.2;;;;;;;;;;;;;50.1;6.7;3.0;3.4;0.3;43.3;0.1;43.2;12.1;12.1;0.0;;;;;;;;;;;;;;;;159.0;71.0;80.0;8.0;1055.0;2.0;1053.0;278.0;0.0;;;;;;;;;;;;
773;Deliveries for bunkers;2002 November;60.9;;;;;;;;;;;;;49.8;6.9;3.2;3.3;0.4;42.9;0.1;42.8;11.1;11.1;0.0;;;;;;;;;;;;;;;;162.0;74.0;78.0;10.0;1046.0;3.0;1043.0;255.0;0.0;;;;;;;;;;;;
774;Deliveries for bunkers;2002 December;57.7;;;;;;;;;;;;;46.6;6.3;2.7;3.3;0.3;40.3;0.2;40.1;11.1;11.1;0.0;;;;;;;;;;;;;;;;148.0;63.0;78.0;7.0;982.0;4.0;978.0;255.0;0.0;;;;;;;;;;;;
775;Deliveries for bunkers;2002 4th quarter;180.8;;;;;;;;;;;;;146.4;20.1;8.9;10.1;1.1;126.4;0.4;126.0;34.3;34.3;0.0;;;;;;;;;;;;;;;;470.0;209.0;236.0;25.0;3083.0;9.0;3074.0;789.0;0.0;;;;;;;;;;;;
776;Deliveries for bunkers;2002;740.2;;;;;;;;;;;;;599.4;78.4;34.8;39.9;3.7;521.0;1.6;519.4;140.8;140.8;0.1;;;;;;;;;;;;;;;;1834.0;814.0;933.0;87.0;12708.0;40.0;12668.0;3236.0;1.0;;;;;;;;;;;;
777;Deliveries for bunkers;2003 January;52.5;;;;;;;;;;;;;43.5;5.5;2.7;2.6;0.2;38.0;0.1;37.9;9.0;9.0;0.0;;;;;;;;;;;;;;;;127.0;63.0;60.0;4.0;928.0;3.0;925.0;207.0;0.0;;;;;;;;;;;;
778;Deliveries for bunkers;2003 February;55.3;;;;;;;;;;;;;46.0;5.6;2.8;2.6;0.2;40.5;0.1;40.4;9.3;9.3;0.0;;;;;;;;;;;;;;;;130.0;65.0;61.0;4.0;987.0;2.0;985.0;213.0;0.0;;;;;;;;;;;;
779;Deliveries for bunkers;2003 March;56.9;;;;;;;;;;;;;45.3;5.6;2.6;2.9;0.1;39.7;0.1;39.6;11.6;11.6;0.0;;;;;;;;;;;;;;;;130.0;61.0;67.0;2.0;968.0;2.0;966.0;268.0;0.0;;;;;;;;;;;;
780;Deliveries for bunkers;2003 1st quarter;164.7;;;;;;;;;;;;;134.7;16.5;8.1;8.0;0.4;118.2;0.3;117.9;29.9;29.9;0.0;;;;;;;;;;;;;;;;387.0;189.0;188.0;10.0;2883.0;7.0;2876.0;688.0;0.0;;;;;;;;;;;;
781;Deliveries for bunkers;2003 April;57.8;;;;;;;;;;;;;46.9;6.2;2.8;3.2;0.2;40.7;0.1;40.6;10.9;10.9;0.0;;;;;;;;;;;;;;;;144.0;65.0;74.0;5.0;993.0;2.0;991.0;251.0;0.0;;;;;;;;;;;;
782;Deliveries for bunkers;2003 May;56.9;;;;;;;;;;;;;44.8;6.5;3.0;3.2;0.3;38.3;0.0;38.3;12.1;12.1;0.0;;;;;;;;;;;;;;;;151.0;70.0;74.0;7.0;935.0;0.0;935.0;278.0;0.0;;;;;;;;;;;;
783;Deliveries for bunkers;2003 June;58.4;;;;;;;;;;;;;46.4;5.9;1.1;4.6;0.2;40.5;0.0;40.5;12.0;12.0;0.0;;;;;;;;;;;;;;;;139.0;25.0;109.0;5.0;987.0;0.0;987.0;276.0;0.0;;;;;;;;;;;;
784;Deliveries for bunkers;2003 2nd quarter;173.1;;;;;;;;;;;;;138.0;18.6;6.9;11.0;0.7;119.5;0.1;119.4;35.0;35.0;0.0;;;;;;;;;;;;;;;;435.0;161.0;257.0;17.0;2915.0;2.0;2913.0;805.0;0.0;;;;;;;;;;;;
785;Deliveries for bunkers;2003 July;58.9;;;;;;;;;;;;;46.1;5.4;2.6;2.7;0.1;40.6;0.0;40.6;12.8;12.8;0.0;;;;;;;;;;;;;;;;127.0;60.0;64.0;3.0;991.0;0.0;991.0;294.0;0.0;;;;;;;;;;;;
786;Deliveries for bunkers;2003 August;58.5;;;;;;;;;;;;;45.1;6.3;2.5;3.5;0.3;38.8;0.0;38.8;13.4;13.4;0.0;;;;;;;;;;;;;;;;149.0;59.0;82.0;8.0;947.0;0.0;947.0;308.0;0.0;;;;;;;;;;;;
787;Deliveries for bunkers;2003 September;61.4;;;;;;;;;;;;;49.3;5.6;2.4;2.9;0.3;43.7;0.0;43.7;12.1;12.1;0.0;;;;;;;;;;;;;;;;133.0;57.0;69.0;7.0;1066.0;0.0;1066.0;278.0;0.0;;;;;;;;;;;;
788;Deliveries for bunkers;2003 3rd quarter;178.8;;;;;;;;;;;;;140.5;17.4;7.5;9.2;0.7;123.1;0.0;123.1;38.3;38.3;0.0;;;;;;;;;;;;;;;;407.0;176.0;214.0;17.0;3004.0;0.0;3004.0;880.0;0.0;;;;;;;;;;;;
789;Deliveries for bunkers;2003 October;61.6;;;;;;;;;;;;;49.3;6.1;2.8;3.1;0.2;43.1;0.0;43.1;12.3;12.3;0.0;;;;;;;;;;;;;;;;146.0;67.0;74.0;5.0;1052.0;0.0;1052.0;283.0;0.0;;;;;;;;;;;;
790;Deliveries for bunkers;2003 November;59.0;;;;;;;;;;;;;46.9;5.7;2.7;2.7;0.3;41.3;0.0;41.3;12.1;12.1;0.0;;;;;;;;;;;;;;;;132.0;64.0;62.0;6.0;1007.0;0.0;1007.0;277.0;0.0;;;;;;;;;;;;
791;Deliveries for bunkers;2003 December;62.6;;;;;;;;;;;;;51.5;5.9;2.7;2.7;0.5;45.6;0.0;45.5;11.1;11.1;0.0;;;;;;;;;;;;;;;;139.0;64.0;63.0;12.0;1112.0;1.0;1111.0;255.0;0.0;;;;;;;;;;;;
792;Deliveries for bunkers;2003 4th quarter;183.2;;;;;;;;;;;;;147.8;17.8;8.3;8.5;1.0;130.0;0.0;129.9;35.4;35.4;0.0;;;;;;;;;;;;;;;;417.0;195.0;199.0;23.0;3170.0;1.0;3169.0;814.0;0.0;;;;;;;;;;;;
793;Deliveries for bunkers;2003;699.7;;;;;;;;;;;;;561.1;70.3;30.8;36.7;2.8;490.8;0.4;490.4;138.6;138.6;0.0;;;;;;;;;;;;;;;;1645.0;720.0;858.0;67.0;11971.0;10.0;11962.0;3187.0;0.0;;;;;;;;;;;;
794;Deliveries for bunkers;2004 January;58.3;;;;;;;;;;;;;46.0;5.5;2.8;2.7;0.0;40.5;0.0;40.5;12.3;12.3;0.0;;;;;;;;;;;;;;;;129.0;65.0;64.0;0.0;987.0;0.0;987.0;282.0;0.0;;;;;;;;;;;;
795;Deliveries for bunkers;2004 February;56.4;;;;;;;;;;;;;45.4;5.3;2.5;2.7;0.1;40.1;0.2;39.8;11.0;11.0;0.0;;;;;;;;;;;;;;;;124.0;59.0;62.0;3.0;978.0;6.0;972.0;252.0;0.0;;;;;;;;;;;;
796;Deliveries for bunkers;2004 March;64.3;;;;;;;;;;;;;51.6;5.7;2.8;2.7;0.2;45.9;0.0;45.9;12.7;12.7;0.0;;;;;;;;;;;;;;;;134.0;67.0;63.0;4.0;1120.0;0.0;1120.0;291.0;0.0;;;;;;;;;;;;
797;Deliveries for bunkers;2004 1st quarter;178.9;;;;;;;;;;;;;143.0;16.6;8.2;8.1;0.3;126.5;0.3;126.2;35.9;35.9;0.0;;;;;;;;;;;;;;;;387.0;191.0;189.0;7.0;3085.0;6.0;3079.0;825.0;0.0;;;;;;;;;;;;
798;Deliveries for bunkers;2004 April;63.2;;;;;;;;;;;;;51.3;5.8;2.8;2.9;0.1;45.5;0.0;45.5;11.9;11.9;0.0;;;;;;;;;;;;;;;;134.0;65.0;67.0;2.0;1111.0;0.0;1111.0;273.0;0.0;;;;;;;;;;;;
799;Deliveries for bunkers;2004 May;64.0;;;;;;;;;;;;;51.5;6.0;2.8;2.8;0.4;45.6;0.0;45.5;12.4;12.4;0.0;;;;;;;;;;;;;;;;139.0;65.0;65.0;9.0;1111.0;1.0;1110.0;286.0;0.0;;;;;;;;;;;;
800;Deliveries for bunkers;2004 June;65.0;;;;;;;;;;;;;52.6;5.6;2.6;2.9;0.1;47.1;0.0;47.0;12.4;12.4;0.0;;;;;;;;;;;;;;;;128.0;60.0;67.0;1.0;1148.0;1.0;1147.0;284.0;0.0;;;;;;;;;;;;
801;Deliveries for bunkers;2004 2nd quarter;192.1;;;;;;;;;;;;;155.4;17.1;8.1;8.5;0.5;138.2;0.1;138.1;36.7;36.7;0.0;;;;;;;;;;;;;;;;403.0;190.0;200.0;13.0;3370.0;2.0;3368.0;844.0;0.0;;;;;;;;;;;;
802;Deliveries for bunkers;2004 July;65.0;;;;;;;;;;;;;51.7;5.7;2.5;3.0;0.2;46.1;0.0;46.1;13.3;13.3;0.0;;;;;;;;;;;;;;;;132.0;58.0;70.0;4.0;1125.0;1.0;1124.0;305.0;0.0;;;;;;;;;;;;
803;Deliveries for bunkers;2004 August;63.4;;;;;;;;;;;;;50.1;5.1;2.2;2.8;0.1;45.0;0.1;45.0;13.3;13.3;0.0;;;;;;;;;;;;;;;;120.0;52.0;65.0;3.0;1098.0;1.0;1097.0;305.0;0.0;;;;;;;;;;;;
804;Deliveries for bunkers;2004 September;63.0;;;;;;;;;;;;;50.6;5.9;3.1;2.7;0.1;44.7;0.1;44.6;12.3;12.3;0.0;;;;;;;;;;;;;;;;138.0;72.0;63.0;3.0;1090.0;1.0;1088.0;284.0;0.0;;;;;;;;;;;;
805;Deliveries for bunkers;2004 3rd quarter;191.4;;;;;;;;;;;;;152.5;16.7;7.8;8.5;0.4;135.8;0.2;135.7;38.9;38.9;0.0;;;;;;;;;;;;;;;;390.0;182.0;198.0;10.0;3313.0;4.0;3309.0;894.0;0.0;;;;;;;;;;;;
806;Deliveries for bunkers;2004 October;68.2;;;;;;;;;;;;;55.2;5.8;2.8;3.0;0.0;49.4;0.1;49.3;13.0;13.0;0.0;;;;;;;;;;;;;;;;135.0;65.0;70.0;0.0;1204.0;2.0;1202.0;299.0;0.0;;;;;;;;;;;;
807;Deliveries for bunkers;2004 November;67.2;;;;;;;;;;;;;56.2;6.2;3.0;3.1;0.1;50.0;0.0;50.0;11.0;11.0;0.0;;;;;;;;;;;;;;;;146.0;70.0;73.0;3.0;1221.0;1.0;1220.0;252.0;0.0;;;;;;;;;;;;
808;Deliveries for bunkers;2004 December;61.7;;;;;;;;;;;;;48.8;6.4;3.2;3.1;0.1;42.5;0.0;42.5;12.9;12.9;0.0;;;;;;;;;;;;;;;;148.0;74.0;73.0;1.0;1037.0;1.0;1036.0;295.0;0.0;;;;;;;;;;;;
809;Deliveries for bunkers;2004 4th quarter;197.1;;;;;;;;;;;;;160.3;18.3;8.9;9.2;0.2;141.9;0.1;141.8;36.8;36.8;0.0;;;;;;;;;;;;;;;;429.0;209.0;216.0;4.0;3462.0;3.0;3458.0;847.0;0.0;;;;;;;;;;;;
810;Deliveries for bunkers;2004;759.5;;;;;;;;;;;;;611.1;68.7;33.0;34.3;1.4;542.4;0.6;541.8;148.4;148.3;0.0;;;;;;;;;;;;;;;;1610.0;773.0;803.0;34.0;13230.0;15.0;13214.0;3410.0;0.0;;;;;;;;;;;;
811;Deliveries for bunkers;2005 January;64.3;;;;;;;;;;;;;51.9;5.7;2.8;2.9;0.0;46.1;0.0;46.1;12.4;12.4;0.0;;;;;;;;;;;;;;;;135.0;66.0;68.0;1.0;1126.0;1.0;1125.0;284.0;0.0;;;;;;;;;;;;
812;Deliveries for bunkers;2005 February;54.6;;;;;;;;;;;;;44.0;5.3;2.7;2.6;0.0;38.7;0.0;38.7;10.6;10.6;0.0;;;;;;;;;;;;;;;;124.0;63.0;60.0;1.0;945.0;1.0;944.0;243.0;0.0;;;;;;;;;;;;
813;Deliveries for bunkers;2005 March;71.7;;;;;;;;;;;;;59.8;6.3;3.0;3.0;0.3;53.5;0.1;53.5;11.9;11.9;0.0;;;;;;;;;;;;;;;;146.0;70.0;70.0;6.0;1306.0;2.0;1304.0;274.0;0.0;;;;;;;;;;;;
814;Deliveries for bunkers;2005 1st quarter;190.6;;;;;;;;;;;;;155.7;17.3;8.5;8.5;0.3;138.4;0.1;138.3;34.8;34.8;0.0;;;;;;;;;;;;;;;;405.0;199.0;198.0;8.0;3376.0;3.0;3373.0;801.0;0.0;;;;;;;;;;;;
815;Deliveries for bunkers;2005 April;73.3;;;;;;;;;;;;;62.2;6.2;2.7;3.3;0.2;55.9;0.0;55.9;11.1;11.1;0.0;;;;;;;;;;;;;;;;146.0;64.0;78.0;4.0;1364.0;0.0;1364.0;255.0;0.0;;;;;;;;;;;;
816;Deliveries for bunkers;2005 May;76.9;;;;;;;;;;;;;63.9;5.7;2.6;2.9;0.2;58.3;0.1;58.2;13.0;13.0;0.0;;;;;;;;;;;;;;;;133.0;60.0;69.0;4.0;1422.0;2.0;1420.0;298.0;0.0;;;;;;;;;;;;
817;Deliveries for bunkers;2005 June;75.1;;;;;;;;;;;;;61.4;5.5;3.0;2.5;0.0;55.8;0.2;55.6;13.7;13.7;0.0;;;;;;;;;;;;;;;;132.0;71.0;60.0;1.0;1361.0;5.0;1357.0;314.0;0.0;;;;;;;;;;;;
818;Deliveries for bunkers;2005 2nd quarter;225.3;;;;;;;;;;;;;187.6;17.5;8.3;8.8;0.4;170.0;0.3;169.8;37.7;37.7;0.0;;;;;;;;;;;;;;;;411.0;195.0;207.0;9.0;4148.0;7.0;4141.0;867.0;0.0;;;;;;;;;;;;
819;Deliveries for bunkers;2005 July;70.9;;;;;;;;;;;;;56.0;5.6;2.8;2.6;0.2;50.4;0.1;50.3;14.9;14.9;0.0;;;;;;;;;;;;;;;;132.0;66.0;61.0;5.0;1229.0;2.0;1228.0;342.0;0.0;;;;;;;;;;;;
820;Deliveries for bunkers;2005 August;75.6;;;;;;;;;;;;;61.8;5.9;3.0;2.7;0.2;55.9;0.1;55.8;13.8;13.8;0.0;;;;;;;;;;;;;;;;139.0;71.0;64.0;4.0;1364.0;1.0;1362.0;317.0;0.0;;;;;;;;;;;;
821;Deliveries for bunkers;2005 September;75.9;;;;;;;;;;;;;62.9;5.8;3.0;2.5;0.3;57.1;0.1;57.0;13.0;13.0;0.0;;;;;;;;;;;;;;;;136.0;71.0;58.0;7.0;1393.0;2.0;1391.0;298.0;0.0;;;;;;;;;;;;
822;Deliveries for bunkers;2005 3rd quarter;222.4;;;;;;;;;;;;;180.8;17.4;8.9;7.8;0.7;163.4;0.2;163.2;41.6;41.6;0.0;;;;;;;;;;;;;;;;407.0;208.0;183.0;16.0;3986.0;4.0;3981.0;957.0;0.0;;;;;;;;;;;;
823;Deliveries for bunkers;2005 October;71.5;;;;;;;;;;;;;57.9;5.7;3.0;2.5;0.2;52.2;0.0;52.2;13.6;13.6;0.0;;;;;;;;;;;;;;;;134.0;70.0;59.0;5.0;1272.0;0.0;1272.0;314.0;0.0;;;;;;;;;;;;
824;Deliveries for bunkers;2005 November;69.8;;;;;;;;;;;;;57.3;5.9;3.2;2.5;0.2;51.4;0.2;51.2;12.5;12.5;0.0;;;;;;;;;;;;;;;;138.0;75.0;59.0;4.0;1254.0;6.0;1248.0;288.0;0.0;;;;;;;;;;;;
825;Deliveries for bunkers;2005 December;72.9;;;;;;;;;;;;;60.9;6.1;3.3;2.6;0.2;54.7;0.1;54.6;12.1;12.1;0.0;;;;;;;;;;;;;;;;143.0;78.0;61.0;4.0;1335.0;3.0;1333.0;278.0;0.0;;;;;;;;;;;;
826;Deliveries for bunkers;2005 4th quarter;214.3;;;;;;;;;;;;;176.0;17.6;9.5;7.6;0.5;158.3;0.4;157.9;38.3;38.3;0.0;;;;;;;;;;;;;;;;415.0;223.0;179.0;13.0;3861.0;9.0;3852.0;880.0;0.0;;;;;;;;;;;;
827;Deliveries for bunkers;2005;852.5;;;;;;;;;;;;;700.1;69.8;35.2;32.7;1.9;630.2;0.9;629.2;152.4;152.4;0.0;;;;;;;;;;;;;;;;1637.0;825.0;767.0;45.0;15370.0;23.0;15347.0;3504.0;0.0;;;;;;;;;;;;
828;Deliveries for bunkers;2006 January;70.8;;;;;;;;;;;;;59.1;5.2;3.2;2.0;0.0;53.9;0.1;53.9;11.7;11.7;0.0;;;;;;;;;;;;;;;;122.0;75.0;46.0;1.0;1315.0;1.0;1314.0;268.0;0.0;;;;;;;;;;;;
829;Deliveries for bunkers;2006 February;64.0;;;;;;;;;;;;;53.5;5.5;3.3;2.1;0.1;48.0;0.0;48.0;10.5;10.5;0.0;;;;;;;;;;;;;;;;129.0;78.0;48.0;3.0;1171.0;1.0;1171.0;241.0;0.0;;;;;;;;;;;;
830;Deliveries for bunkers;2006 March;72.4;;;;;;;;;;;;;59.9;6.0;3.5;2.4;0.1;53.9;0.3;53.6;12.4;12.4;0.0;;;;;;;;;;;;;;;;141.0;82.0;57.0;2.0;1314.0;6.0;1308.0;286.0;0.0;;;;;;;;;;;;
831;Deliveries for bunkers;2006 1st quarter;207.2;;;;;;;;;;;;;172.6;16.8;10.0;6.5;0.3;155.8;0.3;155.5;34.6;34.6;0.0;;;;;;;;;;;;;;;;392.0;235.0;151.0;6.0;3801.0;8.0;3793.0;795.0;0.0;;;;;;;;;;;;
832;Deliveries for bunkers;2006 April;68.9;;;;;;;;;;;;;56.6;5.9;3.6;2.2;0.1;50.7;0.0;50.7;12.3;12.3;0.0;;;;;;;;;;;;;;;;136.0;83.0;52.0;1.0;1237.0;0.0;1236.0;283.0;0.0;;;;;;;;;;;;
833;Deliveries for bunkers;2006 May;73.6;;;;;;;;;;;;;60.8;5.8;3.2;2.5;0.1;55.1;0.0;55.1;12.7;12.7;0.0;;;;;;;;;;;;;;;;135.0;75.0;58.0;2.0;1344.0;0.0;1344.0;293.0;0.0;;;;;;;;;;;;
834;Deliveries for bunkers;2006 June;76.0;;;;;;;;;;;;;62.3;5.4;3.0;2.2;0.2;56.9;0.0;56.9;13.7;13.7;0.0;;;;;;;;;;;;;;;;126.0;70.0;52.0;4.0;1388.0;0.0;1389.0;315.0;0.0;;;;;;;;;;;;
835;Deliveries for bunkers;2006 2nd quarter;218.5;;;;;;;;;;;;;179.7;16.9;9.7;6.9;0.3;162.7;0.0;162.7;38.7;38.7;0.0;;;;;;;;;;;;;;;;399.0;228.0;163.0;8.0;3969.0;0.0;3969.0;891.0;0.0;;;;;;;;;;;;
836;Deliveries for bunkers;2006 July;81.6;;;;;;;;;;;;;67.6;5.6;2.9;2.6;0.1;62.1;0.0;62.0;14.0;14.0;0.0;;;;;;;;;;;;;;;;129.0;68.0;60.0;1.0;1514.0;1.0;1513.0;321.0;0.0;;;;;;;;;;;;
837;Deliveries for bunkers;2006 August;78.6;;;;;;;;;;;;;64.3;6.3;3.7;2.5;0.1;58.0;0.2;57.8;14.4;14.4;0.0;;;;;;;;;;;;;;;;147.0;86.0;58.0;3.0;1415.0;6.0;1409.0;330.0;0.0;;;;;;;;;;;;
838;Deliveries for bunkers;2006 September;80.6;;;;;;;;;;;;;66.2;5.7;3.3;2.3;0.1;60.5;0.0;60.5;14.3;14.3;0.0;;;;;;;;;;;;;;;;134.0;77.0;54.0;3.0;1476.0;0.0;1476.0;330.0;0.0;;;;;;;;;;;;
839;Deliveries for bunkers;2006 3rd quarter;240.8;;;;;;;;;;;;;198.1;17.5;9.9;7.3;0.3;180.6;0.3;180.3;42.7;42.7;0.0;;;;;;;;;;;;;;;;411.0;232.0;172.0;7.0;4405.0;7.0;4398.0;981.0;0.0;;;;;;;;;;;;
840;Deliveries for bunkers;2006 October;75.1;;;;;;;;;;;;;61.6;5.6;3.3;2.2;0.1;56.0;0.4;55.6;13.5;13.5;0.0;;;;;;;;;;;;;;;;131.0;77.0;51.0;3.0;1367.0;11.0;1356.0;310.0;0.0;;;;;;;;;;;;
