ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;Scheduled_4;NonScheduled_5;TotalArrivalsFlights_6;Scheduled_7;NonScheduled_8;TotalDeparturesFlights_9;Scheduled_10;NonScheduled_11;TotalPassengers_12;Scheduled_13;NonScheduled_14;TotalArrivalsPassengers_15;Scheduled_16;NonScheduled_17;TotalDeparturesPassengers_18;Scheduled_19;NonScheduled_20;TotalCountryOfOriginDestination_21;EuropeTotal_22;EUCountries_23;OtherEurope_24;TotalIntercontinentalPassengers_25;Africa_26;NorthAfrica_27;WestAfrica_28;CentralAfrica_29;EastAfrica_30;SouthAfrica_31;America_32;NorthAmerica_33;CentralAmerica_34;SouthAmerica_35;Asia_36;WestAsia_37;SouthEastAsia_38;NorthEastAsia_39;Oceania_40;OtherUnknown_41;Unknown_42;TotalCargo_43;ScheduledCargo_44;NonScheduledCargo_45;TotalUnloadedCargo_46;ScheduledCargo_47;NonScheduledCargo_48;TotalLoadedCargo_49;ScheduledCargo_50;NonScheduledCargo_51;TotalCountryOfOriginDestination_52;EuropeTotalCargo_53;EUCountries_54;OtherEurope_55;TotalIntercontinentalCargo_56;Africa_57;NorthAfrica_58;WestAfrica_59;CentralAfrica_60;EastAfrica_61;SouthAfrica_62;America_63;NorthAmerica_64;CentralAmerica_65;SouthAmerica_66;Asia_67;WestAsia_68;SouthEastAsia_69;NorthEastAsia_70;Oceania_71;OtherUnknown_72;Unknown_73;TotalMail_74;ScheduledMail_75;NonScheduledCargoMail_76;TotalUnloadedMail_77;ScheduledMail_78;NonScheduledMail_79;TotalLoadedMail_80;ScheduledMail_81;NonScheduledMail_82;TotalCountryOfOriginDestination_83;EuropeTotalMail_84;EUCountries_85;OtherEurope_86;TotalIntercontinentalMail_87;Africa_88;NorthAfrica_89;WestAfrica_90;CentralAfrica_91;EastAfrica_92;SouthAfrica_93;America_94;NorthAmerica_95;CentralAmerica_96;SouthAmerica_97;Asia_98;WestAsia_99;SouthEastAsia_100;NorthEastAsia_101;Oceania_102
2080;Maastricht Aachen Airport;2016 May;790;954;343;278.0;65;172;139.0;33;171;139.0;32;20207;19816.0;391;10441;10244.0;197;9766;9572.0;194;20207;20207;18704;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4097;3917;180;2545;2453;92;1552;1464;88;4097;1687;565;1122;2410;128;0;0;0;85;43;1344;16;0;1328;938;938;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2081;Maastricht Aachen Airport;2016 June;946;988;500;422.0;78;250;211.0;39;250;211.0;39;42144;41763.0;381;21002;20765.0;237;21142;20998.0;144;42144;42144;37801;4343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3037;2768;269;1504;1337;167;1534;1431;103;3037;1784;220;1564;1253;323;0;52;0;271;0;206;19;0;187;724;688;0;36;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2082;Maastricht Aachen Airport;2016 2nd quarter;2552;3276;1210;938.0;272;608;469.0;139;602;469.0;133;79512;73825.0;5687;39985;36903.0;3082;39527;36922.0;2605;79512;79503;73449;6054;9;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;11304;10533;771;6498;6042;455;4806;4491;315;11304;5236;1241;3996;6068;709;33;81;0;552;43;2725;67;10;2648;2633;2597;0;36;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2083;Maastricht Aachen Airport;2016 July;838;940;318;230.0;88;161;115.0;46;157;115.0;42;17441;17048.0;393;8098;7897.0;201;9343;9151.0;192;17441;17427;17161;266;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;10;2219;1957;263;1040;849;191;1179;1108;72;2219;1463;182;1280;757;181;0;31;0;150;0;28;28;0;0;548;548;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2084;Maastricht Aachen Airport;2016 August;713;580;283;222.0;61;145;111.0;34;138;111.0;27;18147;17734.0;413;9620;9411.0;209;8527;8323.0;204;18147;18147;18147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2283;2157;126;1225;1125;100;1058;1033;26;2283;1852;119;1733;431;205;0;205;0;0;0;23;23;0;0;203;203;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2085;Maastricht Aachen Airport;2016 September;634;438;275;199.0;76;138;99.0;39;137;100.0;37;13600;13014.0;586;6981;6831.0;150;6619;6183.0;436;13600;13585;13585;0;6;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;9;2058;2027;31;1055;1055;0;1003;972;30;2058;1549;108;1441;509;107;0;107;0;0;0;48;48;0;0;354;354;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2086;Maastricht Aachen Airport;2016 3rd quarter;2185;1958;876;651.0;225;444;325.0;119;432;326.0;106;49188;47796.0;1392;24699;24139.0;560;24489;23657.0;832;49188;49159;48893;266;10;4;0;0;0;4;0;0;0;0;0;6;6;0;0;0;0;19;6560;6141;419;3320;3029;291;3240;3112;128;6560;4864;410;4454;1696;493;0;342;0;150;0;99;99;0;0;1105;1105;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2087;Maastricht Aachen Airport;2016 October;663;910;312;243.0;69;157;119.0;38;155;124.0;31;15100;13655.0;1445;8218;7138.0;1080;6882;6517.0;365;15100;15098;15098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5204;5088;116;2528;2412;116;2676;2676;0;5204;4206;139;4067;997;181;0;181;0;0;0;107;107;0;0;709;709;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2088;Maastricht Aachen Airport;2016 November;631;919;280;218.0;62;141;109.0;32;139;109.0;30;6486;5522.0;964;3494;3009.0;485;2992;2513.0;479;6486;6486;6484;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6648;6241;408;3440;3150;290;3208;3091;117;6648;5395;119;5276;1253;151;5;145;0;0;0;86;86;0;0;1016;1016;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2089;Maastricht Aachen Airport;2016 December;572;1014;267;190.0;77;136;95.0;41;131;95.0;36;6877;4687.0;2190;3975;2126.0;1849;2902;2561.0;341;6877;6877;6531;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5312;4812;501;2459;2135;324;2853;2677;177;5312;3982;128;3854;1330;229;0;229;0;0;0;104;104;0;0;997;997;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2090;Maastricht Aachen Airport;2016 4th quarter;1866;2843;859;651.0;208;434;323.0;111;425;328.0;97;28463;23864.0;4599;15687;12273.0;3414;12776;11591.0;1185;28463;28461;28113;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;17164;16140;1024;8427;7697;730;8737;8443;294;17164;13584;387;13197;3580;561;5;555;0;0;0;297;297;0;0;2722;2722;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2091;Maastricht Aachen Airport;2016;8683;10605;3931;3000.0;931;1984;1498.0;486;1947;1502.0;445;176562;161710.0;14852;89973;81287.0;8686;86589;80423.0;6166;176562;176519;169602;6917;19;4;0;0;0;4;0;9;9;0;0;6;6;0;0;0;0;24;60480;57548;2932;32755;30877;1878;27725;26671;1054;60480;29670;3116;26554;30810;13074;84;1108;0;10735;1146;6042;589;107;5345;11695;10210;0;1485;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2092;Maastricht Aachen Airport;2017 January;476;592;229;168.0;61;113;83.0;30;116;85.0;31;6095;5389.0;706;3265;2775.0;490;2830;2614.0;216;6095;6087;5917;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2923;2913;10;1560;1560;0;1363;1353;10;2923;2054;110;1944;869;60;0;60;0;0;0;7;7;0;0;803;803;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2093;Maastricht Aachen Airport;2017 February;580;468;284;198.0;86;143;99.0;44;141;99.0;42;5562;4927.0;635;2660;2268.0;392;2902;2659.0;243;5562;5560;5496;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5677;4900;777;2498;2145;353;3178;2754;424;5677;4323;101;4222;1255;281;0;39;0;242;0;22;22;0;0;951;951;0;0;0;0;99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2094;Maastricht Aachen Airport;2017 March;991;1198;328;223.0;105;168;111.0;57;160;112.0;48;6847;6477.0;370;3163;2991.0;172;3684;3486.0;198;6847;6845;6843;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6917;5887;1030;3122;2735;387;3795;3151;643;6917;5627;131;5496;1290;234;0;234;0;0;0;0;0;0;0;1056;1056;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2095;Maastricht Aachen Airport;2017 1st quarter;2047;2258;841;589.0;252;424;293.0;131;417;296.0;121;18504;16793.0;1711;9088;8034.0;1054;9416;8759.0;657;18504;18492;18256;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;15516;13699;1817;7180;6440;740;8336;7259;1077;15516;12004;341;11662;3413;574;0;332;0;242;0;29;29;0;0;2810;2810;0;0;0;0;99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2096;Maastricht Aachen Airport;2017 April;788;750;341;255.0;86;165;127.0;38;176;128.0;48;15478;14700.0;778;7366;6838.0;528;8112;7862.0;250;15478;15475;15470;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5478;5238;240;2583;2448;135;2895;2790;105;5478;4194;154;4040;1201;231;3;228;0;0;0;26;13;0;13;944;944;0;0;0;0;83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2097;Maastricht Aachen Airport;2017 May;841;796;431;324.0;107;215;162.0;53;216;162.0;54;21751;21276.0;475;10761;10487.0;274;10990;10789.0;201;21751;21742;21227;515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6034;4924;1110;3072;2402;670;2962;2522;440;6034;4806;262;4544;1228;207;0;135;0;72;0;47;47;0;0;974;974;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2098;Maastricht Aachen Airport;2017 June;852;1740;386;300.0;86;188;150.0;38;198;150.0;48;18631;18156.0;475;9394;9158.0;236;9237;8998.0;239;18631;18624;17704;920;3;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;4;4813;4685;128;2469;2421;48;2344;2264;80;4813;4122;113;4009;691;74;0;74;0;0;0;22;22;0;0;594;594;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2099;Maastricht Aachen Airport;2017 2nd quarter;2481;3286;1158;879.0;279;568;439.0;129;590;440.0;150;55860;54132.0;1728;27521;26483.0;1038;28339;27649.0;690;55860;55841;54401;1440;3;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;16;16325;14847;1478;8124;7271;853;8202;7576;625;16325;13122;529;12593;3120;513;3;437;0;72;0;95;82;0;13;2512;2512;0;0;0;0;83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2100;Maastricht Aachen Airport;2017 July;872;1214;407;332.0;75;209;166.0;43;198;166.0;32;22693;22210.0;483;10567;10148.0;419;12126;12062.0;64;22693;22686;21316;1370;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;6634;5875;759;3130;2736;394;3504;3139;365;6634;5249;152;5097;1385;367;0;75;0;292;0;28;28;0;0;991;991;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2101;Maastricht Aachen Airport;2017 August;839;866;390;330.0;60;195;165.0;30;195;165.0;30;23054;22794.0;260;12265;12135.0;130;10789;10659.0;130;23054;23051;21614;1437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7403;7249;154;3987;3931;56;3416;3318;98;7403;6857;141;6716;546;441;2;151;0;288;0;24;24;0;0;81;81;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2102;Maastricht Aachen Airport;2017 September;824;406;440;355.0;85;221;179.0;42;219;176.0;43;21509;21128.0;381;10474;10122.0;352;11035;11006.0;29;21509;21502;20173;1329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8178;7322;856;4488;4006;482;3691;3316;375;8178;6492;98;6395;1686;510;0;240;0;270;0;83;0;0;83;1093;1093;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2103;Maastricht Aachen Airport;2017 3rd quarter;2535;2486;1237;1017.0;220;625;510.0;115;612;507.0;105;67256;66132.0;1124;33306;32405.0;901;33950;33727.0;223;67256;67239;63103;4136;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;15;22215;20446;1769;11605;10673;931;10610;9773;838;22215;18598;391;18207;3617;1318;2;466;0;850;0;135;52;0;83;2164;2164;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2104;Maastricht Aachen Airport;2017 October;749;772;411;330.0;81;208;164.0;44;203;166.0;37;18813;18446.0;367;10203;10017.0;186;8610;8429.0;181;18813;18807;17618;1189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9550;8539;1011;5005;4465;540;4545;4074;471;9550;6501;108;6393;3049;1098;0;95;0;796;208;0;0;0;0;1951;1831;0;120;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2105;Maastricht Aachen Airport;2017 November;678;444;416;262.0;154;206;132.0;74;210;130.0;80;3222;2981.0;241;1669;1611.0;58;1553;1370.0;183;3222;3216;3214;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11955;11566;389;6291;6104;187;5664;5462;202;11955;8306;165;8141;3648;1175;0;263;0;771;141;191;191;0;0;2283;1756;0;527;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2106;Maastricht Aachen Airport;2017 December;563;60;356;255.0;101;180;127.0;53;176;128.0;48;3889;2531.0;1358;2314;1196.0;1118;1575;1335.0;240;3889;3889;3889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11209;10653;556;5555;5301;254;5654;5352;302;11209;6445;387;6058;4764;1692;3;182;0;1209;298;15;15;0;0;3057;2091;0;966;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2107;Maastricht Aachen Airport;2017 4th quarter;1990;1276;1183;847.0;336;594;423.0;171;589;424.0;165;25924;23958.0;1966;14186;12824.0;1362;11738;11134.0;604;25924;25912;24721;1191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;32714;30757;1956;16851;15870;981;15862;14888;975;32714;21252;660;20592;11462;3965;3;539;0;2776;647;206;206;0;0;7290;5678;0;1612;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2108;Maastricht Aachen Airport;2017;9053;9306;4419;3332.0;1087;2211;1665.0;546;2208;1667.0;541;167544;161015.0;6529;84101;79746.0;4355;83443;81269.0;2174;167544;167484;160481;7003;5;2;0;0;0;2;0;0;0;0;0;3;3;0;0;0;0;55;86770;79749;7020;43760;40254;3506;43010;39496;3515;86770;64976;1921;63055;21612;6370;9;1774;0;3941;647;466;370;0;96;14776;13164;0;1612;0;0;183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2109;Maastricht Aachen Airport;2018 January;535;385;291;230.0;61;145;113.0;32;146;117.0;29;3286;2941.0;345;1727;1517.0;210;1559;1424.0;135;3286;3285;3220;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7157;6913;244;3760;3592;167;3397;3320;76;7157;3332;167;3165;3824;1733;3;39;0;1412;278;0;0;0;0;2091;1860;0;231;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2110;Maastricht Aachen Airport;2018 February;624;614;334;264.0;70;170;132.0;38;164;132.0;32;3022;2562.0;460;1475;1336.0;139;1547;1226.0;321;3022;3017;3017;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;8936;8352;584;4624;4295;329;4312;4057;255;8936;4411;205;4206;4526;2436;0;21;0;2105;310;533;154;33;346;1557;1476;0;81;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2111;Maastricht Aachen Airport;2018 March;920;572;371;287.0;84;190;143.0;47;181;144.0;37;5502;4562.0;940;2854;2100.0;754;2648;2462.0;186;5502;5500;5331;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9105;8926;178;4240;4063;178;4864;4864;1;9105;4651;242;4408;4454;1934;1;57;0;1507;370;236;68;83;85;2283;2199;0;84;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2112;Maastricht Aachen Airport;2018 1st quarter;2079;1571;996;781.0;215;505;388.0;117;491;393.0;98;11810;10065.0;1745;6056;4953.0;1103;5754;5112.0;642;11810;11802;11568;234;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;25198;24192;1006;12624;11950;674;12574;12242;332;25198;12394;614;11779;12804;6103;4;117;0;5024;958;770;223;115;432;5931;5535;0;396;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2113;Maastricht Aachen Airport;2018 April;949;656;505;393.0;112;255;197.0;58;250;196.0;54;17477;16820.0;657;6559;6321.0;238;10918;10499.0;419;17477;17090;13493;3597;378;378;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8241;8175;65;4231;4181;51;4010;3995;15;8241;3633;212;3421;4608;898;9;151;0;687;51;327;102;44;181;3383;3000;0;383;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2114;Maastricht Aachen Airport;2018 May;992;578;575;492.0;83;290;246.0;44;285;246.0;39;34418;33517.0;901;16309;15748.0;561;18109;17769.0;340;34418;33542;28618;4924;871;688;684;0;0;4;0;183;183;0;0;0;0;0;0;0;0;5;7828;7645;183;4062;3881;181;3766;3763;3;7828;3078;102;2976;4750;920;38;98;0;784;0;441;230;57;154;3389;2860;0;529;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2115;Maastricht Aachen Airport;2018 June;842;328;491;424.0;67;243;212.0;31;248;212.0;36;31299;30677.0;622;15338;14856.0;482;15961;15821.0;140;31299;30569;27054;3515;726;721;721;0;0;0;0;5;5;0;0;0;0;0;0;0;0;4;6122;5990;132;2575;2470;105;3546;3520;26;6122;2856;103;2753;3266;703;0;45;0;657;0;273;189;85;0;2290;1660;0;630;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2116;Maastricht Aachen Airport;2018 2nd quarter;2783;1562;1571;1309.0;262;788;655.0;133;783;654.0;129;83194;81014.0;2180;38206;36925.0;1281;44988;44089.0;899;83194;81201;69165;12036;1975;1787;1783;0;0;4;0;188;188;0;0;0;0;0;0;0;0;18;22191;21810;380;10869;10532;337;11322;11278;44;22191;9566;417;9149;12625;2520;47;295;0;2128;51;1042;521;185;336;9063;7520;0;1543;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2117;Maastricht Aachen Airport;2018 July;1093;322;641;577.0;64;319;288.0;31;322;289.0;33;46636;46617.0;19;20027;20021.0;6;26609;26596.0;13;46636;43918;35579;8339;2712;2712;2712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6611;6525;87;2940;2855;85;3672;3670;2;6611;3850;120;3730;2762;520;0;47;0;473;0;274;211;42;21;1968;1563;0;405;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2118;Maastricht Aachen Airport;2018 August;1073;300;685;600.0;85;341;299.0;42;344;301.0;43;53040;52736.0;304;27323;27092.0;231;25717;25644.0;73;53040;50391;39554;10837;2646;2646;2645;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;7392;7316;76;3861;3786;75;3531;3530;0;7392;4114;103;4011;3278;878;0;80;0;797;0;489;377;74;38;1911;1357;0;554;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2119;Maastricht Aachen Airport;2018 September;964;254;589;470.0;119;298;236.0;62;291;234.0;57;34945;34909.0;36;17282;17262.0;20;17663;17647.0;16;34945;34062;29365;4697;871;871;871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8901;8577;324;4726;4418;308;4175;4159;16;8901;5195;113;5082;3706;436;0;174;0;261;0;376;251;82;44;2894;1580;0;1314;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
