ID;RegistrationInDonorregister;Regions;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
392;Total registered and non-registered;Almelo;2016;62.8;100.0
393;Total registered and non-registered;Almelo;2017;63.1;100.0
394;Total registered and non-registered;Almelo;2018;63.3;100.0
395;Total registered and non-registered;Almelo;2019;63.8;100.0
396;Total registered and non-registered;Almere;2014;164.6;100.0
397;Total registered and non-registered;Almere;2015;165.9;100.0
398;Total registered and non-registered;Almere;2016;167.5;100.0
399;Total registered and non-registered;Almere;2017;170.2;100.0
400;Total registered and non-registered;Almere;2018;173.2;100.0
401;Total registered and non-registered;Almere;2019;176.8;100.0
402;Total registered and non-registered;Alphen aan den Rijn;2014;91.7;100.0
403;Total registered and non-registered;Alphen aan den Rijn;2015;92.5;100.0
404;Total registered and non-registered;Alphen aan den Rijn;2016;93.2;100.0
405;Total registered and non-registered;Alphen aan den Rijn;2017;94.3;100.0
406;Total registered and non-registered;Alphen aan den Rijn;2018;95.1;100.0
407;Total registered and non-registered;Alphen aan den Rijn;2019;96.4;100.0
408;Total registered and non-registered;Alphen-Chaam;2014;8.5;100.0
409;Total registered and non-registered;Alphen-Chaam;2015;8.6;100.0
410;Total registered and non-registered;Alphen-Chaam;2016;8.8;100.0
411;Total registered and non-registered;Alphen-Chaam;2017;8.9;100.0
412;Total registered and non-registered;Alphen-Chaam;2018;8.9;100.0
413;Total registered and non-registered;Alphen-Chaam;2019;8.9;100.0
414;Total registered and non-registered;Altena;2014;;
415;Total registered and non-registered;Altena;2015;;
416;Total registered and non-registered;Altena;2016;;
417;Total registered and non-registered;Altena;2017;;
418;Total registered and non-registered;Altena;2018;;
419;Total registered and non-registered;Altena;2019;;
420;Total registered and non-registered;Ameland;2014;3.1;100.0
421;Total registered and non-registered;Ameland;2015;3.1;100.0
422;Total registered and non-registered;Ameland;2016;3.1;100.0
423;Total registered and non-registered;Ameland;2017;3.1;100.0
424;Total registered and non-registered;Ameland;2018;3.2;100.0
425;Total registered and non-registered;Ameland;2019;3.2;100.0
426;Total registered and non-registered;Amersfoort;2014;126.4;100.0
427;Total registered and non-registered;Amersfoort;2015;128.2;100.0
428;Total registered and non-registered;Amersfoort;2016;129.6;100.0
429;Total registered and non-registered;Amersfoort;2017;130.9;100.0
430;Total registered and non-registered;Amersfoort;2018;132.0;100.0
431;Total registered and non-registered;Amersfoort;2019;133.4;100.0
432;Total registered and non-registered;Amstelveen;2014;73.4;100.0
433;Total registered and non-registered;Amstelveen;2015;75.1;100.0
434;Total registered and non-registered;Amstelveen;2016;76.1;100.0
435;Total registered and non-registered;Amstelveen;2017;76.6;100.0
436;Total registered and non-registered;Amstelveen;2018;76.9;100.0
437;Total registered and non-registered;Amstelveen;2019;77.8;100.0
438;Total registered and non-registered;Amsterdam;2014;705.9;100.0
439;Total registered and non-registered;Amsterdam;2015;716.4;100.0
440;Total registered and non-registered;Amsterdam;2016;726.7;100.0
441;Total registered and non-registered;Amsterdam;2017;737.9;100.0
442;Total registered and non-registered;Amsterdam;2018;749.7;100.0
443;Total registered and non-registered;Amsterdam;2019;759.1;100.0
444;Total registered and non-registered;Apeldoorn;2014;136.9;100.0
445;Total registered and non-registered;Apeldoorn;2015;137.8;100.0
446;Total registered and non-registered;Apeldoorn;2016;138.9;100.0
447;Total registered and non-registered;Apeldoorn;2017;139.9;100.0
448;Total registered and non-registered;Apeldoorn;2018;141.1;100.0
449;Total registered and non-registered;Apeldoorn;2019;142.5;100.0
450;Total registered and non-registered;Appingedam;2014;10.6;100.0
451;Total registered and non-registered;Appingedam;2015;10.6;100.0
452;Total registered and non-registered;Appingedam;2016;10.6;100.0
453;Total registered and non-registered;Appingedam;2017;10.6;100.0
454;Total registered and non-registered;Appingedam;2018;10.4;100.0
455;Total registered and non-registered;Appingedam;2019;10.4;100.0
456;Total registered and non-registered;Arnhem;2014;130.4;100.0
457;Total registered and non-registered;Arnhem;2015;131.8;100.0
458;Total registered and non-registered;Arnhem;2016;133.3;100.0
459;Total registered and non-registered;Arnhem;2017;135.2;100.0
460;Total registered and non-registered;Arnhem;2018;136.9;100.0
461;Total registered and non-registered;Arnhem;2019;139.0;100.0
462;Total registered and non-registered;Assen;2014;57.6;100.0
463;Total registered and non-registered;Assen;2015;57.8;100.0
464;Total registered and non-registered;Assen;2016;58.0;100.0
465;Total registered and non-registered;Assen;2017;58.6;100.0
466;Total registered and non-registered;Assen;2018;58.9;100.0
467;Total registered and non-registered;Assen;2019;59.4;100.0
468;Total registered and non-registered;Asten;2014;14.3;100.0
469;Total registered and non-registered;Asten;2015;14.5;100.0
470;Total registered and non-registered;Asten;2016;14.6;100.0
471;Total registered and non-registered;Asten;2017;14.7;100.0
472;Total registered and non-registered;Asten;2018;14.8;100.0
473;Total registered and non-registered;Asten;2019;14.8;100.0
474;Total registered and non-registered;Baarle-Nassau;2014;5.9;100.0
475;Total registered and non-registered;Baarle-Nassau;2015;5.9;100.0
476;Total registered and non-registered;Baarle-Nassau;2016;5.9;100.0
477;Total registered and non-registered;Baarle-Nassau;2017;6.0;100.0
478;Total registered and non-registered;Baarle-Nassau;2018;6.1;100.0
479;Total registered and non-registered;Baarle-Nassau;2019;6.1;100.0
480;Total registered and non-registered;Baarn;2014;21.2;100.0
481;Total registered and non-registered;Baarn;2015;21.3;100.0
482;Total registered and non-registered;Baarn;2016;21.5;100.0
483;Total registered and non-registered;Baarn;2017;21.4;100.0
484;Total registered and non-registered;Baarn;2018;21.5;100.0
485;Total registered and non-registered;Baarn;2019;21.7;100.0
486;Total registered and non-registered;Barendrecht;2014;39.7;100.0
487;Total registered and non-registered;Barendrecht;2015;40.0;100.0
488;Total registered and non-registered;Barendrecht;2016;40.6;100.0
489;Total registered and non-registered;Barendrecht;2017;41.1;100.0
490;Total registered and non-registered;Barendrecht;2018;41.4;100.0
491;Total registered and non-registered;Barendrecht;2019;41.8;100.0
492;Total registered and non-registered;Barneveld;2014;44.7;100.0
493;Total registered and non-registered;Barneveld;2015;45.2;100.0
494;Total registered and non-registered;Barneveld;2016;45.9;100.0
495;Total registered and non-registered;Barneveld;2017;46.7;100.0
496;Total registered and non-registered;Barneveld;2018;47.4;100.0
497;Total registered and non-registered;Barneveld;2019;48.0;100.0
498;Total registered and non-registered;Bedum;2014;9.1;100.0
499;Total registered and non-registered;Bedum;2015;9.1;100.0
500;Total registered and non-registered;Bedum;2016;9.1;100.0
501;Total registered and non-registered;Bedum;2017;9.2;100.0
502;Total registered and non-registered;Bedum;2018;9.2;100.0
503;Total registered and non-registered;Bedum;2019;9.1;100.0
504;Total registered and non-registered;Beek (L.);2014;14.7;100.0
505;Total registered and non-registered;Beek (L.);2015;14.6;100.0
506;Total registered and non-registered;Beek (L.);2016;14.6;100.0
507;Total registered and non-registered;Beek (L.);2017;14.5;100.0
508;Total registered and non-registered;Beek (L.);2018;14.4;100.0
509;Total registered and non-registered;Beek (L.);2019;14.5;100.0
510;Total registered and non-registered;Beekdaelen;2014;;
511;Total registered and non-registered;Beekdaelen;2015;;
512;Total registered and non-registered;Beekdaelen;2016;;
513;Total registered and non-registered;Beekdaelen;2017;;
514;Total registered and non-registered;Beekdaelen;2018;;
515;Total registered and non-registered;Beekdaelen;2019;;
516;Total registered and non-registered;Beemster;2014;7.8;100.0
517;Total registered and non-registered;Beemster;2015;7.8;100.0
518;Total registered and non-registered;Beemster;2016;7.8;100.0
519;Total registered and non-registered;Beemster;2017;8.0;100.0
520;Total registered and non-registered;Beemster;2018;8.3;100.0
521;Total registered and non-registered;Beemster;2019;8.4;100.0
522;Total registered and non-registered;Beesel;2014;11.9;100.0
523;Total registered and non-registered;Beesel;2015;11.9;100.0
524;Total registered and non-registered;Beesel;2016;11.8;100.0
525;Total registered and non-registered;Beesel;2017;11.9;100.0
526;Total registered and non-registered;Beesel;2018;12.0;100.0
527;Total registered and non-registered;Beesel;2019;12.1;100.0
528;Total registered and non-registered;Bellingwedde;2014;;
529;Total registered and non-registered;Bellingwedde;2015;;
530;Total registered and non-registered;Bellingwedde;2016;;
531;Total registered and non-registered;Bellingwedde;2017;;
532;Total registered and non-registered;Bellingwedde;2018;;
533;Total registered and non-registered;Bellingwedde;2019;;
534;Total registered and non-registered;Berg en Dal;2014;30.4;100.0
535;Total registered and non-registered;Berg en Dal;2015;30.5;100.0
536;Total registered and non-registered;Berg en Dal;2016;30.9;100.0
537;Total registered and non-registered;Berg en Dal;2017;31.1;100.0
538;Total registered and non-registered;Berg en Dal;2018;31.1;100.0
539;Total registered and non-registered;Berg en Dal;2019;31.2;100.0
540;Total registered and non-registered;Bergambacht;2014;;
541;Total registered and non-registered;Bergambacht;2015;;
542;Total registered and non-registered;Bergambacht;2016;;
543;Total registered and non-registered;Bergambacht;2017;;
544;Total registered and non-registered;Bergambacht;2018;;
545;Total registered and non-registered;Bergambacht;2019;;
546;Total registered and non-registered;Bergeijk;2014;16.0;100.0
547;Total registered and non-registered;Bergeijk;2015;16.0;100.0
548;Total registered and non-registered;Bergeijk;2016;16.1;100.0
549;Total registered and non-registered;Bergeijk;2017;16.2;100.0
550;Total registered and non-registered;Bergeijk;2018;16.3;100.0
551;Total registered and non-registered;Bergeijk;2019;16.4;100.0
552;Total registered and non-registered;Bergen (L.);2014;11.7;100.0
553;Total registered and non-registered;Bergen (L.);2015;11.7;100.0
554;Total registered and non-registered;Bergen (L.);2016;11.7;100.0
555;Total registered and non-registered;Bergen (L.);2017;11.7;100.0
556;Total registered and non-registered;Bergen (L.);2018;11.7;100.0
557;Total registered and non-registered;Bergen (L.);2019;11.8;100.0
558;Total registered and non-registered;Bergen (NH.);2014;27.0;100.0
559;Total registered and non-registered;Bergen (NH.);2015;27.1;100.0
560;Total registered and non-registered;Bergen (NH.);2016;27.1;100.0
561;Total registered and non-registered;Bergen (NH.);2017;27.1;100.0
562;Total registered and non-registered;Bergen (NH.);2018;27.3;100.0
563;Total registered and non-registered;Bergen (NH.);2019;27.4;100.0
564;Total registered and non-registered;Bergen op Zoom;2014;58.3;100.0
565;Total registered and non-registered;Bergen op Zoom;2015;58.3;100.0
566;Total registered and non-registered;Bergen op Zoom;2016;58.4;100.0
567;Total registered and non-registered;Bergen op Zoom;2017;58.3;100.0
568;Total registered and non-registered;Bergen op Zoom;2018;58.5;100.0
569;Total registered and non-registered;Bergen op Zoom;2019;59.0;100.0
570;Total registered and non-registered;Berkelland;2014;39.0;100.0
571;Total registered and non-registered;Berkelland;2015;38.9;100.0
572;Total registered and non-registered;Berkelland;2016;39.2;100.0
573;Total registered and non-registered;Berkelland;2017;39.1;100.0
574;Total registered and non-registered;Berkelland;2018;39.1;100.0
575;Total registered and non-registered;Berkelland;2019;39.2;100.0
576;Total registered and non-registered;Bernheze;2014;25.6;100.0
577;Total registered and non-registered;Bernheze;2015;25.7;100.0
578;Total registered and non-registered;Bernheze;2016;26.0;100.0
579;Total registered and non-registered;Bernheze;2017;26.4;100.0
580;Total registered and non-registered;Bernheze;2018;26.8;100.0
581;Total registered and non-registered;Bernheze;2019;27.1;100.0
582;Total registered and non-registered;Bernisse;2014;;
583;Total registered and non-registered;Bernisse;2015;;
584;Total registered and non-registered;Bernisse;2016;;
585;Total registered and non-registered;Bernisse;2017;;
586;Total registered and non-registered;Bernisse;2018;;
587;Total registered and non-registered;Bernisse;2019;;
588;Total registered and non-registered;Best;2014;24.7;100.0
589;Total registered and non-registered;Best;2015;25.0;100.0
590;Total registered and non-registered;Best;2016;25.3;100.0
591;Total registered and non-registered;Best;2017;25.6;100.0
592;Total registered and non-registered;Best;2018;25.9;100.0
593;Total registered and non-registered;Best;2019;26.3;100.0
594;Total registered and non-registered;Beuningen;2014;22.1;100.0
595;Total registered and non-registered;Beuningen;2015;22.2;100.0
596;Total registered and non-registered;Beuningen;2016;22.3;100.0
597;Total registered and non-registered;Beuningen;2017;22.5;100.0
598;Total registered and non-registered;Beuningen;2018;22.8;100.0
599;Total registered and non-registered;Beuningen;2019;22.9;100.0
600;Total registered and non-registered;Beverwijk;2014;34.6;100.0
601;Total registered and non-registered;Beverwijk;2015;34.7;100.0
602;Total registered and non-registered;Beverwijk;2016;34.9;100.0
603;Total registered and non-registered;Beverwijk;2017;35.4;100.0
604;Total registered and non-registered;Beverwijk;2018;35.7;100.0
605;Total registered and non-registered;Beverwijk;2019;35.9;100.0
606;Total registered and non-registered;het Bildt;2014;;
607;Total registered and non-registered;het Bildt;2015;;
608;Total registered and non-registered;het Bildt;2016;;
609;Total registered and non-registered;het Bildt;2017;;
610;Total registered and non-registered;het Bildt;2018;;
611;Total registered and non-registered;het Bildt;2019;;
612;Total registered and non-registered;De Bilt;2014;36.5;100.0
613;Total registered and non-registered;De Bilt;2015;36.7;100.0
614;Total registered and non-registered;De Bilt;2016;36.8;100.0
615;Total registered and non-registered;De Bilt;2017;37.2;100.0
616;Total registered and non-registered;De Bilt;2018;37.3;100.0
617;Total registered and non-registered;De Bilt;2019;37.2;100.0
618;Total registered and non-registered;Binnenmaas;2014;24.9;100.0
619;Total registered and non-registered;Binnenmaas;2015;25.0;100.0
620;Total registered and non-registered;Binnenmaas;2016;25.1;100.0
621;Total registered and non-registered;Binnenmaas;2017;25.5;100.0
622;Total registered and non-registered;Binnenmaas;2018;25.5;100.0
623;Total registered and non-registered;Binnenmaas;2019;25.7;100.0
624;Total registered and non-registered;Bladel;2014;17.2;100.0
625;Total registered and non-registered;Bladel;2015;17.4;100.0
