ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
3134;Total male and female, including unknown;Total age;127;2010 1st Quarter;45;45
3135;Total male and female, including unknown;Total age;127;2010 April;35;35
3136;Total male and female, including unknown;Total age;127;2010 May;10;10
3137;Total male and female, including unknown;Total age;127;2010 June;15;15
3138;Total male and female, including unknown;Total age;127;2010 2nd Quarter;60;60
3139;Total male and female, including unknown;Total age;127;2010 July;10;10
3140;Total male and female, including unknown;Total age;127;2010 August;15;15
3141;Total male and female, including unknown;Total age;127;2010 September;10;10
3142;Total male and female, including unknown;Total age;127;2010 3rd Quarter;35;35
3143;Total male and female, including unknown;Total age;127;2010 October;10;10
3144;Total male and female, including unknown;Total age;127;2010 November;10;10
3145;Total male and female, including unknown;Total age;127;2010 December;10;10
3146;Total male and female, including unknown;Total age;127;2010 4th Quarter;30;25
3147;Total male and female, including unknown;Total age;127;2010;175;165
3148;Total male and female, including unknown;Total age;127;2011 January;25;25
3149;Total male and female, including unknown;Total age;127;2011 February;20;20
3150;Total male and female, including unknown;Total age;127;2011 March;15;15
3151;Total male and female, including unknown;Total age;127;2011 1st Quarter;60;55
3152;Total male and female, including unknown;Total age;127;2011 April;5;5
3153;Total male and female, including unknown;Total age;127;2011 May;15;15
3154;Total male and female, including unknown;Total age;127;2011 June;20;20
3155;Total male and female, including unknown;Total age;127;2011 2nd Quarter;45;40
3156;Total male and female, including unknown;Total age;127;2011 July;10;10
3157;Total male and female, including unknown;Total age;127;2011 August;15;10
3158;Total male and female, including unknown;Total age;127;2011 September;10;10
3159;Total male and female, including unknown;Total age;127;2011 3rd Quarter;30;25
3160;Total male and female, including unknown;Total age;127;2011 October;10;10
3161;Total male and female, including unknown;Total age;127;2011 November;0;0
3162;Total male and female, including unknown;Total age;127;2011 December;5;5
3163;Total male and female, including unknown;Total age;127;2011 4th Quarter;15;15
3164;Total male and female, including unknown;Total age;127;2011;150;135
3165;Total male and female, including unknown;Total age;127;2012 January;5;5
3166;Total male and female, including unknown;Total age;127;2012 February;5;5
3167;Total male and female, including unknown;Total age;127;2012 March;5;5
3168;Total male and female, including unknown;Total age;127;2012 1st Quarter;15;15
3169;Total male and female, including unknown;Total age;127;2012 April;5;5
3170;Total male and female, including unknown;Total age;127;2012 May;10;10
3171;Total male and female, including unknown;Total age;127;2012 June;10;10
3172;Total male and female, including unknown;Total age;127;2012 2nd Quarter;25;25
3173;Total male and female, including unknown;Total age;127;2012 July;10;10
3174;Total male and female, including unknown;Total age;127;2012 August;5;5
3175;Total male and female, including unknown;Total age;127;2012 September;15;10
3176;Total male and female, including unknown;Total age;127;2012 3rd Quarter;30;25
3177;Total male and female, including unknown;Total age;127;2012 October;10;10
3178;Total male and female, including unknown;Total age;127;2012 November;5;5
3179;Total male and female, including unknown;Total age;127;2012 December;15;15
3180;Total male and female, including unknown;Total age;127;2012 4th Quarter;35;30
3181;Total male and female, including unknown;Total age;127;2012;110;100
3182;Total male and female, including unknown;Total age;127;2013 January;15;10
3183;Total male and female, including unknown;Total age;127;2013 February;10;5
3184;Total male and female, including unknown;Total age;127;2013 March;20;15
3185;Total male and female, including unknown;Total age;127;2013 1st Quarter;40;30
3186;Total male and female, including unknown;Total age;127;2013 April;5;5
3187;Total male and female, including unknown;Total age;127;2013 May;20;15
3188;Total male and female, including unknown;Total age;127;2013 June;10;5
3189;Total male and female, including unknown;Total age;127;2013 2nd Quarter;35;25
3190;Total male and female, including unknown;Total age;127;2013 July;15;10
3191;Total male and female, including unknown;Total age;127;2013 August;10;5
3192;Total male and female, including unknown;Total age;127;2013 September;10;5
3193;Total male and female, including unknown;Total age;127;2013 3rd Quarter;30;25
3194;Total male and female, including unknown;Total age;127;2013 October;25;20
3195;Total male and female, including unknown;Total age;127;2013 November;15;15
3196;Total male and female, including unknown;Total age;127;2013 December;15;10
3197;Total male and female, including unknown;Total age;127;2013 4th Quarter;60;45
3198;Total male and female, including unknown;Total age;127;2013;165;125
3199;Total male and female, including unknown;Total age;127;2014 January;20;15
3200;Total male and female, including unknown;Total age;127;2014 February;15;10
3201;Total male and female, including unknown;Total age;127;2014 March;10;10
3202;Total male and female, including unknown;Total age;127;2014 1st Quarter;40;35
3203;Total male and female, including unknown;Total age;127;2014 April;10;5
3204;Total male and female, including unknown;Total age;127;2014 May;5;5
3205;Total male and female, including unknown;Total age;127;2014 June;10;10
3206;Total male and female, including unknown;Total age;127;2014 2nd Quarter;25;20
3207;Total male and female, including unknown;Total age;127;2014 July;10;10
3208;Total male and female, including unknown;Total age;127;2014 August;30;15
3209;Total male and female, including unknown;Total age;127;2014 September;25;10
3210;Total male and female, including unknown;Total age;127;2014 3rd Quarter;65;35
3211;Total male and female, including unknown;Total age;127;2014 October;15;10
3212;Total male and female, including unknown;Total age;127;2014 November;5;5
3213;Total male and female, including unknown;Total age;127;2014 December;5;0
3214;Total male and female, including unknown;Total age;127;2014 4th Quarter;30;15
3215;Total male and female, including unknown;Total age;127;2014;160;100
3216;Total male and female, including unknown;Total age;127;2015 January;10;5
3217;Total male and female, including unknown;Total age;127;2015 February;10;5
3218;Total male and female, including unknown;Total age;127;2015 March;5;5
3219;Total male and female, including unknown;Total age;127;2015 1st Quarter;30;15
3220;Total male and female, including unknown;Total age;127;2015 April;10;5
3221;Total male and female, including unknown;Total age;127;2015 May;5;5
3222;Total male and female, including unknown;Total age;127;2015 June;10;5
3223;Total male and female, including unknown;Total age;127;2015 2nd Quarter;25;15
3224;Total male and female, including unknown;Total age;127;2015 July;5;5
3225;Total male and female, including unknown;Total age;127;2015 August;10;10
3226;Total male and female, including unknown;Total age;127;2015 September;10;10
3227;Total male and female, including unknown;Total age;127;2015 3rd Quarter;25;20
3228;Total male and female, including unknown;Total age;127;2015 October;10;10
3229;Total male and female, including unknown;Total age;127;2015 November;5;5
3230;Total male and female, including unknown;Total age;127;2015 December;10;5
3231;Total male and female, including unknown;Total age;127;2015 4th Quarter;20;20
3232;Total male and female, including unknown;Total age;127;2015;100;70
3233;Total male and female, including unknown;Total age;127;2016 January;5;5
3234;Total male and female, including unknown;Total age;86;2007 January;0;0
3235;Total male and female, including unknown;Total age;86;2007 February;5;5
3236;Total male and female, including unknown;Total age;86;2007 March;0;0
3237;Total male and female, including unknown;Total age;86;2007 1st Quarter;5;5
3238;Total male and female, including unknown;Total age;86;2007 April;0;0
3239;Total male and female, including unknown;Total age;86;2007 May;0;0
3240;Total male and female, including unknown;Total age;86;2007 June;0;0
3241;Total male and female, including unknown;Total age;86;2007 2nd Quarter;0;0
3242;Total male and female, including unknown;Total age;86;2007 July;0;0
3243;Total male and female, including unknown;Total age;86;2007 August;0;0
3244;Total male and female, including unknown;Total age;86;2007 September;0;0
3245;Total male and female, including unknown;Total age;86;2007 3rd Quarter;0;0
3246;Total male and female, including unknown;Total age;86;2007 October;0;0
3247;Total male and female, including unknown;Total age;86;2007 November;0;0
3248;Total male and female, including unknown;Total age;86;2007 December;0;0
3249;Total male and female, including unknown;Total age;86;2007 4th Quarter;0;0
3250;Total male and female, including unknown;Total age;86;2007;10;5
3251;Total male and female, including unknown;Total age;86;2008 January;0;0
3252;Total male and female, including unknown;Total age;86;2008 February;0;0
3253;Total male and female, including unknown;Total age;86;2008 March;0;0
