ID;EconomicActivitiesNaceRev2;Periods;CompensationOfEmployees_1;WagesAndSalaries_2;EmployersSocialContributions_3;CompensationOfEmployeesPerFte_4;WagesPerFte_5;CompensationPerHoursWorked_6;WagesPerHoursWorked_7;FullTimeEquivalentFte_8;HoursWorked_9;HoursPaid_10;HoursAgreed_11;PaidExtraHours_12;TotalMaleAndFemale_13;Male_14;Female_15;TotalMaleAndFemale_16;Male_17;Female_18;TotalMaleAndFemale_19;Male_20;Female_21
2386;58-60 Publishing, movie, radio and  tv;1979;994.0;787.0;207.0;19.9;15.7;12.0;9.5;50;83;93;91;1;57;38;19;;;;;;
2387;58-60 Publishing, movie, radio and  tv;1980;1037.0;818.0;219.0;20.4;16.1;12.6;10.0;51;82;94;93;1;58;39;20;;;;;;
2388;58-60 Publishing, movie, radio and  tv;1981;1036.0;818.0;218.0;20.3;16.0;11.9;9.4;51;87;94;93;1;59;38;20;;;;;;
2389;58-60 Publishing, movie, radio and  tv;1982;1068.0;846.0;222.0;21.2;16.8;12.6;10.0;50;85;92;91;1;58;38;20;;;;;;
2390;58-60 Publishing, movie, radio and  tv;1983;1099.0;861.0;238.0;22.5;17.6;13.3;10.4;49;83;89;89;1;57;37;20;;;;;;
2391;58-60 Publishing, movie, radio and  tv;1984;1104.0;868.0;236.0;22.8;17.9;13.9;10.9;48;79;85;84;1;56;36;20;;;;;;
2392;58-60 Publishing, movie, radio and  tv;1985;1126.0;887.0;239.0;23.0;18.1;14.1;11.1;49;80;86;85;1;57;36;20;;;;;;
2393;58-60 Publishing, movie, radio and  tv;1986;1272.0;1006.0;266.0;25.6;20.3;15.8;12.5;50;81;86;85;1;57;36;21;;;;;;
2394;58-60 Publishing, movie, radio and  tv;1987;1352.0;1076.0;276.0;26.6;21.2;17.0;13.6;51;79;86;85;1;59;37;22;;;;;;
2395;58-60 Publishing, movie, radio and  tv;1988;1416.0;1136.0;280.0;27.2;21.9;17.3;13.9;52;82;87;86;1;61;39;22;;;;;;
2396;58-60 Publishing, movie, radio and  tv;1989;1474.0;1192.0;282.0;27.6;22.3;17.1;13.8;53;86;90;89;1;62;38;24;;;;;;
2397;58-60 Publishing, movie, radio and  tv;1990;1561.0;1366.0;195.0;28.4;24.9;17.7;15.5;55;88;92;91;1;66;39;26;;;;;;
2398;58-60 Publishing, movie, radio and  tv;1991;1677.0;1466.0;211.0;29.9;26.1;18.6;16.2;56;90;95;94;1;69;40;29;;;;;;
2399;58-60 Publishing, movie, radio and  tv;1992;1757.0;1527.0;230.0;30.7;26.7;19.1;16.6;57;92;97;95;1;70;40;30;;;;;;
2400;58-60 Publishing, movie, radio and  tv;1993;1755.0;1537.0;218.0;31.9;27.9;19.9;17.5;55;88;93;92;1;67;39;28;;;;;;
2401;58-60 Publishing, movie, radio and  tv;1994;1778.0;1561.0;217.0;32.9;28.8;20.4;17.9;54;87;91;90;1;70;40;30;;;;;;
2402;58-60 Publishing, movie, radio and  tv;1995;1849.0;1606.0;243.0;34.3;29.8;20.8;18.1;54;89;92;90;1;71;41;30;;;;;;
2403;58-60 Publishing, movie, radio and  tv;1996;1906.0;1648.0;258.0;35.3;30.5;21.2;18.3;54;90;93;91;1;71;41;30;;;;;;
2404;58-60 Publishing, movie, radio and  tv;1997;2049.0;1777.0;272.0;36.2;31.4;21.6;18.7;57;95;98;96;1;74;43;31;;;;;;
2405;58-60 Publishing, movie, radio and  tv;1998;2209.0;1780.0;429.0;37.5;30.2;22.4;18.0;59;99;102;101;1;75;44;31;;;;;;
2406;58-60 Publishing, movie, radio and  tv;1999;2375.0;1932.0;443.0;38.7;31.5;23.1;18.8;61;103;106;105;1;78;44;34;;;;;;
2407;58-60 Publishing, movie, radio and  tv;2000;2505.0;2039.0;466.0;40.9;33.3;24.3;19.8;61;103;106;105;1;78;43;34;;;;;;
2408;58-60 Publishing, movie, radio and  tv;2001;2609.0;2124.0;485.0;42.5;34.6;25.6;20.8;61;102;105;105;0;76;43;33;43.0;29.0;14.0;33.0;14.0;19.0
2409;58-60 Publishing, movie, radio and  tv;2002;2643.0;2122.0;521.0;44.7;35.9;26.8;21.5;59;99;102;102;0;73;41;32;41.0;27.0;14.0;32.0;14.0;19.0
2410;58-60 Publishing, movie, radio and  tv;2003;2699.0;2133.0;566.0;47.1;37.3;28.3;22.4;57;95;99;98;0;72;41;32;40.0;27.0;13.0;32.0;14.0;18.0
2411;58-60 Publishing, movie, radio and  tv;2004;2633.0;2060.0;573.0;48.9;38.2;29.4;23.0;54;90;93;93;0;69;38;31;34.0;23.0;11.0;35.0;14.0;20.0
2412;58-60 Publishing, movie, radio and  tv;2005;2679.0;2111.0;568.0;50.6;39.9;30.5;24.0;53;88;91;91;0;68;37;31;33.0;23.0;11.0;35.0;14.0;21.0
2413;58-60 Publishing, movie, radio and  tv;2006;2765.0;2182.0;583.0;51.5;40.6;31.0;24.5;54;89;93;92;0;69;38;30;34.0;23.0;11.0;35.0;15.0;20.0
2414;58-60 Publishing, movie, radio and  tv;2007;2874.0;2272.0;602.0;53.4;42.2;32.1;25.4;54;89;93;92;0;69;39;30;35.0;23.0;11.0;35.0;15.0;19.0
2415;58-60 Publishing, movie, radio and  tv;2008;2983.0;2347.0;636.0;55.7;43.8;33.5;26.3;54;89;92;92;0;69;39;31;35.0;24.0;12.0;34.0;15.0;19.0
2416;58-60 Publishing, movie, radio and  tv;2009;2910.0;2267.0;643.0;56.4;44.0;33.9;26.4;52;86;89;89;0;67;37;29;32.0;22.0;10.0;34.0;16.0;19.0
2417;58-60 Publishing, movie, radio and  tv;2010;2787.0;2170.0;617.0;58.3;45.4;34.9;27.2;48;80;82;82;0;63;36;27;30.0;20.0;9.0;34.0;16.0;18.0
2418;58-60 Publishing, movie, radio and  tv;2011;2783.0;2165.0;618.0;58.4;45.4;35.0;27.2;48;80;82;82;0;63;36;27;30.0;20.0;9.0;34.0;16.0;18.0
2419;58-60 Publishing, movie, radio and  tv;2012;2781.0;2142.0;639.0;58.4;45.0;34.9;26.9;48;80;82;82;0;63;36;27;30.0;20.0;9.0;33.0;16.0;18.0
2420;58 Publishing;1969;;;;;;;;39;70;77;75;1;42;30;13;;;;;;
2421;58 Publishing;1970;;;;;;;;40;70;76;75;1;44;31;13;;;;;;
2422;58 Publishing;1971;;;;;;;;40;68;74;73;1;44;31;13;;;;;;
2423;58 Publishing;1972;;;;;;;;39;66;73;72;1;43;29;13;;;;;;
2424;58 Publishing;1973;;;;;;;;40;67;73;71;1;43;29;14;;;;;;
2425;58 Publishing;1974;;;;;;;;39;64;70;69;1;43;29;14;;;;;;
2426;58 Publishing;1975;;;;;;;;38;61;68;67;1;42;28;14;;;;;;
2427;58 Publishing;1976;;;;;;;;38;61;68;67;1;41;27;14;;;;;;
2428;58 Publishing;1977;;;;;;;;38;62;68;67;1;42;28;14;;;;;;
2429;58 Publishing;1978;;;;;;;;39;62;70;69;1;43;28;15;;;;;;
2430;58 Publishing;1979;;;;;;;;41;64;71;70;1;44;29;15;;;;;;
2431;58 Publishing;1980;;;;;;;;41;63;72;71;1;45;29;16;;;;;;
2432;58 Publishing;1981;;;;;;;;41;67;72;71;1;45;29;16;;;;;;
2433;58 Publishing;1982;;;;;;;;40;64;70;69;1;44;28;16;;;;;;
2434;58 Publishing;1983;;;;;;;;39;62;67;67;1;43;27;15;;;;;;
2435;58 Publishing;1984;;;;;;;;38;60;64;63;1;42;27;15;;;;;;
2436;58 Publishing;1985;;;;;;;;39;61;65;64;1;43;27;16;;;;;;
2437;58 Publishing;1986;;;;;;;;40;61;66;65;1;43;27;16;;;;;;
2438;58 Publishing;1987;972.0;787.0;185.0;24.0;19.4;16.3;13.2;41;60;65;64;1;45;28;17;;;;;;
2439;58 Publishing;1988;1019.0;831.0;188.0;24.7;20.1;16.6;13.5;41;61;65;64;1;46;29;17;;;;;;
2440;58 Publishing;1989;1070.0;877.0;193.0;25.2;20.7;16.5;13.5;42;65;68;67;1;48;29;19;;;;;;
2441;58 Publishing;1990;1136.0;1004.0;132.0;26.1;23.0;17.2;15.2;44;66;69;68;1;49;30;19;;;;;;
2442;58 Publishing;1991;1232.0;1089.0;143.0;27.7;24.5;18.2;16.1;45;68;71;70;1;51;30;21;;;;;;
2443;58 Publishing;1992;1283.0;1127.0;156.0;28.3;24.9;18.8;16.5;45;68;72;71;1;52;30;22;;;;;;
2444;58 Publishing;1993;1257.0;1111.0;146.0;29.2;25.8;19.5;17.3;43;64;68;67;1;51;29;21;;;;;;
2445;58 Publishing;1994;1261.0;1117.0;144.0;30.3;26.8;20.1;17.8;42;63;65;64;1;51;29;21;;;;;;
2446;58 Publishing;1995;1296.0;1135.0;161.0;32.0;28.0;20.8;18.2;41;62;64;63;1;50;29;21;;;;;;
2447;58 Publishing;1996;1336.0;1155.0;181.0;33.5;29.0;21.7;18.8;40;62;63;63;1;50;29;21;;;;;;
2448;58 Publishing;1997;1445.0;1254.0;191.0;34.7;30.1;22.4;19.4;42;65;67;66;1;52;30;22;;;;;;
2449;58 Publishing;1998;1550.0;1251.0;299.0;36.0;29.1;23.2;18.7;43;67;69;68;1;52;30;22;;;;;;
2450;58 Publishing;1999;1678.0;1371.0;307.0;36.9;30.1;23.6;19.3;45;71;73;72;1;55;31;24;;;;;;
2451;58 Publishing;2000;1764.0;1441.0;323.0;39.2;32.0;25.1;20.5;45;70;72;71;1;54;30;24;;;;;;
2452;58 Publishing;2001;1787.0;1457.0;330.0;42.5;34.6;26.1;21.3;42;68;71;71;0;52;29;23;28.0;19.0;9.0;24.0;10.0;14.0
2453;58 Publishing;2002;1757.0;1416.0;341.0;44.5;35.9;27.3;22.0;40;64;67;67;0;49;27;22;26.0;18.0;8.0;23.0;9.0;14.0
2454;58 Publishing;2003;1792.0;1426.0;366.0;46.7;37.1;28.5;22.7;38;63;65;65;0;48;27;21;25.0;18.0;8.0;23.0;9.0;14.0
2455;58 Publishing;2004;1731.0;1361.0;370.0;48.2;37.9;29.4;23.1;36;59;61;61;0;46;25;21;22.0;15.0;7.0;24.0;10.0;14.0
2456;58 Publishing;2005;1783.0;1409.0;374.0;50.0;39.5;30.5;24.1;36;58;61;60;0;46;24;22;21.0;15.0;7.0;24.0;10.0;15.0
2457;58 Publishing;2006;1840.0;1457.0;383.0;51.0;40.4;31.0;24.6;36;59;61;61;0;46;25;21;22.0;15.0;7.0;24.0;10.0;14.0
2458;58 Publishing;2007;1907.0;1513.0;394.0;53.2;42.2;32.4;25.7;36;59;61;61;0;46;25;21;22.0;15.0;7.0;24.0;10.0;14.0
2459;58 Publishing;2008;2009.0;1583.0;426.0;55.9;44.0;33.9;26.7;36;59;61;61;0;46;26;21;23.0;15.0;8.0;24.0;10.0;13.0
2460;58 Publishing;2009;1934.0;1513.0;421.0;56.5;44.2;34.3;26.8;34;56;58;58;0;44;24;20;21.0;14.0;7.0;24.0;10.0;13.0
2461;58 Publishing;2010;1835.0;1437.0;398.0;58.1;45.5;35.1;27.5;32;52;54;54;0;42;24;18;18.0;13.0;6.0;23.0;11.0;12.0
2462;58 Publishing;2011;1809.0;1416.0;393.0;57.4;44.9;34.7;27.1;32;52;54;54;0;42;24;18;19.0;13.0;6.0;23.0;11.0;12.0
2463;58 Publishing;2012;1801.0;1396.0;405.0;57.2;44.4;34.5;26.8;31;52;54;54;0;42;24;18;19.0;13.0;6.0;23.0;11.0;12.0
2464;59-60 Movie, radio and  tv;1969;;;;;;;;7;16;17;16;0;9;6;3;;;;;;
2465;59-60 Movie, radio and  tv;1970;;;;;;;;7;15;16;16;0;9;6;3;;;;;;
2466;59-60 Movie, radio and  tv;1971;;;;;;;;7;16;17;17;0;9;7;3;;;;;;
2467;59-60 Movie, radio and  tv;1972;;;;;;;;7;16;17;17;0;9;7;3;;;;;;
2468;59-60 Movie, radio and  tv;1973;;;;;;;;7;16;17;17;0;10;7;3;;;;;;
2469;59-60 Movie, radio and  tv;1974;;;;;;;;8;17;18;18;0;10;7;3;;;;;;
2470;59-60 Movie, radio and  tv;1975;;;;;;;;8;17;18;18;0;11;8;3;;;;;;
2471;59-60 Movie, radio and  tv;1976;;;;;;;;9;18;19;19;0;12;8;3;;;;;;
2472;59-60 Movie, radio and  tv;1977;;;;;;;;9;19;20;20;0;12;9;4;;;;;;
2473;59-60 Movie, radio and  tv;1978;;;;;;;;9;19;20;20;0;12;9;4;;;;;;
2474;59-60 Movie, radio and  tv;1979;;;;;;;;10;19;21;21;0;13;9;4;;;;;;
2475;59-60 Movie, radio and  tv;1980;;;;;;;;10;20;22;22;0;13;9;4;;;;;;
2476;59-60 Movie, radio and  tv;1981;;;;;;;;10;20;22;22;0;14;9;4;;;;;;
2477;59-60 Movie, radio and  tv;1982;;;;;;;;10;21;22;22;0;14;9;5;;;;;;
2478;59-60 Movie, radio and  tv;1983;;;;;;;;10;20;22;22;0;14;9;5;;;;;;
2479;59-60 Movie, radio and  tv;1984;;;;;;;;10;20;21;21;0;14;9;5;;;;;;
2480;59-60 Movie, radio and  tv;1985;;;;;;;;10;20;21;21;0;14;9;4;;;;;;
2481;59-60 Movie, radio and  tv;1986;;;;;;;;10;19;20;20;0;14;9;5;;;;;;
2482;59-60 Movie, radio and  tv;1987;380.0;289.0;91.0;36.9;28.0;19.3;14.6;10;20;21;21;0;14;9;5;;;;;;
2483;59-60 Movie, radio and  tv;1988;397.0;305.0;92.0;37.2;28.6;19.4;14.9;11;20;22;22;0;15;10;5;;;;;;
2484;59-60 Movie, radio and  tv;1989;404.0;315.0;89.0;36.9;28.8;18.9;14.7;11;21;23;22;0;14;9;5;;;;;;
2485;59-60 Movie, radio and  tv;1990;425.0;362.0;63.0;37.7;32.1;19.4;16.5;11;22;23;23;0;16;9;7;;;;;;
2486;59-60 Movie, radio and  tv;1991;445.0;377.0;68.0;38.4;32.6;19.8;16.7;12;23;24;24;0;17;10;7;;;;;;
2487;59-60 Movie, radio and  tv;1992;474.0;400.0;74.0;39.8;33.6;20.1;17.0;12;24;25;25;0;18;10;8;;;;;;
2488;59-60 Movie, radio and  tv;1993;498.0;426.0;72.0;41.6;35.6;21.1;18.1;12;24;25;25;0;16;10;6;;;;;;
2489;59-60 Movie, radio and  tv;1994;517.0;444.0;73.0;41.4;35.6;20.9;17.9;12;25;26;26;0;19;11;8;;;;;;
2490;59-60 Movie, radio and  tv;1995;553.0;471.0;82.0;41.4;35.3;20.7;17.7;13;27;28;27;0;20;12;8;;;;;;
2491;59-60 Movie, radio and  tv;1996;570.0;493.0;77.0;40.3;34.9;20.2;17.4;14;28;29;29;0;21;13;9;;;;;;
2492;59-60 Movie, radio and  tv;1997;604.0;523.0;81.0;40.3;34.9;20.0;17.3;15;30;31;31;0;22;13;9;;;;;;
2493;59-60 Movie, radio and  tv;1998;659.0;529.0;130.0;41.5;33.3;20.6;16.6;16;32;33;33;0;23;14;9;;;;;;
2494;59-60 Movie, radio and  tv;1999;697.0;561.0;136.0;43.8;35.2;21.8;17.5;16;32;33;33;0;23;13;10;;;;;;
2495;59-60 Movie, radio and  tv;2000;741.0;598.0;143.0;45.6;36.8;22.6;18.2;16;33;34;34;0;24;14;10;;;;;;
2496;59-60 Movie, radio and  tv;2001;822.0;667.0;155.0;42.6;34.6;24.6;20.0;19;33;34;34;0;24;14;10;15.0;10.0;5.0;9.0;4.0;5.0
2497;59-60 Movie, radio and  tv;2002;886.0;706.0;180.0;45.1;35.9;26.0;20.7;20;34;35;35;0;24;14;10;15.0;10.0;5.0;9.0;4.0;5.0
2498;59-60 Movie, radio and  tv;2003;907.0;707.0;200.0;48.1;37.5;28.0;21.8;19;32;33;33;0;24;14;10;15.0;9.0;5.0;9.0;4.0;5.0
2499;59-60 Movie, radio and  tv;2004;902.0;699.0;203.0;50.1;38.9;29.5;22.8;18;31;32;32;0;23;13;10;12.0;8.0;4.0;11.0;5.0;6.0
2500;59-60 Movie, radio and  tv;2005;896.0;702.0;194.0;51.7;40.5;30.5;23.9;17;29;31;30;0;22;13;10;12.0;8.0;4.0;10.0;5.0;6.0
2501;59-60 Movie, radio and  tv;2006;925.0;725.0;200.0;52.4;41.1;30.9;24.2;18;30;31;31;0;23;13;10;12.0;8.0;4.0;10.0;5.0;6.0
2502;59-60 Movie, radio and  tv;2007;967.0;759.0;208.0;53.7;42.2;31.7;24.9;18;30;32;32;0;23;13;10;12.0;8.0;4.0;11.0;5.0;6.0
2503;59-60 Movie, radio and  tv;2008;974.0;764.0;210.0;55.3;43.4;32.5;25.5;18;30;31;31;0;23;13;10;12.0;8.0;4.0;11.0;5.0;6.0
2504;59-60 Movie, radio and  tv;2009;976.0;754.0;222.0;56.4;43.5;33.2;25.6;17;29;30;30;0;23;13;10;12.0;8.0;4.0;11.0;5.0;6.0
2505;59-60 Movie, radio and  tv;2010;952.0;733.0;219.0;58.7;45.2;34.5;26.6;16;28;28;28;0;21;13;9;11.0;8.0;4.0;10.0;5.0;5.0
2506;59-60 Movie, radio and  tv;2011;974.0;749.0;225.0;60.3;46.3;35.5;27.3;16;27;28;28;0;21;12;9;11.0;8.0;4.0;10.0;5.0;6.0
2507;59-60 Movie, radio and  tv;2012;980.0;746.0;234.0;60.8;46.2;35.7;27.2;16;27;28;28;0;21;12;9;11.0;8.0;4.0;10.0;5.0;6.0
2508;61 Telecommunications;1969;208.0;159.0;49.0;11.6;8.9;4.9;3.8;18;42;45;44;1;20;17;3;;;;;;
2509;61 Telecommunications;1970;238.0;182.0;56.0;12.8;9.8;5.6;4.3;19;43;46;45;1;21;18;3;;;;;;
2510;61 Telecommunications;1971;281.0;213.0;68.0;14.9;11.3;6.5;5.0;19;43;46;45;1;22;18;3;;;;;;
2511;61 Telecommunications;1972;313.0;237.0;76.0;16.6;12.6;7.3;5.5;19;43;46;45;1;22;18;3;;;;;;
2512;61 Telecommunications;1973;363.0;269.0;94.0;19.3;14.3;8.6;6.3;19;42;45;44;1;22;18;3;;;;;;
2513;61 Telecommunications;1974;418.0;309.0;109.0;21.9;16.2;9.9;7.3;19;42;45;44;1;22;19;3;;;;;;
2514;61 Telecommunications;1975;472.0;350.0;122.0;23.9;17.8;11.4;8.4;20;42;45;44;1;23;20;3;;;;;;
2515;61 Telecommunications;1976;529.0;392.0;137.0;26.4;19.6;12.7;9.4;20;42;46;45;1;23;20;4;;;;;;
2516;61 Telecommunications;1977;585.0;436.0;149.0;28.8;21.5;13.8;10.3;20;42;46;45;1;24;20;4;;;;;;
2517;61 Telecommunications;1978;630.0;471.0;159.0;30.1;22.5;14.5;10.8;21;44;47;46;1;25;21;4;;;;;;
2518;61 Telecommunications;1979;710.0;527.0;183.0;32.6;24.2;15.8;11.7;22;45;49;48;1;26;22;4;;;;;;
2519;61 Telecommunications;1980;755.0;559.0;196.0;33.3;24.6;16.1;11.9;23;47;51;50;1;27;23;5;;;;;;
2520;61 Telecommunications;1981;788.0;585.0;203.0;34.3;25.4;16.6;12.3;23;47;51;50;1;28;23;5;;;;;;
2521;61 Telecommunications;1982;797.0;595.0;202.0;34.7;25.9;16.8;12.5;23;47;51;50;1;28;23;5;;;;;;
2522;61 Telecommunications;1983;821.0;604.0;217.0;35.7;26.3;17.5;12.9;23;47;51;50;1;28;23;5;;;;;;
2523;61 Telecommunications;1984;817.0;603.0;214.0;35.5;26.2;17.4;12.8;23;47;50;49;1;28;23;5;;;;;;
2524;61 Telecommunications;1985;848.0;630.0;218.0;35.9;26.7;17.9;13.3;24;47;51;50;1;29;23;6;;;;;;
2525;61 Telecommunications;1986;844.0;627.0;217.0;34.9;25.9;17.3;12.9;24;49;52;50;1;30;24;6;;;;;;
2526;61 Telecommunications;1987;816.0;608.0;208.0;33.7;25.1;16.9;12.6;24;48;52;50;1;30;24;7;;;;;;
2527;61 Telecommunications;1988;821.0;629.0;192.0;35.4;27.1;17.5;13.4;23;47;50;49;1;29;23;7;;;;;;
2528;61 Telecommunications;1989;896.0;702.0;194.0;37.4;29.3;18.8;14.7;24;48;51;50;1;31;24;7;;;;;;
2529;61 Telecommunications;1990;902.0;796.0;106.0;38.0;33.5;18.8;16.6;24;48;51;50;1;31;23;7;;;;;;
2530;61 Telecommunications;1991;999.0;887.0;112.0;41.4;36.7;20.6;18.3;24;49;52;50;1;31;23;7;;;;;;
2531;61 Telecommunications;1992;1062.0;935.0;127.0;42.9;37.8;21.2;18.7;25;50;53;52;1;31;24;8;;;;;;
2532;61 Telecommunications;1993;1083.0;952.0;131.0;44.9;39.4;22.0;19.3;24;49;52;51;1;31;23;8;;;;;;
2533;61 Telecommunications;1994;1130.0;997.0;133.0;47.0;41.5;22.6;20.0;24;50;52;51;1;31;22;8;;;;;;
2534;61 Telecommunications;1995;1148.0;1005.0;143.0;48.6;42.6;23.8;20.9;24;48;51;50;1;30;22;9;;;;;;
2535;61 Telecommunications;1996;1185.0;1032.0;153.0;48.3;42.1;23.4;20.4;25;51;54;53;1;31;22;9;;;;;;
2536;61 Telecommunications;1997;1321.0;1153.0;168.0;49.6;43.3;24.4;21.3;27;54;57;56;1;34;24;10;;;;;;
2537;61 Telecommunications;1998;1594.0;1305.0;289.0;49.5;40.5;24.9;20.4;32;64;68;67;1;41;29;12;;;;;;
2538;61 Telecommunications;1999;1826.0;1500.0;326.0;49.9;41.0;25.2;20.7;37;72;77;75;1;47;33;14;;;;;;
2539;61 Telecommunications;2000;2335.0;1888.0;447.0;51.4;41.6;26.3;21.3;45;89;94;92;1;58;39;19;;;;;;
2540;61 Telecommunications;2001;2678.0;2162.0;516.0;46.0;37.1;27.8;22.4;58;96;102;101;1;64;43;21;50.0;38.0;11.0;14.0;4.0;10.0
2541;61 Telecommunications;2002;2483.0;1956.0;527.0;50.0;39.4;30.3;23.9;50;82;86;86;0;54;37;18;42.0;33.0;9.0;12.0;4.0;8.0
2542;61 Telecommunications;2003;2238.0;1716.0;522.0;53.0;40.6;31.4;24.1;42;71;74;73;0;46;32;14;36.0;29.0;7.0;10.0;3.0;7.0
2543;61 Telecommunications;2004;2235.0;1687.0;548.0;56.9;43.0;33.7;25.4;39;66;68;68;0;43;29;14;33.0;26.0;7.0;11.0;3.0;7.0
2544;61 Telecommunications;2005;2234.0;1708.0;526.0;58.9;45.1;35.0;26.7;38;64;66;66;0;42;29;13;31.0;25.0;5.0;12.0;4.0;7.0
2545;61 Telecommunications;2006;2298.0;1753.0;545.0;61.8;47.2;36.7;28.0;37;63;65;65;0;41;28;13;30.0;24.0;6.0;11.0;4.0;7.0
2546;61 Telecommunications;2007;2372.0;1814.0;558.0;66.0;50.4;39.0;29.8;36;61;63;63;0;40;28;13;29.0;23.0;5.0;12.0;4.0;7.0
2547;61 Telecommunications;2008;2336.0;1744.0;592.0;69.7;52.1;40.9;30.6;34;57;59;59;0;38;26;12;26.0;22.0;5.0;12.0;4.0;7.0
2548;61 Telecommunications;2009;2289.0;1721.0;568.0;73.6;55.4;42.7;32.1;31;54;55;55;0;36;24;12;24.0;19.0;5.0;12.0;5.0;7.0
2549;61 Telecommunications;2010;2180.0;1635.0;545.0;76.0;57.0;43.6;32.7;29;50;52;52;0;32;22;11;22.0;18.0;4.0;10.0;4.0;6.0
2550;61 Telecommunications;2011;2183.0;1636.0;547.0;76.4;57.2;43.8;32.8;29;50;52;51;0;32;22;11;22.0;18.0;4.0;10.0;4.0;6.0
2551;61 Telecommunications;2012;2191.0;1629.0;562.0;77.9;57.9;44.6;33.1;28;49;51;51;0;32;21;11;22.0;17.0;4.0;10.0;4.0;6.0
2552;62-63 IT- and information services;1969;141.0;122.0;19.0;11.8;10.2;5.8;5.0;12;24;26;25;0;12;10;2;;;;;;
2553;62-63 IT- and information services;1970;172.0;149.0;23.0;13.3;11.6;6.7;5.8;13;26;27;27;0;13;11;2;;;;;;
2554;62-63 IT- and information services;1971;205.0;176.0;29.0;15.2;13.0;7.8;6.7;13;26;28;28;0;14;12;2;;;;;;
2555;62-63 IT- and information services;1972;227.0;194.0;33.0;16.5;14.1;8.5;7.3;14;27;28;28;0;14;12;2;;;;;;
2556;62-63 IT- and information services;1973;267.0;224.0;43.0;18.9;15.9;9.9;8.3;14;27;29;28;0;15;12;2;;;;;;
2557;62-63 IT- and information services;1974;323.0;270.0;53.0;22.3;18.6;11.9;10.0;15;27;29;28;0;15;12;3;;;;;;
2558;62-63 IT- and information services;1975;383.0;320.0;63.0;26.0;21.7;14.3;11.9;15;27;29;28;0;15;13;3;;;;;;
2559;62-63 IT- and information services;1976;446.0;372.0;74.0;29.3;24.4;16.1;13.4;15;28;30;29;0;16;13;3;;;;;;
2560;62-63 IT- and information services;1977;511.0;428.0;83.0;32.6;27.3;18.0;15.1;16;28;30;30;0;16;13;3;;;;;;
2561;62-63 IT- and information services;1978;572.0;480.0;92.0;34.8;29.2;19.5;16.3;16;29;32;31;0;17;14;3;;;;;;
2562;62-63 IT- and information services;1979;609.0;509.0;100.0;35.1;29.3;19.5;16.3;17;31;33;33;0;18;15;3;;;;;;
2563;62-63 IT- and information services;1980;660.0;550.0;110.0;36.7;30.6;20.3;16.9;18;33;35;34;0;19;15;3;;;;;;
2564;62-63 IT- and information services;1981;662.0;552.0;110.0;36.3;30.2;20.2;16.9;18;33;35;34;0;19;15;3;;;;;;
2565;62-63 IT- and information services;1982;674.0;564.0;110.0;37.7;31.6;21.3;17.8;18;32;33;33;0;19;15;3;;;;;;
2566;62-63 IT- and information services;1983;700.0;580.0;120.0;38.7;32.1;21.9;18.1;18;32;34;34;0;19;15;4;;;;;;
2567;62-63 IT- and information services;1984;719.0;598.0;121.0;37.3;31.1;21.2;17.6;19;34;36;36;0;20;16;4;;;;;;
2568;62-63 IT- and information services;1985;765.0;638.0;127.0;36.9;30.8;21.1;17.6;21;36;38;38;0;22;17;4;;;;;;
2569;62-63 IT- and information services;1986;827.0;691.0;136.0;37.4;31.3;21.3;17.8;22;39;41;40;0;23;18;4;;;;;;
2570;62-63 IT- and information services;1987;843.0;699.0;144.0;36.7;30.4;20.8;17.3;23;41;42;42;0;24;19;5;;;;;;
2571;62-63 IT- and information services;1988;927.0;776.0;151.0;38.5;32.3;21.9;18.3;24;42;44;44;0;26;21;5;;;;;;
2572;62-63 IT- and information services;1989;1047.0;892.0;155.0;38.5;32.8;21.8;18.6;27;48;50;49;1;29;23;6;;;;;;
2573;62-63 IT- and information services;1990;1200.0;1103.0;97.0;39.7;36.5;22.4;20.6;30;53;56;55;1;32;25;7;;;;;;
2574;62-63 IT- and information services;1991;1329.0;1223.0;106.0;40.2;37.0;22.8;21.0;33;58;61;60;1;35;28;7;;;;;;
2575;62-63 IT- and information services;1992;1445.0;1329.0;116.0;41.2;37.9;23.4;21.5;35;62;64;63;1;37;29;8;;;;;;
2576;62-63 IT- and information services;1993;1540.0;1424.0;116.0;42.0;38.9;24.1;22.3;37;64;67;66;1;39;30;8;;;;;;
2577;62-63 IT- and information services;1994;1540.0;1422.0;118.0;42.2;39.0;23.9;22.1;36;64;66;66;1;39;30;9;;;;;;
2578;62-63 IT- and information services;1995;1834.0;1684.0;150.0;41.6;38.2;23.2;21.3;44;79;80;79;0;47;38;9;;;;;;
2579;62-63 IT- and information services;1996;2301.0;2104.0;197.0;40.1;36.6;22.6;20.6;57;102;103;102;1;61;49;12;;;;;;
2580;62-63 IT- and information services;1997;2878.0;2643.0;235.0;41.8;38.4;23.6;21.6;69;122;123;122;1;73;58;14;;;;;;
2581;62-63 IT- and information services;1998;3708.0;3149.0;559.0;44.0;37.4;24.8;21.1;84;149;151;150;1;90;72;18;;;;;;
2582;62-63 IT- and information services;1999;4525.0;3850.0;675.0;46.3;39.4;26.0;22.1;98;174;175;174;1;105;84;21;;;;;;
2583;62-63 IT- and information services;2000;5174.0;4385.0;789.0;48.8;41.4;27.3;23.2;106;189;191;190;1;114;90;24;;;;;;
