ID;Households;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24;MixedIncomeNet_25;TotalCompensationOfEmployees_26;TotalPropertyIncome_27;TotalPropertyIncome_28;PrimaryIncomeNet_29;PrimaryIncomeNet_30;TotalSocialBenefits_31;TotalOtherCurrentTransfers_32;TotalCurrentTaxesOnIncomeAndWealth_33;TotalSocialContributions_34;TotalOtherCurrentTransfers_35;DisposableIncomeNet_36
3480;Social benefits, single person;Utrecht;1995;;;;;44.0;44.0;;;;;;228.0;;;;;1332.0;1332.0;;;;;;6933.0;;;;;1332.0;1332.0;;;;;;6933.0
3481;Social benefits, single person;Utrecht;1996;;;;;57.0;57.0;;;;;;223.0;;;;;2070.0;2070.0;;;;;;8065.0;;;;;2070.0;2070.0;;;;;;8065.0
3482;Social benefits, single person;Utrecht;1997;;;;;63.0;63.0;;;;;;212.0;;;;;2576.0;2576.0;;;;;;8665.0;;;;;2576.0;2576.0;;;;;;8665.0
3483;Social benefits, single person;Utrecht;1998;;;;;56.0;56.0;;;;;;193.0;;;;;2080.0;2080.0;;;;;;7121.0;;;;;2080.0;2080.0;;;;;;7121.0
3484;Social benefits, single person;Utrecht;1999;;;;;61.0;61.0;;;;;;203.0;;;;;2401.0;2401.0;;;;;;8022.0;;;;;2401.0;2401.0;;;;;;8022.0
3485;Social benefits, single person;Utrecht;2000;;;;;55.0;55.0;;;;;;178.0;;;;;2382.0;2382.0;;;;;;7634.0;;;;;2382.0;2382.0;;;;;;7634.0
3486;Social benefits, single person;Utrecht;2001;;;;;66.0;66.0;;;;;;201.0;;;;;2650.0;2650.0;;;;;;8095.0;;;;;2650.0;2650.0;;;;;;8095.0
3487;Social benefits, single person;Utrecht;2002;;;;;67.0;67.0;;;;;;246.0;;;;;2474.0;2474.0;;;;;;9062.0;;;;;2474.0;2474.0;;;;;;9062.0
3488;Social benefits, single person;Utrecht;2003;;;;;79.0;79.0;;;;;;314.0;;;;;2624.0;2624.0;;;;;;10452.0;;;;;2624.0;2624.0;;;;;;10452.0
3489;Social benefits, single person;Utrecht;2004;;;;;103.0;103.0;;;;;;444.0;;;;;3369.0;3369.0;;;;;;14590.0;;;;;3369.0;3369.0;;;;;;14590.0
3490;Social benefits, single person;Utrecht;2005;;;;;114.0;114.0;;;;;;490.0;;;;;3439.0;3439.0;;;;;;14782.0;;;;;3439.0;3439.0;;;;;;14782.0
3491;Social benefits, single person;Utrecht;2006;;;;;104.0;104.0;;;;;;497.0;;;;;2994.0;2994.0;;;;;;14308.0;;;;;2994.0;2994.0;;;;;;14308.0
3492;Social benefits, single person;Utrecht;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3493;Social benefits, single person;Utrecht;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3494;Social benefits, single person;Utrecht;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3495;Social benefits, single person;Noord-Holland;1995;;;;;127.0;127.0;;;;;;678.0;;;;;1545.0;1545.0;;;;;;8247.0;;;;;1545.0;1545.0;;;;;;8247.0
3496;Social benefits, single person;Noord-Holland;1996;;;;;142.0;142.0;;;;;;665.0;;;;;1829.0;1829.0;;;;;;8570.0;;;;;1829.0;1829.0;;;;;;8570.0
3497;Social benefits, single person;Noord-Holland;1997;;;;;148.0;148.0;;;;;;692.0;;;;;2034.0;2034.0;;;;;;9480.0;;;;;2034.0;2034.0;;;;;;9480.0
3498;Social benefits, single person;Noord-Holland;1998;;;;;137.0;137.0;;;;;;607.0;;;;;1897.0;1897.0;;;;;;8399.0;;;;;1897.0;1897.0;;;;;;8399.0
3499;Social benefits, single person;Noord-Holland;1999;;;;;148.0;148.0;;;;;;643.0;;;;;2133.0;2133.0;;;;;;9286.0;;;;;2133.0;2133.0;;;;;;9286.0
3500;Social benefits, single person;Noord-Holland;2000;;;;;146.0;146.0;;;;;;618.0;;;;;2251.0;2251.0;;;;;;9532.0;;;;;2251.0;2251.0;;;;;;9532.0
3501;Social benefits, single person;Noord-Holland;2001;;;;;126.0;126.0;;;;;;682.0;;;;;1824.0;1824.0;;;;;;9888.0;;;;;1824.0;1824.0;;;;;;9888.0
3502;Social benefits, single person;Noord-Holland;2002;;;;;194.0;194.0;;;;;;744.0;;;;;2869.0;2869.0;;;;;;10983.0;;;;;2869.0;2869.0;;;;;;10983.0
3503;Social benefits, single person;Noord-Holland;2003;;;;;147.0;147.0;;;;;;711.0;;;;;2002.0;2002.0;;;;;;9664.0;;;;;2002.0;2002.0;;;;;;9664.0
3504;Social benefits, single person;Noord-Holland;2004;;;;;219.0;219.0;;;;;;852.0;;;;;2711.0;2711.0;;;;;;10539.0;;;;;2711.0;2711.0;;;;;;10539.0
3505;Social benefits, single person;Noord-Holland;2005;;;;;210.0;210.0;;;;;;807.0;;;;;2445.0;2445.0;;;;;;9382.0;;;;;2445.0;2445.0;;;;;;9382.0
3506;Social benefits, single person;Noord-Holland;2006;;;;;207.0;207.0;;;;;;841.0;;;;;2453.0;2453.0;;;;;;9970.0;;;;;2453.0;2453.0;;;;;;9970.0
3507;Social benefits, single person;Noord-Holland;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3508;Social benefits, single person;Noord-Holland;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3509;Social benefits, single person;Noord-Holland;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3510;Social benefits, single person;Zuid-Holland;1995;;;;;103.0;103.0;;;;;;674.0;;;;;1117.0;1117.0;;;;;;7283.0;;;;;1117.0;1117.0;;;;;;7283.0
3511;Social benefits, single person;Zuid-Holland;1996;;;;;133.0;133.0;;;;;;664.0;;;;;1491.0;1491.0;;;;;;7432.0;;;;;1491.0;1491.0;;;;;;7432.0
3512;Social benefits, single person;Zuid-Holland;1997;;;;;131.0;131.0;;;;;;666.0;;;;;1525.0;1525.0;;;;;;7733.0;;;;;1525.0;1525.0;;;;;;7733.0
3513;Social benefits, single person;Zuid-Holland;1998;;;;;138.0;138.0;;;;;;623.0;;;;;1614.0;1614.0;;;;;;7309.0;;;;;1614.0;1614.0;;;;;;7309.0
3514;Social benefits, single person;Zuid-Holland;1999;;;;;151.0;151.0;;;;;;650.0;;;;;1834.0;1834.0;;;;;;7919.0;;;;;1834.0;1834.0;;;;;;7919.0
3515;Social benefits, single person;Zuid-Holland;2000;;;;;140.0;140.0;;;;;;680.0;;;;;1727.0;1727.0;;;;;;8365.0;;;;;1727.0;1727.0;;;;;;8365.0
3516;Social benefits, single person;Zuid-Holland;2001;;;;;167.0;167.0;;;;;;756.0;;;;;1896.0;1896.0;;;;;;8563.0;;;;;1896.0;1896.0;;;;;;8563.0
3517;Social benefits, single person;Zuid-Holland;2002;;;;;282.0;282.0;;;;;;984.0;;;;;3155.0;3155.0;;;;;;10996.0;;;;;3155.0;3155.0;;;;;;10996.0
3518;Social benefits, single person;Zuid-Holland;2003;;;;;228.0;228.0;;;;;;969.0;;;;;2334.0;2334.0;;;;;;9905.0;;;;;2334.0;2334.0;;;;;;9905.0
3519;Social benefits, single person;Zuid-Holland;2004;;;;;243.0;243.0;;;;;;948.0;;;;;2388.0;2388.0;;;;;;9322.0;;;;;2388.0;2388.0;;;;;;9322.0
3520;Social benefits, single person;Zuid-Holland;2005;;;;;233.0;233.0;;;;;;1022.0;;;;;2168.0;2168.0;;;;;;9497.0;;;;;2168.0;2168.0;;;;;;9497.0
3521;Social benefits, single person;Zuid-Holland;2006;;;;;281.0;281.0;;;;;;1136.0;;;;;2717.0;2717.0;;;;;;10969.0;;;;;2717.0;2717.0;;;;;;10969.0
3522;Social benefits, single person;Zuid-Holland;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3523;Social benefits, single person;Zuid-Holland;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3524;Social benefits, single person;Zuid-Holland;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3525;Social benefits, single person;Zeeland;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3526;Social benefits, single person;Zeeland;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3527;Social benefits, single person;Zeeland;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3528;Social benefits, single person;Zeeland;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3529;Social benefits, single person;Zeeland;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3530;Social benefits, single person;Zeeland;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3531;Social benefits, single person;Zeeland;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3532;Social benefits, single person;Zeeland;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3533;Social benefits, single person;Zeeland;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3534;Social benefits, single person;Zeeland;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3535;Social benefits, single person;Zeeland;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3536;Social benefits, single person;Zeeland;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3537;Social benefits, single person;Zeeland;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3538;Social benefits, single person;Zeeland;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3539;Social benefits, single person;Zeeland;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3540;Social benefits, single person;Noord-Brabant;1995;;;;;69.0;69.0;;;;;;379.0;;;;;1360.0;1360.0;;;;;;7479.0;;;;;1360.0;1360.0;;;;;;7479.0
3541;Social benefits, single person;Noord-Brabant;1996;;;;;69.0;69.0;;;;;;368.0;;;;;1489.0;1489.0;;;;;;7954.0;;;;;1489.0;1489.0;;;;;;7954.0
3542;Social benefits, single person;Noord-Brabant;1997;;;;;59.0;59.0;;;;;;343.0;;;;;1506.0;1506.0;;;;;;8745.0;;;;;1506.0;1506.0;;;;;;8745.0
3543;Social benefits, single person;Noord-Brabant;1998;;;;;79.0;79.0;;;;;;334.0;;;;;1971.0;1971.0;;;;;;8342.0;;;;;1971.0;1971.0;;;;;;8342.0
3544;Social benefits, single person;Noord-Brabant;1999;;;;;71.0;71.0;;;;;;357.0;;;;;1695.0;1695.0;;;;;;8510.0;;;;;1695.0;1695.0;;;;;;8510.0
3545;Social benefits, single person;Noord-Brabant;2000;;;;;71.0;71.0;;;;;;338.0;;;;;1836.0;1836.0;;;;;;8769.0;;;;;1836.0;1836.0;;;;;;8769.0
3546;Social benefits, single person;Noord-Brabant;2001;;;;;67.0;67.0;;;;;;396.0;;;;;1520.0;1520.0;;;;;;8945.0;;;;;1520.0;1520.0;;;;;;8945.0
3547;Social benefits, single person;Noord-Brabant;2002;;;;;85.0;85.0;;;;;;383.0;;;;;1979.0;1979.0;;;;;;8877.0;;;;;1979.0;1979.0;;;;;;8877.0
3548;Social benefits, single person;Noord-Brabant;2003;;;;;103.0;103.0;;;;;;432.0;;;;;2078.0;2078.0;;;;;;8723.0;;;;;2078.0;2078.0;;;;;;8723.0
3549;Social benefits, single person;Noord-Brabant;2004;;;;;132.0;132.0;;;;;;531.0;;;;;2484.0;2484.0;;;;;;9981.0;;;;;2484.0;2484.0;;;;;;9981.0
3550;Social benefits, single person;Noord-Brabant;2005;;;;;137.0;137.0;;;;;;546.0;;;;;2376.0;2376.0;;;;;;9507.0;;;;;2376.0;2376.0;;;;;;9507.0
3551;Social benefits, single person;Noord-Brabant;2006;;;;;122.0;122.0;;;;;;514.0;;;;;2352.0;2352.0;;;;;;9894.0;;;;;2352.0;2352.0;;;;;;9894.0
3552;Social benefits, single person;Noord-Brabant;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3553;Social benefits, single person;Noord-Brabant;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3554;Social benefits, single person;Noord-Brabant;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3555;Social benefits, single person;Limburg;1995;;;;;26.0;26.0;;;;;;194.0;;;;;1033.0;1033.0;;;;;;7855.0;;;;;1033.0;1033.0;;;;;;7855.0
3556;Social benefits, single person;Limburg;1996;;;;;38.0;38.0;;;;;;221.0;;;;;1478.0;1478.0;;;;;;8581.0;;;;;1478.0;1478.0;;;;;;8581.0
3557;Social benefits, single person;Limburg;1997;;;;;46.0;46.0;;;;;;235.0;;;;;1733.0;1733.0;;;;;;8791.0;;;;;1733.0;1733.0;;;;;;8791.0
3558;Social benefits, single person;Limburg;1998;;;;;57.0;57.0;;;;;;225.0;;;;;1962.0;1962.0;;;;;;7722.0;;;;;1962.0;1962.0;;;;;;7722.0
3559;Social benefits, single person;Limburg;1999;;;;;38.0;38.0;;;;;;214.0;;;;;1389.0;1389.0;;;;;;7853.0;;;;;1389.0;1389.0;;;;;;7853.0
3560;Social benefits, single person;Limburg;2000;;;;;41.0;41.0;;;;;;193.0;;;;;1609.0;1609.0;;;;;;7661.0;;;;;1609.0;1609.0;;;;;;7661.0
3561;Social benefits, single person;Limburg;2001;;;;;40.0;40.0;;;;;;217.0;;;;;1587.0;1587.0;;;;;;8541.0;;;;;1587.0;1587.0;;;;;;8541.0
3562;Social benefits, single person;Limburg;2002;;;;;48.0;48.0;;;;;;222.0;;;;;1844.0;1844.0;;;;;;8592.0;;;;;1844.0;1844.0;;;;;;8592.0
3563;Social benefits, single person;Limburg;2003;;;;;51.0;51.0;;;;;;235.0;;;;;1692.0;1692.0;;;;;;7838.0;;;;;1692.0;1692.0;;;;;;7838.0
3564;Social benefits, single person;Limburg;2004;;;;;45.0;45.0;;;;;;391.0;;;;;1595.0;1595.0;;;;;;13760.0;;;;;1595.0;1595.0;;;;;;13760.0
3565;Social benefits, single person;Limburg;2005;;;;;57.0;57.0;;;;;;434.0;;;;;1876.0;1876.0;;;;;;14372.0;;;;;1876.0;1876.0;;;;;;14372.0
3566;Social benefits, single person;Limburg;2006;;;;;58.0;58.0;;;;;;573.0;;;;;1782.0;1782.0;;;;;;17629.0;;;;;1782.0;1782.0;;;;;;17629.0
3567;Social benefits, single person;Limburg;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3568;Social benefits, single person;Limburg;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3569;Social benefits, single person;Limburg;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3570;Social benefits, single person;Agglomeration of Utrecht;1995;;;;;34.0;34.0;;;;;;154.0;;;;;1376.0;1376.0;;;;;;6219.0;;;;;1376.0;1376.0;;;;;;6219.0
3571;Social benefits, single person;Agglomeration of Utrecht;1996;;;;;41.0;41.0;;;;;;145.0;;;;;2049.0;2049.0;;;;;;7243.0;;;;;2049.0;2049.0;;;;;;7243.0
3572;Social benefits, single person;Agglomeration of Utrecht;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3573;Social benefits, single person;Agglomeration of Utrecht;1998;;;;;34.0;34.0;;;;;;125.0;;;;;1648.0;1648.0;;;;;;6066.0;;;;;1648.0;1648.0;;;;;;6066.0
3574;Social benefits, single person;Agglomeration of Utrecht;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3575;Social benefits, single person;Agglomeration of Utrecht;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3576;Social benefits, single person;Agglomeration of Utrecht;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3577;Social benefits, single person;Agglomeration of Utrecht;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3578;Social benefits, single person;Agglomeration of Utrecht;2003;;;;;50.0;50.0;;;;;;165.0;;;;;2229.0;2229.0;;;;;;7432.0;;;;;2229.0;2229.0;;;;;;7432.0
3579;Social benefits, single person;Agglomeration of Utrecht;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3580;Social benefits, single person;Agglomeration of Utrecht;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3581;Social benefits, single person;Agglomeration of Utrecht;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3582;Social benefits, single person;Agglomeration of Utrecht;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3583;Social benefits, single person;Agglomeration of Utrecht;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3584;Social benefits, single person;Agglomeration of Utrecht;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3585;Social benefits, single person;Agglomeration of Amsterdam;1995;;;;;85.0;85.0;;;;;;446.0;;;;;1479.0;1479.0;;;;;;7757.0;;;;;1479.0;1479.0;;;;;;7757.0
3586;Social benefits, single person;Agglomeration of Amsterdam;1996;;;;;90.0;90.0;;;;;;427.0;;;;;1679.0;1679.0;;;;;;7978.0;;;;;1679.0;1679.0;;;;;;7978.0
3587;Social benefits, single person;Agglomeration of Amsterdam;1997;;;;;96.0;96.0;;;;;;430.0;;;;;1979.0;1979.0;;;;;;8901.0;;;;;1979.0;1979.0;;;;;;8901.0
3588;Social benefits, single person;Agglomeration of Amsterdam;1998;;;;;97.0;97.0;;;;;;388.0;;;;;2017.0;2017.0;;;;;;8096.0;;;;;2017.0;2017.0;;;;;;8096.0
3589;Social benefits, single person;Agglomeration of Amsterdam;1999;;;;;92.0;92.0;;;;;;399.0;;;;;2063.0;2063.0;;;;;;8918.0;;;;;2063.0;2063.0;;;;;;8918.0
3590;Social benefits, single person;Agglomeration of Amsterdam;2000;;;;;71.0;71.0;;;;;;380.0;;;;;1626.0;1626.0;;;;;;8684.0;;;;;1626.0;1626.0;;;;;;8684.0
3591;Social benefits, single person;Agglomeration of Amsterdam;2001;;;;;88.0;88.0;;;;;;434.0;;;;;2029.0;2029.0;;;;;;9948.0;;;;;2029.0;2029.0;;;;;;9948.0
3592;Social benefits, single person;Agglomeration of Amsterdam;2002;;;;;144.0;144.0;;;;;;470.0;;;;;3415.0;3415.0;;;;;;11154.0;;;;;3415.0;3415.0;;;;;;11154.0
3593;Social benefits, single person;Agglomeration of Amsterdam;2003;;;;;96.0;96.0;;;;;;462.0;;;;;2032.0;2032.0;;;;;;9741.0;;;;;2032.0;2032.0;;;;;;9741.0
3594;Social benefits, single person;Agglomeration of Amsterdam;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3595;Social benefits, single person;Agglomeration of Amsterdam;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3596;Social benefits, single person;Agglomeration of Amsterdam;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3597;Social benefits, single person;Agglomeration of Amsterdam;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3598;Social benefits, single person;Agglomeration of Amsterdam;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3599;Social benefits, single person;Agglomeration of Amsterdam;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3600;Social benefits, single person;Agglomeration of 's-Gravenhage;1995;;;;;30.0;30.0;;;;;;184.0;;;;;1241.0;1241.0;;;;;;7610.0;;;;;1241.0;1241.0;;;;;;7610.0
3601;Social benefits, single person;Agglomeration of 's-Gravenhage;1996;;;;;29.0;29.0;;;;;;166.0;;;;;1336.0;1336.0;;;;;;7570.0;;;;;1336.0;1336.0;;;;;;7570.0
3602;Social benefits, single person;Agglomeration of 's-Gravenhage;1997;;;;;37.0;37.0;;;;;;175.0;;;;;1723.0;1723.0;;;;;;8191.0;;;;;1723.0;1723.0;;;;;;8191.0
3603;Social benefits, single person;Agglomeration of 's-Gravenhage;1998;;;;;32.0;32.0;;;;;;164.0;;;;;1495.0;1495.0;;;;;;7653.0;;;;;1495.0;1495.0;;;;;;7653.0
3604;Social benefits, single person;Agglomeration of 's-Gravenhage;1999;;;;;51.0;51.0;;;;;;201.0;;;;;2359.0;2359.0;;;;;;9234.0;;;;;2359.0;2359.0;;;;;;9234.0
3605;Social benefits, single person;Agglomeration of 's-Gravenhage;2000;;;;;48.0;48.0;;;;;;216.0;;;;;2288.0;2288.0;;;;;;10404.0;;;;;2288.0;2288.0;;;;;;10404.0
3606;Social benefits, single person;Agglomeration of 's-Gravenhage;2001;;;;;54.0;54.0;;;;;;248.0;;;;;2257.0;2257.0;;;;;;10329.0;;;;;2257.0;2257.0;;;;;;10329.0
3607;Social benefits, single person;Agglomeration of 's-Gravenhage;2002;;;;;71.0;71.0;;;;;;310.0;;;;;3143.0;3143.0;;;;;;13732.0;;;;;3143.0;3143.0;;;;;;13732.0
3608;Social benefits, single person;Agglomeration of 's-Gravenhage;2003;;;;;77.0;77.0;;;;;;353.0;;;;;2787.0;2787.0;;;;;;12796.0;;;;;2787.0;2787.0;;;;;;12796.0
3609;Social benefits, single person;Agglomeration of 's-Gravenhage;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3610;Social benefits, single person;Agglomeration of 's-Gravenhage;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3611;Social benefits, single person;Agglomeration of 's-Gravenhage;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3612;Social benefits, single person;Agglomeration of 's-Gravenhage;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3613;Social benefits, single person;Agglomeration of 's-Gravenhage;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3614;Social benefits, single person;Agglomeration of 's-Gravenhage;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3615;Social benefits, single person;Rijnmond;1995;;;;;40.0;40.0;;;;;;298.0;;;;;1038.0;1038.0;;;;;;7732.0;;;;;1038.0;1038.0;;;;;;7732.0
3616;Social benefits, single person;Rijnmond;1996;;;;;57.0;57.0;;;;;;293.0;;;;;1499.0;1499.0;;;;;;7707.0;;;;;1499.0;1499.0;;;;;;7707.0
3617;Social benefits, single person;Rijnmond;1997;;;;;49.0;49.0;;;;;;322.0;;;;;1225.0;1225.0;;;;;;8036.0;;;;;1225.0;1225.0;;;;;;8036.0
3618;Social benefits, single person;Rijnmond;1998;;;;;61.0;61.0;;;;;;282.0;;;;;1651.0;1651.0;;;;;;7632.0;;;;;1651.0;1651.0;;;;;;7632.0
3619;Social benefits, single person;Rijnmond;1999;;;;;51.0;51.0;;;;;;258.0;;;;;1521.0;1521.0;;;;;;7661.0;;;;;1521.0;1521.0;;;;;;7661.0
3620;Social benefits, single person;Rijnmond;2000;;;;;56.0;56.0;;;;;;289.0;;;;;1569.0;1569.0;;;;;;8096.0;;;;;1569.0;1569.0;;;;;;8096.0
3621;Social benefits, single person;Rijnmond;2001;;;;;69.0;69.0;;;;;;334.0;;;;;1755.0;1755.0;;;;;;8480.0;;;;;1755.0;1755.0;;;;;;8480.0
3622;Social benefits, single person;Rijnmond;2002;;;;;68.0;68.0;;;;;;362.0;;;;;1772.0;1772.0;;;;;;9448.0;;;;;1772.0;1772.0;;;;;;9448.0
3623;Social benefits, single person;Rijnmond;2003;;;;;77.0;77.0;;;;;;373.0;;;;;1941.0;1941.0;;;;;;9407.0;;;;;1941.0;1941.0;;;;;;9407.0
3624;Social benefits, single person;Rijnmond;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3625;Social benefits, single person;Rijnmond;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3626;Social benefits, single person;Rijnmond;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3627;Social benefits, single person;Rijnmond;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3628;Social benefits, single person;Rijnmond;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3629;Social benefits, single person;Rijnmond;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3630;Social benefits, multi pers without ch.;Netherlands;1995;438.0;785.0;646.0;224.0;1644.0;1644.0;6364.0;;639.0;1877.0;;5501.0;690.0;1236.0;1018.0;354.0;2591.0;2591.0;10028.0;;1007.0;2958.0;;8667.0;1530.0;2739.0;2255.0;784.0;5740.0;5740.0;22218.0;;2231.0;6554.0;;19202.0
3631;Social benefits, multi pers without ch.;Netherlands;1996;442.0;1085.0;674.0;206.0;1996.0;1996.0;6464.0;;588.0;2002.0;;5821.0;717.0;1761.0;1094.0;334.0;3238.0;3238.0;10488.0;;954.0;3248.0;;9444.0;1578.0;3874.0;2406.0;735.0;7123.0;7123.0;23071.0;;2098.0;7146.0;;20774.0
3632;Social benefits, multi pers without ch.;Netherlands;1997;453.0;1062.0;765.0;202.0;2078.0;2078.0;6319.0;;462.0;1943.0;;5933.0;800.0;1877.0;1351.0;356.0;3671.0;3671.0;11164.0;;817.0;3432.0;;10482.0;1747.0;4099.0;2950.0;778.0;8018.0;8018.0;24383.0;;1784.0;7496.0;;22894.0
3633;Social benefits, multi pers without ch.;Netherlands;1998;391.0;970.0;679.0;208.0;1832.0;1832.0;5415.0;;473.0;1666.0;;5068.0;745.0;1850.0;1295.0;397.0;3493.0;3493.0;10324.0;;901.0;3176.0;;9663.0;1580.0;3924.0;2748.0;843.0;7409.0;7409.0;21902.0;;1912.0;6737.0;;20500.0
3634;Social benefits, multi pers without ch.;Netherlands;1999;402.0;861.0;721.0;232.0;1752.0;1752.0;4893.0;;213.0;1542.0;;4860.0;880.0;1885.0;1579.0;508.0;3837.0;3837.0;10717.0;;467.0;3378.0;;10644.0;1884.0;4035.0;3380.0;1087.0;8213.0;8213.0;22938.0;;1000.0;7230.0;;22781.0
3635;Social benefits, multi pers without ch.;Netherlands;2000;431.0;738.0;896.0;290.0;1774.0;1774.0;4801.0;;175.0;1653.0;;4731.0;943.0;1616.0;1962.0;636.0;3885.0;3885.0;10512.0;;383.0;3619.0;;10359.0;2009.0;3444.0;4182.0;1355.0;8279.0;8279.0;22404.0;;816.0;7712.0;;22078.0
3636;Social benefits, multi pers without ch.;Netherlands;2001;442.0;889.0;585.0;299.0;1617.0;1617.0;4919.0;;359.0;1395.0;;4873.0;946.0;1904.0;1253.0;641.0;3462.0;3462.0;10536.0;;769.0;2987.0;;10437.0;2022.0;4071.0;2679.0;1370.0;7402.0;7402.0;22522.0;;1643.0;6385.0;;22311.0
