ID;EconomicActivityNCEA2008;Regions;Periods;NumberOfLocalUnits_1
454;A-U All economic activities;Leiden (SG);2010;17295.0
455;A-U All economic activities;'s-Gravenhage (SG);2006;45445.0
456;A-U All economic activities;'s-Gravenhage (SG);2007;47965.0
457;A-U All economic activities;'s-Gravenhage (SG);2008;50375.0
458;A-U All economic activities;'s-Gravenhage (SG);2009;54535.0
459;A-U All economic activities;'s-Gravenhage (SG);2010;56615.0
460;A-U All economic activities;Rotterdam (SG);2006;48380.0
461;A-U All economic activities;Rotterdam (SG);2007;50950.0
462;A-U All economic activities;Rotterdam (SG);2008;53685.0
463;A-U All economic activities;Rotterdam (SG);2009;56925.0
464;A-U All economic activities;Rotterdam (SG);2010;57155.0
465;A-U All economic activities;Dordrecht (SG);2006;12460.0
466;A-U All economic activities;Dordrecht (SG);2007;12590.0
467;A-U All economic activities;Dordrecht (SG);2008;13105.0
468;A-U All economic activities;Dordrecht (SG);2009;13980.0
469;A-U All economic activities;Dordrecht (SG);2010;14235.0
470;A-U All economic activities;Breda (SG);2006;15850.0
471;A-U All economic activities;Breda (SG);2007;16805.0
472;A-U All economic activities;Breda (SG);2008;17825.0
473;A-U All economic activities;Breda (SG);2009;18745.0
474;A-U All economic activities;Breda (SG);2010;19035.0
475;A-U All economic activities;Tilburg (SG);2006;13030.0
476;A-U All economic activities;Tilburg (SG);2007;13545.0
477;A-U All economic activities;Tilburg (SG);2008;14205.0
478;A-U All economic activities;Tilburg (SG);2009;15115.0
479;A-U All economic activities;Tilburg (SG);2010;15470.0
480;A-U All economic activities;'s-Hertogenbosch (SG);2006;10330.0
481;A-U All economic activities;'s-Hertogenbosch (SG);2007;10980.0
482;A-U All economic activities;'s-Hertogenbosch (SG);2008;11590.0
483;A-U All economic activities;'s-Hertogenbosch (SG);2009;12285.0
484;A-U All economic activities;'s-Hertogenbosch (SG);2010;12740.0
485;A-U All economic activities;Eindhoven (SG);2006;19270.0
486;A-U All economic activities;Eindhoven (SG);2007;20445.0
487;A-U All economic activities;Eindhoven (SG);2008;21595.0
488;A-U All economic activities;Eindhoven (SG);2009;22780.0
489;A-U All economic activities;Eindhoven (SG);2010;23320.0
490;A-U All economic activities;Geleen/Sittard (SG);2006;6515.0
491;A-U All economic activities;Geleen/Sittard (SG);2007;6755.0
492;A-U All economic activities;Geleen/Sittard (SG);2008;7040.0
493;A-U All economic activities;Geleen/Sittard (SG);2009;7295.0
494;A-U All economic activities;Geleen/Sittard (SG);2010;7385.0
495;A-U All economic activities;Heerlen (SG);2006;9310.0
496;A-U All economic activities;Heerlen (SG);2007;9760.0
497;A-U All economic activities;Heerlen (SG);2008;9995.0
498;A-U All economic activities;Heerlen (SG);2009;10360.0
499;A-U All economic activities;Heerlen (SG);2010;10420.0
500;A-U All economic activities;Maastricht (SG);2006;8535.0
501;A-U All economic activities;Maastricht (SG);2007;8815.0
502;A-U All economic activities;Maastricht (SG);2008;9015.0
503;A-U All economic activities;Maastricht (SG);2009;9340.0
504;A-U All economic activities;Maastricht (SG);2010;9500.0
505;A-U All economic activities;Aa en Hunze;2006;1360.0
506;A-U All economic activities;Aa en Hunze;2007;1410.0
507;A-U All economic activities;Aa en Hunze;2008;1470.0
508;A-U All economic activities;Aa en Hunze;2009;1535.0
509;A-U All economic activities;Aa en Hunze;2010;1580.0
510;A-U All economic activities;Aalburg;2006;835.0
511;A-U All economic activities;Aalburg;2007;875.0
512;A-U All economic activities;Aalburg;2008;930.0
513;A-U All economic activities;Aalburg;2009;985.0
514;A-U All economic activities;Aalburg;2010;995.0
515;A-U All economic activities;Aalsmeer;2006;1640.0
516;A-U All economic activities;Aalsmeer;2007;1690.0
517;A-U All economic activities;Aalsmeer;2008;1775.0
518;A-U All economic activities;Aalsmeer;2009;1895.0
519;A-U All economic activities;Aalsmeer;2010;1960.0
520;A-U All economic activities;Aalten;2006;1390.0
521;A-U All economic activities;Aalten;2007;1440.0
522;A-U All economic activities;Aalten;2008;1460.0
523;A-U All economic activities;Aalten;2009;1500.0
524;A-U All economic activities;Aalten;2010;1505.0
525;A-U All economic activities;Ter Aar;2006;590.0
526;A-U All economic activities;Ter Aar;2007;
527;A-U All economic activities;Ter Aar;2008;
528;A-U All economic activities;Ter Aar;2009;
529;A-U All economic activities;Ter Aar;2010;
530;A-U All economic activities;Abcoude;2006;640.0
531;A-U All economic activities;Abcoude;2007;645.0
532;A-U All economic activities;Abcoude;2008;685.0
533;A-U All economic activities;Abcoude;2009;725.0
534;A-U All economic activities;Abcoude;2010;745.0
535;A-U All economic activities;Achtkarspelen;2006;1355.0
536;A-U All economic activities;Achtkarspelen;2007;1435.0
537;A-U All economic activities;Achtkarspelen;2008;1555.0
538;A-U All economic activities;Achtkarspelen;2009;1675.0
539;A-U All economic activities;Achtkarspelen;2010;1705.0
540;A-U All economic activities;Alblasserdam;2006;865.0
541;A-U All economic activities;Alblasserdam;2007;935.0
542;A-U All economic activities;Alblasserdam;2008;995.0
543;A-U All economic activities;Alblasserdam;2009;1050.0
544;A-U All economic activities;Alblasserdam;2010;1060.0
545;A-U All economic activities;Albrandswaard;2006;885.0
546;A-U All economic activities;Albrandswaard;2007;940.0
547;A-U All economic activities;Albrandswaard;2008;1035.0
548;A-U All economic activities;Albrandswaard;2009;1080.0
549;A-U All economic activities;Albrandswaard;2010;1120.0
550;A-U All economic activities;Alkemade;2006;895.0
551;A-U All economic activities;Alkemade;2007;920.0
552;A-U All economic activities;Alkemade;2008;955.0
553;A-U All economic activities;Alkemade;2009;
554;A-U All economic activities;Alkemade;2010;
555;A-U All economic activities;Alkmaar;2006;4230.0
556;A-U All economic activities;Alkmaar;2007;4460.0
557;A-U All economic activities;Alkmaar;2008;4680.0
558;A-U All economic activities;Alkmaar;2009;4980.0
559;A-U All economic activities;Alkmaar;2010;5135.0
560;A-U All economic activities;Almelo;2006;2640.0
561;A-U All economic activities;Almelo;2007;2780.0
562;A-U All economic activities;Almelo;2008;2955.0
563;A-U All economic activities;Almelo;2009;3115.0
564;A-U All economic activities;Almelo;2010;3215.0
565;A-U All economic activities;Almere;2006;6275.0
566;A-U All economic activities;Almere;2007;6940.0
567;A-U All economic activities;Almere;2008;7670.0
568;A-U All economic activities;Almere;2009;8345.0
569;A-U All economic activities;Almere;2010;8560.0
570;A-U All economic activities;Alphen aan den Rijn;2006;3190.0
571;A-U All economic activities;Alphen aan den Rijn;2007;3440.0
572;A-U All economic activities;Alphen aan den Rijn;2008;3585.0
573;A-U All economic activities;Alphen aan den Rijn;2009;3815.0
574;A-U All economic activities;Alphen aan den Rijn;2010;3935.0
575;A-U All economic activities;Alphen-Chaam;2006;800.0
576;A-U All economic activities;Alphen-Chaam;2007;810.0
577;A-U All economic activities;Alphen-Chaam;2008;860.0
578;A-U All economic activities;Alphen-Chaam;2009;875.0
579;A-U All economic activities;Alphen-Chaam;2010;885.0
580;A-U All economic activities;Ambt Montfort;2006;515.0
581;A-U All economic activities;Ambt Montfort;2007;
582;A-U All economic activities;Ambt Montfort;2008;
583;A-U All economic activities;Ambt Montfort;2009;
584;A-U All economic activities;Ambt Montfort;2010;
585;A-U All economic activities;Ameland;2006;370.0
586;A-U All economic activities;Ameland;2007;380.0
587;A-U All economic activities;Ameland;2008;390.0
588;A-U All economic activities;Ameland;2009;400.0
589;A-U All economic activities;Ameland;2010;415.0
590;A-U All economic activities;Amersfoort;2006;6110.0
591;A-U All economic activities;Amersfoort;2007;6525.0
592;A-U All economic activities;Amersfoort;2008;6905.0
593;A-U All economic activities;Amersfoort;2009;7440.0
594;A-U All economic activities;Amersfoort;2010;7755.0
595;A-U All economic activities;Amstelveen;2006;3780.0
596;A-U All economic activities;Amstelveen;2007;4055.0
597;A-U All economic activities;Amstelveen;2008;4175.0
598;A-U All economic activities;Amstelveen;2009;4405.0
599;A-U All economic activities;Amstelveen;2010;4495.0
600;A-U All economic activities;Amsterdam;2006;46100.0
601;A-U All economic activities;Amsterdam;2007;48025.0
602;A-U All economic activities;Amsterdam;2008;50020.0
603;A-U All economic activities;Amsterdam;2009;53020.0
604;A-U All economic activities;Amsterdam;2010;54865.0
605;A-U All economic activities;Andijk;2006;425.0
606;A-U All economic activities;Andijk;2007;460.0
607;A-U All economic activities;Andijk;2008;475.0
608;A-U All economic activities;Andijk;2009;490.0
609;A-U All economic activities;Andijk;2010;480.0
610;A-U All economic activities;Anna Paulowna;2006;715.0
611;A-U All economic activities;Anna Paulowna;2007;730.0
612;A-U All economic activities;Anna Paulowna;2008;745.0
613;A-U All economic activities;Anna Paulowna;2009;755.0
614;A-U All economic activities;Anna Paulowna;2010;775.0
615;A-U All economic activities;Apeldoorn;2006;6980.0
616;A-U All economic activities;Apeldoorn;2007;7240.0
617;A-U All economic activities;Apeldoorn;2008;7455.0
618;A-U All economic activities;Apeldoorn;2009;7805.0
619;A-U All economic activities;Apeldoorn;2010;7980.0
620;A-U All economic activities;Appingedam;2006;390.0
621;A-U All economic activities;Appingedam;2007;410.0
622;A-U All economic activities;Appingedam;2008;425.0
623;A-U All economic activities;Appingedam;2009;435.0
624;A-U All economic activities;Appingedam;2010;425.0
625;A-U All economic activities;Arcen en Velden;2006;420.0
626;A-U All economic activities;Arcen en Velden;2007;435.0
627;A-U All economic activities;Arcen en Velden;2008;455.0
628;A-U All economic activities;Arcen en Velden;2009;465.0
629;A-U All economic activities;Arcen en Velden;2010;
630;A-U All economic activities;Arnhem;2006;6080.0
631;A-U All economic activities;Arnhem;2007;6425.0
632;A-U All economic activities;Arnhem;2008;6835.0
633;A-U All economic activities;Arnhem;2009;7430.0
634;A-U All economic activities;Arnhem;2010;7630.0
635;A-U All economic activities;Assen;2006;2355.0
636;A-U All economic activities;Assen;2007;2545.0
637;A-U All economic activities;Assen;2008;2655.0
638;A-U All economic activities;Assen;2009;2760.0
639;A-U All economic activities;Assen;2010;2815.0
640;A-U All economic activities;Asten;2006;1095.0
641;A-U All economic activities;Asten;2007;1160.0
642;A-U All economic activities;Asten;2008;1195.0
643;A-U All economic activities;Asten;2009;1230.0
644;A-U All economic activities;Asten;2010;1250.0
645;A-U All economic activities;Baarle-Nassau;2006;620.0
646;A-U All economic activities;Baarle-Nassau;2007;665.0
647;A-U All economic activities;Baarle-Nassau;2008;680.0
648;A-U All economic activities;Baarle-Nassau;2009;700.0
649;A-U All economic activities;Baarle-Nassau;2010;690.0
650;A-U All economic activities;Baarn;2006;1500.0
651;A-U All economic activities;Baarn;2007;1585.0
652;A-U All economic activities;Baarn;2008;1625.0
653;A-U All economic activities;Baarn;2009;1680.0
654;A-U All economic activities;Baarn;2010;1740.0
655;A-U All economic activities;Barendrecht;2006;1915.0
656;A-U All economic activities;Barendrecht;2007;2135.0
657;A-U All economic activities;Barendrecht;2008;2365.0
658;A-U All economic activities;Barendrecht;2009;2570.0
659;A-U All economic activities;Barendrecht;2010;2685.0
660;A-U All economic activities;Barneveld;2006;3705.0
661;A-U All economic activities;Barneveld;2007;3880.0
662;A-U All economic activities;Barneveld;2008;4000.0
663;A-U All economic activities;Barneveld;2009;4200.0
664;A-U All economic activities;Barneveld;2010;4285.0
665;A-U All economic activities;Bedum;2006;445.0
666;A-U All economic activities;Bedum;2007;460.0
667;A-U All economic activities;Bedum;2008;475.0
668;A-U All economic activities;Bedum;2009;485.0
669;A-U All economic activities;Bedum;2010;490.0
670;A-U All economic activities;Beek (L.);2006;910.0
671;A-U All economic activities;Beek (L.);2007;940.0
672;A-U All economic activities;Beek (L.);2008;965.0
673;A-U All economic activities;Beek (L.);2009;1000.0
674;A-U All economic activities;Beek (L.);2010;1030.0
675;A-U All economic activities;Beemster;2006;615.0
676;A-U All economic activities;Beemster;2007;645.0
677;A-U All economic activities;Beemster;2008;665.0
678;A-U All economic activities;Beemster;2009;700.0
679;A-U All economic activities;Beemster;2010;720.0
680;A-U All economic activities;Beesel;2006;530.0
681;A-U All economic activities;Beesel;2007;555.0
682;A-U All economic activities;Beesel;2008;575.0
683;A-U All economic activities;Beesel;2009;590.0
684;A-U All economic activities;Beesel;2010;585.0
685;A-U All economic activities;Bellingwedde;2006;485.0
686;A-U All economic activities;Bellingwedde;2007;495.0
687;A-U All economic activities;Bellingwedde;2008;510.0
688;A-U All economic activities;Bellingwedde;2009;535.0
689;A-U All economic activities;Bellingwedde;2010;535.0
690;A-U All economic activities;Bennebroek;2006;205.0
691;A-U All economic activities;Bennebroek;2007;220.0
692;A-U All economic activities;Bennebroek;2008;230.0
693;A-U All economic activities;Bennebroek;2009;
694;A-U All economic activities;Bennebroek;2010;
695;A-U All economic activities;Bergambacht;2006;590.0
696;A-U All economic activities;Bergambacht;2007;625.0
697;A-U All economic activities;Bergambacht;2008;645.0
698;A-U All economic activities;Bergambacht;2009;670.0
699;A-U All economic activities;Bergambacht;2010;695.0
700;A-U All economic activities;Bergeijk;2006;1245.0
701;A-U All economic activities;Bergeijk;2007;1295.0
702;A-U All economic activities;Bergeijk;2008;1370.0
703;A-U All economic activities;Bergeijk;2009;1425.0
704;A-U All economic activities;Bergeijk;2010;1455.0
705;A-U All economic activities;Bergen (L.);2006;670.0
706;A-U All economic activities;Bergen (L.);2007;695.0
707;A-U All economic activities;Bergen (L.);2008;705.0
708;A-U All economic activities;Bergen (L.);2009;730.0
709;A-U All economic activities;Bergen (L.);2010;750.0
710;A-U All economic activities;Bergen (NH.);2006;1820.0
711;A-U All economic activities;Bergen (NH.);2007;1905.0
712;A-U All economic activities;Bergen (NH.);2008;1945.0
713;A-U All economic activities;Bergen (NH.);2009;2030.0
714;A-U All economic activities;Bergen (NH.);2010;2090.0
715;A-U All economic activities;Bergen op Zoom;2006;2780.0
716;A-U All economic activities;Bergen op Zoom;2007;2920.0
717;A-U All economic activities;Bergen op Zoom;2008;3075.0
718;A-U All economic activities;Bergen op Zoom;2009;3290.0
719;A-U All economic activities;Bergen op Zoom;2010;3355.0
720;A-U All economic activities;Bergschenhoek;2006;765.0
721;A-U All economic activities;Bergschenhoek;2007;
722;A-U All economic activities;Bergschenhoek;2008;
723;A-U All economic activities;Bergschenhoek;2009;
724;A-U All economic activities;Bergschenhoek;2010;
725;A-U All economic activities;Berkel en Rodenrijs;2006;910.0
726;A-U All economic activities;Berkel en Rodenrijs;2007;
727;A-U All economic activities;Berkel en Rodenrijs;2008;
728;A-U All economic activities;Berkel en Rodenrijs;2009;
729;A-U All economic activities;Berkel en Rodenrijs;2010;
730;A-U All economic activities;Berkelland;2006;2850.0
731;A-U All economic activities;Berkelland;2007;2935.0
732;A-U All economic activities;Berkelland;2008;2950.0
733;A-U All economic activities;Berkelland;2009;3015.0
734;A-U All economic activities;Berkelland;2010;3035.0
735;A-U All economic activities;Bernheze;2006;1855.0
736;A-U All economic activities;Bernheze;2007;1900.0
737;A-U All economic activities;Bernheze;2008;1975.0
738;A-U All economic activities;Bernheze;2009;2065.0
739;A-U All economic activities;Bernheze;2010;2080.0
740;A-U All economic activities;Bernisse;2006;605.0
741;A-U All economic activities;Bernisse;2007;645.0
742;A-U All economic activities;Bernisse;2008;680.0
743;A-U All economic activities;Bernisse;2009;715.0
744;A-U All economic activities;Bernisse;2010;730.0
745;A-U All economic activities;Best;2006;1455.0
746;A-U All economic activities;Best;2007;1525.0
747;A-U All economic activities;Best;2008;1585.0
748;A-U All economic activities;Best;2009;1650.0
749;A-U All economic activities;Best;2010;1695.0
750;A-U All economic activities;Beuningen;2006;1150.0
751;A-U All economic activities;Beuningen;2007;1200.0
752;A-U All economic activities;Beuningen;2008;1240.0
753;A-U All economic activities;Beuningen;2009;1295.0
