ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
3668;17-18 Manufacture of paper and printing;1995 December;1;1;0
3669;17-18 Manufacture of paper and printing;1995 4th quarter;10;3;7
3670;17-18 Manufacture of paper and printing;1995;55;17;38
3671;17-18 Manufacture of paper and printing;1996 January;6;3;3
3672;17-18 Manufacture of paper and printing;1996 February;6;4;2
3673;17-18 Manufacture of paper and printing;1996 March;5;2;3
3674;17-18 Manufacture of paper and printing;1996 1st quarter;17;9;8
3675;17-18 Manufacture of paper and printing;1996 April;6;3;3
3676;17-18 Manufacture of paper and printing;1996 May;2;1;1
3677;17-18 Manufacture of paper and printing;1996 June;2;1;1
3678;17-18 Manufacture of paper and printing;1996 2nd quarter;10;5;5
3679;17-18 Manufacture of paper and printing;1996 July;5;1;4
3680;17-18 Manufacture of paper and printing;1996 August;1;1;0
3681;17-18 Manufacture of paper and printing;1996 September;7;1;6
3682;17-18 Manufacture of paper and printing;1996 3rd quarter;13;3;10
3683;17-18 Manufacture of paper and printing;1996 October;6;5;1
3684;17-18 Manufacture of paper and printing;1996 November;3;1;2
3685;17-18 Manufacture of paper and printing;1996 December;8;2;6
3686;17-18 Manufacture of paper and printing;1996 4th quarter;17;8;9
3687;17-18 Manufacture of paper and printing;1996;57;25;32
3688;17-18 Manufacture of paper and printing;1997 January;3;0;3
3689;17-18 Manufacture of paper and printing;1997 February;1;0;1
3690;17-18 Manufacture of paper and printing;1997 March;5;0;5
3691;17-18 Manufacture of paper and printing;1997 1st quarter;9;0;9
3692;17-18 Manufacture of paper and printing;1997 April;0;0;0
3693;17-18 Manufacture of paper and printing;1997 May;1;0;1
3694;17-18 Manufacture of paper and printing;1997 June;3;2;1
3695;17-18 Manufacture of paper and printing;1997 2nd quarter;4;2;2
3696;17-18 Manufacture of paper and printing;1997 July;3;0;3
3697;17-18 Manufacture of paper and printing;1997 August;2;1;1
3698;17-18 Manufacture of paper and printing;1997 September;3;1;2
3699;17-18 Manufacture of paper and printing;1997 3rd quarter;8;2;6
3700;17-18 Manufacture of paper and printing;1997 October;5;2;3
3701;17-18 Manufacture of paper and printing;1997 November;1;1;0
3702;17-18 Manufacture of paper and printing;1997 December;3;1;2
3703;17-18 Manufacture of paper and printing;1997 4th quarter;9;4;5
3704;17-18 Manufacture of paper and printing;1997;30;8;22
3705;17-18 Manufacture of paper and printing;1998 January;3;1;2
3706;17-18 Manufacture of paper and printing;1998 February;4;3;1
3707;17-18 Manufacture of paper and printing;1998 March;8;1;7
3708;17-18 Manufacture of paper and printing;1998 1st quarter;15;5;10
3709;17-18 Manufacture of paper and printing;1998 April;4;0;4
3710;17-18 Manufacture of paper and printing;1998 May;0;0;0
3711;17-18 Manufacture of paper and printing;1998 June;5;0;5
3712;17-18 Manufacture of paper and printing;1998 2nd quarter;9;0;9
3713;17-18 Manufacture of paper and printing;1998 July;1;0;1
3714;17-18 Manufacture of paper and printing;1998 August;5;1;4
3715;17-18 Manufacture of paper and printing;1998 September;12;4;8
3716;17-18 Manufacture of paper and printing;1998 3rd quarter;18;5;13
3717;17-18 Manufacture of paper and printing;1998 October;4;2;2
3718;17-18 Manufacture of paper and printing;1998 November;2;2;0
3719;17-18 Manufacture of paper and printing;1998 December;1;0;1
3720;17-18 Manufacture of paper and printing;1998 4th quarter;7;4;3
3721;17-18 Manufacture of paper and printing;1998;49;14;35
3722;17-18 Manufacture of paper and printing;1999 January;4;0;4
3723;17-18 Manufacture of paper and printing;1999 February;0;0;0
3724;17-18 Manufacture of paper and printing;1999 March;1;0;1
3725;17-18 Manufacture of paper and printing;1999 1st quarter;5;0;5
3726;17-18 Manufacture of paper and printing;1999 April;3;0;3
3727;17-18 Manufacture of paper and printing;1999 May;4;1;3
3728;17-18 Manufacture of paper and printing;1999 June;6;2;4
3729;17-18 Manufacture of paper and printing;1999 2nd quarter;13;3;10
3730;17-18 Manufacture of paper and printing;1999 July;3;0;3
3731;17-18 Manufacture of paper and printing;1999 August;4;1;3
3732;17-18 Manufacture of paper and printing;1999 September;5;1;4
3733;17-18 Manufacture of paper and printing;1999 3rd quarter;12;2;10
3734;17-18 Manufacture of paper and printing;1999 October;5;2;3
3735;17-18 Manufacture of paper and printing;1999 November;2;0;2
3736;17-18 Manufacture of paper and printing;1999 December;3;1;2
3737;17-18 Manufacture of paper and printing;1999 4th quarter;10;3;7
3738;17-18 Manufacture of paper and printing;1999;40;8;32
3739;17-18 Manufacture of paper and printing;2000 January;1;0;1
3740;17-18 Manufacture of paper and printing;2000 February;1;0;1
3741;17-18 Manufacture of paper and printing;2000 March;1;0;1
3742;17-18 Manufacture of paper and printing;2000 1st quarter;3;0;3
3743;17-18 Manufacture of paper and printing;2000 April;0;0;0
3744;17-18 Manufacture of paper and printing;2000 May;2;0;2
3745;17-18 Manufacture of paper and printing;2000 June;3;0;3
3746;17-18 Manufacture of paper and printing;2000 2nd quarter;5;0;5
3747;17-18 Manufacture of paper and printing;2000 July;7;1;6
3748;17-18 Manufacture of paper and printing;2000 August;6;1;5
3749;17-18 Manufacture of paper and printing;2000 September;6;0;6
3750;17-18 Manufacture of paper and printing;2000 3rd quarter;19;2;17
3751;17-18 Manufacture of paper and printing;2000 October;7;1;6
3752;17-18 Manufacture of paper and printing;2000 November;6;0;6
3753;17-18 Manufacture of paper and printing;2000 December;3;1;2
3754;17-18 Manufacture of paper and printing;2000 4th quarter;16;2;14
3755;17-18 Manufacture of paper and printing;2000;43;4;39
3756;17-18 Manufacture of paper and printing;2001 January;4;1;3
3757;17-18 Manufacture of paper and printing;2001 February;2;0;2
3758;17-18 Manufacture of paper and printing;2001 March;3;0;3
3759;17-18 Manufacture of paper and printing;2001 1st quarter;9;1;8
3760;17-18 Manufacture of paper and printing;2001 April;4;0;4
3761;17-18 Manufacture of paper and printing;2001 May;4;0;4
3762;17-18 Manufacture of paper and printing;2001 June;5;1;4
3763;17-18 Manufacture of paper and printing;2001 2nd quarter;13;1;12
3764;17-18 Manufacture of paper and printing;2001 July;6;0;6
3765;17-18 Manufacture of paper and printing;2001 August;8;1;7
3766;17-18 Manufacture of paper and printing;2001 September;5;0;5
3767;17-18 Manufacture of paper and printing;2001 3rd quarter;19;1;18
3768;17-18 Manufacture of paper and printing;2001 October;14;2;12
3769;17-18 Manufacture of paper and printing;2001 November;7;1;6
3770;17-18 Manufacture of paper and printing;2001 December;8;1;7
3771;17-18 Manufacture of paper and printing;2001 4th quarter;29;4;25
3772;17-18 Manufacture of paper and printing;2001;70;7;63
3773;17-18 Manufacture of paper and printing;2002 January;8;2;6
3774;17-18 Manufacture of paper and printing;2002 February;5;0;5
3775;17-18 Manufacture of paper and printing;2002 March;1;0;1
3776;17-18 Manufacture of paper and printing;2002 1st quarter;14;2;12
3777;17-18 Manufacture of paper and printing;2002 April;1;0;1
3778;17-18 Manufacture of paper and printing;2002 May;6;0;6
3779;17-18 Manufacture of paper and printing;2002 June;4;0;4
3780;17-18 Manufacture of paper and printing;2002 2nd quarter;11;0;11
3781;17-18 Manufacture of paper and printing;2002 July;6;0;6
3782;17-18 Manufacture of paper and printing;2002 August;2;1;1
3783;17-18 Manufacture of paper and printing;2002 September;10;1;9
3784;17-18 Manufacture of paper and printing;2002 3rd quarter;18;2;16
3785;17-18 Manufacture of paper and printing;2002 October;9;0;9
3786;17-18 Manufacture of paper and printing;2002 November;4;0;4
3787;17-18 Manufacture of paper and printing;2002 December;10;0;10
3788;17-18 Manufacture of paper and printing;2002 4th quarter;23;0;23
3789;17-18 Manufacture of paper and printing;2002;66;4;62
3790;17-18 Manufacture of paper and printing;2003 January;6;1;5
3791;17-18 Manufacture of paper and printing;2003 February;5;0;5
3792;17-18 Manufacture of paper and printing;2003 March;8;0;8
3793;17-18 Manufacture of paper and printing;2003 1st quarter;19;1;18
3794;17-18 Manufacture of paper and printing;2003 April;2;0;2
3795;17-18 Manufacture of paper and printing;2003 May;7;0;7
3796;17-18 Manufacture of paper and printing;2003 June;15;0;15
3797;17-18 Manufacture of paper and printing;2003 2nd quarter;24;0;24
3798;17-18 Manufacture of paper and printing;2003 July;9;0;9
3799;17-18 Manufacture of paper and printing;2003 August;13;1;12
3800;17-18 Manufacture of paper and printing;2003 September;13;1;12
3801;17-18 Manufacture of paper and printing;2003 3rd quarter;35;2;33
3802;17-18 Manufacture of paper and printing;2003 October;7;1;6
3803;17-18 Manufacture of paper and printing;2003 November;6;0;6
3804;17-18 Manufacture of paper and printing;2003 December;9;1;8
3805;17-18 Manufacture of paper and printing;2003 4th quarter;22;2;20
3806;17-18 Manufacture of paper and printing;2003;100;5;95
3807;17-18 Manufacture of paper and printing;2004 January;10;1;9
3808;17-18 Manufacture of paper and printing;2004 February;5;1;4
3809;17-18 Manufacture of paper and printing;2004 March;10;0;10
3810;17-18 Manufacture of paper and printing;2004 1st quarter;25;2;23
3811;17-18 Manufacture of paper and printing;2004 April;5;1;4
3812;17-18 Manufacture of paper and printing;2004 May;4;0;4
3813;17-18 Manufacture of paper and printing;2004 June;8;0;8
3814;17-18 Manufacture of paper and printing;2004 2nd quarter;17;1;16
3815;17-18 Manufacture of paper and printing;2004 July;7;1;6
3816;17-18 Manufacture of paper and printing;2004 August;11;3;8
3817;17-18 Manufacture of paper and printing;2004 September;7;0;7
3818;17-18 Manufacture of paper and printing;2004 3rd quarter;25;4;21
3819;17-18 Manufacture of paper and printing;2004 October;6;0;6
3820;17-18 Manufacture of paper and printing;2004 November;6;0;6
3821;17-18 Manufacture of paper and printing;2004 December;9;0;9
3822;17-18 Manufacture of paper and printing;2004 4th quarter;21;0;21
3823;17-18 Manufacture of paper and printing;2004;88;7;81
3824;17-18 Manufacture of paper and printing;2005 January;7;0;7
3825;17-18 Manufacture of paper and printing;2005 February;6;1;5
3826;17-18 Manufacture of paper and printing;2005 March;5;0;5
3827;17-18 Manufacture of paper and printing;2005 1st quarter;18;1;17
3828;17-18 Manufacture of paper and printing;2005 April;5;0;5
3829;17-18 Manufacture of paper and printing;2005 May;3;1;2
3830;17-18 Manufacture of paper and printing;2005 June;4;1;3
3831;17-18 Manufacture of paper and printing;2005 2nd quarter;12;2;10
3832;17-18 Manufacture of paper and printing;2005 July;4;2;2
3833;17-18 Manufacture of paper and printing;2005 August;13;2;11
3834;17-18 Manufacture of paper and printing;2005 September;16;1;15
3835;17-18 Manufacture of paper and printing;2005 3rd quarter;33;5;28
3836;17-18 Manufacture of paper and printing;2005 October;8;0;8
3837;17-18 Manufacture of paper and printing;2005 November;7;1;6
3838;17-18 Manufacture of paper and printing;2005 December;4;0;4
3839;17-18 Manufacture of paper and printing;2005 4th quarter;19;1;18
3840;17-18 Manufacture of paper and printing;2005;82;9;73
3841;17-18 Manufacture of paper and printing;2006 January;5;0;5
3842;17-18 Manufacture of paper and printing;2006 February;5;0;5
3843;17-18 Manufacture of paper and printing;2006 March;3;1;2
3844;17-18 Manufacture of paper and printing;2006 1st quarter;13;1;12
3845;17-18 Manufacture of paper and printing;2006 April;5;0;5
3846;17-18 Manufacture of paper and printing;2006 May;8;3;5
3847;17-18 Manufacture of paper and printing;2006 June;5;0;5
3848;17-18 Manufacture of paper and printing;2006 2nd quarter;18;3;15
3849;17-18 Manufacture of paper and printing;2006 July;2;0;2
3850;17-18 Manufacture of paper and printing;2006 August;3;0;3
3851;17-18 Manufacture of paper and printing;2006 September;3;0;3
3852;17-18 Manufacture of paper and printing;2006 3rd quarter;8;0;8
3853;17-18 Manufacture of paper and printing;2006 October;4;0;4
3854;17-18 Manufacture of paper and printing;2006 November;3;0;3
3855;17-18 Manufacture of paper and printing;2006 December;4;1;3
3856;17-18 Manufacture of paper and printing;2006 4th quarter;11;1;10
3857;17-18 Manufacture of paper and printing;2006;50;5;45
3858;17-18 Manufacture of paper and printing;2007 January;6;0;6
3859;17-18 Manufacture of paper and printing;2007 February;3;1;2
3860;17-18 Manufacture of paper and printing;2007 March;1;0;1
3861;17-18 Manufacture of paper and printing;2007 1st quarter;10;1;9
3862;17-18 Manufacture of paper and printing;2007 April;7;0;7
3863;17-18 Manufacture of paper and printing;2007 May;3;0;3
3864;17-18 Manufacture of paper and printing;2007 June;5;2;3
3865;17-18 Manufacture of paper and printing;2007 2nd quarter;15;2;13
3866;17-18 Manufacture of paper and printing;2007 July;8;0;8
3867;17-18 Manufacture of paper and printing;2007 August;4;0;4
3868;17-18 Manufacture of paper and printing;2007 September;7;0;7
3869;17-18 Manufacture of paper and printing;2007 3rd quarter;19;0;19
3870;17-18 Manufacture of paper and printing;2007 October;5;0;5
3871;17-18 Manufacture of paper and printing;2007 November;4;0;4
3872;17-18 Manufacture of paper and printing;2007 December;4;1;3
3873;17-18 Manufacture of paper and printing;2007 4th quarter;13;1;12
3874;17-18 Manufacture of paper and printing;2007;57;4;53
3875;17-18 Manufacture of paper and printing;2008 January;8;2;6
3876;17-18 Manufacture of paper and printing;2008 February;3;0;3
3877;17-18 Manufacture of paper and printing;2008 March;4;0;4
3878;17-18 Manufacture of paper and printing;2008 1st quarter;15;2;13
3879;17-18 Manufacture of paper and printing;2008 April;10;0;10
3880;17-18 Manufacture of paper and printing;2008 May;2;0;2
3881;17-18 Manufacture of paper and printing;2008 June;8;1;7
3882;17-18 Manufacture of paper and printing;2008 2nd quarter;20;1;19
3883;17-18 Manufacture of paper and printing;2008 July;0;0;0
3884;17-18 Manufacture of paper and printing;2008 August;2;0;2
3885;17-18 Manufacture of paper and printing;2008 September;4;0;4
3886;17-18 Manufacture of paper and printing;2008 3rd quarter;6;0;6
3887;17-18 Manufacture of paper and printing;2008 October;4;1;3
3888;17-18 Manufacture of paper and printing;2008 November;7;0;7
3889;17-18 Manufacture of paper and printing;2008 December;9;2;7
3890;17-18 Manufacture of paper and printing;2008 4th quarter;20;3;17
3891;17-18 Manufacture of paper and printing;2008;61;6;55
3892;17-18 Manufacture of paper and printing;2009 January;7;0;7
3893;17-18 Manufacture of paper and printing;2009 February;12;0;12
3894;17-18 Manufacture of paper and printing;2009 March;17;0;17
3895;17-18 Manufacture of paper and printing;2009 1st quarter;36;0;36
3896;17-18 Manufacture of paper and printing;2009 April;4;0;4
3897;17-18 Manufacture of paper and printing;2009 May;12;0;12
3898;17-18 Manufacture of paper and printing;2009 June;28;1;27
3899;17-18 Manufacture of paper and printing;2009 2nd quarter;44;1;43
3900;17-18 Manufacture of paper and printing;2009 July;3;0;3
3901;17-18 Manufacture of paper and printing;2009 August;10;1;9
3902;17-18 Manufacture of paper and printing;2009 September;5;0;5
3903;17-18 Manufacture of paper and printing;2009 3rd quarter;18;1;17
3904;17-18 Manufacture of paper and printing;2009 October;10;1;9
3905;17-18 Manufacture of paper and printing;2009 November;4;0;4
3906;17-18 Manufacture of paper and printing;2009 December;6;1;5
3907;17-18 Manufacture of paper and printing;2009 4th quarter;20;2;18
3908;17-18 Manufacture of paper and printing;2009;118;4;114
3909;17-18 Manufacture of paper and printing;2010 January;10;0;10
3910;17-18 Manufacture of paper and printing;2010 February;16;0;16
3911;17-18 Manufacture of paper and printing;2010 March;13;0;13
3912;17-18 Manufacture of paper and printing;2010 1st quarter;39;0;39
3913;17-18 Manufacture of paper and printing;2010 April;7;0;7
3914;17-18 Manufacture of paper and printing;2010 May;6;0;6
3915;17-18 Manufacture of paper and printing;2010 June;17;1;16
3916;17-18 Manufacture of paper and printing;2010 2nd quarter;30;1;29
3917;17-18 Manufacture of paper and printing;2010 July;3;0;3
3918;17-18 Manufacture of paper and printing;2010 August;16;2;14
3919;17-18 Manufacture of paper and printing;2010 September;7;0;7
3920;17-18 Manufacture of paper and printing;2010 3rd quarter;26;2;24
3921;17-18 Manufacture of paper and printing;2010 October;33;1;32
3922;17-18 Manufacture of paper and printing;2010 November;13;1;12
3923;17-18 Manufacture of paper and printing;2010 December;10;0;10
3924;17-18 Manufacture of paper and printing;2010 4th quarter;56;2;54
3925;17-18 Manufacture of paper and printing;2010;151;5;146
3926;17-18 Manufacture of paper and printing;2011 January;9;1;8
3927;17-18 Manufacture of paper and printing;2011 February;8;1;7
3928;17-18 Manufacture of paper and printing;2011 March;17;1;16
3929;17-18 Manufacture of paper and printing;2011 1st quarter;34;3;31
3930;17-18 Manufacture of paper and printing;2011 April;9;0;9
3931;17-18 Manufacture of paper and printing;2011 May;13;0;13
3932;17-18 Manufacture of paper and printing;2011 June;12;0;12
3933;17-18 Manufacture of paper and printing;2011 2nd quarter;34;0;34
3934;17-18 Manufacture of paper and printing;2011 July;15;0;15
3935;17-18 Manufacture of paper and printing;2011 August;12;0;12
3936;17-18 Manufacture of paper and printing;2011 September;18;2;16
3937;17-18 Manufacture of paper and printing;2011 3rd quarter;45;2;43
3938;17-18 Manufacture of paper and printing;2011 October;12;0;12
3939;17-18 Manufacture of paper and printing;2011 November;17;0;17
3940;17-18 Manufacture of paper and printing;2011 December;4;0;4
3941;17-18 Manufacture of paper and printing;2011 4th quarter;33;0;33
3942;17-18 Manufacture of paper and printing;2011;146;5;141
3943;17-18 Manufacture of paper and printing;2012 January;9;2;7
3944;17-18 Manufacture of paper and printing;2012 February;9;0;9
3945;17-18 Manufacture of paper and printing;2012 March;7;0;7
