ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
135;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2017;62.1;27.6;68.4;78.6;24.2;76.6;40.3;47.4;41.0;42.6;47.4
136;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2018;63.8;26.6;71.2;79.1;30.0;76.4;43.4;47.7;47.4;46.0;52.8
137;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2019;63.1;27.1;71.2;80.8;33.2;75.4;43.8;48.9;43.1;43.0;52.6
138;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2020;66.6;27.1;77.1;81.8;33.9;77.0;54.7;53.8;46.2;38.3;56.8
139;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2021;66.9;27.7;74.6;80.9;43.9;75.2;40.8;49.7;48.5;42.4;61.5
140;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2012;66.1;36.0;72.7;81.6;36.2;70.5;42.3;50.0;49.5;56.9;46.6
141;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2013;66.0;30.4;73.3;82.3;32.6;72.4;40.1;47.8;40.9;45.8;42.9
142;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2014;65.5;33.6;74.4;80.7;35.0;68.7;39.6;46.5;46.1;49.7;44.2
143;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2015;67.2;34.2;76.5;81.4;31.6;74.2;38.6;48.2;41.9;49.4;46.3
144;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2016;70.2;34.2;76.5;81.1;30.2;74.6;43.0;50.0;47.2;48.2;43.9
145;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2017;67.8;33.5;73.9;83.4;29.6;81.5;46.3;53.5;47.0;48.7;53.5
146;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2018;69.4;32.2;76.5;83.7;35.6;81.2;49.4;53.7;53.4;52.0;58.8
147;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2019;68.5;32.9;76.6;85.6;39.0;80.4;49.6;55.1;48.9;48.8;58.4
148;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2020;72.0;32.9;81.9;86.2;39.7;81.8;60.5;59.6;52.0;44.1;62.6
149;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2021;72.7;33.9;80.0;85.7;50.1;80.2;47.0;55.9;54.7;48.6;67.7
150;Leeftijd: 35 tot 45 jaar;Waarde;2012;63.5;29.1;63.3;74.6;34.1;69.6;36.8;44.6;39.7;48.6;40.3
151;Leeftijd: 35 tot 45 jaar;Waarde;2013;60.3;26.2;65.1;73.8;35.5;68.6;33.2;41.2;33.0;42.2;33.8
152;Leeftijd: 35 tot 45 jaar;Waarde;2014;60.5;24.8;65.2;73.7;33.9;70.3;37.9;43.7;34.7;41.2;36.2
153;Leeftijd: 35 tot 45 jaar;Waarde;2015;62.8;29.0;68.1;75.8;31.9;73.1;36.8;45.8;36.3;41.6;36.2
154;Leeftijd: 35 tot 45 jaar;Waarde;2016;64.0;29.6;67.5;74.1;34.7;72.8;39.1;43.8;33.6;40.0;34.5
155;Leeftijd: 35 tot 45 jaar;Waarde;2017;63.7;30.8;72.0;78.0;34.1;77.6;42.8;46.5;37.0;41.9;43.6
156;Leeftijd: 35 tot 45 jaar;Waarde;2018;64.7;28.9;68.1;77.8;36.4;78.1;44.5;47.7;39.9;39.9;43.5
157;Leeftijd: 35 tot 45 jaar;Waarde;2019;68.5;25.3;74.8;81.3;38.2;79.0;42.7;49.3;40.0;39.5;48.5
158;Leeftijd: 35 tot 45 jaar;Waarde;2020;69.3;31.0;77.7;84.3;39.7;79.9;55.1;55.6;47.2;41.9;50.9
159;Leeftijd: 35 tot 45 jaar;Waarde;2021;70.0;29.6;76.1;81.8;44.3;78.6;45.5;49.1;46.9;42.7;53.6
160;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2012;60.9;26.5;60.6;72.1;31.5;67.1;34.1;41.8;37.0;45.8;37.6
161;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2013;57.5;23.6;62.3;71.3;32.7;65.9;30.4;38.3;30.3;39.3;31.0
162;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2014;57.6;22.2;62.4;71.1;31.2;67.6;35.1;40.8;32.0;38.3;33.4
163;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2015;60.0;26.2;65.3;73.3;29.2;70.5;33.9;42.8;33.5;38.6;33.3
164;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2016;61.1;26.7;64.6;71.4;31.8;70.1;36.1;40.8;30.8;37.0;31.6
165;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2017;60.8;27.9;69.2;75.5;31.2;75.1;39.8;43.4;34.0;38.8;40.5
