ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
259;"Overheid; markt";Milieu onderzoek;2020;0;;;;;;;;;;;;;
260;"Overheid; markt";Milieu onderzoek;2021;0;;;;;;;;;;;;;
261;"Overheid; markt";Overige milieubescherming;2013    ;164;164.0;;;;;;;;;;;;
262;"Overheid; markt";Overige milieubescherming;2014    ;159;159.0;;;;;;;;;;;;
263;"Overheid; markt";Overige milieubescherming;2015    ;150;150.0;;;;;;;;;;;;
264;"Overheid; markt";Overige milieubescherming;2016    ;177;177.0;;;;;;;;;;;;
265;"Overheid; markt";Overige milieubescherming;2017    ;201;201.0;;;;;;;;;;;;
266;"Overheid; markt";Overige milieubescherming;2018    ;195;195.0;;;;;;;;;;;;
267;"Overheid; markt";Overige milieubescherming;2019;198;198.0;;;;;;;;;;;;
268;"Overheid; markt";Overige milieubescherming;2020;210;210.0;;;;;;;;;;;;
269;"Overheid; markt";Overige milieubescherming;2021;189;189.0;;;;;;;;;;;;
270;Bedrijven;Totaal milieubescherming;2013    ;5235;5752.0;1772.0;262.0;344.0;1336.0;2577.0;;672.0;;310.0;;;6601.0
271;Bedrijven;Totaal milieubescherming;2014    ;5325;5881.0;1806.0;241.0;320.0;1329.0;2674.0;;1277.0;;346.0;;;7293.0
272;Bedrijven;Totaal milieubescherming;2015    ;5105;5778.0;1698.0;272.0;348.0;1101.0;2406.0;;1499.0;;377.0;;;6857.0
273;Bedrijven;Totaal milieubescherming;2016    ;5123;5925.0;1735.0;273.0;451.0;1110.0;2345.0;;801.0;;226.0;;;6261.0
274;Bedrijven;Totaal milieubescherming;2017    ;5207;6145.0;1920.0;263.0;411.0;1130.0;2447.0;;716.0;;318.0;;;6444.0
275;Bedrijven;Totaal milieubescherming;2018    ;5379;6444.0;2054.0;256.0;422.0;1155.0;2556.0;;1040.0;;404.0;;;6903.0
