ID;Dimensions;Periods;Total_1;GrossDomesticProduct_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;Total_6;Total_7;Total_8;ConsumptionByHouseholds_9;ConsumptionByGeneralGovernment_10;Total_11;ByEnterprisesAndHouseholds_12;ByGovernment_13;ChangesInInventories_14;Total_15;ExportsOfGoods_16;ExportsOfServices_17;Total_18;AFAgricultureAndIndustry_19;AAgricultureForestryAndFishing_20;Total_21;BMiningAndQuarrying_22;Total_23;k_1012ManufactureOfFoodAndBeverages_24;k_1315ManOfTextileLeatherproducts_25;k_1618ManOfWoodPaperPrinting_26;k_19ManufactureOfCokeAndPetroleum_27;k_2021ManOfChemicalsPharmaceuticals_28;k_2223ManOfRubberPlasticsMinerals_29;k_2425ManOfBasicMetalsAndProducts_30;k_2627ManOfElectricElectronicProd_31;k_28ManOfOtherMachineryAndEquipment_32;k_2930ManOfTransportEquipment_33;k_3133ManOfOtherProductsAndRepair_34;DElectricityAndGasSupply_35;EWaterSupplyAndWasteManagement_36;FConstruction_37;GNCommercialServices_38;Total_39;GWholesaleAndRetailTrade_40;HTransportationAndStorage_41;IAccommodationAndFoodServing_42;JInformationAndCommunication_43;KFinancialInstitutions_44;LRentingBuyingSellingRealEstate_45;Total_46;MSpecialisedBusinessServices_47;Total_48;k_77RentingAndLeasingOfTangibleGoods_49;k_78EmploymentActivities_50;k_79TravelAgenciesTourOperatorsEtc_51;k_8082SecurityAndOtherServices_52;OUNoncommercialServices_53;Total_54;Total_55;OPublicAdministrationAndServices_56;PEducation_57;QHealthAndSocialWorkActivities_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;DifferenceImputedAndPaidVAT_63;GrossDomesticProduct_64;CompensationOfEmployees_65;OperatingSurplusNet_66;TaxesLessSubsidies_67;TaxesOnProductionAndImports_68;Subsidies_69;NetDomesticProduct_70;ConsumptionOfFixedCapital_71;GrossDomesticProduct_72;GrossDomesticProduct_73;NetPrimaryIncomeAbroad_74;PrimaryIncomeAbroadReceived_75;PrimaryIncomeAbroadPaid_76;GrossNationalIncome_77;NetCurrentTransfersAbroad_78;CurrentTransfersAbroadReceived_79;CurrentTransfersAbroadPaid_80;GrossDisposableNationalIncome_81;FinalConsumptionExpenditure_82;AdjustmentForEquityPensionFunds_83;GrossNationalSaving_84;GrossFixedCapitalFormation_85;SurplusOfTheNationOnIncome_86;NetExportsOfGoods_87;NetExportsOfServices_88;NetPrimaryIncomeAbroad_89;NetCurrentTransfersAbroad_90;AdjustmentForEquityPensionFunds_91;SurplusOfNationOnCurrentTransaction_92;NetCapitalTransfersAbroad_93;CapitalTransfersAbroadReceived_94;CapitalTransfersAbroadPaid_95;NationalNetLendingOrNetBorrowing_96;TotalConsumptionExpenditure_97;Total_98;Total_99;Total_100;Food_101;BeveragesAndTobacco_102;Total_103;ClothingAndFootwear_104;VehiclesAndParts_105;HomeFurnishingAndOtherDurableGoods_106;Total_107;EnergyAndWater_108;MotorFuelAndOtherGoods_109;Total_110;Housing_111;HotelsAndRestaurantsServices_112;RecreationalAndCulturalServices_113;TransportAndCommunicationServices_114;MedicalServicesAndWelfare_115;FinancialAndBusinessServices_116;OtherServices_117;DomesticConsumption_118;ConsumptionByResidentsAbroad_119;ConsumptionForeignerInTheNetherlands_120;Total_121;IndividualConsumptionByGovernment_122;CollectiveConsumptionByGovernment_123;TotalConsumptionExpenditure_124;ActualIndividualConsumption_125;ActualCollectiveFinalConsumption_126;TotalGrossFixedCapitalFormation_127;Total_128;Dwellings_129;Total_130;NonResidentialBuildings_131;CivilEngineeringWorks_132;TransportEquipment_133;Total_134;MachineryAndEquipment_135;Computers_136;CultivatedAssetsTreesAndLivestock_137;Total_138;OtherTangibleFixedAssets_139;IntangibleFixedAssets_140;TransfersCostsOfGround_141;SalesOfExistingFixedAssets_142;TotalGrossFixedCapitalFormation_143;Total_144;AAgricultureForestryAndFishing_145;BFIndustryAndEnergy_146;GNCommercialServices_147;OUNoncommercialServices_148;SalesOfExistingFixedAssets_149;TotalExports_150;ProductsOfAgricultureAndFishing_151;CrudeOilGasAndOtherMinerals_152;FoodBeveragesAndTobaccoProducts_153;TextilesWearingApparelAndLeather_154;PaperPrintedMatterAndRecordedMedia_155;CokePetroleumProductsAndOtherFuel_156;ChemicalProductsAndManMadeFibres_157;RubberEnPlasticProducts_158;BasicMetalsAndMetalProducts_159;MachineryAndEquipmentIE_160;ElectricalMachineryOpticalEquipment_161;TransportEquipment_162;OtherManufacturedProductsIE_163;TransportAndCommunicationServices_164;FinancialAndBusinessServices_165;OtherProducts_166;ConsumptionForeignerInTheNetherlands_167;ExportsOfUsedFixedCapitalGoods_168;CifFobAdjustment_169;Total_170;ExportsOfGoodsFromProduction_171;ReExports_172;ExportsOfUsedFixedCapitalGoods_173;Total_174;ConsumptionForeignerInTheNetherlands_175;OtherExportsOfServices_176;CifFobAdjustment_177;Total_178;ProductsOfAgricultureAndFishing_179;CrudeOilGasAndOtherMinerals_180;FoodBeveragesAndTobaccoProducts_181;TextilesWearingApparelAndLeather_182;PaperPrintedMatterAndRecordedMedia_183;CokePetroleumProductsAndOtherFuel_184;ChemicalProductsAndManMadeFibres_185;RubberEnPlasticProducts_186;BasicMetalsAndMetalProducts_187;MachineryAndEquipmentIE_188;ElectricalMachineryOpticalEquipment_189;TransportEquipment_190;OtherManufacturedProductsIE_191;OtherProducts_192;ConsumptionByResidentsAbroad_193;CifFobAdjustment_194;Total_195;ImportOfGoodsCif_196;CifFobAdjustmentAndReclassification_197;Total_198;ImportsOfServicesCif_199;CifFobReclassification_200;TotalTaxesOnProductionAndImports_201;TaxesOnProducts_202;OtherTaxesOnProduction_203;TotalSubsidies_204;SubsidiesOnProducts_205;OtherSubsidiesOnProduction_206
10;Prices of 2005;1990 1st quarter;116325;86857;31935;23754;8205;116325;80666;65022;43377;21729;16182;14195;1992;-277;37268;28876;8341;77707;24261;1611;17131;4241;11139;2077.0;360.0;1092.0;637.0;1511.0;847.0;1502.0;707.0;686.0;411.0;1401.0;1325;704;5694;32807;13509;8341.0;3721.0;1471.0;1751;5082;5591;7107;;;;1061.0;127.0;;21260;18836;11944.0;;;6870.0;2429;8534.0;9611.0;976.0;;86857;;;9278.0;10486.0;1153.0;76128.0;10933.0;86857;86857;;;;;;;;;65022;;;15850;;;;;;;;;;;;65022;43377;21785.0;6440.0;;;8002.0;;;;7449.0;;;21104.0;;;;;;;;43076.0;1389.0;1092.0;21729;12188;9515;65022;55497;9515;16182;16394;5434;5252;3563.0;1708.0;1991;2200;3061.0;39.0;159;2009;916.0;844.0;275.0;219;16182;16394;778;3182;9740;2591;219;37268;;;;;;;;;;;;;;;;;;;;28876;;;;8341;;;;31935;;;;;;;;;;;;;;;;;23754;;;8205;;;10486.0;9611.0;868.0;1153.0;976.0;230.0
11;Prices of 2005;1990 2nd quarter;119476;88726;32711;23862;8712;119476;85730;67747;44028;23812;17385;15060;2317;510;35834;27598;8082;79837;23419;1913;15181;2562;11004;2062.0;340.0;1079.0;606.0;1502.0;921.0;1380.0;741.0;665.0;378.0;1375.0;1274;621;6627;33666;13788;8357.0;3668.0;1853.0;1824;5492;5562;7322;;;;1215.0;128.0;;23330;21413;14050.0;;;7333.0;1926;8760.0;10301.0;1284.0;;88726;;;9502.0;11155.0;1437.0;77856.0;11062.0;88726;88726;;;;;;;;;67747;;;17993;;;;;;;;;;;;67747;44028;21523.0;7079.0;;;8080.0;;;;6438.0;;;21166.0;;;;;;;;42939.0;2030.0;951.0;23812;12789;10967;67747;56772;10967;17385;17591;6289;6232;4099.0;2147.0;2117;2014;3024.0;38.0;124;1879;881.0;782.0;214.0;204;17385;17591;828;3056;10674;2983;204;35834;;;;;;;;;;;;;;;;;;;;27598;;;;8082;;;;32711;;;;;;;;;;;;;;;;;23862;;;8712;;;11155.0;10301.0;850.0;1437.0;1284.0;221.0
12;Prices of 2005;1990 3rd quarter;114831;84710;32267;22229;10171;114831;80692;64791;44070;20781;14952;12828;2118;1031;35877;26410;9514;75689;21920;2118;14597;2182;10938;2094.0;332.0;1009.0;992.0;1599.0;777.0;1421.0;792.0;662.0;378.0;1261.0;1078;691;5145;33503;13587;8243.0;3594.0;1859.0;1774;5310;5820;7334;;;;1328.0;153.0;;20759;18318;11558.0;;;6742.0;2450;8797.0;10094.0;1091.0;;84710;;;9576.0;10976.0;1257.0;73704.0;11192.0;84710;84710;;;;;;;;;64791;;;15965;;;;;;;;;;;;64791;44070;20449.0;6867.0;;;7598.0;;;;6128.0;;;21455.0;;;;;;;;42103.0;3652.0;1677.0;20781;11310;9437;64791;55350;9437;14952;15190;5289;5447;3498.0;1946.0;1558;1713;2772.0;42.0;3;1871;872.0;825.0;176.0;224;14952;15190;691;3063;8814;2516;224;35877;;;;;;;;;;;;;;;;;;;;26410;;;;9514;;;;32267;;;;;;;;;;;;;;;;;22229;;;10171;;;10976.0;10094.0;886.0;1257.0;1091.0;216.0
13;Prices of 2005;1990 4th quarter;121737;91773;32788;23691;9304;121737;88214;67841;45411;22461;18512;15625;2874;1749;36125;27305;8895;82468;25471;1475;17517;4254;11889;2454.0;368.0;1239.0;858.0;1516.0;854.0;1481.0;896.0;673.0;437.0;1343.0;1253;673;6926;35582;14774;9300.0;3824.0;1738.0;1982;5584;5811;7749;;;;1259.0;132.0;;21950;19661;12787.0;;;6843.0;2295;9362.0;10795.0;1247.0;;91773;;;10103.0;11670.0;1418.0;80684.0;11320.0;91773;91773;;;;;;;;;67841;;;20378;;;;;;;;;;;;67841;45411;23026.0;7394.0;;;8301.0;;;;7481.0;;;21951.0;;;;;;;;45208.0;1545.0;1349.0;22461;11498;10906;67841;56931;10906;18512;18734;6237;7134;4484.0;2663.0;1912;1987;3142.0;60.0;9;2559;1257.0;1057.0;233.0;227;18512;18734;823;3529;10816;3430;227;36125;;;;;;;;;;;;;;;;;;;;27305;;;;8895;;;;32788;;;;;;;;;;;;;;;;;23691;;;9304;;;11670.0;10795.0;868.0;1418.0;1247.0;230.0
14;Prices of 2005;1990;472369;352065;129667;93505;36386;472369;335280;265405;176890;88784;67050;57726;9303;3013;145065;110145;34832;315701;95072;7098;64415;13239;44971;8688.0;1398.0;4422.0;3091.0;6126.0;3401.0;5787.0;3134.0;2684.0;1604.0;5383.0;4936;2692;24398;135560;55660;34244.0;14806.0;6923.0;7331;21469;22783;29514;;;;4863.0;540.0;;87301;78223;50339.0;;;27789.0;9103;35456.0;40802.0;4600.0;469.0;352065;;;38465.0;44289.0;5265.0;308368.0;44506.0;352065;352065;;;;;;;;;265405;;;70088;;;;;;;;;;;;265405;176890;86781.0;27782.0;;;31982.0;;;;27496.0;;;85671.0;;;;;;;;173329.0;8613.0;5071.0;88784;47783;40823;265405;224545;40823;67050;67929;23248;24060;15648.0;8465.0;7577;7924;11995.0;179.0;323;8318;3922.0;3512.0;896.0;889;67050;67929;3125;12822;40042;11529;889;145065;;;;;;;;;;;;;;;;;;;;110145;;;;34832;;;;129667;;;;;;;;;;;;;;;;;93505;;;36386;;;44289.0;40802.0;3473.0;5265.0;4600.0;894.0
15;Prices of 2005;1991 1st quarter;120490;88719;33947;25272;8688;120490;82322;67483;45182;22376;15210;13314;1900;104;39523;30433;9103;79290;24483;1679;17612;4831;11137;2217.0;361.0;1070.0;608.0;1439.0;824.0;1536.0;721.0;682.0;398.0;1366.0;1374;736;5136;33946;14003;8632.0;3852.0;1554.0;1830;5174;5741;7411;;;;1120.0;132.0;;21472;18974;11893.0;;;7063.0;2503;8832.0;10031.0;1048.0;;88719;;;9747.0;10934.0;1174.0;77506.0;11374.0;88719;88719;;;;;;;;;67483;;;15292;;;;;;;;;;;;67483;45182;22976.0;6676.0;;;8373.0;;;;8111.0;;;21907.0;;;;;;;;45117.0;1363.0;1310.0;22376;12657;9704;67483;57772;9704;15210;15370;4508;4885;3361.0;1543.0;1798;2284;3129.0;44.0;183;1975;899.0;861.0;223.0;170;15210;15370;774;3164;8874;2429;170;39523;;;;;;;;;;;;;;;;;;;;30433;;;;9103;;;;33947;;;;;;;;;;;;;;;;;25272;;;8688;;;10934.0;10031.0;897.0;1174.0;1048.0;163.0
16;Prices of 2005;1991 2nd quarter;123784;91426;34241;24751;9474;123784;87327;69223;45020;24295;18275;15753;2513;-241;38220;28979;9240;82232;24356;2035;15794;3081;11145;2186.0;342.0;1078.0;782.0;1414.0;926.0;1401.0;754.0;688.0;390.0;1385.0;1388;631;6773;34879;14203;8574.0;3799.0;1929.0;1868;5606;5723;7834;;;;1263.0;131.0;;23466;21531;13996.0;;;7509.0;1945;9098.0;10772.0;1366.0;;91426;;;10010.0;11651.0;1469.0;80090.0;11508.0;91426;91426;;;;;;;;;69223;;;18144;;;;;;;;;;;;69223;45020;22193.0;7047.0;;;8398.0;;;;6846.0;;;21837.0;;;;;;;;44287.0;2120.0;1386.0;24295;13204;11054;69223;58163;11054;18275;18500;6084;6831;4558.0;2291.0;2417;2127;3138.0;44.0;151;1873;877.0;813.0;169.0;223;18275;18500;897;3242;11176;3125;223;38220;;;;;;;;;;;;;;;;;;;;28979;;;;9240;;;;34241;;;;;;;;;;;;;;;;;24751;;;9474;;;11651.0;10772.0;876.0;1469.0;1366.0;156.0
17;Prices of 2005;1991 3rd quarter;119275;86789;34365;23254;11500;119275;82707;66378;45106;21337;15428;13174;2246;972;38084;27674;10594;77696;22369;2048;14892;2157;11188;2186.0;330.0;1044.0;826.0;1583.0;804.0;1499.0;812.0;679.0;389.0;1294.0;1114;712;5540;34823;14246;8628.0;3772.0;1965.0;1862;5395;5993;7597;;;;1397.0;158.0;;20959;18499;11556.0;;;6928.0;2469;8838.0;10298.0;1166.0;;86789;;;9780.0;11208.0;1283.0;75298.0;11643.0;86789;86789;;;;;;;;;66378;;;16388;;;;;;;;;;;;66378;45106;20947.0;6921.0;;;7885.0;;;;6266.0;;;22219.0;;;;;;;;43342.0;3897.0;2095.0;21337;11728;9588;66378;56788;9588;15428;15582;5501;5889;3813.0;2073.0;1412;1740;2721.0;49.0;3;1859;833.0;861.0;161.0;162;15428;15582;704;3123;9062;2587;162;38084;;;;;;;;;;;;;;;;;;;;27674;;;;10594;;;;34365;;;;;;;;;;;;;;;;;23254;;;11500;;;11208.0;10298.0;913.0;1283.0;1166.0;153.0
18;Prices of 2005;1991 4th quarter;126691;93722;35352;25306;10411;126691;90070;69406;46374;23071;18943;16050;2881;1637;38859;29180;9832;84273;25743;1534;17717;4538;11846;2481.0;353.0;1229.0;650.0;1508.0;838.0;1530.0;879.0;693.0;441.0;1324.0;1293;696;6868;36881;15211;9531.0;3959.0;1824.0;2039;5397;6064;8461;;;;1289.0;137.0;;22170;19828;12752.0;;;7050.0;2348;9510.0;11140.0;1344.0;;93722;;;10427.0;12043.0;1463.0;82132.0;11777.0;93722;93722;;;;;;;;;69406;;;20693;;;;;;;;;;;;69406;46374;23545.0;7290.0;;;8694.0;;;;7674.0;;;22440.0;;;;;;;;46222.0;1684.0;1521.0;23071;11911;11113;69406;58289;11113;18943;19065;6204;7143;4554.0;2604.0;2349;1974;2994.0;68.0;8;2488;1154.0;1071.0;252.0;153;18943;19065;785;3468;11385;3327;153;38859;;;;;;;;;;;;;;;;;;;;29180;;;;9832;;;;35352;;;;;;;;;;;;;;;;;25306;;;10411;;;12043.0;11140.0;896.0;1463.0;1344.0;162.0
19;Prices of 2005;1991;490240;360652;137883;98559;40069;490240;342407;272490;181679;91081;67897;58332;9541;2472;154651;116225;38769;323489;96956;7275;66002;14608;45316;9071.0;1383.0;4423.0;2866.0;5942.0;3394.0;5970.0;3164.0;2740.0;1619.0;5371.0;5174;2778;24324;140531;57664;35369.0;15382.0;7274.0;7599;21574;23522;31304;;;;5069.0;557.0;;88069;78827;50198.0;;;28551.0;9267;36281.0;42242.0;4926.0;456.0;360652;;;39968.0;45837.0;5389.0;315019.0;46302.0;360652;360652;;;;;;;;;272490;;;70396;;;;;;;;;;;;272490;181680;89649.0;27935.0;;;33353.0;;;;28880.0;;;88398.0;;;;;;;;178964.0;9061.0;6315.0;91081;49498;41457;272490;231002;41457;67897;68558;22297;24743;16293.0;8510.0;7979;8123;11978.0;204.0;367;8195;3760.0;3610.0;806.0;706;67897;68558;3173;12989;40509;11478;706;154651;;;;;;;;;;;;;;;;;;;;116225;;;;38769;;;;137883;;;;;;;;;;;;;;;;;98559;;;40069;;;45837.0;42242.0;3583.0;5389.0;4926.0;631.0
20;Prices of 2005;1992 1st quarter;125609;91901;35810;26447;9478;125609;84933;68352;45546;22898;16814;14570;2242;43;41882;32178;9740;82032;25491;1794;18020;4966;11463;2348.0;346.0;1134.0;599.0;1453.0;842.0;1609.0;723.0;682.0;416.0;1401.0;1290;769;5697;35326;14415;8780.0;4046.0;1641.0;1927;5573;6011;7682;;;;1039.0;129.0;;21751;19189;11924.0;;;7248.0;2568;9260.0;10421.0;1057.0;;91901;;;10269.0;11396.0;1182.0;80232.0;11827.0;91901;91901;;;;;;;;;68352;;;16795;;;;;;;;;;;;68352;45546;22806.0;6663.0;;;8439.0;;;;7808.0;;;22641.0;;;;;;;;45588.0;1402.0;1449.0;22898;13226;9687;68352;58661;9687;16814;17037;5363;5654;3780.0;1890.0;1907;2370;3159.0;52.0;147;2156;891.0;1017.0;251.0;229;16814;17037;758;3238;10198;2740;229;41882;;;;;;;;;;;;;;;;;;;;32178;;;;9740;;;;35810;;;;;;;;;;;;;;;;;26447;;;9478;;;11396.0;10421.0;965.0;1182.0;1057.0;161.0
21;Prices of 2005;1992 2nd quarter;125601;92639;34836;24851;10127;125601;87660;69736;45027;24831;17779;15216;2553;153;39495;29689;9881;83204;24266;2205;15629;2802;11199;2281.0;321.0;1096.0;776.0;1474.0;890.0;1395.0;747.0;669.0;385.0;1367.0;1332;671;6491;35655;14288;8465.0;3964.0;1970.0;1935;5843;5989;8021;;;;1181.0;129.0;;23794;21805;14082.0;;;7698.0;2000;9353.0;10970.0;1359.0;;92639;;;10359.0;11921.0;1460.0;80783.0;11965.0;92639;92639;;;;;;;;;69736;;;17994;;;;;;;;;;;;69736;45027;21832.0;7171.0;;;8160.0;;;;6594.0;;;22455.0;;;;;;;;44438.0;2114.0;1521.0;24831;13744;11080;69736;58651;11080;17779;18036;6257;6666;4214.0;2457.0;1790;2185;3131.0;51.0;119;2020;853.0;953.0;197.0;255;17779;18036;810;3169;10933;3069;255;39495;;;;;;;;;;;;;;;;;;;;29689;;;;9881;;;;34836;;;;;;;;;;;;;;;;;24851;;;10127;;;11921.0;10970.0;943.0;1460.0;1359.0;154.0
22;Prices of 2005;1992 3rd quarter;120998;88000;34892;23451;11915;120998;84218;67551;45610;22030;15188;12976;2204;1573;38393;27678;10969;78575;22340;2081;14948;1955;11305;2309.0;319.0;1039.0;1279.0;1562.0;785.0;1473.0;805.0;658.0;386.0;1253.0;1201;728;5333;35544;14424;8629.0;3908.0;2018.0;1898;5623;6098;7827;;;;1369.0;155.0;;21173;18689;11603.0;;;7072.0;2492;9205.0;10594.0;1157.0;;88000;;;10240.0;11577.0;1274.0;75988.0;12106.0;88000;88000;;;;;;;;;67551;;;16720;;;;;;;;;;;;67551;45610;21084.0;7005.0;;;7930.0;;;;6271.0;;;22734.0;;;;;;;;43955.0;4048.0;2339.0;22030;12328;9705;67551;57845;9705;15188;15371;5688;5511;3283.0;2225.0;1191;1771;2670.0;57.0;2;1993;805.0;998.0;185.0;184;15188;15371;636;2999;9176;2478;184;38393;;;;;;;;;;;;;;;;;;;;27678;;;;10969;;;;34892;;;;;;;;;;;;;;;;;23451;;;11915;;;11577.0;10594.0;981.0;1274.0;1157.0;152.0
23;Prices of 2005;1992 4th quarter;128342;94271;36289;25819;10926;128342;91080;70382;46800;23638;19308;16139;3153;1336;39487;29539;10139;84387;25373;1486;17619;4433;11850;2598.0;331.0;1226.0;812.0;1470.0;810.0;1470.0;896.0;704.0;427.0;1304.0;1242;719;6602;37361;15251;9436.0;4100.0;1815.0;2095;5661;6166;8542;;;;1262.0;130.0;;22201;19839;12605.0;;;7211.0;2368;10059.0;11596.0;1339.0;;94271;;;11075.0;12572.0;1457.0;82131.0;12246.0;94271;94271;;;;;;;;;70382;;;20758;;;;;;;;;;;;70382;46800;23648.0;7432.0;;;8669.0;;;;7666.0;;;22923.0;;;;;;;;46767.0;1800.0;1740.0;23638;12608;11027;70382;59353;11027;19308;19495;6637;6903;4084.0;2821.0;2542;1975;2922.0;74.0;5;2617;1137.0;1189.0;275.0;203;19308;19495;717;3353;11847;3499;203;39487;;;;;;;;;;;;;;;;;;;;29539;;;;10139;;;;36289;;;;;;;;;;;;;;;;;25819;;;10926;;;12572.0;11596.0;966.0;1457.0;1339.0;160.0
24;Prices of 2005;1992;500550;366805;141815;100544;42442;500550;347892;276021;182979;93400;69107;58917;10153;3105;159203;119020;40727;328190;97462;7539;66196;14153;45818;9537.0;1315.0;4496.0;3463.0;5957.0;3329.0;5950.0;3169.0;2710.0;1614.0;5326.0;5061;2889;24128;143887;58381;35316.0;16017.0;7446.0;7854;22701;24265;32073;;;;4851.0;543.0;;88921;79518;50216.0;;;29230.0;9430;37881.0;43582.0;4914.0;537.0;366805;;;41948.0;47469.0;5372.0;319124.0;48145.0;366805;366805;;;;;;;;;276021;;;72223;;;;;;;;;;;;276021;182980;89361.0;28272.0;;;33203.0;;;;28329.0;;;90748.0;;;;;;;;180744.0;9361.0;7053.0;93400;51906;41497;276021;234501;41497;69107;69958;23947;24731;15363.0;9395.0;7439;8291;11878.0;233.0;284;8786;3682.0;4163.0;909.0;870;69107;69958;2928;12749;42160;11790;870;159203;;;;;;;;;;;;;;;;;;;;119020;;;;40727;;;;141815;;;;;;;;;;;;;;;;;100544;;;42442;;;47469.0;43582.0;3855.0;5372.0;4914.0;624.0
25;Prices of 2005;1993 1st quarter;124884;92083;35070;25685;9586;124884;85489;68313;45016;23419;16239;13971;2262;1181;40795;30998;9914;82191;25303;1855;17840;4839;11386;2344.0;341.0;1123.0;984.0;1460.0;797.0;1502.0;715.0;725.0;362.0;1413.0;1300;747;5560;35348;14130;8417.0;4083.0;1724.0;1941;5585;6205;7828;;;;987.0;130.0;;22143;19561;12105.0;;;7440.0;2589;9273.0;10500.0;1086.0;;92083;;;10312.0;11479.0;1202.0;79981.0;12193.0;92083;92083;;;;;;;;;68313;;;17302;;;;;;;;;;;;68313;45016;21972.0;6664.0;;;7608.0;;;;8017.0;;;23012.0;;;;;;;;45013.0;1490.0;1484.0;23419;13485;9944;68313;58358;9944;16239;16397;5430;5402;3507.0;1907.0;1479;2469;3202.0;62.0;137;1985;927.0;841.0;226.0;173;16239;16397;709;3307;9490;2748;173;40795;;;;;;;;;;;;;;;;;;;;30998;;;;9914;;;;35070;;;;;;;;;;;;;;;;;25685;;;9586;;;11479.0;10500.0;969.0;1202.0;1086.0;146.0
26;Prices of 2005;1993 2nd quarter;126553;94040;34569;24558;10194;126553;87521;71472;46226;25365;17640;15036;2594;-1360;40427;30381;10126;84341;24049;2290;15413;2682;11094;2298.0;320.0;1088.0;856.0;1505.0;840.0;1303.0;728.0;700.0;341.0;1391.0;1325;649;6321;36608;14577;8622.0;4028.0;2056.0;1962;6160;6154;8247;;;;1114.0;132.0;;24245;22221;14272.0;;;7926.0;2035;9661.0;11296.0;1389.0;;94040;;;10694.0;12247.0;1482.0;81778.0;12335.0;94040;94040;;;;;;;;;71472;;;16318;;;;;;;;;;;;71472;46226;21927.0;7307.0;;;8019.0;;;;6749.0;;;23502.0;;;;;;;;45493.0;2206.0;1468.0;25365;14028;11328;71472;60139;11328;17640;17841;6335;6356;3884.0;2471.0;1861;2218;3038.0;63.0;133;1865;845.0;805.0;207.0;204;17640;17841;774;3196;10725;3079;204;40427;;;;;;;;;;;;;;;;;;;;30381;;;;10126;;;;34569;;;;;;;;;;;;;;;;;24558;;;10194;;;12247.0;11296.0;947.0;1482.0;1389.0;141.0
27;Prices of 2005;1993 3rd quarter;123609;89908;35637;24329;11633;123609;84026;68920;46545;22466;15999;13745;2248;-667;40823;29954;11007;80137;22399;2114;15009;2269;11203;2338.0;336.0;1026.0;799.0;1650.0;759.0;1409.0;800.0;697.0;341.0;1268.0;1189;698;5257;36730;14850;8918.0;4024.0;2023.0;1921;6095;6315;7966;;;;1276.0;159.0;;21501;18987;11716.0;;;7259.0;2522;9597.0;11017.0;1195.0;;89908;;;10661.0;12000.0;1304.0;77503.0;12480.0;89908;89908;;;;;;;;;68920;;;15397;;;;;;;;;;;;68920;46545;21351.0;7090.0;;;7961.0;;;;6453.0;;;23377.0;;;;;;;;44832.0;3657.0;1932.0;22466;12608;9865;68920;59055;9865;15999;16219;5799;5222;2987.0;2232.0;1411;2255;3430.0;70.0;3;1791;793.0;823.0;173.0;217;15999;16219;577;3825;9121;2516;217;40823;;;;;;;;;;;;;;;;;;;;29954;;;;11007;;;;35637;;;;;;;;;;;;;;;;;24329;;;11633;;;12000.0;11017.0;986.0;1304.0;1195.0;138.0
28;Prices of 2005;1993 4th quarter;130328;95387;37101;26664;10788;130328;88190;70766;46669;24179;18080;15058;3006;-325;43474;32814;10792;85396;25481;1521;17798;4733;11808;2670.0;336.0;1184.0;922.0;1538.0;800.0;1424.0;880.0;675.0;364.0;1305.0;1295;695;6422;37946;15211;9333.0;4167.0;1813.0;2108;6125;6313;8694;;;;1144.0;131.0;;22542;20166;12736.0;;;7409.0;2382;10161.0;11756.0;1370.0;;95387;;;11206.0;12733.0;1479.0;82826.0;12624.0;95387;95387;;;;;;;;;70766;;;17835;;;;;;;;;;;;70766;46669;23153.0;7463.0;;;8047.0;;;;7938.0;;;23511.0;;;;;;;;46752.0;1582.0;1655.0;24179;12903;11274;70766;59487;11274;18080;18408;6686;6320;3551.0;2765.0;2009;2032;2836.0;92.0;5;2412;1131.0;994.0;281.0;324;18080;18408;650;3293;11030;3334;324;43474;;;;;;;;;;;;;;;;;;;;32814;;;;10792;;;;37101;;;;;;;;;;;;;;;;;26664;;;10788;;;12733.0;11756.0;969.0;1479.0;1370.0;145.0
29;Prices of 2005;1993;505374;371418;142374;101232;42196;505374;345228;279476;184463;95431;67976;57827;10110;-1171;165521;124148;41838;332063;97227;7752;66043;14521;45492;9651.0;1331.0;4422.0;3563.0;6151.0;3197.0;5643.0;3121.0;2794.0;1408.0;5378.0;5108;2791;23564;146631;58766;35293.0;16301.0;7618.0;7932;23969;24988;32736;;;;4521.0;553.0;;90434;80931;50831.0;;;30035.0;9529;38694.0;44570.0;5041.0;546.0;371418;;;42876.0;48462.0;5466.0;322085.0;49633.0;371418;371418;;;;;;;;;279476;;;66915;;;;;;;;;;;;279476;184464;88411.0;28526.0;;;31630.0;;;;29146.0;;;93401.0;;;;;;;;182100.0;8932.0;6541.0;95431;53025;42409;279476;237037;42409;67976;68886;24252;23298;13931.0;9376.0;6761;8993;12504.0;286.0;300;8053;3691.0;3468.0;890.0;919;67976;68886;2719;13601;40371;11680;919;165521;;;;;;;;;;;;;;;;;;;;124148;;;;41838;;;;142374;;;;;;;;;;;;;;;;;101232;;;42196;;;48462.0;44570.0;3871.0;5466.0;5041.0;569.0
