ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
1613;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2012;8;2;6
1614;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2013;9;7;2
1615;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2014;3;2;1
1616;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2015;8;13;-5
1617;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2016;5;3;2
1618;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2017;4;7;-3
1619;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2018;6;22;-16
1620;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2019;4;9;-5
1621;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2020;2;0;2
1622;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2021;5;2;3
1623;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2022;5;2;3
1624;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2023;6;3;3
1625;Total male and female;Total;St Kitts and Nevis;Bonaire;2011;0;0;0
1626;Total male and female;Total;St Kitts and Nevis;Bonaire;2012;0;0;0
1627;Total male and female;Total;St Kitts and Nevis;Bonaire;2013;0;0;0
1628;Total male and female;Total;St Kitts and Nevis;Bonaire;2014;0;0;0
1629;Total male and female;Total;St Kitts and Nevis;Bonaire;2015;1;0;1
1630;Total male and female;Total;St Kitts and Nevis;Bonaire;2016;1;0;1
1631;Total male and female;Total;St Kitts and Nevis;Bonaire;2017;0;0;0
1632;Total male and female;Total;St Kitts and Nevis;Bonaire;2018;3;2;1
1633;Total male and female;Total;St Kitts and Nevis;Bonaire;2019;0;0;0
1634;Total male and female;Total;St Kitts and Nevis;Bonaire;2020;0;0;0
1635;Total male and female;Total;St Kitts and Nevis;Bonaire;2021;0;1;-1
1636;Total male and female;Total;St Kitts and Nevis;Bonaire;2022;0;0;0
1637;Total male and female;Total;St Kitts and Nevis;Bonaire;2023;1;0;1
1638;Total male and female;Total;St Kitts and Nevis;St Eustatius;2011;2;4;-2
1639;Total male and female;Total;St Kitts and Nevis;St Eustatius;2012;8;2;6
1640;Total male and female;Total;St Kitts and Nevis;St Eustatius;2013;9;7;2
1641;Total male and female;Total;St Kitts and Nevis;St Eustatius;2014;3;2;1
1642;Total male and female;Total;St Kitts and Nevis;St Eustatius;2015;7;13;-6
1643;Total male and female;Total;St Kitts and Nevis;St Eustatius;2016;4;3;1
1644;Total male and female;Total;St Kitts and Nevis;St Eustatius;2017;4;7;-3
1645;Total male and female;Total;St Kitts and Nevis;St Eustatius;2018;3;20;-17
1646;Total male and female;Total;St Kitts and Nevis;St Eustatius;2019;4;9;-5
1647;Total male and female;Total;St Kitts and Nevis;St Eustatius;2020;2;0;2
1648;Total male and female;Total;St Kitts and Nevis;St Eustatius;2021;3;1;2
1649;Total male and female;Total;St Kitts and Nevis;St Eustatius;2022;5;2;3
1650;Total male and female;Total;St Kitts and Nevis;St Eustatius;2023;5;3;2
1651;Total male and female;Total;St Kitts and Nevis;Saba;2011;0;1;-1
1652;Total male and female;Total;St Kitts and Nevis;Saba;2012;0;0;0
1653;Total male and female;Total;St Kitts and Nevis;Saba;2013;0;0;0
1654;Total male and female;Total;St Kitts and Nevis;Saba;2014;0;0;0
1655;Total male and female;Total;St Kitts and Nevis;Saba;2015;0;0;0
1656;Total male and female;Total;St Kitts and Nevis;Saba;2016;0;0;0
1657;Total male and female;Total;St Kitts and Nevis;Saba;2017;0;0;0
1658;Total male and female;Total;St Kitts and Nevis;Saba;2018;0;0;0
1659;Total male and female;Total;St Kitts and Nevis;Saba;2019;0;0;0
1660;Total male and female;Total;St Kitts and Nevis;Saba;2020;0;0;0
1661;Total male and female;Total;St Kitts and Nevis;Saba;2021;2;0;2
1662;Total male and female;Total;St Kitts and Nevis;Saba;2022;0;0;0
1663;Total male and female;Total;St Kitts and Nevis;Saba;2023;0;0;0
1664;Total male and female;Total;Saba;Caribbean Netherlands;2011;14;16;-2
1665;Total male and female;Total;Saba;Caribbean Netherlands;2012;11;12;-1
1666;Total male and female;Total;Saba;Caribbean Netherlands;2013;16;13;3
1667;Total male and female;Total;Saba;Caribbean Netherlands;2014;11;12;-1
1668;Total male and female;Total;Saba;Caribbean Netherlands;2015;12;4;8
1669;Total male and female;Total;Saba;Caribbean Netherlands;2016;11;15;-4
1670;Total male and female;Total;Saba;Caribbean Netherlands;2017;6;6;0
1671;Total male and female;Total;Saba;Caribbean Netherlands;2018;4;8;-4
1672;Total male and female;Total;Saba;Caribbean Netherlands;2019;5;8;-3
1673;Total male and female;Total;Saba;Caribbean Netherlands;2020;7;10;-3
1674;Total male and female;Total;Saba;Caribbean Netherlands;2021;9;7;2
1675;Total male and female;Total;Saba;Caribbean Netherlands;2022;5;9;-4
1676;Total male and female;Total;Saba;Caribbean Netherlands;2023;5;7;-2
1677;Total male and female;Total;Saba;Bonaire;2011;0;0;0
1678;Total male and female;Total;Saba;Bonaire;2012;0;0;0
1679;Total male and female;Total;Saba;Bonaire;2013;0;0;0
1680;Total male and female;Total;Saba;Bonaire;2014;0;1;-1
1681;Total male and female;Total;Saba;Bonaire;2015;0;1;-1
1682;Total male and female;Total;Saba;Bonaire;2016;1;0;1
1683;Total male and female;Total;Saba;Bonaire;2017;0;0;0
1684;Total male and female;Total;Saba;Bonaire;2018;0;0;0
1685;Total male and female;Total;Saba;Bonaire;2019;0;0;0
1686;Total male and female;Total;Saba;Bonaire;2020;0;0;0
1687;Total male and female;Total;Saba;Bonaire;2021;0;0;0
1688;Total male and female;Total;Saba;Bonaire;2022;0;0;0
1689;Total male and female;Total;Saba;Bonaire;2023;0;0;0
1690;Total male and female;Total;Saba;St Eustatius;2011;0;0;0
1691;Total male and female;Total;Saba;St Eustatius;2012;0;1;-1
1692;Total male and female;Total;Saba;St Eustatius;2013;1;0;1
1693;Total male and female;Total;Saba;St Eustatius;2014;0;2;-2
1694;Total male and female;Total;Saba;St Eustatius;2015;0;0;0
1695;Total male and female;Total;Saba;St Eustatius;2016;0;0;0
1696;Total male and female;Total;Saba;St Eustatius;2017;0;0;0
1697;Total male and female;Total;Saba;St Eustatius;2018;0;0;0
1698;Total male and female;Total;Saba;St Eustatius;2019;0;0;0
1699;Total male and female;Total;Saba;St Eustatius;2020;0;0;0
1700;Total male and female;Total;Saba;St Eustatius;2021;0;0;0
1701;Total male and female;Total;Saba;St Eustatius;2022;0;0;0
1702;Total male and female;Total;Saba;St Eustatius;2023;0;0;0
1703;Total male and female;Total;Saba;Saba;2011;14;16;-2
1704;Total male and female;Total;Saba;Saba;2012;11;11;0
1705;Total male and female;Total;Saba;Saba;2013;15;13;2
1706;Total male and female;Total;Saba;Saba;2014;11;9;2
1707;Total male and female;Total;Saba;Saba;2015;12;3;9
1708;Total male and female;Total;Saba;Saba;2016;10;15;-5
1709;Total male and female;Total;Saba;Saba;2017;6;6;0
1710;Total male and female;Total;Saba;Saba;2018;4;8;-4
1711;Total male and female;Total;Saba;Saba;2019;5;8;-3
1712;Total male and female;Total;Saba;Saba;2020;7;10;-3
1713;Total male and female;Total;Saba;Saba;2021;9;7;2
1714;Total male and female;Total;Saba;Saba;2022;5;9;-4
1715;Total male and female;Total;Saba;Saba;2023;5;7;-2
1716;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2011;27;30;-3
1717;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2012;27;28;-1
1718;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2013;26;47;-21
1719;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2014;35;34;1
1720;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2015;22;29;-7
1721;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2016;31;32;-1
1722;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2017;35;23;12
1723;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2018;48;60;-12
1724;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2019;18;38;-20
1725;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2020;21;28;-7
1726;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2021;37;25;12
1727;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2022;28;36;-8
1728;Total male and female;Total;St Maarten (Dutch part);Caribbean Netherlands;2023;36;67;-31
1729;Total male and female;Total;St Maarten (Dutch part);Bonaire;2011;2;3;-1
1730;Total male and female;Total;St Maarten (Dutch part);Bonaire;2012;4;3;1
1731;Total male and female;Total;St Maarten (Dutch part);Bonaire;2013;2;5;-3
1732;Total male and female;Total;St Maarten (Dutch part);Bonaire;2014;6;0;6
1733;Total male and female;Total;St Maarten (Dutch part);Bonaire;2015;1;3;-2
1734;Total male and female;Total;St Maarten (Dutch part);Bonaire;2016;5;5;0
1735;Total male and female;Total;St Maarten (Dutch part);Bonaire;2017;4;2;2
1736;Total male and female;Total;St Maarten (Dutch part);Bonaire;2018;4;3;1
1737;Total male and female;Total;St Maarten (Dutch part);Bonaire;2019;4;3;1
1738;Total male and female;Total;St Maarten (Dutch part);Bonaire;2020;2;4;-2
1739;Total male and female;Total;St Maarten (Dutch part);Bonaire;2021;5;4;1
1740;Total male and female;Total;St Maarten (Dutch part);Bonaire;2022;3;2;1
1741;Total male and female;Total;St Maarten (Dutch part);Bonaire;2023;6;7;-1
1742;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2011;10;16;-6
1743;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2012;18;15;3
1744;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2013;18;34;-16
1745;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2014;15;23;-8
1746;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2015;15;22;-7
1747;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2016;14;16;-2
1748;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2017;17;12;5
1749;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2018;26;33;-7
1750;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2019;8;19;-11
1751;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2020;13;15;-2
1752;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2021;22;11;11
1753;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2022;14;20;-6
1754;Total male and female;Total;St Maarten (Dutch part);St Eustatius;2023;17;47;-30
1755;Total male and female;Total;St Maarten (Dutch part);Saba;2011;15;11;4
1756;Total male and female;Total;St Maarten (Dutch part);Saba;2012;5;10;-5
1757;Total male and female;Total;St Maarten (Dutch part);Saba;2013;6;8;-2
1758;Total male and female;Total;St Maarten (Dutch part);Saba;2014;14;11;3
1759;Total male and female;Total;St Maarten (Dutch part);Saba;2015;6;4;2
1760;Total male and female;Total;St Maarten (Dutch part);Saba;2016;12;11;1
1761;Total male and female;Total;St Maarten (Dutch part);Saba;2017;14;9;5
1762;Total male and female;Total;St Maarten (Dutch part);Saba;2018;18;24;-6
1763;Total male and female;Total;St Maarten (Dutch part);Saba;2019;6;16;-10
1764;Total male and female;Total;St Maarten (Dutch part);Saba;2020;6;9;-3
1765;Total male and female;Total;St Maarten (Dutch part);Saba;2021;10;10;0
1766;Total male and female;Total;St Maarten (Dutch part);Saba;2022;11;14;-3
1767;Total male and female;Total;St Maarten (Dutch part);Saba;2023;13;13;0
1768;Total male and female;Total;Surinam;Caribbean Netherlands;2011;49;20;29
1769;Total male and female;Total;Surinam;Caribbean Netherlands;2012;34;19;15
1770;Total male and female;Total;Surinam;Caribbean Netherlands;2013;31;12;19
1771;Total male and female;Total;Surinam;Caribbean Netherlands;2014;30;27;3
1772;Total male and female;Total;Surinam;Caribbean Netherlands;2015;37;30;7
1773;Total male and female;Total;Surinam;Caribbean Netherlands;2016;37;27;10
1774;Total male and female;Total;Surinam;Caribbean Netherlands;2017;33;31;2
1775;Total male and female;Total;Surinam;Caribbean Netherlands;2018;25;22;3
1776;Total male and female;Total;Surinam;Caribbean Netherlands;2019;37;13;24
1777;Total male and female;Total;Surinam;Caribbean Netherlands;2020;21;19;2
1778;Total male and female;Total;Surinam;Caribbean Netherlands;2021;43;18;25
1779;Total male and female;Total;Surinam;Caribbean Netherlands;2022;71;15;56
1780;Total male and female;Total;Surinam;Caribbean Netherlands;2023;78;36;42
1781;Total male and female;Total;Surinam;Bonaire;2011;38;11;27
1782;Total male and female;Total;Surinam;Bonaire;2012;29;13;16
1783;Total male and female;Total;Surinam;Bonaire;2013;25;6;19
1784;Total male and female;Total;Surinam;Bonaire;2014;17;18;-1
1785;Total male and female;Total;Surinam;Bonaire;2015;27;19;8
1786;Total male and female;Total;Surinam;Bonaire;2016;24;22;2
1787;Total male and female;Total;Surinam;Bonaire;2017;28;21;7
1788;Total male and female;Total;Surinam;Bonaire;2018;23;16;7
1789;Total male and female;Total;Surinam;Bonaire;2019;26;11;15
1790;Total male and female;Total;Surinam;Bonaire;2020;15;17;-2
1791;Total male and female;Total;Surinam;Bonaire;2021;31;12;19
1792;Total male and female;Total;Surinam;Bonaire;2022;59;12;47
1793;Total male and female;Total;Surinam;Bonaire;2023;48;21;27
1794;Total male and female;Total;Surinam;St Eustatius;2011;10;2;8
1795;Total male and female;Total;Surinam;St Eustatius;2012;0;2;-2
1796;Total male and female;Total;Surinam;St Eustatius;2013;3;6;-3
1797;Total male and female;Total;Surinam;St Eustatius;2014;9;7;2
1798;Total male and female;Total;Surinam;St Eustatius;2015;9;8;1
1799;Total male and female;Total;Surinam;St Eustatius;2016;13;4;9
1800;Total male and female;Total;Surinam;St Eustatius;2017;4;10;-6
1801;Total male and female;Total;Surinam;St Eustatius;2018;2;6;-4
1802;Total male and female;Total;Surinam;St Eustatius;2019;3;2;1
1803;Total male and female;Total;Surinam;St Eustatius;2020;1;2;-1
1804;Total male and female;Total;Surinam;St Eustatius;2021;8;4;4
1805;Total male and female;Total;Surinam;St Eustatius;2022;6;2;4
1806;Total male and female;Total;Surinam;St Eustatius;2023;16;9;7
1807;Total male and female;Total;Surinam;Saba;2011;1;7;-6
1808;Total male and female;Total;Surinam;Saba;2012;5;4;1
1809;Total male and female;Total;Surinam;Saba;2013;3;0;3
1810;Total male and female;Total;Surinam;Saba;2014;4;2;2
1811;Total male and female;Total;Surinam;Saba;2015;1;3;-2
1812;Total male and female;Total;Surinam;Saba;2016;0;1;-1
1813;Total male and female;Total;Surinam;Saba;2017;1;0;1
1814;Total male and female;Total;Surinam;Saba;2018;0;0;0
1815;Total male and female;Total;Surinam;Saba;2019;8;0;8
1816;Total male and female;Total;Surinam;Saba;2020;5;0;5
1817;Total male and female;Total;Surinam;Saba;2021;4;2;2
1818;Total male and female;Total;Surinam;Saba;2022;6;1;5
1819;Total male and female;Total;Surinam;Saba;2023;14;6;8
1820;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2011;1;1;0
1821;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2012;10;4;6
1822;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2013;5;2;3
1823;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2014;4;5;-1
1824;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2015;1;76;-75
1825;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2016;5;2;3
1826;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2017;5;5;0
1827;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2018;6;9;-3
1828;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2019;6;7;-1
1829;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2020;2;5;-3
1830;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2021;3;4;-1
1831;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2022;16;2;14
1832;Total male and female;Total;Trinidad and Tobago;Caribbean Netherlands;2023;9;6;3
1833;Total male and female;Total;Trinidad and Tobago;Bonaire;2011;0;0;0
1834;Total male and female;Total;Trinidad and Tobago;Bonaire;2012;1;2;-1
1835;Total male and female;Total;Trinidad and Tobago;Bonaire;2013;3;0;3
1836;Total male and female;Total;Trinidad and Tobago;Bonaire;2014;1;0;1
1837;Total male and female;Total;Trinidad and Tobago;Bonaire;2015;0;0;0
1838;Total male and female;Total;Trinidad and Tobago;Bonaire;2016;1;2;-1
1839;Total male and female;Total;Trinidad and Tobago;Bonaire;2017;0;3;-3
1840;Total male and female;Total;Trinidad and Tobago;Bonaire;2018;2;0;2
1841;Total male and female;Total;Trinidad and Tobago;Bonaire;2019;1;1;0
1842;Total male and female;Total;Trinidad and Tobago;Bonaire;2020;0;1;-1
1843;Total male and female;Total;Trinidad and Tobago;Bonaire;2021;1;3;-2
1844;Total male and female;Total;Trinidad and Tobago;Bonaire;2022;5;-2;7
1845;Total male and female;Total;Trinidad and Tobago;Bonaire;2023;1;0;1
1846;Total male and female;Total;Trinidad and Tobago;St Eustatius;2011;0;1;-1
1847;Total male and female;Total;Trinidad and Tobago;St Eustatius;2012;9;0;9
1848;Total male and female;Total;Trinidad and Tobago;St Eustatius;2013;2;1;1
1849;Total male and female;Total;Trinidad and Tobago;St Eustatius;2014;2;4;-2
1850;Total male and female;Total;Trinidad and Tobago;St Eustatius;2015;1;76;-75
1851;Total male and female;Total;Trinidad and Tobago;St Eustatius;2016;1;0;1
1852;Total male and female;Total;Trinidad and Tobago;St Eustatius;2017;4;1;3
1853;Total male and female;Total;Trinidad and Tobago;St Eustatius;2018;2;7;-5
1854;Total male and female;Total;Trinidad and Tobago;St Eustatius;2019;2;4;-2
