ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
8438;Total sales;10512 Milk in solid forms;2012 February;133.1;-1.2;
8439;Total sales;10512 Milk in solid forms;2012 March;127.0;-4.6;
8440;Total sales;10512 Milk in solid forms;2012 April;121.4;-4.4;
8441;Total sales;10512 Milk in solid forms;2012 May;118.3;-2.5;
8442;Total sales;10512 Milk in solid forms;2012 June;120.1;1.5;
8443;Total sales;10512 Milk in solid forms;2012 July;123.7;3.0;
8444;Total sales;10512 Milk in solid forms;2012 August;130.5;5.5;
8445;Total sales;10512 Milk in solid forms;2012 September;138.4;6.0;
8446;Total sales;10512 Milk in solid forms;2012 October;145.8;5.4;
8447;Total sales;10512 Milk in solid forms;2012 November;145.3;-0.4;
8448;Total sales;10512 Milk in solid forms;2012 December;144.7;-0.4;7.2
8449;Total sales;10512 Milk in solid forms;2012;131.9;;-5.8
8450;Total sales;10513 Butter and dairy spreads;2000 January;;;
8451;Total sales;10513 Butter and dairy spreads;2000 February;;;
8452;Total sales;10513 Butter and dairy spreads;2000 March;;;
8453;Total sales;10513 Butter and dairy spreads;2000 April;;;
8454;Total sales;10513 Butter and dairy spreads;2000 May;;;
8455;Total sales;10513 Butter and dairy spreads;2000 June;;;
8456;Total sales;10513 Butter and dairy spreads;2000 July;;;
8457;Total sales;10513 Butter and dairy spreads;2000 August;;;
8458;Total sales;10513 Butter and dairy spreads;2000 September;;;
8459;Total sales;10513 Butter and dairy spreads;2000 October;;;
8460;Total sales;10513 Butter and dairy spreads;2000 November;;;
8461;Total sales;10513 Butter and dairy spreads;2000 December;;;
8462;Total sales;10513 Butter and dairy spreads;2000;;;
8463;Total sales;10513 Butter and dairy spreads;2001 January;;;
8464;Total sales;10513 Butter and dairy spreads;2001 February;;;
8465;Total sales;10513 Butter and dairy spreads;2001 March;;;
8466;Total sales;10513 Butter and dairy spreads;2001 April;;;
8467;Total sales;10513 Butter and dairy spreads;2001 May;;;
8468;Total sales;10513 Butter and dairy spreads;2001 June;;;
8469;Total sales;10513 Butter and dairy spreads;2001 July;;;
8470;Total sales;10513 Butter and dairy spreads;2001 August;;;
8471;Total sales;10513 Butter and dairy spreads;2001 September;;;
8472;Total sales;10513 Butter and dairy spreads;2001 October;;;
8473;Total sales;10513 Butter and dairy spreads;2001 November;;;
8474;Total sales;10513 Butter and dairy spreads;2001 December;;;
8475;Total sales;10513 Butter and dairy spreads;2001;;;
8476;Total sales;10513 Butter and dairy spreads;2002 January;;;
8477;Total sales;10513 Butter and dairy spreads;2002 February;;;
8478;Total sales;10513 Butter and dairy spreads;2002 March;;;
8479;Total sales;10513 Butter and dairy spreads;2002 April;;;
8480;Total sales;10513 Butter and dairy spreads;2002 May;;;
8481;Total sales;10513 Butter and dairy spreads;2002 June;;;
8482;Total sales;10513 Butter and dairy spreads;2002 July;;;
8483;Total sales;10513 Butter and dairy spreads;2002 August;;;
8484;Total sales;10513 Butter and dairy spreads;2002 September;;;
8485;Total sales;10513 Butter and dairy spreads;2002 October;;;
8486;Total sales;10513 Butter and dairy spreads;2002 November;;;
8487;Total sales;10513 Butter and dairy spreads;2002 December;;;
8488;Total sales;10513 Butter and dairy spreads;2002;;;
8489;Total sales;10513 Butter and dairy spreads;2003 January;;;
8490;Total sales;10513 Butter and dairy spreads;2003 February;;;
8491;Total sales;10513 Butter and dairy spreads;2003 March;;;
8492;Total sales;10513 Butter and dairy spreads;2003 April;;;
8493;Total sales;10513 Butter and dairy spreads;2003 May;;;
8494;Total sales;10513 Butter and dairy spreads;2003 June;;;
8495;Total sales;10513 Butter and dairy spreads;2003 July;;;
8496;Total sales;10513 Butter and dairy spreads;2003 August;;;
8497;Total sales;10513 Butter and dairy spreads;2003 September;;;
8498;Total sales;10513 Butter and dairy spreads;2003 October;;;
8499;Total sales;10513 Butter and dairy spreads;2003 November;;;
8500;Total sales;10513 Butter and dairy spreads;2003 December;;;
8501;Total sales;10513 Butter and dairy spreads;2003;;;
8502;Total sales;10513 Butter and dairy spreads;2004 January;;;
8503;Total sales;10513 Butter and dairy spreads;2004 February;;;
8504;Total sales;10513 Butter and dairy spreads;2004 March;;;
8505;Total sales;10513 Butter and dairy spreads;2004 April;;;
8506;Total sales;10513 Butter and dairy spreads;2004 May;;;
8507;Total sales;10513 Butter and dairy spreads;2004 June;;;
8508;Total sales;10513 Butter and dairy spreads;2004 July;;;
8509;Total sales;10513 Butter and dairy spreads;2004 August;;;
8510;Total sales;10513 Butter and dairy spreads;2004 September;;;
8511;Total sales;10513 Butter and dairy spreads;2004 October;;;
8512;Total sales;10513 Butter and dairy spreads;2004 November;;;
8513;Total sales;10513 Butter and dairy spreads;2004 December;;;
8514;Total sales;10513 Butter and dairy spreads;2004;;;
8515;Total sales;10513 Butter and dairy spreads;2005 January;;;
8516;Total sales;10513 Butter and dairy spreads;2005 February;;;
8517;Total sales;10513 Butter and dairy spreads;2005 March;;;
8518;Total sales;10513 Butter and dairy spreads;2005 April;;;
8519;Total sales;10513 Butter and dairy spreads;2005 May;;;
8520;Total sales;10513 Butter and dairy spreads;2005 June;;;
8521;Total sales;10513 Butter and dairy spreads;2005 July;;;
8522;Total sales;10513 Butter and dairy spreads;2005 August;;;
8523;Total sales;10513 Butter and dairy spreads;2005 September;;;
8524;Total sales;10513 Butter and dairy spreads;2005 October;;;
8525;Total sales;10513 Butter and dairy spreads;2005 November;;;
8526;Total sales;10513 Butter and dairy spreads;2005 December;;;
8527;Total sales;10513 Butter and dairy spreads;2005;;;
8528;Total sales;10513 Butter and dairy spreads;2006 January;;;
8529;Total sales;10513 Butter and dairy spreads;2006 February;;;
8530;Total sales;10513 Butter and dairy spreads;2006 March;;;
8531;Total sales;10513 Butter and dairy spreads;2006 April;;;
8532;Total sales;10513 Butter and dairy spreads;2006 May;;;
8533;Total sales;10513 Butter and dairy spreads;2006 June;;;
8534;Total sales;10513 Butter and dairy spreads;2006 July;;;
8535;Total sales;10513 Butter and dairy spreads;2006 August;;;
8536;Total sales;10513 Butter and dairy spreads;2006 September;;;
8537;Total sales;10513 Butter and dairy spreads;2006 October;;;
8538;Total sales;10513 Butter and dairy spreads;2006 November;;;
8539;Total sales;10513 Butter and dairy spreads;2006 December;;;
8540;Total sales;10513 Butter and dairy spreads;2006;;;
8541;Total sales;10513 Butter and dairy spreads;2007 January;;;
8542;Total sales;10513 Butter and dairy spreads;2007 February;;;
8543;Total sales;10513 Butter and dairy spreads;2007 March;;;
8544;Total sales;10513 Butter and dairy spreads;2007 April;;;
8545;Total sales;10513 Butter and dairy spreads;2007 May;;;
8546;Total sales;10513 Butter and dairy spreads;2007 June;;;
8547;Total sales;10513 Butter and dairy spreads;2007 July;;;
8548;Total sales;10513 Butter and dairy spreads;2007 August;;;
8549;Total sales;10513 Butter and dairy spreads;2007 September;;;
8550;Total sales;10513 Butter and dairy spreads;2007 October;;;
8551;Total sales;10513 Butter and dairy spreads;2007 November;;;
8552;Total sales;10513 Butter and dairy spreads;2007 December;;;
8553;Total sales;10513 Butter and dairy spreads;2007;;;
8554;Total sales;10513 Butter and dairy spreads;2008 January;;;
8555;Total sales;10513 Butter and dairy spreads;2008 February;;;
8556;Total sales;10513 Butter and dairy spreads;2008 March;;;
8557;Total sales;10513 Butter and dairy spreads;2008 April;;;
8558;Total sales;10513 Butter and dairy spreads;2008 May;;;
8559;Total sales;10513 Butter and dairy spreads;2008 June;;;
8560;Total sales;10513 Butter and dairy spreads;2008 July;;;
8561;Total sales;10513 Butter and dairy spreads;2008 August;;;
8562;Total sales;10513 Butter and dairy spreads;2008 September;;;
8563;Total sales;10513 Butter and dairy spreads;2008 October;;;
8564;Total sales;10513 Butter and dairy spreads;2008 November;;;
8565;Total sales;10513 Butter and dairy spreads;2008 December;;;
8566;Total sales;10513 Butter and dairy spreads;2008;;;
8567;Total sales;10513 Butter and dairy spreads;2009 January;;;
8568;Total sales;10513 Butter and dairy spreads;2009 February;;;
8569;Total sales;10513 Butter and dairy spreads;2009 March;;;
8570;Total sales;10513 Butter and dairy spreads;2009 April;;;
8571;Total sales;10513 Butter and dairy spreads;2009 May;;;
8572;Total sales;10513 Butter and dairy spreads;2009 June;;;
8573;Total sales;10513 Butter and dairy spreads;2009 July;;;
8574;Total sales;10513 Butter and dairy spreads;2009 August;;;
8575;Total sales;10513 Butter and dairy spreads;2009 September;;;
8576;Total sales;10513 Butter and dairy spreads;2009 October;;;
8577;Total sales;10513 Butter and dairy spreads;2009 November;;;
8578;Total sales;10513 Butter and dairy spreads;2009 December;;;
8579;Total sales;10513 Butter and dairy spreads;2009;;;
8580;Total sales;10513 Butter and dairy spreads;2010 January;;;
8581;Total sales;10513 Butter and dairy spreads;2010 February;;;
8582;Total sales;10513 Butter and dairy spreads;2010 March;;;
8583;Total sales;10513 Butter and dairy spreads;2010 April;;;
8584;Total sales;10513 Butter and dairy spreads;2010 May;;;
8585;Total sales;10513 Butter and dairy spreads;2010 June;;;
8586;Total sales;10513 Butter and dairy spreads;2010 July;;;
8587;Total sales;10513 Butter and dairy spreads;2010 August;;;
8588;Total sales;10513 Butter and dairy spreads;2010 September;;;
8589;Total sales;10513 Butter and dairy spreads;2010 October;;;
8590;Total sales;10513 Butter and dairy spreads;2010 November;;;
8591;Total sales;10513 Butter and dairy spreads;2010 December;;;
8592;Total sales;10513 Butter and dairy spreads;2010;;;
8593;Total sales;10513 Butter and dairy spreads;2011 January;;;
8594;Total sales;10513 Butter and dairy spreads;2011 February;;;
8595;Total sales;10513 Butter and dairy spreads;2011 March;;;
8596;Total sales;10513 Butter and dairy spreads;2011 April;;;
8597;Total sales;10513 Butter and dairy spreads;2011 May;;;
8598;Total sales;10513 Butter and dairy spreads;2011 June;;;
8599;Total sales;10513 Butter and dairy spreads;2011 July;;;
8600;Total sales;10513 Butter and dairy spreads;2011 August;;;
8601;Total sales;10513 Butter and dairy spreads;2011 September;;;
8602;Total sales;10513 Butter and dairy spreads;2011 October;;;
8603;Total sales;10513 Butter and dairy spreads;2011 November;;;
8604;Total sales;10513 Butter and dairy spreads;2011 December;160.5;;
8605;Total sales;10513 Butter and dairy spreads;2011;167.4;;
8606;Total sales;10513 Butter and dairy spreads;2012 January;147.8;-7.9;
8607;Total sales;10513 Butter and dairy spreads;2012 February;144.8;-2.0;
8608;Total sales;10513 Butter and dairy spreads;2012 March;137.8;-4.8;
8609;Total sales;10513 Butter and dairy spreads;2012 April;119.5;-13.3;
8610;Total sales;10513 Butter and dairy spreads;2012 May;115.8;-3.1;
8611;Total sales;10513 Butter and dairy spreads;2012 June;112.0;-3.2;
8612;Total sales;10513 Butter and dairy spreads;2012 July;117.8;5.2;
8613;Total sales;10513 Butter and dairy spreads;2012 August;119.2;1.2;
8614;Total sales;10513 Butter and dairy spreads;2012 September;120.6;1.1;
8615;Total sales;10513 Butter and dairy spreads;2012 October;129.7;7.6;
8616;Total sales;10513 Butter and dairy spreads;2012 November;132.8;2.3;
8617;Total sales;10513 Butter and dairy spreads;2012 December;130.8;-1.5;-18.5
8618;Total sales;10513 Butter and dairy spreads;2012;127.4;;-23.9
8619;Total sales;10514 Cheese and curd;2000 January;92.5;;
8620;Total sales;10514 Cheese and curd;2000 February;94.0;1.7;
8621;Total sales;10514 Cheese and curd;2000 March;94.5;0.6;
8622;Total sales;10514 Cheese and curd;2000 April;95.2;0.7;
8623;Total sales;10514 Cheese and curd;2000 May;95.6;0.4;
8624;Total sales;10514 Cheese and curd;2000 June;95.8;0.2;
8625;Total sales;10514 Cheese and curd;2000 July;95.5;-0.2;
8626;Total sales;10514 Cheese and curd;2000 August;97.2;1.7;
8627;Total sales;10514 Cheese and curd;2000 September;96.6;-0.6;
8628;Total sales;10514 Cheese and curd;2000 October;96.6;0.0;
8629;Total sales;10514 Cheese and curd;2000 November;97.1;0.5;
8630;Total sales;10514 Cheese and curd;2000 December;97.8;0.7;
8631;Total sales;10514 Cheese and curd;2000;95.7;;
8632;Total sales;10514 Cheese and curd;2001 January;100.7;3.0;8.9
8633;Total sales;10514 Cheese and curd;2001 February;101.4;0.8;7.9
8634;Total sales;10514 Cheese and curd;2001 March;102.1;0.7;8.0
8635;Total sales;10514 Cheese and curd;2001 April;101.4;-0.7;6.6
8636;Total sales;10514 Cheese and curd;2001 May;101.5;0.0;6.2
8637;Total sales;10514 Cheese and curd;2001 June;101.6;0.1;6.1
8638;Total sales;10514 Cheese and curd;2001 July;101.5;-0.1;6.3
8639;Total sales;10514 Cheese and curd;2001 August;102.7;1.1;5.6
8640;Total sales;10514 Cheese and curd;2001 September;103.1;0.5;6.7
8641;Total sales;10514 Cheese and curd;2001 October;106.6;3.4;10.4
8642;Total sales;10514 Cheese and curd;2001 November;106.6;-0.1;9.8
8643;Total sales;10514 Cheese and curd;2001 December;106.1;-0.4;8.5
8644;Total sales;10514 Cheese and curd;2001;102.9;;7.6
8645;Total sales;10514 Cheese and curd;2002 January;106.8;0.6;6.1
8646;Total sales;10514 Cheese and curd;2002 February;105.2;-1.5;3.7
8647;Total sales;10514 Cheese and curd;2002 March;104.9;-0.3;2.7
8648;Total sales;10514 Cheese and curd;2002 April;104.0;-0.8;2.5
8649;Total sales;10514 Cheese and curd;2002 May;103.6;-0.4;2.2
8650;Total sales;10514 Cheese and curd;2002 June;102.4;-1.2;0.7
8651;Total sales;10514 Cheese and curd;2002 July;100.6;-1.7;-0.9
8652;Total sales;10514 Cheese and curd;2002 August;100.6;0.0;-2.0
8653;Total sales;10514 Cheese and curd;2002 September;100.7;0.1;-2.3
8654;Total sales;10514 Cheese and curd;2002 October;100.1;-0.6;-6.1
8655;Total sales;10514 Cheese and curd;2002 November;101.6;1.5;-4.7
8656;Total sales;10514 Cheese and curd;2002 December;102.2;0.6;-3.7
8657;Total sales;10514 Cheese and curd;2002;102.7;;-0.2
8658;Total sales;10514 Cheese and curd;2003 January;103.1;0.9;-3.4
8659;Total sales;10514 Cheese and curd;2003 February;102.6;-0.5;-2.4
8660;Total sales;10514 Cheese and curd;2003 March;102.4;-0.2;-2.4
8661;Total sales;10514 Cheese and curd;2003 April;101.8;-0.6;-2.1
8662;Total sales;10514 Cheese and curd;2003 May;101.7;-0.1;-1.8
8663;Total sales;10514 Cheese and curd;2003 June;101.3;-0.5;-1.1
8664;Total sales;10514 Cheese and curd;2003 July;100.9;-0.4;0.3
8665;Total sales;10514 Cheese and curd;2003 August;100.4;-0.5;-0.3
8666;Total sales;10514 Cheese and curd;2003 September;100.3;0.0;-0.4
8667;Total sales;10514 Cheese and curd;2003 October;101.3;1.0;1.2
8668;Total sales;10514 Cheese and curd;2003 November;101.5;0.2;-0.1
8669;Total sales;10514 Cheese and curd;2003 December;101.7;0.2;-0.5
8670;Total sales;10514 Cheese and curd;2003;101.6;;-1.1
8671;Total sales;10514 Cheese and curd;2004 January;101.6;-0.1;-1.5
8672;Total sales;10514 Cheese and curd;2004 February;101.1;-0.4;-1.4
8673;Total sales;10514 Cheese and curd;2004 March;100.6;-0.6;-1.8
8674;Total sales;10514 Cheese and curd;2004 April;100.2;-0.3;-1.5
8675;Total sales;10514 Cheese and curd;2004 May;100.2;0.0;-1.5
8676;Total sales;10514 Cheese and curd;2004 June;100.1;-0.1;-1.1
8677;Total sales;10514 Cheese and curd;2004 July;99.8;-0.3;-1.1
8678;Total sales;10514 Cheese and curd;2004 August;99.1;-0.7;-1.3
8679;Total sales;10514 Cheese and curd;2004 September;99.0;-0.1;-1.4
8680;Total sales;10514 Cheese and curd;2004 October;99.5;0.5;-1.8
8681;Total sales;10514 Cheese and curd;2004 November;99.3;-0.2;-2.1
8682;Total sales;10514 Cheese and curd;2004 December;100.3;0.9;-1.4
8683;Total sales;10514 Cheese and curd;2004;100.1;;-1.5
8684;Total sales;10514 Cheese and curd;2005 January;100.1;-0.2;-1.5
8685;Total sales;10514 Cheese and curd;2005 February;99.7;-0.4;-1.4
8686;Total sales;10514 Cheese and curd;2005 March;100.4;0.7;-0.2
8687;Total sales;10514 Cheese and curd;2005 April;99.6;-0.8;-0.6
8688;Total sales;10514 Cheese and curd;2005 May;99.5;-0.1;-0.7
8689;Total sales;10514 Cheese and curd;2005 June;99.8;0.3;-0.3
8690;Total sales;10514 Cheese and curd;2005 July;100.1;0.2;0.3
8691;Total sales;10514 Cheese and curd;2005 August;99.9;-0.2;0.8
8692;Total sales;10514 Cheese and curd;2005 September;100.0;0.2;1.1
8693;Total sales;10514 Cheese and curd;2005 October;100.3;0.2;0.8
8694;Total sales;10514 Cheese and curd;2005 November;100.4;0.1;1.0
8695;Total sales;10514 Cheese and curd;2005 December;100.2;-0.1;0.0
8696;Total sales;10514 Cheese and curd;2005;100.0;;-0.1
8697;Total sales;10514 Cheese and curd;2006 January;102.5;2.3;2.5
8698;Total sales;10514 Cheese and curd;2006 February;102.3;-0.3;2.6
8699;Total sales;10514 Cheese and curd;2006 March;102.3;0.0;1.9
8700;Total sales;10514 Cheese and curd;2006 April;102.0;-0.3;2.4
8701;Total sales;10514 Cheese and curd;2006 May;101.8;-0.2;2.3
8702;Total sales;10514 Cheese and curd;2006 June;101.9;0.1;2.1
8703;Total sales;10514 Cheese and curd;2006 July;101.3;-0.6;1.3
8704;Total sales;10514 Cheese and curd;2006 August;101.3;-0.1;1.4
8705;Total sales;10514 Cheese and curd;2006 September;103.0;1.7;2.9
8706;Total sales;10514 Cheese and curd;2006 October;103.8;0.8;3.5
8707;Total sales;10514 Cheese and curd;2006 November;103.4;-0.3;3.1
8708;Total sales;10514 Cheese and curd;2006 December;103.7;0.2;3.4
8709;Total sales;10514 Cheese and curd;2006;102.4;;2.4
8710;Total sales;10514 Cheese and curd;2007 January;104.1;0.4;1.5
8711;Total sales;10514 Cheese and curd;2007 February;103.8;-0.3;1.5
8712;Total sales;10514 Cheese and curd;2007 March;104.3;0.5;2.0
8713;Total sales;10514 Cheese and curd;2007 April;104.1;-0.2;2.1
8714;Total sales;10514 Cheese and curd;2007 May;104.4;0.2;2.6
8715;Total sales;10514 Cheese and curd;2007 June;104.8;0.4;2.9
8716;Total sales;10514 Cheese and curd;2007 July;114.3;9.0;12.7
8717;Total sales;10514 Cheese and curd;2007 August;117.8;3.1;16.3
8718;Total sales;10514 Cheese and curd;2007 September;120.9;2.7;17.4
8719;Total sales;10514 Cheese and curd;2007 October;126.0;4.2;21.5
8720;Total sales;10514 Cheese and curd;2007 November;126.0;0.0;21.8
8721;Total sales;10514 Cheese and curd;2007 December;124.7;-1.1;20.2
8722;Total sales;10514 Cheese and curd;2007;112.9;;10.3
8723;Total sales;10514 Cheese and curd;2008 January;127.9;2.6;22.9
8724;Total sales;10514 Cheese and curd;2008 February;125.7;-1.8;21.0
8725;Total sales;10514 Cheese and curd;2008 March;124.2;-1.2;19.0
8726;Total sales;10514 Cheese and curd;2008 April;124.0;-0.1;19.1
8727;Total sales;10514 Cheese and curd;2008 May;122.9;-0.9;17.8
8728;Total sales;10514 Cheese and curd;2008 June;124.0;0.9;18.3
8729;Total sales;10514 Cheese and curd;2008 July;120.0;-3.2;5.0
8730;Total sales;10514 Cheese and curd;2008 August;119.4;-0.4;1.4
8731;Total sales;10514 Cheese and curd;2008 September;123.5;3.4;2.1
8732;Total sales;10514 Cheese and curd;2008 October;118.0;-4.5;-6.4
8733;Total sales;10514 Cheese and curd;2008 November;115.9;-1.8;-8.0
8734;Total sales;10514 Cheese and curd;2008 December;116.8;0.8;-6.3
8735;Total sales;10514 Cheese and curd;2008;121.9;;7.9
8736;Total sales;10514 Cheese and curd;2009 January;116.1;-0.5;-9.2
8737;Total sales;10514 Cheese and curd;2009 February;115.0;-0.9;-8.5
8738;Total sales;10514 Cheese and curd;2009 March;112.9;-1.9;-9.1
8739;Total sales;10514 Cheese and curd;2009 April;101.5;-10.1;-18.1
8740;Total sales;10514 Cheese and curd;2009 May;101.3;-0.2;-17.6
8741;Total sales;10514 Cheese and curd;2009 June;101.5;0.2;-18.1
8742;Total sales;10514 Cheese and curd;2009 July;104.6;3.1;-12.8
8743;Total sales;10514 Cheese and curd;2009 August;103.9;-0.6;-13.0
8744;Total sales;10514 Cheese and curd;2009 September;104.7;0.8;-15.2
8745;Total sales;10514 Cheese and curd;2009 October;106.0;1.2;-10.1
8746;Total sales;10514 Cheese and curd;2009 November;109.8;3.6;-5.2
8747;Total sales;10514 Cheese and curd;2009 December;111.2;1.3;-4.7
8748;Total sales;10514 Cheese and curd;2009;107.4;;-11.9
8749;Total sales;10514 Cheese and curd;2010 January;111.4;0.2;-4.1
8750;Total sales;10514 Cheese and curd;2010 February;111.3;-0.1;-3.3
8751;Total sales;10514 Cheese and curd;2010 March;111.4;0.1;-1.4
8752;Total sales;10514 Cheese and curd;2010 April;114.7;3.0;13.0
8753;Total sales;10514 Cheese and curd;2010 May;116.8;1.9;15.3
8754;Total sales;10514 Cheese and curd;2010 June;115.5;-1.1;13.8
8755;Total sales;10514 Cheese and curd;2010 July;116.0;0.4;10.9
8756;Total sales;10514 Cheese and curd;2010 August;115.6;-0.3;11.3
8757;Total sales;10514 Cheese and curd;2010 September;115.8;0.1;10.5
8758;Total sales;10514 Cheese and curd;2010 October;115.9;0.1;9.3
8759;Total sales;10514 Cheese and curd;2010 November;117.2;1.2;6.7
8760;Total sales;10514 Cheese and curd;2010 December;118.1;0.8;6.2
8761;Total sales;10514 Cheese and curd;2010;115.0;;7.1
8762;Total sales;10514 Cheese and curd;2011 January;118.6;0.4;6.4
8763;Total sales;10514 Cheese and curd;2011 February;119.0;0.4;7.0
8764;Total sales;10514 Cheese and curd;2011 March;118.6;-0.4;6.5
8765;Total sales;10514 Cheese and curd;2011 April;119.4;0.7;4.2
8766;Total sales;10514 Cheese and curd;2011 May;118.0;-1.2;1.0
8767;Total sales;10514 Cheese and curd;2011 June;118.4;0.4;2.5
8768;Total sales;10514 Cheese and curd;2011 July;117.1;-1.1;0.9
8769;Total sales;10514 Cheese and curd;2011 August;117.9;0.7;2.0
8770;Total sales;10514 Cheese and curd;2011 September;117.4;-0.5;1.4
8771;Total sales;10514 Cheese and curd;2011 October;117.3;-0.1;1.3
8772;Total sales;10514 Cheese and curd;2011 November;115.9;-1.2;-1.2
8773;Total sales;10514 Cheese and curd;2011 December;115.5;-0.3;-2.3
8774;Total sales;10514 Cheese and curd;2011;117.7;;2.4
8775;Total sales;10514 Cheese and curd;2012 January;116.7;1.0;-1.6
8776;Total sales;10514 Cheese and curd;2012 February;115.5;-1.0;-3.0
8777;Total sales;10514 Cheese and curd;2012 March;114.8;-0.6;-3.2
8778;Total sales;10514 Cheese and curd;2012 April;114.0;-0.7;-4.5
8779;Total sales;10514 Cheese and curd;2012 May;113.6;-0.4;-3.7
8780;Total sales;10514 Cheese and curd;2012 June;113.8;0.2;-3.9
8781;Total sales;10514 Cheese and curd;2012 July;113.7;0.0;-2.9
8782;Total sales;10514 Cheese and curd;2012 August;113.5;-0.2;-3.8
8783;Total sales;10514 Cheese and curd;2012 September;114.5;0.9;-2.4
8784;Total sales;10514 Cheese and curd;2012 October;116.2;1.5;-0.9
8785;Total sales;10514 Cheese and curd;2012 November;117.1;0.7;1.1
8786;Total sales;10514 Cheese and curd;2012 December;117.8;0.6;2.0
8787;Total sales;10514 Cheese and curd;2012;115.1;;-2.3
8788;Total sales;10515 Other dairy products;2000 January;81.0;;
8789;Total sales;10515 Other dairy products;2000 February;79.3;-2.1;
8790;Total sales;10515 Other dairy products;2000 March;79.1;-0.2;
8791;Total sales;10515 Other dairy products;2000 April;79.3;0.3;
8792;Total sales;10515 Other dairy products;2000 May;80.0;0.8;
8793;Total sales;10515 Other dairy products;2000 June;80.9;1.1;
8794;Total sales;10515 Other dairy products;2000 July;81.4;0.6;
8795;Total sales;10515 Other dairy products;2000 August;81.7;0.4;
8796;Total sales;10515 Other dairy products;2000 September;81.8;0.1;
8797;Total sales;10515 Other dairy products;2000 October;83.9;2.6;
8798;Total sales;10515 Other dairy products;2000 November;86.4;3.0;
8799;Total sales;10515 Other dairy products;2000 December;88.5;2.4;
8800;Total sales;10515 Other dairy products;2000;81.9;;
8801;Total sales;10515 Other dairy products;2001 January;90.9;2.7;12.1
8802;Total sales;10515 Other dairy products;2001 February;93.4;2.8;17.7
8803;Total sales;10515 Other dairy products;2001 March;93.4;0.0;18.1
8804;Total sales;10515 Other dairy products;2001 April;93.6;0.2;18.0
8805;Total sales;10515 Other dairy products;2001 May;93.6;0.0;17.0
8806;Total sales;10515 Other dairy products;2001 June;93.7;0.1;15.8
8807;Total sales;10515 Other dairy products;2001 July;94.9;1.3;16.6
8808;Total sales;10515 Other dairy products;2001 August;95.0;0.1;16.3
8809;Total sales;10515 Other dairy products;2001 September;94.5;-0.6;15.5
8810;Total sales;10515 Other dairy products;2001 October;95.3;0.9;13.6
8811;Total sales;10515 Other dairy products;2001 November;95.5;0.3;10.6
8812;Total sales;10515 Other dairy products;2001 December;94.5;-1.1;6.8
8813;Total sales;10515 Other dairy products;2001;94.0;;14.7
8814;Total sales;10515 Other dairy products;2002 January;95.5;1.0;5.1
8815;Total sales;10515 Other dairy products;2002 February;98.2;2.9;5.1
8816;Total sales;10515 Other dairy products;2002 March;97.5;-0.7;4.4
8817;Total sales;10515 Other dairy products;2002 April;96.5;-1.1;3.1
8818;Total sales;10515 Other dairy products;2002 May;94.8;-1.8;1.3
8819;Total sales;10515 Other dairy products;2002 June;94.2;-0.6;0.6
8820;Total sales;10515 Other dairy products;2002 July;93.2;-1.1;-1.7
8821;Total sales;10515 Other dairy products;2002 August;92.9;-0.4;-2.3
8822;Total sales;10515 Other dairy products;2002 September;93.3;0.5;-1.2
8823;Total sales;10515 Other dairy products;2002 October;91.7;-1.7;-3.8
8824;Total sales;10515 Other dairy products;2002 November;91.5;-0.2;-4.2
8825;Total sales;10515 Other dairy products;2002 December;90.7;-0.9;-4.0
8826;Total sales;10515 Other dairy products;2002;94.2;;0.1
8827;Total sales;10515 Other dairy products;2003 January;90.1;-0.7;-5.7
8828;Total sales;10515 Other dairy products;2003 February;90.7;0.7;-7.7
8829;Total sales;10515 Other dairy products;2003 March;89.9;-0.8;-7.8
8830;Total sales;10515 Other dairy products;2003 April;90.8;0.9;-5.9
8831;Total sales;10515 Other dairy products;2003 May;90.0;-0.9;-5.1
8832;Total sales;10515 Other dairy products;2003 June;90.0;0.1;-4.4
8833;Total sales;10515 Other dairy products;2003 July;91.0;1.1;-2.4
8834;Total sales;10515 Other dairy products;2003 August;90.5;-0.6;-2.5
8835;Total sales;10515 Other dairy products;2003 September;91.6;1.2;-1.8
8836;Total sales;10515 Other dairy products;2003 October;92.5;1.0;0.9
8837;Total sales;10515 Other dairy products;2003 November;92.6;0.2;1.3
8838;Total sales;10515 Other dairy products;2003 December;92.7;0.1;2.2
8839;Total sales;10515 Other dairy products;2003;91.0;;-3.3
8840;Total sales;10515 Other dairy products;2004 January;93.1;0.4;3.3
8841;Total sales;10515 Other dairy products;2004 February;93.3;0.3;3.0
8842;Total sales;10515 Other dairy products;2004 March;93.4;0.1;3.9
8843;Total sales;10515 Other dairy products;2004 April;92.3;-1.2;1.7
8844;Total sales;10515 Other dairy products;2004 May;92.5;0.2;2.8
8845;Total sales;10515 Other dairy products;2004 June;93.8;1.4;4.1
8846;Total sales;10515 Other dairy products;2004 July;94.6;0.9;3.9
8847;Total sales;10515 Other dairy products;2004 August;94.8;0.1;4.7
8848;Total sales;10515 Other dairy products;2004 September;97.5;2.9;6.4
8849;Total sales;10515 Other dairy products;2004 October;97.2;-0.3;5.1
8850;Total sales;10515 Other dairy products;2004 November;97.8;0.7;5.6
8851;Total sales;10515 Other dairy products;2004 December;97.3;-0.5;4.9
