ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
585;Women;30 - 34 yrs;2004;604;478;458;19.0;126.0;79.1;75.9;4.1;426.0;396.0;29.0;30.0;2.0;106.0;193.0;159.0;;;28.0;117.0;109.0;84.0;77.0;3.0;4.0;8.0;27.0;2.0
586;Women;30 - 34 yrs;2005;575;467;447;20.0;108.0;81.2;77.7;4.2;415.0;383.0;32.0;29.0;3.0;97.0;197.0;152.0;;;26.0;114.0;107.0;87.0;72.0;2.0;6.0;5.0;25.0;4.0
587;Women;30 - 34 yrs;2006;548;445;428;16.0;103.0;81.2;78.2;3.6;396.0;362.0;33.0;31.0;2.0;87.0;189.0;151.0;;;29.0;112.0;96.0;79.0;71.0;3.0;5.0;7.0;23.0;5.0
588;Women;35 - 39 yrs;2000;645;479;461;18.0;165.0;74.4;71.6;3.8;408.0;356.0;52.0;47.0;6.0;153.0;194.0;114.0;;;46.0;80.0;112.0;87.0;69.0;5.0;3.0;8.0;38.0;13.0
589;Women;35 - 39 yrs;2001;648;488;473;15.0;160.0;75.3;73.0;3.1;427.0;382.0;44.0;41.0;5.0;163.0;204.0;106.0;;;42.0;86.0;116.0;88.0;78.0;3.0;7.0;8.0;40.0;5.0
590;Women;35 - 39 yrs;2002;647;500;483;17.0;147.0;77.3;74.6;3.4;432.0;389.0;43.0;46.0;5.0;154.0;216.0;111.0;;;36.0;95.0;121.0;95.0;76.0;4.0;6.0;7.0;38.0;5.0
591;Women;35 - 39 yrs;2003;645;492;471;21.0;153.0;76.3;73.1;4.2;424.0;385.0;39.0;42.0;5.0;153.0;209.0;108.0;;;41.0;98.0;121.0;83.0;71.0;2.0;4.0;7.0;38.0;5.0
592;Women;35 - 39 yrs;2004;644;499;475;24.0;145.0;77.5;73.8;4.8;421.0;384.0;37.0;49.0;5.0;147.0;217.0;110.0;;;30.0;105.0;115.0;96.0;80.0;3.0;4.0;7.0;33.0;
593;Women;35 - 39 yrs;2005;644;511;484;27.0;134.0;79.3;75.1;5.2;432.0;396.0;36.0;47.0;5.0;143.0;227.0;114.0;;;33.0;104.0;108.0;96.0;83.0;4.0;7.0;7.0;38.0;3.0
594;Women;35 - 39 yrs;2006;643;507;485;22.0;135.0;78.9;75.5;4.3;430.0;392.0;38.0;50.0;5.0;140.0;228.0;116.0;;;35.0;100.0;117.0;92.0;81.0;3.0;6.0;9.0;36.0;5.0
595;Women;40 - 44 yrs;2000;602;444;430;14.0;158.0;73.8;71.5;3.2;381.0;332.0;49.0;41.0;8.0;132.0;197.0;101.0;;;36.0;90.0;95.0;67.0;69.0;5.0;4.0;9.0;44.0;13.0
596;Women;40 - 44 yrs;2001;612;466;452;14.0;146.0;76.1;73.9;2.9;404.0;357.0;47.0;42.0;6.0;133.0;209.0;110.0;;;41.0;83.0;102.0;85.0;75.0;4.0;5.0;8.0;45.0;3.0
597;Women;40 - 44 yrs;2002;622;461;445;16.0;161.0;74.1;71.6;3.4;399.0;358.0;41.0;40.0;6.0;132.0;215.0;97.0;;;40.0;85.0;106.0;78.0;71.0;4.0;5.0;8.0;45.0;4.0
598;Women;40 - 44 yrs;2003;631;482;462;20.0;149.0;76.3;73.2;4.1;415.0;377.0;38.0;43.0;4.0;138.0;219.0;103.0;;;44.0;88.0;109.0;86.0;69.0;3.0;5.0;9.0;43.0;5.0
599;Women;40 - 44 yrs;2004;638;492;467;25.0;147.0;77.0;73.1;5.0;414.0;374.0;41.0;48.0;5.0;147.0;217.0;100.0;2.0;;27.0;99.0;107.0;89.0;88.0;3.0;3.0;8.0;39.0;2.0
600;Women;40 - 44 yrs;2005;644;501;475;26.0;143.0;77.8;73.8;5.2;423.0;383.0;40.0;45.0;7.0;146.0;227.0;100.0;;;32.0;97.0;108.0;96.0;81.0;3.0;6.0;9.0;40.0;3.0
601;Women;40 - 44 yrs;2006;645;511;487;25.0;134.0;79.3;75.5;4.8;429.0;387.0;42.0;53.0;5.0;148.0;225.0;114.0;;;36.0;100.0;114.0;94.0;81.0;3.0;4.0;8.0;43.0;3.0
602;Women;45 - 49 yrs;2000;558;388;374;14.0;170.0;69.5;67.0;3.6;325.0;285.0;40.0;41.0;8.0;113.0;174.0;87.0;;;38.0;67.0;72.0;67.0;66.0;5.0;5.0;6.0;40.0;10.0
603;Women;45 - 49 yrs;2001;565;404;390;13.0;161.0;71.5;69.1;3.3;340.0;303.0;37.0;45.0;5.0;111.0;180.0;99.0;;;35.0;72.0;79.0;68.0;73.0;3.0;5.0;9.0;45.0;2.0
604;Women;45 - 49 yrs;2002;572;423;409;14.0;149.0;74.0;71.5;3.3;366.0;332.0;35.0;38.0;5.0;115.0;200.0;94.0;;;34.0;82.0;92.0;72.0;68.0;2.0;5.0;8.0;42.0;3.0
605;Women;45 - 49 yrs;2003;579;442;426;16.0;137.0;76.3;73.5;3.7;379.0;344.0;34.0;42.0;5.0;119.0;209.0;98.0;;;40.0;79.0;98.0;75.0;70.0;3.0;5.0;8.0;42.0;6.0
606;Women;45 - 49 yrs;2004;588;448;431;18.0;140.0;76.2;73.2;3.9;382.0;350.0;32.0;43.0;6.0;120.0;218.0;92.0;;;23.0;96.0;96.0;84.0;78.0;2.0;3.0;8.0;40.0;
607;Women;45 - 49 yrs;2005;597;457;438;19.0;140.0;76.6;73.4;4.2;388.0;354.0;33.0;45.0;5.0;119.0;219.0;99.0;;;30.0;93.0;96.0;87.0;71.0;3.0;4.0;7.0;43.0;3.0
608;Women;45 - 49 yrs;2006;606;472;452;20.0;134.0;77.8;74.6;4.2;397.0;360.0;37.0;50.0;6.0;122.0;232.0;97.0;;;40.0;96.0;99.0;82.0;78.0;3.0;5.0;6.0;38.0;3.0
609;Women;50 - 54 yrs;2000;569;330;320;11.0;238.0;58.1;56.2;3.3;264.0;226.0;38.0;47.0;8.0;105.0;136.0;78.0;;;32.0;57.0;55.0;56.0;62.0;5.0;5.0;4.0;34.0;10.0
610;Women;50 - 54 yrs;2001;569;337;328;10.0;232.0;59.2;57.5;2.8;278.0;243.0;35.0;42.0;7.0;108.0;139.0;80.0;;;33.0;58.0;59.0;59.0;62.0;3.0;3.0;6.0;41.0;3.0
611;Women;50 - 54 yrs;2002;556;342;330;12.0;214.0;61.5;59.3;3.6;282.0;254.0;28.0;42.0;6.0;102.0;146.0;81.0;;;30.0;60.0;59.0;66.0;59.0;3.0;5.0;5.0;39.0;4.0
612;Women;50 - 54 yrs;2003;549;351;339;12.0;198.0;63.9;61.8;3.3;293.0;267.0;26.0;39.0;6.0;102.0;158.0;78.0;;;29.0;65.0;72.0;64.0;61.0;2.0;4.0;6.0;33.0;3.0
613;Women;50 - 54 yrs;2004;547;361;346;15.0;186.0;65.9;63.1;4.2;302.0;273.0;29.0;38.0;5.0;106.0;160.0;79.0;;;25.0;73.0;63.0;66.0;70.0;2.0;4.0;6.0;35.0;
614;Women;50 - 54 yrs;2005;550;375;358;16.0;175.0;68.1;65.1;4.4;311.0;282.0;29.0;43.0;5.0;111.0;172.0;75.0;;;26.0;71.0;74.0;70.0;64.0;3.0;5.0;5.0;37.0;2.0
615;Women;50 - 54 yrs;2006;556;383;368;15.0;173.0;68.9;66.2;3.9;324.0;295.0;29.0;40.0;5.0;100.0;181.0;86.0;;;29.0;79.0;74.0;68.0;67.0;2.0;2.0;5.0;38.0;3.0
616;Women;55 - 59 yrs;2000;425;164;161;3.0;261.0;38.6;37.9;1.7;128.0;112.0;16.0;30.0;4.0;62.0;63.0;37.0;;;21.0;31.0;25.0;28.0;24.0;2.0;2.0;2.0;20.0;7.0
617;Women;55 - 59 yrs;2001;451;177;174;3.0;274.0;39.2;38.5;1.9;142.0;123.0;19.0;26.0;5.0;64.0;71.0;39.0;;;17.0;34.0;27.0;29.0;35.0;2.0;2.0;4.0;23.0;
618;Women;55 - 59 yrs;2002;491;214;208;5.0;278.0;43.4;42.4;2.4;172.0;152.0;20.0;31.0;6.0;81.0;85.0;42.0;;;22.0;41.0;31.0;34.0;40.0;2.0;3.0;3.0;27.0;3.0
619;Women;55 - 59 yrs;2003;521;227;220;7.0;295.0;43.5;42.2;2.9;181.0;158.0;23.0;34.0;5.0;86.0;89.0;43.0;2.0;;22.0;41.0;39.0;38.0;41.0;2.0;4.0;5.0;25.0;4.0
620;Women;55 - 59 yrs;2004;540;254;244;9.0;287.0;46.9;45.2;3.6;205.0;185.0;20.0;36.0;3.0;89.0;109.0;45.0;;;18.0;48.0;45.0;42.0;52.0;;3.0;4.0;30.0;
621;Women;55 - 59 yrs;2005;556;274;263;11.0;283.0;49.2;47.3;3.9;222.0;200.0;22.0;37.0;5.0;102.0;108.0;52.0;;;19.0;57.0;47.0;47.0;51.0;2.0;2.0;3.0;31.0;2.0
622;Women;55 - 59 yrs;2006;556;294;282;12.0;262.0;52.9;50.8;4.0;240.0;218.0;22.0;37.0;4.0;95.0;130.0;56.0;;;21.0;60.0;52.0;51.0;52.0;3.0;;4.0;34.0;3.0
623;Women;60 - 64 yrs;2000;367;42;41;;325.0;11.4;11.1;;25.0;18.0;7.0;12.0;4.0;21.0;13.0;7.0;;;8.0;6.0;5.0;6.0;7.0;;;;5.0;4.0
624;Women;60 - 64 yrs;2001;374;48;47;;326.0;12.8;12.6;;32.0;25.0;7.0;13.0;2.0;27.0;12.0;8.0;;;8.0;8.0;5.0;7.0;9.0;;;;8.0;
625;Women;60 - 64 yrs;2002;380;51;50;;329.0;13.4;13.1;;36.0;27.0;9.0;12.0;2.0;30.0;12.0;7.0;;;6.0;9.0;7.0;7.0;10.0;;;;7.0;
626;Women;60 - 64 yrs;2003;390;59;57;2.0;331.0;15.0;14.6;3.2;40.0;31.0;8.0;15.0;2.0;28.0;17.0;12.0;;;7.0;13.0;8.0;9.0;9.0;;;;8.0;
627;Women;60 - 64 yrs;2004;402;66;65;;335.0;16.5;16.1;;43.0;33.0;10.0;20.0;2.0;33.0;19.0;11.0;;;7.0;16.0;10.0;11.0;11.0;;;;8.0;
628;Women;60 - 64 yrs;2005;411;74;71;3.0;337.0;18.1;17.3;4.2;52.0;42.0;10.0;18.0;2.0;37.0;21.0;13.0;;;7.0;13.0;12.0;12.0;14.0;;;2.0;9.0;
629;Women;60 - 64 yrs;2006;436;89;86;4.0;347.0;20.4;19.6;3.9;64.0;51.0;13.0;19.0;2.0;42.0;25.0;16.0;2.0;;10.0;15.0;14.0;12.0;18.0;;;2.0;11.0;
630;Women;65 - 69 yrs;2000;323;9;9;;313.0;2.9;2.9;;3.0;;2.0;6.0;;6.0;;2.0;;;3.0;2.0;;;;;;;;
631;Women;65 - 69 yrs;2001;330;11;10;;319.0;3.4;3.1;;3.0;2.0;2.0;6.0;;6.0;3.0;;;;2.0;3.0;;;2.0;;;;;
632;Women;65 - 69 yrs;2002;335;13;13;;322.0;4.0;3.8;;5.0;3.0;3.0;7.0;;9.0;3.0;;;;4.0;2.0;2.0;;2.0;;;;;
633;Women;65 - 69 yrs;2003;336;16;16;;319.0;4.8;4.7;;9.0;2.0;6.0;7.0;;11.0;3.0;;;;3.0;2.0;2.0;2.0;3.0;;;;2.0;
634;Women;65 - 69 yrs;2004;355;17;15;2.0;338.0;4.7;4.2;10.9;10.0;3.0;7.0;4.0;;8.0;4.0;3.0;;;;4.0;;3.0;2.0;;;;3.0;
635;Women;65 - 69 yrs;2005;343;18;17;;326.0;5.2;5.0;;7.0;4.0;2.0;11.0;;13.0;3.0;;;;2.0;5.0;3.0;;2.0;;;;4.0;
636;Women;65 - 69 yrs;2006;373;19;18;;353.0;5.2;4.9;;10.0;5.0;4.0;7.0;;14.0;3.0;;;;2.0;5.0;;2.0;3.0;;;;3.0;
637;Women;70 - 74 yrs;2000;314;6;6;;308.0;1.9;1.9;;;;;5.0;;5.0;;;;;;;;;2.0;;;;;
638;Women;70 - 74 yrs;2001;309;4;4;;305.0;1.2;1.2;;;;;2.0;;3.0;;;;;;;;;;;;;;
639;Women;70 - 74 yrs;2002;306;5;5;;301.0;1.7;1.7;;2.0;;2.0;2.0;;3.0;;;;;;;;;;;;;;
640;Women;70 - 74 yrs;2003;309;6;6;;303.0;1.9;1.9;;3.0;2.0;;3.0;;3.0;;2.0;;;2.0;;;2.0;;;;;;
641;Women;70 - 74 yrs;2004;296;5;5;;290.0;1.8;1.6;;;;;4.0;;4.0;;;;;;;;;;;;;;
642;Women;70 - 74 yrs;2005;313;4;4;;309.0;1.4;1.4;;;;;3.0;;4.0;;;;;2.0;;;;;;;;;
643;Women;70 - 74 yrs;2006;289;4;4;;284.0;1.6;1.5;;2.0;;;2.0;;3.0;;;;;;;;;;;;;;
644;Women;75 yrs and older;2000;530;2;2;;528.0;0.4;0.4;;;;;;;2.0;;;;;;;;;;;;;;
645;Women;75 yrs and older;2001;540;2;2;;537.0;0.4;0.4;;;;;2.0;;;;;;;;;;;;;;;;
646;Women;75 yrs and older;2002;548;4;4;;544.0;0.7;0.7;;;;;3.0;;2.0;;;;;;;;;;;;;;
647;Women;75 yrs and older;2003;555;3;3;;552.0;0.6;0.6;;;;;3.0;;2.0;;;;;;;;;;;;;;
648;Women;75 yrs and older;2004;564;3;3;;562.0;0.5;0.5;;;;;2.0;;2.0;;;;;;;;;;;;;;
649;Women;75 yrs and older;2005;572;2;2;;570.0;0.4;0.4;;;;;2.0;;2.0;;;;;;;;;;;;;;
650;Women;75 yrs and older;2006;579;3;3;;576.0;0.5;0.5;;;;;2.0;;2.0;;;;;;;;;;;;;;
651;Women;Single person households;2000;1244;445;428;18.0;798.0;35.8;34.4;4.0;394.0;329.0;64.0;34.0;;73.0;122.0;232.0;;;35.0;97.0;93.0;80.0;68.0;2.0;4.0;8.0;27.0;15.0
652;Women;Single person households;2001;1262;460;443;17.0;802.0;36.4;35.1;3.7;413.0;348.0;65.0;30.0;;78.0;130.0;234.0;;;33.0;100.0;100.0;88.0;78.0;;6.0;7.0;24.0;5.0
653;Women;Single person households;2002;1259;468;450;19.0;791.0;37.2;35.7;4.0;411.0;352.0;59.0;38.0;;88.0;127.0;234.0;;;29.0;111.0;96.0;93.0;74.0;2.0;3.0;6.0;29.0;7.0
654;Women;Single person households;2003;1257;450;428;22.0;807.0;35.8;34.1;4.9;397.0;345.0;52.0;31.0;;77.0;135.0;215.0;;;31.0;108.0;99.0;76.0;67.0;2.0;4.0;5.0;25.0;9.0
655;Women;Single person households;2004;1280;479;452;27.0;801.0;37.4;35.3;5.7;416.0;357.0;59.0;36.0;;84.0;135.0;231.0;;;27.0;127.0;99.0;82.0;74.0;;4.0;9.0;28.0;2.0
656;Women;Single person households;2005;1282;468;438;30.0;814.0;36.5;34.1;6.4;406.0;348.0;58.0;32.0;;87.0;133.0;216.0;;;21.0;118.0;98.0;76.0;78.0;2.0;6.0;6.0;26.0;6.0
657;Women;Single person households;2006;1325;498;473;25.0;826.0;37.6;35.7;5.0;435.0;368.0;66.0;39.0;;86.0;149.0;235.0;3.0;;28.0;132.0;103.0;83.0;78.0;2.0;4.0;6.0;30.0;7.0
658;Women;Partner in a couple (no children);2000;2139;1047;1024;23.0;1091.0;49.0;47.9;2.2;923.0;824.0;99.0;89.0;12.0;185.0;381.0;457.0;;2.0;101.0;188.0;225.0;197.0;174.0;10.0;12.0;19.0;71.0;26.0
659;Women;Partner in a couple (no children);2001;2117;1023;1000;23.0;1094.0;48.3;47.3;2.2;903.0;822.0;81.0;84.0;13.0;182.0;374.0;444.0;;;92.0;199.0;227.0;184.0;175.0;8.0;14.0;16.0;78.0;8.0
660;Women;Partner in a couple (no children);2002;2101;1003;977;26.0;1098.0;47.7;46.5;2.6;882.0;795.0;87.0;82.0;13.0;181.0;389.0;405.0;;;92.0;193.0;218.0;190.0;160.0;8.0;15.0;19.0;69.0;12.0
661;Women;Partner in a couple (no children);2003;2152;1042;1011;31.0;1109.0;48.5;47.0;3.0;916.0;836.0;80.0;86.0;10.0;183.0;406.0;420.0;3.0;;90.0;216.0;241.0;173.0;165.0;6.0;14.0;19.0;73.0;14.0
662;Women;Partner in a couple (no children);2004;2144;1029;992;37.0;1115.0;48.0;46.3;3.6;896.0;809.0;87.0;87.0;9.0;192.0;405.0;393.0;2.0;;62.0;229.0;210.0;199.0;186.0;6.0;8.0;16.0;72.0;3.0
663;Women;Partner in a couple (no children);2005;2132;1034;997;37.0;1098.0;48.5;46.8;3.6;891.0;803.0;88.0;96.0;11.0;210.0;401.0;384.0;2.0;2.0;66.0;236.0;214.0;188.0;178.0;7.0;13.0;15.0;73.0;6.0
664;Women;Partner in a couple (no children);2006;2131;1041;1007;34.0;1090.0;48.9;47.2;3.3;901.0;799.0;103.0;94.0;11.0;200.0;407.0;396.0;4.0;;74.0;229.0;209.0;188.0;184.0;7.0;9.0;15.0;79.0;10.0
665;Women;Partner in a couple with children;2000;2063;1362;1313;49.0;701.0;66.0;63.7;3.6;1130.0;956.0;174.0;150.0;33.0;550.0;590.0;173.0;;;114.0;219.0;279.0;226.0;239.0;19.0;15.0;18.0;138.0;45.0
666;Women;Partner in a couple with children;2001;2082;1406;1365;41.0;676.0;67.5;65.5;2.9;1194.0;1037.0;156.0;147.0;24.0;560.0;619.0;185.0;;;116.0;227.0;306.0;251.0;254.0;13.0;17.0;29.0;141.0;11.0
667;Women;Partner in a couple with children;2002;2103;1438;1396;42.0;666.0;68.4;66.4;2.9;1233.0;1093.0;140.0;137.0;26.0;566.0;656.0;171.0;4.0;;111.0;241.0;329.0;252.0;256.0;13.0;16.0;21.0;143.0;13.0
668;Women;Partner in a couple with children;2003;2077;1464;1410;54.0;613.0;70.5;67.9;3.7;1243.0;1114.0;129.0;144.0;22.0;562.0;668.0;176.0;4.0;;120.0;248.0;337.0;258.0;251.0;12.0;13.0;21.0;135.0;14.0
669;Women;Partner in a couple with children;2004;2086;1491;1428;63.0;596.0;71.4;68.4;4.2;1256.0;1130.0;126.0;149.0;22.0;560.0;690.0;174.0;4.0;;79.0;295.0;323.0;265.0;286.0;10.0;14.0;22.0;128.0;5.0
670;Women;Partner in a couple with children;2005;2081;1513;1451;63.0;567.0;72.7;69.7;4.1;1274.0;1146.0;128.0;154.0;23.0;552.0;713.0;183.0;3.0;;94.0;285.0;324.0;282.0;271.0;12.0;16.0;21.0;136.0;9.0
671;Women;Partner in a couple with children;2006;2070;1531;1478;53.0;539.0;73.9;71.4;3.5;1291.0;1158.0;133.0;165.0;22.0;548.0;731.0;194.0;5.0;;113.0;291.0;338.0;271.0;279.0;13.0;14.0;19.0;130.0;10.0
672;Women;Single parent;2000;302;153;142;11.0;149.0;50.6;46.8;7.5;132.0;117.0;14.0;10.0;;30.0;70.0;42.0;;;12.0;24.0;29.0;25.0;28.0;;2.0;3.0;16.0;3.0
673;Women;Single parent;2001;310;164;154;10.0;146.0;53.0;49.9;5.9;144.0;128.0;17.0;10.0;;29.0;78.0;48.0;;;9.0;24.0;34.0;31.0;32.0;;2.0;3.0;18.0;2.0
674;Women;Single parent;2002;337;187;174;13.0;150.0;55.4;51.6;6.7;165.0;152.0;13.0;9.0;;31.0;89.0;54.0;;;10.0;33.0;37.0;36.0;31.0;;2.0;4.0;19.0;2.0
675;Women;Single parent;2003;342;202;186;16.0;140.0;59.1;54.5;7.8;173.0;158.0;15.0;13.0;;39.0;92.0;55.0;;;14.0;33.0;43.0;35.0;31.0;;3.0;3.0;21.0;4.0
676;Women;Single parent;2004;344;204;183;21.0;140.0;59.3;53.1;10.4;168.0;151.0;17.0;14.0;;35.0;95.0;52.0;;;10.0;32.0;42.0;35.0;40.0;;;3.0;18.0;
677;Women;Single parent;2005;362;221;196;26.0;140.0;61.2;54.2;11.6;185.0;168.0;17.0;11.0;;40.0;102.0;53.0;;;10.0;33.0;42.0;44.0;37.0;;3.0;3.0;19.0;3.0
678;Women;Single parent;2006;367;225;201;24.0;142.0;61.4;54.8;10.7;188.0;169.0;19.0;13.0;;34.0;111.0;56.0;;;11.0;38.0;43.0;40.0;42.0;;2.0;4.0;19.0;2.0
679;Women;Child aged >= 18 years;2000;359;279;265;14.0;80.0;77.7;73.9;4.9;260.0;180.0;80.0;4.0;;100.0;55.0;110.0;;;6.0;13.0;37.0;64.0;95.0;5.0;4.0;5.0;25.0;11.0
680;Women;Child aged >= 18 years;2001;367;281;270;12.0;86.0;76.6;73.5;4.1;266.0;194.0;72.0;3.0;;93.0;62.0;114.0;;;5.0;15.0;48.0;70.0;91.0;4.0;3.0;5.0;25.0;3.0
681;Women;Child aged >= 18 years;2002;383;294;281;13.0;89.0;76.8;73.4;4.4;276.0;195.0;81.0;5.0;;101.0;71.0;109.0;;;6.0;18.0;50.0;65.0;98.0;2.0;4.0;4.0;29.0;2.0
682;Women;Child aged >= 18 years;2003;388;300;281;18.0;88.0;77.3;72.6;6.1;279.0;196.0;83.0;3.0;;117.0;65.0;99.0;;;5.0;18.0;45.0;65.0;99.0;4.0;4.0;5.0;33.0;2.0
683;Women;Child aged >= 18 years;2004;397;304;282;23.0;92.0;76.7;71.0;7.4;275.0;188.0;87.0;7.0;;123.0;65.0;93.0;;;6.0;17.0;44.0;58.0;110.0;5.0;2.0;3.0;35.0;
684;Women;Child aged >= 18 years;2005;412;316;292;25.0;95.0;76.8;70.9;7.8;286.0;187.0;98.0;6.0;;126.0;74.0;91.0;;;4.0;18.0;43.0;64.0;113.0;3.0;3.0;4.0;38.0;
685;Women;Child aged >= 18 years;2006;405;307;287;21.0;97.0;75.9;70.8;6.7;280.0;175.0;105.0;6.0;;127.0;66.0;91.0;2.0;;4.0;16.0;39.0;64.0;117.0;4.0;2.0;3.0;34.0;2.0
686;Women;Child aged < 18 years;2000;261;143;124;19.0;117.0;54.9;47.7;13.1;119.0;50.0;69.0;5.0;;109.0;10.0;5.0;;;;;3.0;24.0;48.0;4.0;;2.0;27.0;14.0
687;Women;Child aged < 18 years;2001;267;151;134;17.0;117.0;56.4;50.1;11.1;128.0;59.0;70.0;5.0;;117.0;10.0;6.0;;;;;3.0;29.0;49.0;7.0;;;42.0;
688;Women;Child aged < 18 years;2002;276;147;133;15.0;128.0;53.5;48.2;9.9;129.0;60.0;69.0;4.0;;115.0;11.0;6.0;;;;;4.0;25.0;58.0;4.0;;;38.0;2.0
689;Women;Child aged < 18 years;2003;280;142;121;21.0;138.0;50.6;43.1;14.9;116.0;57.0;59.0;5.0;;106.0;10.0;4.0;;;;;2.0;22.0;54.0;6.0;;;35.0;
690;Women;Child aged < 18 years;2004;280;141;122;19.0;139.0;50.4;43.6;13.6;117.0;52.0;65.0;4.0;;107.0;9.0;5.0;;;;;2.0;18.0;57.0;4.0;;;37.0;
691;Women;Child aged < 18 years;2005;284;140;115;25.0;144.0;49.4;40.6;17.8;111.0;38.0;73.0;4.0;;105.0;8.0;2.0;;;;;3.0;24.0;43.0;5.0;;;38.0;
692;Women;Child aged < 18 years;2006;288;149;125;24.0;140.0;51.6;43.2;16.3;119.0;44.0;75.0;5.0;;114.0;7.0;3.0;;;;;3.0;22.0;50.0;5.0;;;43.0;
693;Women;Other member household;2000;95;44;43;2.0;50.0;46.8;45.0;3.8;41.0;33.0;8.0;2.0;;9.0;11.0;22.0;;;2.0;6.0;7.0;10.0;10.0;;;;5.0;2.0
694;Women;Other member household;2001;104;46;44;2.0;58.0;44.0;42.6;3.4;42.0;29.0;13.0;2.0;;12.0;12.0;20.0;;;3.0;4.0;9.0;6.0;11.0;2.0;;;7.0;
695;Women;Other member household;2002;95;48;45;3.0;47.0;50.8;47.7;6.0;44.0;33.0;11.0;;;12.0;15.0;19.0;;;3.0;7.0;10.0;6.0;12.0;;;;4.0;
696;Women;Other member household;2003;95;50;47;3.0;46.0;52.3;49.0;6.2;44.0;32.0;12.0;2.0;;12.0;15.0;19.0;;;3.0;4.0;10.0;9.0;14.0;;;;4.0;
697;Women;Other member household;2004;93;44;41;3.0;49.0;47.7;44.3;7.2;40.0;29.0;11.0;;;14.0;8.0;19.0;;;;6.0;7.0;8.0;11.0;;;;6.0;
698;Women;Other member household;2005;101;55;50;5.0;46.0;54.2;49.3;9.1;47.0;32.0;15.0;3.0;;18.0;13.0;19.0;;;2.0;7.0;7.0;8.0;16.0;;;;7.0;
699;Women;Other member household;2006;96;50;47;3.0;45.0;52.7;49.6;6.0;44.0;28.0;16.0;3.0;;19.0;12.0;16.0;;;2.0;7.0;6.0;10.0;15.0;;;;5.0;
700;Women;Pre-primary education;2000;129;17;15;;113.0;12.8;12.0;;15.0;10.0;5.0;;;6.0;5.0;5.0;;;;;;;;;;;8.0;
701;Women;Pre-primary education;2001;133;21;19;;113.0;15.5;14.6;;17.0;12.0;5.0;;2.0;8.0;7.0;5.0;;;;;;;4.0;;;;12.0;
702;Women;Pre-primary education;2002;118;17;15;2.0;100.0;14.7;12.8;12.6;13.0;11.0;2.0;2.0;;6.0;4.0;5.0;;;;;;;;;;;11.0;
703;Women;Pre-primary education;2003;120;19;17;2.0;101.0;15.6;13.9;10.9;16.0;14.0;2.0;;;5.0;6.0;5.0;;;;;;;2.0;;;2.0;11.0;
704;Women;Pre-primary education;2004;112;14;12;2.0;98.0;12.3;10.4;15.5;11.0;9.0;;;;4.0;4.0;4.0;;;;;;;2.0;;;;7.0;
705;Women;Pre-primary education;2005;108;15;14;;93.0;14.1;13.0;;13.0;11.0;2.0;;;4.0;5.0;5.0;;;;;;;;;;;9.0;
706;Women;Pre-primary education;2006;95;10;9;;86.0;10.2;9.0;;8.0;7.0;;;;3.0;3.0;3.0;;;;;;;;;;;6.0;
707;Women;Primary education;2000;908;238;215;23.0;670.0;26.2;23.7;9.5;193.0;142.0;51.0;17.0;4.0;108.0;64.0;44.0;;;14.0;2.0;10.0;33.0;55.0;5.0;5.0;7.0;73.0;13.0
708;Women;Primary education;2001;888;234;215;20.0;654.0;26.4;24.2;8.4;199.0;147.0;51.0;14.0;2.0;112.0;62.0;41.0;;;12.0;2.0;8.0;33.0;57.0;6.0;6.0;9.0;81.0;2.0
709;Women;Primary education;2002;855;230;215;15.0;624.0;27.0;25.1;6.7;195.0;146.0;49.0;17.0;3.0;109.0;63.0;42.0;;;13.0;;9.0;31.0;65.0;5.0;5.0;9.0;75.0;3.0
710;Women;Primary education;2003;817;209;185;23.0;608.0;25.6;22.7;11.2;168.0;130.0;37.0;14.0;3.0;90.0;57.0;37.0;;;11.0;;7.0;28.0;45.0;4.0;5.0;9.0;74.0;
711;Women;Primary education;2004;721;184;163;21.0;537.0;25.5;22.6;11.6;149.0;112.0;37.0;12.0;2.0;80.0;54.0;28.0;;;8.0;;5.0;22.0;50.0;3.0;2.0;8.0;63.0;2.0
712;Women;Primary education;2005;734;183;156;27.0;551.0;25.0;21.3;14.7;142.0;106.0;36.0;13.0;2.0;84.0;47.0;26.0;;;7.0;;7.0;22.0;44.0;4.0;3.0;5.0;62.0;
713;Women;Primary education;2006;697;179;154;24.0;519.0;25.6;22.1;13.5;139.0;106.0;33.0;12.0;3.0;75.0;50.0;29.0;;;8.0;;6.0;20.0;44.0;4.0;2.0;6.0;64.0;
